time,Indiana,pts.away,score,pts.home,Sacramento
8:42.0,,,28-38,2,A. Tolliver makes 2-pt shot from 17 ft (assist by G. Temple)
8:25.0,A. Jefferson makes 2-pt shot from 2 ft,2,30-38,,
8:16.0,,,30-38,,Turnover by M. Barnes (bad pass)
8:16.0,,,30-38,,D. Cousins enters the game for W. Cauley-Stein
7:51.0,C. Miles misses 3-pt shot from 26 ft,,30-38,,
7:50.0,,,30-38,,Defensive rebound by D. Cousins
7:42.0,,,30-38,,Turnover by B. McLemore (bad pass; steal by A. Brooks)
7:33.0,Offensive charge foul by T. Young,,30-38,,
7:33.0,Turnover by T. Young (offensive foul),,30-38,,
7:33.0,,,30-38,,D. Collison enters the game for B. McLemore
7:33.0,J. Teague enters the game for A. Brooks,,30-38,,
7:33.0,P. George enters the game for C. Miles,,30-38,,
7:24.0,Personal foul by A. Jefferson (drawn by D. Cousins),,30-38,,
7:14.0,,,30-40,2,D. Cousins makes 2-pt shot from 18 ft (assist by A. Tolliver)
6:57.0,A. Jefferson makes 2-pt shot from 18 ft (assist by M. Ellis),2,32-40,,
6:28.0,,,32-40,,M. Barnes misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by A. Jefferson,,32-40,,
6:06.0,P. George misses 2-pt shot from 16 ft,,32-40,,
6:05.0,,,32-40,,Defensive rebound by D. Cousins
6:00.0,,,32-40,,Turnover by D. Cousins (bad pass)
6:00.0,,,32-40,,R. Gay enters the game for M. Barnes
6:00.0,M. Turner enters the game for A. Jefferson,,32-40,,
5:48.0,M. Ellis misses 2-pt shot from 18 ft,,32-40,,
5:47.0,,,32-40,,Defensive rebound by D. Cousins
5:35.0,Official timeout,,32-40,,
5:35.0,,,32-40,,K. Koufos enters the game for A. Tolliver
5:24.0,,,32-40,,Turnover by K. Koufos (lost ball; steal by T. Young)
5:19.0,M. Ellis misses 2-pt shot from 3 ft,,32-40,,
5:17.0,Offensive rebound by M. Ellis,,32-40,,
5:17.0,M. Ellis misses 2-pt shot from 2 ft,,32-40,,
5:15.0,Offensive rebound by T. Young,,32-40,,
5:14.0,T. Young misses 2-pt shot at rim,,32-40,,
5:13.0,,,32-40,,Defensive rebound by G. Temple
5:00.0,,,32-40,,Turnover by D. Cousins (lost ball; steal by M. Ellis)
4:53.0,M. Ellis misses 3-pt shot from 23 ft,,32-40,,
4:51.0,,,32-40,,Defensive rebound by D. Collison
4:38.0,,,32-40,,D. Cousins misses 2-pt shot from 3 ft
4:38.0,,,32-40,,Offensive rebound by D. Cousins
4:37.0,,,32-42,2,D. Cousins makes 2-pt shot from 3 ft
4:13.0,Turnover by P. George (lost ball; steal by R. Gay),,32-42,,
4:10.0,,,32-44,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
3:59.0,Indiana full timeout,,32-44,,
3:59.0,,,32-44,,A. Afflalo enters the game for G. Temple
3:59.0,G. Robinson enters the game for T. Young,,32-44,,
3:59.0,A. Jefferson enters the game for M. Ellis,,32-44,,
3:44.0,J. Teague makes 2-pt shot from 11 ft,2,34-44,,
3:25.0,,,34-46,2,D. Cousins makes 2-pt shot from 1 ft
3:17.0,Turnover by J. Teague (step out of bounds),,34-46,,
3:17.0,Violation by Team (jump ball),,34-46,,
3:17.0,Technical foul by Team,,34-46,,
3:17.0,,,34-47,1,A. Afflalo makes technical free throw
3:03.0,,,34-47,,Shooting foul by M. Turner (drawn by D. Cousins)
3:03.0,,,34-48,1,D. Cousins makes free throw 1 of 2
3:03.0,,,34-49,1,D. Cousins makes free throw 2 of 2
2:44.0,A. Jefferson misses 2-pt shot from 3 ft (block by A. Afflalo),,34-49,,
2:43.0,,,34-49,,Defensive rebound by A. Afflalo
2:40.0,,,34-51,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
2:31.0,,,34-51,,Shooting block foul by D. Collison (drawn by J. Teague)
2:31.0,J. Teague makes free throw 1 of 2,1,35-51,,
2:31.0,J. Teague makes free throw 2 of 2,1,36-51,,
2:14.0,,,36-53,2,K. Koufos makes 2-pt shot from 6 ft (assist by D. Cousins)
1:51.0,A. Jefferson makes 2-pt shot from 8 ft (assist by J. Teague),2,38-53,,
1:34.0,,,38-55,2,R. Gay makes 2-pt shot at rim (assist by D. Cousins)
1:16.0,A. Jefferson misses 2-pt shot from 4 ft,,38-55,,
1:16.0,Offensive rebound by M. Turner,,38-55,,
1:07.0,Turnover by Team (shot clock),,38-55,,
1:07.0,K. Seraphin enters the game for M. Turner,,38-55,,
1:07.0,A. Brooks enters the game for J. Teague,,38-55,,
0:49.0,,,38-55,,Shooting foul by K. Seraphin (drawn by D. Cousins)
0:49.0,,,38-56,1,D. Cousins makes free throw 1 of 2
0:49.0,Indiana full timeout,,38-56,,
0:49.0,,,38-57,1,D. Cousins makes free throw 2 of 2
0:35.0,P. George misses 2-pt shot from 17 ft,,38-57,,
0:34.0,,,38-57,,Defensive rebound by D. Cousins
0:13.0,,,38-60,3,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins)
0:01.0,A. Brooks makes 3-pt shot from 24 ft (assist by P. George),3,41-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,41-60,,R. Gay misses 2-pt shot from 1 ft
11:43.0,,,41-60,,Offensive rebound by Team
11:30.0,,,41-60,,D. Cousins misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by G. Robinson,,41-60,,
11:25.0,T. Young makes 2-pt shot at rim (assist by G. Robinson),2,43-60,,
10:58.0,,,43-60,,D. Cousins misses 2-pt shot from 19 ft
10:57.0,Defensive rebound by P. George,,43-60,,
10:50.0,P. George makes 2-pt shot from 4 ft (assist by G. Robinson),2,45-60,,
10:40.0,,,45-60,,Turnover by D. Cousins (bad pass)
10:40.0,,,45-60,,Loose ball foul by A. Afflalo (drawn by G. Robinson)
10:26.0,T. Young misses 3-pt shot from 23 ft,,45-60,,
10:25.0,,,45-60,,Defensive rebound by Team
10:25.0,,,45-60,,Sacramento full timeout
10:07.0,,,45-60,,D. Cousins misses 2-pt shot from 4 ft
10:06.0,Defensive rebound by M. Turner,,45-60,,
9:54.0,M. Turner makes 2-pt shot from 4 ft (assist by J. Teague),2,47-60,,
9:29.0,,,47-63,3,A. Afflalo makes 3-pt shot from 25 ft (assist by D. Collison)
9:20.0,P. George misses 2-pt shot from 15 ft,,47-63,,
9:18.0,,,47-63,,Defensive rebound by K. Koufos
9:05.0,,,47-63,,K. Koufos misses 2-pt shot from 5 ft
9:04.0,Defensive rebound by P. George,,47-63,,
9:00.0,T. Young makes 2-pt shot at rim (assist by P. George),2,49-63,,
8:36.0,,,49-63,,Turnover by R. Gay (back court)
8:24.0,,,49-63,,Personal foul by R. Gay (drawn by P. George)
8:16.0,,,49-63,,Personal foul by R. Gay (drawn by M. Turner)
8:04.0,T. Young misses 3-pt shot from 25 ft,,49-63,,
8:03.0,,,49-63,,Defensive rebound by D. Collison
8:03.0,Personal foul by T. Young (drawn by D. Cousins),,49-63,,
7:54.0,,,49-65,2,K. Koufos makes 2-pt shot from 2 ft (assist by D. Cousins)
7:37.0,Turnover by J. Teague (bad pass; steal by D. Collison),,49-65,,
7:21.0,,,49-65,,Turnover by D. Cousins (bad pass; steal by J. Teague)
7:18.0,Shooting foul by A. Afflalo (drawn by P. George),,49-65,,
7:18.0,P. George makes free throw 1 of 2,1,50-65,,
7:18.0,P. George makes free throw 2 of 2,1,51-65,,
7:00.0,,,51-65,,R. Gay misses 2-pt shot from 3 ft
7:00.0,,,51-65,,Offensive rebound by R. Gay
6:59.0,,,51-65,,R. Gay misses 2-pt shot from 2 ft (block by T. Young)
6:58.0,Defensive rebound by T. Young,,51-65,,
6:55.0,T. Young misses 2-pt shot from 4 ft (block by D. Cousins),,51-65,,
6:55.0,Offensive rebound by Team,,51-65,,
6:55.0,Technical foul by Team,,51-65,,
6:55.0,,,51-66,1,D. Collison makes technical free throw
6:35.0,J. Teague makes 2-pt shot from 9 ft,2,53-66,,
6:18.0,,,53-66,,Turnover by A. Afflalo (bad pass)
6:04.0,T. Young misses 2-pt shot from 2 ft (block by D. Cousins),,53-66,,
6:02.0,,,53-66,,Defensive rebound by K. Koufos
5:43.0,,,53-66,,Turnover by D. Cousins (bad pass; steal by G. Robinson)
5:33.0,T. Young misses 2-pt shot from 7 ft,,53-66,,
5:33.0,,,53-66,,Defensive rebound by D. Cousins
5:24.0,,,53-66,,Shooting foul by T. Young (drawn by D. Cousins)
5:24.0,,,53-66,,D. Cousins misses free throw 1 of 2
5:24.0,,,53-66,,Offensive rebound by Team
5:24.0,,,53-67,1,D. Cousins makes free throw 2 of 2
5:24.0,,,53-66,,G. Temple enters the game for A. Afflalo
5:05.0,Turnover by P. George (lost ball; steal by D. Collison),,53-67,,
4:57.0,,,53-67,,D. Collison misses 2-pt shot from 3 ft
4:55.0,,,53-67,,Offensive rebound by K. Koufos
4:53.0,,,53-67,,K. Koufos misses 2-pt shot from 3 ft
4:52.0,Defensive rebound by J. Teague,,53-67,,
4:44.0,Turnover by G. Robinson (lost ball; steal by R. Gay),,53-67,,
4:42.0,Personal foul by J. Teague (drawn by R. Gay),,53-67,,
4:42.0,Technical foul by P. George,,53-67,,
4:42.0,,,53-68,1,D. Collison makes technical free throw
4:42.0,M. Ellis enters the game for G. Robinson,,53-68,,
4:24.0,,,53-68,,D. Cousins misses 2-pt shot from 19 ft
4:24.0,Defensive rebound by P. George,,53-68,,
4:17.0,Turnover by P. George (bad pass; steal by K. Koufos),,53-68,,
4:01.0,,,53-70,2,K. Koufos makes 2-pt shot from 1 ft (assist by G. Temple)
4:01.0,Indiana full timeout,,53-70,,
4:01.0,,,53-70,,A. Tolliver enters the game for D. Cousins
4:01.0,C. Miles enters the game for T. Young,,53-70,,
3:43.0,M. Turner makes 3-pt shot from 25 ft (assist by J. Teague),3,56-70,,
3:24.0,,,56-72,2,R. Gay makes 2-pt shot from 18 ft
3:16.0,J. Teague makes 3-pt shot from 26 ft,3,59-72,,
2:54.0,,,59-74,2,D. Collison makes 2-pt shot from 20 ft
2:50.0,,,59-74,,Personal foul by D. Collison (drawn by J. Teague)
2:50.0,J. Teague makes free throw 1 of 2,1,60-74,,
2:50.0,J. Teague makes free throw 2 of 2,1,61-74,,
2:35.0,,,61-74,,Turnover by R. Gay (lost ball)
2:19.0,,,61-74,,Personal foul by A. Tolliver (drawn by J. Teague)
2:19.0,J. Teague makes free throw 1 of 2,1,62-74,,
2:19.0,J. Teague makes free throw 2 of 2,1,63-74,,
1:56.0,,,63-74,,D. Collison misses 2-pt shot from 19 ft
1:55.0,,,63-74,,Offensive rebound by R. Gay
1:44.0,,,63-76,2,K. Koufos makes 2-pt shot from 9 ft (assist by D. Collison)
1:29.0,J. Teague makes 2-pt shot from 8 ft,2,65-76,,
1:11.0,,,65-79,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Collison)
0:59.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,67-79,,
0:41.0,,,67-79,,D. Collison misses 2-pt shot from 17 ft
0:41.0,Defensive rebound by J. Teague,,67-79,,
0:36.0,C. Miles makes 2-pt shot from 16 ft (assist by J. Teague),2,69-79,,
0:18.0,,,69-79,,Turnover by R. Gay (lost ball; steal by C. Miles)
0:14.0,Shooting foul by G. Temple (drawn by P. George),,69-79,,
0:14.0,,,69-79,,Sacramento full timeout
0:14.0,P. George makes free throw 1 of 2,1,70-79,,
0:14.0,P. George makes free throw 2 of 2,1,71-79,,
0:14.0,A. Brooks enters the game for J. Teague,,69-79,,
0:14.0,,,69-79,,M. Barnes enters the game for R. Gay
0:14.0,T. Young enters the game for C. Miles,,70-79,,
0:01.0,,,71-79,,M. Barnes misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by T. Young,,71-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,71-79,,Personal foul by A. Tolliver (drawn by P. George)
11:37.0,C. Miles makes 3-pt shot from 26 ft (assist by P. George),3,74-79,,
11:24.0,Personal foul by A. Jefferson (drawn by D. Cousins),,74-79,,
11:09.0,,,74-82,3,A. Afflalo makes 3-pt shot from 26 ft (assist by D. Cousins)
10:52.0,,,74-82,,Personal foul by A. Afflalo (drawn by P. George)
10:38.0,A. Brooks misses 3-pt shot from 26 ft,,74-82,,
10:37.0,Offensive rebound by A. Brooks,,74-82,,
10:26.0,Shooting foul by A. Tolliver (drawn by C. Miles),,74-82,,
10:26.0,C. Miles misses free throw 1 of 3,,74-82,,
10:26.0,Offensive rebound by Team,,74-82,,
10:26.0,C. Miles makes free throw 2 of 3,1,75-82,,
10:26.0,C. Miles misses free throw 3 of 3,,75-82,,
10:26.0,,,75-82,,Defensive rebound by A. Tolliver
10:19.0,Personal foul by A. Jefferson (drawn by A. Afflalo),,75-82,,
10:03.0,,,75-82,,D. Cousins misses 2-pt shot from 18 ft
10:02.0,Defensive rebound by C. Miles,,75-82,,
9:42.0,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Ellis),2,77-82,,
9:14.0,,,77-85,3,G. Temple makes 3-pt shot from 24 ft (assist by D. Cousins)
8:55.0,A. Jefferson makes 2-pt shot from 6 ft,2,79-85,,
8:35.0,,,79-85,,D. Cousins misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by M. Ellis,,79-85,,
8:22.0,A. Jefferson makes 2-pt shot from 8 ft,2,81-85,,
8:13.0,,,81-85,,Turnover by D. Cousins (bad pass; steal by P. George)
8:09.0,P. George makes 2-pt shot from 1 ft,2,83-85,,
8:09.0,,,83-85,,Sacramento full timeout
7:56.0,,,83-87,2,A. Afflalo makes 2-pt shot from 8 ft (assist by D. Cousins)
7:29.0,A. Jefferson misses 2-pt shot from 13 ft,,83-87,,
7:29.0,,,83-87,,Defensive rebound by M. Barnes
7:18.0,Personal foul by M. Ellis (drawn by A. Afflalo),,83-87,,
7:18.0,M. Turner enters the game for A. Brooks,,83-87,,
7:18.0,J. Teague enters the game for A. Jefferson,,83-87,,
7:10.0,,,83-87,,Shooting foul by M. Ellis (drawn by A. Afflalo)
7:10.0,,,83-88,1,A. Afflalo makes free throw 1 of 2
7:10.0,,,83-89,1,A. Afflalo makes free throw 2 of 2
6:58.0,C. Miles misses 3-pt shot from 24 ft,,83-89,,
6:57.0,Offensive rebound by C. Miles,,83-89,,
6:51.0,Turnover by M. Ellis (traveling),,83-89,,
6:35.0,,,83-89,,D. Cousins misses 2-pt shot from 7 ft
6:34.0,Defensive rebound by J. Teague,,83-89,,
6:30.0,J. Teague makes 2-pt shot from 2 ft,2,85-89,,
6:30.0,Shooting foul by G. Temple (drawn by J. Teague),,85-89,,
6:30.0,J. Teague makes free throw 1 of 1,1,86-89,,
6:16.0,,,86-91,2,M. Barnes makes 2-pt shot from 2 ft (assist by D. Cousins)
5:50.0,M. Turner makes 2-pt shot from 14 ft,2,88-91,,
5:32.0,Shooting block foul by C. Miles (drawn by D. Cousins),,88-91,,
5:32.0,Official timeout,,88-91,,
5:32.0,,,88-92,1,D. Cousins makes free throw 1 of 2
5:32.0,,,88-93,1,D. Cousins makes free throw 2 of 2
5:32.0,,,88-91,,D. Collison enters the game for A. Tolliver
5:17.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,91-93,,
4:57.0,,,91-93,,M. Barnes misses 2-pt shot from 3 ft
4:56.0,Defensive rebound by P. George,,91-93,,
4:40.0,P. George misses 3-pt shot from 24 ft,,91-93,,
4:40.0,,,91-93,,Defensive rebound by Team
4:25.0,,,91-95,2,G. Temple makes 2-pt shot from 14 ft (assist by M. Barnes)
4:09.0,M. Ellis misses 2-pt shot from 7 ft,,91-95,,
4:07.0,Offensive rebound by M. Ellis,,91-95,,
3:57.0,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague),2,93-95,,
3:41.0,Personal foul by M. Turner (drawn by D. Cousins),,93-95,,
3:41.0,,,93-95,,D. Cousins misses free throw 1 of 2
3:41.0,,,93-95,,Offensive rebound by Team
3:41.0,,,93-96,1,D. Cousins makes free throw 2 of 2
3:28.0,Turnover by M. Ellis (lost ball; steal by D. Collison),,93-96,,
3:10.0,,,93-96,,Offensive foul by D. Cousins
3:10.0,,,93-96,,Turnover by D. Cousins (offensive foul)
3:10.0,Indiana full timeout,,93-96,,
2:52.0,Shooting foul by G. Temple (drawn by J. Teague),,93-96,,
2:52.0,J. Teague makes free throw 1 of 2,1,94-96,,
2:52.0,J. Teague makes free throw 2 of 2,1,95-96,,
2:35.0,,,95-96,,D. Collison misses 2-pt shot from 3 ft
2:34.0,,,95-96,,Offensive rebound by M. Barnes
2:34.0,,,95-96,,M. Barnes misses 2-pt shot from 1 ft
2:33.0,,,95-96,,Offensive rebound by M. Barnes
2:33.0,,,95-96,,Shooting foul by C. Miles (drawn by M. Barnes)
2:33.0,,,95-97,1,M. Barnes makes free throw 1 of 2
2:33.0,,,95-98,1,M. Barnes makes free throw 2 of 2
2:22.0,P. George makes 2-pt shot from 18 ft,2,97-98,,
2:03.0,,,97-98,,D. Cousins misses 2-pt shot from 4 ft
2:02.0,Defensive rebound by M. Turner,,97-98,,
1:56.0,Shooting foul by D. Collison (drawn by J. Teague),,97-98,,
1:56.0,J. Teague makes free throw 1 of 2,1,98-98,,
1:56.0,J. Teague makes free throw 2 of 2,1,99-98,,
1:41.0,,,99-98,,Turnover by D. Cousins (bad pass; steal by J. Teague)
1:34.0,P. George makes 2-pt shot from 18 ft,2,101-98,,
1:34.0,,,101-98,,Sacramento full timeout
1:21.0,Personal foul by C. Miles (drawn by D. Cousins),,101-98,,
1:21.0,,,101-98,,D. Cousins misses free throw 1 of 2
1:21.0,,,101-98,,Offensive rebound by Team
1:21.0,Indiana full timeout,,101-98,,
1:21.0,,,101-99,1,D. Cousins makes free throw 2 of 2
1:03.0,Shooting foul by D. Cousins (drawn by M. Turner),,101-99,,
1:03.0,M. Turner misses free throw 1 of 2,,101-99,,
1:03.0,Offensive rebound by Team,,101-99,,
1:03.0,M. Turner makes free throw 2 of 2,1,102-99,,
1:03.0,T. Young enters the game for C. Miles,,101-99,,
0:53.0,,,102-99,,A. Afflalo misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by J. Teague,,102-99,,
0:33.0,P. George misses 2-pt shot from 4 ft,,102-99,,
0:32.0,,,102-99,,Defensive rebound by D. Cousins
0:25.0,,,102-99,,D. Cousins misses 2-pt shot from 2 ft (block by T. Young)
0:23.0,Defensive rebound by J. Teague,,102-99,,
0:17.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,104-99,,
0:17.0,,,104-99,,Sacramento full timeout
0:10.0,,,104-99,,G. Temple misses 3-pt shot from 27 ft
0:09.0,Defensive rebound by M. Turner,,104-99,,
0:08.0,Turnover by M. Turner (lost ball; steal by D. Cousins),,104-99,,
0:07.0,,,104-99,,Shooting foul by M. Turner (drawn by D. Cousins)
0:07.0,,,104-99,,D. Cousins misses free throw 1 of 2
0:07.0,,,104-99,,Offensive rebound by Team
0:07.0,,,104-100,1,D. Cousins makes free throw 2 of 2
