time,Portland,pts.away,score,pts.home,LA Lakers
7:21.0,N. Vonleh misses 2-pt shot from 19 ft,,9-6,,
7:19.0,,,9-6,,Defensive rebound by I. Zubac
7:08.0,,,9-6,,Turnover by I. Zubac (lost ball; steal by D. Lillard)
7:05.0,Shooting foul by I. Zubac,,9-6,,
7:05.0,C. McCollum makes free throw 1 of 2,1,10-6,,
7:05.0,C. McCollum makes free throw 2 of 2,1,11-6,,
6:49.0,,,11-6,,J. Randle misses 2-pt shot from 8 ft
6:45.0,Defensive rebound by J. Nurkic,,11-6,,
6:32.0,J. Nurkic misses 2-pt shot from 2 ft,,11-6,,
6:32.0,,,11-6,,Defensive rebound by Team
6:16.0,,,11-8,2,J. Clarkson makes 2-pt shot from 19 ft (assist by I. Zubac)
6:03.0,D. Lillard misses 2-pt shot from 1 ft,,11-8,,
6:01.0,Offensive rebound by D. Lillard,,11-8,,
6:01.0,D. Lillard misses 2-pt shot from 1 ft,,11-8,,
5:58.0,,,11-8,,Defensive rebound by C. Brewer
5:55.0,,,11-8,,C. Brewer misses 2-pt shot from 3 ft
5:49.0,Defensive rebound by J. Nurkic,,11-8,,
5:49.0,,,11-8,,LA Lakers full timeout
5:49.0,A. Crabbe enters the game for N. Vonleh,,11-8,,
5:49.0,A. Aminu enters the game for C. McCollum,,11-8,,
5:42.0,D. Lillard misses 3-pt shot from 26 ft,,11-8,,
5:39.0,Offensive rebound by J. Nurkic,,11-8,,
5:35.0,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic),2,13-8,,
5:18.0,,,13-8,,D. Russell misses 2-pt shot from 14 ft
5:15.0,Defensive rebound by A. Aminu,,13-8,,
5:04.0,,,13-8,,Personal foul by J. Clarkson (drawn by A. Crabbe)
5:04.0,,,13-8,,L. Nance enters the game for I. Zubac
4:51.0,A. Aminu misses 2-pt shot from 21 ft,,13-8,,
4:47.0,,,13-8,,Defensive rebound by J. Clarkson
4:42.0,,,13-11,3,J. Clarkson makes 3-pt shot from 23 ft (assist by J. Randle)
4:22.0,A. Crabbe makes 3-pt shot from 25 ft (assist by J. Nurkic),3,16-11,,
4:18.0,,,16-11,,Turnover by J. Randle (bad pass; steal by M. Harkless)
4:18.0,Shooting foul by J. Randle (drawn by M. Harkless),,16-11,,
4:18.0,M. Harkless makes free throw 1 of 2,1,17-11,,
4:18.0,M. Harkless makes free throw 2 of 2,1,18-11,,
4:02.0,,,18-13,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
3:42.0,J. Nurkic misses 2-pt shot from 2 ft,,18-13,,
3:39.0,Offensive rebound by A. Aminu,,18-13,,
3:39.0,A. Aminu makes 2-pt shot from 2 ft,2,20-13,,
3:31.0,,,20-15,2,D. Russell makes 2-pt shot from 21 ft
3:12.0,Turnover by M. Harkless (lost ball),,20-15,,
3:12.0,M. Leonard enters the game for J. Nurkic,,20-15,,
3:12.0,,,20-15,,D. Nwaba enters the game for C. Brewer
2:55.0,,,20-17,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Randle)
2:54.0,Portland full timeout,,20-17,,
2:54.0,E. Turner enters the game for M. Harkless,,20-17,,
2:54.0,C. McCollum enters the game for D. Lillard,,20-17,,
2:54.0,,,20-17,,T. Ennis enters the game for J. Clarkson
2:39.0,M. Leonard makes 2-pt shot from 18 ft (assist by C. McCollum),2,22-17,,
2:20.0,,,22-17,,D. Russell misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by E. Turner,,22-17,,
2:03.0,A. Crabbe misses 3-pt shot from 26 ft,,22-17,,
2:02.0,,,22-17,,Defensive rebound by J. Randle
1:53.0,,,22-17,,J. Randle misses 2-pt shot from 8 ft (block by A. Aminu)
1:50.0,Defensive rebound by A. Crabbe,,22-17,,
1:43.0,Turnover by C. McCollum (bad pass; steal by J. Randle),,22-17,,
1:27.0,,,22-17,,T. Ennis misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by A. Aminu,,22-17,,
1:08.0,Turnover by C. McCollum (lost ball; steal by D. Nwaba),,22-17,,
0:57.0,,,22-17,,D. Russell misses 2-pt shot from 21 ft
0:56.0,Defensive rebound by A. Aminu,,22-17,,
0:39.0,E. Turner misses 2-pt shot from 6 ft,,22-17,,
0:34.0,,,22-17,,Defensive rebound by L. Nance
0:27.0,,,22-17,,D. Russell misses 2-pt shot from 1 ft (block by A. Crabbe)
0:22.0,Defensive rebound by A. Crabbe,,22-17,,
0:03.0,C. McCollum misses 2-pt shot from 20 ft,,22-17,,
0:02.0,,,22-17,,Defensive rebound by L. Nance
0:01.0,,,22-17,,L. Nance misses 3-pt shot from 65 ft
0:00.0,,,22-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,22-17,,Turnover by J. Clarkson (lost ball; steal by C. McCollum)
11:38.0,A. Crabbe makes 2-pt shot from 1 ft (assist by C. McCollum),2,24-17,,
11:21.0,,,24-17,,J. Clarkson misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by M. Leonard,,24-17,,
11:02.0,A. Crabbe makes 3-pt shot from 26 ft (assist by C. McCollum),3,27-17,,
10:47.0,,,27-17,,J. Clarkson misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by A. Crabbe,,27-17,,
10:36.0,,,27-17,,Personal foul by L. Nance (drawn by A. Aminu)
10:23.0,C. McCollum makes 2-pt shot at rim (assist by M. Leonard),2,29-17,,
10:02.0,,,29-17,,T. Black misses 2-pt shot from 8 ft
9:58.0,Defensive rebound by A. Aminu,,29-17,,
9:52.0,M. Leonard misses 3-pt shot from 24 ft,,29-17,,
9:49.0,,,29-17,,Defensive rebound by T. Black
9:41.0,,,29-19,2,L. Nance makes 2-pt shot from 18 ft (assist by T. Ennis)
9:21.0,A. Crabbe misses 3-pt shot from 26 ft,,29-19,,
9:20.0,,,29-19,,Defensive rebound by T. Ennis
9:16.0,Personal block foul by A. Crabbe (drawn by T. Ennis),,29-19,,
9:08.0,,,29-19,,T. Ennis misses 2-pt shot from 18 ft
9:06.0,Defensive rebound by A. Aminu,,29-19,,
8:54.0,A. Aminu makes 2-pt shot from 2 ft (assist by E. Turner),2,31-19,,
8:54.0,Shooting foul by T. Black (drawn by A. Aminu),,31-19,,
8:54.0,Official timeout,,31-19,,
8:54.0,A. Aminu misses free throw 1 of 1,,31-19,,
8:54.0,N. Vonleh enters the game for M. Leonard,,31-19,,
8:52.0,,,31-19,,Defensive rebound by L. Nance
8:39.0,,,31-19,,J. Clarkson misses 2-pt shot from 10 ft
8:37.0,Defensive rebound by N. Vonleh,,31-19,,
8:16.0,A. Aminu misses 3-pt shot from 23 ft,,31-19,,
8:15.0,,,31-19,,Defensive rebound by T. Black
8:03.0,,,31-21,2,T. Ennis makes 2-pt shot from 17 ft
7:49.0,Turnover by C. McCollum (bad pass; steal by T. Ennis),,31-21,,
7:43.0,,,31-23,2,L. Nance makes 2-pt shot from 1 ft (assist by T. Ennis)
7:27.0,Turnover by C. McCollum (lost ball; steal by T. Ennis),,31-23,,
7:12.0,,,31-23,,J. Clarkson misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by C. McCollum,,31-23,,
7:02.0,A. Crabbe misses 3-pt shot from 26 ft,,31-23,,
7:00.0,,,31-23,,Defensive rebound by J. Clarkson
6:43.0,,,31-25,2,D. Nwaba makes 2-pt shot from 6 ft (assist by L. Nance)
6:43.0,Portland full timeout,,31-25,,
6:43.0,J. Nurkic enters the game for C. McCollum,,31-25,,
6:43.0,D. Lillard enters the game for A. Aminu,,31-25,,
6:19.0,N. Vonleh misses 2-pt shot from 18 ft,,31-25,,
6:17.0,,,31-25,,Defensive rebound by J. Clarkson
6:02.0,,,31-25,,T. Ennis misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by A. Crabbe,,31-25,,
5:55.0,D. Lillard misses 3-pt shot from 27 ft,,31-25,,
5:54.0,,,31-25,,Defensive rebound by T. Black
5:43.0,,,31-25,,J. Clarkson misses 2-pt shot from 5 ft
5:42.0,,,31-25,,Offensive rebound by T. Black
5:40.0,,,31-25,,T. Black misses 2-pt shot at rim (block by J. Nurkic)
5:38.0,Defensive rebound by D. Lillard,,31-25,,
5:18.0,J. Nurkic misses 2-pt shot from 18 ft,,31-25,,
5:17.0,,,31-25,,Defensive rebound by T. Ennis
5:13.0,,,31-25,,Shooting foul by D. Lillard (drawn by T. Ennis)
5:13.0,,,31-26,1,T. Ennis makes free throw 1 of 2
5:13.0,,,31-26,,T. Ennis misses free throw 2 of 2
5:13.0,,,31-26,,J. Randle enters the game for L. Nance
5:13.0,,,31-26,,I. Zubac enters the game for T. Black
5:11.0,Defensive rebound by J. Nurkic,,31-26,,
5:00.0,D. Lillard misses 2-pt shot from 19 ft,,31-26,,
4:59.0,,,31-26,,Defensive rebound by I. Zubac
4:47.0,,,31-28,2,T. Ennis makes 2-pt shot from 6 ft
4:29.0,A. Crabbe misses 2-pt shot from 15 ft,,31-28,,
4:26.0,Offensive rebound by A. Crabbe,,31-28,,
4:23.0,A. Crabbe makes 2-pt shot from 15 ft,2,33-28,,
4:14.0,,,33-30,2,I. Zubac makes 2-pt shot from 6 ft (assist by J. Clarkson)
4:01.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,35-30,,
3:39.0,,,35-30,,Turnover by J. Clarkson (lost ball; steal by J. Nurkic)
3:31.0,,,35-30,,Personal foul by D. Nwaba (drawn by J. Nurkic)
3:31.0,,,35-30,,D. Russell enters the game for T. Ennis
3:31.0,M. Harkless enters the game for E. Turner,,35-30,,
3:31.0,C. McCollum enters the game for A. Crabbe,,35-30,,
3:25.0,Turnover by M. Harkless (traveling),,35-30,,
3:08.0,,,35-30,,I. Zubac misses 2-pt shot from 7 ft
3:05.0,Defensive rebound by N. Vonleh,,35-30,,
3:01.0,Shooting foul by I. Zubac (drawn by D. Lillard),,35-30,,
3:01.0,D. Lillard makes free throw 1 of 2,1,36-30,,
3:01.0,D. Lillard makes free throw 2 of 2,1,37-30,,
2:40.0,,,37-30,,J. Clarkson misses 2-pt shot from 4 ft
2:37.0,Defensive rebound by N. Vonleh,,37-30,,
2:27.0,,,37-30,,Shooting block foul by D. Nwaba (drawn by D. Lillard)
2:27.0,,,37-30,,LA Lakers full timeout
2:27.0,D. Lillard misses free throw 1 of 2,,37-30,,
2:27.0,Offensive rebound by Team,,37-30,,
2:27.0,D. Lillard makes free throw 2 of 2,1,38-30,,
2:27.0,,,37-30,,C. Brewer enters the game for D. Nwaba
2:13.0,,,38-30,,D. Russell misses 2-pt shot from 16 ft
2:09.0,Defensive rebound by J. Nurkic,,38-30,,
1:57.0,N. Vonleh misses 2-pt shot from 5 ft,,38-30,,
1:54.0,,,38-30,,Defensive rebound by J. Randle
1:47.0,,,38-30,,C. Brewer misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by N. Vonleh,,38-30,,
1:26.0,N. Vonleh makes 2-pt shot at rim,2,40-30,,
1:15.0,,,40-30,,Offensive charge foul by J. Randle
1:15.0,,,40-30,,Turnover by J. Randle (offensive foul)
0:56.0,C. McCollum misses 3-pt shot from 24 ft,,40-30,,
0:53.0,,,40-30,,Defensive rebound by J. Randle
0:48.0,,,40-32,2,D. Russell makes 2-pt shot from 6 ft
0:31.0,M. Harkless misses 3-pt shot from 24 ft,,40-32,,
0:30.0,Offensive rebound by J. Nurkic,,40-32,,
0:25.0,J. Nurkic misses 2-pt shot from 3 ft,,40-32,,
0:22.0,Offensive rebound by N. Vonleh,,40-32,,
0:14.0,Portland full timeout,,40-32,,
0:14.0,A. Crabbe enters the game for N. Vonleh,,40-32,,
0:14.0,,,40-32,,D. Nwaba enters the game for J. Clarkson
0:10.0,Turnover by J. Nurkic (lost ball; steal by C. Brewer),,40-32,,
0:10.0,Personal take foul by J. Nurkic (drawn by J. Randle),,40-32,,
0:10.0,,,40-32,,LA Lakers full timeout
0:10.0,A. Aminu enters the game for J. Nurkic,,40-32,,
0:10.0,N. Vonleh enters the game for D. Lillard,,40-32,,
0:01.0,,,40-32,,I. Zubac misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by N. Vonleh,,40-32,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,40-32,,Turnover by D. Russell (lost ball; steal by D. Lillard)
11:41.0,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard),2,42-32,,
11:16.0,,,42-32,,J. Clarkson misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by J. Nurkic,,42-32,,
11:00.0,N. Vonleh makes 2-pt shot from 18 ft (assist by J. Nurkic),2,44-32,,
10:40.0,,,44-35,3,D. Russell makes 3-pt shot from 25 ft
10:26.0,D. Lillard misses 2-pt shot from 21 ft,,44-35,,
10:23.0,,,44-35,,Defensive rebound by I. Zubac
10:21.0,Personal foul by M. Harkless (drawn by C. Brewer),,44-35,,
10:04.0,,,44-35,,D. Russell misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by J. Nurkic,,44-35,,
9:53.0,J. Nurkic misses 2-pt shot from 5 ft,,44-35,,
9:48.0,Offensive rebound by J. Nurkic,,44-35,,
9:48.0,J. Nurkic makes 2-pt shot from 2 ft,2,46-35,,
9:37.0,,,46-37,2,I. Zubac makes 2-pt shot from 8 ft (assist by J. Clarkson)
9:12.0,N. Vonleh makes 2-pt shot at rim (assist by J. Nurkic),2,48-37,,
8:55.0,,,48-39,2,I. Zubac makes 2-pt shot from 16 ft (assist by D. Russell)
8:36.0,C. McCollum misses 2-pt shot from 6 ft,,48-39,,
8:32.0,,,48-39,,Defensive rebound by I. Zubac
8:28.0,,,48-41,2,D. Russell makes 2-pt shot at rim (assist by I. Zubac)
8:16.0,D. Lillard misses 3-pt shot from 26 ft,,48-41,,
8:15.0,,,48-41,,Defensive rebound by J. Randle
8:09.0,,,48-41,,C. Brewer misses 2-pt shot from 1 ft
8:09.0,Defensive rebound by J. Nurkic,,48-41,,
8:09.0,,,48-41,,Loose ball foul by J. Randle (drawn by J. Nurkic)
7:53.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Harkless),3,51-41,,
7:43.0,,,51-43,2,D. Russell makes 2-pt shot from 13 ft
7:43.0,,,51-43,,Shooting foul by D. Lillard (drawn by D. Russell)
7:43.0,,,51-44,1,D. Russell makes free throw 1 of 1
7:28.0,C. McCollum misses 2-pt shot from 16 ft,,51-44,,
7:26.0,,,51-44,,Defensive rebound by J. Randle
7:16.0,,,51-46,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
7:14.0,Portland full timeout,,51-46,,
7:01.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Harkless),3,54-46,,
6:45.0,,,54-46,,J. Randle misses 2-pt shot from 5 ft
6:42.0,Defensive rebound by M. Harkless,,54-46,,
6:34.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,56-46,,
6:15.0,,,56-48,2,I. Zubac makes 2-pt shot from 2 ft (assist by D. Russell)
5:56.0,N. Vonleh misses 2-pt shot from 6 ft,,56-48,,
5:51.0,,,56-48,,Defensive rebound by J. Clarkson
5:44.0,,,56-48,,J. Randle misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by D. Lillard,,56-48,,
5:39.0,C. McCollum misses 2-pt shot from 5 ft,,56-48,,
5:39.0,,,56-48,,Defensive rebound by Team
5:39.0,Loose ball foul by J. Nurkic (drawn by I. Zubac),,56-48,,
5:39.0,M. Leonard enters the game for J. Nurkic,,56-48,,
5:39.0,A. Crabbe enters the game for C. McCollum,,56-48,,
5:23.0,,,56-48,,I. Zubac misses 2-pt shot from 10 ft
5:21.0,Defensive rebound by N. Vonleh,,56-48,,
5:18.0,D. Lillard makes 2-pt shot from 1 ft,2,58-48,,
5:18.0,Shooting foul by I. Zubac (drawn by D. Lillard),,58-48,,
5:18.0,D. Lillard misses free throw 1 of 1,,58-48,,
5:18.0,,,58-48,,L. Nance enters the game for I. Zubac
5:18.0,A. Aminu enters the game for N. Vonleh,,58-48,,
5:05.0,,,58-48,,Defensive rebound by J. Randle
5:00.0,,,58-50,2,J. Clarkson makes 2-pt shot from 8 ft
5:00.0,,,58-50,,Violation by Team (jump ball)
4:45.0,A. Crabbe makes 2-pt shot from 16 ft (assist by D. Lillard),2,60-50,,
4:33.0,,,60-50,,D. Russell misses 2-pt shot from 16 ft
4:31.0,Defensive rebound by D. Lillard,,60-50,,
4:25.0,A. Aminu misses 2-pt shot from 1 ft,,60-50,,
4:21.0,Offensive rebound by M. Leonard,,60-50,,
4:14.0,A. Crabbe makes 3-pt shot from 25 ft (assist by A. Aminu),3,63-50,,
4:06.0,,,63-53,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Clarkson)
3:49.0,D. Lillard makes 3-pt shot from 25 ft,3,66-53,,
3:49.0,,,66-53,,LA Lakers full timeout
3:49.0,E. Turner enters the game for M. Harkless,,66-53,,
3:49.0,,,66-53,,D. Nwaba enters the game for C. Brewer
3:35.0,,,66-53,,Turnover by D. Nwaba (bad pass)
3:12.0,E. Turner makes 2-pt shot from 11 ft (assist by A. Aminu),2,68-53,,
2:57.0,,,68-53,,D. Russell misses 2-pt shot from 4 ft
2:51.0,Defensive rebound by A. Aminu,,68-53,,
2:46.0,M. Leonard makes 3-pt shot from 24 ft (assist by A. Aminu),3,71-53,,
2:24.0,,,71-53,,J. Clarkson misses 2-pt shot from 13 ft
2:21.0,Defensive rebound by A. Aminu,,71-53,,
2:10.0,D. Lillard makes 3-pt shot from 27 ft,3,74-53,,
2:10.0,,,74-53,,LA Lakers full timeout
2:10.0,,,74-53,,T. Ennis enters the game for J. Randle
2:10.0,,,74-53,,T. Black enters the game for J. Clarkson
2:04.0,,,74-53,,Shooting foul by A. Aminu (drawn by L. Nance)
2:04.0,,,74-54,1,L. Nance makes free throw 1 of 2
2:04.0,,,74-54,,L. Nance misses free throw 2 of 2
1:58.0,Defensive rebound by M. Leonard,,74-54,,
1:45.0,D. Lillard misses 3-pt shot from 26 ft,,74-54,,
1:44.0,,,74-54,,Defensive rebound by D. Nwaba
1:32.0,,,74-56,2,D. Russell makes 2-pt shot from 17 ft
1:07.0,D. Lillard misses 2-pt shot from 7 ft,,74-56,,
1:02.0,,,74-56,,Defensive rebound by L. Nance
0:52.0,,,74-56,,D. Russell misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by D. Lillard,,74-56,,
0:33.0,Shooting foul by T. Black (drawn by D. Lillard),,74-56,,
0:33.0,D. Lillard misses free throw 1 of 2,,74-56,,
0:33.0,Offensive rebound by Team,,74-56,,
0:33.0,D. Lillard makes free throw 2 of 2,1,75-56,,
0:26.0,,,75-56,,T. Ennis misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by A. Crabbe,,75-56,,
0:01.0,D. Lillard makes 2-pt shot from 9 ft,2,77-56,,
0:01.0,,,77-56,,T. Ennis misses 3-pt shot from 67 ft
0:00.0,,,77-56,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,A. Aminu makes 3-pt shot from 24 ft (assist by A. Crabbe),3,80-56,,
11:26.0,,,80-56,,Turnover by T. Ennis (bad pass; steal by A. Crabbe)
11:07.0,Turnover by A. Aminu (traveling),,80-56,,
10:56.0,,,80-56,,L. Nance misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by E. Turner,,80-56,,
10:47.0,,,80-56,,Shooting block foul by L. Nance (drawn by A. Aminu)
10:47.0,A. Aminu makes free throw 1 of 2,1,81-56,,
10:47.0,A. Aminu makes free throw 2 of 2,1,82-56,,
10:40.0,Personal foul by A. Crabbe (drawn by J. Clarkson),,82-56,,
10:29.0,,,82-56,,J. Clarkson misses 2-pt shot from 11 ft
10:26.0,Defensive rebound by A. Aminu,,82-56,,
10:18.0,M. Leonard misses 2-pt shot from 18 ft,,82-56,,
10:16.0,,,82-56,,Defensive rebound by T. Ennis
10:06.0,,,82-59,3,D. Nwaba makes 3-pt shot from 25 ft (assist by T. Ennis)
9:54.0,Turnover by E. Turner (lost ball),,82-59,,
9:38.0,,,82-59,,L. Nance misses 3-pt shot from 23 ft
9:38.0,Defensive rebound by Team,,82-59,,
9:16.0,C. McCollum misses 3-pt shot from 25 ft,,82-59,,
9:14.0,Offensive rebound by E. Turner,,82-59,,
9:07.0,A. Crabbe misses 3-pt shot from 25 ft,,82-59,,
9:05.0,,,82-59,,Defensive rebound by T. Black
9:02.0,,,82-59,,J. Clarkson misses 2-pt shot from 8 ft (block by A. Crabbe)
9:02.0,,,82-59,,Offensive rebound by Team
8:57.0,,,82-61,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson)
8:57.0,,,82-61,,Shooting foul by A. Aminu (drawn by L. Nance)
8:57.0,Official timeout,,82-61,,
8:57.0,,,82-61,,L. Nance misses free throw 1 of 1
8:55.0,Defensive rebound by A. Aminu,,82-61,,
8:37.0,M. Leonard misses 2-pt shot from 18 ft,,82-61,,
8:33.0,,,82-61,,Defensive rebound by J. Clarkson
8:19.0,,,82-63,2,D. Nwaba makes 2-pt shot from 5 ft
8:19.0,,,82-63,,Shooting foul by C. McCollum (drawn by D. Nwaba)
8:19.0,,,82-63,,D. Nwaba misses free throw 1 of 1
8:17.0,Defensive rebound by M. Leonard,,82-63,,
7:56.0,C. McCollum makes 2-pt shot from 15 ft (assist by M. Leonard),2,84-63,,
7:42.0,,,84-65,2,T. Ennis makes 2-pt shot from 1 ft
7:14.0,C. McCollum misses 2-pt shot from 12 ft,,84-65,,
7:10.0,,,84-65,,Defensive rebound by L. Nance
7:06.0,,,84-65,,Shooting foul by E. Turner (drawn by J. Clarkson)
7:06.0,,,84-65,,J. Clarkson misses free throw 1 of 2
7:06.0,,,84-65,,Offensive rebound by Team
7:06.0,,,84-66,1,J. Clarkson makes free throw 2 of 2
7:06.0,,,84-65,,I. Zubac enters the game for T. Black
7:06.0,D. Lillard enters the game for C. McCollum,,84-65,,
7:06.0,M. Harkless enters the game for E. Turner,,84-65,,
7:06.0,J. Nurkic enters the game for M. Leonard,,84-65,,
6:50.0,J. Nurkic misses 2-pt shot from 2 ft,,84-66,,
6:48.0,Offensive rebound by J. Nurkic,,84-66,,
6:48.0,J. Nurkic misses 2-pt shot from 2 ft,,84-66,,
6:42.0,,,84-66,,Defensive rebound by L. Nance
6:39.0,Personal foul by A. Crabbe (drawn by L. Nance),,84-66,,
6:39.0,,,84-66,,L. Nance misses free throw 1 of 2
6:39.0,,,84-66,,Offensive rebound by Team
6:39.0,,,84-66,,L. Nance misses free throw 2 of 2
6:37.0,Defensive rebound by J. Nurkic,,84-66,,
6:29.0,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard),2,86-66,,
6:17.0,,,86-68,2,T. Ennis makes 2-pt shot from 2 ft
6:02.0,J. Nurkic misses 2-pt shot from 1 ft,,86-68,,
5:58.0,,,86-68,,Defensive rebound by I. Zubac
5:50.0,,,86-68,,J. Clarkson misses 2-pt shot from 12 ft
5:45.0,Defensive rebound by D. Lillard,,86-68,,
5:40.0,Shooting foul by T. Ennis (drawn by M. Harkless),,86-68,,
5:40.0,,,86-68,,LA Lakers full timeout
5:40.0,M. Harkless makes free throw 1 of 2,1,87-68,,
5:40.0,M. Harkless makes free throw 2 of 2,1,88-68,,
5:40.0,,,86-68,,D. Russell enters the game for J. Clarkson
5:23.0,,,88-68,,Turnover by D. Russell (bad pass; steal by D. Lillard)
5:23.0,,,88-68,,Loose ball foul by D. Russell (drawn by D. Lillard)
5:08.0,Turnover by D. Lillard (bad pass),,88-68,,
4:44.0,,,88-68,,T. Ennis misses 3-pt shot from 27 ft
4:43.0,Defensive rebound by Team,,88-68,,
4:31.0,D. Lillard misses 3-pt shot from 25 ft,,88-68,,
4:29.0,Offensive rebound by M. Harkless,,88-68,,
4:29.0,,,88-68,,Personal foul by D. Russell (drawn by M. Harkless)
4:18.0,,,88-68,,Personal foul by D. Russell (drawn by J. Nurkic)
4:18.0,J. Nurkic makes free throw 1 of 2,1,89-68,,
4:18.0,J. Nurkic misses free throw 2 of 2,,89-68,,
4:18.0,S. Napier enters the game for D. Lillard,,89-68,,
4:17.0,,,89-68,,Defensive rebound by I. Zubac
4:05.0,,,89-68,,D. Russell misses 2-pt shot from 16 ft
4:01.0,Defensive rebound by J. Nurkic,,89-68,,
3:54.0,Turnover by J. Nurkic (bad pass; steal by T. Ennis),,89-68,,
3:54.0,N. Vonleh enters the game for J. Nurkic,,89-68,,
3:44.0,,,89-70,2,T. Ennis makes 2-pt shot from 1 ft
3:30.0,A. Crabbe makes 3-pt shot from 25 ft (assist by A. Aminu),3,92-70,,
3:15.0,,,92-70,,T. Ennis misses 2-pt shot from 16 ft
3:13.0,Defensive rebound by N. Vonleh,,92-70,,
