time,Washington,pts.away,score,pts.home,Houston
5:56.0,,,41-27,,Defensive rebound by E. Gordon
5:43.0,,,41-29,2,R. Anderson makes 2-pt shot from 9 ft
5:30.0,B. Beal misses 2-pt shot from 4 ft (block by M. Harrell),,41-29,,
5:29.0,Offensive rebound by M. Morris,,41-29,,
5:24.0,O. Porter misses 3-pt shot from 24 ft,,41-29,,
5:23.0,,,41-29,,Defensive rebound by R. Anderson
5:18.0,,,41-29,,E. Gordon misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by M. Gortat,,41-29,,
5:03.0,J. Wall makes 2-pt shot from 4 ft,2,43-29,,
4:56.0,,,43-31,2,E. Gordon makes 2-pt shot from 3 ft (assist by J. Harden)
4:50.0,Shooting foul by T. Ariza (drawn by M. Gortat),,43-31,,
4:50.0,M. Gortat misses free throw 1 of 2,,43-31,,
4:50.0,Offensive rebound by Team,,43-31,,
4:50.0,M. Gortat makes free throw 2 of 2,1,44-31,,
4:43.0,,,44-31,,Shooting foul by M. Morris (drawn by J. Harden)
4:43.0,,,44-32,1,J. Harden makes free throw 1 of 2
4:43.0,,,44-33,1,J. Harden makes free throw 2 of 2
4:31.0,O. Porter makes 2-pt shot from 3 ft (assist by M. Morris),2,46-33,,
4:06.0,,,46-33,,J. Harden misses 2-pt shot from 17 ft
4:04.0,Defensive rebound by J. Wall,,46-33,,
3:57.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,48-33,,
3:41.0,,,48-33,,R. Anderson misses 3-pt shot from 29 ft
3:40.0,,,48-33,,Offensive rebound by M. Harrell
3:40.0,,,48-35,2,M. Harrell makes 2-pt shot from 1 ft
3:40.0,,,48-35,,Shooting foul by M. Morris (drawn by M. Harrell)
3:40.0,,,48-36,1,M. Harrell makes free throw 1 of 1
3:28.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,51-36,,
3:11.0,,,51-36,,M. Harrell misses 2-pt shot from 15 ft
3:10.0,Defensive rebound by B. Beal,,51-36,,
3:01.0,O. Porter misses 2-pt shot from 20 ft,,51-36,,
3:00.0,,,51-36,,Defensive rebound by J. Harden
2:51.0,,,51-38,2,M. Harrell makes 2-pt shot at rim (assist by R. Anderson)
2:51.0,,,51-38,,Violation by Team (jump ball)
2:40.0,Turnover by J. Wall (bad pass; steal by J. Harden),,51-38,,
2:37.0,,,51-38,,T. Ariza misses 2-pt shot from 4 ft (block by O. Porter)
2:37.0,Defensive rebound by Team,,51-38,,
2:37.0,Official timeout,,51-38,,
2:20.0,B. Beal misses 3-pt shot from 26 ft,,51-38,,
2:19.0,,,51-38,,Defensive rebound by M. Harrell
2:07.0,,,51-40,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
1:46.0,Turnover by J. Wall (lost ball; steal by T. Ariza),,51-40,,
1:41.0,,,51-40,,J. Harden misses 2-pt shot from 4 ft
1:38.0,Defensive rebound by M. Morris,,51-40,,
1:32.0,O. Porter misses 2-pt shot from 8 ft,,51-40,,
1:32.0,Offensive rebound by J. Wall,,51-40,,
1:32.0,J. Wall misses 2-pt shot from 1 ft,,51-40,,
1:32.0,,,51-40,,Defensive rebound by Team
1:21.0,,,51-40,,J. Harden misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by J. Wall,,51-40,,
1:15.0,B. Beal misses 2-pt shot from 1 ft,,51-40,,
1:12.0,,,51-40,,Defensive rebound by T. Ariza
1:09.0,,,51-40,,Turnover by E. Gordon (step out of bounds)
0:57.0,M. Gortat misses 2-pt shot from 9 ft,,51-40,,
0:56.0,,,51-40,,Defensive rebound by M. Harrell
0:49.0,,,51-40,,Turnover by E. Gordon (lost ball)
0:31.0,J. Wall misses 2-pt shot from 17 ft (block by M. Harrell),,51-40,,
0:29.0,,,51-40,,Defensive rebound by M. Harrell
0:28.0,Personal foul by J. Wall (drawn by M. Harrell),,51-40,,
0:28.0,,,51-40,,M. Harrell misses free throw 1 of 2
0:28.0,,,51-40,,Offensive rebound by Team
0:28.0,,,51-41,1,M. Harrell makes free throw 2 of 2
0:10.0,,,51-41,,Personal foul by E. Gordon (drawn by J. Wall)
0:07.0,J. Wall makes 2-pt shot from 3 ft (assist by M. Gortat),2,53-41,,
0:07.0,,,53-41,,Shooting block foul by R. Anderson (drawn by J. Wall)
0:07.0,J. Wall misses free throw 1 of 1,,53-41,,
0:07.0,,,53-41,,Defensive rebound by M. Harrell
0:07.0,K. Oubre enters the game for M. Morris,,53-41,,
0:01.0,,,53-41,,M. Harrell misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by M. Gortat,,53-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,53-41,,Turnover by M. Harrell (bad pass; steal by M. Gortat)
11:30.0,Turnover by M. Morris (bad pass),,53-41,,
11:22.0,,,53-43,2,J. Harden makes 2-pt shot from 1 ft
11:22.0,,,53-43,,Shooting foul by M. Morris (drawn by J. Harden)
11:22.0,,,53-43,,J. Harden misses free throw 1 of 1
11:22.0,Defensive rebound by M. Gortat,,53-43,,
11:05.0,Turnover by B. Beal (bad pass; steal by R. Anderson),,53-43,,
11:00.0,,,53-43,,Turnover by J. Harden (bad pass; steal by J. Wall)
10:49.0,B. Beal makes 2-pt shot from 23 ft (assist by J. Wall),2,55-43,,
10:32.0,,,55-46,3,T. Ariza makes 3-pt shot from 27 ft (assist by C. Brewer)
10:25.0,B. Beal misses 3-pt shot from 26 ft,,55-46,,
10:24.0,,,55-46,,Defensive rebound by T. Ariza
10:05.0,,,55-46,,C. Brewer misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by M. Morris,,55-46,,
9:48.0,Turnover by M. Gortat (bad pass),,55-46,,
9:29.0,Violation by M. Gortat (kicked ball),,55-46,,
9:20.0,,,55-49,3,R. Anderson makes 3-pt shot from 27 ft (assist by T. Ariza)
8:56.0,M. Gortat makes 2-pt shot from 1 ft,2,57-49,,
8:41.0,,,57-49,,J. Harden misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by O. Porter,,57-49,,
8:35.0,Turnover by J. Wall (offensive foul),,57-49,,
8:35.0,Offensive charge foul by J. Wall,,57-49,,
8:25.0,,,57-49,,Shooting foul by O. Porter (drawn by J. Harden)
8:25.0,,,57-50,1,J. Harden makes free throw 1 of 3
8:25.0,,,57-51,1,J. Harden makes free throw 2 of 3
8:25.0,,,57-52,1,J. Harden makes free throw 3 of 3
8:10.0,M. Morris misses 2-pt shot from 10 ft,,57-52,,
8:09.0,,,57-52,,Defensive rebound by M. Harrell
7:56.0,,,57-54,2,J. Harden makes 2-pt shot from 19 ft
7:55.0,Washington full timeout,,57-54,,
7:47.0,,,57-54,,Personal foul by C. Brewer (drawn by J. Wall)
7:29.0,J. Wall misses 2-pt shot from 18 ft,,57-54,,
7:28.0,,,57-54,,Defensive rebound by T. Ariza
7:06.0,,,57-54,,J. Harden misses 2-pt shot from 18 ft
7:04.0,Defensive rebound by M. Gortat,,57-54,,
6:54.0,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall),3,60-54,,
6:27.0,,,60-54,,Turnover by Team (shot clock)
6:27.0,,,60-54,,E. Gordon enters the game for C. Brewer
6:15.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,62-54,,
6:05.0,Personal foul by M. Gortat (drawn by T. Ariza),,62-54,,
5:55.0,,,62-54,,J. Harden misses 2-pt shot from 12 ft
5:54.0,Defensive rebound by M. Gortat,,62-54,,
5:48.0,J. Wall misses 2-pt shot from 3 ft (block by E. Gordon),,62-54,,
5:45.0,,,62-54,,Defensive rebound by M. Harrell
5:39.0,,,62-56,2,E. Gordon makes 2-pt shot from 1 ft (assist by T. Ariza)
5:16.0,B. Beal misses 3-pt shot from 25 ft,,62-56,,
5:15.0,,,62-56,,Defensive rebound by J. Harden
4:58.0,,,62-59,3,E. Gordon makes 3-pt shot from 25 ft
4:44.0,J. Wall makes 2-pt shot from 2 ft,2,64-59,,
4:27.0,,,64-59,,J. Harden misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by Team,,64-59,,
4:24.0,K. Oubre enters the game for M. Morris,,64-59,,
4:09.0,O. Porter misses 3-pt shot from 23 ft,,64-59,,
4:09.0,Offensive rebound by Team,,64-59,,
4:09.0,,,64-59,,Loose ball foul by R. Anderson (drawn by M. Gortat)
4:05.0,Offensive foul by M. Gortat,,64-59,,
4:05.0,Turnover by M. Gortat (offensive foul),,64-59,,
3:54.0,,,64-62,3,E. Gordon makes 3-pt shot from 27 ft
3:38.0,J. Wall misses 3-pt shot from 25 ft,,64-62,,
3:37.0,,,64-62,,Defensive rebound by R. Anderson
3:32.0,,,64-62,,Turnover by J. Harden (lost ball; steal by K. Oubre)
3:26.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,66-62,,
3:18.0,,,66-65,3,J. Harden makes 3-pt shot from 26 ft (assist by R. Anderson)
3:05.0,B. Beal misses 3-pt shot from 26 ft,,66-65,,
3:04.0,Offensive rebound by M. Gortat,,66-65,,
3:01.0,J. Wall misses 3-pt shot from 25 ft,,66-65,,
3:01.0,,,66-65,,Defensive rebound by Team
3:01.0,,,66-65,,Houston full timeout
3:01.0,,,66-65,,S. Dekker enters the game for R. Anderson
3:01.0,,,66-65,,N. Hilario enters the game for M. Harrell
3:01.0,M. Thornton enters the game for B. Beal,,66-65,,
2:53.0,Personal foul by O. Porter (drawn by N. Hilario),,66-65,,
2:45.0,,,66-67,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
2:30.0,O. Porter misses 2-pt shot from 6 ft (block by N. Hilario),,66-67,,
2:30.0,,,66-67,,Defensive rebound by Team
2:05.0,,,66-69,2,N. Hilario makes 2-pt shot from 13 ft (assist by T. Ariza)
1:44.0,M. Thornton misses 2-pt shot from 9 ft (block by T. Ariza),,66-69,,
1:44.0,,,66-69,,Defensive rebound by Team
1:28.0,,,66-71,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
1:13.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,68-71,,
0:59.0,,,68-74,3,T. Ariza makes 3-pt shot from 24 ft (assist by E. Gordon)
0:54.0,Shooting foul by E. Gordon (drawn by J. Wall),,68-74,,
0:54.0,J. Wall makes free throw 1 of 2,1,69-74,,
0:54.0,J. Wall makes free throw 2 of 2,1,70-74,,
0:37.0,,,70-77,3,E. Gordon makes 3-pt shot from 26 ft (assist by N. Hilario)
0:24.0,O. Porter misses 3-pt shot from 25 ft,,70-77,,
0:23.0,,,70-77,,Defensive rebound by S. Dekker
0:17.0,,,70-77,,Shooting foul by O. Porter (drawn by E. Gordon)
0:17.0,,,70-77,,E. Gordon misses free throw 1 of 2
0:17.0,,,70-77,,Offensive rebound by Team
0:17.0,,,70-78,1,E. Gordon makes free throw 2 of 2
0:00.0,J. Wall misses 2-pt shot from 21 ft,,70-78,,
0:00.0,Offensive rebound by Team,,70-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,M. Thornton makes 3-pt shot from 26 ft (assist by M. Gortat),3,73-78,,
11:22.0,,,73-78,,Turnover by J. Harden (bad pass)
11:13.0,,,73-78,,Personal foul by J. Harden (drawn by O. Porter)
11:07.0,Turnover by T. Burke (traveling),,73-78,,
10:53.0,,,73-78,,J. Harden misses 2-pt shot from 3 ft
10:50.0,,,73-78,,Offensive rebound by Team
10:42.0,,,73-80,2,T. Ariza makes 2-pt shot at rim
10:30.0,O. Porter misses 3-pt shot from 24 ft,,73-80,,
10:29.0,,,73-80,,Defensive rebound by J. Harden
10:20.0,,,73-80,,J. Harden misses 2-pt shot from 16 ft
10:19.0,Defensive rebound by O. Porter,,73-80,,
10:07.0,M. Thornton misses 3-pt shot from 26 ft,,73-80,,
10:06.0,,,73-80,,Defensive rebound by S. Dekker
9:57.0,Personal foul by T. Burke (drawn by N. Hilario),,73-80,,
9:57.0,B. Beal enters the game for O. Porter,,73-80,,
9:52.0,,,73-80,,N. Hilario misses 2-pt shot at rim
9:51.0,Defensive rebound by B. Beal,,73-80,,
9:33.0,Turnover by B. Beal (bad pass; steal by S. Dekker),,73-80,,
9:23.0,,,73-80,,T. Ariza misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by K. Oubre,,73-80,,
9:05.0,M. Thornton misses 2-pt shot from 7 ft,,73-80,,
9:04.0,,,73-80,,Defensive rebound by E. Gordon
8:55.0,,,73-80,,E. Gordon misses 3-pt shot from 26 ft
8:54.0,,,73-80,,Offensive rebound by S. Dekker
8:49.0,,,73-80,,E. Gordon misses 3-pt shot from 27 ft
8:48.0,Defensive rebound by M. Gortat,,73-80,,
8:35.0,B. Beal makes 3-pt shot from 25 ft,3,76-80,,
8:10.0,,,76-80,,Shooting foul by M. Thornton (drawn by J. Harden)
8:10.0,,,76-80,,Houston full timeout
8:10.0,,,76-81,1,J. Harden makes free throw 1 of 2
8:10.0,,,76-82,1,J. Harden makes free throw 2 of 2
8:10.0,,,76-80,,M. Harrell enters the game for N. Hilario
7:57.0,M. Gortat misses 2-pt shot from 8 ft,,76-82,,
7:56.0,,,76-82,,Defensive rebound by J. Harden
7:48.0,,,76-82,,J. Harden misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by M. Thornton,,76-82,,
7:30.0,B. Beal misses 2-pt shot from 20 ft,,76-82,,
7:29.0,,,76-82,,Defensive rebound by J. Harden
7:21.0,,,76-82,,M. Harrell misses 2-pt shot from 10 ft
7:20.0,Defensive rebound by M. Thornton,,76-82,,
7:07.0,K. Oubre misses 2-pt shot from 6 ft (block by S. Dekker),,76-82,,
7:03.0,,,76-82,,Defensive rebound by S. Dekker
6:44.0,,,76-82,,S. Dekker misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by K. Oubre,,76-82,,
6:32.0,B. Beal makes 2-pt shot from 18 ft,2,78-82,,
6:32.0,,,78-82,,Houston full timeout
6:32.0,M. Morris enters the game for M. Gortat,,78-82,,
6:32.0,J. Wall enters the game for T. Burke,,78-82,,
6:32.0,,,78-82,,R. Anderson enters the game for J. Harden
6:32.0,,,78-82,,T. Ennis enters the game for S. Dekker
6:15.0,,,78-82,,T. Ennis misses 2-pt shot from 4 ft (block by M. Morris)
6:15.0,,,78-82,,Offensive rebound by Team
6:12.0,,,78-82,,T. Ennis misses 3-pt shot from 23 ft
6:10.0,,,78-82,,Offensive rebound by M. Harrell
6:08.0,,,78-82,,M. Harrell misses 2-pt shot from 2 ft
6:07.0,Defensive rebound by M. Morris,,78-82,,
5:52.0,Turnover by B. Beal (bad pass; steal by T. Ariza),,78-82,,
5:46.0,,,78-82,,T. Ariza misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by M. Morris,,78-82,,
5:32.0,Turnover by M. Thornton (bad pass; steal by T. Ariza),,78-82,,
5:27.0,,,78-82,,M. Harrell misses 2-pt shot at rim
5:26.0,Defensive rebound by M. Morris,,78-82,,
5:20.0,J. Wall makes 2-pt shot from 2 ft,2,80-82,,
5:02.0,,,80-82,,Turnover by E. Gordon (bad pass; steal by K. Oubre)
4:58.0,Shooting foul by E. Gordon (drawn by M. Morris),,80-82,,
4:58.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,82-82,,
4:58.0,M. Morris misses free throw 1 of 1,,82-82,,
4:58.0,,,82-82,,J. Harden enters the game for T. Ennis
4:56.0,,,82-82,,Defensive rebound by J. Harden
4:45.0,,,82-82,,J. Harden misses 2-pt shot from 3 ft
4:43.0,,,82-82,,Offensive rebound by R. Anderson
4:43.0,Loose ball foul by M. Thornton (drawn by R. Anderson),,82-82,,
4:29.0,,,82-85,3,E. Gordon makes 3-pt shot from 26 ft
4:11.0,J. Wall misses 2-pt shot from 20 ft,,82-85,,
4:10.0,,,82-85,,Defensive rebound by J. Harden
4:02.0,,,82-87,2,M. Harrell makes 2-pt shot at rim (assist by T. Ariza)
4:02.0,Washington full timeout,,82-87,,
4:02.0,O. Porter enters the game for M. Thornton,,82-87,,
3:53.0,J. Wall misses 2-pt shot from 5 ft (block by T. Ariza),,82-87,,
3:50.0,,,82-87,,Defensive rebound by J. Harden
3:45.0,,,82-87,,Turnover by R. Anderson (bad pass; steal by O. Porter)
3:40.0,,,82-87,,Personal foul by R. Anderson (drawn by B. Beal)
3:40.0,B. Beal makes free throw 1 of 2,1,83-87,,
3:40.0,B. Beal makes free throw 2 of 2,1,84-87,,
3:23.0,,,84-87,,Shooting foul by M. Morris (drawn by E. Gordon)
3:23.0,,,84-88,1,E. Gordon makes free throw 1 of 2
3:23.0,,,84-89,1,E. Gordon makes free throw 2 of 2
3:01.0,K. Oubre misses 2-pt shot from 2 ft,,84-89,,
3:00.0,,,84-89,,Defensive rebound by J. Harden
2:56.0,Violation by M. Morris (kicked ball),,84-89,,
2:45.0,,,84-89,,Shooting foul by K. Oubre (drawn by J. Harden)
2:45.0,,,84-90,1,J. Harden makes free throw 1 of 2
2:45.0,,,84-91,1,J. Harden makes free throw 2 of 2
2:45.0,M. Gortat enters the game for K. Oubre,,84-90,,
2:32.0,B. Beal makes 2-pt shot from 10 ft,2,86-91,,
2:14.0,,,86-94,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
2:00.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,89-94,,
1:40.0,,,89-97,3,J. Harden makes 3-pt shot from 26 ft
1:30.0,M. Gortat misses 2-pt shot from 10 ft (block by R. Anderson),,89-97,,
