time,Houston,pts.away,score,pts.home,San Antonio
6:53.0,E. Gordon misses 3-pt shot from 26 ft,,47-32,,
6:51.0,,,47-32,,Defensive rebound by T. Parker
6:47.0,,,47-32,,D. Green misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by C. Capela,,47-32,,
6:39.0,L. Williams misses 2-pt shot at rim,,47-32,,
6:38.0,,,47-32,,Defensive rebound by K. Leonard
6:16.0,,,47-34,2,K. Leonard makes 2-pt shot from 17 ft
6:16.0,Houston full timeout,,47-34,,
6:16.0,T. Ariza enters the game for P. Beverley,,47-34,,
6:16.0,R. Anderson enters the game for L. Williams,,47-34,,
6:16.0,J. Harden enters the game for S. Dekker,,47-34,,
6:02.0,Turnover by E. Gordon (bad pass),,47-34,,
5:52.0,,,47-36,2,J. Simmons makes 2-pt shot from 1 ft
5:42.0,R. Anderson misses 3-pt shot from 25 ft,,47-36,,
5:41.0,,,47-36,,Defensive rebound by K. Leonard
5:29.0,,,47-38,2,D. Green makes 2-pt shot from 20 ft (assist by L. Aldridge)
5:20.0,,,47-38,,M. Ginobili enters the game for T. Parker
5:04.0,T. Ariza misses 3-pt shot from 24 ft,,47-38,,
5:04.0,,,47-38,,Defensive rebound by Team
4:53.0,,,47-38,,K. Leonard misses 2-pt shot from 19 ft
4:53.0,Defensive rebound by J. Harden,,47-38,,
4:39.0,Turnover by J. Harden (bad pass),,47-38,,
4:23.0,,,47-40,2,K. Leonard makes 2-pt shot from 8 ft (assist by D. Green)
4:04.0,C. Capela misses 2-pt shot from 5 ft,,47-40,,
4:04.0,,,47-40,,Defensive rebound by Team
4:04.0,Loose ball foul by C. Capela (drawn by L. Aldridge),,47-40,,
4:04.0,,,47-41,1,L. Aldridge makes free throw 1 of 2
4:04.0,,,47-42,1,L. Aldridge makes free throw 2 of 2
4:04.0,,,47-41,,P. Mills enters the game for J. Simmons
4:04.0,P. Beverley enters the game for C. Capela,,47-41,,
3:43.0,J. Harden makes 3-pt shot from 25 ft,3,50-42,,
3:30.0,,,50-42,,Shooting foul by R. Anderson (drawn by L. Aldridge)
3:30.0,,,50-43,1,L. Aldridge makes free throw 1 of 2
3:30.0,,,50-43,,L. Aldridge misses free throw 2 of 2
3:28.0,Defensive rebound by T. Ariza,,50-43,,
3:11.0,J. Harden makes 2-pt shot from 1 ft,2,52-43,,
2:48.0,,,52-43,,P. Mills misses 3-pt shot from 23 ft
2:47.0,Defensive rebound by P. Beverley,,52-43,,
2:26.0,Turnover by J. Harden (lost ball; steal by M. Ginobili),,52-43,,
2:19.0,,,52-43,,M. Ginobili misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by R. Anderson,,52-43,,
2:03.0,E. Gordon misses 2-pt shot from 1 ft,,52-43,,
2:02.0,,,52-43,,Defensive rebound by D. Green
1:49.0,,,52-45,2,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Leonard)
1:32.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,54-45,,
1:31.0,,,54-45,,San Antonio full timeout
1:14.0,,,54-45,,P. Mills misses 2-pt shot from 19 ft
1:13.0,Defensive rebound by T. Ariza,,54-45,,
0:57.0,P. Beverley misses 2-pt shot from 8 ft,,54-45,,
0:56.0,,,54-45,,Defensive rebound by K. Leonard
0:43.0,,,54-45,,D. Green misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by T. Ariza,,54-45,,
0:22.0,R. Anderson misses 3-pt shot from 26 ft,,54-45,,
0:21.0,,,54-45,,Defensive rebound by L. Aldridge
0:11.0,,,54-47,2,M. Ginobili makes 2-pt shot from 1 ft (assist by D. Green)
0:07.0,,,54-47,,Personal foul by M. Ginobili (drawn by J. Harden)
0:07.0,,,54-47,,J. Simmons enters the game for L. Aldridge
0:02.0,Turnover by J. Harden (lost ball; steal by D. Green),,54-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,J. Harden makes 3-pt shot from 26 ft,3,57-47,,
11:20.0,,,57-47,,T. Parker misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by P. Beverley,,57-47,,
11:10.0,C. Capela misses 2-pt shot from 1 ft,,57-47,,
11:08.0,Offensive rebound by J. Harden,,57-47,,
11:06.0,J. Harden makes 2-pt shot from 2 ft,2,59-47,,
10:51.0,,,59-47,,L. Aldridge misses 2-pt shot from 18 ft
10:50.0,Defensive rebound by P. Beverley,,59-47,,
10:40.0,J. Harden misses 2-pt shot from 9 ft,,59-47,,
10:40.0,,,59-47,,Defensive rebound by D. Dedmon
10:20.0,,,59-49,2,K. Leonard makes 2-pt shot from 17 ft (assist by L. Aldridge)
10:07.0,,,59-49,,Shooting block foul by D. Dedmon (drawn by T. Ariza)
10:07.0,T. Ariza makes 2-pt shot from 7 ft (assist by J. Harden),2,61-49,,
10:07.0,T. Ariza makes free throw 1 of 1,1,62-49,,
9:49.0,,,62-49,,Shooting foul by C. Capela (drawn by L. Aldridge)
9:49.0,,,62-50,1,L. Aldridge makes free throw 1 of 2
9:49.0,,,62-51,1,L. Aldridge makes free throw 2 of 2
9:49.0,,,62-50,,D. Lee enters the game for D. Dedmon
9:30.0,J. Harden makes 2-pt shot from 6 ft,2,64-51,,
9:14.0,,,64-53,2,L. Aldridge makes 2-pt shot from 2 ft
8:54.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,67-53,,
8:27.0,,,67-56,3,T. Parker makes 3-pt shot from 24 ft (assist by K. Leonard)
8:13.0,T. Ariza misses 3-pt shot from 25 ft,,67-56,,
8:13.0,,,67-56,,Defensive rebound by K. Leonard
8:01.0,,,67-56,,Turnover by K. Leonard (lost ball; steal by P. Beverley)
7:45.0,Turnover by P. Beverley (step out of bounds),,67-56,,
7:24.0,,,67-56,,T. Parker misses 2-pt shot from 17 ft
7:23.0,Defensive rebound by T. Ariza,,67-56,,
7:15.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,69-56,,
7:15.0,,,69-56,,San Antonio full timeout
7:00.0,,,69-59,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
6:40.0,Turnover by J. Harden (bad pass; steal by D. Lee),,69-59,,
6:21.0,,,69-62,3,T. Parker makes 3-pt shot from 25 ft (assist by K. Leonard)
6:10.0,Turnover by J. Harden (bad pass),,69-62,,
5:51.0,,,69-65,3,T. Parker makes 3-pt shot from 23 ft (assist by D. Green)
5:33.0,Turnover by J. Harden (bad pass; steal by K. Leonard),,69-65,,
5:23.0,,,69-67,2,D. Lee makes 2-pt shot at rim (assist by K. Leonard)
5:23.0,Houston full timeout,,69-67,,
5:23.0,E. Gordon enters the game for P. Beverley,,69-67,,
5:23.0,N. Hilario enters the game for C. Capela,,69-67,,
5:11.0,J. Harden makes 2-pt shot from 1 ft,2,71-67,,
4:53.0,,,71-69,2,K. Leonard makes 2-pt shot from 17 ft
4:31.0,N. Hilario misses 2-pt shot from 9 ft (block by D. Lee),,71-69,,
4:30.0,,,71-69,,Defensive rebound by D. Green
4:23.0,Personal foul by J. Harden (drawn by K. Leonard),,71-69,,
4:09.0,,,71-69,,T. Parker misses 3-pt shot from 29 ft
4:09.0,,,71-69,,Offensive rebound by Team
4:09.0,,,71-69,,Turnover by Team (shot clock)
3:57.0,J. Harden misses 2-pt shot from 15 ft,,71-69,,
3:54.0,,,71-69,,Defensive rebound by T. Parker
3:51.0,,,71-71,2,T. Parker makes 2-pt shot from 1 ft
3:46.0,Turnover by J. Harden (bad pass; steal by D. Green),,71-71,,
3:30.0,,,71-73,2,D. Lee makes 2-pt shot at rim (assist by K. Leonard)
3:30.0,Houston full timeout,,71-73,,
3:30.0,,,71-73,,P. Mills enters the game for T. Parker
3:30.0,,,71-73,,M. Ginobili enters the game for D. Green
3:30.0,,,71-73,,P. Gasol enters the game for L. Aldridge
3:30.0,S. Dekker enters the game for R. Anderson,,71-73,,
3:20.0,E. Gordon misses 3-pt shot from 26 ft,,71-73,,
3:18.0,,,71-73,,Defensive rebound by P. Mills
3:02.0,,,71-73,,P. Gasol misses 2-pt shot at rim
3:01.0,Defensive rebound by N. Hilario,,71-73,,
2:53.0,T. Ariza makes 3-pt shot from 25 ft (assist by E. Gordon),3,74-73,,
2:42.0,,,74-75,2,P. Mills makes 2-pt shot from 1 ft
2:24.0,Shooting foul by D. Lee (drawn by N. Hilario),,74-75,,
2:24.0,N. Hilario misses free throw 1 of 2,,74-75,,
2:24.0,Offensive rebound by Team,,74-75,,
2:24.0,N. Hilario misses free throw 2 of 2,,74-75,,
2:24.0,L. Williams enters the game for T. Ariza,,74-75,,
2:22.0,,,74-75,,Defensive rebound by P. Mills
2:09.0,,,74-75,,P. Gasol misses 2-pt shot from 15 ft
2:08.0,Defensive rebound by E. Gordon,,74-75,,
2:03.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,76-75,,
2:03.0,Shooting foul by D. Lee (drawn by N. Hilario),,76-75,,
2:03.0,N. Hilario makes free throw 1 of 1,1,77-75,,
1:53.0,,,77-75,,P. Gasol misses 3-pt shot from 25 ft
1:51.0,,,77-75,,Offensive rebound by D. Lee
1:48.0,,,77-75,,D. Lee misses 2-pt shot from 2 ft
1:47.0,,,77-75,,Offensive rebound by M. Ginobili
1:38.0,,,77-75,,Shooting foul by N. Hilario (drawn by K. Leonard)
1:38.0,,,77-76,1,K. Leonard makes free throw 1 of 2
1:38.0,,,77-77,1,K. Leonard makes free throw 2 of 2
1:19.0,L. Williams misses 3-pt shot from 24 ft (block by K. Leonard),,77-77,,
1:17.0,,,77-77,,Defensive rebound by M. Ginobili
1:10.0,,,77-77,,Turnover by M. Ginobili (bad pass; steal by E. Gordon)
1:08.0,,,77-77,,Clear path foul by P. Mills
1:08.0,E. Gordon makes clear path free throw 1 of 2,1,78-77,,
1:08.0,E. Gordon makes clear path free throw 2 of 2,1,79-77,,
1:03.0,S. Dekker misses 3-pt shot from 24 ft,,79-77,,
1:03.0,,,79-77,,Defensive rebound by K. Leonard
0:44.0,,,79-77,,K. Leonard misses 2-pt shot from 15 ft
0:42.0,,,79-77,,Offensive rebound by M. Ginobili
0:38.0,,,79-77,,M. Ginobili misses 2-pt shot from 10 ft
0:37.0,,,79-77,,Offensive rebound by D. Lee
0:37.0,,,79-79,2,D. Lee makes 2-pt shot from 2 ft
0:30.0,Shooting foul by K. Leonard (drawn by J. Harden),,79-79,,
0:30.0,J. Harden makes free throw 1 of 3,1,80-79,,
0:30.0,J. Harden makes free throw 2 of 3,1,81-79,,
0:30.0,J. Harden makes free throw 3 of 3,1,82-79,,
0:08.0,,,82-79,,Shooting foul by J. Harden (drawn by K. Leonard)
0:08.0,,,82-80,1,K. Leonard makes free throw 1 of 2
0:08.0,,,82-81,1,K. Leonard makes free throw 2 of 2
0:08.0,,,82-80,,J. Simmons enters the game for P. Gasol
0:08.0,,,82-80,,D. Green enters the game for D. Lee
0:01.0,L. Williams misses 2-pt shot from 21 ft,,82-81,,
0:00.0,Offensive rebound by Team,,82-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,82-83,2,M. Ginobili makes 2-pt shot from 2 ft
11:31.0,L. Williams misses 3-pt shot from 26 ft (block by J. Simmons),,82-83,,
11:30.0,,,82-83,,Defensive rebound by Team
11:12.0,,,82-86,3,P. Mills makes 3-pt shot from 25 ft (assist by P. Gasol)
10:57.0,P. Beverley makes 3-pt shot from 26 ft,3,85-86,,
10:39.0,,,85-86,,P. Gasol misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by P. Beverley,,85-86,,
10:21.0,E. Gordon misses 3-pt shot from 24 ft,,85-86,,
10:19.0,Offensive rebound by E. Gordon,,85-86,,
10:16.0,E. Gordon makes 2-pt shot from 1 ft,2,87-86,,
10:05.0,,,87-86,,P. Gasol misses 2-pt shot from 1 ft
10:05.0,Defensive rebound by S. Dekker,,87-86,,
9:56.0,L. Williams misses 2-pt shot from 1 ft,,87-86,,
9:56.0,Offensive rebound by S. Dekker,,87-86,,
9:56.0,S. Dekker makes 2-pt shot at rim,2,89-86,,
9:56.0,,,89-86,,San Antonio full timeout
9:56.0,,,89-86,,L. Aldridge enters the game for P. Gasol
9:43.0,,,89-86,,M. Ginobili misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by P. Beverley,,89-86,,
9:22.0,P. Beverley misses 3-pt shot from 24 ft,,89-86,,
9:22.0,,,89-86,,Defensive rebound by J. Simmons
9:15.0,,,89-88,2,J. Simmons makes 2-pt shot from 15 ft
9:03.0,Turnover by L. Williams (bad pass; steal by D. Lee),,89-88,,
8:59.0,,,89-88,,Offensive foul by J. Simmons
8:59.0,,,89-88,,Turnover by J. Simmons (offensive foul)
8:59.0,T. Ariza enters the game for S. Dekker,,89-88,,
8:59.0,,,89-88,,P. Gasol enters the game for D. Lee
8:47.0,P. Beverley misses 2-pt shot from 1 ft,,89-88,,
8:42.0,Offensive rebound by C. Capela,,89-88,,
8:42.0,C. Capela makes 2-pt shot at rim,2,91-88,,
8:25.0,,,91-88,,P. Mills misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by C. Capela,,91-88,,
8:18.0,E. Gordon misses 3-pt shot from 27 ft,,91-88,,
8:15.0,,,91-88,,Defensive rebound by P. Gasol
8:05.0,,,91-88,,L. Aldridge misses 2-pt shot from 12 ft
8:05.0,Defensive rebound by Team,,91-88,,
8:05.0,,,91-88,,K. Leonard enters the game for M. Ginobili
8:05.0,,,91-88,,T. Parker enters the game for P. Mills
8:05.0,,,91-88,,D. Green enters the game for J. Simmons
7:52.0,C. Capela makes 2-pt shot at rim (assist by L. Williams),2,93-88,,
7:30.0,,,93-88,,Shooting foul by T. Ariza (drawn by P. Gasol)
7:30.0,,,93-89,1,P. Gasol makes free throw 1 of 2
7:30.0,,,93-89,,P. Gasol misses free throw 2 of 2
7:28.0,Defensive rebound by E. Gordon,,93-89,,
7:20.0,Shooting foul by T. Parker (drawn by L. Williams),,93-89,,
7:20.0,L. Williams makes free throw 1 of 3,1,94-89,,
7:20.0,L. Williams makes free throw 2 of 3,1,95-89,,
7:20.0,L. Williams makes free throw 3 of 3,1,96-89,,
7:02.0,Personal block foul by T. Ariza (drawn by P. Gasol),,96-89,,
6:49.0,,,96-91,2,K. Leonard makes 2-pt shot from 13 ft
6:37.0,L. Williams makes 2-pt shot from 6 ft,2,98-91,,
6:20.0,,,98-91,,T. Parker misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by C. Capela,,98-91,,
6:09.0,C. Capela misses 2-pt shot from 4 ft (block by P. Gasol),,98-91,,
6:07.0,,,98-91,,Defensive rebound by L. Aldridge
6:03.0,,,98-93,2,T. Parker makes 2-pt shot from 1 ft (assist by L. Aldridge)
5:44.0,L. Williams misses 3-pt shot from 26 ft,,98-93,,
5:44.0,,,98-93,,Defensive rebound by Team
5:44.0,Loose ball foul by C. Capela (drawn by P. Gasol),,98-93,,
5:44.0,Official timeout,,98-93,,
5:44.0,J. Harden enters the game for P. Beverley,,98-93,,
5:44.0,,,98-93,,D. Lee enters the game for P. Gasol
5:30.0,,,98-93,,D. Green misses 2-pt shot from 2 ft
5:29.0,,,98-93,,Offensive rebound by D. Lee
5:29.0,,,98-93,,D. Lee misses 2-pt shot from 1 ft
5:28.0,Defensive rebound by C. Capela,,98-93,,
5:12.0,T. Ariza misses 3-pt shot from 24 ft,,98-93,,
5:10.0,,,98-93,,Defensive rebound by D. Lee
5:00.0,,,98-96,3,K. Leonard makes 3-pt shot from 25 ft
4:48.0,J. Harden misses 2-pt shot from 1 ft,,98-96,,
4:46.0,,,98-96,,Defensive rebound by T. Parker
4:43.0,,,98-96,,Shooting foul by E. Gordon (drawn by T. Parker)
4:43.0,,,98-97,1,T. Parker makes free throw 1 of 2
4:43.0,Violation by E. Gordon (lane),,98-97,,
4:43.0,,,98-98,1,T. Parker makes free throw 2 of 2
4:43.0,N. Hilario enters the game for C. Capela,,98-97,,
4:33.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden),3,101-98,,
4:13.0,,,101-98,,Turnover by T. Parker (lost ball)
3:51.0,J. Harden makes 3-pt shot from 26 ft,3,104-98,,
3:38.0,,,104-98,,Shooting foul by T. Ariza (drawn by K. Leonard)
3:38.0,,,104-99,1,K. Leonard makes free throw 1 of 3
3:38.0,,,104-100,1,K. Leonard makes free throw 2 of 3
3:38.0,,,104-101,1,K. Leonard makes free throw 3 of 3
3:29.0,Turnover by Team (back court),,104-101,,
3:15.0,,,104-101,,K. Leonard misses 2-pt shot from 9 ft
3:13.0,,,104-101,,Offensive rebound by D. Lee
3:12.0,Personal foul by T. Ariza (drawn by K. Leonard),,104-101,,
3:12.0,,,104-102,1,K. Leonard makes free throw 1 of 2
3:12.0,,,104-103,1,K. Leonard makes free throw 2 of 2
3:12.0,P. Beverley enters the game for L. Williams,,104-102,,
2:55.0,J. Harden misses 3-pt shot from 23 ft,,104-103,,
2:55.0,,,104-103,,Defensive rebound by D. Lee
2:41.0,,,104-105,2,K. Leonard makes 2-pt shot from 9 ft (assist by T. Parker)
2:24.0,E. Gordon misses 3-pt shot from 27 ft,,104-105,,
2:23.0,,,104-105,,Defensive rebound by L. Aldridge
2:06.0,,,104-105,,K. Leonard misses 2-pt shot from 20 ft
2:06.0,,,104-105,,Offensive rebound by Team
2:06.0,Loose ball foul by N. Hilario (drawn by L. Aldridge),,104-105,,
2:06.0,Houston full timeout,,104-105,,
2:06.0,,,104-106,1,L. Aldridge makes free throw 1 of 2
2:06.0,,,104-107,1,L. Aldridge makes free throw 2 of 2
1:56.0,J. Harden misses 3-pt shot from 26 ft,,104-107,,
1:55.0,,,104-107,,Defensive rebound by D. Lee
1:32.0,,,104-107,,L. Aldridge misses 2-pt shot from 15 ft
1:31.0,,,104-107,,Offensive rebound by D. Lee
1:28.0,,,104-107,,D. Lee misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by P. Beverley,,104-107,,
1:20.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza),3,107-107,,
1:00.0,,,107-107,,T. Parker misses 2-pt shot from 10 ft (block by P. Beverley)
0:59.0,Defensive rebound by T. Ariza,,107-107,,
0:40.0,,,107-107,,Shooting block foul by D. Lee (drawn by J. Harden)
