time,Orlando,pts.away,score,pts.home,Washington
2:30.0,,,21-19,,Defensive rebound by J. Wall
2:21.0,,,21-19,,J. Wall misses 2-pt shot from 1 ft
2:20.0,Defensive rebound by B. Biyombo,,21-19,,
2:15.0,J. Green makes 3-pt shot from 26 ft (assist by C. Watson),3,24-19,,
1:57.0,,,24-19,,J. Wall misses 2-pt shot from 1 ft
1:56.0,,,24-19,,Offensive rebound by I. Mahinmi
1:54.0,,,24-19,,I. Mahinmi misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by M. Hezonja,,24-19,,
1:52.0,Shooting foul by K. Oubre (drawn by M. Hezonja),,24-19,,
1:52.0,M. Hezonja makes free throw 1 of 2,1,25-19,,
1:52.0,M. Hezonja misses free throw 2 of 2,,25-19,,
1:50.0,,,25-19,,Defensive rebound by K. Oubre
1:34.0,Def 3 sec tech foul by D. Augustin,,25-19,,
1:34.0,,,25-20,1,B. Bogdanovic makes technical free throw
1:28.0,,,25-20,,B. Bogdanovic misses 2-pt shot from 9 ft
1:27.0,Defensive rebound by B. Biyombo,,25-20,,
1:11.0,Turnover by M. Hezonja (bad pass; steal by K. Oubre),,25-20,,
1:05.0,,,25-23,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by B. Jennings)
0:47.0,M. Hezonja misses 2-pt shot from 20 ft,,25-23,,
0:46.0,,,25-23,,Defensive rebound by B. Jennings
0:38.0,Personal foul by C. Watson (drawn by J. Wall),,25-23,,
0:30.0,Personal block foul by C. Watson (drawn by J. Wall),,25-23,,
0:30.0,,,25-24,1,J. Wall makes free throw 1 of 2
0:30.0,,,25-25,1,J. Wall makes free throw 2 of 2
0:06.0,M. Hezonja makes 3-pt shot from 31 ft,3,28-25,,
0:01.0,,,28-25,,B. Jennings misses 3-pt shot from 27 ft
0:00.0,,,28-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,28-27,2,M. Morris makes 2-pt shot from 6 ft
11:25.0,S. Zimmerman misses 2-pt shot from 2 ft (block by I. Mahinmi),,28-27,,
11:24.0,,,28-27,,Defensive rebound by K. Oubre
11:13.0,,,28-27,,Turnover by B. Bogdanovic (lost ball; steal by C. Watson)
11:07.0,D. Augustin makes 3-pt shot from 27 ft (assist by M. Hezonja),3,31-27,,
10:52.0,,,31-27,,K. Oubre misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by D. Augustin,,31-27,,
10:42.0,D. Augustin makes 3-pt shot from 26 ft,3,34-27,,
10:39.0,,,34-27,,Washington full timeout
10:26.0,,,34-27,,Turnover by B. Jennings (lost ball)
10:15.0,M. Hezonja makes 3-pt shot from 27 ft (assist by D. Augustin),3,37-27,,
10:04.0,,,37-29,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Jennings)
9:43.0,J. Green misses 2-pt shot from 10 ft,,37-29,,
9:42.0,,,37-29,,Defensive rebound by I. Mahinmi
9:35.0,,,37-29,,B. Bogdanovic misses 3-pt shot from 29 ft
9:35.0,,,37-29,,Offensive rebound by B. Jennings
9:32.0,,,37-29,,Turnover by B. Jennings (bad pass; steal by M. Hezonja)
9:22.0,J. Green makes 2-pt shot from 2 ft,2,39-29,,
9:03.0,,,39-29,,Turnover by M. Morris (bad pass; steal by C. Watson)
8:55.0,M. Hezonja makes 3-pt shot from 29 ft (assist by D. Augustin),3,42-29,,
8:54.0,,,42-29,,Washington full timeout
8:54.0,,,42-29,,B. Beal enters the game for I. Mahinmi
8:54.0,,,42-29,,M. Gortat enters the game for K. Oubre
8:41.0,,,42-29,,M. Morris misses 2-pt shot from 4 ft
8:40.0,Defensive rebound by S. Zimmerman,,42-29,,
8:29.0,D. Augustin misses 3-pt shot from 26 ft,,42-29,,
8:28.0,Offensive rebound by Team,,42-29,,
8:08.0,Turnover by S. Zimmerman (back court),,42-29,,
7:56.0,,,42-32,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by B. Jennings)
7:37.0,J. Green makes 2-pt shot from 15 ft,2,44-32,,
7:24.0,,,44-34,2,M. Gortat makes 2-pt shot at rim (assist by B. Jennings)
7:05.0,M. Hezonja misses 2-pt shot from 4 ft,,44-34,,
7:04.0,,,44-34,,Defensive rebound by M. Gortat
6:48.0,Violation by D. Augustin (kicked ball),,44-34,,
6:48.0,,,44-34,,O. Porter enters the game for B. Bogdanovic
6:48.0,,,44-34,,J. Wall enters the game for B. Jennings
6:48.0,T. Ross enters the game for S. Zimmerman,,44-34,,
6:48.0,B. Biyombo enters the game for C. Watson,,44-34,,
6:44.0,,,44-34,,O. Porter misses 3-pt shot from 26 ft
6:43.0,,,44-34,,Offensive rebound by M. Gortat
6:39.0,,,44-34,,J. Wall misses 3-pt shot from 27 ft
6:38.0,,,44-34,,Offensive rebound by M. Gortat
6:21.0,,,44-36,2,O. Porter makes 2-pt shot from 6 ft (assist by M. Morris)
6:13.0,Orlando full timeout,,44-36,,
6:13.0,E. Fournier enters the game for D. Augustin,,44-36,,
6:13.0,A. Gordon enters the game for M. Hezonja,,44-36,,
6:13.0,E. Payton enters the game for J. Green,,44-36,,
5:58.0,Shooting foul by M. Morris (drawn by B. Biyombo),,44-36,,
5:58.0,B. Biyombo misses free throw 1 of 2,,44-36,,
5:58.0,Offensive rebound by Team,,44-36,,
5:58.0,B. Biyombo misses free throw 2 of 2,,44-36,,
5:57.0,,,44-36,,Defensive rebound by M. Gortat
5:42.0,,,44-36,,B. Beal misses 2-pt shot from 9 ft
5:41.0,Defensive rebound by B. Biyombo,,44-36,,
5:33.0,E. Fournier makes 2-pt shot from 10 ft,2,46-36,,
5:12.0,,,46-36,,M. Morris misses 2-pt shot from 9 ft
5:11.0,Defensive rebound by E. Fournier,,46-36,,
5:00.0,T. Ross makes 2-pt shot from 15 ft,2,48-36,,
4:41.0,,,48-36,,Shooting foul by B. Biyombo (drawn by M. Gortat)
4:41.0,,,48-36,,M. Gortat misses free throw 1 of 2
4:41.0,,,48-36,,Offensive rebound by Team
4:41.0,,,48-37,1,M. Gortat makes free throw 2 of 2
4:30.0,E. Fournier misses 3-pt shot from 27 ft,,48-37,,
4:29.0,,,48-37,,Defensive rebound by J. Wall
4:22.0,,,48-37,,Turnover by J. Wall (bad pass; steal by T. Ross)
4:11.0,T. Ross misses 3-pt shot from 29 ft,,48-37,,
4:10.0,,,48-37,,Defensive rebound by O. Porter
4:07.0,,,48-37,,Shooting foul by A. Gordon (drawn by J. Wall)
4:07.0,,,48-38,1,J. Wall makes free throw 1 of 2
4:07.0,,,48-39,1,J. Wall makes free throw 2 of 2
3:54.0,E. Fournier misses 2-pt shot from 9 ft,,48-39,,
3:53.0,Offensive rebound by E. Fournier,,48-39,,
3:50.0,E. Fournier makes 2-pt shot from 3 ft,2,50-39,,
3:30.0,,,50-41,2,B. Beal makes 2-pt shot from 4 ft
3:16.0,Turnover by E. Payton (bad pass; steal by M. Morris),,50-41,,
3:10.0,,,50-43,2,J. Wall makes 2-pt shot from 1 ft (assist by M. Gortat)
2:50.0,Official timeout,,50-43,,
2:45.0,T. Ross makes 3-pt shot from 26 ft (assist by A. Gordon),3,53-43,,
2:25.0,,,53-43,,Turnover by M. Gortat (lost ball; steal by B. Biyombo)
2:15.0,Offensive foul by B. Biyombo,,53-43,,
2:15.0,Turnover by B. Biyombo (offensive foul),,53-43,,
2:03.0,,,53-43,,O. Porter misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by A. Gordon,,53-43,,
1:57.0,T. Ross makes 3-pt shot from 27 ft (assist by A. Gordon),3,56-43,,
1:38.0,,,56-43,,J. Wall misses 2-pt shot from 14 ft
1:37.0,,,56-43,,Offensive rebound by M. Gortat
1:32.0,,,56-43,,B. Beal misses 3-pt shot from 23 ft
1:31.0,,,56-43,,Offensive rebound by O. Porter
1:30.0,,,56-45,2,O. Porter makes 2-pt shot at rim
1:11.0,A. Gordon misses 3-pt shot from 27 ft,,56-45,,
1:10.0,,,56-45,,Defensive rebound by J. Wall
1:03.0,,,56-45,,J. Wall misses 2-pt shot at rim
1:02.0,Defensive rebound by A. Gordon,,56-45,,
0:55.0,E. Fournier makes 3-pt shot from 23 ft (assist by E. Payton),3,59-45,,
0:41.0,,,59-45,,Turnover by J. Wall (bad pass; steal by B. Biyombo)
0:32.0,E. Payton makes 2-pt shot from 17 ft,2,61-45,,
0:18.0,,,61-45,,B. Beal misses 2-pt shot from 4 ft
0:16.0,Defensive rebound by E. Payton,,61-45,,
0:10.0,E. Fournier misses 3-pt shot from 25 ft,,61-45,,
0:09.0,Offensive rebound by A. Gordon,,61-45,,
0:06.0,Turnover by A. Gordon (lost ball; steal by M. Gortat),,61-45,,
0:03.0,,,61-45,,Turnover by M. Gortat (bad pass; steal by E. Fournier)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,61-47,2,J. Wall makes 2-pt shot from 1 ft
11:20.0,B. Biyombo misses 2-pt shot from 6 ft (block by O. Porter),,61-47,,
11:19.0,Offensive rebound by Team,,61-47,,
11:19.0,Turnover by Team (shot clock),,61-47,,
11:07.0,,,61-47,,Shooting foul by A. Gordon (drawn by M. Gortat)
11:07.0,,,61-48,1,M. Gortat makes free throw 1 of 2
11:07.0,,,61-49,1,M. Gortat makes free throw 2 of 2
10:50.0,E. Payton makes 2-pt shot from 8 ft,2,63-49,,
10:38.0,,,63-52,3,O. Porter makes 3-pt shot from 28 ft (assist by J. Wall)
10:17.0,T. Ross misses 3-pt shot from 25 ft,,63-52,,
10:16.0,Offensive rebound by E. Payton,,63-52,,
10:07.0,E. Payton makes 2-pt shot from 1 ft,2,65-52,,
9:55.0,,,65-54,2,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall)
9:33.0,T. Ross misses 3-pt shot from 27 ft,,65-54,,
9:32.0,,,65-54,,Defensive rebound by M. Gortat
9:25.0,,,65-54,,Turnover by J. Wall (bad pass)
9:13.0,E. Fournier misses 2-pt shot from 7 ft,,65-54,,
9:13.0,Offensive rebound by B. Biyombo,,65-54,,
9:13.0,B. Biyombo makes 2-pt shot at rim,2,67-54,,
9:13.0,Shooting foul by M. Morris (drawn by B. Biyombo),,67-54,,
9:13.0,B. Biyombo makes free throw 1 of 1,1,68-54,,
9:02.0,,,68-54,,Shooting foul by B. Biyombo (drawn by M. Morris)
9:02.0,,,68-55,1,M. Morris makes free throw 1 of 2
9:02.0,,,68-56,1,M. Morris makes free throw 2 of 2
8:42.0,Turnover by E. Fournier (bad pass; steal by M. Morris),,68-56,,
8:38.0,,,68-58,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Morris)
8:31.0,B. Biyombo makes 2-pt shot at rim (assist by E. Payton),2,70-58,,
8:30.0,,,70-58,,Washington full timeout
8:15.0,,,70-60,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
8:00.0,E. Payton makes 2-pt shot from 7 ft,2,72-60,,
7:41.0,,,72-60,,Turnover by M. Gortat (bad pass; steal by A. Gordon)
7:35.0,T. Ross makes 2-pt shot from 2 ft,2,74-60,,
7:17.0,,,74-60,,J. Wall misses 2-pt shot from 1 ft (block by T. Ross)
7:16.0,Defensive rebound by T. Ross,,74-60,,
7:11.0,T. Ross misses 3-pt shot from 25 ft,,74-60,,
7:10.0,Offensive rebound by B. Biyombo,,74-60,,
7:01.0,Shooting foul by M. Morris (drawn by A. Gordon),,74-60,,
7:01.0,A. Gordon makes free throw 1 of 2,1,75-60,,
7:01.0,A. Gordon makes free throw 2 of 2,1,76-60,,
6:52.0,Personal foul by T. Ross (drawn by B. Beal),,76-60,,
6:46.0,,,76-60,,J. Wall misses 3-pt shot from 26 ft
6:45.0,,,76-60,,Offensive rebound by M. Gortat
6:38.0,,,76-60,,Shooting foul by T. Ross (drawn by O. Porter)
6:38.0,,,76-61,1,O. Porter makes free throw 1 of 2
6:38.0,,,76-62,1,O. Porter makes free throw 2 of 2
6:29.0,B. Biyombo misses 2-pt shot from 4 ft,,76-62,,
6:27.0,,,76-62,,Defensive rebound by M. Gortat
6:15.0,,,76-62,,M. Morris misses 3-pt shot from 27 ft
6:14.0,Defensive rebound by T. Ross,,76-62,,
6:04.0,Turnover by B. Biyombo (offensive goaltending),,76-62,,
6:04.0,,,76-62,,B. Bogdanovic enters the game for M. Morris
5:55.0,,,76-65,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
5:35.0,T. Ross misses 2-pt shot from 8 ft,,76-65,,
5:34.0,,,76-65,,Defensive rebound by M. Gortat
5:28.0,,,76-68,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by J. Wall)
5:27.0,Orlando full timeout,,76-68,,
5:10.0,T. Ross makes 2-pt shot from 7 ft,2,78-68,,
4:51.0,,,78-68,,B. Beal misses 2-pt shot from 19 ft
4:50.0,Defensive rebound by T. Ross,,78-68,,
4:38.0,E. Fournier misses 3-pt shot from 27 ft,,78-68,,
4:38.0,,,78-68,,Defensive rebound by Team
4:38.0,Loose ball foul by B. Biyombo (drawn by M. Gortat),,78-68,,
4:38.0,Technical foul by B. Biyombo (drawn by M. Gortat),,78-68,,
4:38.0,,,78-69,1,B. Beal makes technical free throw
4:38.0,,,78-70,1,M. Gortat makes free throw 1 of 2
4:38.0,,,78-71,1,M. Gortat makes free throw 2 of 2
4:38.0,J. Green enters the game for B. Biyombo,,78-70,,
4:20.0,E. Payton makes 2-pt shot from 9 ft (assist by E. Fournier),2,80-71,,
3:56.0,,,80-71,,M. Gortat misses 2-pt shot from 5 ft
3:55.0,Defensive rebound by J. Green,,80-71,,
3:51.0,J. Green makes 2-pt shot from 1 ft,2,82-71,,
3:51.0,Shooting foul by M. Gortat (drawn by J. Green),,82-71,,
3:51.0,J. Green makes free throw 1 of 1,1,83-71,,
3:51.0,D. Augustin enters the game for E. Payton,,82-71,,
3:51.0,M. Hezonja enters the game for T. Ross,,82-71,,
3:51.0,,,82-71,,I. Mahinmi enters the game for M. Gortat
3:40.0,,,83-71,,B. Beal misses 2-pt shot from 9 ft
3:39.0,Defensive rebound by A. Gordon,,83-71,,
3:20.0,J. Green misses 2-pt shot from 15 ft,,83-71,,
3:19.0,Offensive rebound by A. Gordon,,83-71,,
3:10.0,E. Fournier makes 3-pt shot from 28 ft,3,86-71,,
2:53.0,,,86-71,,I. Mahinmi misses 2-pt shot from 4 ft
2:52.0,Defensive rebound by A. Gordon,,86-71,,
2:44.0,E. Fournier makes 2-pt shot from 3 ft,2,88-71,,
2:44.0,,,88-71,,Washington full timeout
2:44.0,,,88-71,,T. Satoransky enters the game for O. Porter
2:23.0,,,88-71,,Shooting foul by E. Fournier (drawn by B. Beal)
2:23.0,,,88-72,1,B. Beal makes free throw 1 of 2
2:23.0,,,88-73,1,B. Beal makes free throw 2 of 2
2:08.0,J. Green misses 3-pt shot from 26 ft,,88-73,,
2:08.0,,,88-73,,Defensive rebound by Team
1:50.0,,,88-75,2,B. Beal makes 2-pt shot from 16 ft
1:30.0,E. Fournier misses 3-pt shot from 27 ft,,88-75,,
1:29.0,,,88-75,,Defensive rebound by J. Wall
1:21.0,,,88-77,2,J. Wall makes 2-pt shot from 1 ft
0:55.0,M. Hezonja misses 3-pt shot from 28 ft,,88-77,,
0:54.0,,,88-77,,Defensive rebound by Team
0:54.0,,,88-77,,B. Jennings enters the game for J. Wall
0:54.0,C. Watson enters the game for E. Fournier,,88-77,,
0:42.0,,,88-77,,B. Beal misses 2-pt shot from 13 ft
0:41.0,Defensive rebound by M. Hezonja,,88-77,,
0:34.0,J. Green misses 2-pt shot from 1 ft,,88-77,,
0:33.0,,,88-77,,Defensive rebound by T. Satoransky
0:23.0,Personal foul by M. Hezonja (drawn by I. Mahinmi),,88-77,,
0:23.0,,,88-78,1,I. Mahinmi makes free throw 1 of 2
0:23.0,,,88-79,1,I. Mahinmi makes free throw 2 of 2
0:02.0,M. Hezonja misses 2-pt shot from 3 ft (block by I. Mahinmi),,88-79,,
0:01.0,Offensive rebound by A. Gordon,,88-79,,
0:00.0,A. Gordon makes 2-pt shot at rim,2,90-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Gordon misses 3-pt shot from 26 ft,,90-79,,
11:43.0,,,90-79,,Defensive rebound by B. Beal
11:32.0,Personal foul by C. Watson (drawn by I. Mahinmi),,90-79,,
11:23.0,,,90-82,3,T. Satoransky makes 3-pt shot from 25 ft (assist by B. Beal)
11:04.0,,,90-82,,Def 3 sec tech foul by I. Mahinmi
11:04.0,J. Green misses technical free throw,,90-82,,
11:04.0,Offensive rebound by Team,,90-82,,
10:57.0,M. Hezonja makes 2-pt shot from 1 ft,2,92-82,,
10:44.0,,,92-84,2,T. Satoransky makes 2-pt shot from 9 ft (assist by B. Beal)
10:16.0,D. Augustin makes 2-pt shot from 1 ft,2,94-84,,
10:06.0,,,94-84,,Offensive foul by B. Beal
10:06.0,,,94-84,,Turnover by B. Beal (offensive foul)
10:01.0,Offensive foul by A. Gordon,,94-84,,
10:01.0,Turnover by A. Gordon (offensive foul),,94-84,,
9:49.0,,,94-87,3,B. Bogdanovic makes 3-pt shot from 29 ft (assist by B. Jennings)
9:30.0,M. Hezonja misses 3-pt shot from 27 ft,,94-87,,
9:29.0,,,94-87,,Defensive rebound by I. Mahinmi
9:17.0,,,94-89,2,I. Mahinmi makes 2-pt shot from 6 ft (assist by B. Jennings)
9:17.0,Orlando full timeout,,94-89,,
9:17.0,B. Biyombo enters the game for A. Gordon,,94-89,,
9:17.0,T. Ross enters the game for M. Hezonja,,94-89,,
8:54.0,J. Green makes 2-pt shot from 18 ft (assist by D. Augustin),2,96-89,,
8:34.0,,,96-89,,B. Jennings misses 3-pt shot from 27 ft
8:33.0,Defensive rebound by J. Green,,96-89,,
8:22.0,Turnover by C. Watson (bad pass; steal by I. Mahinmi),,96-89,,
8:15.0,,,96-91,2,B. Jennings makes 2-pt shot from 2 ft
7:48.0,J. Green misses 2-pt shot from 19 ft,,96-91,,
7:47.0,,,96-91,,Defensive rebound by B. Bogdanovic
7:35.0,,,96-94,3,B. Bogdanovic makes 3-pt shot from 28 ft (assist by B. Jennings)
7:23.0,,,96-94,,Personal foul by B. Bogdanovic (drawn by J. Green)
7:23.0,E. Payton enters the game for D. Augustin,,96-94,,
7:23.0,E. Fournier enters the game for C. Watson,,96-94,,
7:23.0,,,96-94,,J. Wall enters the game for T. Satoransky
7:12.0,T. Ross misses 3-pt shot from 25 ft,,96-94,,
7:12.0,,,96-94,,Defensive rebound by I. Mahinmi
7:02.0,,,96-94,,B. Bogdanovic misses 3-pt shot from 27 ft
7:01.0,Defensive rebound by B. Biyombo,,96-94,,
6:52.0,Turnover by T. Ross (bad pass; steal by I. Mahinmi),,96-94,,
6:47.0,Violation by B. Biyombo (def goaltending),,96-94,,
6:47.0,,,96-96,2,J. Wall makes 2-pt shot at rim
6:47.0,,,96-96,,Shooting foul by E. Payton (drawn by J. Wall)
6:47.0,,,96-97,1,J. Wall makes free throw 1 of 1
6:35.0,,,96-97,,Personal foul by I. Mahinmi (drawn by E. Payton)
6:21.0,T. Ross makes 3-pt shot from 31 ft (assist by B. Biyombo),3,99-97,,
5:54.0,,,99-97,,J. Wall misses 2-pt shot from 19 ft (block by E. Payton)
5:52.0,Defensive rebound by T. Ross,,99-97,,
5:41.0,Shooting foul by I. Mahinmi (drawn by E. Payton),,99-97,,
5:41.0,Official timeout,,99-97,,
5:41.0,E. Payton misses free throw 1 of 2,,99-97,,
5:41.0,Offensive rebound by Team,,99-97,,
5:41.0,E. Payton makes free throw 2 of 2,1,100-97,,
5:41.0,,,99-97,,M. Morris enters the game for I. Mahinmi
5:41.0,,,99-97,,O. Porter enters the game for B. Jennings
5:29.0,Personal foul by T. Ross (drawn by M. Morris),,100-97,,
5:15.0,,,100-100,3,B. Beal makes 3-pt shot from 29 ft (assist by J. Wall)
4:58.0,T. Ross misses 2-pt shot at rim (block by B. Beal),,100-100,,
4:58.0,Offensive rebound by Team,,100-100,,
4:53.0,Turnover by E. Fournier (bad pass; steal by O. Porter),,100-100,,
4:40.0,,,100-100,,J. Wall misses 2-pt shot from 21 ft
4:38.0,Defensive rebound by B. Biyombo,,100-100,,
4:20.0,J. Green misses 2-pt shot from 1 ft,,100-100,,
4:20.0,Offensive rebound by Team,,100-100,,
4:20.0,A. Gordon enters the game for J. Green,,100-100,,
4:17.0,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton),3,103-100,,
3:59.0,,,103-102,2,B. Beal makes 2-pt shot from 5 ft (assist by J. Wall)
3:39.0,T. Ross makes 2-pt shot from 14 ft,2,105-102,,
3:22.0,,,105-105,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Beal)
3:06.0,T. Ross makes 3-pt shot from 25 ft (assist by A. Gordon),3,108-105,,
2:44.0,,,108-107,2,B. Beal makes 2-pt shot from 2 ft
2:29.0,Shooting foul by B. Bogdanovic (drawn by A. Gordon),,108-107,,
2:29.0,,,108-107,,Washington full timeout
2:29.0,A. Gordon makes free throw 1 of 2,1,109-107,,
2:29.0,A. Gordon makes free throw 2 of 2,1,110-107,,
2:08.0,,,110-107,,B. Beal misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by B. Biyombo,,110-107,,
1:50.0,Turnover by T. Ross (lost ball; steal by B. Beal),,110-107,,
1:47.0,,,110-107,,Shooting foul by T. Ross (drawn by B. Beal)
1:47.0,,,110-108,1,B. Beal makes free throw 1 of 2
1:47.0,,,110-109,1,B. Beal makes free throw 2 of 2
1:33.0,E. Fournier misses 3-pt shot from 27 ft,,110-109,,
1:32.0,Offensive rebound by B. Biyombo,,110-109,,
1:32.0,Shooting foul by O. Porter (drawn by B. Biyombo),,110-109,,
1:32.0,B. Biyombo makes free throw 1 of 2,1,111-109,,
1:32.0,B. Biyombo misses free throw 2 of 2,,111-109,,
1:31.0,,,111-109,,Defensive rebound by M. Morris
