time,Portland,pts.away,score,pts.home,Golden State
4:27.0,M. Plumlee misses free throw 1 of 2,,15-24,,
4:27.0,Offensive rebound by Team,,15-24,,
4:27.0,M. Plumlee misses free throw 2 of 2,,15-24,,
4:27.0,,,15-24,,A. Iguodala enters the game for K. Durant
4:26.0,,,15-24,,Defensive rebound by J. McGee
4:08.0,,,15-24,,S. Curry misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by A. Crabbe,,15-24,,
3:59.0,D. Lillard misses 2-pt shot from 1 ft,,15-24,,
3:58.0,,,15-24,,Defensive rebound by D. Green
3:53.0,,,15-24,,K. Thompson misses 3-pt shot from 26 ft
3:53.0,Defensive rebound by Team,,15-24,,
3:53.0,,,15-24,,Loose ball foul by J. McGee (drawn by D. Lillard)
3:53.0,M. Leonard enters the game for M. Plumlee,,15-24,,
3:53.0,,,15-24,,I. Clark enters the game for K. Thompson
3:35.0,M. Leonard misses 2-pt shot from 12 ft,,15-24,,
3:35.0,,,15-24,,Defensive rebound by S. Curry
3:20.0,,,15-26,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
3:20.0,,,15-26,,Shooting foul by A. Crabbe (drawn by S. Curry)
3:20.0,,,15-27,1,S. Curry makes free throw 1 of 1
3:10.0,,,15-27,,Personal foul by S. Curry (drawn by D. Lillard)
3:10.0,D. Lillard makes free throw 1 of 2,1,16-27,,
3:10.0,D. Lillard makes free throw 2 of 2,1,17-27,,
3:10.0,,,16-27,,P. McCaw enters the game for S. Curry
2:56.0,,,17-27,,A. Iguodala misses 2-pt shot from 18 ft
2:55.0,,,17-27,,Offensive rebound by Team
2:55.0,Loose ball foul by M. Leonard (drawn by J. McGee),,17-27,,
2:55.0,,,17-27,,Golden State full timeout
2:55.0,,,17-28,1,J. McGee makes free throw 1 of 2
2:55.0,,,17-28,,J. McGee misses free throw 2 of 2
2:54.0,Defensive rebound by A. Crabbe,,17-28,,
2:42.0,M. Harkless makes 2-pt shot from 4 ft (assist by E. Turner),2,19-28,,
2:27.0,,,19-28,,Turnover by J. McGee (lost ball)
2:12.0,A. Crabbe misses 3-pt shot from 25 ft,,19-28,,
2:11.0,,,19-28,,Defensive rebound by J. McGee
2:04.0,,,19-28,,D. Green misses 2-pt shot from 4 ft (block by M. Harkless)
2:04.0,,,19-28,,Offensive rebound by Team
2:04.0,,,19-28,,K. Durant enters the game for D. Green
2:04.0,,,19-28,,D. West enters the game for J. McGee
1:49.0,,,19-28,,A. Iguodala misses 3-pt shot from 23 ft
1:47.0,,,19-28,,Offensive rebound by D. West
1:47.0,,,19-30,2,D. West makes 2-pt shot from 1 ft
1:33.0,E. Turner misses 2-pt shot from 18 ft,,19-30,,
1:32.0,,,19-30,,Defensive rebound by A. Iguodala
1:22.0,,,19-32,2,I. Clark makes 2-pt shot from 19 ft (assist by K. Durant)
1:02.0,M. Harkless misses 2-pt shot from 3 ft,,19-32,,
1:01.0,,,19-32,,Defensive rebound by D. West
0:54.0,,,19-35,3,I. Clark makes 3-pt shot from 27 ft (assist by P. McCaw)
0:35.0,D. Lillard misses 3-pt shot from 27 ft,,19-35,,
0:35.0,,,19-35,,Defensive rebound by A. Iguodala
0:29.0,,,19-35,,Shooting foul by M. Harkless (drawn by K. Durant)
0:29.0,,,19-36,1,K. Durant makes free throw 1 of 2
0:29.0,,,19-37,1,K. Durant makes free throw 2 of 2
0:29.0,P. Connaughton enters the game for M. Harkless,,19-36,,
0:29.0,C. McCollum enters the game for D. Lillard,,19-36,,
0:14.0,C. McCollum makes 2-pt shot from 1 ft,2,21-37,,
0:05.0,,,21-39,2,K. Durant makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. McCollum makes 2-pt shot from 12 ft,2,23-39,,
11:27.0,,,23-39,,D. West misses 2-pt shot from 15 ft
11:26.0,Defensive rebound by A. Crabbe,,23-39,,
11:17.0,M. Leonard misses 2-pt shot from 17 ft,,23-39,,
11:16.0,,,23-39,,Defensive rebound by K. Durant
11:04.0,,,23-42,3,I. Clark makes 3-pt shot from 25 ft (assist by S. Livingston)
10:45.0,A. Crabbe misses 2-pt shot from 21 ft,,23-42,,
10:44.0,,,23-42,,Defensive rebound by K. Durant
10:36.0,,,23-42,,S. Livingston misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by P. Connaughton,,23-42,,
10:22.0,A. Crabbe makes 2-pt shot from 16 ft (assist by C. McCollum),2,25-42,,
9:54.0,,,25-44,2,D. West makes 2-pt shot from 3 ft (assist by K. Durant)
9:44.0,P. Connaughton makes 2-pt shot from 1 ft (assist by C. McCollum),2,27-44,,
9:30.0,,,27-46,2,I. Clark makes 2-pt shot from 1 ft (assist by D. West)
9:16.0,M. Leonard misses 3-pt shot from 28 ft,,27-46,,
9:16.0,,,27-46,,Defensive rebound by K. Durant
9:03.0,E. Davis enters the game for M. Leonard,,27-46,,
8:52.0,,,27-49,3,A. Iguodala makes 3-pt shot from 26 ft (assist by I. Clark)
8:31.0,E. Turner misses 2-pt shot from 10 ft,,27-49,,
8:30.0,Offensive rebound by A. Crabbe,,27-49,,
8:26.0,A. Crabbe makes 3-pt shot from 26 ft,3,30-49,,
8:11.0,,,30-51,2,S. Livingston makes 2-pt shot from 15 ft
8:01.0,C. McCollum misses 2-pt shot from 15 ft,,30-51,,
8:00.0,,,30-51,,Defensive rebound by S. Livingston
7:46.0,,,30-53,2,K. Durant makes 2-pt shot at rim (assist by A. Iguodala)
7:46.0,Portland full timeout,,30-53,,
7:46.0,,,30-53,,K. Thompson enters the game for A. Iguodala
7:25.0,E. Turner misses 2-pt shot from 19 ft (block by K. Durant),,30-53,,
7:23.0,,,30-53,,Defensive rebound by D. West
7:11.0,,,30-53,,K. Durant misses 2-pt shot from 17 ft
7:11.0,,,30-53,,Offensive rebound by K. Durant
6:57.0,,,30-55,2,S. Livingston makes 2-pt shot from 8 ft (assist by K. Thompson)
6:39.0,C. McCollum misses 2-pt shot from 19 ft,,30-55,,
6:39.0,,,30-55,,Defensive rebound by K. Durant
6:36.0,,,30-55,,Turnover by K. Durant (bad pass)
6:36.0,,,30-55,,D. Green enters the game for D. West
6:36.0,D. Lillard enters the game for P. Connaughton,,30-55,,
6:36.0,M. Harkless enters the game for E. Turner,,30-55,,
6:24.0,,,30-55,,Personal foul by D. Green (drawn by A. Crabbe)
6:24.0,,,30-55,,Z. Pachulia enters the game for K. Durant
6:24.0,,,30-55,,S. Curry enters the game for I. Clark
6:17.0,Turnover by C. McCollum (bad pass; steal by Z. Pachulia),,30-55,,
6:08.0,,,30-57,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green)
5:51.0,A. Crabbe misses 3-pt shot from 26 ft,,30-57,,
5:50.0,,,30-57,,Defensive rebound by D. Green
5:32.0,,,30-57,,S. Curry misses 2-pt shot from 7 ft
5:32.0,,,30-57,,Offensive rebound by Z. Pachulia
5:32.0,Personal foul by E. Davis (drawn by Z. Pachulia),,30-57,,
5:32.0,Official timeout,,30-57,,
5:32.0,,,30-58,1,Z. Pachulia makes free throw 1 of 2
5:32.0,,,30-58,,Z. Pachulia misses free throw 2 of 2
5:31.0,Defensive rebound by C. McCollum,,30-58,,
5:22.0,Shooting foul by Z. Pachulia (drawn by A. Crabbe),,30-58,,
5:22.0,A. Crabbe makes free throw 1 of 2,1,31-58,,
5:22.0,A. Crabbe makes free throw 2 of 2,1,32-58,,
5:09.0,,,32-58,,S. Curry misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by D. Lillard,,32-58,,
5:00.0,D. Lillard makes 2-pt shot from 3 ft,2,34-58,,
4:46.0,,,34-58,,Turnover by Team (5 sec)
4:39.0,Turnover by D. Lillard (bad pass; steal by S. Livingston),,34-58,,
4:37.0,,,34-58,,K. Thompson misses 2-pt shot from 2 ft (block by M. Harkless)
4:37.0,,,34-58,,Offensive rebound by Team
4:33.0,,,34-60,2,K. Thompson makes 2-pt shot from 11 ft (assist by S. Curry)
4:16.0,D. Lillard misses 2-pt shot from 4 ft,,34-60,,
4:14.0,,,34-60,,Defensive rebound by D. Green
4:06.0,,,34-60,,K. Thompson misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by E. Davis,,34-60,,
3:57.0,D. Lillard misses 2-pt shot from 15 ft,,34-60,,
3:57.0,,,34-60,,Defensive rebound by D. Green
3:52.0,M. Plumlee enters the game for E. Davis,,34-60,,
3:52.0,,,34-60,,A. Iguodala enters the game for S. Livingston
3:48.0,,,34-62,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
3:31.0,,,34-62,,Violation by Z. Pachulia (kicked ball)
3:31.0,,,34-62,,K. Durant enters the game for Z. Pachulia
3:27.0,C. McCollum misses 3-pt shot from 24 ft,,34-62,,
3:27.0,,,34-62,,Defensive rebound by A. Iguodala
3:23.0,,,34-62,,Turnover by A. Iguodala (bad pass)
3:04.0,D. Lillard makes 2-pt shot from 3 ft,2,36-62,,
3:04.0,Shooting foul by K. Durant (drawn by D. Lillard),,36-62,,
3:04.0,,,36-62,,Golden State full timeout
3:04.0,D. Lillard makes free throw 1 of 1,1,37-62,,
2:51.0,,,37-62,,S. Curry misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by C. McCollum,,37-62,,
2:44.0,C. McCollum makes 2-pt shot from 14 ft,2,39-62,,
2:32.0,Personal foul by M. Plumlee (drawn by K. Durant),,39-62,,
2:25.0,,,39-62,,K. Thompson misses 2-pt shot from 2 ft
2:25.0,Defensive rebound by A. Crabbe,,39-62,,
2:10.0,M. Plumlee misses 2-pt shot from 6 ft,,39-62,,
2:10.0,,,39-62,,Defensive rebound by D. Green
1:58.0,,,39-64,2,K. Durant makes 2-pt shot from 11 ft
1:42.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,41-64,,
1:28.0,,,41-64,,Shooting foul by D. Lillard (drawn by K. Durant)
1:28.0,,,41-65,1,K. Durant makes free throw 1 of 2
1:28.0,,,41-66,1,K. Durant makes free throw 2 of 2
1:06.0,C. McCollum misses 3-pt shot from 28 ft,,41-66,,
1:05.0,,,41-66,,Defensive rebound by S. Curry
0:55.0,,,41-68,2,K. Durant makes 2-pt shot from 19 ft
0:44.0,Turnover by M. Plumlee (bad pass),,41-68,,
0:44.0,,,41-68,,Golden State full timeout
0:44.0,N. Vonleh enters the game for M. Plumlee,,41-68,,
0:36.0,,,41-68,,Turnover by K. Durant (bad pass)
0:36.0,M. Plumlee enters the game for N. Vonleh,,41-68,,
0:29.0,Shooting foul by S. Curry (drawn by M. Plumlee),,41-68,,
0:29.0,M. Plumlee makes free throw 1 of 2,1,42-68,,
0:29.0,M. Plumlee misses free throw 2 of 2,,42-68,,
0:29.0,,,42-68,,Defensive rebound by D. Green
0:08.0,,,42-70,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
0:00.0,M. Harkless makes 3-pt shot from 28 ft (assist by A. Crabbe),3,45-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,M. Harkless misses 2-pt shot from 9 ft,,45-70,,
11:46.0,,,45-70,,Defensive rebound by D. Green
11:38.0,,,45-70,,Turnover by K. Durant (lost ball; steal by M. Plumlee)
11:30.0,C. McCollum misses 3-pt shot from 26 ft,,45-70,,
11:29.0,,,45-70,,Defensive rebound by K. Durant
11:15.0,,,45-70,,K. Thompson misses 2-pt shot from 3 ft
11:13.0,,,45-70,,Offensive rebound by Z. Pachulia
11:12.0,,,45-72,2,Z. Pachulia makes 2-pt shot from 2 ft
10:56.0,M. Plumlee misses 2-pt shot from 3 ft (block by D. Green),,45-72,,
10:54.0,,,45-72,,Defensive rebound by Z. Pachulia
10:41.0,,,45-74,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
10:21.0,N. Vonleh makes 2-pt shot from 2 ft (assist by M. Plumlee),2,47-74,,
10:07.0,,,47-74,,K. Durant misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by M. Plumlee,,47-74,,
9:59.0,,,47-74,,Personal foul by Z. Pachulia (drawn by M. Plumlee)
9:42.0,C. McCollum makes 2-pt shot from 20 ft (assist by M. Plumlee),2,49-74,,
9:26.0,,,49-74,,K. Thompson misses 2-pt shot from 15 ft
9:26.0,Defensive rebound by N. Vonleh,,49-74,,
9:17.0,M. Plumlee misses 2-pt shot from 1 ft,,49-74,,
9:16.0,,,49-74,,Defensive rebound by D. Green
9:00.0,,,49-74,,Shooting foul by M. Plumlee (drawn by Z. Pachulia)
9:00.0,,,49-75,1,Z. Pachulia makes free throw 1 of 2
9:00.0,,,49-75,,Z. Pachulia misses free throw 2 of 2
8:59.0,Defensive rebound by N. Vonleh,,49-75,,
8:48.0,D. Lillard makes 2-pt shot from 2 ft,2,51-75,,
8:39.0,,,51-78,3,K. Durant makes 3-pt shot from 26 ft (assist by D. Green)
8:19.0,D. Lillard misses 3-pt shot from 25 ft,,51-78,,
8:18.0,,,51-78,,Defensive rebound by S. Curry
8:13.0,,,51-81,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
8:13.0,Portland full timeout,,51-81,,
7:50.0,M. Harkless misses 3-pt shot from 26 ft,,51-81,,
7:50.0,,,51-81,,Defensive rebound by Z. Pachulia
7:41.0,,,51-84,3,S. Curry makes 3-pt shot from 31 ft (assist by D. Green)
7:25.0,M. Harkless misses 2-pt shot from 2 ft,,51-84,,
7:25.0,Offensive rebound by N. Vonleh,,51-84,,
7:16.0,M. Plumlee misses 2-pt shot from 4 ft (block by Z. Pachulia),,51-84,,
7:15.0,,,51-84,,Defensive rebound by K. Durant
7:11.0,,,51-84,,S. Curry misses 3-pt shot from 26 ft
7:11.0,,,51-84,,Offensive rebound by Team
7:10.0,A. Crabbe enters the game for N. Vonleh,,51-84,,
7:05.0,,,51-84,,Shooting foul by M. Harkless (drawn by K. Durant)
7:05.0,,,51-84,,K. Durant misses free throw 1 of 2
7:05.0,,,51-84,,Offensive rebound by Team
7:05.0,,,51-85,1,K. Durant makes free throw 2 of 2
6:50.0,D. Lillard makes 2-pt shot from 11 ft,2,53-85,,
6:25.0,,,53-87,2,K. Durant makes 2-pt shot from 18 ft (assist by D. Green)
6:07.0,Turnover by D. Lillard (bad pass; steal by K. Durant),,53-87,,
6:04.0,,,53-87,,Shooting foul by A. Crabbe (drawn by K. Durant)
6:04.0,,,53-87,,K. Durant misses free throw 1 of 2
6:04.0,,,53-87,,Offensive rebound by Team
6:04.0,,,53-88,1,K. Durant makes free throw 2 of 2
6:04.0,M. Leonard enters the game for M. Plumlee,,53-87,,
6:04.0,E. Turner enters the game for C. McCollum,,53-87,,
5:51.0,M. Harkless makes 2-pt shot from 2 ft (assist by E. Turner),2,55-88,,
5:38.0,Personal foul by M. Harkless (drawn by K. Durant),,55-88,,
5:33.0,,,55-90,2,K. Thompson makes 2-pt shot from 21 ft (assist by S. Curry)
5:13.0,D. Lillard makes 2-pt shot from 2 ft,2,57-90,,
4:59.0,,,57-90,,Flagrant foul type 1 by Z. Pachulia (drawn by M. Leonard)
4:59.0,,,57-90,,Turnover by Z. Pachulia (offensive foul)
4:59.0,M. Leonard makes flagrant free throw 1 of 2,1,58-90,,
4:59.0,M. Leonard makes flagrant free throw 2 of 2,1,59-90,,
4:59.0,,,59-90,,J. McGee enters the game for Z. Pachulia
4:43.0,Shooting foul by J. McGee (drawn by A. Crabbe),,59-90,,
4:43.0,A. Crabbe makes free throw 1 of 2,1,60-90,,
4:43.0,A. Crabbe makes free throw 2 of 2,1,61-90,,
4:31.0,,,61-93,3,K. Durant makes 3-pt shot from 26 ft (assist by D. Green)
4:13.0,M. Harkless makes 3-pt shot from 25 ft (assist by E. Turner),3,64-93,,
3:59.0,,,64-93,,Turnover by S. Curry (bad pass; steal by M. Harkless)
3:51.0,D. Lillard misses 2-pt shot from 9 ft,,64-93,,
3:51.0,,,64-93,,Defensive rebound by K. Durant
3:44.0,,,64-95,2,J. McGee makes 2-pt shot at rim (assist by K. Thompson)
3:23.0,M. Harkless misses 3-pt shot from 26 ft,,64-95,,
3:23.0,,,64-95,,Defensive rebound by D. Green
3:14.0,,,64-98,3,K. Durant makes 3-pt shot from 27 ft
2:54.0,Turnover by M. Harkless (lost ball; steal by J. McGee),,64-98,,
2:43.0,,,64-98,,Turnover by S. Curry (lost ball; steal by D. Lillard)
2:32.0,E. Turner misses 2-pt shot from 3 ft,,64-98,,
2:32.0,,,64-98,,Defensive rebound by J. McGee
2:31.0,Personal foul by E. Turner (drawn by D. Green),,64-98,,
2:31.0,,,64-98,,Golden State full timeout
2:31.0,,,64-99,1,D. Green makes free throw 1 of 2
2:31.0,,,64-99,,D. Green misses free throw 2 of 2
2:31.0,,,64-98,,A. Iguodala enters the game for K. Thompson
2:30.0,Defensive rebound by M. Leonard,,64-99,,
2:27.0,M. Harkless misses 3-pt shot from 26 ft,,64-99,,
2:26.0,,,64-99,,Defensive rebound by K. Durant
2:17.0,,,64-99,,D. Green misses 3-pt shot from 28 ft
2:17.0,,,64-99,,Offensive rebound by Team
2:09.0,,,64-101,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
1:52.0,D. Lillard makes 2-pt shot from 2 ft,2,66-101,,
1:39.0,,,66-103,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
1:26.0,,,66-103,,Personal foul by K. Durant (drawn by M. Leonard)
1:21.0,Turnover by M. Leonard (bad pass; steal by K. Durant),,66-103,,
1:16.0,,,66-103,,Turnover by K. Durant (bad pass; steal by M. Leonard)
1:07.0,D. Lillard makes 3-pt shot from 27 ft (assist by A. Crabbe),3,69-103,,
0:54.0,,,69-105,2,J. McGee makes 2-pt shot from 2 ft (assist by S. Curry)
0:54.0,,,69-105,,Shooting foul by M. Leonard (drawn by J. McGee)
0:54.0,,,69-105,,J. McGee misses free throw 1 of 1
0:53.0,Defensive rebound by E. Turner,,69-105,,
0:34.0,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard),3,72-105,,
0:29.0,,,72-105,,Turnover by S. Curry (kicked ball)
0:28.0,,,72-105,,P. McCaw enters the game for J. McGee
0:07.0,M. Leonard misses 3-pt shot from 28 ft,,72-105,,
0:05.0,,,72-105,,Defensive rebound by K. Durant
0:00.0,,,72-108,3,S. Curry makes 3-pt shot from 28 ft (assist by K. Durant)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,72-110,2,A. Iguodala makes 2-pt shot from 21 ft
11:22.0,M. Leonard makes 2-pt shot from 13 ft,2,74-110,,
11:04.0,,,74-112,2,A. Iguodala makes 2-pt shot from 18 ft
10:47.0,S. Napier makes 3-pt shot from 26 ft,3,77-112,,
10:47.0,Shooting foul by I. Clark (drawn by S. Napier),,77-112,,
10:47.0,S. Napier makes free throw 1 of 1,1,78-112,,
10:29.0,,,78-115,3,I. Clark makes 3-pt shot from 23 ft (assist by K. Looney)
10:01.0,J. Layman misses 2-pt shot from 9 ft,,78-115,,
9:59.0,,,78-115,,Defensive rebound by P. McCaw
9:41.0,,,78-115,,P. McCaw misses 2-pt shot from 14 ft
9:40.0,Defensive rebound by P. Connaughton,,78-115,,
9:26.0,N. Vonleh misses 2-pt shot from 4 ft,,78-115,,
9:26.0,,,78-115,,Defensive rebound by Team
9:26.0,Loose ball foul by M. Leonard (drawn by A. Iguodala),,78-115,,
9:06.0,,,78-117,2,K. Looney makes 2-pt shot from 1 ft (assist by I. Clark)
8:47.0,N. Vonleh makes 2-pt shot at rim (assist by S. Napier),2,80-117,,
8:33.0,,,80-117,,I. Clark misses 2-pt shot from 6 ft
8:33.0,Defensive rebound by Team,,80-117,,
8:33.0,Official timeout,,80-117,,
8:33.0,,,80-117,,J. McAdoo enters the game for A. Iguodala
8:29.0,Jump ball: K. Looney vs. N. Vonleh (S. Napier gains possession),,,,Jump ball: K. Looney vs. N. Vonleh (S. Napier gains possession)
8:23.0,S. Napier makes 2-pt shot from 3 ft,2,82-117,,
8:09.0,,,82-117,,Turnover by J. McAdoo (bad pass)
7:54.0,Turnover by N. Vonleh (lost ball),,82-117,,
7:41.0,,,82-117,,P. McCaw misses 2-pt shot from 3 ft (block by M. Leonard)
7:41.0,,,82-117,,Offensive rebound by Team
7:41.0,T. Quarterman enters the game for M. Leonard,,82-117,,
7:33.0,,,82-117,,I. Clark misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by N. Vonleh,,82-117,,
7:24.0,P. Connaughton makes 2-pt shot from 1 ft (assist by S. Napier),2,84-117,,
7:24.0,Shooting foul by K. Looney (drawn by P. Connaughton),,84-117,,
7:24.0,P. Connaughton makes free throw 1 of 1,1,85-117,,
7:19.0,,,85-117,,Turnover by S. Livingston (bad pass; steal by S. Napier)
7:15.0,S. Napier makes 2-pt shot from 1 ft,2,87-117,,
7:05.0,Personal foul by T. Quarterman (drawn by S. Livingston),,87-117,,
6:54.0,,,87-117,,S. Livingston misses 2-pt shot from 14 ft
6:52.0,,,87-117,,Offensive rebound by K. Looney
6:48.0,,,87-117,,Shooting foul by P. Connaughton (drawn by I. Clark)
6:48.0,,,87-118,1,I. Clark makes free throw 1 of 2
6:48.0,,,87-119,1,I. Clark makes free throw 2 of 2
6:34.0,J. Layman misses 3-pt shot from 26 ft,,87-119,,
6:33.0,,,87-119,,Defensive rebound by S. Livingston
6:20.0,,,87-121,2,S. Livingston makes 2-pt shot from 13 ft
6:09.0,S. Napier misses 3-pt shot from 28 ft,,87-121,,
6:07.0,,,87-121,,Defensive rebound by K. Looney
5:55.0,,,87-123,2,I. Clark makes 2-pt shot from 1 ft (assist by J. McAdoo)
5:41.0,J. Layman misses 2-pt shot from 20 ft,,87-123,,
5:40.0,,,87-123,,Defensive rebound by J. McAdoo
5:38.0,,,87-123,,Shooting foul by P. Connaughton (drawn by S. Livingston)
5:38.0,,,87-123,,Golden State full timeout
5:38.0,,,87-124,1,S. Livingston makes free throw 1 of 2
5:38.0,,,87-125,1,S. Livingston makes free throw 2 of 2
5:15.0,J. Layman misses 3-pt shot from 25 ft,,87-125,,
5:15.0,,,87-125,,Defensive rebound by I. Clark
4:54.0,,,87-125,,K. Looney misses 2-pt shot from 3 ft
4:54.0,Defensive rebound by T. Quarterman,,87-125,,
4:50.0,Turnover by T. Quarterman (bad pass; steal by P. McCaw),,87-125,,
4:27.0,,,87-125,,K. Looney misses 2-pt shot from 12 ft
4:26.0,Defensive rebound by P. Connaughton,,87-125,,
4:13.0,N. Vonleh misses 2-pt shot from 21 ft,,87-125,,
4:12.0,,,87-125,,Defensive rebound by I. Clark
4:02.0,,,87-127,2,K. Looney makes 2-pt shot from 2 ft (assist by I. Clark)
3:46.0,Turnover by T. Quarterman (lost ball),,87-127,,
3:46.0,,,87-127,,J. McGee enters the game for S. Livingston
3:25.0,,,87-129,2,I. Clark makes 2-pt shot from 6 ft (assist by P. McCaw)
3:07.0,S. Napier misses 3-pt shot from 24 ft,,87-129,,
3:07.0,Offensive rebound by P. Connaughton,,87-129,,
3:01.0,S. Napier misses 3-pt shot from 26 ft,,87-129,,
3:00.0,Offensive rebound by N. Vonleh,,87-129,,
2:55.0,N. Vonleh makes 2-pt shot from 21 ft,2,89-129,,
