time,Orlando,pts.away,score,pts.home,Golden State
3:24.0,,,10-31,,J. McGee enters the game for Z. Pachulia
3:12.0,M. Hezonja misses 2-pt shot from 5 ft (block by J. McGee),,10-31,,
3:11.0,,,10-31,,Defensive rebound by K. Thompson
3:07.0,,,10-31,,K. Thompson misses 3-pt shot from 27 ft
3:06.0,Defensive rebound by B. Biyombo,,10-31,,
2:56.0,J. Green makes 2-pt shot from 3 ft (assist by D. Augustin),2,12-31,,
2:42.0,,,12-31,,K. Thompson misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by D. Augustin,,12-31,,
2:21.0,D. Augustin makes 2-pt shot from 11 ft,2,14-31,,
2:12.0,,,14-31,,Shooting foul by J. Green (drawn by J. McGee)
2:12.0,,,14-32,1,J. McGee makes free throw 1 of 2
2:12.0,,,14-32,,J. McGee misses free throw 2 of 2
2:12.0,,,14-32,,D. Green enters the game for K. Thompson
2:10.0,Defensive rebound by C. Watson,,14-32,,
1:50.0,C. Watson makes 2-pt shot from 22 ft,2,16-32,,
1:36.0,Personal foul by M. Hezonja (drawn by D. Green),,16-32,,
1:36.0,,,16-32,,D. Green misses free throw 1 of 2
1:36.0,,,16-32,,Offensive rebound by Team
1:36.0,,,16-33,1,D. Green makes free throw 2 of 2
1:16.0,C. Watson misses 3-pt shot from 25 ft,,16-33,,
1:16.0,Offensive rebound by Team,,16-33,,
1:16.0,,,16-33,,Loose ball foul by J. McGee (drawn by B. Biyombo)
1:11.0,M. Hezonja misses 3-pt shot from 25 ft,,16-33,,
1:10.0,,,16-33,,Defensive rebound by D. Green
0:58.0,Personal foul by B. Biyombo (drawn by J. McGee),,16-33,,
0:58.0,,,16-34,1,J. McGee makes free throw 1 of 2
0:58.0,,,16-34,,J. McGee misses free throw 2 of 2
0:55.0,Defensive rebound by C. Watson,,16-34,,
0:44.0,J. Green makes 2-pt shot from 6 ft (assist by D. Augustin),2,18-34,,
0:36.0,Personal foul by C. Watson (drawn by A. Iguodala),,18-34,,
0:36.0,,,18-34,,A. Iguodala misses free throw 1 of 2
0:36.0,,,18-34,,Offensive rebound by Team
0:36.0,,,18-34,,A. Iguodala misses free throw 2 of 2
0:36.0,,,18-34,,M. Barnes enters the game for J. McGee
0:35.0,Defensive rebound by B. Biyombo,,18-34,,
0:12.0,D. Augustin misses 3-pt shot from 26 ft,,18-34,,
0:11.0,Offensive rebound by J. Green,,18-34,,
0:11.0,J. Green makes 2-pt shot from 2 ft,2,20-34,,
0:01.0,,,20-34,,S. Curry misses 3-pt shot from 28 ft
0:00.0,,,20-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,20-34,,D. West misses 2-pt shot from 15 ft
11:43.0,Defensive rebound by B. Biyombo,,20-34,,
11:22.0,Turnover by B. Biyombo (lost ball; steal by S. Curry),,20-34,,
11:06.0,,,20-36,2,S. Curry makes 2-pt shot from 8 ft
10:51.0,B. Biyombo misses 2-pt shot at rim (block by D. Green),,20-36,,
10:50.0,,,20-36,,Defensive rebound by M. Barnes
10:45.0,,,20-38,2,S. Curry makes 2-pt shot from 1 ft
10:33.0,Shooting foul by D. West (drawn by D. Augustin),,20-38,,
10:33.0,D. Augustin makes free throw 1 of 2,1,21-38,,
10:33.0,D. Augustin makes free throw 2 of 2,1,22-38,,
10:27.0,,,22-38,,D. Green misses 2-pt shot from 2 ft
10:26.0,Defensive rebound by M. Hezonja,,22-38,,
10:20.0,M. Hezonja misses 2-pt shot from 3 ft (block by D. West),,22-38,,
10:19.0,,,22-38,,Defensive rebound by D. West
10:17.0,,,22-38,,Shooting foul by C. Watson (drawn by A. Iguodala)
10:17.0,,,22-39,1,A. Iguodala makes free throw 1 of 2
10:17.0,,,22-40,1,A. Iguodala makes free throw 2 of 2
9:59.0,D. Augustin misses 2-pt shot from 22 ft,,22-40,,
9:58.0,Offensive rebound by J. Green,,22-40,,
9:56.0,J. Green makes 2-pt shot from 5 ft,2,24-40,,
9:47.0,,,24-40,,Turnover by S. Curry (lost ball; steal by D. Augustin)
9:42.0,J. Green misses 2-pt shot from 3 ft,,24-40,,
9:41.0,,,24-40,,Defensive rebound by D. Green
9:37.0,,,24-40,,S. Curry misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by B. Biyombo,,24-40,,
9:20.0,Turnover by C. Watson (bad pass; steal by A. Iguodala),,24-40,,
9:15.0,,,24-42,2,A. Iguodala makes 2-pt shot at rim
9:15.0,Orlando full timeout,,24-42,,
9:13.0,N. Vucevic enters the game for B. Biyombo,,24-42,,
9:13.0,E. Payton enters the game for J. Green,,24-42,,
9:13.0,E. Fournier enters the game for C. Watson,,24-42,,
9:09.0,Technical foul by Team,,24-42,,
9:09.0,Turnover by Team (turnover),,24-42,,
9:09.0,,,24-43,1,S. Curry makes technical free throw
9:09.0,J. Green enters the game for M. Hezonja,,24-43,,
8:57.0,,,24-45,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
8:31.0,E. Fournier makes 3-pt shot from 28 ft (assist by J. Green),3,27-45,,
8:19.0,,,27-45,,S. Curry misses 3-pt shot from 27 ft
8:19.0,Defensive rebound by J. Green,,27-45,,
8:10.0,E. Fournier misses 3-pt shot from 27 ft,,27-45,,
8:10.0,,,27-45,,Defensive rebound by D. Green
8:03.0,,,27-47,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
7:41.0,D. Augustin misses 3-pt shot from 25 ft,,27-47,,
7:41.0,,,27-47,,Defensive rebound by D. West
7:21.0,,,27-47,,Golden State full timeout
7:21.0,A. Gordon enters the game for D. Augustin,,27-47,,
7:21.0,T. Ross enters the game for J. Green,,27-47,,
7:21.0,,,27-47,,K. Thompson enters the game for D. Green
7:21.0,,,27-47,,S. Livingston enters the game for S. Curry
7:21.0,,,27-47,,I. Clark enters the game for A. Iguodala
7:16.0,,,27-49,2,D. West makes 2-pt shot from 20 ft (assist by M. Barnes)
6:51.0,A. Gordon misses 2-pt shot from 16 ft,,27-49,,
6:51.0,,,27-49,,Defensive rebound by I. Clark
6:39.0,,,27-51,2,D. West makes 2-pt shot at rim (assist by K. Thompson)
6:32.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,29-51,,
6:19.0,,,29-53,2,K. Thompson makes 2-pt shot from 12 ft (assist by I. Clark)
6:06.0,E. Payton makes 2-pt shot from 2 ft,2,31-53,,
5:55.0,,,31-53,,I. Clark misses 2-pt shot from 2 ft
5:54.0,,,31-53,,Offensive rebound by M. Barnes
5:54.0,,,31-53,,M. Barnes misses 2-pt shot from 2 ft
5:53.0,,,31-53,,Offensive rebound by M. Barnes
5:53.0,,,31-53,,M. Barnes misses 2-pt shot at rim
5:52.0,Defensive rebound by N. Vucevic,,31-53,,
5:44.0,Turnover by E. Payton (bad pass; steal by S. Livingston),,31-53,,
5:35.0,,,31-56,3,I. Clark makes 3-pt shot from 29 ft (assist by M. Barnes)
5:12.0,E. Fournier misses 2-pt shot from 3 ft,,31-56,,
5:11.0,,,31-56,,Defensive rebound by K. Thompson
5:00.0,,,31-56,,Turnover by D. West (bad pass; steal by N. Vucevic)
4:57.0,,,31-56,,Personal foul by I. Clark (drawn by E. Fournier)
4:57.0,,,31-56,,Z. Pachulia enters the game for D. West
4:45.0,E. Fournier misses 3-pt shot from 25 ft,,31-56,,
4:45.0,,,31-56,,Defensive rebound by Z. Pachulia
4:29.0,,,31-56,,M. Barnes misses 3-pt shot from 25 ft (block by T. Ross)
4:29.0,Defensive rebound by E. Payton,,31-56,,
4:26.0,Turnover by E. Payton (dbl dribble),,31-56,,
4:12.0,,,31-58,2,K. Thompson makes 2-pt shot from 21 ft
3:53.0,T. Ross makes 2-pt shot from 2 ft (assist by N. Vucevic),2,33-58,,
3:38.0,,,33-61,3,M. Barnes makes 3-pt shot from 26 ft (assist by I. Clark)
3:38.0,Orlando full timeout,,33-61,,
3:28.0,E. Payton makes 2-pt shot from 1 ft,2,35-61,,
3:28.0,Shooting foul by I. Clark (drawn by E. Payton),,35-61,,
3:28.0,E. Payton makes free throw 1 of 1,1,36-61,,
3:08.0,,,36-63,2,K. Thompson makes 2-pt shot from 12 ft
2:46.0,A. Gordon makes 2-pt shot from 10 ft,2,38-63,,
2:37.0,,,38-63,,K. Thompson misses 3-pt shot from 29 ft
2:37.0,,,38-63,,Offensive rebound by Z. Pachulia
2:32.0,,,38-63,,I. Clark misses 2-pt shot from 11 ft (block by E. Payton)
2:31.0,Defensive rebound by E. Payton,,38-63,,
2:27.0,Shooting foul by I. Clark (drawn by E. Fournier),,38-63,,
2:27.0,E. Fournier makes free throw 1 of 2,1,39-63,,
2:27.0,E. Fournier makes free throw 2 of 2,1,40-63,,
2:27.0,,,39-63,,S. Curry enters the game for I. Clark
2:27.0,,,39-63,,A. Iguodala enters the game for S. Livingston
2:27.0,,,39-63,,D. Green enters the game for M. Barnes
2:16.0,,,40-63,,K. Thompson misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by E. Fournier,,40-63,,
2:09.0,T. Ross makes 3-pt shot from 23 ft (assist by E. Payton),3,43-63,,
1:55.0,,,43-63,,S. Curry misses 3-pt shot from 26 ft
1:53.0,Defensive rebound by T. Ross,,43-63,,
1:47.0,N. Vucevic misses 2-pt shot from 14 ft,,43-63,,
1:47.0,,,43-63,,Defensive rebound by K. Thompson
1:38.0,,,43-63,,D. Green misses 3-pt shot from 29 ft
1:37.0,Defensive rebound by N. Vucevic,,43-63,,
1:29.0,E. Payton misses 2-pt shot from 12 ft,,43-63,,
1:28.0,Offensive rebound by N. Vucevic,,43-63,,
1:27.0,Shooting foul by Z. Pachulia (drawn by N. Vucevic),,43-63,,
1:27.0,N. Vucevic misses free throw 1 of 2,,43-63,,
1:27.0,Offensive rebound by Team,,43-63,,
1:27.0,N. Vucevic makes free throw 2 of 2,1,44-63,,
1:18.0,Personal foul by T. Ross (drawn by Z. Pachulia),,44-63,,
1:16.0,,,44-63,,Turnover by K. Thompson (bad pass)
1:10.0,,,44-63,,Personal foul by Z. Pachulia (drawn by E. Fournier)
1:10.0,E. Fournier makes free throw 1 of 2,1,45-63,,
1:10.0,E. Fournier misses free throw 2 of 2,,45-63,,
1:10.0,C. Watson enters the game for E. Payton,,45-63,,
1:09.0,,,45-63,,Defensive rebound by D. Green
1:04.0,,,45-63,,Shooting foul by N. Vucevic (drawn by S. Curry)
1:04.0,,,45-64,1,S. Curry makes free throw 1 of 2
1:04.0,,,45-65,1,S. Curry makes free throw 2 of 2
1:04.0,J. Green enters the game for N. Vucevic,,45-64,,
0:46.0,Shooting foul by A. Iguodala (drawn by A. Gordon),,45-65,,
0:46.0,A. Gordon makes free throw 1 of 2,1,46-65,,
0:46.0,A. Gordon makes free throw 2 of 2,1,47-65,,
0:27.0,,,47-67,2,D. Green makes 2-pt shot from 8 ft
0:09.0,E. Fournier makes 3-pt shot from 30 ft,3,50-67,,
0:02.0,,,50-67,,Turnover by K. Thompson (bad pass; steal by C. Watson)
0:00.0,C. Watson misses 3-pt shot from 54 ft,,50-67,,
0:00.0,Offensive rebound by Team,,50-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,50-70,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
11:14.0,N. Vucevic makes 2-pt shot from 2 ft (assist by A. Gordon),2,52-70,,
11:03.0,,,52-70,,S. Curry misses 2-pt shot from 22 ft
11:02.0,Defensive rebound by E. Payton,,52-70,,
10:50.0,E. Fournier misses 2-pt shot from 13 ft,,52-70,,
10:50.0,,,52-70,,Defensive rebound by K. Thompson
10:39.0,,,52-70,,Z. Pachulia misses 2-pt shot from 1 ft
10:38.0,Defensive rebound by N. Vucevic,,52-70,,
10:23.0,N. Vucevic misses 3-pt shot from 26 ft,,52-70,,
10:23.0,,,52-70,,Defensive rebound by D. Green
10:05.0,,,52-72,2,K. Thompson makes 2-pt shot from 13 ft
9:48.0,A. Gordon misses 3-pt shot from 26 ft,,52-72,,
9:48.0,,,52-72,,Defensive rebound by Z. Pachulia
9:32.0,,,52-74,2,P. McCaw makes 2-pt shot from 2 ft (assist by D. Green)
9:21.0,E. Payton misses 2-pt shot from 4 ft,,52-74,,
9:21.0,,,52-74,,Defensive rebound by Z. Pachulia
9:14.0,,,52-74,,K. Thompson misses 3-pt shot from 23 ft
9:14.0,,,52-74,,Offensive rebound by Z. Pachulia
9:06.0,,,52-76,2,Z. Pachulia makes 2-pt shot at rim (assist by S. Curry)
8:51.0,T. Ross makes 2-pt shot from 1 ft (assist by N. Vucevic),2,54-76,,
8:34.0,,,54-76,,Turnover by S. Curry (bad pass)
8:18.0,N. Vucevic misses 2-pt shot from 8 ft,,54-76,,
8:17.0,Offensive rebound by E. Payton,,54-76,,
8:17.0,E. Payton misses 2-pt shot from 1 ft,,54-76,,
8:12.0,Offensive rebound by E. Payton,,54-76,,
8:12.0,E. Payton makes 2-pt shot from 5 ft,2,56-76,,
7:55.0,,,56-78,2,S. Curry makes 2-pt shot from 5 ft (assist by D. Green)
7:43.0,Turnover by E. Payton (bad pass),,56-78,,
7:26.0,,,56-80,2,D. Green makes 2-pt shot at rim (assist by K. Thompson)
7:10.0,T. Ross misses 2-pt shot from 17 ft,,56-80,,
7:09.0,,,56-80,,Defensive rebound by Z. Pachulia
6:59.0,,,56-80,,P. McCaw misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by N. Vucevic,,56-80,,
6:46.0,N. Vucevic misses 2-pt shot from 11 ft,,56-80,,
6:45.0,,,56-80,,Defensive rebound by D. Green
6:33.0,,,56-80,,D. Green misses 2-pt shot from 3 ft (block by E. Payton)
6:31.0,Defensive rebound by N. Vucevic,,56-80,,
6:27.0,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic),2,58-80,,
6:13.0,,,58-80,,Z. Pachulia misses 2-pt shot from 10 ft
6:12.0,Defensive rebound by A. Gordon,,58-80,,
6:10.0,,,58-80,,Personal foul by D. Green (drawn by A. Gordon)
6:10.0,,,58-80,,A. Iguodala enters the game for D. Green
6:10.0,,,58-80,,S. Livingston enters the game for P. McCaw
6:03.0,N. Vucevic makes 2-pt shot from 5 ft,2,60-80,,
5:51.0,,,60-80,,S. Curry misses 2-pt shot from 3 ft
5:51.0,,,60-80,,Offensive rebound by A. Iguodala
5:51.0,,,60-82,2,A. Iguodala makes 2-pt shot at rim
5:37.0,Turnover by A. Gordon (lost ball; steal by A. Iguodala),,60-82,,
5:30.0,,,60-84,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
5:29.0,Orlando full timeout,,60-84,,
5:17.0,N. Vucevic makes 2-pt shot from 8 ft,2,62-84,,
5:17.0,Shooting foul by Z. Pachulia (drawn by N. Vucevic),,62-84,,
5:17.0,N. Vucevic makes free throw 1 of 1,1,63-84,,
4:56.0,,,63-86,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Thompson)
4:45.0,T. Ross misses 3-pt shot from 26 ft,,63-86,,
4:44.0,,,63-86,,Defensive rebound by Z. Pachulia
4:39.0,,,63-88,2,A. Iguodala makes 2-pt shot from 2 ft (assist by Z. Pachulia)
4:25.0,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic),3,66-88,,
4:09.0,Personal foul by T. Ross (drawn by A. Iguodala),,66-88,,
4:09.0,J. Green enters the game for A. Gordon,,66-88,,
4:09.0,D. Augustin enters the game for N. Vucevic,,66-88,,
4:09.0,B. Biyombo enters the game for E. Payton,,66-88,,
4:09.0,,,66-88,,J. McGee enters the game for Z. Pachulia
4:04.0,,,66-88,,K. Thompson misses 2-pt shot from 10 ft
4:03.0,,,66-88,,Offensive rebound by Team
4:02.0,,,66-88,,D. Green enters the game for K. Thompson
3:56.0,,,66-91,3,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston)
3:29.0,D. Augustin misses 3-pt shot from 28 ft,,66-91,,
3:29.0,,,66-91,,Defensive rebound by D. Green
3:14.0,,,66-93,2,S. Curry makes 2-pt shot from 1 ft
2:54.0,T. Ross misses 2-pt shot from 18 ft (block by J. McGee),,66-93,,
2:53.0,,,66-93,,Defensive rebound by A. Iguodala
2:53.0,Personal foul by T. Ross (drawn by A. Iguodala),,66-93,,
2:53.0,,,66-93,,Golden State full timeout
2:53.0,C. Watson enters the game for T. Ross,,66-93,,
2:53.0,M. Hezonja enters the game for E. Fournier,,66-93,,
2:49.0,Personal foul by D. Augustin (drawn by S. Curry),,66-93,,
2:42.0,,,66-93,,J. McGee misses 2-pt shot at rim
2:42.0,Defensive rebound by J. Green,,66-93,,
2:18.0,J. Green makes 3-pt shot from 28 ft (assist by C. Watson),3,69-93,,
2:07.0,,,69-93,,Shooting foul by J. Green (drawn by A. Iguodala)
2:07.0,,,69-93,,A. Iguodala misses free throw 1 of 2
2:07.0,,,69-93,,Offensive rebound by Team
2:07.0,,,69-93,,A. Iguodala misses free throw 2 of 2
2:05.0,Defensive rebound by B. Biyombo,,69-93,,
1:56.0,Turnover by C. Watson (lost ball; steal by S. Curry),,69-93,,
1:51.0,,,69-95,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
1:26.0,D. Augustin misses 2-pt shot from 8 ft (block by J. McGee),,69-95,,
1:25.0,,,69-95,,Defensive rebound by A. Iguodala
1:20.0,,,69-97,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
1:10.0,,,69-97,,Violation by D. Green (kicked ball)
1:04.0,J. Green makes 2-pt shot from 20 ft (assist by C. Watson),2,71-97,,
0:55.0,,,71-99,2,S. Curry makes 2-pt shot from 3 ft
0:55.0,,,71-99,,Shooting foul by J. Green (drawn by S. Curry)
0:55.0,,,71-100,1,S. Curry makes free throw 1 of 1
0:42.0,,,71-100,,Personal foul by S. Livingston (drawn by B. Biyombo)
0:32.0,M. Hezonja misses 2-pt shot from 17 ft,,71-100,,
0:31.0,,,71-100,,Defensive rebound by A. Iguodala
0:28.0,,,71-100,,Shooting foul by C. Watson (drawn by S. Curry)
0:28.0,,,71-101,1,S. Curry makes free throw 1 of 3
0:28.0,,,71-102,1,S. Curry makes free throw 2 of 3
0:28.0,,,71-103,1,S. Curry makes free throw 3 of 3
0:08.0,D. Augustin misses 2-pt shot from 8 ft,,71-103,,
0:08.0,Offensive rebound by B. Biyombo,,71-103,,
0:05.0,B. Biyombo misses 2-pt shot from 6 ft,,71-103,,
0:04.0,,,71-103,,Defensive rebound by J. McGee
0:02.0,,,71-103,,S. Curry misses 3-pt shot from 64 ft
0:00.0,,,71-103,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Hezonja misses 2-pt shot from 3 ft,,71-103,,
11:45.0,Offensive rebound by B. Biyombo,,71-103,,
11:45.0,B. Biyombo makes 2-pt shot from 1 ft,2,73-103,,
11:45.0,Shooting foul by K. Thompson (drawn by B. Biyombo),,73-103,,
11:45.0,B. Biyombo makes free throw 1 of 1,1,74-103,,
11:22.0,,,74-103,,M. Barnes misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by C. Wilcox,,74-103,,
11:11.0,D. Augustin makes 2-pt shot from 17 ft,2,76-103,,
10:54.0,,,76-103,,K. Thompson misses 2-pt shot from 10 ft
10:53.0,Defensive rebound by B. Biyombo,,76-103,,
10:46.0,Shooting foul by I. Clark (drawn by D. Augustin),,76-103,,
10:46.0,D. Augustin makes free throw 1 of 2,1,77-103,,
10:46.0,D. Augustin makes free throw 2 of 2,1,78-103,,
10:34.0,Personal foul by J. Green (drawn by A. Iguodala),,78-103,,
10:21.0,,,78-103,,A. Iguodala misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by B. Biyombo,,78-103,,
10:08.0,Turnover by J. Green (lost ball; steal by D. West),,78-103,,
10:01.0,,,78-105,2,D. West makes 2-pt shot at rim (assist by A. Iguodala)
9:41.0,C. Wilcox misses 2-pt shot from 18 ft,,78-105,,
9:40.0,Offensive rebound by C. Wilcox,,78-105,,
9:33.0,C. Wilcox misses 3-pt shot from 25 ft,,78-105,,
9:33.0,,,78-105,,Defensive rebound by A. Iguodala
9:22.0,,,78-105,,Turnover by D. West (bad pass; steal by J. Green)
9:19.0,Turnover by M. Hezonja (lost ball; steal by D. West),,78-105,,
9:14.0,,,78-105,,Turnover by A. Iguodala (bad pass)
9:02.0,J. Green misses 3-pt shot from 26 ft,,78-105,,
9:00.0,Offensive rebound by Team,,78-105,,
9:00.0,,,78-105,,Loose ball foul by M. Barnes (drawn by B. Biyombo)
8:46.0,J. Green misses 2-pt shot from 11 ft,,78-105,,
8:45.0,,,78-105,,Defensive rebound by A. Iguodala
8:39.0,,,78-105,,A. Iguodala misses 2-pt shot from 2 ft (block by M. Hezonja)
8:38.0,,,78-105,,Offensive rebound by M. Barnes
8:38.0,,,78-107,2,M. Barnes makes 2-pt shot from 2 ft
8:22.0,C. Wilcox misses 2-pt shot from 17 ft,,78-107,,
8:20.0,,,78-107,,Defensive rebound by D. West
8:14.0,,,78-109,2,I. Clark makes 2-pt shot from 5 ft
7:48.0,B. Biyombo misses 2-pt shot from 7 ft (block by K. Thompson),,78-109,,
7:48.0,Offensive rebound by B. Biyombo,,78-109,,
7:48.0,Turnover by Team (shot clock),,78-109,,
7:48.0,Official timeout,,78-109,,
7:48.0,,,78-109,,P. McCaw enters the game for K. Thompson
7:48.0,,,78-109,,J. McAdoo enters the game for A. Iguodala
7:48.0,,,78-109,,S. Livingston enters the game for M. Barnes
7:35.0,Personal foul by D. Augustin (drawn by S. Livingston),,78-109,,
7:24.0,,,78-112,3,I. Clark makes 3-pt shot from 26 ft (assist by P. McCaw)
7:12.0,,,78-112,,Personal foul by D. West (drawn by B. Biyombo)
7:12.0,D. Rudez enters the game for B. Biyombo,,78-112,,
7:12.0,S. Zimmerman enters the game for J. Green,,78-112,,
7:12.0,C. Watson enters the game for D. Augustin,,78-112,,
7:08.0,C. Wilcox misses 2-pt shot from 2 ft,,78-112,,
7:08.0,,,78-112,,Defensive rebound by D. West
