time,Indiana,pts.away,score,pts.home,Atlanta
1:13.0,P. George makes 3-pt shot from 25 ft (assist by R. Stuckey),3,19-29,,
0:59.0,,,19-29,,P. Millsap misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by M. Ellis,,19-29,,
0:50.0,Turnover by M. Ellis (bad pass),,19-29,,
0:50.0,G. Robinson enters the game for P. George,,19-29,,
0:50.0,C. Miles enters the game for K. Seraphin,,19-29,,
0:37.0,,,19-29,,Shooting foul by G. Robinson (drawn by T. Waller-Prince)
0:37.0,,,19-29,,T. Waller-Prince misses free throw 1 of 2
0:37.0,,,19-29,,Offensive rebound by Team
0:37.0,,,19-30,1,T. Waller-Prince makes free throw 2 of 2
0:25.0,Turnover by M. Ellis (lost ball),,19-30,,
0:07.0,,,19-30,,E. Ilyasova misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by R. Stuckey,,19-30,,
0:04.0,,,19-30,,Personal foul by T. Waller-Prince (drawn by C. Miles)
0:04.0,,,19-30,,K. Bazemore enters the game for P. Millsap
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,R. Stuckey misses 2-pt shot from 9 ft,,19-30,,
11:51.0,,,19-30,,Defensive rebound by D. Howard
11:34.0,,,19-30,,Shooting foul by R. Christmas (drawn by D. Howard)
11:34.0,,,19-30,,D. Howard misses free throw 1 of 2
11:34.0,,,19-30,,Offensive rebound by Team
11:34.0,,,19-30,,D. Howard misses free throw 2 of 2
11:33.0,,,19-30,,Offensive rebound by Team
11:33.0,Loose ball foul by C. Miles (drawn by T. Waller-Prince),,19-30,,
11:20.0,,,19-30,,T. Waller-Prince misses 2-pt shot from 4 ft
11:18.0,Defensive rebound by R. Christmas,,19-30,,
11:04.0,C. Miles misses 3-pt shot from 24 ft,,19-30,,
11:03.0,,,19-30,,Defensive rebound by E. Ilyasova
10:57.0,Personal foul by R. Christmas (drawn by D. Howard),,19-30,,
10:45.0,,,19-30,,Shooting foul by R. Christmas (drawn by D. Howard)
10:45.0,,,19-31,1,D. Howard makes free throw 1 of 2
10:45.0,,,19-32,1,D. Howard makes free throw 2 of 2
10:45.0,A. Jefferson enters the game for R. Christmas,,19-31,,
10:27.0,Turnover by C. Miles (bad pass; steal by D. Howard),,19-32,,
10:19.0,,,19-32,,D. Howard misses 2-pt shot from 9 ft
10:17.0,Defensive rebound by G. Robinson,,19-32,,
10:12.0,,,19-32,,Personal foul by T. Hardaway (drawn by C. Miles)
10:12.0,,,19-32,,K. Bazemore enters the game for E. Ilyasova
10:08.0,R. Stuckey misses 2-pt shot from 17 ft,,19-32,,
10:06.0,,,19-32,,Defensive rebound by T. Waller-Prince
10:01.0,,,19-32,,Turnover by M. Delaney (bad pass; steal by M. Ellis)
9:49.0,G. Robinson makes 3-pt shot from 22 ft (assist by R. Stuckey),3,22-32,,
9:34.0,,,22-32,,M. Delaney misses 2-pt shot from 18 ft
9:33.0,Defensive rebound by A. Jefferson,,22-32,,
9:20.0,R. Stuckey misses 2-pt shot from 12 ft,,22-32,,
9:17.0,,,22-32,,Defensive rebound by D. Howard
9:05.0,,,22-32,,Turnover by D. Howard (lost ball)
8:50.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis),3,25-32,,
8:49.0,,,25-32,,Atlanta full timeout
8:49.0,,,25-32,,D. Schroder enters the game for M. Delaney
8:49.0,P. George enters the game for C. Miles,,25-32,,
8:35.0,,,25-32,,Turnover by T. Waller-Prince (bad pass; steal by R. Stuckey)
8:27.0,G. Robinson makes 3-pt shot from 23 ft (assist by P. George),3,28-32,,
8:11.0,,,28-32,,T. Sefolosha enters the game for T. Waller-Prince
8:00.0,,,28-32,,K. Bazemore misses 2-pt shot from 8 ft
7:59.0,Defensive rebound by P. George,,28-32,,
7:46.0,,,28-32,,Personal foul by D. Howard (drawn by A. Jefferson)
7:34.0,A. Jefferson makes 2-pt shot at rim (assist by P. George),2,30-32,,
7:22.0,,,30-32,,D. Schroder misses 2-pt shot from 15 ft
7:21.0,Defensive rebound by P. George,,30-32,,
7:16.0,,,30-32,,Personal foul by K. Bazemore (drawn by P. George)
7:16.0,,,30-32,,P. Millsap enters the game for T. Hardaway
7:08.0,G. Robinson misses 3-pt shot from 23 ft,,30-32,,
7:06.0,,,30-32,,Defensive rebound by P. Millsap
6:59.0,,,30-32,,D. Schroder misses 3-pt shot from 25 ft
6:57.0,,,30-32,,Offensive rebound by Team
6:56.0,,,30-34,2,P. Millsap makes 2-pt shot from 9 ft (assist by K. Bazemore)
6:56.0,,,30-34,,Shooting foul by P. George (drawn by P. Millsap)
6:56.0,,,30-35,1,P. Millsap makes free throw 1 of 1
6:38.0,A. Jefferson makes 2-pt shot from 19 ft (assist by G. Robinson),2,32-35,,
6:31.0,,,32-35,,Shooting foul by A. Jefferson (drawn by D. Howard)
6:31.0,,,32-35,,D. Howard misses free throw 1 of 2
6:31.0,,,32-35,,Offensive rebound by Team
6:31.0,,,32-35,,D. Howard misses free throw 2 of 2
6:31.0,M. Turner enters the game for G. Robinson,,32-35,,
6:30.0,Defensive rebound by A. Jefferson,,32-35,,
6:20.0,M. Ellis misses 3-pt shot from 23 ft,,32-35,,
6:19.0,,,32-35,,Defensive rebound by D. Howard
6:03.0,,,32-35,,K. Bazemore misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by A. Jefferson,,32-35,,
6:00.0,Turnover by A. Jefferson (bad pass; steal by K. Bazemore),,32-35,,
5:54.0,,,32-35,,K. Bazemore misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by M. Ellis,,32-35,,
5:45.0,P. George makes 3-pt shot from 25 ft (assist by M. Ellis),3,35-35,,
5:32.0,,,35-35,,P. Millsap misses 2-pt shot from 2 ft
5:30.0,Defensive rebound by A. Jefferson,,35-35,,
5:25.0,Turnover by R. Stuckey (bad pass; steal by T. Sefolosha),,35-35,,
5:05.0,,,35-35,,T. Sefolosha misses 3-pt shot from 23 ft
5:04.0,Defensive rebound by A. Jefferson,,35-35,,
4:59.0,Indiana full timeout,,35-35,,
4:59.0,J. Teague enters the game for M. Ellis,,35-35,,
4:59.0,G. Robinson enters the game for R. Stuckey,,35-35,,
4:59.0,,,35-35,,E. Ilyasova enters the game for D. Howard
4:46.0,P. George misses 2-pt shot from 12 ft,,35-35,,
4:45.0,Offensive rebound by A. Jefferson,,35-35,,
4:45.0,Shooting foul by D. Schroder (drawn by A. Jefferson),,35-35,,
4:45.0,A. Jefferson misses free throw 1 of 2,,35-35,,
4:45.0,Offensive rebound by Team,,35-35,,
4:45.0,A. Jefferson misses free throw 2 of 2,,35-35,,
4:44.0,,,35-35,,Defensive rebound by P. Millsap
4:44.0,Personal foul by M. Turner (drawn by P. Millsap),,35-35,,
4:44.0,,,35-36,1,P. Millsap makes free throw 1 of 2
4:44.0,,,35-36,,P. Millsap misses free throw 2 of 2
4:44.0,T. Young enters the game for A. Jefferson,,35-36,,
4:43.0,,,35-36,,Offensive rebound by P. Millsap
4:41.0,,,35-36,,Turnover by P. Millsap (bad pass; steal by G. Robinson)
4:34.0,Shooting foul by K. Bazemore (drawn by P. George),,35-36,,
4:34.0,P. George makes free throw 1 of 2,1,36-36,,
4:34.0,P. George makes free throw 2 of 2,1,37-36,,
4:19.0,,,37-36,,T. Sefolosha misses 3-pt shot from 23 ft
4:18.0,Defensive rebound by T. Young,,37-36,,
4:08.0,J. Teague makes 2-pt shot from 8 ft,2,39-36,,
3:54.0,,,39-38,2,P. Millsap makes 2-pt shot from 2 ft (assist by E. Ilyasova)
3:54.0,,,39-38,,Shooting foul by M. Turner (drawn by P. Millsap)
3:54.0,,,39-39,1,P. Millsap makes free throw 1 of 1
3:54.0,,,39-38,,T. Hardaway enters the game for K. Bazemore
3:40.0,P. George makes 2-pt shot from 18 ft,2,41-39,,
3:28.0,,,41-41,2,D. Schroder makes 2-pt shot from 2 ft
3:21.0,Shooting foul by D. Schroder (drawn by J. Teague),,41-41,,
3:21.0,J. Teague makes free throw 1 of 3,1,42-41,,
3:21.0,J. Teague makes free throw 2 of 3,1,43-41,,
3:21.0,J. Teague makes free throw 3 of 3,1,44-41,,
3:21.0,C. Miles enters the game for M. Turner,,43-41,,
3:04.0,,,44-41,,T. Sefolosha misses 2-pt shot from 21 ft
3:02.0,Defensive rebound by G. Robinson,,44-41,,
2:54.0,P. George makes 2-pt shot from 16 ft,2,46-41,,
2:38.0,,,46-41,,Shooting foul by T. Young (drawn by P. Millsap)
2:38.0,Official timeout,,46-41,,
2:38.0,,,46-42,1,P. Millsap makes free throw 1 of 2
2:38.0,,,46-42,,P. Millsap misses free throw 2 of 2
2:36.0,Defensive rebound by G. Robinson,,46-42,,
2:21.0,J. Teague makes 2-pt shot from 18 ft,2,48-42,,
2:01.0,,,48-42,,T. Hardaway misses 2-pt shot from 10 ft
2:00.0,,,48-42,,Offensive rebound by T. Hardaway
1:59.0,,,48-44,2,T. Hardaway makes 2-pt shot from 6 ft
1:50.0,Turnover by J. Teague (lost ball; steal by D. Schroder),,48-44,,
1:40.0,,,48-44,,D. Schroder misses 2-pt shot from 17 ft
1:37.0,,,48-44,,Offensive rebound by T. Sefolosha
1:29.0,,,48-46,2,P. Millsap makes 2-pt shot at rim (assist by T. Hardaway)
1:05.0,P. George makes 2-pt shot at rim (assist by J. Teague),2,50-46,,
0:43.0,,,50-48,2,D. Schroder makes 2-pt shot from 2 ft
0:26.0,J. Teague misses 3-pt shot from 24 ft,,50-48,,
0:24.0,,,50-48,,Defensive rebound by T. Sefolosha
0:03.0,,,50-50,2,D. Schroder makes 2-pt shot from 22 ft
0:00.0,P. George misses 3-pt shot from 39 ft,,50-50,,
0:00.0,Offensive rebound by Team,,50-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by M. Turner (bad pass; steal by D. Howard),,50-50,,
11:31.0,,,50-50,,Turnover by P. Millsap (traveling)
11:20.0,C. Miles misses 3-pt shot from 25 ft,,50-50,,
11:19.0,,,50-50,,Defensive rebound by D. Howard
11:02.0,,,50-50,,T. Sefolosha misses 2-pt shot from 10 ft
10:59.0,Defensive rebound by P. George,,50-50,,
10:55.0,P. George makes 3-pt shot from 25 ft,3,53-50,,
10:55.0,,,53-50,,Away from play foul by K. Bazemore (drawn by M. Turner)
10:55.0,M. Turner makes free throw 1 of 1,1,54-50,,
10:43.0,,,54-50,,Shooting foul by T. Young (drawn by D. Schroder)
10:43.0,,,54-51,1,D. Schroder makes free throw 1 of 2
10:43.0,,,54-52,1,D. Schroder makes free throw 2 of 2
10:32.0,Turnover by P. George (lost ball; steal by P. Millsap),,54-52,,
10:26.0,,,54-52,,D. Schroder misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by C. Miles,,54-52,,
10:16.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,56-52,,
10:06.0,,,56-52,,K. Bazemore misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by T. Young,,56-52,,
9:45.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,59-52,,
9:43.0,,,59-52,,Atlanta full timeout
9:27.0,,,59-55,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Sefolosha)
9:13.0,C. Miles makes 2-pt shot from 1 ft (assist by J. Teague),2,61-55,,
8:48.0,,,61-55,,T. Sefolosha misses 3-pt shot from 23 ft
8:47.0,Defensive rebound by P. George,,61-55,,
8:42.0,J. Teague makes 3-pt shot from 25 ft (assist by P. George),3,64-55,,
8:13.0,,,64-55,,Turnover by Team (shot clock)
8:13.0,,,64-55,,E. Ilyasova enters the game for D. Howard
8:13.0,,,64-55,,T. Hardaway enters the game for K. Bazemore
7:57.0,J. Teague makes 2-pt shot from 2 ft,2,66-55,,
7:44.0,,,66-57,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
7:30.0,M. Turner misses 2-pt shot from 19 ft,,66-57,,
7:29.0,,,66-57,,Defensive rebound by E. Ilyasova
7:21.0,G. Robinson enters the game for C. Miles,,66-57,,
7:19.0,,,66-59,2,T. Hardaway makes 2-pt shot from 1 ft (assist by T. Sefolosha)
7:05.0,Shooting foul by T. Sefolosha (drawn by P. George),,66-59,,
7:05.0,P. George makes free throw 1 of 3,1,67-59,,
7:05.0,P. George makes free throw 2 of 3,1,68-59,,
7:05.0,P. George misses free throw 3 of 3,,68-59,,
7:04.0,,,68-59,,Defensive rebound by T. Sefolosha
6:51.0,,,68-59,,D. Schroder misses 2-pt shot from 2 ft (block by M. Turner)
6:48.0,Defensive rebound by T. Young,,68-59,,
6:37.0,Shooting foul by D. Schroder (drawn by T. Young),,68-59,,
6:37.0,T. Young misses free throw 1 of 2,,68-59,,
6:37.0,Offensive rebound by Team,,68-59,,
6:37.0,T. Young misses free throw 2 of 2,,68-59,,
6:35.0,Offensive rebound by M. Turner,,68-59,,
6:17.0,P. George makes 2-pt shot from 2 ft (assist by T. Young),2,70-59,,
6:01.0,,,70-59,,E. Ilyasova misses 3-pt shot from 25 ft
6:00.0,,,70-59,,Offensive rebound by P. Millsap
5:57.0,,,70-59,,Shooting foul by P. George (drawn by T. Hardaway)
5:57.0,,,70-60,1,T. Hardaway makes free throw 1 of 2
5:57.0,,,70-61,1,T. Hardaway makes free throw 2 of 2
5:34.0,P. George misses 2-pt shot from 13 ft,,70-61,,
5:32.0,,,70-61,,Defensive rebound by E. Ilyasova
5:28.0,,,70-63,2,D. Schroder makes 2-pt shot from 22 ft (assist by T. Sefolosha)
5:13.0,,,70-63,,Personal foul by T. Sefolosha (drawn by P. George)
4:58.0,M. Turner misses 3-pt shot from 24 ft,,70-63,,
4:56.0,,,70-63,,Defensive rebound by T. Hardaway
4:46.0,,,70-63,,Shooting foul by G. Robinson (drawn by P. Millsap)
4:46.0,,,70-63,,P. Millsap misses free throw 1 of 2
4:46.0,,,70-63,,Offensive rebound by Team
4:46.0,,,70-64,1,P. Millsap makes free throw 2 of 2
4:27.0,J. Teague misses 2-pt shot from 12 ft,,70-64,,
4:24.0,,,70-64,,Defensive rebound by P. Millsap
4:16.0,,,70-64,,Shooting foul by M. Turner (drawn by P. Millsap)
4:16.0,,,70-65,1,P. Millsap makes free throw 1 of 2
4:16.0,,,70-66,1,P. Millsap makes free throw 2 of 2
4:16.0,A. Jefferson enters the game for M. Turner,,70-65,,
4:02.0,Turnover by P. George (bad pass; steal by P. Millsap),,70-66,,
3:59.0,,,70-66,,Shooting foul by P. George (drawn by T. Sefolosha)
3:59.0,,,70-67,1,T. Sefolosha makes free throw 1 of 2
3:59.0,,,70-68,1,T. Sefolosha makes free throw 2 of 2
3:59.0,,,70-67,,D. Howard enters the game for P. Millsap
3:59.0,M. Ellis enters the game for T. Young,,70-67,,
3:39.0,M. Ellis makes 3-pt shot from 23 ft (assist by A. Jefferson),3,73-68,,
3:24.0,,,73-68,,D. Schroder misses 2-pt shot from 17 ft
3:23.0,,,73-68,,Offensive rebound by D. Howard
3:23.0,,,73-68,,Shooting foul by A. Jefferson (drawn by D. Howard)
3:23.0,,,73-69,1,D. Howard makes free throw 1 of 2
3:23.0,,,73-69,,D. Howard misses free throw 2 of 2
3:22.0,,,73-69,,Offensive rebound by E. Ilyasova
3:17.0,,,73-69,,Turnover by D. Howard (offensive goaltending)
2:55.0,J. Teague misses 3-pt shot from 25 ft,,73-69,,
2:54.0,,,73-69,,Defensive rebound by Team
2:54.0,Indiana full timeout,,73-69,,
2:54.0,,,73-69,,M. Delaney enters the game for D. Schroder
2:54.0,R. Stuckey enters the game for P. George,,73-69,,
2:54.0,C. Miles enters the game for J. Teague,,73-69,,
2:36.0,,,73-71,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by T. Hardaway)
2:25.0,,,73-71,,Personal foul by D. Howard (drawn by G. Robinson)
2:25.0,G. Robinson makes free throw 1 of 2,1,74-71,,
2:25.0,G. Robinson makes free throw 2 of 2,1,75-71,,
2:25.0,,,74-71,,T. Waller-Prince enters the game for T. Sefolosha
2:04.0,,,75-71,,T. Hardaway misses 2-pt shot from 4 ft
2:03.0,Defensive rebound by G. Robinson,,75-71,,
1:45.0,C. Miles makes 3-pt shot from 24 ft (assist by A. Jefferson),3,78-71,,
1:24.0,,,78-71,,Turnover by D. Howard (bad pass)
1:00.0,A. Jefferson misses 2-pt shot from 10 ft,,78-71,,
1:00.0,,,78-71,,Defensive rebound by Team
1:00.0,Loose ball foul by A. Jefferson (drawn by D. Howard),,78-71,,
1:00.0,,,78-71,,D. Howard misses free throw 1 of 2
1:00.0,,,78-71,,Offensive rebound by Team
1:00.0,,,78-72,1,D. Howard makes free throw 2 of 2
0:47.0,M. Ellis misses 2-pt shot from 15 ft,,78-72,,
0:44.0,Offensive rebound by M. Ellis,,78-72,,
0:37.0,M. Ellis misses 2-pt shot from 20 ft,,78-72,,
0:35.0,,,78-72,,Defensive rebound by T. Waller-Prince
0:30.0,,,78-72,,T. Hardaway misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by A. Jefferson,,78-72,,
0:05.0,R. Stuckey makes 3-pt shot from 24 ft (assist by M. Ellis),3,81-72,,
0:01.0,,,81-74,2,M. Delaney makes 2-pt shot from 19 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,81-74,,T. Hardaway misses 2-pt shot from 10 ft
11:43.0,Defensive rebound by A. Jefferson,,81-74,,
11:31.0,A. Jefferson misses 2-pt shot from 9 ft,,81-74,,
11:29.0,,,81-74,,Defensive rebound by T. Hardaway
11:12.0,,,81-76,2,T. Hardaway makes 2-pt shot from 20 ft (assist by D. Howard)
10:52.0,M. Ellis misses 2-pt shot from 10 ft (block by D. Howard),,81-76,,
10:52.0,Offensive rebound by Team,,81-76,,
10:49.0,R. Stuckey misses 2-pt shot from 22 ft,,81-76,,
10:48.0,,,81-76,,Defensive rebound by K. Bazemore
10:39.0,,,81-76,,Turnover by K. Bazemore (bad pass; steal by R. Stuckey)
10:35.0,Shooting foul by T. Hardaway (drawn by R. Stuckey),,81-76,,
10:35.0,R. Stuckey misses free throw 1 of 2,,81-76,,
10:35.0,Offensive rebound by Team,,81-76,,
10:35.0,R. Stuckey misses free throw 2 of 2,,81-76,,
10:34.0,,,81-76,,Defensive rebound by Team
10:34.0,Loose ball foul by A. Jefferson (drawn by D. Howard),,81-76,,
10:23.0,,,81-78,2,E. Ilyasova makes 2-pt shot from 11 ft (assist by M. Delaney)
9:59.0,G. Robinson misses 3-pt shot from 24 ft,,81-78,,
9:57.0,,,81-78,,Defensive rebound by D. Howard
9:44.0,,,81-78,,Turnover by K. Bazemore (lost ball)
9:44.0,,,81-78,,P. Millsap enters the game for E. Ilyasova
9:25.0,Turnover by R. Stuckey (lost ball; steal by M. Delaney),,81-78,,
9:21.0,,,81-78,,T. Hardaway misses 2-pt shot from 1 ft (block by G. Robinson)
9:21.0,,,81-78,,Offensive rebound by Team
9:21.0,,,81-78,,T. Sefolosha enters the game for K. Bazemore
9:21.0,,,81-78,,D. Schroder enters the game for M. Delaney
9:21.0,M. Turner enters the game for G. Robinson,,81-78,,
9:21.0,P. George enters the game for A. Jefferson,,81-78,,
9:11.0,,,81-78,,T. Sefolosha misses 2-pt shot from 20 ft
9:10.0,Defensive rebound by P. George,,81-78,,
9:01.0,Turnover by P. George (bad pass; steal by D. Schroder),,81-78,,
8:56.0,,,81-80,2,T. Hardaway makes 2-pt shot from 1 ft (assist by D. Schroder)
8:56.0,Indiana full timeout,,81-80,,
8:56.0,J. Teague enters the game for R. Stuckey,,81-80,,
8:38.0,P. George misses 2-pt shot from 16 ft,,81-80,,
8:35.0,,,81-80,,Defensive rebound by T. Hardaway
8:26.0,,,81-80,,P. Millsap misses 2-pt shot from 17 ft
8:23.0,Defensive rebound by J. Teague,,81-80,,
8:18.0,J. Teague misses 2-pt shot from 7 ft,,81-80,,
8:15.0,,,81-80,,Defensive rebound by T. Sefolosha
8:01.0,,,81-80,,D. Schroder misses 2-pt shot from 5 ft (block by J. Teague)
7:59.0,Defensive rebound by J. Teague,,81-80,,
7:44.0,C. Miles makes 3-pt shot from 23 ft (assist by M. Turner),3,84-80,,
7:25.0,,,84-83,3,T. Hardaway makes 3-pt shot from 26 ft (assist by T. Sefolosha)
7:02.0,M. Turner makes 2-pt shot from 19 ft (assist by P. George),2,86-83,,
6:44.0,Personal foul by C. Miles (drawn by D. Schroder),,86-83,,
6:44.0,T. Young enters the game for M. Ellis,,86-83,,
6:35.0,,,86-83,,D. Schroder misses 3-pt shot from 23 ft
6:32.0,Defensive rebound by C. Miles,,86-83,,
6:15.0,M. Turner misses 2-pt shot from 9 ft,,86-83,,
6:13.0,,,86-83,,Defensive rebound by P. Millsap
5:59.0,,,86-83,,T. Hardaway misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by M. Turner,,86-83,,
5:44.0,Official timeout,,86-83,,
5:36.0,C. Miles misses 3-pt shot from 26 ft,,86-83,,
5:34.0,,,86-83,,Defensive rebound by D. Howard
5:16.0,,,86-83,,P. Millsap misses 2-pt shot from 8 ft
5:14.0,,,86-83,,Offensive rebound by P. Millsap
5:13.0,,,86-85,2,P. Millsap makes 2-pt shot from 2 ft
4:52.0,Shooting foul by D. Schroder (drawn by J. Teague),,86-85,,
4:52.0,J. Teague makes free throw 1 of 2,1,87-85,,
4:52.0,J. Teague makes free throw 2 of 2,1,88-85,,
4:40.0,,,88-88,3,T. Hardaway makes 3-pt shot from 24 ft
