time,Golden State,pts.away,score,pts.home,LA Clippers
5:20.0,,,13-10,,Offensive rebound by B. Griffin
5:20.0,,,13-10,,B. Griffin misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by Z. Pachulia,,13-10,,
5:12.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry),2,15-10,,
4:46.0,,,15-13,3,C. Paul makes 3-pt shot from 29 ft
4:35.0,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green),3,18-13,,
4:22.0,,,18-13,,Turnover by B. Griffin (bad pass; steal by D. Green)
4:17.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,20-13,,
3:49.0,,,20-13,,C. Paul misses 3-pt shot from 28 ft
3:48.0,Defensive rebound by A. Iguodala,,20-13,,
3:42.0,S. Curry makes 2-pt shot from 20 ft (assist by A. Iguodala),2,22-13,,
3:25.0,,,22-13,,B. Griffin misses 2-pt shot from 4 ft
3:25.0,,,22-13,,Offensive rebound by Team
3:25.0,Loose ball foul by Z. Pachulia (drawn by D. Jordan),,22-13,,
3:25.0,,,22-13,,A. Rivers enters the game for B. Griffin
3:25.0,,,22-13,,W. Johnson enters the game for D. Jordan
3:25.0,,,22-13,,M. Speights enters the game for J. Redick
3:25.0,K. Durant enters the game for Z. Pachulia,,22-13,,
3:25.0,I. Clark enters the game for K. Thompson,,22-13,,
3:13.0,,,22-13,,Turnover by M. Speights (lost ball; steal by A. Iguodala)
3:08.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala),2,24-13,,
3:08.0,,,24-13,,LA Clippers full timeout
2:53.0,,,24-13,,M. Speights misses 2-pt shot from 20 ft
2:52.0,Defensive rebound by K. Durant,,24-13,,
2:38.0,D. Green makes 3-pt shot from 26 ft (assist by K. Durant),3,27-13,,
2:33.0,,,27-13,,Turnover by W. Johnson (bad pass; steal by S. Curry)
2:28.0,S. Curry misses 3-pt shot from 23 ft,,27-13,,
2:25.0,,,27-13,,Defensive rebound by A. Rivers
2:18.0,,,27-15,2,M. Speights makes 2-pt shot from 8 ft (assist by J. Crawford)
2:10.0,S. Curry makes 2-pt shot from 3 ft,2,29-15,,
2:10.0,Shooting foul by M. Speights (drawn by S. Curry),,29-15,,
2:10.0,Golden State full timeout,,29-15,,
2:10.0,S. Curry makes free throw 1 of 1,1,30-15,,
2:10.0,,,29-15,,A. Anderson enters the game for C. Paul
2:10.0,D. West enters the game for D. Green,,29-15,,
1:57.0,,,30-15,,A. Rivers misses 2-pt shot from 3 ft (block by A. Iguodala)
1:55.0,Jump ball: A. Iguodala vs. A. Rivers (D. West gains possession),,,,Jump ball: A. Iguodala vs. A. Rivers (D. West gains possession)
1:55.0,Offensive rebound by A. Iguodala,,30-15,,
1:40.0,,,30-15,,Personal foul by J. Crawford (drawn by D. West)
1:40.0,D. West makes free throw 1 of 2,1,31-15,,
1:40.0,D. West makes free throw 2 of 2,1,32-15,,
1:21.0,,,32-15,,M. Speights misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by D. West,,32-15,,
1:08.0,I. Clark misses 3-pt shot from 24 ft,,32-15,,
1:07.0,,,32-15,,Defensive rebound by M. Speights
1:00.0,,,32-15,,J. Crawford misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by D. West,,32-15,,
0:51.0,I. Clark makes 2-pt shot from 3 ft (assist by D. West),2,34-15,,
0:51.0,Shooting foul by J. Crawford (drawn by I. Clark),,34-15,,
0:51.0,I. Clark makes free throw 1 of 1,1,35-15,,
0:40.0,,,35-15,,Shooting foul by I. Clark (drawn by A. Rivers)
0:40.0,,,35-16,1,A. Rivers makes free throw 1 of 2
0:40.0,,,35-17,1,A. Rivers makes free throw 2 of 2
0:27.0,I. Clark makes 2-pt shot from 3 ft (assist by K. Durant),2,37-17,,
0:05.0,,,37-17,,A. Rivers misses 2-pt shot from 3 ft
0:02.0,,,37-17,,Offensive rebound by M. Speights
0:02.0,,,37-19,2,M. Speights makes 2-pt shot at rim
0:01.0,K. Durant misses 3-pt shot from 27 ft,,37-19,,
0:00.0,Offensive rebound by Team,,37-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,37-19,,Shooting foul by D. West (drawn by D. Jordan)
11:47.0,,,37-19,,D. Jordan misses free throw 1 of 2
11:47.0,,,37-19,,Offensive rebound by Team
11:47.0,,,37-19,,D. Jordan misses free throw 2 of 2
11:45.0,Defensive rebound by D. West,,37-19,,
11:22.0,K. Durant misses 2-pt shot from 7 ft,,37-19,,
11:20.0,,,37-19,,Defensive rebound by D. Jordan
11:11.0,,,37-21,2,J. Crawford makes 2-pt shot from 19 ft
10:51.0,K. Durant misses 2-pt shot from 2 ft,,37-21,,
10:50.0,,,37-21,,Defensive rebound by D. Jordan
10:43.0,,,37-21,,J. Crawford misses 3-pt shot from 26 ft
10:42.0,,,37-21,,Offensive rebound by A. Anderson
10:33.0,,,37-21,,A. Rivers misses 3-pt shot from 26 ft
10:32.0,Defensive rebound by S. Livingston,,37-21,,
10:14.0,K. Thompson makes 2-pt shot from 19 ft (assist by K. Durant),2,39-21,,
9:59.0,,,39-21,,J. Crawford misses 2-pt shot from 6 ft
9:56.0,Defensive rebound by K. Thompson,,39-21,,
9:53.0,A. Iguodala makes 2-pt shot from 2 ft (assist by S. Livingston),2,41-21,,
9:53.0,,,41-21,,LA Clippers full timeout
9:53.0,,,41-21,,C. Paul enters the game for W. Johnson
9:53.0,,,41-21,,B. Griffin enters the game for A. Anderson
9:39.0,,,41-23,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
9:13.0,K. Durant makes 2-pt shot from 3 ft,2,43-23,,
8:54.0,,,43-25,2,A. Rivers makes 2-pt shot from 12 ft
8:37.0,D. West misses 2-pt shot from 13 ft,,43-25,,
8:36.0,,,43-25,,Defensive rebound by A. Rivers
8:26.0,,,43-25,,B. Griffin misses 2-pt shot from 21 ft
8:24.0,Defensive rebound by A. Iguodala,,43-25,,
8:13.0,K. Thompson misses 2-pt shot from 14 ft,,43-25,,
8:09.0,,,43-25,,Defensive rebound by C. Paul
7:56.0,,,43-25,,Shooting foul by D. West (drawn by A. Rivers)
7:56.0,,,43-26,1,A. Rivers makes free throw 1 of 2
7:56.0,,,43-27,1,A. Rivers makes free throw 2 of 2
7:56.0,Z. Pachulia enters the game for D. West,,43-26,,
7:56.0,D. Green enters the game for K. Durant,,43-26,,
7:35.0,Turnover by S. Livingston (lost ball),,43-27,,
7:26.0,,,43-27,,D. Jordan misses 2-pt shot from 2 ft
7:25.0,,,43-27,,Offensive rebound by B. Griffin
7:25.0,,,43-29,2,B. Griffin makes 2-pt shot at rim
7:24.0,Golden State full timeout,,43-29,,
7:24.0,S. Curry enters the game for A. Iguodala,,43-29,,
7:05.0,K. Thompson misses 2-pt shot from 14 ft (block by D. Jordan),,43-29,,
7:03.0,Offensive rebound by K. Thompson,,43-29,,
7:00.0,D. Green makes 3-pt shot from 26 ft (assist by K. Thompson),3,46-29,,
6:45.0,Personal foul by D. Green (drawn by A. Rivers),,46-29,,
6:32.0,,,46-32,3,J. Crawford makes 3-pt shot from 24 ft
6:18.0,,,46-32,,Personal foul by C. Paul (drawn by D. Green)
6:12.0,Turnover by Z. Pachulia (traveling),,46-32,,
6:00.0,,,46-32,,B. Griffin misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by S. Curry,,46-32,,
5:52.0,K. Thompson makes 2-pt shot from 3 ft (assist by S. Curry),2,48-32,,
5:25.0,,,48-35,3,J. Crawford makes 3-pt shot from 30 ft (assist by A. Rivers)
5:05.0,Z. Pachulia misses 2-pt shot from 17 ft,,48-35,,
5:04.0,,,48-35,,Defensive rebound by C. Paul
4:54.0,,,48-37,2,C. Paul makes 2-pt shot from 3 ft (assist by B. Griffin)
4:53.0,Golden State full timeout,,48-37,,
4:53.0,I. Clark enters the game for Z. Pachulia,,48-37,,
4:53.0,K. Durant enters the game for K. Thompson,,48-37,,
4:38.0,S. Curry makes 2-pt shot from 2 ft (assist by S. Livingston),2,50-37,,
4:38.0,Shooting foul by A. Rivers (drawn by S. Curry),,50-37,,
4:38.0,S. Curry makes free throw 1 of 1,1,51-37,,
4:38.0,A. Iguodala enters the game for S. Livingston,,50-37,,
4:21.0,,,51-40,3,J. Crawford makes 3-pt shot from 27 ft (assist by C. Paul)
4:03.0,K. Durant misses 2-pt shot from 18 ft,,51-40,,
4:00.0,,,51-40,,Defensive rebound by B. Griffin
3:53.0,,,51-40,,J. Crawford misses 2-pt shot from 16 ft
3:50.0,,,51-40,,Offensive rebound by D. Jordan
3:50.0,,,51-42,2,D. Jordan makes 2-pt shot at rim
3:39.0,,,51-42,,Personal foul by C. Paul (drawn by S. Curry)
3:28.0,A. Iguodala makes 2-pt shot at rim (assist by I. Clark),2,53-42,,
3:10.0,,,53-42,,B. Griffin misses 2-pt shot from 18 ft
3:09.0,Defensive rebound by I. Clark,,53-42,,
3:02.0,K. Durant misses 3-pt shot from 26 ft,,53-42,,
3:01.0,,,53-42,,Defensive rebound by C. Paul
2:51.0,,,53-44,2,C. Paul makes 2-pt shot from 18 ft
2:35.0,S. Curry misses 3-pt shot from 25 ft,,53-44,,
2:32.0,,,53-44,,Defensive rebound by B. Griffin
2:22.0,,,53-46,2,C. Paul makes 2-pt shot from 19 ft
2:04.0,A. Iguodala misses 3-pt shot from 24 ft,,53-46,,
2:03.0,,,53-46,,Defensive rebound by C. Paul
1:51.0,,,53-46,,A. Rivers misses 3-pt shot from 28 ft
1:50.0,Defensive rebound by D. Green,,53-46,,
1:38.0,I. Clark misses 2-pt shot from 4 ft (block by D. Jordan),,53-46,,
1:36.0,Offensive rebound by D. Green,,53-46,,
1:35.0,D. Green makes 2-pt shot from 2 ft,2,55-46,,
1:22.0,Official timeout,,55-46,,
1:22.0,,,55-46,,J. Redick enters the game for A. Rivers
1:22.0,K. Thompson enters the game for I. Clark,,55-46,,
1:12.0,,,55-46,,B. Griffin misses 2-pt shot from 18 ft
1:09.0,,,55-46,,Offensive rebound by D. Jordan
1:09.0,,,55-46,,D. Jordan misses 2-pt shot from 2 ft
1:07.0,Defensive rebound by K. Durant,,55-46,,
0:53.0,,,55-46,,Personal foul by D. Jordan (drawn by K. Durant)
0:48.0,D. Green misses 3-pt shot from 26 ft,,55-46,,
0:46.0,Offensive rebound by K. Thompson,,55-46,,
0:44.0,D. Green makes 2-pt shot at rim (assist by K. Thompson),2,57-46,,
0:38.0,,,57-46,,C. Paul misses 3-pt shot from 26 ft
0:38.0,Defensive rebound by Team,,57-46,,
0:38.0,,,57-46,,Loose ball foul by B. Griffin (drawn by K. Durant)
0:38.0,K. Durant makes free throw 1 of 2,1,58-46,,
0:38.0,K. Durant makes free throw 2 of 2,1,59-46,,
0:18.0,,,59-46,,Shooting foul by K. Thompson (drawn by J. Crawford)
0:18.0,,,59-47,1,J. Crawford makes free throw 1 of 2
0:18.0,,,59-48,1,J. Crawford makes free throw 2 of 2
0:18.0,,,59-47,,L. Mbah a Moute enters the game for J. Redick
0:18.0,,,59-47,,A. Rivers enters the game for C. Paul
0:03.0,D. Green makes 3-pt shot from 27 ft (assist by K. Durant),3,62-48,,
0:02.0,,,62-48,,Shooting foul by K. Durant (drawn by B. Griffin)
0:02.0,,,62-48,,B. Griffin misses free throw 1 of 2
0:02.0,,,62-48,,Offensive rebound by Team
0:02.0,,,62-49,1,B. Griffin makes free throw 2 of 2
0:02.0,Z. Pachulia enters the game for A. Iguodala,,62-48,,
0:01.0,S. Curry misses 3-pt shot from 65 ft,,62-49,,
0:00.0,Offensive rebound by Team,,62-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,62-49,,Turnover by B. Griffin (bad pass; steal by S. Curry)
11:38.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,64-49,,
11:34.0,Personal foul by Z. Pachulia (drawn by D. Jordan),,64-49,,
11:23.0,,,64-49,,Shooting foul by K. Durant (drawn by L. Mbah a Moute)
11:23.0,,,64-50,1,L. Mbah a Moute makes free throw 1 of 2
11:23.0,,,64-51,1,L. Mbah a Moute makes free throw 2 of 2
11:02.0,K. Durant misses 2-pt shot from 19 ft,,64-51,,
11:01.0,,,64-51,,Defensive rebound by D. Jordan
10:52.0,,,64-51,,J. Redick misses 3-pt shot from 30 ft
10:51.0,,,64-51,,Offensive rebound by C. Paul
10:41.0,,,64-51,,C. Paul misses 2-pt shot from 13 ft
10:38.0,Defensive rebound by K. Durant,,64-51,,
10:36.0,Shooting foul by C. Paul (drawn by K. Durant),,64-51,,
10:36.0,K. Durant makes free throw 1 of 2,1,65-51,,
10:36.0,K. Durant makes free throw 2 of 2,1,66-51,,
10:30.0,,,66-51,,Shooting foul by D. Green (drawn by B. Griffin)
10:30.0,,,66-51,,B. Griffin misses free throw 1 of 2
10:30.0,,,66-51,,Offensive rebound by Team
10:30.0,,,66-52,1,B. Griffin makes free throw 2 of 2
10:15.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,69-52,,
10:01.0,,,69-52,,B. Griffin misses 2-pt shot from 10 ft
9:58.0,Defensive rebound by K. Durant,,69-52,,
9:49.0,K. Thompson makes 2-pt shot from 11 ft,2,71-52,,
9:11.0,,,71-52,,C. Paul misses 2-pt shot from 18 ft
9:09.0,Defensive rebound by S. Curry,,71-52,,
8:56.0,S. Curry misses 3-pt shot from 24 ft,,71-52,,
8:55.0,,,71-52,,Defensive rebound by D. Jordan
8:49.0,,,71-54,2,J. Redick makes 2-pt shot from 12 ft (assist by B. Griffin)
8:20.0,K. Durant misses 2-pt shot from 17 ft,,71-54,,
8:18.0,,,71-54,,Defensive rebound by B. Griffin
8:10.0,,,71-54,,Turnover by C. Paul (lost ball; steal by S. Curry)
8:05.0,S. Curry misses 3-pt shot from 26 ft,,71-54,,
8:04.0,,,71-54,,Defensive rebound by D. Jordan
8:04.0,,,71-54,,LA Clippers full timeout
7:50.0,,,71-54,,Turnover by B. Griffin (bad pass; steal by S. Curry)
7:47.0,S. Curry makes 2-pt shot from 1 ft,2,73-54,,
7:40.0,,,73-54,,Turnover by J. Redick (bad pass; steal by S. Curry)
7:34.0,K. Thompson misses 3-pt shot from 25 ft,,73-54,,
7:34.0,Offensive rebound by Team,,73-54,,
7:34.0,,,73-54,,Loose ball foul by L. Mbah a Moute (drawn by Z. Pachulia)
7:26.0,K. Thompson misses 2-pt shot from 11 ft,,73-54,,
7:24.0,Offensive rebound by Z. Pachulia,,73-54,,
7:19.0,K. Thompson misses 3-pt shot from 24 ft,,73-54,,
7:18.0,Offensive rebound by Z. Pachulia,,73-54,,
7:07.0,D. Green makes 2-pt shot at rim (assist by Z. Pachulia),2,75-54,,
6:40.0,,,75-54,,C. Paul misses 3-pt shot from 27 ft
6:39.0,Defensive rebound by K. Durant,,75-54,,
6:26.0,K. Durant makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,78-54,,
6:11.0,,,78-54,,B. Griffin misses 2-pt shot from 21 ft
6:10.0,Defensive rebound by K. Durant,,78-54,,
6:08.0,Shooting foul by J. Redick (drawn by D. Green),,78-54,,
6:08.0,D. Green makes free throw 1 of 2,1,79-54,,
6:08.0,D. Green makes free throw 2 of 2,1,80-54,,
6:08.0,A. Iguodala enters the game for K. Durant,,79-54,,
6:08.0,J. McGee enters the game for Z. Pachulia,,79-54,,
6:08.0,,,79-54,,J. Crawford enters the game for J. Redick
5:58.0,Personal foul by S. Curry (drawn by C. Paul),,80-54,,
5:58.0,,,80-54,,A. Rivers enters the game for L. Mbah a Moute
5:58.0,,,80-54,,M. Speights enters the game for D. Jordan
5:47.0,,,80-54,,B. Griffin misses 2-pt shot from 19 ft
5:46.0,,,80-54,,Offensive rebound by Team
5:40.0,,,80-54,,B. Griffin misses 2-pt shot from 5 ft (block by J. McGee)
5:38.0,Defensive rebound by A. Iguodala,,80-54,,
5:36.0,Shooting foul by M. Speights (drawn by D. Green),,80-54,,
5:36.0,D. Green misses free throw 1 of 2,,80-54,,
5:36.0,Offensive rebound by Team,,80-54,,
5:36.0,D. Green makes free throw 2 of 2,1,81-54,,
5:21.0,,,81-57,3,M. Speights makes 3-pt shot from 24 ft (assist by C. Paul)
4:58.0,Turnover by S. Curry (bad pass),,81-57,,
4:41.0,,,81-59,2,C. Paul makes 2-pt shot from 18 ft
4:33.0,,,81-59,,Personal foul by C. Paul (drawn by S. Curry)
4:33.0,S. Curry makes free throw 1 of 2,1,82-59,,
4:33.0,S. Curry makes free throw 2 of 2,1,83-59,,
4:16.0,,,83-59,,C. Paul misses 3-pt shot from 23 ft
4:15.0,Defensive rebound by A. Iguodala,,83-59,,
4:06.0,J. McGee misses 2-pt shot from 8 ft,,83-59,,
4:03.0,,,83-59,,Defensive rebound by M. Speights
3:44.0,,,83-61,2,A. Rivers makes 2-pt shot from 2 ft
3:23.0,A. Iguodala makes 2-pt shot at rim (assist by J. McGee),2,85-61,,
3:07.0,,,85-63,2,M. Speights makes 2-pt shot from 3 ft (assist by J. Crawford)
3:05.0,Golden State full timeout,,85-63,,
3:05.0,,,85-63,,J. Redick enters the game for B. Griffin
3:05.0,,,85-63,,W. Johnson enters the game for C. Paul
3:05.0,I. Clark enters the game for K. Thompson,,85-63,,
2:43.0,S. Curry misses 3-pt shot from 27 ft,,85-63,,
2:40.0,Offensive rebound by J. McGee,,85-63,,
2:40.0,J. McGee makes 2-pt shot from 2 ft,2,87-63,,
2:24.0,,,87-63,,W. Johnson misses 3-pt shot from 26 ft
2:23.0,Defensive rebound by D. Green,,87-63,,
2:23.0,,,87-63,,Personal foul by W. Johnson (drawn by J. McGee)
2:23.0,J. McGee makes free throw 1 of 2,1,88-63,,
2:23.0,J. McGee makes free throw 2 of 2,1,89-63,,
2:23.0,K. Durant enters the game for D. Green,,88-63,,
2:08.0,,,89-66,3,A. Rivers makes 3-pt shot from 26 ft
1:55.0,Turnover by S. Curry (bad pass; steal by J. Crawford),,89-66,,
1:53.0,,,89-66,,J. Crawford misses 2-pt shot from 3 ft
1:51.0,,,89-66,,Offensive rebound by J. Crawford
1:51.0,,,89-68,2,J. Crawford makes 2-pt shot from 2 ft
1:51.0,,,89-68,,Shooting foul by I. Clark (drawn by J. Crawford)
1:51.0,,,89-69,1,J. Crawford makes free throw 1 of 1
1:51.0,K. Looney enters the game for J. McGee,,89-68,,
1:30.0,K. Durant misses 2-pt shot from 6 ft,,89-69,,
1:28.0,,,89-69,,Defensive rebound by M. Speights
1:17.0,,,89-69,,Shooting foul by K. Looney (drawn by W. Johnson)
1:17.0,,,89-70,1,W. Johnson makes free throw 1 of 2
1:17.0,,,89-71,1,W. Johnson makes free throw 2 of 2
1:03.0,K. Durant misses 2-pt shot from 12 ft,,89-71,,
1:03.0,,,89-71,,Defensive rebound by Team
1:03.0,Loose ball foul by K. Looney (drawn by W. Johnson),,89-71,,
1:03.0,,,89-72,1,W. Johnson makes free throw 1 of 2
1:03.0,,,89-73,1,W. Johnson makes free throw 2 of 2
0:56.0,Turnover by S. Curry (offensive foul),,89-73,,
0:56.0,Offensive charge foul by S. Curry,,89-73,,
0:47.0,,,89-75,2,J. Crawford makes 2-pt shot from 12 ft (assist by W. Johnson)
0:39.0,S. Curry misses 2-pt shot from 12 ft,,89-75,,
0:38.0,,,89-75,,Defensive rebound by W. Johnson
0:31.0,,,89-75,,J. Crawford misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by S. Curry,,89-75,,
0:09.0,K. Looney makes 2-pt shot at rim (assist by K. Durant),2,91-75,,
0:03.0,,,91-75,,J. Crawford misses 2-pt shot from 15 ft
0:00.0,,,91-75,,Offensive rebound by W. Johnson
0:00.0,,,91-75,,W. Johnson misses 2-pt shot from 17 ft
0:00.0,,,91-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,K. Durant makes 2-pt shot from 11 ft,2,93-75,,
11:44.0,Shooting foul by W. Johnson (drawn by K. Durant),,93-75,,
11:44.0,K. Durant makes free throw 1 of 1,1,94-75,,
11:33.0,,,94-75,,A. Rivers misses 2-pt shot from 2 ft
11:31.0,Defensive rebound by A. Iguodala,,94-75,,
11:13.0,A. Iguodala misses 2-pt shot from 3 ft,,94-75,,
11:11.0,,,94-75,,Defensive rebound by W. Johnson
11:11.0,,,94-75,,Technical foul by Team
11:11.0,K. Durant misses technical free throw,,94-75,,
11:11.0,,,94-75,,Offensive rebound by Team
11:00.0,,,94-75,,J. Redick misses 2-pt shot from 16 ft
10:58.0,Defensive rebound by K. Durant,,94-75,,
10:52.0,S. Livingston makes 2-pt shot from 14 ft,2,96-75,,
10:27.0,,,96-77,2,M. Speights makes 2-pt shot from 4 ft
10:06.0,A. Iguodala misses 3-pt shot from 26 ft,,96-77,,
10:05.0,,,96-77,,Defensive rebound by M. Speights
9:44.0,,,96-77,,M. Speights misses 2-pt shot from 7 ft
9:43.0,Defensive rebound by D. West,,96-77,,
9:31.0,A. Iguodala makes 2-pt shot at rim (assist by D. West),2,98-77,,
9:07.0,,,98-77,,J. Crawford misses 2-pt shot from 13 ft
9:05.0,,,98-77,,Offensive rebound by W. Johnson
9:03.0,,,98-77,,Turnover by W. Johnson (bad pass; steal by S. Livingston)
9:03.0,,,98-77,,Personal take foul by M. Speights (drawn by S. Livingston)
9:03.0,,,98-77,,A. Anderson enters the game for J. Redick
9:03.0,,,98-77,,L. Mbah a Moute enters the game for W. Johnson
9:03.0,,,98-77,,D. Jordan enters the game for M. Speights
8:48.0,K. Thompson makes 2-pt shot from 20 ft (assist by K. Durant),2,100-77,,
8:32.0,,,100-80,3,A. Rivers makes 3-pt shot from 26 ft (assist by J. Crawford)
8:11.0,A. Iguodala makes 2-pt shot from 3 ft (assist by D. West),2,102-80,,
7:55.0,,,102-80,,J. Crawford misses 2-pt shot from 2 ft
7:54.0,,,102-80,,Offensive rebound by J. Crawford
7:44.0,,,102-82,2,J. Crawford makes 2-pt shot from 3 ft
7:44.0,,,102-82,,Shooting foul by D. West (drawn by J. Crawford)
7:44.0,Official timeout,,102-82,,
7:44.0,,,102-83,1,J. Crawford makes free throw 1 of 1
7:44.0,,,102-82,,C. Paul enters the game for A. Rivers
7:44.0,P. McCaw enters the game for A. Iguodala,,102-82,,
7:26.0,Turnover by S. Livingston (lost ball),,102-83,,
7:26.0,,,102-83,,B. Griffin enters the game for J. Crawford
7:17.0,,,102-85,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
7:02.0,,,102-85,,Personal foul by A. Anderson (drawn by K. Thompson)
7:02.0,D. Green enters the game for K. Durant,,102-85,,
7:02.0,Z. Pachulia enters the game for D. West,,102-85,,
6:59.0,Offensive foul by Z. Pachulia,,102-85,,
