time,Boston,pts.away,score,pts.home,Washington
7:36.0,I. Thomas makes 2-pt shot from 8 ft,2,21-39,,
7:29.0,,,21-39,,Offensive foul by M. Gortat
7:29.0,,,21-39,,Turnover by M. Gortat (offensive foul)
7:29.0,A. Bradley enters the game for M. Smart,,21-39,,
7:19.0,A. Johnson makes 2-pt shot at rim (assist by G. Green),2,23-39,,
7:01.0,,,23-39,,Shooting foul by I. Thomas (drawn by J. Wall)
7:01.0,,,23-40,1,J. Wall makes free throw 1 of 2
7:01.0,,,23-41,1,J. Wall makes free throw 2 of 2
6:45.0,I. Thomas misses 2-pt shot from 2 ft (block by J. Wall),,23-41,,
6:44.0,,,23-41,,Defensive rebound by T. Satoransky
6:39.0,,,23-43,2,O. Porter makes 2-pt shot from 5 ft (assist by B. Beal)
6:39.0,,,23-43,,Shooting foul by G. Green (drawn by O. Porter)
6:39.0,,,23-44,1,O. Porter makes free throw 1 of 1
6:39.0,,,23-43,,M. Thornton enters the game for B. Beal
6:29.0,Turnover by A. Johnson (bad pass; steal by M. Thornton),,23-44,,
6:19.0,,,23-46,2,J. Wall makes 2-pt shot from 20 ft
6:16.0,Boston full timeout,,23-46,,
6:16.0,M. Smart enters the game for G. Green,,23-46,,
6:05.0,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart),2,25-46,,
5:46.0,,,25-46,,M. Gortat misses 2-pt shot from 1 ft (block by J. Jerebko)
5:45.0,,,25-46,,Offensive rebound by O. Porter
5:40.0,,,25-46,,M. Thornton misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by J. Jerebko,,25-46,,
5:18.0,J. Jerebko misses 3-pt shot from 27 ft,,25-46,,
5:18.0,,,25-46,,Defensive rebound by J. Wall
5:10.0,,,25-46,,J. Wall misses 2-pt shot from 9 ft
5:09.0,,,25-46,,Offensive rebound by M. Thornton
5:07.0,,,25-46,,M. Thornton misses 2-pt shot from 5 ft
5:07.0,,,25-46,,Offensive rebound by M. Gortat
5:07.0,,,25-48,2,M. Gortat makes 2-pt shot from 1 ft
5:07.0,,,25-48,,Shooting foul by A. Bradley (drawn by M. Gortat)
5:07.0,,,25-48,,M. Gortat misses free throw 1 of 1
5:06.0,Defensive rebound by J. Jerebko,,25-48,,
4:53.0,A. Bradley misses 3-pt shot from 26 ft,,25-48,,
4:53.0,,,25-48,,Defensive rebound by O. Porter
4:44.0,,,25-48,,J. Wall misses 2-pt shot from 18 ft
4:43.0,,,25-48,,Offensive rebound by T. Satoransky
4:39.0,,,25-50,2,O. Porter makes 2-pt shot from 16 ft (assist by T. Satoransky)
4:26.0,A. Johnson makes 3-pt shot from 27 ft (assist by I. Thomas),3,28-50,,
4:15.0,,,28-50,,Shooting foul by A. Johnson (drawn by J. Wall)
4:15.0,,,28-51,1,J. Wall makes free throw 1 of 2
