time,Utah,pts.away,score,pts.home,Washington
7:49.0,,,32-24,,I. Mahinmi misses 2-pt shot from 1 ft (block by R. Hood)
7:49.0,,,32-24,,Offensive rebound by Team
7:49.0,,,32-24,,M. Gortat enters the game for I. Mahinmi
7:47.0,,,32-26,2,M. Morris makes 2-pt shot from 17 ft (assist by B. Bogdanovic)
7:23.0,A. Burks makes 2-pt shot from 20 ft (assist by R. Hood),2,34-26,,
7:02.0,,,34-28,2,M. Morris makes 2-pt shot from 3 ft
7:02.0,,,34-28,,Shooting foul by D. Favors (drawn by M. Morris)
7:02.0,,,34-29,1,M. Morris makes free throw 1 of 1
7:02.0,,,34-28,,O. Porter enters the game for B. Bogdanovic
7:02.0,R. Gobert enters the game for D. Favors,,34-28,,
6:45.0,A. Burks misses 3-pt shot from 26 ft,,34-29,,
6:45.0,,,34-29,,Defensive rebound by O. Porter
6:35.0,,,34-31,2,J. Wall makes 2-pt shot from 1 ft
6:29.0,Turnover by D. Exum (lost ball; steal by J. Wall),,34-31,,
6:25.0,,,34-33,2,J. Wall makes 2-pt shot at rim (assist by O. Porter)
6:25.0,Utah full timeout,,34-33,,
6:24.0,G. Hayward enters the game for R. Hood,,34-33,,
6:24.0,G. Hill enters the game for D. Exum,,34-33,,
6:24.0,J. Johnson enters the game for A. Burks,,34-33,,
6:24.0,J. Ingles enters the game for B. Diaw,,34-33,,
6:08.0,Shooting foul by J. Wall (drawn by G. Hill),,34-33,,
6:08.0,G. Hill misses free throw 1 of 2,,34-33,,
6:08.0,Offensive rebound by Team,,34-33,,
6:08.0,G. Hill makes free throw 2 of 2,1,35-33,,
5:56.0,,,35-33,,B. Beal misses 3-pt shot from 27 ft
5:54.0,Defensive rebound by J. Ingles,,35-33,,
5:45.0,G. Hill misses 2-pt shot from 18 ft,,35-33,,
5:44.0,,,35-33,,Defensive rebound by O. Porter
5:34.0,,,35-33,,J. Wall misses 2-pt shot from 19 ft
5:33.0,Defensive rebound by J. Ingles,,35-33,,
5:11.0,G. Hill misses 3-pt shot from 25 ft,,35-33,,
5:10.0,Offensive rebound by Team,,35-33,,
5:09.0,,,35-33,,Loose ball foul by B. Beal (drawn by R. Gobert)
5:09.0,R. Gobert misses free throw 1 of 2,,35-33,,
5:09.0,Offensive rebound by Team,,35-33,,
5:09.0,R. Gobert makes free throw 2 of 2,1,36-33,,
5:09.0,,,35-33,,B. Bogdanovic enters the game for B. Beal
4:56.0,,,36-33,,M. Morris misses 2-pt shot from 3 ft
4:55.0,Defensive rebound by R. Gobert,,36-33,,
4:51.0,G. Hayward makes 3-pt shot from 26 ft (assist by G. Hill),3,39-33,,
4:40.0,Personal foul by R. Gobert (drawn by M. Gortat),,39-33,,
4:28.0,,,39-33,,J. Wall misses 2-pt shot from 2 ft
4:27.0,,,39-33,,Offensive rebound by M. Gortat
4:25.0,,,39-33,,M. Gortat misses 2-pt shot from 1 ft
4:25.0,Defensive rebound by G. Hill,,39-33,,
4:19.0,Turnover by G. Hill (bad pass; steal by M. Morris),,39-33,,
4:15.0,,,39-35,2,J. Wall makes 2-pt shot at rim (assist by M. Morris)
3:55.0,G. Hayward misses 2-pt shot from 17 ft,,39-35,,
3:54.0,,,39-35,,Defensive rebound by B. Bogdanovic
3:46.0,,,39-35,,Turnover by B. Bogdanovic (bad pass; steal by J. Johnson)
3:39.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,41-35,,
3:18.0,,,41-35,,Turnover by J. Wall (bad pass; steal by J. Ingles)
3:13.0,Shooting foul by J. Wall (drawn by G. Hayward),,41-35,,
3:13.0,G. Hayward misses free throw 1 of 2,,41-35,,
3:13.0,Offensive rebound by Team,,41-35,,
3:13.0,,,41-35,,Washington full timeout
3:13.0,G. Hayward makes free throw 2 of 2,1,42-35,,
3:13.0,R. Hood enters the game for J. Ingles,,41-35,,
2:56.0,,,42-35,,M. Morris misses 2-pt shot from 4 ft
2:54.0,Defensive rebound by G. Hayward,,42-35,,
2:50.0,Shooting foul by B. Bogdanovic (drawn by R. Gobert),,42-35,,
2:50.0,R. Gobert makes free throw 1 of 2,1,43-35,,
2:50.0,R. Gobert makes free throw 2 of 2,1,44-35,,
2:42.0,,,44-35,,Turnover by J. Wall (bad pass)
2:30.0,Turnover by R. Gobert (3 sec),,44-35,,
2:15.0,,,44-35,,M. Morris misses 2-pt shot from 10 ft (block by R. Gobert)
2:15.0,,,44-35,,Offensive rebound by Team
2:07.0,,,44-35,,J. Wall misses 2-pt shot from 16 ft
2:06.0,Defensive rebound by J. Johnson,,44-35,,
2:01.0,Turnover by R. Hood (lost ball; steal by B. Bogdanovic),,44-35,,
1:48.0,,,44-37,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
1:32.0,Turnover by G. Hill (bad pass; steal by M. Morris),,44-37,,
1:27.0,,,44-39,2,B. Bogdanovic makes 2-pt shot at rim (assist by J. Wall)
1:27.0,Utah full timeout,,44-39,,
1:05.0,G. Hayward makes 3-pt shot from 26 ft,3,47-39,,
0:52.0,,,47-39,,Turnover by J. Wall (bad pass; steal by J. Johnson)
0:37.0,R. Gobert misses 2-pt shot from 5 ft,,47-39,,
0:36.0,Offensive rebound by R. Gobert,,47-39,,
0:27.0,G. Hayward misses 2-pt shot from 2 ft,,47-39,,
0:26.0,,,47-39,,Defensive rebound by M. Gortat
0:22.0,,,47-39,,J. Wall misses 2-pt shot from 1 ft (block by R. Gobert)
0:22.0,,,47-39,,Offensive rebound by Team
0:22.0,,,47-39,,Technical foul by J. Wall
0:22.0,G. Hayward misses technical free throw,,47-39,,
0:22.0,,,47-39,,Offensive rebound by Team
0:22.0,J. Ingles enters the game for R. Hood,,47-39,,
0:04.0,,,47-39,,Turnover by J. Wall (lost ball; steal by G. Hill)
0:01.0,G. Hayward makes 2-pt shot at rim (assist by G. Hill),2,49-39,,
0:00.0,,,49-39,,O. Porter misses 3-pt shot from 34 ft
0:00.0,,,49-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,G. Hayward misses 3-pt shot from 26 ft,,49-39,,
11:48.0,Offensive rebound by D. Favors,,49-39,,
11:39.0,,,49-39,,Flagrant foul type 1 by M. Morris (drawn by R. Gobert)
11:39.0,R. Gobert makes flagrant free throw 1 of 2,1,50-39,,
11:39.0,R. Gobert makes flagrant free throw 2 of 2,1,51-39,,
11:22.0,G. Hill misses 2-pt shot from 13 ft,,51-39,,
11:20.0,,,51-39,,Defensive rebound by M. Gortat
11:10.0,,,51-39,,M. Gortat misses 2-pt shot from 12 ft
11:09.0,Defensive rebound by R. Gobert,,51-39,,
10:46.0,G. Hayward makes 3-pt shot from 26 ft (assist by G. Hill),3,54-39,,
10:24.0,,,54-41,2,M. Morris makes 2-pt shot from 14 ft
10:10.0,Turnover by D. Favors (bad pass; steal by O. Porter),,54-41,,
9:49.0,,,54-41,,J. Wall misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by G. Hayward,,54-41,,
9:39.0,R. Hood misses 2-pt shot from 11 ft,,54-41,,
9:38.0,Offensive rebound by R. Gobert,,54-41,,
9:34.0,R. Gobert misses 2-pt shot from 4 ft,,54-41,,
9:33.0,Offensive rebound by D. Favors,,54-41,,
9:31.0,D. Favors misses 2-pt shot from 2 ft,,54-41,,
9:31.0,,,54-41,,Defensive rebound by B. Beal
9:22.0,,,54-41,,Turnover by M. Gortat (lost ball; steal by R. Gobert)
9:20.0,,,54-41,,Personal foul by M. Morris (drawn by G. Hayward)
9:08.0,R. Gobert makes 2-pt shot at rim (assist by G. Hill),2,56-41,,
8:56.0,,,56-43,2,B. Beal makes 2-pt shot from 13 ft
8:32.0,D. Favors misses 2-pt shot from 9 ft,,56-43,,
8:31.0,,,56-43,,Defensive rebound by M. Gortat
8:16.0,,,56-43,,O. Porter misses 2-pt shot from 19 ft
8:15.0,Defensive rebound by R. Hood,,56-43,,
8:04.0,R. Hood misses 2-pt shot from 17 ft,,56-43,,
8:03.0,Offensive rebound by D. Favors,,56-43,,
8:02.0,D. Favors makes 2-pt shot at rim,2,58-43,,
8:02.0,,,58-43,,Washington full timeout
7:42.0,,,58-43,,M. Gortat misses 2-pt shot from 3 ft (block by D. Favors)
7:40.0,Defensive rebound by R. Gobert,,58-43,,
7:38.0,,,58-43,,Personal foul by M. Gortat (drawn by R. Gobert)
7:26.0,R. Gobert makes 2-pt shot at rim (assist by G. Hill),2,60-43,,
7:18.0,Personal foul by R. Hood (drawn by B. Beal),,60-43,,
7:16.0,,,60-43,,Turnover by J. Wall (bad pass; steal by R. Hood)
7:12.0,G. Hayward misses 2-pt shot from 2 ft,,60-43,,
7:09.0,,,60-43,,Defensive rebound by B. Beal
6:59.0,,,60-43,,O. Porter misses 2-pt shot from 21 ft
6:59.0,Defensive rebound by R. Gobert,,60-43,,
6:50.0,D. Favors makes 2-pt shot at rim (assist by R. Gobert),2,62-43,,
6:48.0,,,62-43,,Washington full timeout
6:48.0,,,62-43,,B. Bogdanovic enters the game for M. Gortat
6:38.0,,,62-46,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by J. Wall)
6:13.0,G. Hayward misses 2-pt shot from 16 ft,,62-46,,
6:13.0,Offensive rebound by Team,,62-46,,
6:13.0,,,62-46,,Loose ball foul by M. Morris (drawn by R. Gobert)
6:13.0,J. Johnson enters the game for D. Favors,,62-46,,
6:01.0,J. Johnson makes 2-pt shot from 15 ft,2,64-46,,
5:52.0,Personal foul by R. Hood (drawn by B. Beal),,64-46,,
5:52.0,J. Ingles enters the game for R. Hood,,64-46,,
5:48.0,,,64-46,,B. Beal misses 2-pt shot from 20 ft
5:47.0,Defensive rebound by R. Gobert,,64-46,,
5:38.0,G. Hill makes 3-pt shot from 26 ft,3,67-46,,
5:11.0,,,67-46,,Turnover by J. Wall (bad pass; steal by J. Ingles)
5:04.0,G. Hill makes 3-pt shot from 26 ft (assist by R. Gobert),3,70-46,,
4:53.0,,,70-46,,Shooting foul by R. Gobert (drawn by J. Wall)
4:53.0,,,70-47,1,J. Wall makes free throw 1 of 2
4:53.0,,,70-47,,J. Wall misses free throw 2 of 2
4:53.0,Defensive rebound by R. Gobert,,70-47,,
4:32.0,Shooting foul by O. Porter (drawn by R. Gobert),,70-47,,
4:32.0,R. Gobert misses free throw 1 of 2,,70-47,,
4:32.0,Offensive rebound by Team,,70-47,,
4:32.0,R. Gobert misses free throw 2 of 2,,70-47,,
4:31.0,,,70-47,,Defensive rebound by M. Morris
4:20.0,,,70-50,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
4:01.0,G. Hill misses 3-pt shot from 27 ft,,70-50,,
4:01.0,,,70-50,,Defensive rebound by Team
3:50.0,,,70-50,,Turnover by J. Wall (lost ball; steal by J. Johnson)
3:45.0,,,70-50,,I. Mahinmi enters the game for M. Morris
3:36.0,J. Johnson misses 2-pt shot from 10 ft,,70-50,,
3:35.0,Offensive rebound by R. Gobert,,70-50,,
3:20.0,J. Johnson misses 3-pt shot from 28 ft,,70-50,,
3:19.0,,,70-50,,Defensive rebound by J. Wall
3:13.0,,,70-50,,B. Beal misses 3-pt shot from 29 ft
3:12.0,Defensive rebound by G. Hill,,70-50,,
3:05.0,Utah full timeout,,70-50,,
3:05.0,D. Favors enters the game for R. Gobert,,70-50,,
2:52.0,J. Johnson makes 2-pt shot from 20 ft,2,72-50,,
2:32.0,,,72-50,,B. Bogdanovic misses 3-pt shot from 28 ft
2:32.0,Defensive rebound by J. Ingles,,72-50,,
2:22.0,Turnover by J. Ingles (lost ball),,72-50,,
2:13.0,,,72-52,2,B. Beal makes 2-pt shot from 13 ft (assist by J. Wall)
1:50.0,G. Hayward misses 2-pt shot from 8 ft,,72-52,,
1:49.0,,,72-52,,Defensive rebound by Team
1:49.0,,,72-52,,T. Satoransky enters the game for J. Wall
1:49.0,D. Exum enters the game for G. Hill,,72-52,,
1:49.0,A. Burks enters the game for G. Hayward,,72-52,,
1:32.0,,,72-52,,B. Beal misses 3-pt shot from 24 ft
1:30.0,,,72-52,,Offensive rebound by B. Beal
1:26.0,,,72-52,,Shooting foul by A. Burks (drawn by B. Beal)
1:26.0,,,72-53,1,B. Beal makes free throw 1 of 2
1:26.0,,,72-53,,B. Beal misses free throw 2 of 2
1:25.0,Defensive rebound by D. Favors,,72-53,,
1:11.0,Turnover by D. Exum (bad pass; steal by I. Mahinmi),,72-53,,
1:06.0,,,72-55,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Beal)
0:37.0,J. Johnson misses 3-pt shot from 30 ft (block by B. Bogdanovic),,72-55,,
0:37.0,Offensive rebound by D. Exum,,72-55,,
0:37.0,Turnover by Team (shot clock),,72-55,,
0:37.0,B. Diaw enters the game for D. Exum,,72-55,,
0:24.0,,,72-55,,Shooting foul by J. Johnson (drawn by I. Mahinmi)
0:24.0,,,72-56,1,I. Mahinmi makes free throw 1 of 2
0:24.0,,,72-57,1,I. Mahinmi makes free throw 2 of 2
0:24.0,G. Hill enters the game for B. Diaw,,72-56,,
0:24.0,G. Hayward enters the game for A. Burks,,72-56,,
0:05.0,,,72-57,,Personal foul by T. Satoransky (drawn by G. Hill)
0:05.0,G. Hill misses free throw 1 of 2,,72-57,,
0:05.0,Offensive rebound by Team,,72-57,,
0:05.0,G. Hill makes free throw 2 of 2,1,73-57,,
0:05.0,B. Diaw enters the game for D. Favors,,72-57,,
0:01.0,,,73-60,3,B. Bogdanovic makes 3-pt shot from 33 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,73-60,,B. Beal misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by G. Hayward,,73-60,,
11:41.0,,,73-60,,Personal foul by T. Satoransky (drawn by D. Exum)
11:25.0,G. Hayward misses 3-pt shot from 29 ft,,73-60,,
11:24.0,Offensive rebound by D. Favors,,73-60,,
11:23.0,D. Favors makes 2-pt shot at rim,2,75-60,,
11:01.0,,,75-62,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Beal)
11:01.0,,,75-62,,Shooting foul by A. Burks (drawn by I. Mahinmi)
11:01.0,,,75-63,1,I. Mahinmi makes free throw 1 of 1
10:49.0,G. Hayward makes 2-pt shot from 19 ft,2,77-63,,
10:32.0,,,77-65,2,B. Beal makes 2-pt shot from 2 ft (assist by T. Satoransky)
10:19.0,D. Favors misses 2-pt shot from 1 ft,,77-65,,
10:17.0,Offensive rebound by G. Hayward,,77-65,,
10:15.0,A. Burks misses 2-pt shot from 10 ft,,77-65,,
10:14.0,Offensive rebound by Team,,77-65,,
10:10.0,D. Favors makes 2-pt shot at rim (assist by D. Exum),2,79-65,,
9:55.0,,,79-65,,T. Satoransky misses 2-pt shot from 17 ft
9:55.0,Defensive rebound by D. Exum,,79-65,,
9:39.0,,,79-65,,Personal foul by T. Satoransky (drawn by G. Hayward)
9:39.0,,,79-65,,M. Morris enters the game for O. Porter
9:39.0,R. Hood enters the game for A. Burks,,79-65,,
9:36.0,G. Hayward makes 2-pt shot from 1 ft (assist by B. Diaw),2,81-65,,
9:36.0,Shooting foul by B. Bogdanovic (drawn by G. Hayward),,81-65,,
9:36.0,G. Hayward makes free throw 1 of 1,1,82-65,,
9:20.0,,,82-68,3,B. Beal makes 3-pt shot from 26 ft (assist by T. Satoransky)
9:09.0,Turnover by B. Diaw (bad pass),,82-68,,
9:02.0,,,82-70,2,T. Satoransky makes 2-pt shot from 8 ft (assist by B. Beal)
8:52.0,,,82-70,,Violation by I. Mahinmi (kicked ball)
8:52.0,Official timeout,,82-70,,
8:52.0,R. Gobert enters the game for D. Favors,,82-70,,
8:52.0,G. Hill enters the game for D. Exum,,82-70,,
8:44.0,B. Diaw makes 2-pt shot from 21 ft (assist by G. Hayward),2,84-70,,
8:34.0,,,84-70,,Offensive foul by I. Mahinmi
8:34.0,,,84-70,,Turnover by I. Mahinmi (offensive foul)
8:18.0,B. Diaw misses 2-pt shot from 6 ft,,84-70,,
8:17.0,,,84-70,,Defensive rebound by Team
8:17.0,Loose ball foul by B. Diaw (drawn by M. Morris),,84-70,,
8:00.0,,,84-70,,T. Satoransky misses 2-pt shot from 6 ft (block by G. Hill)
7:59.0,Defensive rebound by R. Gobert,,84-70,,
7:45.0,Shooting foul by M. Morris (drawn by B. Diaw),,84-70,,
7:45.0,B. Diaw makes 2-pt shot from 2 ft,2,86-70,,
7:45.0,B. Diaw makes free throw 1 of 1,1,87-70,,
7:45.0,,,86-70,,M. Gortat enters the game for T. Satoransky
7:45.0,,,86-70,,J. Wall enters the game for I. Mahinmi
7:31.0,,,87-70,,Offensive foul by M. Morris
7:31.0,,,87-70,,Turnover by M. Morris (offensive foul)
7:31.0,,,87-70,,Technical foul by M. Morris
7:31.0,G. Hayward makes technical free throw,1,88-70,,
7:31.0,,,88-70,,O. Porter enters the game for M. Morris
7:15.0,,,88-70,,Personal foul by B. Bogdanovic (drawn by R. Gobert)
7:15.0,R. Gobert makes free throw 1 of 2,1,89-70,,
7:15.0,R. Gobert makes free throw 2 of 2,1,90-70,,
6:58.0,,,90-72,2,B. Beal makes 2-pt shot at rim
6:33.0,B. Diaw misses 2-pt shot from 14 ft,,90-72,,
6:33.0,,,90-72,,Defensive rebound by J. Wall
6:26.0,,,90-72,,B. Bogdanovic misses 3-pt shot from 27 ft
6:26.0,Defensive rebound by G. Hill,,90-72,,
6:09.0,Turnover by G. Hayward (discontinued dribble),,90-72,,
5:55.0,,,90-72,,M. Gortat misses 2-pt shot from 6 ft
5:54.0,Defensive rebound by R. Gobert,,90-72,,
5:42.0,Turnover by R. Gobert (bad pass; steal by M. Gortat),,90-72,,
5:32.0,,,90-74,2,J. Wall makes 2-pt shot from 11 ft
5:22.0,Turnover by B. Diaw (lost ball; steal by J. Wall),,90-74,,
5:17.0,,,90-74,,Shooting foul by G. Hill (drawn by J. Wall)
5:17.0,,,90-74,,Washington full timeout
5:17.0,,,90-75,1,J. Wall makes free throw 1 of 2
5:17.0,,,90-75,,J. Wall misses free throw 2 of 2
5:17.0,J. Ingles enters the game for R. Hood,,90-74,,
5:17.0,J. Johnson enters the game for B. Diaw,,90-74,,
5:16.0,,,90-75,,Offensive rebound by M. Gortat
5:14.0,,,90-77,2,M. Gortat makes 2-pt shot from 1 ft
4:51.0,G. Hill makes 3-pt shot from 26 ft (assist by J. Johnson),3,93-77,,
4:39.0,,,93-80,3,J. Wall makes 3-pt shot from 26 ft
4:19.0,G. Hill misses 3-pt shot from 25 ft,,93-80,,
4:18.0,,,93-80,,Defensive rebound by M. Gortat
