time,LA Clippers,pts.away,score,pts.home,Memphis
0:51.0,,,22-19,2,J. Ennis makes 2-pt shot from 19 ft
0:41.0,J. Crawford misses 2-pt shot from 8 ft,,22-19,,
0:36.0,,,22-19,,Defensive rebound by Z. Randolph
0:36.0,,,22-19,,Offensive charge foul by Z. Randolph
0:36.0,,,22-19,,Turnover by Z. Randolph (offensive foul)
0:36.0,W. Johnson enters the game for B. Griffin,,22-19,,
0:36.0,,,22-19,,M. Conley enters the game for J. Ennis
0:27.0,A. Rivers misses 2-pt shot from 7 ft,,22-19,,
0:26.0,Offensive rebound by Team,,22-19,,
0:26.0,,,22-19,,Loose ball foul by Z. Randolph (drawn by M. Speights)
0:26.0,M. Speights misses free throw 1 of 2,,22-19,,
0:26.0,Offensive rebound by Team,,22-19,,
0:26.0,M. Speights makes free throw 2 of 2,1,23-19,,
0:09.0,Personal foul by R. Felton (drawn by M. Conley),,23-19,,
0:09.0,L. Mbah a Moute enters the game for J. Crawford,,23-19,,
0:06.0,,,23-19,,Shooting foul by W. Johnson (drawn by M. Conley)
0:06.0,,,23-19,,M. Conley misses free throw 1 of 2
0:06.0,,,23-19,,Offensive rebound by Team
0:06.0,,,23-20,1,M. Conley makes free throw 2 of 2
0:06.0,J. Crawford enters the game for L. Mbah a Moute,,23-19,,
0:06.0,,,23-19,,T. Allen enters the game for Z. Randolph
0:06.0,,,23-19,,J. Ennis enters the game for W. Baldwin
0:01.0,J. Crawford misses 2-pt shot from 16 ft,,23-20,,
0:00.0,,,23-20,,Defensive rebound by V. Carter
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Shooting foul by W. Baldwin (drawn by A. Rivers),,23-20,,
11:52.0,A. Rivers makes free throw 1 of 2,1,24-20,,
11:52.0,A. Rivers makes free throw 2 of 2,1,25-20,,
11:39.0,Personal foul by M. Speights (drawn by M. Conley),,25-20,,
11:28.0,,,25-20,,J. Martin misses 2-pt shot from 21 ft
11:26.0,Defensive rebound by J. Crawford,,25-20,,
11:14.0,M. Speights misses 3-pt shot from 25 ft,,25-20,,
11:13.0,,,25-20,,Defensive rebound by J. Martin
11:04.0,,,25-20,,W. Baldwin misses 2-pt shot from 2 ft (block by W. Johnson)
11:02.0,,,25-20,,Offensive rebound by W. Baldwin
11:02.0,,,25-22,2,W. Baldwin makes 2-pt shot from 1 ft
10:45.0,M. Speights misses 2-pt shot from 4 ft (block by M. Conley),,25-22,,
10:42.0,,,25-22,,Defensive rebound by V. Carter
10:36.0,,,25-22,,Z. Randolph misses 3-pt shot from 25 ft
10:36.0,,,25-22,,Offensive rebound by Team
10:26.0,,,25-24,2,Z. Randolph makes 2-pt shot from 12 ft (assist by M. Conley)
10:09.0,W. Johnson misses 3-pt shot from 23 ft,,25-24,,
10:08.0,Offensive rebound by M. Speights,,25-24,,
10:07.0,,,25-24,,Inbound foul by W. Baldwin
10:07.0,A. Rivers misses free throw 1 of 1,,25-24,,
10:07.0,Offensive rebound by Team,,25-24,,
9:58.0,A. Rivers makes 3-pt shot from 25 ft (assist by M. Speights),3,28-24,,
9:42.0,,,28-24,,Turnover by W. Baldwin (bad pass; steal by A. Rivers)
9:29.0,A. Rivers misses 3-pt shot from 25 ft,,28-24,,
9:28.0,,,28-24,,Defensive rebound by J. Martin
9:17.0,,,28-26,2,M. Conley makes 2-pt shot from 3 ft (assist by Z. Randolph)
9:02.0,Shooting foul by J. Martin (drawn by J. Crawford),,28-26,,
9:02.0,J. Crawford makes free throw 1 of 2,1,29-26,,
9:02.0,J. Crawford makes free throw 2 of 2,1,30-26,,
8:50.0,,,30-26,,Turnover by J. Martin (lost ball; steal by W. Johnson)
8:45.0,W. Johnson makes 2-pt shot at rim,2,32-26,,
8:30.0,,,32-26,,Z. Randolph misses 2-pt shot from 5 ft
8:28.0,Defensive rebound by M. Speights,,32-26,,
8:20.0,W. Johnson misses 2-pt shot from 2 ft,,32-26,,
8:17.0,Offensive rebound by M. Speights,,32-26,,
8:17.0,M. Speights makes 2-pt shot from 2 ft,2,34-26,,
8:13.0,,,34-26,,Memphis full timeout
7:55.0,,,34-28,2,V. Carter makes 2-pt shot from 8 ft (assist by M. Conley)
7:35.0,J. Crawford misses 2-pt shot from 8 ft,,34-28,,
7:33.0,,,34-28,,Defensive rebound by W. Baldwin
7:30.0,Personal foul by R. Felton (drawn by W. Baldwin),,34-28,,
7:30.0,,,34-28,,M. Gasol enters the game for Z. Randolph
7:30.0,D. Jordan enters the game for M. Speights,,34-28,,
7:30.0,C. Paul enters the game for R. Felton,,34-28,,
7:19.0,,,34-28,,W. Baldwin misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by D. Jordan,,34-28,,
7:09.0,J. Crawford misses 2-pt shot from 19 ft,,34-28,,
7:07.0,,,34-28,,Defensive rebound by M. Conley
6:58.0,,,34-28,,M. Gasol misses 2-pt shot from 18 ft
6:55.0,,,34-28,,Offensive rebound by J. Martin
6:48.0,,,34-28,,V. Carter misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by A. Rivers,,34-28,,
6:37.0,C. Paul misses 2-pt shot from 22 ft,,34-28,,
6:36.0,,,34-28,,Defensive rebound by M. Gasol
6:28.0,,,34-28,,M. Conley misses 2-pt shot from 5 ft
6:24.0,Defensive rebound by D. Jordan,,34-28,,
6:15.0,,,34-28,,Personal foul by J. Martin (drawn by C. Paul)
6:15.0,,,34-28,,T. Allen enters the game for W. Baldwin
6:15.0,,,34-28,,J. Ennis enters the game for V. Carter
6:15.0,J. Redick enters the game for J. Crawford,,34-28,,
6:15.0,B. Griffin enters the game for W. Johnson,,34-28,,
6:05.0,J. Redick misses 3-pt shot from 23 ft,,34-28,,
6:03.0,Offensive rebound by D. Jordan,,34-28,,
6:01.0,D. Jordan misses 2-pt shot from 2 ft (block by M. Gasol),,34-28,,
5:59.0,,,34-28,,Defensive rebound by J. Ennis
5:49.0,,,34-28,,M. Gasol misses 2-pt shot from 20 ft
5:48.0,Defensive rebound by B. Griffin,,34-28,,
5:41.0,A. Rivers makes 2-pt shot from 2 ft (assist by C. Paul),2,36-28,,
5:24.0,Personal foul by A. Rivers (drawn by M. Conley),,36-28,,
5:24.0,,,36-28,,Memphis full timeout
5:24.0,,,36-28,,A. Harrison enters the game for M. Conley
5:24.0,,,36-28,,J. Green enters the game for J. Martin
5:09.0,,,36-28,,A. Harrison misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by D. Jordan,,36-28,,
4:51.0,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin),2,38-28,,
4:32.0,,,38-28,,M. Gasol misses 2-pt shot from 6 ft
4:30.0,Defensive rebound by D. Jordan,,38-28,,
4:23.0,,,38-28,,Personal foul by T. Allen (drawn by C. Paul)
4:23.0,C. Paul makes free throw 1 of 2,1,39-28,,
4:23.0,C. Paul makes free throw 2 of 2,1,40-28,,
4:04.0,,,40-30,2,J. Green makes 2-pt shot from 19 ft (assist by A. Harrison)
3:57.0,,,40-30,,Personal foul by J. Green (drawn by B. Griffin)
3:57.0,,,40-30,,Technical foul by Team
3:57.0,J. Redick makes technical free throw,1,41-30,,
3:57.0,B. Griffin makes free throw 1 of 2,1,42-30,,
3:57.0,B. Griffin makes free throw 2 of 2,1,43-30,,
3:57.0,L. Mbah a Moute enters the game for A. Rivers,,42-30,,
3:57.0,,,42-30,,Z. Randolph enters the game for J. Green
3:47.0,,,43-30,,Turnover by Z. Randolph (bad pass; steal by C. Paul)
3:42.0,C. Paul makes 2-pt shot from 2 ft,2,45-30,,
3:39.0,,,45-30,,Memphis full timeout
3:24.0,,,45-30,,T. Allen misses 3-pt shot from 23 ft
3:23.0,,,45-30,,Offensive rebound by Z. Randolph
3:23.0,Loose ball foul by C. Paul (drawn by Z. Randolph),,45-30,,
3:13.0,,,45-30,,T. Allen misses 2-pt shot from 5 ft
3:10.0,,,45-30,,Offensive rebound by M. Gasol
3:10.0,,,45-30,,M. Gasol misses 2-pt shot from 3 ft
3:07.0,Defensive rebound by D. Jordan,,45-30,,
3:00.0,Turnover by L. Mbah a Moute (bad pass),,45-30,,
2:42.0,Def 3 sec tech foul by D. Jordan,,45-30,,
2:42.0,LA Clippers full timeout,,45-30,,
2:42.0,,,45-30,,Z. Randolph misses technical free throw
2:42.0,,,45-30,,Offensive rebound by Team
2:32.0,,,45-30,,Turnover by A. Harrison (bad pass; steal by C. Paul)
2:32.0,,,45-30,,Loose ball foul by A. Harrison (drawn by C. Paul)
2:32.0,C. Paul misses free throw 1 of 2,,45-30,,
2:32.0,Offensive rebound by Team,,45-30,,
2:32.0,C. Paul makes free throw 2 of 2,1,46-30,,
2:32.0,,,45-30,,M. Conley enters the game for A. Harrison
2:11.0,,,46-30,,J. Ennis misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by B. Griffin,,46-30,,
2:04.0,J. Redick misses 3-pt shot from 25 ft,,46-30,,
2:03.0,Offensive rebound by D. Jordan,,46-30,,
1:52.0,Turnover by L. Mbah a Moute (lost ball; steal by T. Allen),,46-30,,
1:47.0,,,46-30,,Turnover by T. Allen (bad pass; steal by J. Redick)
1:37.0,C. Paul misses 3-pt shot from 26 ft,,46-30,,
1:35.0,,,46-30,,Defensive rebound by J. Ennis
1:30.0,,,46-30,,Turnover by M. Gasol (lost ball; steal by B. Griffin)
1:22.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,48-30,,
1:10.0,,,48-30,,Shooting foul by C. Paul (drawn by M. Conley)
1:10.0,,,48-31,1,M. Conley makes free throw 1 of 3
1:10.0,,,48-32,1,M. Conley makes free throw 2 of 3
1:10.0,,,48-33,1,M. Conley makes free throw 3 of 3
1:10.0,A. Rivers enters the game for L. Mbah a Moute,,48-32,,
0:48.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,51-33,,
0:34.0,,,51-35,2,T. Allen makes 2-pt shot from 2 ft (assist by J. Ennis)
0:26.0,,,51-35,,Personal foul by J. Ennis (drawn by C. Paul)
0:26.0,C. Paul makes free throw 1 of 2,1,52-35,,
0:26.0,C. Paul makes free throw 2 of 2,1,53-35,,
0:26.0,L. Mbah a Moute enters the game for J. Redick,,52-35,,
0:02.0,,,53-35,,M. Conley misses 3-pt shot from 30 ft
0:02.0,,,53-35,,Offensive rebound by Team
0:02.0,,,53-35,,Turnover by Team (shot clock)
0:02.0,LA Clippers full timeout,,53-35,,
0:02.0,J. Redick enters the game for L. Mbah a Moute,,53-35,,
0:02.0,J. Crawford enters the game for D. Jordan,,53-35,,
0:02.0,,,53-35,,J. Martin enters the game for Z. Randolph
0:00.0,C. Paul misses 3-pt shot from 45 ft,,53-35,,
0:00.0,Offensive rebound by Team,,53-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,B. Griffin misses 2-pt shot from 23 ft,,53-35,,
11:36.0,,,53-35,,Defensive rebound by T. Allen
11:14.0,,,53-35,,M. Gasol misses 2-pt shot from 9 ft
11:12.0,,,53-35,,Offensive rebound by J. Ennis
11:12.0,,,53-37,2,J. Ennis makes 2-pt shot from 2 ft
10:50.0,B. Griffin misses 2-pt shot from 9 ft (block by J. Green),,53-37,,
10:46.0,Offensive rebound by B. Griffin,,53-37,,
10:46.0,B. Griffin misses 2-pt shot from 1 ft,,53-37,,
10:45.0,Offensive rebound by D. Jordan,,53-37,,
10:45.0,D. Jordan makes 2-pt shot at rim,2,55-37,,
10:38.0,Violation by D. Jordan (kicked ball),,55-37,,
10:27.0,,,55-39,2,M. Gasol makes 2-pt shot from 10 ft
10:25.0,,,55-39,,Violation by Team (jump ball)
10:08.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,57-39,,
9:51.0,,,57-39,,M. Conley misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by D. Jordan,,57-39,,
9:43.0,B. Griffin misses 2-pt shot from 2 ft,,57-39,,
9:43.0,Offensive rebound by Team,,57-39,,
9:32.0,J. Redick makes 2-pt shot from 8 ft (assist by C. Paul),2,59-39,,
9:17.0,,,59-41,2,M. Gasol makes 2-pt shot from 13 ft (assist by M. Conley)
9:11.0,,,59-41,,Personal foul by M. Gasol (drawn by D. Jordan)
8:57.0,C. Paul misses 3-pt shot from 24 ft,,59-41,,
8:57.0,Offensive rebound by Team,,59-41,,
8:57.0,,,59-41,,Loose ball foul by J. Ennis (drawn by B. Griffin)
8:51.0,J. Redick misses 3-pt shot from 25 ft,,59-41,,
8:50.0,,,59-41,,Defensive rebound by T. Allen
8:41.0,,,59-41,,Shooting foul by L. Mbah a Moute (drawn by J. Ennis)
8:41.0,,,59-42,1,J. Ennis makes free throw 1 of 2
8:41.0,,,59-43,1,J. Ennis makes free throw 2 of 2
8:18.0,B. Griffin misses 2-pt shot from 2 ft,,59-43,,
8:16.0,Offensive rebound by B. Griffin,,59-43,,
8:16.0,B. Griffin makes 2-pt shot from 1 ft,2,61-43,,
7:59.0,,,61-43,,T. Allen misses 2-pt shot from 23 ft
7:58.0,Defensive rebound by D. Jordan,,61-43,,
7:53.0,Shooting foul by T. Allen (drawn by B. Griffin),,61-43,,
7:53.0,B. Griffin misses free throw 1 of 2,,61-43,,
7:53.0,Offensive rebound by Team,,61-43,,
7:53.0,B. Griffin makes free throw 2 of 2,1,62-43,,
7:39.0,Personal foul by C. Paul (drawn by M. Gasol),,62-43,,
7:32.0,,,62-43,,M. Conley misses 2-pt shot from 23 ft
7:30.0,Defensive rebound by C. Paul,,62-43,,
7:23.0,D. Jordan misses 2-pt shot at rim,,62-43,,
7:20.0,Offensive rebound by D. Jordan,,62-43,,
7:20.0,D. Jordan misses 2-pt shot from 2 ft (block by M. Gasol),,62-43,,
7:16.0,,,62-43,,Defensive rebound by T. Allen
7:12.0,,,62-43,,M. Conley misses 2-pt shot from 2 ft (block by L. Mbah a Moute)
7:09.0,,,62-43,,Offensive rebound by T. Allen
7:09.0,,,62-43,,T. Allen misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by B. Griffin,,62-43,,
7:00.0,C. Paul misses 3-pt shot from 24 ft,,62-43,,
6:59.0,,,62-43,,Defensive rebound by M. Gasol
6:53.0,,,62-45,2,T. Allen makes 2-pt shot from 3 ft (assist by M. Conley)
6:52.0,LA Clippers full timeout,,62-45,,
6:40.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,64-45,,
6:18.0,,,64-45,,M. Conley misses 3-pt shot from 24 ft
6:16.0,,,64-45,,Offensive rebound by J. Ennis
6:16.0,,,64-45,,J. Ennis misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by B. Griffin,,64-45,,
6:16.0,,,64-45,,Personal foul by J. Ennis (drawn by B. Griffin)
6:16.0,,,64-45,,V. Carter enters the game for T. Allen
6:11.0,Offensive foul by D. Jordan,,64-45,,
6:11.0,Turnover by D. Jordan (offensive foul),,64-45,,
5:58.0,,,64-45,,M. Conley misses 2-pt shot from 9 ft
5:57.0,Defensive rebound by C. Paul,,64-45,,
5:45.0,B. Griffin misses 2-pt shot from 21 ft,,64-45,,
5:45.0,,,64-45,,Defensive rebound by V. Carter
5:34.0,,,64-47,2,M. Gasol makes 2-pt shot from 20 ft (assist by V. Carter)
5:18.0,J. Redick misses 2-pt shot from 7 ft (block by J. Green),,64-47,,
5:16.0,Offensive rebound by C. Paul,,64-47,,
5:12.0,C. Paul makes 2-pt shot from 3 ft,2,66-47,,
4:49.0,,,66-47,,Turnover by J. Green (lost ball; steal by C. Paul)
4:49.0,,,66-47,,Personal foul by J. Green (drawn by C. Paul)
4:49.0,C. Paul makes free throw 1 of 2,1,67-47,,
4:49.0,C. Paul makes free throw 2 of 2,1,68-47,,
4:49.0,,,67-47,,Z. Randolph enters the game for J. Green
4:49.0,J. Crawford enters the game for L. Mbah a Moute,,67-47,,
4:32.0,,,68-50,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
4:25.0,C. Paul misses 3-pt shot from 25 ft,,68-50,,
4:21.0,Offensive rebound by D. Jordan,,68-50,,
4:21.0,D. Jordan misses 2-pt shot from 2 ft,,68-50,,
4:18.0,,,68-50,,Defensive rebound by Z. Randolph
4:12.0,,,68-53,3,M. Conley makes 3-pt shot from 25 ft
3:53.0,,,68-53,,Violation by Z. Randolph (kicked ball)
3:53.0,A. Rivers enters the game for J. Redick,,68-53,,
3:40.0,Turnover by B. Griffin (lost ball),,68-53,,
3:40.0,,,68-53,,J. Martin enters the game for M. Gasol
3:28.0,,,68-53,,V. Carter misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by D. Jordan,,68-53,,
3:11.0,B. Griffin misses 2-pt shot from 18 ft,,68-53,,
3:10.0,,,68-53,,Defensive rebound by Team
3:10.0,Loose ball foul by D. Jordan (drawn by Z. Randolph),,68-53,,
3:10.0,R. Felton enters the game for C. Paul,,68-53,,
3:10.0,,,68-53,,W. Baldwin enters the game for M. Conley
3:10.0,W. Johnson enters the game for B. Griffin,,68-53,,
2:58.0,,,68-53,,Turnover by W. Baldwin (bad pass; steal by W. Johnson)
2:54.0,J. Crawford makes 2-pt shot from 6 ft,2,70-53,,
2:54.0,,,70-53,,Memphis full timeout
2:38.0,,,70-55,2,Z. Randolph makes 2-pt shot from 22 ft (assist by V. Carter)
2:17.0,J. Crawford misses 2-pt shot from 8 ft (block by V. Carter),,70-55,,
2:16.0,,,70-55,,Defensive rebound by Z. Randolph
2:01.0,,,70-55,,Turnover by Z. Randolph (lost ball; steal by D. Jordan)
1:58.0,Shooting foul by V. Carter (drawn by A. Rivers),,70-55,,
1:58.0,A. Rivers makes free throw 1 of 2,1,71-55,,
1:58.0,A. Rivers misses free throw 2 of 2,,71-55,,
1:57.0,Offensive rebound by R. Felton,,71-55,,
1:47.0,A. Rivers misses 2-pt shot from 4 ft,,71-55,,
1:46.0,,,71-55,,Defensive rebound by Z. Randolph
1:41.0,,,71-55,,W. Baldwin misses 2-pt shot from 1 ft
1:36.0,Defensive rebound by J. Crawford,,71-55,,
1:26.0,J. Crawford makes 2-pt shot from 7 ft,2,73-55,,
1:08.0,,,73-55,,V. Carter misses 2-pt shot from 10 ft
1:06.0,Defensive rebound by D. Jordan,,73-55,,
0:49.0,J. Crawford misses 2-pt shot from 3 ft (block by J. Ennis),,73-55,,
0:45.0,,,73-55,,Defensive rebound by V. Carter
0:43.0,,,73-55,,Turnover by W. Baldwin (bad pass; steal by A. Rivers)
0:37.0,R. Felton makes 3-pt shot from 25 ft (assist by J. Crawford),3,76-55,,
0:22.0,,,76-55,,Z. Randolph misses 2-pt shot from 5 ft
0:21.0,,,76-55,,Offensive rebound by Team
0:18.0,,,76-57,2,Z. Randolph makes 2-pt shot from 4 ft (assist by W. Baldwin)
0:00.0,A. Rivers misses 2-pt shot from 2 ft (block by J. Martin),,76-57,,
0:00.0,Offensive rebound by Team,,76-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,76-59,2,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter)
11:26.0,J. Crawford misses 2-pt shot from 18 ft,,76-59,,
11:25.0,,,76-59,,Defensive rebound by Z. Randolph
11:18.0,,,76-62,3,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley)
10:53.0,R. Felton misses 2-pt shot from 19 ft,,76-62,,
10:51.0,,,76-62,,Defensive rebound by Z. Randolph
10:37.0,,,76-62,,Z. Randolph misses 2-pt shot from 7 ft
10:36.0,Defensive rebound by R. Felton,,76-62,,
10:22.0,M. Speights makes 3-pt shot from 24 ft (assist by R. Felton),3,79-62,,
10:14.0,Personal foul by J. Crawford (drawn by T. Daniels),,79-62,,
10:04.0,,,79-62,,M. Conley misses 2-pt shot from 20 ft
10:01.0,Defensive rebound by A. Rivers,,79-62,,
9:43.0,A. Rivers misses 3-pt shot from 25 ft,,79-62,,
9:43.0,,,79-62,,Defensive rebound by V. Carter
9:28.0,Personal foul by M. Speights (drawn by V. Carter),,79-62,,
9:19.0,,,79-64,2,Z. Randolph makes 2-pt shot from 6 ft (assist by M. Conley)
9:02.0,B. Griffin enters the game for W. Johnson,,79-64,,
8:56.0,R. Felton makes 2-pt shot from 3 ft,2,81-64,,
8:40.0,,,81-64,,T. Daniels misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by B. Griffin,,81-64,,
8:27.0,LA Clippers full timeout,,81-64,,
8:16.0,J. Crawford misses 3-pt shot from 27 ft,,81-64,,
8:15.0,,,81-64,,Defensive rebound by M. Conley
7:57.0,,,81-64,,T. Daniels misses 3-pt shot from 23 ft
7:56.0,Defensive rebound by B. Griffin,,81-64,,
7:44.0,M. Speights makes 3-pt shot from 25 ft (assist by R. Felton),3,84-64,,
7:20.0,,,84-66,2,M. Conley makes 2-pt shot from 6 ft (assist by Z. Randolph)
7:01.0,M. Speights misses 3-pt shot from 26 ft,,84-66,,
6:59.0,,,84-66,,Defensive rebound by V. Carter
