time,Denver,pts.away,score,pts.home,LA Clippers
4:05.0,Turnover by W. Chandler (bad pass; steal by W. Johnson),,11-25,,
3:43.0,,,11-25,,Turnover by C. Paul (bad pass)
3:43.0,J. Nelson enters the game for E. Mudiay,,11-25,,
3:32.0,W. Chandler misses 2-pt shot from 6 ft,,11-25,,
3:30.0,,,11-25,,Defensive rebound by J. Redick
3:22.0,,,11-27,2,W. Johnson makes 2-pt shot from 16 ft (assist by C. Paul)
3:06.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson),3,14-27,,
2:57.0,,,14-30,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by C. Paul)
2:44.0,J. Nelson misses 2-pt shot from 2 ft,,14-30,,
2:41.0,Offensive rebound by K. Faried,,14-30,,
2:41.0,K. Faried misses 2-pt shot from 2 ft,,14-30,,
2:39.0,Offensive rebound by K. Faried,,14-30,,
2:39.0,K. Faried makes 2-pt shot at rim,2,16-30,,
2:28.0,,,16-30,,W. Johnson misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by Team,,16-30,,
2:28.0,,,16-30,,A. Rivers enters the game for J. Redick
2:28.0,,,16-30,,J. Crawford enters the game for C. Paul
2:28.0,,,16-30,,LA Clippers full timeout
2:28.0,J. Murray enters the game for G. Harris,,16-30,,
2:06.0,J. Murray misses 3-pt shot from 24 ft,,16-30,,
2:06.0,Offensive rebound by K. Faried,,16-30,,
2:06.0,Shooting foul by A. Rivers (drawn by K. Faried),,16-30,,
2:06.0,K. Faried makes free throw 1 of 2,1,17-30,,
2:06.0,K. Faried makes free throw 2 of 2,1,18-30,,
1:47.0,,,18-30,,Shooting foul by J. Nelson (drawn by A. Rivers)
1:47.0,,,18-31,1,A. Rivers makes free throw 1 of 2
1:47.0,,,18-31,,A. Rivers misses free throw 2 of 2
1:47.0,,,18-31,,M. Speights enters the game for D. Jordan
1:47.0,D. Gallinari enters the game for W. Chandler,,18-31,,
1:46.0,Defensive rebound by K. Faried,,18-31,,
1:34.0,J. Nelson misses 3-pt shot from 25 ft,,18-31,,
1:33.0,,,18-31,,Defensive rebound by W. Johnson
1:25.0,,,18-31,,A. Rivers misses 2-pt shot from 13 ft
1:22.0,Defensive rebound by K. Faried,,18-31,,
1:18.0,W. Barton makes 2-pt shot from 7 ft,2,20-31,,
1:18.0,,,20-31,,Shooting block foul by M. Speights (drawn by W. Barton)
1:18.0,W. Barton makes free throw 1 of 1,1,21-31,,
1:00.0,,,21-33,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Crawford)
0:51.0,W. Barton makes 3-pt shot from 25 ft (assist by D. Gallinari),3,24-33,,
0:40.0,,,24-33,,W. Johnson misses 3-pt shot from 23 ft
0:39.0,Defensive rebound by D. Gallinari,,24-33,,
0:25.0,D. Gallinari makes 2-pt shot from 3 ft,2,26-33,,
0:03.0,,,26-36,3,J. Crawford makes 3-pt shot from 26 ft
0:00.0,K. Faried misses 3-pt shot from 26 ft,,26-36,,
0:00.0,Offensive rebound by Team,,26-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Nelson makes 2-pt shot from 20 ft,2,28-36,,
11:23.0,,,28-38,2,J. Crawford makes 2-pt shot from 19 ft (assist by A. Rivers)
11:04.0,J. Murray makes 3-pt shot from 23 ft (assist by J. Nelson),3,31-38,,
10:42.0,,,31-38,,J. Crawford misses 2-pt shot from 4 ft
10:41.0,Defensive rebound by K. Faried,,31-38,,
10:37.0,J. Murray makes 2-pt shot from 2 ft (assist by K. Faried),2,33-38,,
10:37.0,,,33-38,,LA Clippers full timeout
10:16.0,,,33-38,,A. Rivers misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by J. Murray,,33-38,,
10:07.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Murray),2,35-38,,
9:50.0,,,35-40,2,R. Felton makes 2-pt shot from 3 ft
9:31.0,,,35-40,,Personal foul by R. Felton (drawn by D. Gallinari)
9:18.0,W. Barton misses 3-pt shot from 24 ft,,35-40,,
9:18.0,Offensive rebound by D. Gallinari,,35-40,,
9:15.0,Turnover by D. Gallinari (lost ball; steal by A. Rivers),,35-40,,
9:10.0,,,35-42,2,R. Felton makes 2-pt shot from 2 ft (assist by A. Rivers)
8:52.0,Shooting foul by W. Johnson (drawn by D. Gallinari),,35-42,,
8:52.0,Official timeout,,35-42,,
8:52.0,D. Gallinari misses free throw 1 of 2,,35-42,,
8:52.0,Offensive rebound by Team,,35-42,,
8:52.0,D. Gallinari makes free throw 2 of 2,1,36-42,,
8:36.0,,,36-44,2,M. Speights makes 2-pt shot from 1 ft (assist by J. Crawford)
8:36.0,,,36-44,,Shooting foul by K. Faried (drawn by M. Speights)
8:36.0,,,36-44,,M. Speights misses free throw 1 of 1
8:35.0,Defensive rebound by K. Faried,,36-44,,
8:23.0,Shooting foul by M. Speights (drawn by K. Faried),,36-44,,
8:23.0,K. Faried makes free throw 1 of 2,1,37-44,,
8:23.0,K. Faried makes free throw 2 of 2,1,38-44,,
8:00.0,,,38-44,,W. Johnson misses 3-pt shot from 23 ft
7:58.0,,,38-44,,Offensive rebound by R. Felton
7:50.0,,,38-46,2,R. Felton makes 2-pt shot from 16 ft
7:40.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson),3,41-46,,
7:20.0,,,41-46,,Turnover by R. Felton (bad pass; steal by K. Faried)
7:14.0,W. Barton misses 3-pt shot from 25 ft,,41-46,,
7:12.0,Offensive rebound by W. Barton,,41-46,,
7:12.0,Shooting foul by R. Felton (drawn by K. Faried),,41-46,,
7:12.0,K. Faried misses free throw 1 of 2,,41-46,,
7:12.0,Offensive rebound by Team,,41-46,,
7:12.0,K. Faried makes free throw 2 of 2,1,42-46,,
7:12.0,,,41-46,,L. Mbah a Moute enters the game for W. Johnson
7:12.0,,,41-46,,J. Redick enters the game for J. Crawford
7:12.0,,,41-46,,C. Paul enters the game for A. Rivers
7:12.0,,,41-46,,D. Jordan enters the game for M. Speights
6:57.0,,,42-46,,J. Redick misses 2-pt shot from 23 ft
6:57.0,Defensive rebound by W. Barton,,42-46,,
6:40.0,W. Barton makes 2-pt shot from 7 ft,2,44-46,,
6:27.0,,,44-46,,C. Paul misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by J. Nelson,,44-46,,
6:16.0,W. Barton misses 2-pt shot from 14 ft,,44-46,,
6:15.0,,,44-46,,Defensive rebound by C. Paul
5:56.0,,,44-48,2,C. Paul makes 2-pt shot from 16 ft
5:45.0,Turnover by J. Nelson (lost ball; steal by R. Felton),,44-48,,
5:32.0,,,44-50,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
5:32.0,,,44-50,,Shooting foul by D. Gallinari (drawn by D. Jordan)
5:32.0,,,44-50,,LA Clippers full timeout
5:32.0,,,44-51,1,D. Jordan makes free throw 1 of 1
5:32.0,,,44-50,,P. Pierce enters the game for R. Felton
5:32.0,E. Mudiay enters the game for K. Faried,,44-50,,
5:32.0,N. Jokic enters the game for W. Barton,,44-50,,
5:32.0,W. Chandler enters the game for J. Nelson,,44-50,,
5:32.0,G. Harris enters the game for J. Murray,,44-50,,
5:15.0,Turnover by E. Mudiay (bad pass),,44-51,,
5:06.0,,,44-51,,C. Paul misses 2-pt shot from 20 ft
5:06.0,,,44-51,,Offensive rebound by Team
5:06.0,Loose ball foul by N. Jokic (drawn by D. Jordan),,44-51,,
4:57.0,,,44-54,3,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan)
4:48.0,,,44-54,,Personal foul by P. Pierce (drawn by W. Chandler)
4:48.0,W. Chandler misses free throw 1 of 2,,44-54,,
4:48.0,Offensive rebound by Team,,44-54,,
4:48.0,W. Chandler makes free throw 2 of 2,1,45-54,,
4:31.0,,,45-56,2,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul)
4:15.0,G. Harris misses 2-pt shot from 1 ft,,45-56,,
4:15.0,,,45-56,,Defensive rebound by J. Redick
3:59.0,Personal foul by E. Mudiay (drawn by D. Jordan),,45-56,,
3:46.0,,,45-56,,Shooting foul by N. Jokic (drawn by L. Mbah a Moute)
3:46.0,,,45-57,1,L. Mbah a Moute makes free throw 1 of 2
3:46.0,,,45-58,1,L. Mbah a Moute makes free throw 2 of 2
3:37.0,Offensive foul by N. Jokic,,45-58,,
3:37.0,Turnover by N. Jokic (offensive foul),,45-58,,
3:37.0,K. Faried enters the game for N. Jokic,,45-58,,
3:23.0,,,45-58,,C. Paul misses 2-pt shot from 14 ft
3:22.0,Defensive rebound by E. Mudiay,,45-58,,
3:12.0,D. Gallinari makes 2-pt shot from 19 ft (assist by E. Mudiay),2,47-58,,
2:56.0,,,47-61,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
2:42.0,Turnover by G. Harris (bad pass; steal by C. Paul),,47-61,,
2:34.0,,,47-61,,Turnover by L. Mbah a Moute (traveling)
2:34.0,Denver full timeout,,47-61,,
2:34.0,W. Barton enters the game for G. Harris,,47-61,,
2:12.0,W. Chandler misses 2-pt shot from 21 ft,,47-61,,
2:11.0,,,47-61,,Defensive rebound by C. Paul
1:53.0,,,47-63,2,C. Paul makes 2-pt shot from 1 ft
1:37.0,W. Barton makes 2-pt shot from 14 ft,2,49-63,,
1:11.0,,,49-66,3,C. Paul makes 3-pt shot from 24 ft
0:55.0,W. Chandler misses 3-pt shot from 24 ft,,49-66,,
0:54.0,Offensive rebound by E. Mudiay,,49-66,,
0:46.0,E. Mudiay misses 2-pt shot from 1 ft,,49-66,,
0:45.0,,,49-66,,Defensive rebound by D. Jordan
0:39.0,,,49-66,,L. Mbah a Moute misses 2-pt shot from 2 ft
0:37.0,,,49-66,,Offensive rebound by L. Mbah a Moute
0:37.0,,,49-68,2,L. Mbah a Moute makes 2-pt shot from 1 ft
0:27.0,W. Chandler makes 2-pt shot from 1 ft,2,51-68,,
0:07.0,,,51-68,,J. Redick misses 2-pt shot from 20 ft
0:06.0,Defensive rebound by W. Chandler,,51-68,,
0:02.0,W. Chandler makes 2-pt shot at rim,2,53-68,,
0:00.0,,,53-68,,Turnover by P. Pierce (bad pass; steal by E. Mudiay)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,G. Harris misses 3-pt shot from 25 ft,,53-68,,
11:43.0,,,53-68,,Defensive rebound by C. Paul
11:33.0,,,53-68,,Turnover by C. Paul (bad pass; steal by G. Harris)
11:28.0,G. Harris misses 2-pt shot from 1 ft,,53-68,,
11:24.0,Offensive rebound by E. Mudiay,,53-68,,
11:24.0,E. Mudiay misses 2-pt shot from 1 ft,,53-68,,
11:22.0,,,53-68,,Defensive rebound by C. Paul
11:21.0,,,53-68,,J. Redick misses 2-pt shot from 16 ft
11:21.0,Defensive rebound by Team,,53-68,,
11:21.0,,,53-68,,Loose ball foul by D. Jordan (drawn by N. Jokic)
11:09.0,W. Chandler misses 3-pt shot from 25 ft,,53-68,,
11:08.0,,,53-68,,Defensive rebound by D. Jordan
10:51.0,,,53-70,2,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul)
10:36.0,N. Jokic misses 3-pt shot from 25 ft,,53-70,,
10:35.0,,,53-70,,Defensive rebound by J. Redick
10:22.0,,,53-70,,P. Pierce misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by W. Chandler,,53-70,,
10:13.0,G. Harris makes 3-pt shot from 26 ft (assist by W. Chandler),3,56-70,,
9:52.0,Personal foul by E. Mudiay (drawn by C. Paul),,56-70,,
9:45.0,,,56-72,2,C. Paul makes 2-pt shot from 15 ft
9:32.0,E. Mudiay misses 3-pt shot from 25 ft,,56-72,,
9:31.0,,,56-72,,Defensive rebound by L. Mbah a Moute
9:13.0,,,56-75,3,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul)
9:12.0,Denver full timeout,,56-75,,
8:59.0,E. Mudiay misses 2-pt shot from 2 ft (block by D. Jordan),,56-75,,
8:57.0,,,56-75,,Defensive rebound by L. Mbah a Moute
8:48.0,,,56-78,3,C. Paul makes 3-pt shot from 25 ft
8:39.0,D. Gallinari misses 2-pt shot from 12 ft,,56-78,,
8:39.0,,,56-78,,Defensive rebound by Team
8:20.0,,,56-78,,P. Pierce misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by G. Harris,,56-78,,
8:15.0,Turnover by W. Chandler (lost ball),,56-78,,
7:52.0,,,56-78,,C. Paul misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by D. Gallinari,,56-78,,
7:51.0,,,56-78,,Personal block foul by C. Paul (drawn by D. Gallinari)
7:38.0,,,56-78,,Violation by D. Jordan (kicked ball)
7:34.0,N. Jokic makes 2-pt shot from 18 ft (assist by D. Gallinari),2,58-78,,
7:21.0,,,58-81,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
7:13.0,Shooting foul by P. Pierce (drawn by W. Chandler),,58-81,,
7:13.0,W. Chandler makes free throw 1 of 2,1,59-81,,
7:13.0,W. Chandler misses free throw 2 of 2,,59-81,,
7:11.0,,,59-81,,Defensive rebound by C. Paul
6:55.0,,,59-81,,Turnover by P. Pierce (traveling)
6:37.0,W. Chandler misses 2-pt shot from 19 ft,,59-81,,
6:36.0,,,59-81,,Defensive rebound by D. Jordan
6:29.0,,,59-81,,P. Pierce misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by E. Mudiay,,59-81,,
6:20.0,D. Gallinari misses 3-pt shot from 25 ft,,59-81,,
6:16.0,,,59-81,,Defensive rebound by C. Paul
6:10.0,,,59-81,,J. Redick misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by D. Gallinari,,59-81,,
5:59.0,Turnover by E. Mudiay (bad pass; steal by J. Redick),,59-81,,
5:59.0,,,59-81,,LA Clippers full timeout
5:59.0,,,59-81,,A. Anderson enters the game for P. Pierce
5:59.0,J. Nelson enters the game for W. Chandler,,59-81,,
5:59.0,J. Murray enters the game for N. Jokic,,59-81,,
5:59.0,W. Barton enters the game for G. Harris,,59-81,,
5:59.0,K. Faried enters the game for E. Mudiay,,59-81,,
5:39.0,,,59-83,2,C. Paul makes 2-pt shot from 19 ft
5:19.0,Turnover by J. Nelson (bad pass),,59-83,,
5:12.0,,,59-85,2,C. Paul makes 2-pt shot from 14 ft
5:11.0,Denver full timeout,,59-85,,
5:01.0,J. Nelson misses 3-pt shot from 25 ft,,59-85,,
5:00.0,,,59-85,,Defensive rebound by D. Jordan
4:47.0,,,59-85,,J. Redick misses 3-pt shot from 24 ft
4:45.0,,,59-85,,Offensive rebound by D. Jordan
4:40.0,,,59-88,3,J. Redick makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
4:24.0,W. Barton makes 2-pt shot from 19 ft,2,61-88,,
3:59.0,,,61-90,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:42.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Murray),3,64-90,,
3:30.0,,,64-90,,Turnover by C. Paul (traveling)
3:19.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson),2,66-90,,
2:57.0,,,66-90,,C. Paul misses 3-pt shot from 27 ft
2:56.0,Defensive rebound by W. Barton,,66-90,,
2:47.0,,,66-90,,J. Crawford enters the game for J. Redick
2:40.0,W. Barton misses 2-pt shot from 1 ft,,66-90,,
2:38.0,Offensive rebound by K. Faried,,66-90,,
2:37.0,K. Faried misses 2-pt shot from 1 ft (block by L. Mbah a Moute),,66-90,,
2:35.0,Offensive rebound by J. Murray,,66-90,,
2:33.0,Turnover by Team (shot clock),,66-90,,
2:16.0,,,66-92,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
2:16.0,,,66-92,,Shooting foul by J. Nelson (drawn by L. Mbah a Moute)
2:16.0,,,66-93,1,L. Mbah a Moute makes free throw 1 of 1
2:16.0,,,66-92,,A. Rivers enters the game for C. Paul
2:04.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson),3,69-93,,
1:44.0,,,69-93,,A. Anderson misses 2-pt shot from 10 ft
1:42.0,,,69-93,,Offensive rebound by D. Jordan
1:42.0,,,69-93,,D. Jordan misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by K. Faried,,69-93,,
1:32.0,J. Murray misses 3-pt shot from 24 ft,,69-93,,
1:32.0,,,69-93,,Defensive rebound by A. Anderson
1:20.0,,,69-93,,A. Anderson misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by W. Barton,,69-93,,
1:09.0,K. Faried misses 2-pt shot from 2 ft,,69-93,,
1:09.0,,,69-93,,Defensive rebound by D. Jordan
0:54.0,,,69-93,,L. Mbah a Moute misses 2-pt shot from 2 ft
0:52.0,Defensive rebound by K. Faried,,69-93,,
0:47.0,D. Gallinari misses 3-pt shot from 25 ft,,69-93,,
0:47.0,,,69-93,,Defensive rebound by D. Jordan
0:36.0,Personal foul by J. Nelson (drawn by A. Rivers),,69-93,,
0:36.0,,,69-93,,R. Felton enters the game for L. Mbah a Moute
0:36.0,W. Chandler enters the game for D. Gallinari,,69-93,,
0:31.0,,,69-95,2,A. Rivers makes 2-pt shot from 12 ft
0:22.0,J. Murray makes 3-pt shot from 24 ft (assist by J. Nelson),3,72-95,,
0:04.0,,,72-95,,A. Rivers misses 2-pt shot from 16 ft
0:02.0,Defensive rebound by J. Murray,,72-95,,
0:01.0,J. Murray misses 3-pt shot from 29 ft,,72-95,,
0:00.0,Offensive rebound by Team,,72-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Personal foul by W. Barton (drawn by J. Crawford),,72-95,,
11:33.0,,,72-95,,R. Felton misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by K. Faried,,72-95,,
11:24.0,,,72-95,,Def 3 sec tech foul by M. Speights
11:24.0,J. Murray misses technical free throw,,72-95,,
11:24.0,Offensive rebound by Team,,72-95,,
11:17.0,J. Nelson makes 2-pt shot from 18 ft,2,74-95,,
11:02.0,,,74-95,,Turnover by J. Crawford (step out of bounds)
11:02.0,,,74-95,,B. Bass enters the game for A. Anderson
10:50.0,W. Barton misses 3-pt shot from 23 ft,,74-95,,
10:50.0,,,74-95,,Defensive rebound by J. Crawford
10:45.0,,,74-95,,Turnover by J. Crawford (lost ball; steal by W. Barton)
10:41.0,W. Chandler makes 2-pt shot from 1 ft,2,76-95,,
10:25.0,,,76-97,2,B. Bass makes 2-pt shot from 14 ft (assist by J. Crawford)
10:08.0,J. Murray misses 3-pt shot from 25 ft,,76-97,,
10:07.0,,,76-97,,Defensive rebound by R. Felton
10:00.0,,,76-97,,R. Felton misses 2-pt shot from 2 ft
10:00.0,,,76-97,,Offensive rebound by B. Bass
10:00.0,,,76-97,,Shooting foul by W. Chandler (drawn by B. Bass)
10:00.0,,,76-98,1,B. Bass makes free throw 1 of 2
10:00.0,,,76-99,1,B. Bass makes free throw 2 of 2
9:36.0,J. Nelson makes 3-pt shot from 24 ft (assist by W. Chandler),3,79-99,,
9:14.0,,,79-99,,Turnover by M. Speights (3 sec)
8:58.0,K. Faried makes 2-pt shot from 2 ft (assist by W. Barton),2,81-99,,
8:40.0,,,81-102,3,M. Speights makes 3-pt shot from 22 ft (assist by A. Rivers)
8:34.0,J. Nelson makes 2-pt shot from 2 ft,2,83-102,,
8:14.0,Official timeout,,83-102,,
8:13.0,,,83-102,,Shooting foul by J. Nelson (drawn by A. Rivers)
8:13.0,,,83-102,,A. Rivers misses free throw 1 of 2
8:13.0,,,83-102,,Offensive rebound by Team
8:13.0,,,83-103,1,A. Rivers makes free throw 2 of 2
8:06.0,Turnover by J. Nelson (bad pass; steal by R. Felton),,83-103,,
8:00.0,,,83-105,2,B. Bass makes 2-pt shot at rim (assist by R. Felton)
7:48.0,Turnover by W. Barton (lost ball; steal by A. Rivers),,83-105,,
7:37.0,,,83-105,,A. Rivers misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by J. Murray,,83-105,,
7:31.0,Shooting foul by R. Felton (drawn by W. Barton),,83-105,,
7:31.0,W. Barton misses free throw 1 of 2,,83-105,,
7:31.0,Offensive rebound by Team,,83-105,,
7:31.0,W. Barton makes free throw 2 of 2,1,84-105,,
7:19.0,,,84-105,,Turnover by R. Felton (lost ball; steal by W. Barton)
7:14.0,W. Barton makes 2-pt shot at rim (assist by J. Murray),2,86-105,,
6:48.0,,,86-108,3,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers)
6:34.0,K. Faried makes 2-pt shot at rim,2,88-108,,
6:13.0,,,88-110,2,A. Rivers makes 2-pt shot from 2 ft (assist by R. Felton)
6:13.0,Denver full timeout,,88-110,,
6:13.0,J. Hernangomez enters the game for W. Chandler,,88-110,,
6:13.0,E. Mudiay enters the game for K. Faried,,88-110,,
6:13.0,N. Jokic enters the game for J. Nelson,,88-110,,
6:01.0,J. Murray misses 3-pt shot from 25 ft,,88-110,,
6:00.0,,,88-110,,Defensive rebound by M. Speights
5:40.0,,,88-112,2,M. Speights makes 2-pt shot from 23 ft (assist by A. Rivers)
5:23.0,N. Jokic makes 2-pt shot from 11 ft (assist by J. Murray),2,90-112,,
5:00.0,,,90-114,2,B. Bass makes 2-pt shot at rim (assist by A. Rivers)
4:51.0,W. Barton misses 2-pt shot from 2 ft,,90-114,,
4:50.0,,,90-114,,Defensive rebound by M. Speights
4:44.0,,,90-114,,Turnover by B. Bass (lost ball)
4:33.0,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton),2,92-114,,
4:13.0,,,92-114,,J. Crawford misses 3-pt shot from 32 ft
4:12.0,Defensive rebound by N. Jokic,,92-114,,
3:58.0,J. Hernangomez makes 2-pt shot from 1 ft (assist by J. Murray),2,94-114,,
3:37.0,,,94-114,,R. Felton misses 3-pt shot from 27 ft
3:35.0,Defensive rebound by N. Jokic,,94-114,,
3:26.0,J. Hernangomez misses 3-pt shot from 25 ft,,94-114,,
3:24.0,,,94-114,,Defensive rebound by Team
3:24.0,,,94-114,,W. Johnson enters the game for J. Crawford
2:59.0,,,94-117,3,A. Rivers makes 3-pt shot from 26 ft (assist by B. Bass)
2:45.0,W. Barton makes 2-pt shot from 17 ft,2,96-117,,
2:22.0,,,96-119,2,R. Felton makes 2-pt shot from 18 ft
2:07.0,E. Mudiay misses 2-pt shot from 12 ft,,96-119,,
1:55.0,Offensive rebound by J. Hernangomez,,96-119,,
1:55.0,J. Hernangomez makes 2-pt shot from 1 ft,2,98-119,,
1:49.0,,,98-119,,M. Speights misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by W. Barton,,98-119,,
1:39.0,Shooting foul by M. Speights,,98-119,,
1:39.0,,,98-119,,LA Clippers full timeout
1:39.0,J. Hernangomez makes free throw 1 of 2,1,99-119,,
1:39.0,J. Hernangomez makes free throw 2 of 2,1,100-119,,
1:39.0,,,98-119,,D. Stone enters the game for M. Speights
1:27.0,,,100-119,,A. Rivers misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by J. Hernangomez,,100-119,,
1:17.0,J. Murray misses 3-pt shot from 25 ft,,100-119,,
1:16.0,,,100-119,,Defensive rebound by R. Felton
1:02.0,,,100-119,,D. Stone misses 2-pt shot from 2 ft
1:01.0,Defensive rebound by N. Jokic,,100-119,,
0:59.0,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic),2,102-119,,
