time,New York,pts.away,score,pts.home,Orlando
9:43.0,Defensive rebound by M. Kuzminskas,,25-34,,
9:34.0,M. Kuzminskas misses 2-pt shot from 5 ft,,25-34,,
9:33.0,,,25-34,,Defensive rebound by M. Hezonja
9:17.0,,,25-36,2,C. Watson makes 2-pt shot from 21 ft
9:02.0,M. Kuzminskas makes 3-pt shot from 28 ft (assist by R. Baker),3,28-36,,
8:47.0,,,28-36,,M. Hezonja misses 2-pt shot from 22 ft
8:46.0,Defensive rebound by K. Porzingis,,28-36,,
8:41.0,C. Randle makes 2-pt shot from 3 ft,2,30-36,,
8:41.0,Shooting foul by D. Augustin (drawn by C. Randle),,30-36,,
8:41.0,Official timeout,,30-36,,
8:41.0,C. Randle makes free throw 1 of 1,1,31-36,,
8:22.0,,,31-38,2,J. Green makes 2-pt shot from 3 ft (assist by D. Rudez)
8:09.0,K. Porzingis makes 2-pt shot at rim (assist by M. Kuzminskas),2,33-38,,
7:53.0,,,33-38,,Turnover by D. Augustin (bad pass; steal by M. Kuzminskas)
7:49.0,M. Kuzminskas makes 2-pt shot at rim (assist by C. Randle),2,35-38,,
7:49.0,,,35-38,,Orlando full timeout
7:49.0,,,35-38,,E. Fournier enters the game for M. Hezonja
7:49.0,,,35-38,,B. Biyombo enters the game for J. Green
7:49.0,,,35-38,,A. Gordon enters the game for D. Rudez
7:27.0,,,35-38,,D. Augustin misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by C. Randle,,35-38,,
7:02.0,K. Porzingis makes 2-pt shot from 20 ft,2,37-38,,
6:43.0,,,37-38,,Turnover by E. Fournier (bad pass)
6:43.0,D. Rose enters the game for R. Baker,,37-38,,
6:29.0,Turnover by D. Rose (bad pass; steal by C. Watson),,37-38,,
6:24.0,,,37-41,3,C. Watson makes 3-pt shot from 26 ft
6:16.0,,,37-41,,Personal foul by B. Biyombo (drawn by C. Lee)
6:16.0,,,37-41,,E. Payton enters the game for D. Augustin
6:16.0,,,37-41,,T. Ross enters the game for C. Watson
6:04.0,K. Porzingis makes 2-pt shot from 2 ft (assist by C. Lee),2,39-41,,
5:55.0,,,39-41,,E. Payton misses 2-pt shot from 15 ft
5:53.0,,,39-41,,Offensive rebound by B. Biyombo
5:34.0,,,39-41,,T. Ross misses 2-pt shot from 17 ft
5:33.0,,,39-41,,Offensive rebound by Team
5:33.0,L. Thomas enters the game for M. Kuzminskas,,39-41,,
5:28.0,Personal foul by C. Lee (drawn by E. Fournier),,39-41,,
5:11.0,,,39-41,,Turnover by E. Fournier (lost ball)
4:58.0,L. Thomas misses 3-pt shot from 25 ft,,39-41,,
4:57.0,Offensive rebound by K. Porzingis,,39-41,,
4:52.0,D. Rose makes 2-pt shot from 6 ft (assist by L. Thomas),2,41-41,,
4:46.0,,,41-41,,Turnover by E. Payton (bad pass; steal by C. Lee)
4:42.0,C. Randle misses 2-pt shot from 2 ft (block by T. Ross),,41-41,,
4:42.0,Offensive rebound by Team,,41-41,,
4:36.0,Shooting foul by B. Biyombo (drawn by L. Thomas),,41-41,,
4:36.0,L. Thomas makes free throw 1 of 2,1,42-41,,
4:36.0,L. Thomas makes free throw 2 of 2,1,43-41,,
4:22.0,,,43-41,,Turnover by T. Ross (bad pass; steal by L. Thomas)
4:13.0,L. Thomas misses 2-pt shot from 9 ft,,43-41,,
4:11.0,,,43-41,,Defensive rebound by E. Payton
4:05.0,,,43-43,2,E. Payton makes 2-pt shot from 2 ft
4:00.0,D. Rose misses 2-pt shot from 2 ft,,43-43,,
3:58.0,,,43-43,,Defensive rebound by E. Payton
3:48.0,,,43-45,2,E. Fournier makes 2-pt shot from 4 ft (assist by E. Payton)
3:48.0,New York full timeout,,43-45,,
3:26.0,C. Lee misses 3-pt shot from 26 ft,,43-45,,
3:24.0,Offensive rebound by C. Randle,,43-45,,
3:05.0,Turnover by L. Thomas (traveling),,43-45,,
2:46.0,,,43-45,,E. Fournier misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by D. Rose,,43-45,,
2:40.0,D. Rose misses 2-pt shot from 3 ft,,43-45,,
2:39.0,,,43-45,,Defensive rebound by E. Payton
2:31.0,,,43-48,3,E. Fournier makes 3-pt shot from 24 ft (assist by A. Gordon)
2:15.0,Turnover by D. Rose (back court),,43-48,,
2:03.0,,,43-50,2,T. Ross makes 2-pt shot from 16 ft
1:42.0,D. Rose makes 2-pt shot from 3 ft (assist by C. Randle),2,45-50,,
1:34.0,,,45-50,,Turnover by T. Ross (bad pass)
1:34.0,W. Hernangomez enters the game for L. Thomas,,45-50,,
1:34.0,R. Baker enters the game for C. Randle,,45-50,,
1:13.0,Shooting foul by A. Gordon (drawn by D. Rose),,45-50,,
1:13.0,D. Rose makes free throw 1 of 2,1,46-50,,
1:13.0,D. Rose makes free throw 2 of 2,1,47-50,,
1:13.0,,,46-50,,J. Green enters the game for A. Gordon
0:58.0,,,47-52,2,J. Green makes 2-pt shot from 9 ft (assist by E. Fournier)
0:47.0,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Lee),2,49-52,,
0:41.0,,,49-52,,Orlando full timeout
0:26.0,,,49-54,2,E. Fournier makes 2-pt shot from 3 ft
0:04.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by D. Rose),2,51-54,,
0:00.0,,,51-54,,J. Green misses 3-pt shot from 31 ft
0:00.0,,,51-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Personal foul by L. Thomas (drawn by A. Gordon),,51-54,,
11:42.0,,,51-56,2,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Fournier)
11:30.0,K. Porzingis makes 2-pt shot from 11 ft,2,53-56,,
11:13.0,,,53-56,,A. Gordon misses 2-pt shot from 3 ft
11:11.0,Defensive rebound by D. Rose,,53-56,,
10:52.0,L. Thomas makes 3-pt shot from 25 ft (assist by R. Baker),3,56-56,,
10:37.0,,,56-56,,T. Ross misses 2-pt shot from 9 ft
10:36.0,,,56-56,,Offensive rebound by B. Biyombo
10:32.0,,,56-58,2,E. Payton makes 2-pt shot from 21 ft (assist by T. Ross)
10:14.0,K. Porzingis misses 2-pt shot from 6 ft,,56-58,,
10:13.0,,,56-58,,Defensive rebound by E. Payton
10:07.0,,,56-58,,E. Fournier misses 3-pt shot from 25 ft
10:05.0,,,56-58,,Offensive rebound by A. Gordon
10:05.0,,,56-60,2,A. Gordon makes 2-pt shot from 1 ft
9:47.0,L. Thomas makes 3-pt shot from 24 ft (assist by D. Rose),3,59-60,,
9:36.0,Personal foul by L. Thomas (drawn by A. Gordon),,59-60,,
9:24.0,,,59-60,,E. Fournier misses 2-pt shot from 3 ft
9:23.0,Defensive rebound by K. Porzingis,,59-60,,
9:18.0,D. Rose misses 2-pt shot from 2 ft,,59-60,,
9:16.0,,,59-60,,Defensive rebound by B. Biyombo
9:08.0,,,59-60,,Shooting foul by K. Porzingis (drawn by E. Payton)
9:08.0,,,59-62,2,E. Payton makes 2-pt shot from 3 ft
9:08.0,,,59-63,1,E. Payton makes free throw 1 of 1
8:54.0,K. Porzingis misses 2-pt shot from 16 ft,,59-63,,
8:53.0,,,59-63,,Defensive rebound by B. Biyombo
8:43.0,,,59-65,2,A. Gordon makes 2-pt shot from 3 ft
8:32.0,K. Porzingis makes 2-pt shot from 3 ft (assist by D. Rose),2,61-65,,
8:25.0,,,61-67,2,E. Fournier makes 2-pt shot at rim (assist by E. Payton)
8:09.0,R. Baker misses 3-pt shot from 24 ft,,61-67,,
8:06.0,,,61-67,,Defensive rebound by T. Ross
7:59.0,,,61-67,,T. Ross misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by K. Porzingis,,61-67,,
7:48.0,L. Thomas misses 3-pt shot from 25 ft,,61-67,,
7:46.0,,,61-67,,Defensive rebound by E. Payton
7:38.0,,,61-69,2,B. Biyombo makes 2-pt shot at rim (assist by E. Payton)
7:38.0,New York full timeout,,61-69,,
7:38.0,J. Holiday enters the game for L. Thomas,,61-69,,
7:38.0,W. Hernangomez enters the game for R. Baker,,61-69,,
7:13.0,W. Hernangomez makes 2-pt shot from 3 ft (assist by K. Porzingis),2,63-69,,
7:04.0,,,63-71,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
7:04.0,,,63-71,,Shooting foul by K. Porzingis (drawn by A. Gordon)
7:04.0,,,63-71,,A. Gordon misses free throw 1 of 1
7:03.0,Defensive rebound by W. Hernangomez,,63-71,,
6:50.0,Shooting foul by E. Payton (drawn by D. Rose),,63-71,,
6:50.0,D. Rose makes free throw 1 of 2,1,64-71,,
6:50.0,D. Rose makes free throw 2 of 2,1,65-71,,
6:33.0,,,65-73,2,A. Gordon makes 2-pt shot from 14 ft
6:16.0,Offensive foul by K. Porzingis,,65-73,,
6:16.0,Turnover by K. Porzingis (offensive foul),,65-73,,
6:16.0,M. Kuzminskas enters the game for K. Porzingis,,65-73,,
5:51.0,,,65-73,,T. Ross misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by C. Lee,,65-73,,
5:45.0,Shooting foul by A. Gordon (drawn by D. Rose),,65-73,,
5:45.0,D. Rose makes free throw 1 of 2,1,66-73,,
5:45.0,D. Rose makes free throw 2 of 2,1,67-73,,
5:45.0,,,66-73,,J. Green enters the game for A. Gordon
5:37.0,,,67-75,2,E. Payton makes 2-pt shot from 2 ft
5:20.0,C. Lee makes 2-pt shot from 20 ft,2,69-75,,
5:05.0,,,69-75,,E. Fournier misses 2-pt shot from 10 ft
5:04.0,Defensive rebound by Team,,69-75,,
5:04.0,,,69-75,,Loose ball foul by B. Biyombo (drawn by W. Hernangomez)
4:45.0,C. Lee misses 3-pt shot from 24 ft,,69-75,,
4:44.0,,,69-75,,Defensive rebound by B. Biyombo
4:31.0,,,69-75,,J. Green misses 2-pt shot from 8 ft
4:30.0,Defensive rebound by D. Rose,,69-75,,
4:19.0,C. Lee misses 2-pt shot from 11 ft,,69-75,,
4:17.0,Offensive rebound by W. Hernangomez,,69-75,,
4:17.0,W. Hernangomez makes 2-pt shot from 2 ft,2,71-75,,
4:05.0,,,71-77,2,E. Payton makes 2-pt shot from 6 ft
4:05.0,,,71-77,,Shooting foul by M. Kuzminskas (drawn by E. Payton)
4:05.0,,,71-78,1,E. Payton makes free throw 1 of 1
3:48.0,W. Hernangomez makes 2-pt shot at rim,2,73-78,,
3:47.0,,,73-78,,Orlando full timeout
3:47.0,,,73-78,,M. Hezonja enters the game for T. Ross
3:23.0,,,73-81,3,J. Green makes 3-pt shot from 25 ft (assist by E. Payton)
3:05.0,Turnover by W. Hernangomez (bad pass; steal by E. Payton),,73-81,,
3:01.0,,,73-83,2,E. Fournier makes 2-pt shot from 2 ft
2:50.0,Shooting foul by J. Green (drawn by C. Lee),,73-83,,
2:50.0,C. Lee makes free throw 1 of 2,1,74-83,,
2:50.0,C. Lee makes free throw 2 of 2,1,75-83,,
2:50.0,,,74-83,,D. Augustin enters the game for E. Payton
2:50.0,,,74-83,,C. Watson enters the game for E. Fournier
2:38.0,,,75-83,,Shooting foul by W. Hernangomez (drawn by M. Hezonja)
2:38.0,,,75-84,1,M. Hezonja makes free throw 1 of 2
2:38.0,,,75-85,1,M. Hezonja makes free throw 2 of 2
2:20.0,J. Holiday misses 3-pt shot from 25 ft,,75-85,,
2:18.0,,,75-85,,Defensive rebound by M. Hezonja
1:58.0,,,75-85,,D. Augustin misses 2-pt shot from 5 ft
1:57.0,,,75-85,,Offensive rebound by D. Augustin
1:57.0,,,75-85,,Shooting foul by M. Kuzminskas (drawn by D. Augustin)
1:57.0,,,75-85,,D. Augustin misses free throw 1 of 2
1:57.0,,,75-85,,Offensive rebound by Team
1:57.0,,,75-86,1,D. Augustin makes free throw 2 of 2
1:57.0,C. Randle enters the game for D. Rose,,75-85,,
1:40.0,C. Lee misses 2-pt shot from 3 ft (block by M. Hezonja),,75-86,,
1:40.0,Offensive rebound by Team,,75-86,,
1:36.0,M. Kuzminskas makes 2-pt shot at rim,2,77-86,,
1:36.0,Shooting foul by J. Green (drawn by M. Kuzminskas),,77-86,,
1:36.0,M. Kuzminskas makes free throw 1 of 1,1,78-86,,
1:26.0,,,78-86,,Turnover by M. Hezonja (traveling)
1:16.0,,,78-86,,Personal foul by D. Augustin (drawn by C. Randle)
1:16.0,C. Randle makes free throw 1 of 2,1,79-86,,
1:16.0,C. Randle makes free throw 2 of 2,1,80-86,,
0:54.0,,,80-88,2,J. Green makes 2-pt shot from 14 ft
0:42.0,C. Lee makes 2-pt shot from 12 ft (assist by W. Hernangomez),2,82-88,,
0:33.0,,,82-88,,Shooting foul by W. Hernangomez (drawn by B. Biyombo)
0:33.0,,,82-88,,Technical foul by B. Biyombo
0:33.0,C. Lee makes technical free throw,1,83-88,,
0:33.0,,,83-89,1,B. Biyombo makes free throw 1 of 2
0:33.0,,,83-89,,B. Biyombo misses free throw 2 of 2
0:32.0,Defensive rebound by W. Hernangomez,,83-89,,
0:20.0,,,83-89,,Personal block foul by J. Green (drawn by C. Lee)
0:20.0,C. Lee makes free throw 1 of 2,1,84-89,,
0:20.0,C. Lee makes free throw 2 of 2,1,85-89,,
0:20.0,K. O'Quinn enters the game for W. Hernangomez,,84-89,,
0:01.0,,,85-92,3,D. Augustin makes 3-pt shot from 24 ft (assist by C. Watson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,C. Lee misses 2-pt shot from 17 ft,,85-92,,
11:39.0,,,85-92,,Defensive rebound by B. Biyombo
11:22.0,,,85-92,,Turnover by B. Biyombo (dbl dribble)
11:08.0,K. O'Quinn makes 2-pt shot from 17 ft (assist by J. Holiday),2,87-92,,
10:44.0,,,87-92,,Turnover by J. Green (bad pass; steal by J. Holiday)
10:38.0,C. Lee makes 2-pt shot from 3 ft,2,89-92,,
10:18.0,,,89-92,,M. Hezonja misses 2-pt shot from 20 ft
10:17.0,Defensive rebound by K. O'Quinn,,89-92,,
10:08.0,K. O'Quinn makes 2-pt shot from 13 ft (assist by C. Randle),2,91-92,,
10:08.0,,,91-92,,Orlando full timeout
10:08.0,,,91-92,,E. Fournier enters the game for M. Hezonja
10:08.0,,,91-92,,E. Payton enters the game for D. Augustin
10:08.0,,,91-92,,T. Ross enters the game for C. Watson
9:48.0,,,91-92,,Turnover by E. Payton (bad pass; steal by J. Holiday)
9:26.0,L. Thomas makes 2-pt shot from 7 ft (assist by J. Holiday),2,93-92,,
9:06.0,,,93-92,,E. Payton misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by J. Holiday,,93-92,,
8:50.0,C. Randle misses 2-pt shot from 11 ft,,93-92,,
8:48.0,Offensive rebound by K. O'Quinn,,93-92,,
8:48.0,K. O'Quinn makes 2-pt shot from 3 ft,2,95-92,,
8:34.0,,,95-92,,Shooting foul by L. Thomas (drawn by E. Fournier)
8:34.0,,,95-93,1,E. Fournier makes free throw 1 of 2
8:34.0,,,95-94,1,E. Fournier makes free throw 2 of 2
8:34.0,,,95-93,,A. Gordon enters the game for B. Biyombo
8:17.0,C. Lee makes 2-pt shot from 20 ft,2,97-94,,
7:58.0,,,97-96,2,J. Green makes 2-pt shot at rim (assist by A. Gordon)
7:34.0,J. Holiday misses 2-pt shot from 21 ft,,97-96,,
7:31.0,,,97-96,,Defensive rebound by E. Payton
7:18.0,,,97-96,,A. Gordon misses 3-pt shot from 27 ft
7:16.0,Defensive rebound by C. Lee,,97-96,,
7:04.0,L. Thomas misses 2-pt shot from 1 ft (block by A. Gordon),,97-96,,
7:03.0,Offensive rebound by L. Thomas,,97-96,,
7:02.0,L. Thomas misses 2-pt shot from 2 ft (block by J. Green),,97-96,,
7:01.0,Offensive rebound by K. O'Quinn,,97-96,,
6:59.0,K. O'Quinn makes 2-pt shot from 2 ft,2,99-96,,
6:42.0,,,99-96,,J. Green misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by J. Holiday,,99-96,,
6:29.0,L. Thomas makes 3-pt shot from 25 ft (assist by J. Holiday),3,102-96,,
6:29.0,,,102-96,,Orlando full timeout
6:29.0,,,102-96,,B. Biyombo enters the game for J. Green
6:04.0,,,102-96,,E. Payton misses 2-pt shot from 15 ft
6:03.0,Defensive rebound by C. Randle,,102-96,,
5:54.0,C. Randle makes 2-pt shot from 3 ft,2,104-96,,
5:35.0,Official timeout,,104-96,,
5:33.0,,,104-96,,A. Gordon misses 2-pt shot from 3 ft
5:31.0,Defensive rebound by C. Randle,,104-96,,
5:16.0,C. Lee makes 2-pt shot from 14 ft (assist by C. Randle),2,106-96,,
5:03.0,,,106-96,,Turnover by T. Ross (lost ball; steal by L. Thomas)
5:03.0,,,106-96,,Personal take foul by T. Ross (drawn by L. Thomas)
4:42.0,L. Thomas misses 2-pt shot from 3 ft,,106-96,,
4:41.0,Offensive rebound by K. O'Quinn,,106-96,,
4:41.0,K. O'Quinn makes 2-pt shot from 1 ft,2,108-96,,
4:29.0,,,108-96,,Shooting foul by C. Lee (drawn by B. Biyombo)
4:29.0,,,108-97,1,B. Biyombo makes free throw 1 of 2
4:29.0,,,108-98,1,B. Biyombo makes free throw 2 of 2
4:15.0,C. Lee misses 2-pt shot from 3 ft,,108-98,,
4:13.0,Offensive rebound by K. O'Quinn,,108-98,,
4:13.0,K. O'Quinn misses 2-pt shot from 1 ft,,108-98,,
4:11.0,,,108-98,,Defensive rebound by Team
4:11.0,Loose ball foul by C. Lee (drawn by E. Fournier),,108-98,,
4:01.0,,,108-98,,E. Fournier misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by L. Thomas,,108-98,,
3:44.0,C. Lee misses 2-pt shot from 19 ft,,108-98,,
3:42.0,,,108-98,,Defensive rebound by B. Biyombo
3:31.0,,,108-100,2,E. Payton makes 2-pt shot from 10 ft
3:31.0,New York full timeout,,108-100,,
3:31.0,K. Porzingis enters the game for C. Lee,,108-100,,
