time,Dallas,pts.away,score,pts.home,San Antonio
10:31.0,,,27-32,,D. Bertans enters the game for D. Lee
10:10.0,D. Nowitzki misses 2-pt shot from 15 ft,,27-32,,
10:09.0,,,27-32,,Defensive rebound by D. Bertans
10:00.0,,,27-35,3,D. Bertans makes 3-pt shot from 25 ft (assist by T. Parker)
10:00.0,,,27-35,,Shooting foul by D. Finney-Smith (drawn by D. Bertans)
10:00.0,,,27-36,1,D. Bertans makes free throw 1 of 1
9:53.0,,,27-36,,Personal foul by M. Ginobili (drawn by Y. Ferrell)
9:53.0,,,27-36,,D. Green enters the game for M. Ginobili
9:45.0,J. Anderson misses 3-pt shot from 26 ft,,27-36,,
9:44.0,,,27-36,,Defensive rebound by D. Dedmon
9:36.0,,,27-36,,Offensive foul by T. Parker
9:36.0,,,27-36,,Turnover by T. Parker (offensive foul)
9:22.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by Y. Ferrell),2,29-36,,
9:20.0,,,29-36,,San Antonio full timeout
9:11.0,Personal foul by Y. Ferrell (drawn by T. Parker),,29-36,,
8:58.0,,,29-38,2,D. Bertans makes 2-pt shot from 19 ft (assist by T. Parker)
8:44.0,Shooting foul by D. Dedmon (drawn by D. Nowitzki),,29-38,,
8:44.0,D. Nowitzki makes free throw 1 of 2,1,30-38,,
8:44.0,D. Nowitzki makes free throw 2 of 2,1,31-38,,
8:44.0,,,30-38,,L. Aldridge enters the game for D. Dedmon
8:25.0,,,31-40,2,T. Parker makes 2-pt shot from 1 ft
8:13.0,Y. Ferrell misses 2-pt shot from 12 ft,,31-40,,
8:12.0,,,31-40,,Defensive rebound by K. Anderson
8:02.0,,,31-40,,T. Parker misses 2-pt shot from 19 ft
8:00.0,Defensive rebound by N. Brussino,,31-40,,
7:50.0,J. Anderson makes 2-pt shot from 3 ft,2,33-40,,
7:29.0,,,33-40,,K. Leonard enters the game for K. Anderson
7:29.0,W. Matthews enters the game for D. Nowitzki,,33-40,,
7:29.0,D. Harris enters the game for Y. Ferrell,,33-40,,
7:29.0,S. Curry enters the game for D. Finney-Smith,,33-40,,
7:29.0,A. Bogut enters the game for J. Anderson,,33-40,,
7:29.0,H. Barnes enters the game for N. Brussino,,33-40,,
7:26.0,,,33-40,,L. Aldridge misses 2-pt shot from 2 ft
7:26.0,,,33-40,,Offensive rebound by L. Aldridge
7:26.0,,,33-40,,Shooting foul by A. Bogut (drawn by L. Aldridge)
7:26.0,,,33-41,1,L. Aldridge makes free throw 1 of 2
7:26.0,,,33-41,,L. Aldridge misses free throw 2 of 2
7:25.0,Defensive rebound by W. Matthews,,33-41,,
7:13.0,H. Barnes makes 2-pt shot from 14 ft (assist by S. Curry),2,35-41,,
6:47.0,,,35-44,3,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge)
6:33.0,S. Curry misses 2-pt shot from 17 ft,,35-44,,
6:32.0,,,35-44,,Defensive rebound by L. Aldridge
6:25.0,,,35-46,2,T. Parker makes 2-pt shot from 2 ft (assist by D. Green)
6:25.0,,,35-46,,Shooting foul by A. Bogut (drawn by T. Parker)
6:25.0,,,35-46,,T. Parker misses free throw 1 of 1
6:24.0,Defensive rebound by W. Matthews,,35-46,,
6:08.0,H. Barnes misses 2-pt shot from 12 ft,,35-46,,
6:07.0,,,35-46,,Defensive rebound by D. Green
6:02.0,,,35-48,2,T. Parker makes 2-pt shot from 6 ft (assist by D. Green)
6:02.0,Dallas full timeout,,35-48,,
6:02.0,S. Mejri enters the game for A. Bogut,,35-48,,
6:02.0,,,35-48,,D. Lee enters the game for D. Bertans
5:49.0,Shooting foul by T. Parker (drawn by D. Harris),,35-48,,
5:49.0,D. Harris makes free throw 1 of 2,1,36-48,,
5:49.0,D. Harris makes free throw 2 of 2,1,37-48,,
5:28.0,,,37-50,2,T. Parker makes 2-pt shot from 5 ft
5:07.0,,,37-50,,Personal foul by D. Green (drawn by W. Matthews)
5:07.0,W. Matthews makes free throw 1 of 2,1,38-50,,
5:07.0,W. Matthews makes free throw 2 of 2,1,39-50,,
4:55.0,,,39-50,,L. Aldridge misses 2-pt shot from 7 ft
4:53.0,Defensive rebound by W. Matthews,,39-50,,
4:43.0,Turnover by S. Curry (lost ball),,39-50,,
4:26.0,,,39-50,,Turnover by L. Aldridge (lost ball; steal by W. Matthews)
4:20.0,S. Curry misses 3-pt shot from 26 ft,,39-50,,
4:19.0,,,39-50,,Defensive rebound by L. Aldridge
4:06.0,,,39-52,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
3:51.0,H. Barnes misses 3-pt shot from 24 ft,,39-52,,
3:49.0,Offensive rebound by S. Curry,,39-52,,
3:45.0,Shooting foul by D. Lee (drawn by H. Barnes),,39-52,,
3:45.0,H. Barnes makes free throw 1 of 2,1,40-52,,
3:45.0,H. Barnes makes free throw 2 of 2,1,41-52,,
3:45.0,,,40-52,,P. Mills enters the game for T. Parker
3:45.0,,,40-52,,M. Ginobili enters the game for D. Green
3:30.0,,,41-54,2,L. Aldridge makes 2-pt shot from 2 ft
3:30.0,,,41-54,,Shooting foul by S. Mejri (drawn by L. Aldridge)
3:30.0,,,41-55,1,L. Aldridge makes free throw 1 of 1
3:30.0,Y. Ferrell enters the game for D. Harris,,41-54,,
3:30.0,D. Nowitzki enters the game for S. Mejri,,41-54,,
3:07.0,S. Curry misses 3-pt shot from 23 ft,,41-55,,
3:06.0,,,41-55,,Defensive rebound by K. Leonard
3:02.0,Personal foul by D. Nowitzki (drawn by L. Aldridge),,41-55,,
3:02.0,,,41-55,,L. Aldridge misses free throw 1 of 2
3:02.0,,,41-55,,Offensive rebound by Team
3:02.0,,,41-56,1,L. Aldridge makes free throw 2 of 2
2:50.0,W. Matthews makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,44-56,,
2:33.0,,,44-56,,P. Mills misses 2-pt shot from 18 ft
2:31.0,Defensive rebound by D. Nowitzki,,44-56,,
2:24.0,W. Matthews misses 3-pt shot from 27 ft,,44-56,,
2:23.0,,,44-56,,Defensive rebound by M. Ginobili
2:13.0,,,44-56,,M. Ginobili misses 2-pt shot from 6 ft
2:12.0,Defensive rebound by S. Curry,,44-56,,
2:11.0,Turnover by S. Curry (bad pass),,44-56,,
2:11.0,Official timeout,,44-56,,
2:03.0,,,44-56,,L. Aldridge misses 2-pt shot from 11 ft
2:02.0,Defensive rebound by H. Barnes,,44-56,,
1:43.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews),3,47-56,,
1:27.0,,,47-59,3,K. Leonard makes 3-pt shot from 23 ft (assist by D. Lee)
1:11.0,Y. Ferrell makes 2-pt shot from 2 ft,2,49-59,,
1:03.0,,,49-59,,K. Leonard misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by D. Nowitzki,,49-59,,
0:46.0,D. Nowitzki misses 2-pt shot from 3 ft,,49-59,,
0:42.0,Offensive rebound by D. Nowitzki,,49-59,,
0:42.0,D. Nowitzki misses 2-pt shot from 2 ft,,49-59,,
0:40.0,,,49-59,,Defensive rebound by D. Lee
0:39.0,,,49-59,,K. Leonard misses 3-pt shot from 24 ft (block by D. Nowitzki)
0:38.0,Defensive rebound by W. Matthews,,49-59,,
0:33.0,Y. Ferrell misses 3-pt shot from 26 ft,,49-59,,
0:29.0,,,49-59,,Defensive rebound by K. Leonard
0:11.0,,,49-59,,P. Mills misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by S. Curry,,49-59,,
0:03.0,D. Nowitzki misses 3-pt shot from 24 ft,,49-59,,
0:00.0,Offensive rebound by Team,,49-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,49-59,,Personal foul by D. Green (drawn by H. Barnes)
11:32.0,H. Barnes misses 2-pt shot from 13 ft,,49-59,,
11:31.0,,,49-59,,Defensive rebound by D. Green
11:20.0,,,49-59,,D. Bertans misses 2-pt shot from 5 ft
11:19.0,Defensive rebound by W. Matthews,,49-59,,
11:11.0,W. Matthews makes 2-pt shot from 14 ft,2,51-59,,
10:59.0,,,51-59,,D. Bertans misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by D. Nowitzki,,51-59,,
10:47.0,W. Matthews makes 2-pt shot from 2 ft,2,53-59,,
10:47.0,,,53-59,,San Antonio full timeout
10:30.0,,,53-61,2,D. Green makes 2-pt shot from 21 ft (assist by L. Aldridge)
10:10.0,W. Matthews makes 2-pt shot from 3 ft,2,55-61,,
9:56.0,,,55-63,2,T. Parker makes 2-pt shot from 15 ft
9:39.0,D. Nowitzki makes 2-pt shot from 13 ft,2,57-63,,
9:21.0,,,57-66,3,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge)
9:01.0,H. Barnes misses 2-pt shot from 2 ft (block by D. Green),,57-66,,
9:00.0,,,57-66,,Defensive rebound by D. Bertans
8:54.0,,,57-66,,D. Green misses 3-pt shot from 28 ft
8:52.0,Defensive rebound by S. Curry,,57-66,,
8:42.0,S. Curry makes 2-pt shot from 4 ft (assist by H. Barnes),2,59-66,,
8:28.0,,,59-66,,T. Parker misses 2-pt shot from 13 ft
8:27.0,Defensive rebound by D. Nowitzki,,59-66,,
8:07.0,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews),3,62-66,,
7:49.0,,,62-66,,L. Aldridge misses 2-pt shot from 4 ft (block by D. Nowitzki)
7:49.0,Defensive rebound by Team,,62-66,,
7:43.0,S. Curry misses 3-pt shot from 25 ft,,62-66,,
7:41.0,,,62-66,,Defensive rebound by K. Leonard
7:36.0,,,62-66,,Turnover by K. Leonard (lost ball; steal by W. Matthews)
7:31.0,W. Matthews misses 3-pt shot from 25 ft,,62-66,,
7:28.0,Offensive rebound by D. Nowitzki,,62-66,,
7:12.0,W. Matthews makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,65-66,,
6:59.0,,,65-66,,K. Leonard misses 2-pt shot from 16 ft
6:58.0,Defensive rebound by S. Curry,,65-66,,
6:39.0,Turnover by W. Matthews (bad pass; steal by K. Leonard),,65-66,,
6:35.0,,,65-68,2,K. Leonard makes 2-pt shot at rim (assist by D. Bertans)
6:35.0,Dallas full timeout,,65-68,,
6:35.0,,,65-68,,D. Lee enters the game for D. Bertans
6:35.0,A. Bogut enters the game for D. Nowitzki,,65-68,,
6:18.0,H. Barnes makes 2-pt shot from 12 ft,2,67-68,,
6:04.0,,,67-70,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Green)
5:49.0,,,67-70,,Personal foul by K. Leonard (drawn by W. Matthews)
5:49.0,,,67-70,,P. Mills enters the game for T. Parker
5:38.0,H. Barnes misses 2-pt shot from 15 ft,,67-70,,
5:37.0,,,67-70,,Defensive rebound by P. Mills
5:33.0,,,67-70,,Turnover by P. Mills (bad pass; steal by Y. Ferrell)
5:27.0,Y. Ferrell makes 2-pt shot from 2 ft,2,69-70,,
5:16.0,,,69-70,,P. Mills misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by Team,,69-70,,
5:02.0,H. Barnes misses 3-pt shot from 24 ft,,69-70,,
5:01.0,,,69-70,,Defensive rebound by P. Mills
4:56.0,,,69-70,,Shooting foul by S. Curry (drawn by K. Leonard)
4:56.0,,,69-71,1,K. Leonard makes free throw 1 of 2
4:56.0,,,69-72,1,K. Leonard makes free throw 2 of 2
4:56.0,,,69-71,,K. Anderson enters the game for D. Lee
4:56.0,,,69-71,,M. Ginobili enters the game for D. Green
4:56.0,S. Mejri enters the game for A. Bogut,,69-71,,
4:56.0,D. Harris enters the game for Y. Ferrell,,69-71,,
4:44.0,H. Barnes makes 2-pt shot from 6 ft (assist by S. Curry),2,71-72,,
4:23.0,,,71-72,,P. Mills misses 3-pt shot from 24 ft
4:22.0,Defensive rebound by W. Matthews,,71-72,,
4:09.0,D. Harris makes 2-pt shot from 16 ft,2,73-72,,
3:48.0,,,73-72,,L. Aldridge misses 2-pt shot from 11 ft
3:46.0,,,73-72,,Offensive rebound by Team
3:46.0,,,73-72,,D. Dedmon enters the game for L. Aldridge
3:41.0,,,73-72,,Offensive foul by K. Leonard
3:41.0,,,73-72,,Turnover by K. Leonard (offensive foul)
3:34.0,S. Curry misses 2-pt shot from 17 ft,,73-72,,
3:32.0,,,73-72,,Defensive rebound by K. Anderson
3:19.0,,,73-72,,K. Anderson misses 2-pt shot from 6 ft
3:17.0,Defensive rebound by H. Barnes,,73-72,,
3:03.0,H. Barnes misses 2-pt shot from 4 ft,,73-72,,
3:02.0,,,73-72,,Defensive rebound by D. Dedmon
2:55.0,,,73-72,,M. Ginobili misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by Team,,73-72,,
2:55.0,,,73-72,,Loose ball foul by D. Dedmon (drawn by S. Mejri)
2:55.0,D. Nowitzki enters the game for H. Barnes,,73-72,,
2:55.0,,,73-72,,D. Lee enters the game for K. Leonard
2:31.0,S. Curry misses 3-pt shot from 24 ft,,73-72,,
2:30.0,,,73-72,,Defensive rebound by P. Mills
2:22.0,,,73-72,,P. Mills misses 2-pt shot from 19 ft
2:21.0,,,73-72,,Offensive rebound by M. Ginobili
2:07.0,,,73-74,2,D. Lee makes 2-pt shot from 1 ft (assist by K. Anderson)
1:53.0,S. Curry makes 2-pt shot from 12 ft,2,75-74,,
1:38.0,,,75-76,2,D. Lee makes 2-pt shot from 14 ft (assist by P. Mills)
1:25.0,S. Curry makes 2-pt shot from 11 ft,2,77-76,,
1:09.0,,,77-78,2,P. Mills makes 2-pt shot from 21 ft (assist by M. Ginobili)
0:56.0,S. Curry misses 3-pt shot from 25 ft,,77-78,,
0:54.0,,,77-78,,Defensive rebound by M. Ginobili
0:46.0,,,77-78,,Turnover by M. Ginobili (bad pass)
0:46.0,D. Finney-Smith enters the game for W. Matthews,,77-78,,
0:46.0,Y. Ferrell enters the game for S. Curry,,77-78,,
0:33.0,Turnover by D. Harris (bad pass),,77-78,,
0:15.0,,,77-81,3,M. Ginobili makes 3-pt shot from 24 ft
0:09.0,,,77-81,,Personal foul by M. Ginobili (drawn by D. Harris)
0:02.0,D. Finney-Smith misses 3-pt shot from 25 ft,,77-81,,
0:01.0,,,77-81,,Defensive rebound by D. Dedmon
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,77-81,,Shooting foul by D. Harris (drawn by M. Ginobili)
11:47.0,,,77-81,,M. Ginobili misses free throw 1 of 2
11:47.0,,,77-81,,Offensive rebound by Team
11:47.0,,,77-81,,M. Ginobili misses free throw 2 of 2
11:47.0,D. Powell enters the game for S. Mejri,,77-81,,
11:46.0,Defensive rebound by D. Nowitzki,,77-81,,
11:25.0,D. Nowitzki makes 2-pt shot from 9 ft,2,79-81,,
11:15.0,,,79-81,,D. Lee misses 2-pt shot from 4 ft (block by D. Nowitzki)
11:13.0,Defensive rebound by D. Harris,,79-81,,
11:11.0,D. Finney-Smith makes 2-pt shot from 1 ft (assist by D. Harris),2,81-81,,
11:11.0,Shooting foul by K. Anderson (drawn by D. Finney-Smith),,81-81,,
11:11.0,D. Finney-Smith makes free throw 1 of 1,1,82-81,,
10:56.0,,,82-83,2,P. Mills makes 2-pt shot from 20 ft (assist by D. Lee)
10:32.0,,,82-83,,D. Green enters the game for M. Ginobili
10:32.0,,,82-83,,K. Leonard enters the game for K. Anderson
10:28.0,D. Harris misses 3-pt shot from 27 ft,,82-83,,
10:27.0,,,82-83,,Defensive rebound by K. Leonard
10:19.0,,,82-83,,K. Leonard misses 2-pt shot from 18 ft
10:17.0,,,82-83,,Offensive rebound by K. Leonard
10:16.0,,,82-83,,K. Leonard misses 2-pt shot from 12 ft
10:16.0,Defensive rebound by Team,,82-83,,
10:16.0,,,82-83,,Loose ball foul by D. Dedmon (drawn by D. Powell)
10:05.0,D. Finney-Smith misses 3-pt shot from 24 ft,,82-83,,
10:03.0,,,82-83,,Defensive rebound by P. Mills
9:54.0,,,82-83,,D. Dedmon misses 2-pt shot from 3 ft (block by D. Finney-Smith)
9:51.0,,,82-83,,Offensive rebound by P. Mills
9:48.0,,,82-83,,P. Mills misses 2-pt shot from 20 ft
9:48.0,,,82-83,,Offensive rebound by Team
9:33.0,,,82-83,,P. Mills misses 3-pt shot from 23 ft
9:32.0,Defensive rebound by D. Finney-Smith,,82-83,,
9:11.0,,,82-83,,T. Parker enters the game for P. Mills
9:09.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,85-83,,
8:50.0,,,85-83,,D. Lee misses 2-pt shot from 9 ft
8:49.0,,,85-83,,Offensive rebound by Team
8:49.0,Official timeout,,85-83,,
8:49.0,,,85-83,,L. Aldridge enters the game for D. Dedmon
8:49.0,S. Curry enters the game for D. Harris,,85-83,,
8:49.0,H. Barnes enters the game for D. Nowitzki,,85-83,,
8:47.0,,,85-85,2,K. Leonard makes 2-pt shot from 14 ft (assist by T. Parker)
8:21.0,D. Finney-Smith makes 2-pt shot at rim (assist by S. Curry),2,87-85,,
8:08.0,,,87-85,,K. Leonard misses 2-pt shot from 2 ft
8:07.0,,,87-85,,Offensive rebound by D. Lee
8:07.0,,,87-87,2,D. Lee makes 2-pt shot at rim
7:53.0,Shooting foul by D. Green (drawn by D. Powell),,87-87,,
7:53.0,D. Powell makes free throw 1 of 2,1,88-87,,
7:53.0,D. Powell makes free throw 2 of 2,1,89-87,,
7:53.0,,,88-87,,K. Anderson enters the game for K. Leonard
7:29.0,,,89-87,,L. Aldridge misses 2-pt shot from 13 ft
7:28.0,Defensive rebound by D. Powell,,89-87,,
7:14.0,H. Barnes makes 2-pt shot from 12 ft (assist by S. Curry),2,91-87,,
6:56.0,,,91-87,,Turnover by K. Anderson (bad pass)
6:37.0,S. Curry misses 2-pt shot from 10 ft,,91-87,,
6:36.0,Offensive rebound by Y. Ferrell,,91-87,,
6:27.0,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes),3,94-87,,
6:25.0,,,94-87,,San Antonio full timeout
6:25.0,,,94-87,,M. Ginobili enters the game for T. Parker
6:25.0,,,94-87,,K. Leonard enters the game for K. Anderson
6:15.0,Personal foul by D. Finney-Smith (drawn by K. Leonard),,94-87,,
6:12.0,Personal foul by S. Curry (drawn by M. Ginobili),,94-87,,
6:01.0,,,94-87,,D. Green misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by D. Finney-Smith,,94-87,,
5:40.0,H. Barnes makes 2-pt shot from 17 ft,2,96-87,,
5:27.0,,,96-87,,Turnover by L. Aldridge (lost ball; steal by S. Curry)
5:09.0,H. Barnes misses 2-pt shot from 18 ft,,96-87,,
5:08.0,,,96-87,,Defensive rebound by K. Leonard
4:56.0,,,96-90,3,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili)
4:36.0,D. Powell makes 2-pt shot from 2 ft (assist by Y. Ferrell),2,98-90,,
4:14.0,,,98-92,2,K. Leonard makes 2-pt shot from 15 ft
3:48.0,H. Barnes makes 2-pt shot from 16 ft,2,100-92,,
3:38.0,Personal block foul by D. Powell (drawn by K. Leonard),,100-92,,
3:38.0,,,100-92,,K. Anderson enters the game for D. Lee
3:38.0,Dallas full timeout,,100-92,,
3:30.0,,,100-92,,L. Aldridge misses 2-pt shot from 5 ft
3:29.0,Defensive rebound by D. Powell,,100-92,,
3:06.0,Turnover by Team (shot clock),,100-92,,
2:46.0,,,100-92,,K. Leonard misses 3-pt shot from 23 ft
