time,Oklahoma City,pts.away,score,pts.home,Miami
4:35.0,Personal foul by S. Adams,,51-32,,
4:35.0,D. Sabonis enters the game for S. Adams,,51-32,,
4:35.0,,,51-32,,U. Haslem enters the game for H. Whiteside
4:25.0,R. Westbrook makes 2-pt shot from 1 ft,2,53-32,,
3:55.0,,,53-35,3,R. McGruder makes 3-pt shot from 23 ft (assist by J. Richardson)
3:39.0,E. Kanter makes 2-pt shot from 12 ft (assist by R. Westbrook),2,55-35,,
3:19.0,,,55-37,2,T. Johnson makes 2-pt shot from 8 ft
3:02.0,J. Grant misses 3-pt shot from 24 ft,,55-37,,
3:01.0,,,55-37,,Defensive rebound by J. Winslow
2:57.0,,,55-39,2,J. Winslow makes 2-pt shot from 3 ft
2:57.0,,,55-39,,Shooting foul by D. Sabonis (drawn by J. Winslow)
2:57.0,Official timeout,,55-39,,
2:57.0,,,55-40,1,J. Winslow makes free throw 1 of 1
2:40.0,E. Kanter makes 2-pt shot from 2 ft,2,57-40,,
2:21.0,,,57-42,2,R. McGruder makes 2-pt shot from 8 ft
1:58.0,D. Sabonis makes 2-pt shot from 7 ft,2,59-42,,
1:33.0,,,59-42,,J. Winslow misses 2-pt shot from 20 ft
1:32.0,Defensive rebound by R. Westbrook,,59-42,,
1:20.0,R. Westbrook makes 2-pt shot from 18 ft,2,61-42,,
0:50.0,,,61-45,3,J. Richardson makes 3-pt shot from 26 ft
0:29.0,D. Sabonis misses 2-pt shot from 3 ft,,61-45,,
0:28.0,,,61-45,,Defensive rebound by J. Richardson
0:07.0,,,61-48,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow)
0:01.0,J. Grant misses 3-pt shot from 24 ft,,61-48,,
0:00.0,Offensive rebound by Team,,61-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by A. Roberson (lost ball; steal by D. Williams),,61-48,,
11:24.0,,,61-48,,J. Richardson misses 2-pt shot from 2 ft (block by S. Adams)
11:23.0,,,61-48,,Offensive rebound by H. Whiteside
11:21.0,,,61-48,,H. Whiteside misses 2-pt shot from 5 ft
11:20.0,Defensive rebound by R. Westbrook,,61-48,,
11:12.0,R. Westbrook misses 2-pt shot from 19 ft,,61-48,,
11:11.0,,,61-48,,Defensive rebound by D. Williams
10:55.0,,,61-48,,J. Winslow misses 2-pt shot from 2 ft (block by S. Adams)
10:54.0,Defensive rebound by S. Adams,,61-48,,
10:50.0,Shooting foul by J. Richardson (drawn by R. Westbrook),,61-48,,
10:50.0,R. Westbrook makes free throw 1 of 2,1,62-48,,
10:50.0,R. Westbrook makes free throw 2 of 2,1,63-48,,
10:33.0,,,63-51,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Richardson)
10:13.0,S. Adams makes 2-pt shot from 5 ft,2,65-51,,
9:58.0,,,65-51,,Offensive foul by H. Whiteside
9:58.0,,,65-51,,Turnover by H. Whiteside (offensive foul)
9:45.0,Turnover by S. Adams (bad pass),,65-51,,
9:30.0,,,65-53,2,J. Richardson makes 2-pt shot from 19 ft (assist by J. Winslow)
9:12.0,A. Morrow makes 2-pt shot from 20 ft (assist by R. Westbrook),2,67-53,,
8:54.0,,,67-53,,Turnover by J. Winslow (bad pass)
8:42.0,D. Sabonis misses 3-pt shot from 24 ft,,67-53,,
8:41.0,Offensive rebound by S. Adams,,67-53,,
8:34.0,A. Morrow makes 3-pt shot from 25 ft (assist by S. Adams),3,70-53,,
8:17.0,,,70-55,2,D. Williams makes 2-pt shot from 12 ft
8:05.0,Shooting foul by J. Richardson (drawn by A. Morrow),,70-55,,
8:05.0,A. Morrow makes free throw 1 of 2,1,71-55,,
8:05.0,A. Morrow makes free throw 2 of 2,1,72-55,,
8:05.0,,,71-55,,W. Reed enters the game for H. Whiteside
7:45.0,,,72-57,2,W. Reed makes 2-pt shot from 16 ft
7:32.0,R. Westbrook misses 2-pt shot from 7 ft,,72-57,,
7:31.0,,,72-57,,Defensive rebound by W. Reed
7:19.0,,,72-59,2,W. Reed makes 2-pt shot from 4 ft (assist by J. Winslow)
7:02.0,A. Roberson misses 2-pt shot from 11 ft,,72-59,,
7:01.0,,,72-59,,Defensive rebound by Team
7:01.0,Loose ball foul by S. Adams (drawn by W. Reed),,72-59,,
7:01.0,E. Kanter enters the game for D. Sabonis,,72-59,,
6:52.0,Personal foul by A. Roberson (drawn by W. Reed),,72-59,,
6:52.0,D. Sabonis enters the game for S. Adams,,72-59,,
6:43.0,,,72-59,,R. McGruder misses 3-pt shot from 25 ft
6:42.0,,,72-59,,Offensive rebound by W. Reed
6:40.0,,,72-59,,W. Reed misses 2-pt shot from 4 ft
6:39.0,Defensive rebound by R. Westbrook,,72-59,,
6:32.0,D. Sabonis misses 3-pt shot from 24 ft,,72-59,,
6:31.0,Offensive rebound by E. Kanter,,72-59,,
6:30.0,E. Kanter misses 2-pt shot from 1 ft,,72-59,,
6:29.0,Offensive rebound by E. Kanter,,72-59,,
6:28.0,E. Kanter misses 2-pt shot from 2 ft (block by W. Reed),,72-59,,
6:27.0,,,72-59,,Defensive rebound by W. Reed
6:18.0,,,72-59,,Offensive foul by W. Reed
6:18.0,,,72-59,,Turnover by W. Reed (offensive foul)
6:18.0,Oklahoma City full timeout,,72-59,,
6:09.0,,,72-59,,Personal foul by R. McGruder (drawn by A. Morrow)
6:02.0,R. Westbrook makes 2-pt shot from 2 ft (assist by E. Kanter),2,74-59,,
5:41.0,,,74-59,,J. Winslow misses 2-pt shot from 16 ft
5:40.0,Defensive rebound by A. Roberson,,74-59,,
5:37.0,Turnover by R. Westbrook (bad pass),,74-59,,
5:24.0,,,74-61,2,J. Richardson makes 2-pt shot from 23 ft
5:12.0,E. Kanter misses 2-pt shot from 1 ft (block by W. Reed),,74-61,,
5:11.0,Offensive rebound by E. Kanter,,74-61,,
5:10.0,,,74-61,,Personal foul by W. Reed (drawn by E. Kanter)
5:10.0,J. Grant enters the game for D. Sabonis,,74-61,,
4:56.0,R. Westbrook misses 2-pt shot from 18 ft,,74-61,,
4:55.0,,,74-61,,Defensive rebound by W. Reed
4:42.0,,,74-61,,J. Richardson misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by Team,,74-61,,
4:31.0,R. Westbrook misses 3-pt shot from 26 ft,,74-61,,
4:30.0,,,74-61,,Defensive rebound by Team
4:30.0,Loose ball foul by E. Kanter (drawn by W. Reed),,74-61,,
4:30.0,,,74-61,,T. Johnson enters the game for D. Williams
4:06.0,,,74-63,2,W. Reed makes 2-pt shot from 6 ft
3:52.0,A. Morrow makes 2-pt shot from 5 ft,2,76-63,,
3:39.0,,,76-65,2,T. Johnson makes 2-pt shot from 7 ft
3:19.0,J. Grant misses 3-pt shot from 25 ft,,76-65,,
3:18.0,,,76-65,,Defensive rebound by T. Johnson
3:09.0,,,76-65,,W. Reed misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by R. Westbrook,,76-65,,
3:02.0,Shooting foul by J. Winslow (drawn by E. Kanter),,76-65,,
3:02.0,E. Kanter misses free throw 1 of 2,,76-65,,
3:02.0,Offensive rebound by Team,,76-65,,
3:02.0,E. Kanter makes free throw 2 of 2,1,77-65,,
3:02.0,,,76-65,,W. Ellington enters the game for R. McGruder
3:02.0,A. Abrines enters the game for A. Morrow,,76-65,,
2:46.0,,,77-65,,T. Johnson misses 2-pt shot from 9 ft
2:45.0,Defensive rebound by R. Westbrook,,77-65,,
2:39.0,R. Westbrook makes 2-pt shot from 4 ft,2,79-65,,
2:39.0,,,79-65,,Miami full timeout
2:39.0,S. Christon enters the game for R. Westbrook,,79-65,,
2:39.0,,,79-65,,J. Johnson enters the game for J. Winslow
2:21.0,,,79-65,,J. Richardson misses 3-pt shot from 26 ft
2:20.0,Defensive rebound by A. Roberson,,79-65,,
2:07.0,A. Abrines misses 3-pt shot from 25 ft,,79-65,,
2:06.0,,,79-65,,Defensive rebound by W. Reed
1:49.0,,,79-65,,Shooting foul by S. Christon (drawn by T. Johnson)
1:49.0,,,79-66,1,T. Johnson makes free throw 1 of 2
1:49.0,,,79-67,1,T. Johnson makes free throw 2 of 2
1:49.0,J. Lauvergne enters the game for A. Roberson,,79-66,,
1:24.0,E. Kanter makes 2-pt shot from 5 ft,2,81-67,,
1:10.0,,,81-67,,J. Richardson misses 2-pt shot from 8 ft
1:09.0,,,81-67,,Offensive rebound by Team
1:01.0,,,81-67,,T. Johnson misses 2-pt shot from 9 ft
1:01.0,Defensive rebound by S. Christon,,81-67,,
0:56.0,A. Abrines makes 3-pt shot from 24 ft (assist by S. Christon),3,84-67,,
0:33.0,,,84-67,,W. Reed misses 2-pt shot from 7 ft
0:32.0,,,84-67,,Offensive rebound by Team
0:32.0,,,84-67,,Turnover by Team (shot clock)
0:10.0,A. Abrines makes 3-pt shot from 25 ft,3,87-67,,
0:04.0,,,87-69,2,J. Johnson makes 2-pt shot from 13 ft
0:02.0,Turnover by E. Kanter (bad pass),,87-69,,
0:01.0,,,87-69,,J. Johnson misses 3-pt shot from 41 ft
0:00.0,,,87-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Personal foul by J. Grant (drawn by H. Whiteside),,87-69,,
11:33.0,,,87-69,,W. Ellington misses 3-pt shot from 26 ft
11:32.0,,,87-69,,Offensive rebound by H. Whiteside
11:29.0,,,87-71,2,H. Whiteside makes 2-pt shot from 6 ft
11:14.0,A. Abrines makes 2-pt shot from 8 ft (assist by S. Christon),2,89-71,,
10:59.0,,,89-71,,Shooting foul by J. Grant (drawn by H. Whiteside)
10:59.0,,,89-72,1,H. Whiteside makes free throw 1 of 2
10:59.0,,,89-73,1,H. Whiteside makes free throw 2 of 2
10:38.0,E. Kanter misses 2-pt shot from 6 ft,,89-73,,
10:37.0,,,89-73,,Defensive rebound by J. Johnson
10:28.0,,,89-76,3,T. Johnson makes 3-pt shot from 25 ft
10:28.0,Oklahoma City full timeout,,89-76,,
10:14.0,E. Kanter makes 2-pt shot from 5 ft (assist by J. Lauvergne),2,91-76,,
9:58.0,,,91-78,2,J. Johnson makes 2-pt shot at rim (assist by H. Whiteside)
9:33.0,A. Abrines makes 3-pt shot from 26 ft (assist by E. Kanter),3,94-78,,
9:05.0,,,94-81,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Johnson)
8:48.0,,,94-81,,Personal foul by J. Johnson (drawn by E. Kanter)
8:48.0,R. Westbrook enters the game for S. Christon,,94-81,,
8:39.0,Turnover by E. Kanter (lost ball),,94-81,,
8:39.0,D. Sabonis enters the game for J. Lauvergne,,94-81,,
8:18.0,,,94-81,,Turnover by H. Whiteside (lost ball; steal by E. Kanter)
8:11.0,R. Westbrook misses 2-pt shot from 2 ft (block by T. Johnson),,94-81,,
8:10.0,,,94-81,,Defensive rebound by J. Johnson
8:08.0,S. Adams enters the game for E. Kanter,,94-81,,
8:08.0,,,94-81,,Miami full timeout
7:57.0,,,94-81,,W. Ellington misses 3-pt shot from 25 ft
7:56.0,,,94-81,,Offensive rebound by Team
7:56.0,Loose ball foul by J. Grant (drawn by J. Johnson),,94-81,,
7:56.0,A. Roberson enters the game for J. Grant,,94-81,,
7:51.0,,,94-81,,Offensive foul by J. Johnson
7:51.0,,,94-81,,Turnover by J. Johnson (offensive foul)
7:44.0,Offensive foul by S. Adams,,94-81,,
7:44.0,Turnover by S. Adams (offensive foul),,94-81,,
7:28.0,,,94-81,,H. Whiteside misses 2-pt shot from 8 ft
7:27.0,Defensive rebound by R. Westbrook,,94-81,,
7:23.0,R. Westbrook misses 2-pt shot from 17 ft,,94-81,,
7:22.0,Offensive rebound by Team,,94-81,,
7:22.0,,,94-81,,Personal foul by T. Johnson (drawn by S. Adams)
7:22.0,,,94-81,,J. Winslow enters the game for W. Ellington
7:22.0,E. Kanter enters the game for S. Adams,,94-81,,
7:15.0,R. Westbrook makes 2-pt shot from 18 ft,2,96-81,,
7:03.0,,,96-81,,J. Johnson misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by R. Westbrook,,96-81,,
6:58.0,R. Westbrook misses 2-pt shot from 1 ft,,96-81,,
6:57.0,,,96-81,,Defensive rebound by H. Whiteside
6:41.0,,,96-83,2,H. Whiteside makes 2-pt shot from 17 ft
6:26.0,A. Abrines misses 3-pt shot from 26 ft,,96-83,,
6:25.0,,,96-83,,Defensive rebound by J. Winslow
6:14.0,,,96-85,2,J. Johnson makes 2-pt shot from 3 ft
6:00.0,E. Kanter misses 2-pt shot from 2 ft (block by J. Winslow),,96-85,,
5:59.0,Offensive rebound by E. Kanter,,96-85,,
5:58.0,Turnover by E. Kanter (lost ball; steal by T. Johnson),,96-85,,
5:49.0,,,96-85,,T. Johnson misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by D. Sabonis,,96-85,,
5:48.0,Oklahoma City full timeout,,96-85,,
5:48.0,,,96-85,,J. Richardson enters the game for T. Johnson
5:35.0,R. Westbrook makes 2-pt shot from 13 ft,2,98-85,,
5:16.0,Personal foul by A. Roberson (drawn by J. Richardson),,98-85,,
5:04.0,,,98-87,2,J. Johnson makes 2-pt shot at rim
4:47.0,R. Westbrook misses 2-pt shot from 19 ft,,98-87,,
4:46.0,Offensive rebound by E. Kanter,,98-87,,
4:45.0,Shooting foul by J. Richardson (drawn by E. Kanter),,98-87,,
4:45.0,E. Kanter misses free throw 1 of 2,,98-87,,
4:45.0,Offensive rebound by Team,,98-87,,
4:45.0,E. Kanter misses free throw 2 of 2,,98-87,,
4:44.0,,,98-87,,Defensive rebound by H. Whiteside
4:27.0,,,98-87,,J. Winslow misses 2-pt shot from 8 ft
4:26.0,Defensive rebound by R. Westbrook,,98-87,,
4:23.0,Shooting foul by J. Johnson (drawn by R. Westbrook),,98-87,,
4:23.0,R. Westbrook makes free throw 1 of 2,1,99-87,,
4:23.0,R. Westbrook makes free throw 2 of 2,1,100-87,,
4:10.0,,,100-89,2,J. Richardson makes 2-pt shot from 19 ft (assist by J. Johnson)
3:54.0,E. Kanter misses 2-pt shot from 18 ft,,100-89,,
3:53.0,Offensive rebound by D. Sabonis,,100-89,,
3:42.0,R. Westbrook makes 2-pt shot from 17 ft,2,102-89,,
3:32.0,,,102-89,,J. Winslow misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by D. Sabonis,,102-89,,
3:16.0,Turnover by R. Westbrook (bad pass; steal by J. Johnson),,102-89,,
3:10.0,Personal foul by A. Abrines (drawn by H. Whiteside),,102-89,,
3:10.0,,,102-89,,H. Whiteside misses free throw 1 of 2
3:10.0,,,102-89,,Offensive rebound by Team
3:10.0,,,102-90,1,H. Whiteside makes free throw 2 of 2
3:10.0,S. Adams enters the game for D. Sabonis,,102-89,,
3:07.0,,,102-90,,Personal take foul by J. Winslow (drawn by A. Roberson)
3:07.0,A. Roberson makes free throw 1 of 2,1,103-90,,
3:07.0,A. Roberson misses free throw 2 of 2,,103-90,,
3:07.0,,,103-90,,T. Johnson enters the game for R. McGruder
3:06.0,,,103-90,,Defensive rebound by H. Whiteside
