time,New Orleans,pts.away,score,pts.home,Atlanta
10:41.0,T. Jones makes 2-pt shot from 2 ft,2,40-18,,
10:41.0,,,40-18,,Atlanta full timeout
10:41.0,,,40-18,,K. Korver enters the game for T. Hardaway
10:21.0,,,40-18,,M. Delaney misses 2-pt shot at rim
10:20.0,Defensive rebound by L. Galloway,,40-18,,
10:16.0,J. Holiday makes 2-pt shot from 1 ft,2,42-18,,
10:16.0,Shooting foul by K. Korver (drawn by J. Holiday),,42-18,,
10:16.0,J. Holiday makes free throw 1 of 1,1,43-18,,
10:11.0,Personal foul by L. Galloway (drawn by M. Delaney),,43-18,,
10:11.0,,,43-18,,K. Bazemore enters the game for K. Humphries
9:58.0,,,43-18,,Turnover by K. Bazemore (bad pass)
9:41.0,L. Galloway makes 3-pt shot from 25 ft (assist by J. Holiday),3,46-18,,
9:31.0,,,46-18,,D. Schroder enters the game for M. Delaney
9:24.0,,,46-18,,K. Bazemore misses 2-pt shot from 14 ft
9:23.0,Defensive rebound by J. Holiday,,46-18,,
9:14.0,Shooting foul by D. Howard (drawn by T. Jones),,46-18,,
9:14.0,T. Jones misses free throw 1 of 2,,46-18,,
9:14.0,Offensive rebound by Team,,46-18,,
9:14.0,T. Jones makes free throw 2 of 2,1,47-18,,
9:05.0,Personal foul by J. Holiday (drawn by D. Schroder),,47-18,,
8:57.0,,,47-18,,T. Sefolosha misses 2-pt shot from 17 ft
8:56.0,,,47-18,,Offensive rebound by K. Bazemore
8:56.0,,,47-18,,Shooting foul by O. Asik (drawn by K. Bazemore)
8:56.0,,,47-18,,K. Bazemore misses free throw 1 of 2
8:56.0,,,47-18,,Offensive rebound by Team
8:56.0,,,47-19,1,K. Bazemore makes free throw 2 of 2
8:56.0,T. Frazier enters the game for J. Holiday,,47-18,,
8:49.0,,,47-19,,P. Millsap enters the game for D. Howard
8:40.0,L. Galloway misses 2-pt shot from 22 ft,,47-19,,
8:39.0,Offensive rebound by O. Asik,,47-19,,
8:39.0,O. Asik makes 2-pt shot at rim,2,49-19,,
8:25.0,,,49-21,2,D. Schroder makes 2-pt shot from 15 ft
8:09.0,T. Jones makes 2-pt shot from 9 ft (assist by T. Frazier),2,51-21,,
7:54.0,,,51-24,3,P. Millsap makes 3-pt shot from 23 ft (assist by D. Schroder)
7:42.0,T. Frazier misses 2-pt shot from 3 ft,,51-24,,
7:41.0,,,51-24,,Defensive rebound by P. Millsap
7:31.0,,,51-26,2,T. Sefolosha makes 2-pt shot from 15 ft (assist by K. Korver)
7:25.0,New Orleans full timeout,,51-26,,
7:25.0,D. Cunningham enters the game for T. Jones,,51-26,,
7:25.0,A. Brown enters the game for O. Asik,,51-26,,
7:06.0,S. Hill makes 3-pt shot from 25 ft (assist by L. Galloway),3,54-26,,
6:52.0,,,54-28,2,D. Schroder makes 2-pt shot from 2 ft
6:34.0,Shooting foul by D. Schroder (drawn by T. Frazier),,54-28,,
6:34.0,T. Frazier makes free throw 1 of 2,1,55-28,,
6:34.0,T. Frazier makes free throw 2 of 2,1,56-28,,
6:18.0,,,56-30,2,P. Millsap makes 2-pt shot from 2 ft
6:17.0,Turnover by T. Frazier (traveling),,56-30,,
6:17.0,,,56-30,,M. Muscala enters the game for T. Sefolosha
6:07.0,,,56-32,2,P. Millsap makes 2-pt shot from 17 ft
5:47.0,Turnover by A. Brown (lost ball),,56-32,,
5:44.0,,,56-32,,Shooting foul by T. Frazier (drawn by D. Schroder)
5:44.0,,,56-32,,D. Schroder misses free throw 1 of 2
5:44.0,,,56-32,,Offensive rebound by Team
5:44.0,,,56-33,1,D. Schroder makes free throw 2 of 2
5:44.0,E. Moore enters the game for L. Galloway,,56-32,,
5:44.0,T. Jones enters the game for D. Cunningham,,56-32,,
5:20.0,T. Frazier misses 3-pt shot from 27 ft,,56-33,,
5:19.0,,,56-33,,Defensive rebound by M. Muscala
5:08.0,,,56-33,,Turnover by P. Millsap (lost ball; steal by A. Brown)
4:59.0,E. Moore misses 2-pt shot from 15 ft,,56-33,,
4:58.0,,,56-33,,Defensive rebound by P. Millsap
4:52.0,,,56-33,,Turnover by K. Bazemore (lost ball)
4:40.0,T. Jones misses 2-pt shot from 6 ft,,56-33,,
4:39.0,,,56-33,,Defensive rebound by M. Muscala
4:31.0,,,56-33,,D. Schroder misses 2-pt shot from 2 ft (block by A. Brown)
4:29.0,Defensive rebound by T. Jones,,56-33,,
4:11.0,T. Frazier makes 2-pt shot from 4 ft,2,58-33,,
3:59.0,,,58-33,,Shooting foul by S. Hill (drawn by M. Muscala)
3:59.0,,,58-34,1,M. Muscala makes free throw 1 of 2
3:59.0,,,58-35,1,M. Muscala makes free throw 2 of 2
3:59.0,O. Asik enters the game for S. Hill,,58-34,,
3:59.0,,,58-34,,T. Sefolosha enters the game for K. Bazemore
3:59.0,,,58-34,,D. Howard enters the game for P. Millsap
3:37.0,,,58-35,,Personal foul by M. Muscala (drawn by T. Jones)
3:30.0,E. Moore misses 3-pt shot from 24 ft,,58-35,,
3:29.0,,,58-35,,Defensive rebound by D. Howard
3:16.0,,,58-38,3,D. Schroder makes 3-pt shot from 25 ft
3:06.0,T. Frazier makes 2-pt shot from 19 ft,2,60-38,,
2:54.0,,,60-40,2,K. Korver makes 2-pt shot from 18 ft (assist by D. Schroder)
2:42.0,T. Frazier misses 2-pt shot from 5 ft (block by D. Howard),,60-40,,
2:41.0,,,60-40,,Defensive rebound by D. Schroder
2:37.0,,,60-42,2,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder)
2:22.0,New Orleans full timeout,,60-42,,
2:22.0,Official timeout,,60-42,,
2:22.0,J. Holiday enters the game for A. Brown,,60-42,,
2:09.0,T. Jones misses 2-pt shot from 9 ft,,60-42,,
2:08.0,,,60-42,,Defensive rebound by M. Muscala
1:57.0,,,60-44,2,T. Sefolosha makes 2-pt shot from 18 ft (assist by M. Muscala)
1:40.0,J. Holiday makes 2-pt shot from 20 ft,2,62-44,,
1:24.0,,,62-44,,T. Sefolosha misses 2-pt shot from 7 ft
1:23.0,Defensive rebound by T. Jones,,62-44,,
1:10.0,J. Holiday makes 2-pt shot from 1 ft,2,64-44,,
0:48.0,,,64-44,,Turnover by M. Muscala (bad pass; steal by T. Frazier)
0:40.0,T. Jones makes 2-pt shot from 1 ft (assist by T. Frazier),2,66-44,,
0:40.0,,,66-44,,Atlanta full timeout
0:31.0,,,66-44,,D. Schroder misses 2-pt shot from 21 ft
0:29.0,Defensive rebound by T. Jones,,66-44,,
0:07.0,O. Asik misses 2-pt shot from 9 ft (block by D. Howard),,66-44,,
0:06.0,,,66-44,,Defensive rebound by D. Schroder
0:02.0,,,66-44,,T. Sefolosha misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by O. Asik,,66-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Jones misses 3-pt shot from 24 ft,,66-44,,
11:45.0,,,66-44,,Defensive rebound by D. Howard
11:40.0,,,66-44,,Shooting foul by T. Jones (drawn by P. Millsap)
11:40.0,,,66-44,,P. Millsap misses free throw 1 of 2
11:40.0,,,66-44,,Offensive rebound by Team
11:40.0,,,66-45,1,P. Millsap makes free throw 2 of 2
11:31.0,E. Moore makes 3-pt shot from 25 ft (assist by T. Frazier),3,69-45,,
11:17.0,,,69-45,,Turnover by K. Korver (bad pass; steal by E. Moore)
11:12.0,D. Cunningham makes 2-pt shot at rim (assist by T. Frazier),2,71-45,,
11:00.0,,,71-47,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
10:49.0,,,71-47,,Personal foul by P. Millsap (drawn by O. Asik)
10:34.0,T. Jones misses 3-pt shot from 25 ft,,71-47,,
10:33.0,,,71-47,,Defensive rebound by D. Howard
10:23.0,,,71-49,2,P. Millsap makes 2-pt shot from 12 ft
10:00.0,D. Cunningham misses 2-pt shot from 22 ft,,71-49,,
9:57.0,Offensive rebound by Team,,71-49,,
9:54.0,D. Cunningham makes 3-pt shot from 22 ft (assist by T. Frazier),3,74-49,,
9:36.0,,,74-52,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
9:27.0,Shooting foul by P. Millsap (drawn by T. Frazier),,74-52,,
9:27.0,T. Frazier makes free throw 1 of 2,1,75-52,,
9:27.0,T. Frazier makes free throw 2 of 2,1,76-52,,
9:19.0,,,76-52,,K. Bazemore misses 2-pt shot from 22 ft
9:17.0,Defensive rebound by T. Jones,,76-52,,
9:09.0,T. Jones makes 2-pt shot from 22 ft (assist by E. Moore),2,78-52,,
8:59.0,Personal foul by O. Asik (drawn by D. Howard),,78-52,,
8:48.0,,,78-52,,P. Millsap misses 3-pt shot from 25 ft
8:46.0,,,78-52,,Offensive rebound by D. Howard
8:44.0,,,78-52,,D. Howard misses 2-pt shot from 2 ft
8:43.0,Defensive rebound by O. Asik,,78-52,,
8:24.0,E. Moore makes 2-pt shot from 8 ft (assist by T. Frazier),2,80-52,,
8:10.0,,,80-52,,K. Bazemore misses 3-pt shot from 23 ft
8:09.0,,,80-52,,Offensive rebound by D. Howard
8:05.0,,,80-52,,D. Schroder misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by E. Moore,,80-52,,
7:59.0,,,80-52,,Personal block foul by P. Millsap (drawn by T. Jones)
7:46.0,Shooting foul by D. Howard (drawn by O. Asik),,80-52,,
7:46.0,O. Asik makes free throw 1 of 2,1,81-52,,
7:46.0,O. Asik makes free throw 2 of 2,1,82-52,,
7:46.0,,,81-52,,T. Sefolosha enters the game for D. Howard
7:24.0,,,82-52,,K. Bazemore misses 3-pt shot from 26 ft
7:24.0,Defensive rebound by Team,,82-52,,
7:24.0,J. Holiday enters the game for O. Asik,,82-52,,
7:14.0,E. Moore makes 2-pt shot from 8 ft,2,84-52,,
7:14.0,,,84-52,,Atlanta full timeout
7:14.0,,,84-52,,T. Hardaway enters the game for K. Bazemore
6:59.0,Personal block foul by D. Cunningham (drawn by D. Schroder),,84-52,,
6:47.0,,,84-52,,Turnover by T. Sefolosha (bad pass; steal by J. Holiday)
6:34.0,T. Frazier makes 3-pt shot from 23 ft,3,87-52,,
6:20.0,,,87-54,2,D. Schroder makes 2-pt shot from 2 ft
5:52.0,T. Frazier misses 2-pt shot from 8 ft,,87-54,,
5:51.0,,,87-54,,Defensive rebound by P. Millsap
5:40.0,,,87-57,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder)
5:13.0,J. Holiday misses 2-pt shot from 22 ft,,87-57,,
5:11.0,,,87-57,,Defensive rebound by K. Korver
5:06.0,,,87-57,,D. Schroder misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by T. Jones,,87-57,,
4:55.0,T. Frazier makes 3-pt shot from 25 ft,3,90-57,,
4:45.0,Violation by T. Jones (kicked ball),,90-57,,
4:45.0,L. Galloway enters the game for T. Frazier,,90-57,,
4:45.0,,,90-57,,T. Waller-Prince enters the game for K. Korver
4:39.0,,,90-57,,T. Hardaway misses 3-pt shot from 24 ft
4:38.0,Defensive rebound by E. Moore,,90-57,,
4:24.0,D. Cunningham misses 2-pt shot from 2 ft (block by P. Millsap),,90-57,,
4:21.0,,,90-57,,Defensive rebound by P. Millsap
4:06.0,,,90-59,2,D. Schroder makes 2-pt shot from 2 ft
3:56.0,J. Holiday misses 3-pt shot from 24 ft,,90-59,,
3:54.0,,,90-59,,Defensive rebound by P. Millsap
3:44.0,,,90-62,3,T. Hardaway makes 3-pt shot from 23 ft (assist by D. Schroder)
3:25.0,T. Jones misses 2-pt shot from 10 ft,,90-62,,
3:23.0,,,90-62,,Defensive rebound by D. Schroder
3:18.0,,,90-62,,T. Hardaway misses 2-pt shot from 2 ft (block by D. Cunningham)
3:16.0,Defensive rebound by D. Cunningham,,90-62,,
3:12.0,New Orleans full timeout,,90-62,,
3:12.0,,,90-62,,M. Muscala enters the game for P. Millsap
3:12.0,,,90-62,,M. Delaney enters the game for D. Schroder
3:12.0,B. Hield enters the game for E. Moore,,90-62,,
3:12.0,S. Hill enters the game for T. Jones,,90-62,,
2:57.0,D. Cunningham makes 2-pt shot from 22 ft (assist by L. Galloway),2,92-62,,
2:43.0,Personal foul by B. Hield (drawn by M. Delaney),,92-62,,
2:30.0,,,92-64,2,M. Muscala makes 2-pt shot from 17 ft (assist by T. Sefolosha)
2:09.0,J. Holiday misses 2-pt shot from 11 ft,,92-64,,
2:08.0,,,92-64,,Defensive rebound by M. Muscala
2:02.0,,,92-66,2,T. Hardaway makes 2-pt shot from 2 ft
1:44.0,L. Galloway misses 3-pt shot from 25 ft,,92-66,,
1:42.0,,,92-66,,Defensive rebound by T. Sefolosha
1:26.0,,,92-68,2,M. Delaney makes 2-pt shot from 2 ft
1:04.0,S. Hill misses 2-pt shot from 4 ft (block by T. Hardaway),,92-68,,
1:02.0,,,92-68,,Defensive rebound by T. Hardaway
1:00.0,,,92-68,,Turnover by T. Hardaway (lost ball; steal by L. Galloway)
0:57.0,S. Hill makes 3-pt shot from 25 ft (assist by L. Galloway),3,95-68,,
0:40.0,,,95-71,3,T. Hardaway makes 3-pt shot from 25 ft
0:15.0,J. Holiday misses 2-pt shot from 2 ft,,95-71,,
0:12.0,,,95-71,,Defensive rebound by T. Sefolosha
0:02.0,,,95-71,,M. Delaney misses 2-pt shot from 21 ft
0:01.0,,,95-71,,Offensive rebound by M. Muscala
0:00.0,,,95-71,,M. Muscala misses 2-pt shot from 21 ft
0:00.0,,,95-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Personal foul by L. Galloway (drawn by M. Delaney),,95-71,,
11:42.0,,,95-71,,D. Bembry misses 2-pt shot from 3 ft (block by A. Davis)
11:39.0,Defensive rebound by B. Hield,,95-71,,
11:21.0,L. Galloway misses 3-pt shot from 25 ft,,95-71,,
11:19.0,,,95-71,,Defensive rebound by K. Humphries
11:02.0,,,95-73,2,M. Delaney makes 2-pt shot from 4 ft
10:45.0,B. Hield misses 3-pt shot from 25 ft,,95-73,,
10:43.0,,,95-73,,Defensive rebound by M. Delaney
10:23.0,,,95-73,,T. Waller-Prince misses 3-pt shot from 22 ft (block by J. Holiday)
10:23.0,,,95-73,,Offensive rebound by Team
10:20.0,,,95-75,2,T. Hardaway makes 2-pt shot from 16 ft (assist by D. Bembry)
10:09.0,J. Holiday makes 2-pt shot from 15 ft (assist by B. Hield),2,97-75,,
9:53.0,,,97-77,2,M. Delaney makes 2-pt shot from 1 ft
9:37.0,A. Davis misses 2-pt shot from 21 ft,,97-77,,
9:35.0,,,97-77,,Defensive rebound by T. Waller-Prince
9:21.0,,,97-79,2,T. Waller-Prince makes 2-pt shot from 19 ft
9:20.0,New Orleans full timeout,,97-79,,
9:20.0,E. Moore enters the game for L. Galloway,,97-79,,
9:20.0,T. Frazier enters the game for B. Hield,,97-79,,
8:56.0,A. Davis misses 3-pt shot from 25 ft,,97-79,,
8:55.0,,,97-79,,Defensive rebound by M. Delaney
8:44.0,,,97-79,,T. Hardaway misses 2-pt shot from 11 ft (block by A. Davis)
8:42.0,Defensive rebound by E. Moore,,97-79,,
8:38.0,E. Moore misses 2-pt shot from 1 ft,,97-79,,
8:36.0,,,97-79,,Defensive rebound by D. Bembry
8:17.0,,,97-79,,M. Delaney misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by T. Frazier,,97-79,,
8:05.0,J. Holiday makes 2-pt shot from 3 ft (assist by T. Frazier),2,99-79,,
7:48.0,,,99-79,,K. Humphries misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by S. Hill,,99-79,,
7:36.0,A. Davis makes 2-pt shot from 19 ft (assist by T. Frazier),2,101-79,,
7:17.0,,,101-79,,R. Kelly enters the game for T. Hardaway
7:17.0,,,101-79,,K. Korver enters the game for M. Delaney
7:17.0,D. Cunningham enters the game for E. Moore,,101-79,,
7:14.0,,,101-82,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by K. Korver)
6:52.0,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Frazier),2,103-82,,
6:39.0,,,103-82,,T. Waller-Prince misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by J. Holiday,,103-82,,
6:25.0,A. Davis makes 2-pt shot from 21 ft (assist by T. Frazier),2,105-82,,
6:13.0,,,105-82,,R. Kelly misses 2-pt shot from 7 ft
6:11.0,Defensive rebound by S. Hill,,105-82,,
6:03.0,A. Davis misses 2-pt shot from 21 ft,,105-82,,
6:02.0,,,105-82,,Defensive rebound by R. Kelly
5:49.0,,,105-82,,D. Bembry misses 2-pt shot from 4 ft (block by D. Cunningham)
5:49.0,,,105-82,,Offensive rebound by Team
5:49.0,Official timeout,,105-82,,
5:49.0,Violation by Team (jump ball),,105-82,,
5:44.0,,,105-84,2,T. Waller-Prince makes 2-pt shot from 13 ft (assist by D. Bembry)
5:22.0,S. Hill makes 2-pt shot from 7 ft,2,107-84,,
5:11.0,,,107-84,,R. Kelly misses 2-pt shot from 14 ft
5:09.0,Defensive rebound by J. Holiday,,107-84,,
4:48.0,A. Davis misses 2-pt shot from 17 ft,,107-84,,
4:47.0,,,107-84,,Defensive rebound by K. Korver
4:38.0,,,107-84,,D. Bembry misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by S. Hill,,107-84,,
4:24.0,Turnover by J. Holiday (traveling),,107-84,,
4:24.0,,,107-84,,M. Delaney enters the game for K. Humphries
4:12.0,,,107-84,,M. Delaney misses 2-pt shot from 22 ft
4:09.0,Defensive rebound by D. Cunningham,,107-84,,
3:57.0,A. Davis misses 2-pt shot from 2 ft (block by R. Kelly),,107-84,,
3:55.0,Offensive rebound by A. Davis,,107-84,,
3:52.0,J. Holiday makes 2-pt shot from 2 ft,2,109-84,,
3:42.0,,,109-86,2,D. Bembry makes 2-pt shot from 2 ft (assist by K. Korver)
3:31.0,J. Holiday misses 2-pt shot from 21 ft,,109-86,,
3:29.0,,,109-86,,Defensive rebound by R. Kelly
3:23.0,,,109-89,3,K. Korver makes 3-pt shot from 24 ft (assist by R. Kelly)
3:08.0,A. Davis makes 2-pt shot from 5 ft (assist by T. Frazier),2,111-89,,
3:08.0,Shooting foul by M. Delaney (drawn by A. Davis),,111-89,,
3:08.0,A. Davis makes free throw 1 of 1,1,112-89,,
2:47.0,,,112-89,,Turnover by T. Waller-Prince (bad pass; steal by T. Frazier)
2:45.0,,,112-89,,Violation by T. Waller-Prince (kicked ball)
2:45.0,,,112-89,,Atlanta full timeout
2:45.0,,,112-89,,K. Humphries enters the game for K. Korver
2:45.0,L. Galloway enters the game for D. Cunningham,,112-89,,
2:45.0,T. Jones enters the game for A. Davis,,112-89,,
2:45.0,A. Brown enters the game for J. Holiday,,112-89,,
2:34.0,S. Hill misses 3-pt shot from 24 ft,,112-89,,
2:33.0,Offensive rebound by A. Brown,,112-89,,
2:31.0,Turnover by A. Brown (back court),,112-89,,
2:25.0,Personal foul by A. Brown (drawn by T. Waller-Prince),,112-89,,
2:25.0,B. Hield enters the game for S. Hill,,112-89,,
2:07.0,,,112-92,3,T. Waller-Prince makes 3-pt shot from 23 ft
1:49.0,A. Brown misses 3-pt shot from 26 ft,,112-92,,
1:47.0,,,112-92,,Defensive rebound by K. Humphries
1:42.0,,,112-92,,Turnover by T. Waller-Prince (bad pass; steal by T. Frazier)
1:17.0,Turnover by Team (shot clock),,112-92,,
1:08.0,,,112-92,,Turnover by M. Delaney (bad pass; steal by L. Galloway)
