time,Indiana,pts.away,score,pts.home,New York
0:26.0,,,57-53,,Shooting foul by J. Teague (drawn by D. Rose)
0:26.0,,,57-54,1,D. Rose makes free throw 1 of 1
0:05.0,J. Teague makes 2-pt shot from 6 ft,2,59-54,,
0:00.0,,,59-54,,C. Lee misses 2-pt shot from 5 ft
0:00.0,,,59-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,59-56,2,C. Anthony makes 2-pt shot from 10 ft
11:28.0,T. Young makes 2-pt shot from 21 ft (assist by P. George),2,61-56,,
11:06.0,,,61-56,,C. Anthony misses 2-pt shot from 22 ft
11:05.0,Defensive rebound by J. Teague,,61-56,,
11:00.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,63-56,,
10:50.0,,,63-56,,K. Porzingis misses 3-pt shot from 26 ft
10:49.0,Defensive rebound by Team,,63-56,,
10:49.0,,,63-56,,Loose ball foul by J. Noah (drawn by M. Turner)
10:36.0,P. George misses 2-pt shot from 16 ft,,63-56,,
10:35.0,,,63-56,,Defensive rebound by K. Porzingis
10:25.0,,,63-58,2,K. Porzingis makes 2-pt shot at rim (assist by D. Rose)
10:06.0,M. Turner misses 2-pt shot from 11 ft,,63-58,,
10:05.0,,,63-58,,Defensive rebound by K. Porzingis
9:56.0,,,63-58,,D. Rose misses 2-pt shot from 12 ft
9:55.0,Defensive rebound by M. Turner,,63-58,,
9:49.0,Shooting foul by C. Anthony (drawn by P. George),,63-58,,
9:49.0,P. George makes free throw 1 of 2,1,64-58,,
9:49.0,P. George makes free throw 2 of 2,1,65-58,,
9:34.0,,,65-60,2,C. Anthony makes 2-pt shot from 10 ft
9:12.0,Shooting foul by K. Porzingis (drawn by M. Turner),,65-60,,
9:12.0,M. Turner makes free throw 1 of 2,1,66-60,,
9:12.0,M. Turner makes free throw 2 of 2,1,67-60,,
8:55.0,,,67-62,2,J. Noah makes 2-pt shot from 1 ft (assist by C. Anthony)
8:46.0,J. Teague misses 3-pt shot from 25 ft,,67-62,,
8:45.0,Offensive rebound by T. Young,,67-62,,
8:33.0,M. Turner misses 2-pt shot from 3 ft (block by J. Noah),,67-62,,
8:32.0,Offensive rebound by G. Robinson,,67-62,,
8:31.0,G. Robinson misses 2-pt shot from 3 ft (block by K. Porzingis),,67-62,,
8:30.0,,,67-62,,Defensive rebound by J. Noah
8:16.0,,,67-62,,C. Anthony misses 2-pt shot from 7 ft
8:15.0,Defensive rebound by M. Turner,,67-62,,
8:09.0,J. Teague misses 2-pt shot from 3 ft (block by D. Rose),,67-62,,
8:08.0,Offensive rebound by Team,,67-62,,
8:04.0,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague),2,69-62,,
7:46.0,,,69-64,2,K. Porzingis makes 2-pt shot from 9 ft
7:25.0,Shooting foul by C. Anthony (drawn by M. Turner),,69-64,,
7:25.0,M. Turner makes free throw 1 of 2,1,70-64,,
7:25.0,M. Turner makes free throw 2 of 2,1,71-64,,
7:15.0,,,71-64,,Turnover by K. Porzingis (lost ball; steal by G. Robinson)
7:10.0,G. Robinson misses 2-pt shot from 1 ft (block by D. Rose),,71-64,,
7:09.0,Offensive rebound by P. George,,71-64,,
7:08.0,Shooting foul by J. Noah (drawn by P. George),,71-64,,
7:08.0,P. George makes free throw 1 of 2,1,72-64,,
7:08.0,P. George makes free throw 2 of 2,1,73-64,,
6:58.0,,,73-64,,Turnover by C. Lee (traveling)
6:47.0,M. Turner misses 3-pt shot from 26 ft,,73-64,,
6:46.0,,,73-64,,Defensive rebound by J. Noah
6:36.0,,,73-64,,C. Anthony misses 2-pt shot from 19 ft
6:35.0,Defensive rebound by M. Turner,,73-64,,
6:18.0,T. Young makes 3-pt shot from 23 ft (assist by P. George),3,76-64,,
6:17.0,,,76-64,,New York full timeout
6:17.0,,,76-64,,J. Holiday enters the game for K. Porzingis
6:17.0,,,76-64,,K. O'Quinn enters the game for J. Noah
5:57.0,,,76-64,,J. Holiday misses 2-pt shot from 21 ft
5:56.0,Defensive rebound by M. Turner,,76-64,,
5:46.0,M. Turner makes 3-pt shot from 25 ft (assist by J. Teague),3,79-64,,
5:26.0,,,79-66,2,D. Rose makes 2-pt shot from 2 ft (assist by K. O'Quinn)
5:04.0,J. Teague misses 3-pt shot from 26 ft,,79-66,,
5:03.0,,,79-66,,Defensive rebound by K. O'Quinn
4:52.0,,,79-66,,J. Holiday misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by T. Young,,79-66,,
4:45.0,Shooting foul by K. O'Quinn (drawn by M. Turner),,79-66,,
4:45.0,M. Turner makes free throw 1 of 2,1,80-66,,
4:45.0,M. Turner makes free throw 2 of 2,1,81-66,,
4:45.0,C. Miles enters the game for G. Robinson,,80-66,,
4:31.0,,,81-68,2,C. Anthony makes 2-pt shot from 20 ft
4:10.0,P. George misses 2-pt shot from 15 ft,,81-68,,
4:09.0,,,81-68,,Defensive rebound by K. O'Quinn
4:01.0,,,81-68,,D. Rose misses 2-pt shot from 2 ft (block by M. Turner)
4:00.0,,,81-68,,Offensive rebound by Team
3:58.0,,,81-68,,Turnover by D. Rose (bad pass; steal by T. Young)
3:52.0,J. Teague misses 2-pt shot from 3 ft,,81-68,,
3:51.0,,,81-68,,Defensive rebound by J. Holiday
3:44.0,,,81-68,,C. Anthony misses 3-pt shot from 26 ft
3:43.0,,,81-68,,Offensive rebound by C. Lee
3:35.0,,,81-71,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Holiday)
3:33.0,Indiana full timeout,,81-71,,
3:33.0,A. Jefferson enters the game for M. Turner,,81-71,,
3:20.0,T. Young misses 3-pt shot from 23 ft,,81-71,,
3:19.0,Offensive rebound by T. Young,,81-71,,
3:13.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,83-71,,
3:01.0,,,83-71,,Shooting foul by A. Jefferson (drawn by D. Rose)
3:01.0,,,83-72,1,D. Rose makes free throw 1 of 2
3:01.0,,,83-73,1,D. Rose makes free throw 2 of 2
2:44.0,C. Miles misses 3-pt shot from 25 ft,,83-73,,
2:43.0,,,83-73,,Defensive rebound by C. Lee
2:32.0,,,83-76,3,J. Holiday makes 3-pt shot from 25 ft (assist by C. Anthony)
2:14.0,P. George misses 2-pt shot from 20 ft,,83-76,,
2:13.0,,,83-76,,Defensive rebound by D. Rose
2:06.0,,,83-76,,C. Lee misses 3-pt shot from 23 ft
2:05.0,Defensive rebound by P. George,,83-76,,
1:49.0,Turnover by J. Teague (lost ball; steal by K. O'Quinn),,83-76,,
1:43.0,,,83-78,2,J. Holiday makes 2-pt shot at rim (assist by D. Rose)
1:21.0,A. Jefferson makes 2-pt shot from 5 ft,2,85-78,,
1:05.0,,,85-78,,K. O'Quinn misses 2-pt shot from 20 ft
1:04.0,Defensive rebound by J. Teague,,85-78,,
0:47.0,C. Miles misses 2-pt shot from 2 ft (block by K. O'Quinn),,85-78,,
0:45.0,,,85-78,,Defensive rebound by K. O'Quinn
0:36.0,,,85-81,3,C. Anthony makes 3-pt shot from 25 ft
0:16.0,P. George makes 2-pt shot from 7 ft,2,87-81,,
0:02.0,,,87-84,3,C. Anthony makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by K. O'Quinn (drawn by C. Miles),,87-84,,
11:42.0,C. Miles makes free throw 1 of 2,1,88-84,,
11:42.0,C. Miles makes free throw 2 of 2,1,89-84,,
11:28.0,,,89-87,3,C. Anthony makes 3-pt shot from 25 ft (assist by B. Jennings)
11:13.0,,,89-87,,J. Noah enters the game for K. O'Quinn
11:05.0,C. Miles makes 3-pt shot from 23 ft (assist by A. Brooks),3,92-87,,
10:49.0,,,92-87,,C. Anthony misses 2-pt shot from 16 ft
10:48.0,Defensive rebound by C. Miles,,92-87,,
10:40.0,A. Brooks makes 2-pt shot from 1 ft,2,94-87,,
10:25.0,,,94-89,2,C. Anthony makes 2-pt shot from 19 ft (assist by J. Noah)
10:12.0,A. Jefferson misses 2-pt shot from 16 ft,,94-89,,
10:11.0,,,94-89,,Defensive rebound by J. Holiday
9:49.0,,,94-89,,C. Anthony misses 2-pt shot from 21 ft
9:48.0,Defensive rebound by C. Miles,,94-89,,
9:39.0,C. Miles makes 3-pt shot from 27 ft (assist by A. Brooks),3,97-89,,
9:25.0,,,97-89,,Shooting foul by A. Jefferson (drawn by J. Noah)
9:25.0,,,97-90,1,J. Noah makes free throw 1 of 2
9:25.0,,,97-91,1,J. Noah makes free throw 2 of 2
9:25.0,,,97-90,,D. Rose enters the game for C. Anthony
9:25.0,,,97-90,,K. Porzingis enters the game for C. Lee
9:09.0,A. Jefferson makes 2-pt shot from 9 ft,2,99-91,,
8:59.0,,,99-93,2,D. Rose makes 2-pt shot from 15 ft
8:45.0,T. Young misses 2-pt shot from 3 ft,,99-93,,
8:44.0,,,99-93,,Defensive rebound by J. Noah
8:33.0,,,99-93,,Shooting foul by T. Young (drawn by K. Porzingis)
8:33.0,Official timeout,,99-93,,
8:33.0,,,99-93,,K. Porzingis misses free throw 1 of 2
8:33.0,,,99-93,,Offensive rebound by Team
8:33.0,,,99-94,1,K. Porzingis makes free throw 2 of 2
8:33.0,P. George enters the game for T. Young,,99-93,,
8:33.0,L. Allen enters the game for G. Robinson,,99-93,,
8:33.0,J. Teague enters the game for A. Brooks,,99-93,,
8:17.0,A. Jefferson misses 2-pt shot from 14 ft,,99-94,,
8:16.0,,,99-94,,Defensive rebound by B. Jennings
8:04.0,M. Turner enters the game for A. Jefferson,,99-94,,
8:02.0,,,99-96,2,D. Rose makes 2-pt shot from 14 ft (assist by J. Holiday)
7:55.0,Turnover by M. Turner (bad pass; steal by B. Jennings),,99-96,,
7:52.0,,,99-99,3,K. Porzingis makes 3-pt shot from 25 ft (assist by B. Jennings)
7:33.0,,,99-99,,Violation by J. Noah (def goaltending)
7:33.0,J. Teague makes 2-pt shot from 3 ft,2,101-99,,
7:21.0,,,101-99,,Shooting foul by C. Miles (drawn by D. Rose)
7:21.0,,,101-99,,D. Rose misses free throw 1 of 2
7:21.0,,,101-99,,Offensive rebound by Team
7:21.0,,,101-100,1,D. Rose makes free throw 2 of 2
7:01.0,P. George misses 3-pt shot from 24 ft,,101-100,,
7:00.0,,,101-100,,Defensive rebound by J. Noah
6:51.0,,,101-103,3,K. Porzingis makes 3-pt shot from 24 ft (assist by B. Jennings)
6:25.0,M. Turner misses 2-pt shot from 16 ft,,101-103,,
6:24.0,,,101-103,,Defensive rebound by Team
6:11.0,,,101-105,2,D. Rose makes 2-pt shot from 10 ft
6:10.0,Indiana full timeout,,101-105,,
6:10.0,T. Young enters the game for L. Allen,,101-105,,
5:51.0,M. Turner misses 2-pt shot from 2 ft (block by J. Noah),,101-105,,
5:50.0,Offensive rebound by M. Turner,,101-105,,
5:49.0,Shooting foul by J. Noah (drawn by M. Turner),,101-105,,
5:49.0,M. Turner makes free throw 1 of 2,1,102-105,,
5:49.0,M. Turner misses free throw 2 of 2,,102-105,,
5:49.0,G. Robinson enters the game for C. Miles,,102-105,,
5:48.0,,,102-105,,Defensive rebound by J. Noah
5:34.0,,,102-105,,K. Porzingis misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by J. Teague,,102-105,,
5:10.0,P. George misses 2-pt shot from 9 ft,,102-105,,
5:09.0,,,102-105,,Defensive rebound by J. Holiday
4:56.0,,,102-105,,D. Rose misses 2-pt shot from 8 ft
4:55.0,Defensive rebound by T. Young,,102-105,,
4:51.0,Turnover by P. George (traveling),,102-105,,
4:51.0,,,102-105,,C. Anthony enters the game for J. Holiday
4:30.0,,,102-108,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Noah)
4:10.0,T. Young makes 3-pt shot from 26 ft (assist by J. Teague),3,105-108,,
3:54.0,,,105-111,3,K. Porzingis makes 3-pt shot from 26 ft (assist by D. Rose)
3:38.0,T. Young misses 3-pt shot from 26 ft,,105-111,,
