time,Houston,pts.away,score,pts.home,Memphis
2:11.0,,,24-19,,Offensive rebound by Z. Randolph
2:11.0,,,24-21,2,Z. Randolph makes 2-pt shot from 2 ft
1:57.0,S. Dekker makes 3-pt shot from 24 ft (assist by T. Ariza),3,27-21,,
1:39.0,,,27-23,2,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Gasol)
1:26.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,29-23,,
1:05.0,,,29-23,,A. Harrison misses 3-pt shot from 26 ft
1:04.0,Defensive rebound by Team,,29-23,,
1:04.0,,,29-23,,V. Carter enters the game for T. Allen
1:04.0,C. Brewer enters the game for T. Ariza,,29-23,,
0:55.0,J. Harden misses 2-pt shot from 10 ft,,29-23,,
0:55.0,,,29-23,,Defensive rebound by Team
0:55.0,Loose ball foul by J. Harden (drawn by Z. Randolph),,29-23,,
0:55.0,,,29-23,,J. Martin enters the game for M. Gasol
0:55.0,P. Beverley enters the game for J. Harden,,29-23,,
0:44.0,,,29-23,,Turnover by J. Ennis (bad pass; steal by P. Beverley)
0:44.0,,,29-23,,Personal foul by J. Martin (drawn by N. Hilario)
0:36.0,E. Gordon misses 3-pt shot from 26 ft,,29-23,,
0:33.0,Offensive rebound by N. Hilario,,29-23,,
0:27.0,P. Beverley makes 2-pt shot from 2 ft,2,31-23,,
0:14.0,,,31-25,2,V. Carter makes 2-pt shot at rim (assist by Z. Randolph)
0:01.0,S. Dekker misses 3-pt shot from 27 ft,,31-25,,
0:00.0,Offensive rebound by Team,,31-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,31-28,3,T. Daniels makes 3-pt shot from 26 ft
11:26.0,E. Gordon misses 3-pt shot from 26 ft,,31-28,,
11:25.0,Offensive rebound by P. Beverley,,31-28,,
11:13.0,E. Gordon misses 3-pt shot from 26 ft,,31-28,,
11:12.0,Offensive rebound by Team,,31-28,,
11:03.0,N. Hilario misses 2-pt shot from 19 ft,,31-28,,
11:02.0,,,31-28,,Defensive rebound by J. Martin
10:53.0,,,31-28,,A. Harrison misses 2-pt shot from 1 ft
10:52.0,Defensive rebound by N. Hilario,,31-28,,
10:46.0,E. Gordon misses 3-pt shot from 27 ft,,31-28,,
10:46.0,Offensive rebound by Team,,31-28,,
10:46.0,,,31-28,,Loose ball foul by V. Carter (drawn by S. Dekker)
10:39.0,P. Beverley misses 3-pt shot from 25 ft,,31-28,,
10:37.0,,,31-28,,Defensive rebound by J. Martin
10:25.0,,,31-31,3,V. Carter makes 3-pt shot from 26 ft (assist by A. Harrison)
10:15.0,,,31-31,,Shooting block foul by J. Martin (drawn by C. Brewer)
10:15.0,C. Brewer misses free throw 1 of 2,,31-31,,
10:15.0,Offensive rebound by Team,,31-31,,
10:15.0,C. Brewer makes free throw 2 of 2,1,32-31,,
10:01.0,,,32-31,,V. Carter misses 2-pt shot from 21 ft
10:00.0,Defensive rebound by N. Hilario,,32-31,,
9:48.0,C. Brewer misses 2-pt shot from 2 ft,,32-31,,
9:45.0,Offensive rebound by C. Brewer,,32-31,,
9:45.0,C. Brewer misses 2-pt shot from 1 ft,,32-31,,
9:45.0,Offensive rebound by N. Hilario,,32-31,,
9:45.0,N. Hilario misses 2-pt shot from 1 ft,,32-31,,
9:44.0,Offensive rebound by Team,,32-31,,
9:36.0,E. Gordon misses 3-pt shot from 25 ft,,32-31,,
9:35.0,,,32-31,,Defensive rebound by Z. Randolph
9:25.0,Personal foul by N. Hilario (drawn by Z. Randolph),,32-31,,
9:17.0,,,32-31,,Shooting foul by S. Dekker (drawn by A. Harrison)
9:17.0,,,32-31,,A. Harrison misses free throw 1 of 2
9:17.0,,,32-31,,Offensive rebound by Team
9:17.0,,,32-32,1,A. Harrison makes free throw 2 of 2
8:59.0,P. Beverley misses 3-pt shot from 25 ft,,32-32,,
8:59.0,,,32-32,,Defensive rebound by V. Carter
8:50.0,,,32-32,,A. Harrison misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by N. Hilario,,32-32,,
8:42.0,C. Brewer misses 2-pt shot from 2 ft,,32-32,,
8:41.0,,,32-32,,Defensive rebound by Z. Randolph
8:25.0,Def 3 sec tech foul by S. Dekker,,32-32,,
8:25.0,,,32-32,,Memphis full timeout
8:25.0,,,32-33,1,T. Daniels makes technical free throw
8:10.0,,,32-33,,Turnover by Team (shot clock)
8:10.0,R. Anderson enters the game for C. Brewer,,32-33,,
7:54.0,E. Gordon makes 2-pt shot from 1 ft,2,34-33,,
7:33.0,,,34-35,2,Z. Randolph makes 2-pt shot from 8 ft
7:20.0,P. Beverley misses 3-pt shot from 26 ft,,34-35,,
7:19.0,,,34-35,,Defensive rebound by V. Carter
7:12.0,,,34-38,3,V. Carter makes 3-pt shot from 25 ft
6:56.0,S. Dekker makes 2-pt shot from 1 ft (assist by E. Gordon),2,36-38,,
6:32.0,,,36-38,,A. Harrison misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by R. Anderson,,36-38,,
6:13.0,Turnover by R. Anderson (lost ball; steal by J. Martin),,36-38,,
6:09.0,,,36-38,,Shooting foul by S. Dekker (drawn by T. Daniels)
6:09.0,,,36-38,,T. Daniels misses free throw 1 of 2
6:09.0,,,36-38,,Offensive rebound by Team
6:09.0,,,36-39,1,T. Daniels makes free throw 2 of 2
6:09.0,J. Harden enters the game for E. Gordon,,36-38,,
6:09.0,T. Ariza enters the game for S. Dekker,,36-38,,
6:09.0,,,36-38,,M. Gasol enters the game for Z. Randolph
6:09.0,,,36-38,,C. Parsons enters the game for A. Harrison
6:09.0,,,36-38,,M. Conley enters the game for V. Carter
5:55.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,39-39,,
5:48.0,,,39-39,,Memphis full timeout
5:48.0,M. Harrell enters the game for N. Hilario,,39-39,,
5:48.0,,,39-39,,T. Allen enters the game for T. Daniels
5:36.0,,,39-39,,C. Parsons misses 2-pt shot from 13 ft
5:34.0,Defensive rebound by P. Beverley,,39-39,,
5:17.0,P. Beverley misses 3-pt shot from 25 ft,,39-39,,
5:16.0,,,39-39,,Defensive rebound by T. Allen
5:11.0,,,39-42,3,M. Conley makes 3-pt shot from 26 ft
4:54.0,R. Anderson misses 2-pt shot from 2 ft,,39-42,,
4:52.0,,,39-42,,Defensive rebound by M. Gasol
4:42.0,Personal foul by M. Harrell (drawn by C. Parsons),,39-42,,
4:42.0,,,39-42,,J. Green enters the game for J. Martin
4:33.0,,,39-42,,C. Parsons misses 2-pt shot from 19 ft
4:32.0,,,39-42,,Offensive rebound by J. Green
4:22.0,,,39-42,,J. Green misses 2-pt shot from 3 ft
4:19.0,Defensive rebound by T. Ariza,,39-42,,
4:16.0,J. Harden makes 2-pt shot from 2 ft,2,41-42,,
3:54.0,,,41-42,,M. Gasol misses 2-pt shot from 7 ft
3:54.0,,,41-42,,Offensive rebound by J. Green
3:54.0,,,41-42,,Shooting foul by M. Harrell (drawn by J. Green)
3:54.0,,,41-43,1,J. Green makes free throw 1 of 2
3:54.0,,,41-44,1,J. Green makes free throw 2 of 2
3:46.0,,,41-44,,Personal foul by C. Parsons (drawn by J. Harden)
3:46.0,E. Gordon enters the game for P. Beverley,,41-44,,
3:32.0,E. Gordon misses 3-pt shot from 26 ft,,41-44,,
3:31.0,,,41-44,,Defensive rebound by C. Parsons
3:24.0,,,41-47,3,M. Conley makes 3-pt shot from 27 ft (assist by C. Parsons)
3:02.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Ariza),3,44-47,,
2:36.0,,,44-49,2,M. Gasol makes 2-pt shot from 1 ft
2:09.0,T. Ariza misses 2-pt shot from 18 ft,,44-49,,
2:08.0,,,44-49,,Defensive rebound by Team
2:08.0,Houston full timeout,,44-49,,
2:08.0,,,44-49,,T. Daniels enters the game for C. Parsons
1:54.0,,,44-51,2,M. Conley makes 2-pt shot from 16 ft (assist by M. Gasol)
1:33.0,E. Gordon misses 3-pt shot from 25 ft,,44-51,,
1:32.0,,,44-51,,Defensive rebound by J. Green
1:13.0,,,44-54,3,T. Allen makes 3-pt shot from 23 ft (assist by M. Gasol)
1:01.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden),3,47-54,,
0:46.0,,,47-54,,M. Gasol misses 2-pt shot from 6 ft
0:44.0,Defensive rebound by J. Harden,,47-54,,
0:39.0,J. Harden makes 2-pt shot at rim,2,49-54,,
0:29.0,,,49-54,,M. Conley misses 3-pt shot from 28 ft (block by E. Gordon)
0:28.0,Defensive rebound by J. Harden,,49-54,,
0:22.0,M. Harrell misses 2-pt shot from 6 ft,,49-54,,
0:20.0,,,49-54,,Defensive rebound by T. Daniels
0:13.0,,,49-54,,Memphis full timeout
0:13.0,N. Hilario enters the game for R. Anderson,,49-54,,
0:13.0,P. Beverley enters the game for J. Harden,,49-54,,
0:13.0,,,49-54,,V. Carter enters the game for T. Allen
0:07.0,,,49-54,,M. Conley misses 2-pt shot from 9 ft
0:05.0,,,49-54,,Offensive rebound by J. Green
0:05.0,,,49-54,,J. Green misses 2-pt shot at rim
0:04.0,Defensive rebound by P. Beverley,,49-54,,
0:01.0,E. Gordon misses 3-pt shot from 26 ft,,49-54,,
0:00.0,Offensive rebound by Team,,49-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,49-56,2,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley)
11:20.0,R. Anderson misses 2-pt shot from 3 ft (block by M. Gasol),,49-56,,
11:19.0,,,49-56,,Defensive rebound by M. Conley
11:11.0,,,49-56,,M. Conley misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by P. Beverley,,49-56,,
10:56.0,,,49-56,,Shooting block foul by M. Gasol (drawn by R. Anderson)
10:56.0,R. Anderson makes free throw 1 of 2,1,50-56,,
10:56.0,R. Anderson makes free throw 2 of 2,1,51-56,,
10:33.0,,,51-56,,C. Parsons misses 2-pt shot from 1 ft (block by R. Anderson)
10:30.0,Defensive rebound by T. Ariza,,51-56,,
10:27.0,,,51-56,,Personal foul by M. Conley (drawn by P. Beverley)
10:18.0,M. Harrell misses 2-pt shot from 4 ft,,51-56,,
10:18.0,,,51-56,,Defensive rebound by J. Green
10:10.0,,,51-56,,Shooting foul by R. Anderson (drawn by M. Gasol)
10:10.0,,,51-57,1,M. Gasol makes free throw 1 of 2
10:10.0,,,51-58,1,M. Gasol makes free throw 2 of 2
9:53.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,54-58,,
9:39.0,,,54-58,,C. Parsons misses 2-pt shot from 11 ft
9:36.0,Defensive rebound by M. Harrell,,54-58,,
9:31.0,Turnover by J. Harden (lost ball; steal by T. Allen),,54-58,,
9:26.0,,,54-60,2,C. Parsons makes 2-pt shot from 1 ft (assist by T. Allen)
9:17.0,Turnover by J. Harden (bad pass; steal by C. Parsons),,54-60,,
9:12.0,,,54-62,2,C. Parsons makes 2-pt shot from 2 ft
9:02.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,57-62,,
8:52.0,Personal foul by J. Harden (drawn by C. Parsons),,57-62,,
8:52.0,,,57-62,,J. Ennis enters the game for C. Parsons
8:39.0,,,57-65,3,J. Ennis makes 3-pt shot from 25 ft (assist by M. Conley)
8:22.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,60-65,,
8:07.0,Personal foul by R. Anderson (drawn by M. Gasol),,60-65,,
7:53.0,,,60-65,,M. Conley misses 2-pt shot from 22 ft
7:52.0,Jump ball: M. Gasol vs. M. Harrell (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Harrell (M. Conley gains possession)
7:52.0,,,60-65,,Offensive rebound by Team
7:34.0,,,60-65,,Turnover by M. Gasol (bad pass; steal by T. Ariza)
7:16.0,J. Harden makes 2-pt shot at rim,2,62-65,,
6:54.0,,,62-68,3,J. Green makes 3-pt shot from 25 ft (assist by M. Conley)
6:30.0,J. Harden misses 3-pt shot from 26 ft,,62-68,,
6:30.0,,,62-68,,Defensive rebound by M. Gasol
6:17.0,,,62-68,,M. Conley misses 2-pt shot from 11 ft
6:15.0,Defensive rebound by M. Harrell,,62-68,,
6:06.0,R. Anderson makes 2-pt shot from 18 ft,2,64-68,,
5:47.0,,,64-68,,J. Ennis misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by T. Ariza,,64-68,,
5:36.0,R. Anderson misses 3-pt shot from 25 ft,,64-68,,
5:35.0,,,64-68,,Defensive rebound by M. Conley
5:19.0,,,64-68,,Memphis full timeout
5:19.0,E. Gordon enters the game for P. Beverley,,64-68,,
5:19.0,Jump ball: M. Gasol vs. M. Harrell (J. Harden gains possession),,,,Jump ball: M. Gasol vs. M. Harrell (J. Harden gains possession)
5:19.0,,,64-68,,Turnover by M. Gasol (lost ball)
5:02.0,Shooting foul by M. Gasol (drawn by M. Harrell),,64-68,,
5:02.0,M. Harrell makes free throw 1 of 2,1,65-68,,
5:02.0,M. Harrell makes free throw 2 of 2,1,66-68,,
5:02.0,,,65-68,,A. Harrison enters the game for M. Conley
5:02.0,,,65-68,,C. Parsons enters the game for T. Allen
4:44.0,,,66-68,,M. Gasol misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by J. Harden,,66-68,,
4:32.0,Shooting foul by J. Green (drawn by J. Harden),,66-68,,
4:32.0,J. Harden misses free throw 1 of 2,,66-68,,
4:32.0,Offensive rebound by Team,,66-68,,
4:32.0,J. Harden makes free throw 2 of 2,1,67-68,,
4:32.0,S. Dekker enters the game for R. Anderson,,66-68,,
4:07.0,,,67-70,2,J. Ennis makes 2-pt shot from 2 ft (assist by M. Gasol)
3:53.0,E. Gordon misses 2-pt shot from 1 ft,,67-70,,
3:52.0,,,67-70,,Defensive rebound by C. Parsons
3:34.0,,,67-70,,M. Gasol misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by J. Harden,,67-70,,
3:22.0,T. Ariza makes 3-pt shot from 25 ft (assist by E. Gordon),3,70-70,,
3:01.0,,,70-70,,M. Gasol misses 2-pt shot from 5 ft
2:59.0,Defensive rebound by E. Gordon,,70-70,,
2:51.0,J. Harden misses 3-pt shot from 30 ft,,70-70,,
2:50.0,,,70-70,,Defensive rebound by M. Gasol
2:34.0,,,70-70,,Shooting foul by T. Ariza (drawn by A. Harrison)
2:34.0,Houston full timeout,,70-70,,
2:34.0,,,70-71,1,A. Harrison makes free throw 1 of 2
2:34.0,,,70-72,1,A. Harrison makes free throw 2 of 2
2:34.0,,,70-70,,Z. Randolph enters the game for C. Parsons
2:34.0,,,70-70,,V. Carter enters the game for J. Green
2:34.0,N. Hilario enters the game for M. Harrell,,70-70,,
2:34.0,P. Beverley enters the game for J. Harden,,70-70,,
2:10.0,Turnover by Team (shot clock),,70-72,,
1:45.0,,,70-75,3,J. Ennis makes 3-pt shot from 25 ft (assist by A. Harrison)
1:28.0,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley),3,73-75,,
1:17.0,,,73-75,,Offensive foul by A. Harrison
1:17.0,,,73-75,,Turnover by A. Harrison (offensive foul)
1:17.0,,,73-75,,J. Martin enters the game for M. Gasol
0:57.0,S. Dekker misses 3-pt shot from 24 ft,,73-75,,
0:55.0,,,73-75,,Defensive rebound by A. Harrison
0:38.0,,,73-75,,Z. Randolph misses 2-pt shot from 13 ft
0:36.0,Defensive rebound by E. Gordon,,73-75,,
0:32.0,E. Gordon misses 3-pt shot from 25 ft,,73-75,,
0:30.0,Offensive rebound by S. Dekker,,73-75,,
0:30.0,S. Dekker misses 2-pt shot from 1 ft,,73-75,,
0:30.0,Offensive rebound by Team,,73-75,,
0:29.0,Shooting foul by Z. Randolph (drawn by N. Hilario),,73-75,,
0:29.0,N. Hilario makes free throw 1 of 2,1,74-75,,
0:29.0,N. Hilario makes free throw 2 of 2,1,75-75,,
0:29.0,,,74-75,,M. Conley enters the game for J. Martin
0:09.0,,,75-77,2,Z. Randolph makes 2-pt shot from 6 ft (assist by A. Harrison)
0:01.0,E. Gordon misses 3-pt shot from 26 ft,,75-77,,
0:00.0,Offensive rebound by Team,,75-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,P. Beverley makes 3-pt shot from 26 ft (assist by E. Gordon),3,78-77,,
11:23.0,,,78-80,3,V. Carter makes 3-pt shot from 25 ft (assist by Z. Randolph)
11:05.0,P. Beverley misses 2-pt shot from 5 ft,,78-80,,
11:05.0,,,78-80,,Defensive rebound by V. Carter
10:59.0,,,78-82,2,A. Harrison makes 2-pt shot from 2 ft
10:49.0,Turnover by E. Gordon (bad pass; steal by Z. Randolph),,78-82,,
10:35.0,,,78-85,3,V. Carter makes 3-pt shot from 26 ft (assist by Z. Randolph)
10:13.0,P. Beverley misses 3-pt shot from 25 ft,,78-85,,
10:13.0,,,78-85,,Defensive rebound by J. Martin
9:47.0,,,78-87,2,Z. Randolph makes 2-pt shot from 18 ft
9:44.0,Houston full timeout,,78-87,,
9:44.0,J. Harden enters the game for S. Dekker,,78-87,,
9:26.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,81-87,,
9:05.0,,,81-87,,V. Carter misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by J. Harden,,81-87,,
8:53.0,E. Gordon misses 3-pt shot from 26 ft,,81-87,,
8:53.0,,,81-87,,Defensive rebound by Z. Randolph
8:40.0,,,81-89,2,Z. Randolph makes 2-pt shot from 20 ft (assist by A. Harrison)
8:26.0,Offensive foul by N. Hilario,,81-89,,
8:26.0,Turnover by N. Hilario (offensive foul),,81-89,,
8:17.0,,,81-92,3,J. Ennis makes 3-pt shot from 26 ft (assist by A. Harrison)
8:03.0,J. Harden makes 2-pt shot from 1 ft,2,83-92,,
7:45.0,,,83-94,2,Z. Randolph makes 2-pt shot from 5 ft
7:33.0,R. Anderson misses 3-pt shot from 27 ft,,83-94,,
7:32.0,,,83-94,,Defensive rebound by J. Ennis
7:15.0,,,83-94,,Turnover by Z. Randolph (bad pass; steal by E. Gordon)
7:10.0,Turnover by J. Harden (lost ball; steal by J. Martin),,83-94,,
7:05.0,,,83-96,2,Z. Randolph makes 2-pt shot from 1 ft (assist by A. Harrison)
6:58.0,E. Gordon misses 3-pt shot from 26 ft,,83-96,,
6:56.0,,,83-96,,Defensive rebound by A. Harrison
6:51.0,,,83-96,,A. Harrison misses 2-pt shot from 2 ft
6:51.0,,,83-96,,Offensive rebound by J. Martin
6:51.0,,,83-98,2,J. Martin makes 2-pt shot at rim
6:51.0,Houston full timeout,,83-98,,
6:51.0,T. Ariza enters the game for E. Gordon,,83-98,,
6:51.0,M. Harrell enters the game for N. Hilario,,83-98,,
6:51.0,,,83-98,,T. Daniels enters the game for J. Ennis
6:40.0,R. Anderson misses 3-pt shot from 26 ft,,83-98,,
6:39.0,,,83-98,,Defensive rebound by V. Carter
6:26.0,,,83-98,,J. Martin misses 2-pt shot from 22 ft
6:25.0,Defensive rebound by R. Anderson,,83-98,,
6:18.0,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden),2,85-98,,
6:10.0,,,85-98,,Turnover by A. Harrison (lost ball; steal by P. Beverley)
6:08.0,Shooting foul by A. Harrison (drawn by P. Beverley),,85-98,,
6:08.0,P. Beverley makes free throw 1 of 2,1,86-98,,
6:08.0,P. Beverley makes free throw 2 of 2,1,87-98,,
6:08.0,,,86-98,,M. Conley enters the game for A. Harrison
6:08.0,,,86-98,,M. Gasol enters the game for J. Martin
5:48.0,,,87-98,,Z. Randolph misses 2-pt shot from 22 ft
5:46.0,Defensive rebound by T. Ariza,,87-98,,
5:44.0,Turnover by T. Ariza (lost ball; steal by T. Daniels),,87-98,,
5:39.0,,,87-98,,Turnover by Z. Randolph (lost ball)
5:26.0,T. Ariza misses 3-pt shot from 24 ft,,87-98,,
5:25.0,Offensive rebound by P. Beverley,,87-98,,
5:19.0,M. Harrell makes 2-pt shot from 1 ft (assist by T. Ariza),2,89-98,,
5:19.0,,,89-98,,Memphis full timeout
5:19.0,,,89-98,,T. Allen enters the game for Z. Randolph
5:19.0,,,89-98,,J. Green enters the game for T. Daniels
5:19.0,E. Gordon enters the game for P. Beverley,,89-98,,
4:57.0,,,89-98,,M. Conley misses 2-pt shot from 2 ft (block by R. Anderson)
4:57.0,,,89-98,,Offensive rebound by Team
4:54.0,,,89-98,,Turnover by Team (shot clock)
4:41.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,92-98,,
4:20.0,,,92-98,,M. Gasol misses 2-pt shot from 8 ft
4:18.0,Defensive rebound by M. Harrell,,92-98,,
4:01.0,M. Harrell misses 2-pt shot at rim (block by M. Gasol),,92-98,,
4:01.0,Offensive rebound by Team,,92-98,,
3:50.0,,,92-98,,Personal foul by J. Green (drawn by J. Harden)
3:41.0,Turnover by J. Harden (bad pass; steal by T. Allen),,92-98,,
3:34.0,,,92-100,2,M. Conley makes 2-pt shot at rim
3:34.0,,,92-100,,Shooting foul by R. Anderson (drawn by M. Conley)
3:34.0,,,92-101,1,M. Conley makes free throw 1 of 1
3:26.0,Turnover by J. Harden (bad pass; steal by M. Conley),,92-101,,
3:22.0,,,92-101,,Shooting foul by M. Harrell (drawn by J. Green)
3:22.0,,,92-102,1,J. Green makes free throw 1 of 2
3:22.0,,,92-103,1,J. Green makes free throw 2 of 2
3:07.0,E. Gordon makes 3-pt shot from 23 ft (assist by J. Harden),3,95-103,,
2:53.0,,,95-103,,M. Conley misses 2-pt shot from 20 ft
2:52.0,Defensive rebound by M. Harrell,,95-103,,
2:40.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,97-103,,
2:21.0,Personal foul by R. Anderson (drawn by M. Gasol),,97-103,,
2:21.0,P. Beverley enters the game for M. Harrell,,97-103,,
2:16.0,,,97-103,,Shooting foul by E. Gordon (drawn by M. Gasol)
2:16.0,,,97-104,1,M. Gasol makes free throw 1 of 2
2:16.0,,,97-105,1,M. Gasol makes free throw 2 of 2
2:00.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,100-105,,
1:45.0,,,100-107,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
1:40.0,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden),3,103-107,,
1:26.0,,,103-109,2,M. Conley makes 2-pt shot from 15 ft
