time,San Antonio,pts.away,score,pts.home,Boston
8:51.0,K. Leonard enters the game for J. Simmons,,83-81,,
8:50.0,Jump ball: A. Bradley vs. D. Green (T. Parker gains possession),,,,Jump ball: A. Bradley vs. D. Green (T. Parker gains possession)
8:27.0,T. Parker misses 2-pt shot from 22 ft,,83-81,,
8:27.0,Offensive rebound by K. Leonard,,83-81,,
8:23.0,D. Green makes 3-pt shot from 27 ft (assist by K. Leonard),3,86-81,,
8:06.0,,,86-81,,M. Smart misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by D. Green,,86-81,,
7:41.0,D. Bertans misses 3-pt shot from 26 ft,,86-81,,
7:40.0,,,86-81,,Defensive rebound by M. Smart
7:34.0,,,86-83,2,M. Smart makes 2-pt shot from 8 ft
7:34.0,,,86-83,,Shooting foul by T. Parker (drawn by M. Smart)
7:34.0,,,86-84,1,M. Smart makes free throw 1 of 1
7:16.0,K. Leonard makes 3-pt shot from 25 ft,3,89-84,,
6:52.0,,,89-86,2,K. Olynyk makes 2-pt shot from 15 ft (assist by A. Bradley)
6:27.0,L. Aldridge misses 2-pt shot from 9 ft (block by A. Horford),,89-86,,
6:26.0,Offensive rebound by L. Aldridge,,89-86,,
6:25.0,L. Aldridge makes 2-pt shot from 1 ft,2,91-86,,
6:11.0,,,91-88,2,T. Rozier makes 2-pt shot from 7 ft
6:11.0,,,91-88,,Shooting foul by T. Parker (drawn by T. Rozier)
6:11.0,,,91-89,1,T. Rozier makes free throw 1 of 1
6:11.0,D. Lee enters the game for D. Bertans,,91-88,,
6:11.0,,,91-88,,J. Crowder enters the game for A. Horford
6:11.0,,,91-88,,A. Johnson enters the game for M. Smart
5:47.0,K. Leonard misses 3-pt shot from 26 ft,,91-89,,
5:45.0,Offensive rebound by D. Lee,,91-89,,
5:30.0,Turnover by D. Lee (lost ball; steal by T. Rozier),,91-89,,
5:24.0,,,91-89,,A. Bradley misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by D. Lee,,91-89,,
5:17.0,D. Lee makes 2-pt shot from 8 ft (assist by D. Green),2,93-89,,
5:17.0,Shooting foul by A. Johnson (drawn by D. Lee),,93-89,,
5:17.0,,,93-89,,Boston full timeout
5:17.0,D. Lee makes free throw 1 of 1,1,94-89,,
5:17.0,,,93-89,,I. Thomas enters the game for A. Johnson
5:17.0,,,93-89,,M. Smart enters the game for K. Olynyk
5:17.0,,,93-89,,A. Horford enters the game for T. Rozier
5:17.0,P. Mills enters the game for T. Parker,,93-89,,
5:04.0,,,94-91,2,I. Thomas makes 2-pt shot from 1 ft
4:42.0,,,94-91,,Personal foul by J. Crowder (drawn by L. Aldridge)
4:42.0,M. Ginobili enters the game for D. Lee,,94-91,,
4:37.0,P. Mills makes 2-pt shot from 22 ft,2,96-91,,
4:21.0,,,96-91,,I. Thomas misses 2-pt shot from 2 ft (block by L. Aldridge)
4:21.0,,,96-91,,Offensive rebound by Team
4:19.0,,,96-94,3,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart)
3:58.0,L. Aldridge makes 2-pt shot from 16 ft (assist by K. Leonard),2,98-94,,
3:44.0,Personal foul by P. Mills,,98-94,,
3:37.0,,,98-94,,I. Thomas misses 2-pt shot at rim (block by K. Leonard)
3:36.0,Defensive rebound by K. Leonard,,98-94,,
3:26.0,K. Leonard makes 2-pt shot from 7 ft,2,100-94,,
3:07.0,,,100-96,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
2:50.0,K. Leonard misses 3-pt shot from 25 ft,,100-96,,
2:48.0,Offensive rebound by M. Ginobili,,100-96,,
2:47.0,San Antonio full timeout,,100-96,,
2:39.0,Turnover by D. Green (bad pass),,100-96,,
2:22.0,,,100-96,,M. Smart misses 2-pt shot from 8 ft
2:21.0,Defensive rebound by K. Leonard,,100-96,,
2:18.0,,,100-96,,Personal foul by J. Crowder (drawn by K. Leonard)
2:18.0,K. Leonard makes free throw 1 of 2,1,101-96,,
2:18.0,K. Leonard makes free throw 2 of 2,1,102-96,,
1:56.0,,,102-96,,A. Horford misses 2-pt shot from 7 ft
1:55.0,Defensive rebound by D. Green,,102-96,,
