time,Milwaukee,pts.away,score,pts.home,Chicago
0:05.0,M. Brogdon misses 2-pt shot from 13 ft,,22-27,,
0:04.0,,,22-27,,Defensive rebound by N. Mirotic
0:00.0,,,22-27,,J. Butler misses 3-pt shot from 33 ft
0:00.0,,,22-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by C. Felicio),,22-27,,
11:38.0,Offensive rebound by G. Monroe,,22-27,,
11:35.0,J. Parker makes 2-pt shot at rim (assist by G. Monroe),2,24-27,,
11:15.0,,,24-30,3,D. Wade makes 3-pt shot from 26 ft (assist by D. McDermott)
10:53.0,M. Teletovic makes 3-pt shot from 27 ft (assist by G. Antetokounmpo),3,27-30,,
10:39.0,,,27-30,,D. Wade misses 2-pt shot from 15 ft
10:38.0,Defensive rebound by G. Monroe,,27-30,,
10:28.0,M. Teletovic misses 3-pt shot from 27 ft,,27-30,,
10:27.0,,,27-30,,Defensive rebound by C. Felicio
10:18.0,,,27-30,,D. McDermott misses 2-pt shot from 18 ft
10:17.0,Defensive rebound by M. Teletovic,,27-30,,
10:06.0,G. Monroe makes 2-pt shot from 16 ft (assist by G. Antetokounmpo),2,29-30,,
9:40.0,,,29-30,,Shooting foul by G. Monroe (drawn by C. Felicio)
9:40.0,,,29-30,,C. Felicio misses free throw 1 of 2
9:40.0,,,29-30,,Offensive rebound by Team
9:40.0,,,29-31,1,C. Felicio makes free throw 2 of 2
9:28.0,G. Monroe makes 2-pt shot at rim (assist by M. Teletovic),2,31-31,,
9:13.0,,,31-34,3,D. McDermott makes 3-pt shot from 26 ft (assist by J. Grant)
8:50.0,J. Terry makes 3-pt shot from 24 ft,3,34-34,,
8:35.0,,,34-34,,D. Wade misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
8:35.0,,,34-34,,Offensive rebound by Team
8:35.0,,,34-34,,Chicago full timeout
8:32.0,,,34-34,,D. McDermott misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by G. Antetokounmpo,,34-34,,
8:11.0,G. Monroe misses 2-pt shot from 6 ft,,34-34,,
8:11.0,,,34-34,,Defensive rebound by N. Mirotic
8:05.0,,,34-34,,D. Wade misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by M. Teletovic,,34-34,,
7:58.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry),2,36-34,,
7:46.0,,,36-36,2,D. McDermott makes 2-pt shot from 2 ft (assist by D. Wade)
7:19.0,J. Parker misses 3-pt shot from 26 ft,,36-36,,
7:17.0,,,36-36,,Defensive rebound by D. Wade
7:08.0,,,36-36,,D. McDermott misses 2-pt shot from 9 ft
7:07.0,,,36-36,,Offensive rebound by C. Felicio
7:07.0,,,36-38,2,C. Felicio makes 2-pt shot at rim
6:49.0,Shooting foul by J. Grant (drawn by J. Parker),,36-38,,
6:49.0,J. Parker makes free throw 1 of 2,1,37-38,,
6:49.0,J. Parker makes free throw 2 of 2,1,38-38,,
6:49.0,J. Henson enters the game for G. Monroe,,37-38,,
6:49.0,,,37-38,,T. Gibson enters the game for D. Wade
6:49.0,,,37-38,,M. Carter-Williams enters the game for D. McDermott
6:49.0,,,37-38,,J. Butler enters the game for J. Grant
6:29.0,,,38-38,,T. Gibson misses 2-pt shot from 5 ft (block by G. Antetokounmpo)
6:27.0,Defensive rebound by M. Teletovic,,38-38,,
6:24.0,Turnover by M. Teletovic (bad pass; steal by J. Butler),,38-38,,
6:13.0,,,38-38,,M. Carter-Williams misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by J. Henson,,38-38,,
6:04.0,M. Teletovic misses 3-pt shot from 26 ft,,38-38,,
6:02.0,,,38-38,,Defensive rebound by C. Felicio
5:51.0,,,38-40,2,J. Butler makes 2-pt shot from 15 ft
5:31.0,J. Terry misses 2-pt shot from 16 ft,,38-40,,
5:30.0,,,38-40,,Defensive rebound by J. Butler
5:18.0,,,38-42,2,T. Gibson makes 2-pt shot from 2 ft
5:17.0,Milwaukee full timeout,,38-42,,
5:17.0,M. Brogdon enters the game for M. Teletovic,,38-42,,
5:17.0,T. Snell enters the game for J. Terry,,38-42,,
5:04.0,Shooting foul by M. Carter-Williams (drawn by T. Snell),,38-42,,
5:04.0,T. Snell makes free throw 1 of 2,1,39-42,,
5:04.0,T. Snell makes free throw 2 of 2,1,40-42,,
4:45.0,,,40-42,,T. Gibson misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by J. Henson,,40-42,,
4:40.0,Shooting foul by N. Mirotic (drawn by G. Antetokounmpo),,40-42,,
4:40.0,G. Antetokounmpo misses free throw 1 of 2,,40-42,,
4:40.0,Offensive rebound by Team,,40-42,,
4:40.0,G. Antetokounmpo makes free throw 2 of 2,1,41-42,,
4:40.0,,,40-42,,R. Lopez enters the game for C. Felicio
4:40.0,,,40-42,,D. McDermott enters the game for N. Mirotic
4:20.0,,,41-42,,Turnover by M. Carter-Williams (lost ball; steal by G. Antetokounmpo)
4:17.0,G. Antetokounmpo makes 2-pt shot at rim,2,43-42,,
3:52.0,,,43-42,,T. Gibson misses 2-pt shot from 4 ft
3:50.0,,,43-42,,Offensive rebound by T. Gibson
3:50.0,,,43-42,,Shooting foul by J. Parker (drawn by T. Gibson)
3:50.0,,,43-43,1,T. Gibson makes free throw 1 of 2
3:50.0,,,43-44,1,T. Gibson makes free throw 2 of 2
3:35.0,M. Brogdon misses 2-pt shot from 22 ft,,43-44,,
3:34.0,,,43-44,,Defensive rebound by J. Butler
3:12.0,,,43-44,,M. Carter-Williams misses 2-pt shot from 8 ft
3:12.0,Defensive rebound by M. Brogdon,,43-44,,
3:12.0,,,43-44,,Personal foul by M. Carter-Williams (drawn by M. Brogdon)
2:57.0,,,43-44,,Personal foul by M. Carter-Williams (drawn by J. Henson)
2:57.0,,,43-44,,Chicago full timeout
2:57.0,J. Henson misses free throw 1 of 2,,43-44,,
2:57.0,Offensive rebound by Team,,43-44,,
2:57.0,J. Henson makes free throw 2 of 2,1,44-44,,
2:57.0,,,43-44,,D. Wade enters the game for M. Carter-Williams
2:35.0,,,44-44,,T. Gibson misses 2-pt shot from 15 ft
2:32.0,,,44-44,,Offensive rebound by R. Lopez
2:32.0,,,44-46,2,R. Lopez makes 2-pt shot at rim
2:14.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,44-46,,
2:13.0,Offensive rebound by G. Antetokounmpo,,44-46,,
2:13.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,46-46,,
2:02.0,,,46-46,,J. Butler misses 2-pt shot from 11 ft (block by J. Parker)
1:59.0,Defensive rebound by J. Henson,,46-46,,
1:46.0,J. Parker misses 2-pt shot from 16 ft,,46-46,,
1:45.0,,,46-46,,Defensive rebound by R. Lopez
1:24.0,,,46-46,,J. Butler misses 3-pt shot from 25 ft
1:23.0,,,46-46,,Offensive rebound by Team
1:12.0,,,46-46,,D. Wade misses 2-pt shot from 20 ft
1:11.0,,,46-46,,Offensive rebound by D. McDermott
1:02.0,,,46-48,2,J. Butler makes 2-pt shot from 3 ft
1:02.0,,,46-48,,Shooting foul by J. Henson (drawn by J. Butler)
1:02.0,,,46-49,1,J. Butler makes free throw 1 of 1
0:44.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,46-49,,
0:43.0,,,46-49,,Defensive rebound by R. Lopez
0:36.0,,,46-49,,D. McDermott misses 3-pt shot from 26 ft
0:35.0,,,46-49,,Offensive rebound by D. Wade
0:17.0,,,46-49,,J. Butler misses 2-pt shot from 18 ft
0:16.0,Defensive rebound by G. Antetokounmpo,,46-49,,
0:13.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Butler),,46-49,,
0:05.0,,,46-51,2,J. Butler makes 2-pt shot from 1 ft
0:05.0,,,46-51,,Shooting foul by J. Parker (drawn by J. Butler)
0:05.0,,,46-51,,J. Butler misses free throw 1 of 1
0:04.0,Defensive rebound by G. Antetokounmpo,,46-51,,
0:00.0,G. Antetokounmpo makes 3-pt shot from 26 ft,3,49-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Parker makes 2-pt shot from 20 ft (assist by M. Brogdon),2,51-51,,
11:28.0,,,51-51,,D. Wade misses 2-pt shot from 16 ft (block by G. Antetokounmpo)
11:27.0,Defensive rebound by J. Parker,,51-51,,
11:25.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,53-51,,
11:11.0,Personal foul by J. Henson (drawn by D. Wade),,53-51,,
11:03.0,,,53-53,2,R. Lopez makes 2-pt shot from 17 ft (assist by D. Wade)
10:40.0,J. Parker makes 2-pt shot from 3 ft (assist by T. Snell),2,55-53,,
10:24.0,,,55-55,2,J. Butler makes 2-pt shot from 2 ft (assist by D. Wade)
10:03.0,Turnover by G. Antetokounmpo (bad pass; steal by M. Carter-Williams),,55-55,,
9:59.0,,,55-55,,Shooting foul by M. Brogdon (drawn by M. Carter-Williams)
9:59.0,,,55-56,1,M. Carter-Williams makes free throw 1 of 2
9:59.0,,,55-56,,M. Carter-Williams misses free throw 2 of 2
9:59.0,Defensive rebound by M. Brogdon,,55-56,,
9:45.0,,,55-56,,Violation by R. Lopez (kicked ball)
9:34.0,M. Brogdon makes 2-pt shot from 3 ft,2,57-56,,
9:13.0,,,57-56,,Turnover by R. Lopez (3 sec)
9:03.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,59-56,,
8:36.0,Personal foul by J. Henson (drawn by T. Gibson),,59-56,,
8:36.0,G. Monroe enters the game for J. Henson,,59-56,,
8:29.0,,,59-58,2,D. Wade makes 2-pt shot at rim (assist by T. Gibson)
8:13.0,M. Brogdon misses 2-pt shot from 12 ft,,59-58,,
8:12.0,Offensive rebound by M. Brogdon,,59-58,,
8:08.0,T. Snell makes 3-pt shot from 26 ft (assist by M. Brogdon),3,62-58,,
7:51.0,,,62-58,,D. Wade misses 3-pt shot from 25 ft
7:49.0,,,62-58,,Offensive rebound by J. Butler
7:39.0,,,62-58,,D. Wade misses 2-pt shot from 19 ft
7:38.0,Defensive rebound by M. Brogdon,,62-58,,
7:25.0,J. Parker misses 2-pt shot from 21 ft,,62-58,,
7:24.0,,,62-58,,Defensive rebound by R. Lopez
7:00.0,,,62-60,2,R. Lopez makes 2-pt shot from 7 ft
6:47.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,65-60,,
6:30.0,,,65-60,,D. Wade misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by J. Parker,,65-60,,
6:25.0,M. Brogdon makes 2-pt shot from 2 ft (assist by J. Parker),2,67-60,,
6:25.0,,,67-60,,Chicago full timeout
6:02.0,,,67-60,,R. Lopez misses 2-pt shot from 18 ft
6:00.0,Defensive rebound by J. Parker,,67-60,,
5:55.0,,,67-60,,D. McDermott enters the game for D. Wade
5:46.0,G. Antetokounmpo makes 2-pt shot from 12 ft,2,69-60,,
5:28.0,,,69-63,3,J. Butler makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
5:10.0,J. Parker makes 2-pt shot from 2 ft (assist by M. Brogdon),2,71-63,,
4:44.0,,,71-63,,R. Lopez misses 2-pt shot from 7 ft
4:43.0,Defensive rebound by M. Brogdon,,71-63,,
4:39.0,Shooting foul by M. Carter-Williams (drawn by G. Monroe),,71-63,,
4:39.0,G. Monroe misses free throw 1 of 2,,71-63,,
4:39.0,Offensive rebound by Team,,71-63,,
4:39.0,G. Monroe makes free throw 2 of 2,1,72-63,,
4:39.0,,,71-63,,N. Mirotic enters the game for T. Gibson
4:39.0,,,71-63,,J. Grant enters the game for M. Carter-Williams
4:39.0,J. Terry enters the game for T. Snell,,71-63,,
4:39.0,M. Teletovic enters the game for G. Antetokounmpo,,71-63,,
4:22.0,,,72-66,3,D. McDermott makes 3-pt shot from 25 ft (assist by J. Butler)
4:02.0,J. Parker makes 2-pt shot from 2 ft,2,74-66,,
4:02.0,Shooting foul by J. Butler (drawn by J. Parker),,74-66,,
4:02.0,J. Parker makes free throw 1 of 1,1,75-66,,
3:44.0,,,75-66,,Turnover by J. Butler (bad pass)
3:34.0,M. Brogdon makes 2-pt shot from 2 ft,2,77-66,,
3:21.0,,,77-66,,J. Butler misses 3-pt shot from 25 ft
3:20.0,,,77-66,,Offensive rebound by J. Butler
3:20.0,,,77-66,,Shooting foul by M. Teletovic (drawn by J. Butler)
3:20.0,,,77-67,1,J. Butler makes free throw 1 of 2
3:20.0,,,77-68,1,J. Butler makes free throw 2 of 2
2:59.0,G. Monroe misses 2-pt shot from 21 ft,,77-68,,
2:58.0,,,77-68,,Defensive rebound by N. Mirotic
2:43.0,,,77-68,,Shooting foul by M. Teletovic (drawn by J. Butler)
2:43.0,Milwaukee full timeout,,77-68,,
2:43.0,,,77-69,1,J. Butler makes free throw 1 of 2
2:43.0,,,77-70,1,J. Butler makes free throw 2 of 2
2:43.0,G. Antetokounmpo enters the game for M. Brogdon,,77-68,,
2:29.0,Turnover by J. Parker (traveling),,77-70,,
2:16.0,,,77-70,,J. Grant misses 3-pt shot from 25 ft
2:15.0,,,77-70,,Offensive rebound by N. Mirotic
1:57.0,,,77-73,3,J. Grant makes 3-pt shot from 23 ft (assist by J. Butler)
1:35.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,79-73,,
1:19.0,,,79-76,3,D. McDermott makes 3-pt shot from 24 ft (assist by J. Butler)
1:06.0,J. Parker misses 2-pt shot from 3 ft (block by R. Lopez),,79-76,,
1:04.0,Offensive rebound by G. Monroe,,79-76,,
1:02.0,G. Monroe misses 2-pt shot from 2 ft,,79-76,,
1:01.0,,,79-76,,Defensive rebound by J. Butler
0:55.0,,,79-76,,J. Grant misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by G. Antetokounmpo,,79-76,,
0:52.0,,,79-76,,Personal foul by J. Grant (drawn by G. Antetokounmpo)
0:52.0,,,79-76,,C. Felicio enters the game for R. Lopez
0:39.0,Turnover by G. Antetokounmpo (traveling),,79-76,,
0:33.0,,,79-76,,Shooting foul by J. Terry (drawn by J. Butler)
0:33.0,,,79-76,,J. Butler misses free throw 1 of 2
0:33.0,,,79-76,,Offensive rebound by Team
0:33.0,,,79-76,,J. Butler misses free throw 2 of 2
0:32.0,Defensive rebound by G. Monroe,,79-76,,
0:28.0,Turnover by G. Monroe (bad pass; steal by C. Felicio),,79-76,,
0:25.0,,,79-76,,Turnover by C. Felicio (bad pass; steal by J. Terry)
0:25.0,,,79-76,,Personal foul by D. McDermott (drawn by J. Terry)
0:25.0,J. Terry misses free throw 1 of 2,,79-76,,
0:25.0,Offensive rebound by Team,,79-76,,
0:25.0,J. Terry makes free throw 2 of 2,1,80-76,,
0:25.0,M. Brogdon enters the game for J. Parker,,79-76,,
0:01.0,,,80-76,,C. Felicio misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
0:00.0,Defensive rebound by M. Brogdon,,80-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,80-79,3,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Wade)
11:34.0,,,80-79,,Personal foul by C. Felicio (drawn by G. Monroe)
11:25.0,M. Teletovic misses 2-pt shot from 2 ft,,80-79,,
11:24.0,,,80-79,,Defensive rebound by C. Felicio
11:11.0,,,80-79,,N. Mirotic misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by G. Monroe,,80-79,,
10:52.0,G. Monroe misses 2-pt shot from 5 ft,,80-79,,
10:52.0,Offensive rebound by Team,,80-79,,
10:52.0,,,80-79,,Personal foul by N. Mirotic (drawn by G. Monroe)
10:52.0,J. Parker enters the game for M. Teletovic,,80-79,,
10:44.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,82-79,,
10:44.0,Shooting foul by C. Felicio (drawn by G. Antetokounmpo),,82-79,,
10:44.0,G. Antetokounmpo makes free throw 1 of 1,1,83-79,,
10:22.0,,,83-79,,D. Wade misses 2-pt shot from 4 ft
10:22.0,Defensive rebound by Team,,83-79,,
10:22.0,,,83-79,,T. Gibson enters the game for D. McDermott
10:04.0,G. Antetokounmpo makes 2-pt shot from 21 ft,2,85-79,,
9:45.0,,,85-79,,D. Wade misses 2-pt shot at rim
9:44.0,Defensive rebound by G. Antetokounmpo,,85-79,,
9:39.0,M. Brogdon makes 2-pt shot at rim (assist by J. Parker),2,87-79,,
9:39.0,,,87-79,,Chicago full timeout
9:22.0,,,87-79,,J. Grant misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by G. Monroe,,87-79,,
9:15.0,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Monroe),2,89-79,,
9:02.0,Personal foul by J. Terry (drawn by N. Mirotic),,89-79,,
9:02.0,,,89-79,,J. Butler enters the game for J. Grant
8:49.0,,,89-79,,Turnover by D. Wade (lost ball; steal by G. Monroe)
8:49.0,,,89-79,,Personal foul by D. Wade (drawn by G. Monroe)
8:37.0,Shooting foul by C. Felicio (drawn by G. Antetokounmpo),,89-79,,
8:37.0,G. Antetokounmpo makes free throw 1 of 2,1,90-79,,
8:37.0,G. Antetokounmpo misses free throw 2 of 2,,90-79,,
8:33.0,Offensive rebound by G. Antetokounmpo,,90-79,,
8:23.0,J. Parker misses 3-pt shot from 22 ft,,90-79,,
8:22.0,,,90-79,,Defensive rebound by D. Wade
8:08.0,,,90-79,,Shooting foul by G. Antetokounmpo (drawn by J. Butler)
8:08.0,,,90-80,1,J. Butler makes free throw 1 of 2
8:08.0,,,90-81,1,J. Butler makes free throw 2 of 2
8:08.0,,,90-80,,D. McDermott enters the game for N. Mirotic
7:52.0,M. Brogdon makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,92-81,,
7:28.0,,,92-83,2,J. Butler makes 2-pt shot from 18 ft (assist by D. McDermott)
7:06.0,Shooting foul by T. Gibson (drawn by G. Antetokounmpo),,92-83,,
7:06.0,G. Antetokounmpo makes free throw 1 of 2,1,93-83,,
7:06.0,G. Antetokounmpo makes free throw 2 of 2,1,94-83,,
7:06.0,,,93-83,,M. Carter-Williams enters the game for D. Wade
6:45.0,,,94-85,2,C. Felicio makes 2-pt shot from 6 ft (assist by J. Butler)
6:26.0,G. Antetokounmpo misses 2-pt shot at rim,,94-85,,
6:24.0,,,94-85,,Defensive rebound by J. Butler
6:18.0,,,94-85,,D. McDermott misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by M. Brogdon,,94-85,,
6:07.0,J. Terry misses 3-pt shot from 24 ft,,94-85,,
6:06.0,,,94-85,,Defensive rebound by T. Gibson
5:53.0,,,94-85,,J. Butler misses 2-pt shot from 2 ft
5:53.0,,,94-85,,Offensive rebound by J. Butler
5:53.0,,,94-85,,Shooting foul by M. Brogdon (drawn by J. Butler)
5:53.0,,,94-85,,Chicago full timeout
5:53.0,,,94-85,,J. Butler misses free throw 1 of 2
5:53.0,,,94-85,,Offensive rebound by Team
5:53.0,,,94-86,1,J. Butler makes free throw 2 of 2
5:53.0,T. Snell enters the game for J. Terry,,94-85,,
5:43.0,M. Brogdon misses 2-pt shot from 1 ft (block by M. Carter-Williams),,94-86,,
5:43.0,Offensive rebound by Team,,94-86,,
5:27.0,J. Parker makes 3-pt shot from 23 ft (assist by M. Brogdon),3,97-86,,
5:12.0,,,97-86,,Shooting foul by G. Monroe (drawn by T. Gibson)
5:12.0,,,97-87,1,T. Gibson makes free throw 1 of 2
5:12.0,,,97-88,1,T. Gibson makes free throw 2 of 2
5:12.0,,,97-87,,R. Lopez enters the game for C. Felicio
5:03.0,Shooting foul by R. Lopez (drawn by J. Parker),,97-88,,
5:03.0,J. Parker makes free throw 1 of 2,1,98-88,,
5:03.0,J. Parker makes free throw 2 of 2,1,99-88,,
4:43.0,,,99-90,2,T. Gibson makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
4:24.0,J. Parker makes 2-pt shot from 18 ft,2,101-90,,
4:09.0,,,101-90,,R. Lopez misses 2-pt shot from 18 ft
4:08.0,Defensive rebound by M. Brogdon,,101-90,,
3:58.0,Turnover by J. Parker (lost ball; steal by D. McDermott),,101-90,,
3:50.0,,,101-90,,J. Butler misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by G. Antetokounmpo,,101-90,,
3:33.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Brogdon),2,103-90,,
3:33.0,,,103-90,,Chicago full timeout
