time,LA Lakers,pts.away,score,pts.home,San Antonio
0:51.0,Defensive rebound by L. Williams,,20-36,,
0:37.0,T. Black makes 2-pt shot from 1 ft (assist by L. Deng),2,22-36,,
0:17.0,,,22-36,,P. Mills misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by L. Deng,,22-36,,
0:07.0,Shooting foul by M. Ginobili,,22-36,,
0:07.0,L. Williams makes free throw 1 of 2,1,23-36,,
0:07.0,L. Williams makes free throw 2 of 2,1,24-36,,
0:07.0,,,23-36,,K. Leonard enters the game for M. Ginobili
0:07.0,,,23-36,,D. Bertans enters the game for D. Dedmon
0:00.0,,,24-36,,K. Leonard misses 3-pt shot from 27 ft
0:00.0,,,24-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Shooting foul by J. Simmons (drawn by J. Clarkson),,24-36,,
11:44.0,J. Clarkson makes free throw 1 of 2,1,25-36,,
11:44.0,J. Clarkson misses free throw 2 of 2,,25-36,,
11:44.0,,,25-36,,Defensive rebound by D. Dedmon
11:30.0,,,25-36,,J. Simmons misses 3-pt shot from 23 ft
11:29.0,Defensive rebound by J. Clarkson,,25-36,,
11:16.0,,,25-36,,Personal foul by P. Mills
11:11.0,L. Williams misses 2-pt shot from 14 ft,,25-36,,
11:09.0,,,25-36,,Defensive rebound by D. Dedmon
11:00.0,,,25-36,,P. Mills misses 2-pt shot from 18 ft
10:59.0,,,25-36,,Offensive rebound by D. Dedmon
10:55.0,,,25-38,2,D. Dedmon makes 2-pt shot from 4 ft
10:40.0,L. Deng misses 3-pt shot from 24 ft,,25-38,,
10:38.0,,,25-38,,Defensive rebound by P. Mills
10:22.0,Personal foul by J. Clarkson (drawn by D. Dedmon),,25-38,,
10:18.0,,,25-38,,Turnover by D. Lee (bad pass)
10:08.0,Turnover by L. Deng (bad pass; steal by D. Dedmon),,25-38,,
9:57.0,,,25-40,2,D. Dedmon makes 2-pt shot at rim (assist by J. Simmons)
9:50.0,LA Lakers full timeout,,25-40,,
9:50.0,,,25-40,,D. Green enters the game for M. Ginobili
9:50.0,,,25-40,,L. Aldridge enters the game for D. Lee
9:50.0,J. Randle enters the game for L. Deng,,25-40,,
9:40.0,L. Williams makes 3-pt shot from 24 ft (assist by J. Randle),3,28-40,,
9:39.0,,,28-40,,San Antonio full timeout
9:26.0,,,28-40,,Shooting foul by L. Williams (drawn by P. Mills)
9:26.0,,,28-40,,P. Mills misses free throw 1 of 2
9:26.0,,,28-40,,Offensive rebound by Team
9:26.0,,,28-41,1,P. Mills makes free throw 2 of 2
9:12.0,J. Randle misses 2-pt shot from 5 ft,,28-41,,
9:11.0,Offensive rebound by Team,,28-41,,
9:11.0,,,28-41,,T. Parker enters the game for P. Mills
9:11.0,,,28-41,,K. Leonard enters the game for J. Simmons
9:08.0,J. Clarkson makes 2-pt shot from 19 ft (assist by L. Williams),2,30-41,,
8:55.0,,,30-41,,Offensive charge foul by D. Dedmon
8:55.0,,,30-41,,Turnover by D. Dedmon (offensive foul)
8:55.0,,,30-41,,P. Gasol enters the game for D. Dedmon
8:39.0,J. Clarkson misses 3-pt shot from 25 ft,,30-41,,
8:37.0,Offensive rebound by T. Black,,30-41,,
8:34.0,T. Black misses 2-pt shot from 3 ft,,30-41,,
8:31.0,Offensive rebound by T. Black,,30-41,,
8:31.0,T. Black makes 2-pt shot from 2 ft,2,32-41,,
8:19.0,,,32-43,2,T. Parker makes 2-pt shot from 15 ft (assist by P. Gasol)
8:09.0,J. Randle makes 2-pt shot from 6 ft (assist by J. Clarkson),2,34-43,,
7:50.0,,,34-45,2,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker)
7:43.0,J. Clarkson makes 2-pt shot from 16 ft,2,36-45,,
7:26.0,,,36-45,,L. Aldridge misses 2-pt shot from 17 ft
7:25.0,Defensive rebound by J. Randle,,36-45,,
7:19.0,J. Randle makes 2-pt shot from 4 ft,2,38-45,,
7:19.0,Shooting foul by P. Gasol (drawn by J. Randle),,38-45,,
7:19.0,J. Randle makes free throw 1 of 1,1,39-45,,
7:08.0,,,39-45,,Turnover by P. Gasol (lost ball; steal by J. Randle)
7:04.0,J. Randle makes 2-pt shot at rim (assist by B. Ingram),2,41-45,,
6:46.0,Personal block foul by T. Black (drawn by P. Gasol),,41-45,,
6:40.0,,,41-47,2,T. Parker makes 2-pt shot from 2 ft
6:21.0,J. Clarkson misses 3-pt shot from 24 ft,,41-47,,
6:19.0,,,41-47,,Defensive rebound by L. Aldridge
6:13.0,,,41-49,2,K. Leonard makes 2-pt shot from 2 ft (assist by D. Green)
6:13.0,LA Lakers full timeout,,41-49,,
6:13.0,T. Mozgov enters the game for T. Black,,41-49,,
6:13.0,D. Russell enters the game for J. Clarkson,,41-49,,
5:51.0,T. Mozgov misses 2-pt shot from 6 ft,,41-49,,
5:49.0,Offensive rebound by L. Williams,,41-49,,
5:45.0,L. Williams makes 2-pt shot from 2 ft,2,43-49,,
5:24.0,,,43-52,3,D. Green makes 3-pt shot from 23 ft (assist by P. Gasol)
5:01.0,J. Randle makes 2-pt shot from 14 ft,2,45-52,,
4:51.0,Personal foul by T. Mozgov (drawn by L. Aldridge),,45-52,,
4:51.0,L. Deng enters the game for L. Williams,,45-52,,
4:51.0,N. Young enters the game for B. Ingram,,45-52,,
4:51.0,T. Robinson enters the game for T. Mozgov,,45-52,,
4:46.0,,,45-52,,Shooting foul by D. Russell (drawn by P. Gasol)
4:46.0,,,45-53,1,P. Gasol makes free throw 1 of 2
4:46.0,,,45-54,1,P. Gasol makes free throw 2 of 2
4:24.0,D. Russell misses 3-pt shot from 24 ft,,45-54,,
4:23.0,,,45-54,,Defensive rebound by P. Gasol
4:13.0,,,45-56,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Green)
4:06.0,J. Randle misses 2-pt shot from 4 ft,,45-56,,
4:04.0,,,45-56,,Defensive rebound by D. Green
3:57.0,,,45-56,,D. Green misses 3-pt shot from 23 ft
3:56.0,Defensive rebound by Team,,45-56,,
3:43.0,N. Young makes 2-pt shot from 21 ft (assist by T. Robinson),2,47-56,,
3:26.0,,,47-58,2,T. Parker makes 2-pt shot from 15 ft (assist by K. Leonard)
3:26.0,,,47-58,,Shooting foul by N. Young (drawn by T. Parker)
3:26.0,,,47-59,1,T. Parker makes free throw 1 of 1
3:03.0,D. Russell misses 2-pt shot from 2 ft,,47-59,,
3:02.0,Offensive rebound by T. Robinson,,47-59,,
2:57.0,T. Robinson makes 2-pt shot from 1 ft,2,49-59,,
2:48.0,,,49-61,2,P. Gasol makes 2-pt shot from 6 ft
2:48.0,,,49-61,,Shooting foul by T. Robinson (drawn by P. Gasol)
2:48.0,Official timeout,,49-61,,
2:48.0,,,49-61,,P. Gasol misses free throw 1 of 1
2:48.0,,,49-61,,P. Mills enters the game for T. Parker
2:47.0,,,49-61,,Offensive rebound by L. Aldridge
2:40.0,,,49-61,,D. Green misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by T. Robinson,,49-61,,
2:29.0,,,49-61,,Personal foul by P. Gasol (drawn by L. Deng)
2:23.0,L. Deng misses 2-pt shot from 12 ft,,49-61,,
2:22.0,,,49-61,,Defensive rebound by P. Gasol
2:12.0,Personal foul by T. Robinson (drawn by P. Gasol),,49-61,,
2:12.0,,,49-62,1,P. Gasol makes free throw 1 of 2
2:12.0,,,49-63,1,P. Gasol makes free throw 2 of 2
2:01.0,N. Young misses 3-pt shot from 23 ft,,49-63,,
2:00.0,,,49-63,,Defensive rebound by D. Green
1:48.0,,,49-63,,D. Green misses 2-pt shot from 3 ft
1:47.0,Defensive rebound by T. Robinson,,49-63,,
1:28.0,L. Deng misses 2-pt shot from 16 ft,,49-63,,
1:27.0,,,49-63,,Defensive rebound by P. Gasol
1:16.0,,,49-63,,Shooting foul by J. Randle (drawn by L. Aldridge)
1:16.0,,,49-64,1,L. Aldridge makes free throw 1 of 2
1:16.0,,,49-65,1,L. Aldridge makes free throw 2 of 2
1:16.0,,,49-64,,D. Bertans enters the game for P. Gasol
1:16.0,B. Ingram enters the game for T. Robinson,,49-64,,
1:04.0,J. Randle makes 2-pt shot at rim (assist by D. Russell),2,51-65,,
0:49.0,,,51-67,2,K. Leonard makes 2-pt shot from 1 ft
0:32.0,N. Young makes 3-pt shot from 24 ft (assist by L. Deng),3,54-67,,
0:16.0,,,54-67,,K. Leonard misses 2-pt shot from 20 ft
0:14.0,,,54-67,,Offensive rebound by Team
0:13.0,Personal foul by N. Young (drawn by K. Leonard),,54-67,,
0:13.0,,,54-68,1,K. Leonard makes free throw 1 of 2
0:13.0,,,54-69,1,K. Leonard makes free throw 2 of 2
0:13.0,,,54-68,,J. Simmons enters the game for D. Bertans
0:02.0,Turnover by D. Russell (bad pass; steal by K. Leonard),,54-69,,
0:00.0,,,54-69,,Shooting foul by D. Russell (drawn by K. Leonard)
0:00.0,,,54-70,1,K. Leonard makes free throw 1 of 3
0:00.0,,,54-71,1,K. Leonard makes free throw 2 of 3
0:00.0,,,54-72,1,K. Leonard makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Russell misses 2-pt shot from 18 ft,,54-72,,
11:46.0,,,54-72,,Defensive rebound by K. Leonard
11:33.0,,,54-74,2,L. Aldridge makes 2-pt shot from 5 ft (assist by T. Parker)
11:21.0,D. Russell misses 2-pt shot from 2 ft,,54-74,,
11:18.0,Offensive rebound by T. Mozgov,,54-74,,
10:57.0,J. Randle misses 2-pt shot from 10 ft,,54-74,,
10:56.0,Offensive rebound by T. Mozgov,,54-74,,
10:50.0,N. Young makes 3-pt shot from 26 ft (assist by J. Randle),3,57-74,,
10:34.0,,,57-76,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
10:26.0,L. Deng misses 3-pt shot from 26 ft,,57-76,,
10:26.0,,,57-76,,Defensive rebound by D. Green
10:02.0,,,57-76,,L. Aldridge misses 2-pt shot from 16 ft
10:02.0,Defensive rebound by T. Mozgov,,57-76,,
9:42.0,T. Mozgov misses 2-pt shot from 12 ft,,57-76,,
9:41.0,,,57-76,,Defensive rebound by D. Green
9:30.0,,,57-78,2,K. Leonard makes 2-pt shot from 21 ft
9:30.0,L. Williams enters the game for L. Deng,,57-78,,
9:30.0,T. Robinson enters the game for J. Randle,,57-78,,
9:30.0,B. Ingram enters the game for T. Mozgov,,57-78,,
9:30.0,T. Black enters the game for N. Young,,57-78,,
9:30.0,LA Lakers full timeout,,57-78,,
9:14.0,B. Ingram misses 2-pt shot from 17 ft,,57-78,,
9:13.0,,,57-78,,Defensive rebound by Team
9:13.0,J. Clarkson enters the game for D. Russell,,57-78,,
8:59.0,,,57-80,2,K. Leonard makes 2-pt shot at rim (assist by P. Gasol)
8:43.0,J. Clarkson misses 2-pt shot from 19 ft,,57-80,,
8:43.0,Offensive rebound by Team,,57-80,,
8:34.0,Turnover by L. Williams (bad pass),,57-80,,
8:26.0,Personal foul by J. Clarkson (drawn by T. Parker),,57-80,,
8:26.0,J. Randle enters the game for T. Robinson,,57-80,,
8:12.0,,,57-80,,L. Aldridge misses 2-pt shot from 6 ft
8:12.0,Defensive rebound by B. Ingram,,57-80,,
7:55.0,L. Williams misses 2-pt shot from 14 ft (block by D. Green),,57-80,,
7:55.0,Offensive rebound by Team,,57-80,,
7:49.0,Shooting foul by D. Green (drawn by J. Clarkson),,57-80,,
7:49.0,J. Clarkson misses free throw 1 of 2,,57-80,,
7:49.0,Offensive rebound by Team,,57-80,,
7:49.0,J. Clarkson makes free throw 2 of 2,1,58-80,,
7:34.0,,,58-82,2,P. Gasol makes 2-pt shot from 9 ft (assist by K. Leonard)
7:17.0,J. Clarkson makes 2-pt shot from 6 ft,2,60-82,,
7:06.0,Jump ball: J. Clarkson vs. T. Parker (L. Aldridge gains possession),,,,Jump ball: J. Clarkson vs. T. Parker (L. Aldridge gains possession)
6:49.0,,,60-82,,T. Parker misses 2-pt shot from 4 ft
6:47.0,Defensive rebound by T. Black,,60-82,,
6:46.0,Shooting foul by D. Green,,60-82,,
6:46.0,L. Williams makes free throw 1 of 2,1,61-82,,
6:46.0,L. Williams makes free throw 2 of 2,1,62-82,,
6:40.0,Personal block foul by J. Randle (drawn by T. Parker),,62-82,,
6:35.0,Personal foul by J. Randle (drawn by P. Gasol),,62-82,,
6:26.0,,,62-84,2,P. Gasol makes 2-pt shot from 18 ft (assist by D. Green)
6:13.0,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson),2,64-84,,
5:58.0,,,64-84,,K. Leonard misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by J. Randle,,64-84,,
5:49.0,B. Ingram misses 3-pt shot from 24 ft,,64-84,,
5:48.0,,,64-84,,Defensive rebound by T. Parker
5:43.0,Shooting block foul by T. Black (drawn by K. Leonard),,64-84,,
5:43.0,,,64-85,1,K. Leonard makes free throw 1 of 2
5:43.0,,,64-86,1,K. Leonard makes free throw 2 of 2
5:43.0,,,64-85,,M. Ginobili enters the game for D. Green
5:36.0,Turnover by T. Black (lost ball; steal by K. Leonard),,64-86,,
5:26.0,,,64-88,2,K. Leonard makes 2-pt shot from 3 ft
5:14.0,J. Clarkson makes 2-pt shot from 17 ft,2,66-88,,
4:59.0,,,66-88,,P. Mills enters the game for T. Parker
4:47.0,,,66-91,3,L. Aldridge makes 3-pt shot from 26 ft (assist by P. Mills)
4:40.0,Shooting foul by P. Mills (drawn by L. Williams),,66-91,,
4:40.0,L. Williams misses free throw 1 of 2,,66-91,,
4:40.0,Offensive rebound by Team,,66-91,,
4:40.0,L. Williams makes free throw 2 of 2,1,67-91,,
4:40.0,,,66-91,,D. Lee enters the game for L. Aldridge
4:17.0,,,67-91,,D. Lee misses 2-pt shot from 3 ft
4:17.0,Defensive rebound by B. Ingram,,67-91,,
4:01.0,Turnover by B. Ingram (lost ball; steal by D. Lee),,67-91,,
4:00.0,Personal foul by L. Williams,,67-91,,
4:00.0,,,67-92,1,M. Ginobili makes free throw 1 of 2
4:00.0,,,67-93,1,M. Ginobili makes free throw 2 of 2
4:00.0,,,67-92,,K. Anderson enters the game for K. Leonard
3:41.0,L. Williams misses 3-pt shot from 26 ft,,67-93,,
3:40.0,,,67-93,,Defensive rebound by P. Gasol
3:32.0,,,67-93,,M. Ginobili misses 3-pt shot from 24 ft (block by B. Ingram)
3:30.0,Defensive rebound by J. Randle,,67-93,,
3:23.0,L. Williams misses 2-pt shot from 1 ft,,67-93,,
3:22.0,,,67-93,,Defensive rebound by P. Gasol
3:12.0,,,67-95,2,P. Mills makes 2-pt shot from 1 ft (assist by D. Lee)
3:03.0,,,67-95,,Personal foul by K. Anderson (drawn by B. Ingram)
2:51.0,J. Clarkson makes 2-pt shot from 3 ft,2,69-95,,
2:36.0,,,69-97,2,P. Gasol makes 2-pt shot at rim (assist by P. Mills)
2:36.0,LA Lakers full timeout,,69-97,,
2:36.0,,,69-97,,San Antonio full timeout
2:36.0,,,69-97,,D. Dedmon enters the game for P. Gasol
2:36.0,,,69-97,,J. Simmons enters the game for M. Ginobili
2:36.0,D. Russell enters the game for L. Williams,,69-97,,
2:36.0,M. Huertas enters the game for T. Black,,69-97,,
2:30.0,I. Zubac enters the game for J. Randle,,69-97,,
2:19.0,I. Zubac makes 2-pt shot from 3 ft (assist by J. Clarkson),2,71-97,,
2:05.0,,,71-97,,Turnover by P. Mills (bad pass)
2:00.0,,,71-97,,Personal foul by P. Mills
2:00.0,B. Ingram misses free throw 1 of 2,,71-97,,
2:00.0,Offensive rebound by Team,,71-97,,
2:00.0,B. Ingram makes free throw 2 of 2,1,72-97,,
1:40.0,,,72-99,2,J. Simmons makes 2-pt shot at rim (assist by D. Lee)
1:27.0,B. Ingram misses 2-pt shot from 17 ft,,72-99,,
1:26.0,,,72-99,,Defensive rebound by D. Dedmon
1:16.0,,,72-99,,D. Dedmon misses 2-pt shot from 4 ft (block by I. Zubac)
1:15.0,,,72-99,,Offensive rebound by Team
1:13.0,,,72-99,,Shooting foul by D. Russell (drawn by K. Anderson)
1:13.0,,,72-100,1,K. Anderson makes free throw 1 of 2
1:13.0,,,72-101,1,K. Anderson makes free throw 2 of 2
1:00.0,Turnover by I. Zubac (lost ball; steal by D. Lee),,72-101,,
0:55.0,,,72-101,,Turnover by D. Lee (bad pass)
0:41.0,D. Russell makes 3-pt shot from 24 ft (assist by M. Huertas),3,75-101,,
0:29.0,,,75-104,3,P. Mills makes 3-pt shot from 23 ft (assist by D. Dedmon)
0:14.0,B. Ingram misses 3-pt shot from 26 ft,,75-104,,
0:13.0,,,75-104,,Defensive rebound by J. Simmons
0:01.0,,,75-106,2,J. Simmons makes 2-pt shot from 5 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,75-106,,K. Anderson misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by I. Zubac,,75-106,,
11:20.0,J. Randle misses 2-pt shot from 5 ft (block by D. Dedmon),,75-106,,
11:18.0,,,75-106,,Defensive rebound by J. Simmons
11:12.0,,,75-106,,P. Mills misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by J. Randle,,75-106,,
11:01.0,M. Huertas misses 2-pt shot from 3 ft,,75-106,,
11:01.0,,,75-106,,Defensive rebound by K. Anderson
10:49.0,,,75-108,2,D. Lee makes 2-pt shot from 2 ft (assist by D. Dedmon)
10:38.0,J. Clarkson makes 2-pt shot from 3 ft (assist by M. Huertas),2,77-108,,
10:26.0,,,77-111,3,K. Anderson makes 3-pt shot from 23 ft (assist by D. Lee)
10:10.0,I. Zubac makes 2-pt shot from 6 ft (assist by M. Huertas),2,79-111,,
9:57.0,,,79-111,,Turnover by D. Lee (lost ball)
9:57.0,,,79-111,,D. Murray enters the game for P. Mills
9:57.0,,,79-111,,D. Bertans enters the game for D. Lee
9:44.0,M. Huertas misses 2-pt shot from 8 ft,,79-111,,
9:44.0,,,79-111,,Defensive rebound by D. Dedmon
9:39.0,,,79-111,,Turnover by D. Murray (bad pass)
9:27.0,D. Russell misses 3-pt shot from 24 ft,,79-111,,
9:26.0,,,79-111,,Defensive rebound by D. Dedmon
9:15.0,,,79-113,2,D. Murray makes 2-pt shot from 5 ft
8:51.0,J. Randle misses 2-pt shot from 1 ft,,79-113,,
8:50.0,,,79-113,,Defensive rebound by J. Simmons
8:42.0,,,79-113,,D. Bertans misses 3-pt shot from 24 ft
8:42.0,,,79-113,,Offensive rebound by D. Dedmon
8:39.0,,,79-115,2,J. Simmons makes 2-pt shot at rim (assist by D. Bertans)
8:39.0,LA Lakers full timeout,,79-115,,
8:39.0,B. Ingram enters the game for J. Clarkson,,79-115,,
8:24.0,D. Russell misses 2-pt shot from 10 ft,,79-115,,
8:23.0,Offensive rebound by I. Zubac,,79-115,,
8:18.0,I. Zubac misses 2-pt shot from 1 ft,,79-115,,
8:17.0,,,79-115,,Defensive rebound by D. Dedmon
8:04.0,,,79-115,,Turnover by K. Anderson (bad pass; steal by I. Zubac)
7:56.0,I. Zubac makes 2-pt shot at rim (assist by J. Randle),2,81-115,,
7:39.0,,,81-118,3,D. Murray makes 3-pt shot from 23 ft (assist by J. Simmons)
7:17.0,Shooting foul by D. Bertans (drawn by J. Randle),,81-118,,
7:17.0,J. Randle makes free throw 1 of 2,1,82-118,,
7:17.0,J. Randle makes free throw 2 of 2,1,83-118,,
6:55.0,,,83-121,3,D. Bertans makes 3-pt shot from 24 ft (assist by J. Simmons)
6:38.0,I. Zubac makes 2-pt shot from 18 ft (assist by D. Russell),2,85-121,,
6:20.0,,,85-121,,Turnover by J. Simmons (bad pass; steal by I. Zubac)
6:18.0,Shooting foul by D. Bertans (drawn by J. Randle),,85-121,,
6:18.0,J. Randle makes free throw 1 of 2,1,86-121,,
6:18.0,J. Randle misses free throw 2 of 2,,86-121,,
6:18.0,,,86-121,,Defensive rebound by D. Bertans
5:53.0,,,86-124,3,D. Murray makes 3-pt shot from 25 ft (assist by D. Bertans)
5:33.0,B. Ingram makes 2-pt shot at rim (assist by D. Russell),2,88-124,,
5:19.0,,,88-124,,D. Murray misses 2-pt shot from 8 ft
5:17.0,Defensive rebound by M. Huertas,,88-124,,
5:08.0,,,88-124,,Personal foul by J. Simmons (drawn by J. Randle)
5:08.0,Official timeout,,88-124,,
5:08.0,J. Calderon enters the game for D. Russell,,88-124,,
5:08.0,T. Robinson enters the game for J. Randle,,88-124,,
4:57.0,M. Huertas misses 2-pt shot from 19 ft,,88-124,,
4:57.0,Offensive rebound by I. Zubac,,88-124,,
4:57.0,,,88-124,,Personal foul by D. Bertans (drawn by I. Zubac)
