time,Minnesota,pts.away,score,pts.home,LA Clippers
3:03.0,K. Towns misses 2-pt shot from 15 ft,,21-22,,
3:03.0,,,21-22,,Defensive rebound by D. Jordan
3:00.0,,,21-22,,Turnover by M. Speights (traveling)
2:48.0,R. Rubio misses 2-pt shot from 16 ft,,21-22,,
2:48.0,,,21-22,,Defensive rebound by Team
2:48.0,Loose ball foul by G. Dieng (drawn by M. Speights),,21-22,,
2:48.0,Minnesota full timeout,,21-22,,
2:48.0,C. Aldrich enters the game for G. Dieng,,21-22,,
2:48.0,N. Bjelica enters the game for K. Towns,,21-22,,
2:48.0,,,21-22,,A. Rivers enters the game for R. Felton
2:27.0,,,21-22,,J. Crawford misses 2-pt shot from 19 ft
2:26.0,Defensive rebound by S. Muhammad,,21-22,,
2:11.0,A. Wiggins makes 2-pt shot from 18 ft,2,23-22,,
1:46.0,,,23-22,,M. Speights misses 3-pt shot from 25 ft
1:45.0,,,23-22,,Offensive rebound by D. Jordan
1:44.0,,,23-22,,Turnover by D. Jordan (bad pass)
1:31.0,A. Wiggins makes 2-pt shot from 16 ft,2,25-22,,
1:15.0,,,25-22,,J. Crawford misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by S. Muhammad,,25-22,,
1:03.0,A. Wiggins misses 2-pt shot from 14 ft,,25-22,,
1:00.0,,,25-22,,Defensive rebound by M. Speights
0:58.0,Personal foul by C. Aldrich (drawn by D. Jordan),,25-22,,
0:58.0,,,25-22,,W. Johnson enters the game for L. Mbah a Moute
0:58.0,,,25-22,,B. Bass enters the game for D. Jordan
0:55.0,,,25-22,,Turnover by B. Bass (bad pass)
0:37.0,R. Rubio misses 3-pt shot from 24 ft,,25-22,,
0:36.0,,,25-22,,Defensive rebound by B. Bass
0:25.0,,,25-22,,A. Rivers misses 2-pt shot from 1 ft (block by A. Wiggins)
0:24.0,Jump ball: A. Rivers vs. A. Wiggins (N. Bjelica gains possession),,,,Jump ball: A. Rivers vs. A. Wiggins (N. Bjelica gains possession)
0:24.0,Defensive rebound by A. Wiggins,,25-22,,
0:02.0,C. Aldrich misses 2-pt shot from 1 ft (block by J. Crawford),,25-22,,
0:01.0,,,25-22,,Defensive rebound by J. Crawford
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Z. LaVine misses 2-pt shot from 2 ft,,25-22,,
11:39.0,,,25-22,,Defensive rebound by W. Johnson
11:30.0,,,25-22,,W. Johnson misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by C. Aldrich,,25-22,,
11:11.0,S. Muhammad misses 2-pt shot from 14 ft,,25-22,,
11:09.0,,,25-22,,Defensive rebound by A. Rivers
11:06.0,,,25-22,,Shooting foul by K. Dunn (drawn by A. Rivers)
11:06.0,,,25-23,1,A. Rivers makes free throw 1 of 2
11:06.0,,,25-24,1,A. Rivers makes free throw 2 of 2
10:57.0,S. Muhammad makes 3-pt shot from 25 ft (assist by C. Aldrich),3,28-24,,
10:36.0,,,28-26,2,M. Speights makes 2-pt shot at rim (assist by B. Bass)
10:28.0,Turnover by K. Dunn (bad pass),,28-26,,
10:16.0,,,28-28,2,B. Bass makes 2-pt shot from 2 ft (assist by M. Speights)
10:16.0,,,28-28,,Shooting foul by C. Aldrich (drawn by B. Bass)
10:16.0,,,28-28,,B. Bass misses free throw 1 of 1
10:16.0,K. Towns enters the game for C. Aldrich,,28-28,,
10:15.0,Defensive rebound by K. Towns,,28-28,,
10:05.0,N. Bjelica misses 3-pt shot from 25 ft,,28-28,,
10:05.0,,,28-28,,Defensive rebound by Team
9:54.0,,,28-28,,M. Speights misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by K. Towns,,28-28,,
9:43.0,Z. LaVine makes 2-pt shot from 2 ft,2,30-28,,
9:35.0,,,30-28,,Turnover by J. Crawford (bad pass)
9:22.0,Turnover by N. Bjelica (bad pass; steal by W. Johnson),,30-28,,
9:20.0,Personal foul by N. Bjelica (drawn by J. Crawford),,30-28,,
9:06.0,,,30-28,,M. Speights misses 2-pt shot at rim (block by K. Dunn)
9:05.0,,,30-28,,Offensive rebound by M. Speights
9:03.0,,,30-28,,M. Speights misses 2-pt shot from 12 ft
9:03.0,Defensive rebound by K. Towns,,30-28,,
8:51.0,N. Bjelica misses 3-pt shot from 25 ft,,30-28,,
8:51.0,Offensive rebound by S. Muhammad,,30-28,,
8:34.0,Turnover by K. Towns (bad pass; steal by W. Johnson),,30-28,,
8:24.0,,,30-28,,A. Rivers misses 2-pt shot from 2 ft
8:23.0,,,30-28,,Offensive rebound by B. Bass
8:23.0,,,30-30,2,B. Bass makes 2-pt shot at rim
8:18.0,Minnesota full timeout,,30-30,,
8:18.0,,,30-30,,D. Jordan enters the game for M. Speights
8:18.0,G. Dieng enters the game for N. Bjelica,,30-30,,
8:02.0,Turnover by Z. LaVine (step out of bounds),,30-30,,
7:50.0,Violation by K. Towns (kicked ball),,30-30,,
7:50.0,,,30-30,,J. Redick enters the game for W. Johnson
7:45.0,Violation by G. Dieng (kicked ball),,30-30,,
7:45.0,A. Wiggins enters the game for S. Muhammad,,30-30,,
7:39.0,,,30-30,,J. Crawford misses 2-pt shot from 14 ft
7:38.0,Defensive rebound by Z. LaVine,,30-30,,
7:31.0,K. Dunn misses 3-pt shot from 26 ft,,30-30,,
7:30.0,,,30-30,,Defensive rebound by D. Jordan
7:22.0,Personal foul by G. Dieng (drawn by D. Jordan),,30-30,,
7:11.0,,,30-32,2,B. Bass makes 2-pt shot from 14 ft (assist by A. Rivers)
6:58.0,A. Wiggins misses 2-pt shot from 6 ft (block by D. Jordan),,30-32,,
6:58.0,Offensive rebound by Team,,30-32,,
6:52.0,Z. LaVine misses 3-pt shot from 24 ft,,30-32,,
6:51.0,Offensive rebound by K. Towns,,30-32,,
6:40.0,K. Dunn makes 2-pt shot from 19 ft,2,32-32,,
6:22.0,,,32-32,,J. Crawford misses 3-pt shot from 25 ft
6:22.0,,,32-32,,Offensive rebound by Team
6:22.0,Loose ball foul by G. Dieng (drawn by D. Jordan),,32-32,,
6:22.0,,,32-33,1,D. Jordan makes free throw 1 of 2
6:22.0,,,32-33,,D. Jordan misses free throw 2 of 2
6:22.0,N. Bjelica enters the game for G. Dieng,,32-33,,
6:22.0,,,32-33,,R. Felton enters the game for J. Crawford
6:21.0,Defensive rebound by K. Towns,,32-33,,
6:08.0,A. Wiggins misses 2-pt shot from 11 ft (block by A. Rivers),,32-33,,
6:06.0,,,32-33,,Defensive rebound by R. Felton
5:58.0,,,32-35,2,A. Rivers makes 2-pt shot from 2 ft
5:39.0,Z. LaVine makes 3-pt shot from 22 ft (assist by K. Dunn),3,35-35,,
5:16.0,,,35-37,2,B. Bass makes 2-pt shot from 1 ft
4:55.0,Official timeout,,35-37,,
4:55.0,R. Rubio enters the game for K. Dunn,,35-37,,
4:51.0,Turnover by Team (shot clock),,35-37,,
4:32.0,,,35-39,2,R. Felton makes 2-pt shot from 2 ft
4:22.0,,,35-39,,Personal foul by R. Felton (drawn by R. Rubio)
4:17.0,K. Towns misses 2-pt shot from 20 ft,,35-39,,
4:16.0,,,35-39,,Defensive rebound by B. Bass
4:01.0,,,35-41,2,D. Jordan makes 2-pt shot from 4 ft (assist by B. Bass)
3:42.0,Turnover by A. Wiggins (lost ball; steal by R. Felton),,35-41,,
3:36.0,,,35-43,2,J. Redick makes 2-pt shot from 20 ft
3:21.0,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns),2,37-43,,
3:21.0,Shooting foul by A. Rivers (drawn by A. Wiggins),,37-43,,
3:21.0,A. Wiggins misses free throw 1 of 1,,37-43,,
3:19.0,,,37-43,,Defensive rebound by Team
2:59.0,,,37-43,,A. Rivers misses 3-pt shot from 25 ft
2:58.0,,,37-43,,Offensive rebound by D. Jordan
2:48.0,,,37-45,2,D. Jordan makes 2-pt shot from 5 ft (assist by B. Bass)
2:30.0,K. Towns misses 2-pt shot from 6 ft,,37-45,,
2:28.0,,,37-45,,Defensive rebound by D. Jordan
2:20.0,,,37-47,2,R. Felton makes 2-pt shot from 2 ft
2:12.0,Minnesota full timeout,,37-47,,
2:12.0,,,37-47,,LA Clippers full timeout
2:12.0,,,37-47,,L. Mbah a Moute enters the game for A. Rivers
1:53.0,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Towns),3,40-47,,
1:34.0,,,40-49,2,J. Redick makes 2-pt shot from 18 ft (assist by R. Felton)
1:13.0,Z. LaVine misses 2-pt shot from 18 ft,,40-49,,
1:10.0,Offensive rebound by K. Towns,,40-49,,
1:03.0,K. Towns makes 2-pt shot from 9 ft (assist by R. Rubio),2,42-49,,
0:42.0,,,42-51,2,B. Bass makes 2-pt shot at rim
0:25.0,,,42-51,,Personal foul by R. Felton (drawn by R. Rubio)
0:25.0,,,42-51,,J. Crawford enters the game for R. Felton
0:20.0,A. Wiggins makes 2-pt shot from 5 ft,2,44-51,,
0:20.0,,,44-51,,LA Clippers full timeout
0:20.0,,,44-51,,A. Rivers enters the game for L. Mbah a Moute
0:20.0,,,44-51,,R. Felton enters the game for B. Bass
0:20.0,T. Jones enters the game for R. Rubio,,44-51,,
0:20.0,K. Dunn enters the game for N. Bjelica,,44-51,,
0:03.0,,,44-51,,R. Felton misses 2-pt shot from 20 ft
0:01.0,,,44-51,,Offensive rebound by D. Jordan
0:01.0,,,44-51,,D. Jordan misses 2-pt shot from 2 ft
0:00.0,,,44-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,K. Towns makes 2-pt shot from 7 ft (assist by A. Wiggins),2,46-51,,
11:24.0,,,46-53,2,A. Rivers makes 2-pt shot from 9 ft (assist by D. Jordan)
11:24.0,,,46-53,,Shooting foul by A. Wiggins (drawn by A. Rivers)
11:24.0,,,46-54,1,A. Rivers makes free throw 1 of 1
11:11.0,G. Dieng misses 2-pt shot from 15 ft,,46-54,,
11:10.0,,,46-54,,Defensive rebound by R. Felton
10:55.0,,,46-54,,R. Felton misses 2-pt shot from 2 ft
10:55.0,,,46-54,,Offensive rebound by J. Redick
10:50.0,,,46-56,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by J. Redick)
10:35.0,A. Wiggins misses 2-pt shot from 8 ft,,46-56,,
10:35.0,,,46-56,,Defensive rebound by Team
10:25.0,,,46-58,2,A. Rivers makes 2-pt shot from 20 ft
10:01.0,K. Dunn misses 2-pt shot from 20 ft,,46-58,,
9:59.0,Offensive rebound by G. Dieng,,46-58,,
9:54.0,K. Towns makes 2-pt shot from 3 ft (assist by G. Dieng),2,48-58,,
9:33.0,,,48-58,,L. Mbah a Moute misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by A. Wiggins,,48-58,,
9:21.0,Shooting foul by D. Jordan (drawn by G. Dieng),,48-58,,
9:21.0,G. Dieng makes free throw 1 of 2,1,49-58,,
9:21.0,G. Dieng makes free throw 2 of 2,1,50-58,,
9:05.0,,,50-61,3,A. Rivers makes 3-pt shot from 25 ft
8:48.0,A. Wiggins misses 2-pt shot from 3 ft,,50-61,,
8:48.0,Offensive rebound by G. Dieng,,50-61,,
8:45.0,G. Dieng makes 2-pt shot from 1 ft,2,52-61,,
8:30.0,,,52-61,,J. Redick misses 2-pt shot from 22 ft
8:28.0,Defensive rebound by K. Dunn,,52-61,,
8:21.0,K. Dunn makes 2-pt shot from 20 ft,2,54-61,,
7:59.0,,,54-63,2,J. Redick makes 2-pt shot from 20 ft (assist by D. Jordan)
7:49.0,Turnover by K. Dunn (bad pass; steal by J. Redick),,54-63,,
7:45.0,,,54-65,2,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Redick)
7:45.0,Minnesota full timeout,,54-65,,
7:23.0,K. Towns makes 2-pt shot from 5 ft,2,56-65,,
6:56.0,,,56-65,,A. Rivers misses 2-pt shot from 17 ft
6:55.0,Defensive rebound by A. Wiggins,,56-65,,
6:49.0,Turnover by K. Dunn (traveling),,56-65,,
6:28.0,,,56-67,2,D. Jordan makes 2-pt shot from 1 ft (assist by R. Felton)
6:06.0,K. Towns makes 2-pt shot from 8 ft (assist by Z. LaVine),2,58-67,,
5:44.0,,,58-69,2,D. Jordan makes 2-pt shot at rim (assist by R. Felton)
5:21.0,Z. LaVine makes 2-pt shot from 15 ft,2,60-69,,
5:03.0,,,60-71,2,R. Felton makes 2-pt shot from 15 ft
4:46.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Dunn),2,62-71,,
4:31.0,,,62-71,,Turnover by A. Rivers (lost ball)
4:17.0,Z. LaVine misses 2-pt shot from 19 ft,,62-71,,
4:17.0,Offensive rebound by G. Dieng,,62-71,,
4:17.0,G. Dieng makes 2-pt shot from 1 ft,2,64-71,,
4:17.0,Shooting foul by L. Mbah a Moute (drawn by G. Dieng),,64-71,,
4:17.0,G. Dieng makes free throw 1 of 1,1,65-71,,
4:17.0,,,64-71,,M. Speights enters the game for A. Rivers
4:17.0,S. Muhammad enters the game for Z. LaVine,,64-71,,
4:08.0,,,65-71,,Turnover by J. Redick (bad pass; steal by K. Towns)
4:02.0,S. Muhammad makes 2-pt shot from 2 ft (assist by K. Towns),2,67-71,,
4:00.0,,,67-71,,LA Clippers full timeout
4:00.0,,,67-71,,J. Crawford enters the game for J. Redick
3:53.0,Personal foul by K. Dunn (drawn by R. Felton),,67-71,,
3:41.0,,,67-71,,R. Felton misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by Team,,67-71,,
3:31.0,Turnover by A. Wiggins (bad pass; steal by R. Felton),,67-71,,
3:25.0,,,67-71,,J. Crawford misses 2-pt shot from 15 ft
3:22.0,,,67-71,,Offensive rebound by R. Felton
3:14.0,,,67-73,2,J. Crawford makes 2-pt shot from 18 ft
2:53.0,Shooting foul by J. Crawford (drawn by S. Muhammad),,67-73,,
2:53.0,S. Muhammad makes free throw 1 of 2,1,68-73,,
2:53.0,S. Muhammad misses free throw 2 of 2,,68-73,,
2:51.0,,,68-73,,Defensive rebound by D. Jordan
2:37.0,,,68-73,,Turnover by M. Speights (bad pass; steal by K. Dunn)
2:31.0,S. Muhammad misses 2-pt shot from 1 ft,,68-73,,
2:29.0,,,68-73,,Defensive rebound by M. Speights
2:19.0,,,68-73,,M. Speights misses 2-pt shot from 19 ft
2:18.0,Defensive rebound by G. Dieng,,68-73,,
2:08.0,A. Wiggins misses 3-pt shot from 27 ft,,68-73,,
2:08.0,Offensive rebound by Team,,68-73,,
2:08.0,,,68-73,,Loose ball foul by J. Crawford (drawn by G. Dieng)
2:08.0,,,68-73,,A. Rivers enters the game for R. Felton
2:08.0,,,68-73,,W. Johnson enters the game for L. Mbah a Moute
1:55.0,K. Towns makes 2-pt shot from 1 ft (assist by K. Dunn),2,70-73,,
1:34.0,,,70-75,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Crawford)
1:18.0,A. Wiggins misses 2-pt shot from 14 ft,,70-75,,
1:16.0,,,70-75,,Defensive rebound by D. Jordan
1:06.0,,,70-77,2,A. Rivers makes 2-pt shot from 2 ft
1:05.0,Minnesota full timeout,,70-77,,
0:54.0,A. Wiggins makes 2-pt shot from 6 ft,2,72-77,,
0:54.0,Shooting foul by D. Jordan (drawn by A. Wiggins),,72-77,,
0:54.0,A. Wiggins makes free throw 1 of 1,1,73-77,,
0:54.0,,,72-77,,B. Bass enters the game for D. Jordan
0:46.0,,,73-79,2,J. Crawford makes 2-pt shot from 3 ft
0:33.0,A. Wiggins misses 2-pt shot from 1 ft,,73-79,,
0:33.0,Offensive rebound by G. Dieng,,73-79,,
0:30.0,G. Dieng misses 2-pt shot from 1 ft (block by M. Speights),,73-79,,
0:30.0,Offensive rebound by K. Towns,,73-79,,
0:30.0,K. Towns makes 2-pt shot at rim,2,75-79,,
0:08.0,,,75-79,,J. Crawford misses 2-pt shot from 19 ft
0:08.0,Defensive rebound by Team,,75-79,,
0:08.0,,,75-79,,Loose ball foul by B. Bass (drawn by A. Wiggins)
0:08.0,A. Wiggins makes free throw 1 of 2,1,76-79,,
0:08.0,A. Wiggins makes free throw 2 of 2,1,77-79,,
0:08.0,,,76-79,,J. Redick enters the game for B. Bass
0:08.0,T. Jones enters the game for K. Towns,,76-79,,
0:03.0,Personal take foul by A. Wiggins (drawn by J. Crawford),,77-79,,
0:02.0,,,77-79,,J. Crawford misses 3-pt shot from 34 ft
0:00.0,,,77-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,77-79,,J. Crawford misses 2-pt shot from 12 ft
11:41.0,Defensive rebound by N. Bjelica,,77-79,,
11:34.0,T. Jones misses 2-pt shot from 8 ft,,77-79,,
11:32.0,,,77-79,,Defensive rebound by M. Speights
11:23.0,Personal foul by Z. LaVine (drawn by J. Crawford),,77-79,,
11:17.0,Personal foul by Z. LaVine (drawn by A. Rivers),,77-79,,
11:09.0,,,77-79,,Shooting foul by N. Bjelica (drawn by M. Speights)
11:09.0,,,77-79,,M. Speights misses free throw 1 of 2
11:09.0,,,77-79,,Offensive rebound by Team
11:09.0,,,77-80,1,M. Speights makes free throw 2 of 2
10:55.0,Turnover by Z. LaVine (lost ball; steal by B. Bass),,77-80,,
10:37.0,,,77-83,3,A. Rivers makes 3-pt shot from 26 ft (assist by B. Bass)
10:25.0,,,77-83,,Personal foul by M. Speights (drawn by G. Dieng)
10:18.0,Z. LaVine misses 3-pt shot from 25 ft,,77-83,,
10:17.0,,,77-83,,Defensive rebound by B. Bass
10:06.0,,,77-83,,M. Speights misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by S. Muhammad,,77-83,,
9:51.0,T. Jones makes 3-pt shot from 24 ft,3,80-83,,
9:37.0,,,80-83,,Shooting foul by G. Dieng (drawn by A. Rivers)
9:37.0,,,80-83,,A. Rivers misses free throw 1 of 2
9:37.0,,,80-83,,Offensive rebound by Team
9:37.0,,,80-84,1,A. Rivers makes free throw 2 of 2
9:21.0,Z. LaVine misses 3-pt shot from 23 ft (block by M. Speights),,80-84,,
9:20.0,,,80-84,,Defensive rebound by J. Crawford
9:16.0,,,80-84,,J. Crawford misses 2-pt shot from 18 ft
9:14.0,,,80-84,,Offensive rebound by J. Crawford
9:14.0,,,80-84,,Shooting foul by G. Dieng (drawn by J. Crawford)
9:14.0,,,80-84,,J. Crawford misses free throw 1 of 2
9:14.0,,,80-84,,Offensive rebound by Team
9:14.0,,,80-85,1,J. Crawford makes free throw 2 of 2
9:14.0,K. Towns enters the game for G. Dieng,,80-84,,
8:59.0,N. Bjelica makes 2-pt shot from 1 ft (assist by T. Jones),2,82-85,,
8:48.0,,,82-85,,Offensive charge foul by A. Rivers
8:48.0,,,82-85,,Turnover by A. Rivers (offensive foul)
8:48.0,Official timeout,,82-85,,
8:48.0,,,82-85,,R. Felton enters the game for M. Speights
8:48.0,,,82-85,,D. Jordan enters the game for W. Johnson
8:34.0,K. Towns misses 2-pt shot from 17 ft,,82-85,,
8:32.0,,,82-85,,Defensive rebound by D. Jordan
8:10.0,,,82-85,,A. Rivers misses 2-pt shot from 19 ft
8:09.0,Defensive rebound by Z. LaVine,,82-85,,
7:55.0,Z. LaVine misses 3-pt shot from 28 ft,,82-85,,
7:50.0,,,82-85,,Defensive rebound by J. Crawford
7:45.0,,,82-87,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
7:24.0,Shooting foul by B. Bass (drawn by S. Muhammad),,82-87,,
7:24.0,S. Muhammad makes free throw 1 of 2,1,83-87,,
7:24.0,S. Muhammad misses free throw 2 of 2,,83-87,,
7:23.0,,,83-87,,Defensive rebound by D. Jordan
7:04.0,,,83-87,,R. Felton misses 2-pt shot from 3 ft
7:00.0,,,83-87,,Offensive rebound by D. Jordan
7:00.0,,,83-87,,D. Jordan misses 2-pt shot from 3 ft
6:56.0,,,83-87,,Offensive rebound by D. Jordan
6:56.0,,,83-89,2,D. Jordan makes 2-pt shot at rim
6:40.0,S. Muhammad misses 2-pt shot from 6 ft,,83-89,,
6:39.0,Offensive rebound by K. Towns,,83-89,,
6:39.0,K. Towns makes 2-pt shot at rim,2,85-89,,
6:21.0,,,85-89,,Turnover by B. Bass (lost ball; steal by Z. LaVine)
6:18.0,Shooting foul by A. Rivers (drawn by Z. LaVine),,85-89,,
6:18.0,Z. LaVine makes free throw 1 of 2,1,86-89,,
6:18.0,Z. LaVine makes free throw 2 of 2,1,87-89,,
6:18.0,,,86-89,,J. Redick enters the game for B. Bass
6:18.0,A. Wiggins enters the game for S. Muhammad,,86-89,,
6:05.0,,,87-91,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
6:00.0,Minnesota full timeout,,87-91,,
6:00.0,,,87-91,,L. Mbah a Moute enters the game for A. Rivers
6:00.0,K. Dunn enters the game for N. Bjelica,,87-91,,
5:48.0,A. Wiggins misses 2-pt shot from 3 ft (block by D. Jordan),,87-91,,
5:47.0,,,87-91,,Defensive rebound by J. Redick
5:37.0,,,87-91,,Turnover by L. Mbah a Moute (offensive foul)
5:37.0,,,87-91,,Offensive charge foul by L. Mbah a Moute
5:26.0,Shooting foul by D. Jordan (drawn by K. Towns),,87-91,,
5:26.0,K. Towns makes free throw 1 of 2,1,88-91,,
5:26.0,K. Towns makes free throw 2 of 2,1,89-91,,
5:10.0,,,89-91,,J. Redick misses 3-pt shot from 25 ft
5:08.0,,,89-91,,Offensive rebound by L. Mbah a Moute
4:58.0,,,89-93,2,R. Felton makes 2-pt shot from 2 ft
4:41.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,91-93,,
4:23.0,,,91-93,,R. Felton misses 3-pt shot from 34 ft
4:23.0,,,91-93,,Offensive rebound by J. Crawford
4:13.0,,,91-93,,Shooting foul by K. Dunn (drawn by D. Jordan)
4:13.0,,,91-93,,D. Jordan misses free throw 1 of 2
4:13.0,,,91-93,,Offensive rebound by Team
4:13.0,,,91-93,,D. Jordan misses free throw 2 of 2
4:11.0,Defensive rebound by K. Towns,,91-93,,
4:00.0,T. Jones misses 2-pt shot from 18 ft,,91-93,,
3:59.0,Offensive rebound by K. Towns,,91-93,,
3:55.0,K. Towns misses 2-pt shot from 1 ft,,91-93,,
3:54.0,,,91-93,,Defensive rebound by J. Crawford
3:49.0,Personal take foul by K. Towns (drawn by D. Jordan),,91-93,,
3:49.0,,,91-94,1,D. Jordan makes free throw 1 of 2
