time,Denver,pts.away,score,pts.home,Houston
7:06.0,G. Harris makes 2-pt shot from 17 ft,2,10-14,,
7:06.0,Shooting foul by T. Ariza (drawn by G. Harris),,10-14,,
7:06.0,G. Harris makes free throw 1 of 1,1,11-14,,
6:59.0,Personal foul by W. Barton (drawn by T. Ariza),,11-14,,
6:50.0,,,11-17,3,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza)
6:39.0,J. Nelson misses 3-pt shot from 25 ft,,11-17,,
6:38.0,,,11-17,,Defensive rebound by Team
6:24.0,,,11-17,,T. Ariza misses 2-pt shot from 1 ft
6:23.0,Defensive rebound by J. Nelson,,11-17,,
6:17.0,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton),2,13-17,,
5:58.0,,,13-17,,Shooting foul by M. Plumlee (drawn by J. Harden)
5:58.0,,,13-18,1,J. Harden makes free throw 1 of 2
5:58.0,,,13-18,,J. Harden misses free throw 2 of 2
5:58.0,Defensive rebound by N. Jokic,,13-18,,
5:58.0,,,13-18,,E. Gordon enters the game for P. Beverley
5:58.0,,,13-18,,N. Hilario enters the game for C. Capela
5:58.0,K. Faried enters the game for M. Plumlee,,13-18,,
5:34.0,Turnover by Team (shot clock),,13-18,,
5:26.0,,,13-18,,J. Harden misses 2-pt shot from 9 ft
5:24.0,Defensive rebound by N. Jokic,,13-18,,
5:16.0,K. Faried misses 2-pt shot from 2 ft,,13-18,,
5:15.0,Offensive rebound by N. Jokic,,13-18,,
5:14.0,Offensive charge foul by K. Faried,,13-18,,
5:14.0,Turnover by K. Faried (offensive foul),,13-18,,
5:06.0,,,13-21,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
4:52.0,Turnover by N. Jokic (bad pass),,13-21,,
4:40.0,,,13-21,,N. Hilario misses 2-pt shot from 19 ft
4:39.0,Defensive rebound by W. Barton,,13-21,,
4:29.0,K. Faried makes 2-pt shot from 3 ft (assist by W. Barton),2,15-21,,
4:29.0,Shooting foul by J. Harden (drawn by K. Faried),,15-21,,
4:29.0,K. Faried makes free throw 1 of 1,1,16-21,,
4:29.0,,,15-21,,L. Williams enters the game for R. Anderson
4:15.0,,,16-21,,J. Harden misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by N. Jokic,,16-21,,
4:04.0,G. Harris misses 2-pt shot from 19 ft,,16-21,,
4:02.0,,,16-21,,Defensive rebound by T. Ariza
3:57.0,,,16-23,2,J. Harden makes 2-pt shot from 2 ft
3:43.0,J. Nelson misses 2-pt shot from 2 ft,,16-23,,
3:42.0,Offensive rebound by K. Faried,,16-23,,
3:39.0,K. Faried misses 2-pt shot from 1 ft,,16-23,,
3:38.0,Offensive rebound by K. Faried,,16-23,,
3:37.0,K. Faried misses 2-pt shot from 2 ft,,16-23,,
3:37.0,,,16-23,,Defensive rebound by N. Hilario
3:29.0,,,16-23,,Shooting foul by N. Jokic (drawn by E. Gordon)
3:29.0,,,16-24,1,E. Gordon makes free throw 1 of 2
3:29.0,,,16-25,1,E. Gordon makes free throw 2 of 2
3:10.0,Turnover by N. Jokic (bad pass),,16-25,,
2:58.0,,,16-25,,L. Williams misses 2-pt shot from 7 ft
2:57.0,Defensive rebound by N. Jokic,,16-25,,
2:53.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,18-25,,
2:40.0,,,18-25,,E. Gordon misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by Team,,18-25,,
2:40.0,,,18-25,,Houston full timeout
2:40.0,J. Murray enters the game for N. Jokic,,18-25,,
2:40.0,M. Plumlee enters the game for J. Nelson,,18-25,,
2:32.0,Turnover by J. Murray (bad pass; steal by T. Ariza),,18-25,,
2:28.0,,,18-27,2,T. Ariza makes 2-pt shot at rim
2:08.0,Turnover by K. Faried (bad pass; steal by N. Hilario),,18-27,,
2:03.0,,,18-29,2,L. Williams makes 2-pt shot from 18 ft
2:03.0,,,18-29,,Shooting foul by K. Faried (drawn by L. Williams)
2:03.0,,,18-30,1,L. Williams makes free throw 1 of 1
2:03.0,,,18-29,,S. Dekker enters the game for T. Ariza
1:52.0,W. Barton misses 2-pt shot from 6 ft,,18-30,,
1:51.0,Offensive rebound by M. Plumlee,,18-30,,
1:49.0,M. Plumlee makes 2-pt shot from 2 ft,2,20-30,,
1:33.0,,,20-32,2,S. Dekker makes 2-pt shot from 7 ft (assist by L. Williams)
1:20.0,Turnover by W. Barton (bad pass; steal by S. Dekker),,20-32,,
1:20.0,Personal take foul by G. Harris (drawn by S. Dekker),,20-32,,
1:20.0,,,20-33,1,S. Dekker makes free throw 1 of 2
1:20.0,,,20-33,,S. Dekker misses free throw 2 of 2
1:20.0,Defensive rebound by W. Barton,,20-33,,
1:05.0,K. Faried misses 2-pt shot from 9 ft,,20-33,,
1:03.0,Offensive rebound by K. Faried,,20-33,,
1:02.0,K. Faried makes 2-pt shot from 1 ft,2,22-33,,
0:56.0,,,22-33,,Turnover by J. Harden (traveling)
0:44.0,W. Barton makes 3-pt shot from 25 ft (assist by G. Harris),3,25-33,,
0:35.0,,,25-33,,Shooting foul by J. Murray (drawn by J. Harden)
0:35.0,,,25-34,1,J. Harden makes free throw 1 of 2
0:35.0,,,25-35,1,J. Harden makes free throw 2 of 2
0:25.0,W. Barton makes 3-pt shot from 25 ft,3,28-35,,
0:01.0,,,28-35,,Turnover by J. Harden (lost ball; steal by G. Harris)
0:00.0,W. Barton misses 3-pt shot from 40 ft,,28-35,,
0:00.0,Offensive rebound by Team,,28-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-35,,Violation by N. Hilario (kicked ball)
11:39.0,E. Mudiay misses 2-pt shot from 20 ft,,28-35,,
11:38.0,,,28-35,,Defensive rebound by L. Williams
11:34.0,,,28-35,,S. Dekker misses 2-pt shot at rim
11:33.0,Defensive rebound by J. Murray,,28-35,,
11:26.0,J. Hernangomez makes 2-pt shot from 8 ft,2,30-35,,
11:10.0,,,30-35,,E. Gordon misses 3-pt shot from 26 ft
11:09.0,Defensive rebound by J. Murray,,30-35,,
10:56.0,Shooting foul by P. Beverley (drawn by J. Hernangomez),,30-35,,
10:56.0,J. Hernangomez makes free throw 1 of 2,1,31-35,,
10:56.0,J. Hernangomez makes free throw 2 of 2,1,32-35,,
10:42.0,,,32-35,,Shooting foul by J. Murray (drawn by L. Williams)
10:42.0,,,32-36,1,L. Williams makes free throw 1 of 2
10:42.0,,,32-36,,L. Williams misses free throw 2 of 2
10:42.0,Defensive rebound by J. Hernangomez,,32-36,,
10:30.0,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic),3,35-36,,
10:22.0,,,35-36,,L. Williams misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by W. Barton,,35-36,,
10:15.0,Turnover by E. Mudiay (lost ball; steal by S. Dekker),,35-36,,
10:05.0,,,35-36,,P. Beverley misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by W. Barton,,35-36,,
9:59.0,W. Barton makes 2-pt shot from 3 ft,2,37-36,,
9:59.0,Shooting foul by P. Beverley (drawn by W. Barton),,37-36,,
9:59.0,W. Barton makes free throw 1 of 1,1,38-36,,
9:35.0,,,38-36,,N. Hilario misses 2-pt shot from 15 ft
9:32.0,,,38-36,,Offensive rebound by P. Beverley
9:28.0,,,38-38,2,S. Dekker makes 2-pt shot from 1 ft (assist by P. Beverley)
9:12.0,J. Murray makes 2-pt shot from 4 ft (assist by N. Jokic),2,40-38,,
9:00.0,,,40-38,,L. Williams misses 2-pt shot from 5 ft
8:59.0,Defensive rebound by N. Jokic,,40-38,,
8:58.0,,,40-38,,Personal foul by L. Williams (drawn by N. Jokic)
8:58.0,,,40-38,,C. Capela enters the game for N. Hilario
8:58.0,,,40-38,,R. Anderson enters the game for S. Dekker
8:42.0,W. Barton misses 2-pt shot from 19 ft,,40-38,,
8:41.0,,,40-38,,Defensive rebound by C. Capela
8:33.0,,,40-38,,Shooting foul by E. Mudiay (drawn by E. Gordon)
8:33.0,,,40-39,1,E. Gordon makes free throw 1 of 2
8:33.0,,,40-40,1,E. Gordon makes free throw 2 of 2
8:24.0,J. Murray misses 2-pt shot from 9 ft,,40-40,,
8:20.0,Jump ball: P. Beverley vs. J. Murray (R. Anderson gains possession),,,,Jump ball: P. Beverley vs. J. Murray (R. Anderson gains possession)
8:20.0,,,40-40,,Offensive rebound by Team
8:11.0,,,40-42,2,C. Capela makes 2-pt shot at rim (assist by E. Gordon)
7:58.0,E. Mudiay makes 3-pt shot from 25 ft (assist by W. Barton),3,43-42,,
7:44.0,,,43-42,,Turnover by P. Beverley (bad pass)
7:35.0,J. Murray misses 3-pt shot from 24 ft,,43-42,,
7:34.0,,,43-42,,Defensive rebound by L. Williams
7:24.0,,,43-42,,Turnover by L. Williams (traveling)
7:16.0,W. Barton misses 2-pt shot from 1 ft (block by E. Gordon),,43-42,,
7:16.0,Offensive rebound by Team,,43-42,,
7:16.0,,,43-42,,T. Ariza enters the game for L. Williams
7:16.0,,,43-42,,J. Harden enters the game for P. Beverley
7:10.0,Shooting foul by E. Gordon (drawn by E. Mudiay),,43-42,,
7:10.0,E. Mudiay makes free throw 1 of 2,1,44-42,,
7:10.0,E. Mudiay makes free throw 2 of 2,1,45-42,,
7:10.0,G. Harris enters the game for W. Barton,,44-42,,
6:53.0,,,45-44,2,C. Capela makes 2-pt shot from 2 ft (assist by E. Gordon)
6:44.0,J. Hernangomez makes 2-pt shot at rim (assist by N. Jokic),2,47-44,,
6:37.0,,,47-44,,E. Gordon misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by N. Jokic,,47-44,,
6:30.0,G. Harris makes 2-pt shot from 3 ft (assist by N. Jokic),2,49-44,,
6:07.0,,,49-46,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:53.0,E. Mudiay misses 3-pt shot from 27 ft,,49-46,,
5:53.0,Offensive rebound by Team,,49-46,,
5:53.0,,,49-46,,Loose ball foul by C. Capela (drawn by N. Jokic)
5:53.0,Official timeout,,49-46,,
5:53.0,N. Jokic makes free throw 1 of 2,1,50-46,,
5:53.0,N. Jokic makes free throw 2 of 2,1,51-46,,
5:53.0,J. Nelson enters the game for E. Mudiay,,49-46,,
5:40.0,,,51-49,3,J. Harden makes 3-pt shot from 24 ft (assist by C. Capela)
5:20.0,M. Plumlee enters the game for N. Jokic,,51-49,,
5:14.0,J. Murray makes 2-pt shot from 21 ft (assist by J. Nelson),2,53-49,,
5:00.0,,,53-52,3,J. Harden makes 3-pt shot from 25 ft
4:46.0,J. Hernangomez makes 3-pt shot from 26 ft (assist by M. Plumlee),3,56-52,,
4:31.0,,,56-52,,R. Anderson misses 3-pt shot from 27 ft
4:30.0,Defensive rebound by J. Murray,,56-52,,
4:23.0,J. Murray makes 2-pt shot from 19 ft,2,58-52,,
4:10.0,,,58-52,,Shooting foul by J. Hernangomez (drawn by J. Harden)
4:10.0,,,58-53,1,J. Harden makes free throw 1 of 2
4:10.0,,,58-54,1,J. Harden makes free throw 2 of 2
4:10.0,,,58-53,,P. Beverley enters the game for E. Gordon
3:51.0,J. Nelson misses 3-pt shot from 25 ft,,58-54,,
3:49.0,Offensive rebound by M. Plumlee,,58-54,,
3:47.0,M. Plumlee misses 2-pt shot from 1 ft,,58-54,,
3:46.0,,,58-54,,Defensive rebound by P. Beverley
3:42.0,,,58-54,,Turnover by J. Harden (lost ball; steal by M. Plumlee)
3:42.0,,,58-54,,Personal foul by R. Anderson (drawn by G. Harris)
3:42.0,G. Harris makes free throw 1 of 2,1,59-54,,
3:42.0,G. Harris makes free throw 2 of 2,1,60-54,,
3:20.0,,,60-56,2,J. Harden makes 2-pt shot from 2 ft
3:01.0,G. Harris makes 3-pt shot from 23 ft (assist by J. Nelson),3,63-56,,
2:50.0,,,63-56,,J. Harden misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by J. Nelson,,63-56,,
2:40.0,J. Hernangomez misses 3-pt shot from 26 ft,,63-56,,
2:40.0,,,63-56,,Defensive rebound by Team
2:40.0,Denver full timeout,,63-56,,
2:40.0,N. Jokic enters the game for J. Hernangomez,,63-56,,
2:24.0,,,63-56,,J. Harden misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by J. Nelson,,63-56,,
2:16.0,Turnover by G. Harris (bad pass; steal by C. Capela),,63-56,,
2:05.0,,,63-56,,T. Ariza misses 3-pt shot from 25 ft
2:04.0,,,63-56,,Offensive rebound by C. Capela
2:00.0,,,63-59,3,P. Beverley makes 3-pt shot from 23 ft (assist by C. Capela)
1:34.0,N. Jokic makes 2-pt shot from 18 ft (assist by J. Nelson),2,65-59,,
1:17.0,,,65-61,2,J. Harden makes 2-pt shot from 3 ft
1:17.0,,,65-61,,Shooting foul by J. Nelson (drawn by J. Harden)
1:17.0,,,65-62,1,J. Harden makes free throw 1 of 1
0:56.0,Turnover by J. Nelson (lost ball; steal by P. Beverley),,65-62,,
0:51.0,,,65-62,,P. Beverley misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by M. Plumlee,,65-62,,
0:47.0,Turnover by J. Murray (lost ball),,65-62,,
0:26.0,,,65-62,,J. Harden misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by J. Murray,,65-62,,
0:05.0,Turnover by J. Nelson (step out of bounds),,65-62,,
0:01.0,,,65-62,,T. Ariza misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by M. Plumlee,,65-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,N. Jokic misses 2-pt shot from 4 ft (block by C. Capela),,65-62,,
11:39.0,,,65-62,,Defensive rebound by P. Beverley
11:37.0,,,65-62,,J. Harden misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by M. Plumlee,,65-62,,
11:30.0,M. Plumlee misses 2-pt shot from 7 ft,,65-62,,
11:28.0,,,65-62,,Defensive rebound by C. Capela
11:17.0,,,65-64,2,R. Anderson makes 2-pt shot from 19 ft (assist by J. Harden)
11:06.0,N. Jokic misses 3-pt shot from 24 ft,,65-64,,
11:05.0,,,65-64,,Defensive rebound by J. Harden
10:58.0,,,65-64,,Turnover by J. Harden (lost ball; steal by G. Harris)
10:46.0,J. Hernangomez misses 3-pt shot from 23 ft,,65-64,,
10:45.0,,,65-64,,Defensive rebound by R. Anderson
10:21.0,,,65-64,,C. Capela misses 2-pt shot from 6 ft
10:20.0,Defensive rebound by N. Jokic,,65-64,,
10:15.0,N. Jokic makes 2-pt shot from 9 ft,2,67-64,,
10:15.0,Shooting foul by C. Capela (drawn by N. Jokic),,67-64,,
10:15.0,N. Jokic makes free throw 1 of 1,1,68-64,,
10:01.0,,,68-67,3,R. Anderson makes 3-pt shot from 26 ft (assist by C. Capela)
9:48.0,J. Nelson makes 2-pt shot from 21 ft (assist by N. Jokic),2,70-67,,
9:21.0,,,70-69,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
9:07.0,N. Jokic makes 2-pt shot from 6 ft,2,72-69,,
8:44.0,,,72-69,,P. Beverley misses 2-pt shot from 3 ft (block by M. Plumlee)
8:43.0,,,72-69,,Offensive rebound by R. Anderson
8:41.0,,,72-71,2,R. Anderson makes 2-pt shot from 1 ft
8:32.0,,,72-71,,Personal foul by C. Capela (drawn by N. Jokic)
8:32.0,,,72-71,,N. Hilario enters the game for C. Capela
8:28.0,G. Harris misses 2-pt shot from 2 ft,,72-71,,
8:26.0,Offensive rebound by G. Harris,,72-71,,
8:17.0,N. Jokic makes 2-pt shot from 6 ft,2,74-71,,
8:07.0,Personal foul by J. Nelson (drawn by P. Beverley),,74-71,,
7:57.0,,,74-73,2,J. Harden makes 2-pt shot from 14 ft
7:42.0,N. Jokic misses 3-pt shot from 25 ft,,74-73,,
7:41.0,,,74-73,,Defensive rebound by P. Beverley
7:30.0,,,74-73,,N. Hilario misses 2-pt shot from 2 ft
7:27.0,Defensive rebound by J. Nelson,,74-73,,
7:21.0,J. Hernangomez makes 2-pt shot at rim (assist by G. Harris),2,76-73,,
7:09.0,,,76-73,,T. Ariza misses 2-pt shot from 3 ft
7:08.0,,,76-73,,Offensive rebound by N. Hilario
7:00.0,,,76-73,,R. Anderson misses 3-pt shot from 26 ft
6:59.0,Defensive rebound by J. Nelson,,76-73,,
6:49.0,J. Nelson misses 3-pt shot from 25 ft,,76-73,,
6:48.0,,,76-73,,Defensive rebound by J. Harden
6:42.0,,,76-73,,J. Harden misses 3-pt shot from 26 ft
6:41.0,Defensive rebound by N. Jokic,,76-73,,
6:32.0,,,76-73,,Personal foul by P. Beverley (drawn by J. Hernangomez)
6:29.0,G. Harris makes 2-pt shot from 2 ft (assist by J. Hernangomez),2,78-73,,
6:29.0,Shooting foul by R. Anderson (drawn by G. Harris),,78-73,,
6:29.0,G. Harris misses free throw 1 of 1,,78-73,,
6:29.0,,,78-73,,Defensive rebound by N. Hilario
6:29.0,,,78-73,,E. Gordon enters the game for P. Beverley
6:18.0,Violation by G. Harris (kicked ball),,78-73,,
6:13.0,,,78-75,2,N. Hilario makes 2-pt shot from 2 ft (assist by T. Ariza)
5:57.0,G. Harris misses 3-pt shot from 23 ft,,78-75,,
5:56.0,,,78-75,,Defensive rebound by T. Ariza
5:48.0,,,78-75,,R. Anderson misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by M. Plumlee,,78-75,,
5:36.0,,,78-75,,Personal block foul by N. Hilario (drawn by G. Harris)
5:36.0,,,78-75,,Houston full timeout
5:36.0,G. Harris makes free throw 1 of 2,1,79-75,,
5:36.0,G. Harris makes free throw 2 of 2,1,80-75,,
5:36.0,K. Faried enters the game for J. Hernangomez,,78-75,,
5:36.0,W. Barton enters the game for M. Plumlee,,78-75,,
5:21.0,,,80-75,,J. Harden misses 2-pt shot from 8 ft
5:20.0,Defensive rebound by N. Jokic,,80-75,,
5:07.0,Jump ball: K. Faried vs. N. Hilario (R. Anderson gains possession),,,,Jump ball: K. Faried vs. N. Hilario (R. Anderson gains possession)
5:07.0,Turnover by K. Faried (lost ball; steal by J. Harden),,80-75,,
4:56.0,,,80-75,,Turnover by E. Gordon (lost ball; steal by J. Nelson)
4:46.0,Turnover by N. Jokic (lost ball; steal by N. Hilario),,80-75,,
4:38.0,,,80-78,3,E. Gordon makes 3-pt shot from 23 ft (assist by T. Ariza)
4:10.0,G. Harris makes 3-pt shot from 31 ft (assist by W. Barton),3,83-78,,
3:53.0,Def 3 sec tech foul by N. Jokic,,83-78,,
3:53.0,,,83-79,1,J. Harden makes technical free throw
3:53.0,,,83-79,,L. Williams enters the game for R. Anderson
3:43.0,,,83-79,,Shooting foul by N. Jokic (drawn by L. Williams)
3:43.0,,,83-81,2,L. Williams makes 2-pt shot from 7 ft (assist by J. Harden)
3:43.0,,,83-82,1,L. Williams makes free throw 1 of 1
3:39.0,,,83-82,,Personal foul by J. Harden (drawn by N. Jokic)
3:39.0,N. Jokic makes free throw 1 of 2,1,84-82,,
3:39.0,N. Jokic makes free throw 2 of 2,1,85-82,,
3:26.0,,,85-82,,J. Harden misses 2-pt shot from 7 ft
3:23.0,,,85-82,,Offensive rebound by J. Harden
3:20.0,,,85-82,,L. Williams misses 3-pt shot from 28 ft
3:18.0,Defensive rebound by N. Jokic,,85-82,,
3:11.0,Turnover by K. Faried (lost ball; steal by J. Harden),,85-82,,
3:03.0,,,85-85,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
3:03.0,Denver full timeout,,85-85,,
3:03.0,J. Murray enters the game for N. Jokic,,85-85,,
3:03.0,M. Plumlee enters the game for J. Nelson,,85-85,,
2:47.0,Turnover by G. Harris (step out of bounds),,85-85,,
2:40.0,,,85-87,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
2:25.0,G. Harris misses 3-pt shot from 26 ft,,85-87,,
2:23.0,Offensive rebound by Team,,85-87,,
2:21.0,Jump ball: K. Faried vs. N. Hilario (M. Plumlee gains possession),,,,Jump ball: K. Faried vs. N. Hilario (M. Plumlee gains possession)
2:02.0,W. Barton makes 2-pt shot from 12 ft,2,87-87,,
1:42.0,,,87-89,2,J. Harden makes 2-pt shot from 3 ft
1:34.0,Shooting foul by J. Harden (drawn by W. Barton),,87-89,,
1:34.0,W. Barton makes free throw 1 of 2,1,88-89,,
1:34.0,W. Barton makes free throw 2 of 2,1,89-89,,
1:34.0,J. Hernangomez enters the game for K. Faried,,88-89,,
1:21.0,,,89-92,3,J. Harden makes 3-pt shot from 27 ft
1:00.0,J. Murray makes 3-pt shot from 26 ft (assist by W. Barton),3,92-92,,
0:47.0,,,92-94,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
0:29.0,W. Barton makes 3-pt shot from 26 ft,3,95-94,,
0:09.0,,,95-94,,J. Harden misses 2-pt shot from 3 ft
0:08.0,Defensive rebound by M. Plumlee,,95-94,,
0:03.0,,,95-94,,Personal foul by J. Harden (drawn by J. Murray)
0:03.0,J. Murray makes free throw 1 of 2,1,96-94,,
0:03.0,J. Murray makes free throw 2 of 2,1,97-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,97-94,,P. Beverley misses 2-pt shot from 9 ft (block by W. Barton)
11:36.0,Defensive rebound by W. Barton,,97-94,,
11:32.0,W. Barton misses 2-pt shot from 9 ft,,97-94,,
11:31.0,,,97-94,,Defensive rebound by C. Capela
11:24.0,,,97-97,3,E. Gordon makes 3-pt shot from 25 ft (assist by L. Williams)
11:00.0,Turnover by Team (shot clock),,97-97,,
10:54.0,,,97-100,3,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley)
10:32.0,N. Jokic misses 2-pt shot from 3 ft,,97-100,,
10:31.0,,,97-100,,Defensive rebound by L. Williams
10:19.0,Loose ball foul by E. Mudiay (drawn by P. Beverley),,97-100,,
10:04.0,,,97-103,3,P. Beverley makes 3-pt shot from 26 ft (assist by E. Gordon)
10:04.0,Denver full timeout,,97-103,,
9:40.0,J. Murray misses 3-pt shot from 30 ft,,97-103,,
9:38.0,,,97-103,,Defensive rebound by E. Gordon
9:32.0,,,97-103,,T. Ariza misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by E. Mudiay,,97-103,,
9:21.0,J. Hernangomez misses 2-pt shot from 8 ft,,97-103,,
9:20.0,,,97-103,,Defensive rebound by P. Beverley
9:11.0,,,97-103,,E. Gordon misses 2-pt shot from 21 ft
9:09.0,Defensive rebound by N. Jokic,,97-103,,
9:01.0,J. Murray makes 2-pt shot from 2 ft (assist by W. Barton),2,99-103,,
8:40.0,,,99-103,,Turnover by E. Gordon (bad pass)
8:28.0,Turnover by J. Murray (bad pass; steal by T. Ariza),,99-103,,
8:14.0,,,99-103,,J. Harden enters the game for L. Williams
8:14.0,Jump ball: T. Ariza vs. E. Mudiay (E. Gordon gains possession),,,,Jump ball: T. Ariza vs. E. Mudiay (E. Gordon gains possession)
8:09.0,Personal foul by J. Murray (drawn by J. Harden),,99-103,,
8:09.0,G. Harris enters the game for E. Mudiay,,99-103,,
7:59.0,,,99-105,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:46.0,G. Harris misses 2-pt shot from 3 ft,,99-105,,
7:45.0,,,99-105,,Defensive rebound by J. Harden
7:35.0,,,99-105,,T. Ariza misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by J. Hernangomez,,99-105,,
7:18.0,N. Jokic makes 2-pt shot at rim (assist by W. Barton),2,101-105,,
6:55.0,,,101-105,,Shooting foul by J. Hernangomez (drawn by T. Ariza)
6:55.0,,,101-105,,T. Ariza misses free throw 1 of 2
6:55.0,,,101-105,,Offensive rebound by Team
6:55.0,,,101-106,1,T. Ariza makes free throw 2 of 2
6:55.0,J. Nelson enters the game for J. Murray,,101-105,,
6:37.0,J. Hernangomez misses 3-pt shot from 24 ft,,101-106,,
6:36.0,,,101-106,,Defensive rebound by T. Ariza
6:28.0,,,101-106,,J. Harden misses 2-pt shot from 8 ft
6:27.0,Defensive rebound by W. Barton,,101-106,,
6:18.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,104-106,,
5:58.0,,,104-106,,J. Harden misses 3-pt shot from 27 ft
5:57.0,,,104-106,,Offensive rebound by C. Capela
5:48.0,,,104-109,3,T. Ariza makes 3-pt shot from 26 ft (assist by P. Beverley)
5:23.0,J. Nelson misses 2-pt shot from 22 ft,,104-109,,
5:22.0,,,104-109,,Defensive rebound by P. Beverley
5:11.0,,,104-109,,Turnover by J. Harden (lost ball; steal by G. Harris)
5:09.0,W. Barton makes 2-pt shot from 2 ft,2,106-109,,
5:09.0,Shooting foul by T. Ariza (drawn by W. Barton),,106-109,,
5:09.0,Official timeout,,106-109,,
5:09.0,W. Barton misses free throw 1 of 1,,106-109,,
5:09.0,,,106-109,,Defensive rebound by C. Capela
4:59.0,,,106-111,2,E. Gordon makes 2-pt shot from 2 ft
4:40.0,N. Jokic makes 2-pt shot from 7 ft,2,108-111,,
4:27.0,,,108-111,,Shooting foul by G. Harris (drawn by J. Harden)
4:27.0,,,108-111,,J. Harden misses free throw 1 of 3
4:27.0,,,108-111,,Offensive rebound by Team
