time,Oklahoma City,pts.away,score,pts.home,Denver
6:09.0,,,33-42,2,G. Harris makes 2-pt shot from 3 ft
5:56.0,R. Westbrook makes 2-pt shot from 6 ft,2,35-42,,
5:36.0,,,35-42,,J. Hernangomez misses 3-pt shot from 28 ft
5:35.0,Defensive rebound by Team,,35-42,,
5:35.0,V. Oladipo enters the game for S. Christon,,35-42,,
5:24.0,R. Westbrook makes 2-pt shot from 1 ft,2,37-42,,
5:10.0,,,37-44,2,N. Jokic makes 2-pt shot from 1 ft (assist by G. Harris)
5:05.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,39-44,,
5:01.0,,,39-44,,Denver full timeout
5:01.0,,,39-44,,J. Murray enters the game for E. Mudiay
5:01.0,,,39-44,,W. Chandler enters the game for J. Hernangomez
4:45.0,,,39-44,,J. Murray misses 2-pt shot from 6 ft
4:44.0,Defensive rebound by R. Westbrook,,39-44,,
4:38.0,K. Singler makes 2-pt shot from 2 ft (assist by R. Westbrook),2,41-44,,
4:17.0,,,41-44,,N. Jokic misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by R. Westbrook,,41-44,,
4:08.0,V. Oladipo misses 3-pt shot from 25 ft,,41-44,,
4:06.0,,,41-44,,Defensive rebound by W. Chandler
3:44.0,,,41-46,2,J. Murray makes 2-pt shot from 11 ft (assist by N. Jokic)
3:27.0,R. Westbrook makes 2-pt shot from 13 ft,2,43-46,,
3:08.0,,,43-46,,D. Gallinari misses 2-pt shot from 13 ft
3:08.0,Defensive rebound by S. Adams,,43-46,,
2:44.0,S. Adams misses 2-pt shot from 13 ft,,43-46,,
2:44.0,,,43-46,,Defensive rebound by D. Gallinari
2:36.0,,,43-46,,W. Chandler misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by R. Westbrook,,43-46,,
2:20.0,S. Adams misses 2-pt shot from 7 ft,,43-46,,
2:20.0,,,43-46,,Defensive rebound by W. Chandler
2:04.0,Personal foul by K. Singler (drawn by W. Chandler),,43-46,,
1:58.0,,,43-48,2,J. Murray makes 2-pt shot from 2 ft
1:57.0,,,43-48,,Violation by Team (jump ball)
1:46.0,R. Westbrook makes 3-pt shot from 25 ft,3,46-48,,
1:30.0,,,46-48,,Shooting foul by S. Adams (drawn by N. Jokic)
1:30.0,,,46-49,1,N. Jokic makes free throw 1 of 2
1:30.0,,,46-50,1,N. Jokic makes free throw 2 of 2
1:16.0,V. Oladipo misses 2-pt shot from 3 ft,,46-50,,
1:13.0,Offensive rebound by R. Westbrook,,46-50,,
1:13.0,R. Westbrook makes 2-pt shot from 3 ft,2,48-50,,
1:02.0,,,48-50,,Personal foul by N. Jokic (drawn by S. Adams)
1:02.0,Personal foul by S. Adams,,48-50,,
0:59.0,,,48-53,3,N. Jokic makes 3-pt shot from 25 ft (assist by D. Gallinari)
0:49.0,Shooting foul by N. Jokic (drawn by R. Westbrook),,48-53,,
0:49.0,R. Westbrook makes free throw 1 of 2,1,49-53,,
0:49.0,R. Westbrook makes free throw 2 of 2,1,50-53,,
0:49.0,,,49-53,,M. Plumlee enters the game for N. Jokic
0:30.0,,,50-53,,J. Murray misses 2-pt shot from 16 ft (block by K. Singler)
0:29.0,Defensive rebound by R. Westbrook,,50-53,,
0:26.0,K. Singler makes 2-pt shot from 3 ft (assist by R. Westbrook),2,52-53,,
0:02.0,,,52-53,,J. Murray misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by R. Westbrook,,52-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,52-55,2,D. Gallinari makes 2-pt shot from 1 ft (assist by N. Jokic)
11:35.0,Shooting foul by D. Gallinari (drawn by S. Adams),,52-55,,
11:35.0,S. Adams makes free throw 1 of 2,1,53-55,,
11:35.0,S. Adams makes free throw 2 of 2,1,54-55,,
11:24.0,,,54-57,2,D. Gallinari makes 2-pt shot from 3 ft
11:24.0,,,54-57,,Shooting foul by A. Roberson (drawn by D. Gallinari)
11:24.0,,,54-58,1,D. Gallinari makes free throw 1 of 1
11:04.0,V. Oladipo misses 2-pt shot from 19 ft,,54-58,,
11:01.0,Offensive rebound by S. Adams,,54-58,,
