time,Milwaukee,pts.away,score,pts.home,Brooklyn
6:31.0,G. Antetokounmpo makes free throw 2 of 2,1,36-36,,
6:12.0,,,36-38,2,S. Kilpatrick makes 2-pt shot from 3 ft
5:57.0,T. Snell misses 2-pt shot from 3 ft,,36-38,,
5:56.0,Offensive rebound by T. Snell,,36-38,,
5:49.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by T. Snell),3,39-38,,
5:21.0,,,39-40,2,S. Kilpatrick makes 2-pt shot from 22 ft
5:12.0,T. Snell misses 3-pt shot from 25 ft,,39-40,,
5:11.0,Offensive rebound by J. Parker,,39-40,,
5:03.0,,,39-40,,Personal foul by T. Booker (drawn by G. Antetokounmpo)
5:03.0,,,39-40,,B. Lopez enters the game for L. Scola
5:03.0,,,39-40,,R. Foye enters the game for I. Whitehead
4:54.0,J. Parker makes 2-pt shot from 3 ft,2,41-40,,
4:41.0,,,41-42,2,B. Bogdanovic makes 2-pt shot at rim (assist by B. Lopez)
4:28.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,43-42,,
4:04.0,,,43-42,,B. Lopez misses 2-pt shot from 1 ft (block by J. Henson)
4:02.0,Defensive rebound by G. Antetokounmpo,,43-42,,
3:54.0,,,43-42,,Personal foul by S. Kilpatrick (drawn by G. Antetokounmpo)
3:54.0,,,43-42,,J. Harris enters the game for B. Bogdanovic
3:42.0,J. Henson misses 2-pt shot from 18 ft,,43-42,,
3:41.0,,,43-42,,Defensive rebound by R. Foye
3:33.0,,,43-42,,Turnover by B. Lopez (lost ball)
3:23.0,Shooting foul by S. Kilpatrick (drawn by J. Parker),,43-42,,
3:23.0,J. Parker makes free throw 1 of 2,1,44-42,,
3:23.0,J. Parker misses free throw 2 of 2,,44-42,,
3:21.0,,,44-42,,Defensive rebound by S. Kilpatrick
3:19.0,,,44-42,,Turnover by S. Kilpatrick (lost ball)
3:09.0,J. Parker makes 2-pt shot from 17 ft (assist by M. Dellavedova),2,46-42,,
2:58.0,,,46-45,3,S. Kilpatrick makes 3-pt shot from 26 ft
2:46.0,J. Parker misses 2-pt shot from 1 ft,,46-45,,
2:45.0,Offensive rebound by J. Henson,,46-45,,
2:43.0,J. Henson makes 2-pt shot at rim,2,48-45,,
2:35.0,,,48-45,,Brooklyn full timeout
2:18.0,,,48-45,,J. Harris misses 3-pt shot from 23 ft
2:17.0,,,48-45,,Offensive rebound by Team
2:11.0,,,48-45,,Turnover by S. Kilpatrick (lost ball; steal by G. Antetokounmpo)
2:06.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,50-45,,
1:39.0,,,50-45,,B. Lopez misses 2-pt shot from 12 ft (block by J. Henson)
1:38.0,Defensive rebound by T. Snell,,50-45,,
1:30.0,T. Snell misses 3-pt shot from 25 ft,,50-45,,
1:28.0,,,50-45,,Defensive rebound by B. Lopez
1:26.0,,,50-45,,Turnover by R. Foye (bad pass)
1:15.0,,,50-45,,Personal foul by T. Booker (drawn by J. Henson)
1:15.0,J. Henson makes free throw 1 of 2,1,51-45,,
1:15.0,J. Henson makes free throw 2 of 2,1,52-45,,
1:03.0,,,52-45,,R. Foye misses 3-pt shot from 25 ft
1:02.0,,,52-45,,Offensive rebound by T. Booker
1:00.0,,,52-47,2,T. Booker makes 2-pt shot from 2 ft
1:00.0,,,52-47,,Shooting foul by J. Henson (drawn by T. Booker)
1:00.0,,,52-48,1,T. Booker makes free throw 1 of 1
0:52.0,M. Dellavedova misses 2-pt shot from 3 ft (block by R. Foye),,52-48,,
0:49.0,,,52-48,,Defensive rebound by J. Harris
0:37.0,,,52-51,3,B. Lopez makes 3-pt shot from 24 ft (assist by R. Foye)
0:27.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,52-51,,
0:26.0,,,52-51,,Defensive rebound by J. Harris
0:04.0,,,52-51,,B. Lopez misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Parker,,52-51,,
0:01.0,J. Parker misses 3-pt shot from 50 ft,,52-51,,
0:00.0,Offensive rebound by Team,,52-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,G. Antetokounmpo misses 3-pt shot from 22 ft,,52-51,,
11:39.0,,,52-51,,Defensive rebound by B. Bogdanovic
11:28.0,,,52-51,,Turnover by T. Booker (lost ball; steal by G. Antetokounmpo)
11:24.0,G. Antetokounmpo misses 2-pt shot from 8 ft (block by I. Whitehead),,52-51,,
11:19.0,Offensive rebound by G. Antetokounmpo,,52-51,,
11:19.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,54-51,,
11:05.0,Personal foul by G. Antetokounmpo (drawn by I. Whitehead),,54-51,,
10:53.0,,,54-53,2,I. Whitehead makes 2-pt shot from 2 ft
10:42.0,Offensive charge foul by J. Henson,,54-53,,
10:42.0,Turnover by M. Dellavedova (offensive foul),,54-53,,
10:34.0,,,54-53,,S. Kilpatrick misses 2-pt shot from 4 ft (block by J. Henson)
10:33.0,,,54-53,,Offensive rebound by Team
10:20.0,,,54-53,,Turnover by S. Kilpatrick (step out of bounds)
10:12.0,,,54-53,,Personal foul by I. Whitehead (drawn by J. Henson)
10:00.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by J. Henson),3,57-53,,
9:54.0,,,57-55,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by I. Whitehead)
9:37.0,J. Parker misses 3-pt shot from 24 ft,,57-55,,
9:36.0,,,57-55,,Defensive rebound by S. Kilpatrick
9:31.0,,,57-55,,Turnover by S. Kilpatrick (lost ball)
9:26.0,Shooting foul by T. Booker (drawn by G. Antetokounmpo),,57-55,,
9:26.0,G. Antetokounmpo makes free throw 1 of 2,1,58-55,,
9:26.0,G. Antetokounmpo misses free throw 2 of 2,,58-55,,
9:25.0,,,58-55,,Defensive rebound by T. Booker
9:12.0,,,58-58,3,B. Lopez makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
8:58.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,58-58,,
8:58.0,G. Antetokounmpo misses free throw 1 of 2,,58-58,,
8:58.0,Offensive rebound by Team,,58-58,,
8:58.0,G. Antetokounmpo makes free throw 2 of 2,1,59-58,,
8:44.0,,,59-60,2,S. Kilpatrick makes 2-pt shot from 3 ft (assist by B. Lopez)
8:36.0,,,59-60,,Personal foul by T. Booker (drawn by M. Dellavedova)
8:36.0,,,59-60,,J. Hamilton enters the game for T. Booker
8:30.0,J. Parker makes 2-pt shot from 17 ft,2,61-60,,
8:12.0,,,61-60,,B. Bogdanovic misses 2-pt shot from 6 ft (block by G. Antetokounmpo)
8:10.0,Defensive rebound by J. Henson,,61-60,,
8:05.0,,,61-60,,Personal block foul by I. Whitehead (drawn by T. Snell)
8:05.0,T. Snell makes free throw 1 of 2,1,62-60,,
8:05.0,T. Snell makes free throw 2 of 2,1,63-60,,
7:51.0,,,63-60,,I. Whitehead misses 2-pt shot from 6 ft
7:50.0,,,63-60,,Offensive rebound by J. Hamilton
7:48.0,,,63-62,2,J. Hamilton makes 2-pt shot from 1 ft
7:28.0,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,65-62,,
7:15.0,Personal foul by M. Dellavedova (drawn by B. Lopez),,65-62,,
7:15.0,M. Brogdon enters the game for M. Dellavedova,,65-62,,
7:09.0,,,65-62,,S. Kilpatrick misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by J. Henson,,65-62,,
6:59.0,J. Parker makes 2-pt shot from 1 ft,2,67-62,,
6:59.0,,,67-62,,Brooklyn full timeout
6:59.0,,,67-62,,J. Harris enters the game for B. Lopez
6:59.0,,,67-62,,R. Hollis-Jefferson enters the game for B. Bogdanovic
6:48.0,,,67-62,,Turnover by S. Kilpatrick (bad pass; steal by G. Antetokounmpo)
6:45.0,Shooting foul by J. Harris (drawn by T. Snell),,67-62,,
6:45.0,T. Snell makes free throw 1 of 2,1,68-62,,
6:45.0,T. Snell makes free throw 2 of 2,1,69-62,,
6:32.0,,,69-64,2,I. Whitehead makes 2-pt shot from 6 ft (assist by J. Harris)
6:07.0,M. Brogdon makes 2-pt shot from 10 ft (assist by G. Antetokounmpo),2,71-64,,
5:48.0,,,71-64,,I. Whitehead misses 2-pt shot from 10 ft
5:46.0,Defensive rebound by T. Snell,,71-64,,
5:36.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,74-64,,
5:23.0,,,74-64,,J. Harris misses 3-pt shot from 28 ft
5:22.0,Defensive rebound by T. Snell,,74-64,,
5:16.0,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,77-64,,
5:16.0,,,77-64,,Brooklyn full timeout
5:16.0,,,77-64,,R. Foye enters the game for S. Kilpatrick
5:05.0,,,77-67,3,J. Harris makes 3-pt shot from 25 ft (assist by J. Hamilton)
4:44.0,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,80-67,,
4:27.0,,,80-70,3,J. Harris makes 3-pt shot from 25 ft (assist by J. Hamilton)
4:11.0,,,80-70,,Personal foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo)
4:11.0,G. Antetokounmpo makes free throw 1 of 2,1,81-70,,
4:11.0,G. Antetokounmpo makes free throw 2 of 2,1,82-70,,
4:11.0,,,81-70,,B. Lopez enters the game for J. Hamilton
4:11.0,G. Monroe enters the game for J. Henson,,81-70,,
3:56.0,,,82-73,3,B. Lopez makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
3:42.0,Turnover by G. Monroe (bad pass),,82-73,,
3:42.0,M. Beasley enters the game for J. Parker,,82-73,,
3:32.0,,,82-73,,B. Lopez misses 3-pt shot from 27 ft
3:31.0,Defensive rebound by M. Beasley,,82-73,,
3:19.0,M. Brogdon misses 3-pt shot from 24 ft,,82-73,,
3:18.0,,,82-73,,Defensive rebound by R. Hollis-Jefferson
3:04.0,Personal foul by G. Antetokounmpo (drawn by J. Harris),,82-73,,
3:04.0,,,82-73,,B. Bogdanovic enters the game for I. Whitehead
2:55.0,,,82-73,,R. Foye misses 2-pt shot from 4 ft
2:54.0,Defensive rebound by G. Antetokounmpo,,82-73,,
2:47.0,G. Monroe misses 2-pt shot from 1 ft (block by R. Foye),,82-73,,
2:46.0,Offensive rebound by G. Monroe,,82-73,,
2:40.0,Turnover by G. Monroe (lost ball; steal by R. Hollis-Jefferson),,82-73,,
2:29.0,,,82-75,2,R. Hollis-Jefferson makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
2:15.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,85-75,,
1:53.0,,,85-75,,Shooting foul by G. Monroe (drawn by B. Lopez)
1:53.0,Milwaukee full timeout,,85-75,,
1:53.0,,,85-75,,B. Lopez misses free throw 1 of 2
1:53.0,,,85-75,,Offensive rebound by Team
1:53.0,,,85-76,1,B. Lopez makes free throw 2 of 2
1:39.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,87-76,,
1:39.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),,87-76,,
1:39.0,G. Antetokounmpo makes free throw 1 of 1,1,88-76,,
1:18.0,,,88-76,,R. Hollis-Jefferson misses 2-pt shot from 11 ft
1:17.0,Defensive rebound by G. Antetokounmpo,,88-76,,
1:14.0,,,88-76,,Violation by R. Hollis-Jefferson (kicked ball)
1:04.0,Turnover by M. Beasley (bad pass),,88-76,,
0:42.0,,,88-76,,R. Foye misses 3-pt shot from 24 ft
0:41.0,,,88-76,,Offensive rebound by B. Lopez
0:40.0,,,88-76,,Shooting foul by G. Antetokounmpo (drawn by B. Lopez)
0:40.0,,,88-77,1,B. Lopez makes free throw 1 of 2
0:40.0,,,88-78,1,B. Lopez makes free throw 2 of 2
0:30.0,M. Brogdon misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,88-78,,
0:28.0,Offensive rebound by M. Brogdon,,88-78,,
0:25.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Monroe),2,90-78,,
0:05.0,,,90-78,,J. Harris misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by Team,,90-78,,
0:01.0,G. Antetokounmpo misses 3-pt shot from 29 ft,,90-78,,
0:00.0,Offensive rebound by Team,,90-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,90-78,,J. Hamilton misses 2-pt shot from 3 ft
11:36.0,,,90-78,,Offensive rebound by S. Kilpatrick
11:31.0,,,90-78,,J. Hamilton misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by M. Teletovic,,90-78,,
11:13.0,Shooting foul by I. Whitehead (drawn by M. Beasley),,90-78,,
11:13.0,M. Beasley makes free throw 1 of 2,1,91-78,,
11:13.0,M. Beasley makes free throw 2 of 2,1,92-78,,
11:01.0,,,92-80,2,J. Harris makes 2-pt shot from 1 ft (assist by S. Kilpatrick)
10:47.0,Offensive foul by J. Terry,,92-80,,
10:47.0,Turnover by J. Terry (offensive foul),,92-80,,
10:24.0,,,92-80,,S. Kilpatrick misses 3-pt shot from 25 ft
10:23.0,,,92-80,,Offensive rebound by T. Booker
10:21.0,,,92-82,2,T. Booker makes 2-pt shot from 2 ft
10:09.0,Turnover by M. Brogdon (bad pass; steal by J. Hamilton),,92-82,,
10:08.0,,,92-82,,Turnover by J. Hamilton (bad pass; steal by G. Monroe)
10:08.0,Jump ball: J. Hamilton vs. G. Monroe (M. Brogdon gains possession),,,,Jump ball: J. Hamilton vs. G. Monroe (M. Brogdon gains possession)
9:55.0,Turnover by M. Teletovic (bad pass),,92-82,,
9:50.0,,,92-82,,J. Harris misses 2-pt shot from 3 ft
9:49.0,Defensive rebound by Team,,92-82,,
9:27.0,Turnover by G. Monroe (lost ball; steal by T. Booker),,92-82,,
9:18.0,Personal foul by M. Teletovic (drawn by T. Booker),,92-82,,
9:05.0,,,92-82,,J. Hamilton misses 2-pt shot from 15 ft
9:04.0,,,92-82,,Offensive rebound by T. Booker
9:00.0,,,92-82,,Turnover by T. Booker (bad pass)
8:52.0,M. Teletovic misses 3-pt shot from 24 ft,,92-82,,
8:51.0,,,92-82,,Defensive rebound by J. Harris
8:41.0,,,92-82,,J. Hamilton misses 3-pt shot from 26 ft
8:40.0,Defensive rebound by M. Brogdon,,92-82,,
8:33.0,G. Monroe misses 2-pt shot from 8 ft,,92-82,,
8:32.0,,,92-82,,Defensive rebound by Team
8:32.0,Official timeout,,92-82,,
8:32.0,,,92-82,,B. Lopez enters the game for J. Hamilton
8:16.0,,,92-82,,S. Kilpatrick misses 3-pt shot from 23 ft
8:15.0,,,92-82,,Offensive rebound by B. Lopez
8:02.0,,,92-82,,I. Whitehead misses 3-pt shot from 25 ft
8:02.0,,,92-82,,Offensive rebound by T. Booker
8:01.0,,,92-82,,T. Booker misses 2-pt shot from 4 ft (block by G. Monroe)
8:00.0,,,92-82,,Offensive rebound by Team
7:56.0,,,92-82,,J. Harris misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by M. Teletovic,,92-82,,
7:41.0,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Brogdon),3,95-82,,
7:27.0,,,95-82,,B. Lopez misses 3-pt shot from 22 ft
7:26.0,Defensive rebound by M. Brogdon,,95-82,,
7:21.0,M. Beasley misses 2-pt shot from 7 ft (block by B. Lopez),,95-82,,
7:20.0,Offensive rebound by Team,,95-82,,
7:20.0,,,95-82,,R. Foye enters the game for J. Harris
7:10.0,Turnover by J. Terry (traveling),,95-82,,
6:55.0,,,95-82,,T. Booker misses 2-pt shot from 8 ft
6:54.0,Defensive rebound by M. Teletovic,,95-82,,
6:39.0,J. Terry misses 2-pt shot from 19 ft,,95-82,,
6:38.0,Offensive rebound by M. Beasley,,95-82,,
