time,Dallas,pts.away,score,pts.home,Phoenix
6:47.0,,,22-17,,T. Warren misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by S. Curry,,22-17,,
6:43.0,Turnover by S. Curry (lost ball; steal by E. Bledsoe),,22-17,,
6:33.0,,,22-17,,Turnover by E. Bledsoe (lost ball; steal by S. Curry)
6:20.0,W. Matthews makes 2-pt shot from 19 ft (assist by D. Williams),2,24-17,,
6:07.0,,,24-19,2,D. Booker makes 2-pt shot from 17 ft
5:49.0,H. Barnes makes 2-pt shot from 20 ft (assist by W. Matthews),2,26-19,,
5:36.0,,,26-19,,D. Booker misses 2-pt shot from 5 ft (block by W. Matthews)
5:33.0,Defensive rebound by S. Mejri,,26-19,,
5:19.0,Shooting foul by M. Chriss (drawn by D. Williams),,26-19,,
5:19.0,D. Williams misses free throw 1 of 2,,26-19,,
5:19.0,Offensive rebound by Team,,26-19,,
5:19.0,D. Williams makes free throw 2 of 2,1,27-19,,
5:19.0,,,26-19,,B. Knight enters the game for E. Bledsoe
5:19.0,,,26-19,,P. Tucker enters the game for M. Chriss
5:19.0,D. Harris enters the game for H. Barnes,,26-19,,
5:19.0,D. Nowitzki enters the game for S. Curry,,26-19,,
5:05.0,,,27-19,,Turnover by D. Booker (lost ball)
5:05.0,J. Barea enters the game for D. Williams,,27-19,,
4:42.0,D. Harris misses 3-pt shot from 25 ft,,27-19,,
4:40.0,,,27-19,,Defensive rebound by P. Tucker
4:34.0,,,27-19,,B. Knight misses 2-pt shot from 3 ft
4:30.0,,,27-19,,Offensive rebound by T. Chandler
4:30.0,,,27-21,2,T. Chandler makes 2-pt shot at rim
4:16.0,,,27-21,,Personal foul by D. Booker (drawn by W. Matthews)
4:05.0,J. Barea misses 2-pt shot from 12 ft,,27-21,,
4:02.0,,,27-21,,Defensive rebound by P. Tucker
3:52.0,,,27-23,2,T. Warren makes 2-pt shot from 20 ft
3:51.0,Dallas full timeout,,27-23,,
3:51.0,,,27-23,,A. Len enters the game for T. Chandler
3:51.0,D. Powell enters the game for W. Matthews,,27-23,,
3:51.0,D. Finney-Smith enters the game for S. Mejri,,27-23,,
3:34.0,D. Finney-Smith misses 3-pt shot from 24 ft,,27-23,,
3:32.0,,,27-23,,Defensive rebound by B. Knight
3:18.0,,,27-23,,Shooting foul by D. Finney-Smith (drawn by A. Len)
3:18.0,,,27-23,,A. Len misses free throw 1 of 2
3:18.0,,,27-23,,Offensive rebound by Team
3:18.0,,,27-24,1,A. Len makes free throw 2 of 2
3:18.0,,,27-23,,L. Barbosa enters the game for D. Booker
3:00.0,Shooting foul by T. Warren (drawn by D. Powell),,27-24,,
3:00.0,D. Powell makes free throw 1 of 2,1,28-24,,
3:00.0,D. Powell makes free throw 2 of 2,1,29-24,,
3:00.0,,,28-24,,D. Bender enters the game for T. Warren
2:47.0,,,29-24,,B. Knight misses 2-pt shot from 1 ft
2:45.0,Defensive rebound by D. Nowitzki,,29-24,,
2:37.0,D. Powell misses 2-pt shot from 2 ft,,29-24,,
2:36.0,Offensive rebound by D. Finney-Smith,,29-24,,
2:36.0,D. Finney-Smith misses 2-pt shot from 2 ft,,29-24,,
2:34.0,Offensive rebound by D. Powell,,29-24,,
2:29.0,D. Harris misses 2-pt shot from 22 ft,,29-24,,
2:26.0,,,29-24,,Defensive rebound by P. Tucker
2:10.0,,,29-24,,D. Bender misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by D. Nowitzki,,29-24,,
2:01.0,J. Barea misses 3-pt shot from 26 ft,,29-24,,
2:00.0,,,29-24,,Defensive rebound by Team
1:45.0,,,29-26,2,A. Len makes 2-pt shot from 14 ft (assist by L. Barbosa)
1:24.0,Turnover by D. Powell (back court),,29-26,,
1:16.0,,,29-26,,Turnover by D. Bender (bad pass; steal by D. Powell)
1:09.0,Shooting foul by D. Bender (drawn by D. Harris),,29-26,,
1:09.0,D. Harris misses free throw 1 of 2,,29-26,,
1:09.0,Offensive rebound by Team,,29-26,,
1:09.0,D. Harris makes free throw 2 of 2,1,30-26,,
0:57.0,,,30-29,3,D. Bender makes 3-pt shot from 25 ft (assist by B. Knight)
0:44.0,D. Nowitzki makes 2-pt shot from 3 ft,2,32-29,,
0:30.0,,,32-29,,L. Barbosa misses 2-pt shot from 5 ft (block by D. Powell)
0:28.0,Defensive rebound by J. Barea,,32-29,,
0:24.0,D. Nowitzki misses 2-pt shot from 2 ft,,32-29,,
0:22.0,,,32-29,,Defensive rebound by P. Tucker
0:04.0,Personal foul by D. Harris (drawn by B. Knight),,32-29,,
0:04.0,,,32-29,,D. Booker enters the game for A. Len
0:04.0,J. Anderson enters the game for D. Nowitzki,,32-29,,
0:00.0,,,32-29,,B. Knight misses 2-pt shot from 1 ft
0:00.0,,,32-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,32-29,,Violation by B. Knight (kicked ball)
11:46.0,J. Anderson misses 3-pt shot from 25 ft,,32-29,,
11:44.0,,,32-29,,Defensive rebound by A. Len
11:32.0,Personal foul by D. Finney-Smith (drawn by L. Barbosa),,32-29,,
11:20.0,,,32-29,,B. Knight misses 3-pt shot from 26 ft
11:18.0,Defensive rebound by J. Anderson,,32-29,,
11:05.0,D. Powell misses 2-pt shot from 4 ft,,32-29,,
11:04.0,Offensive rebound by D. Powell,,32-29,,
11:02.0,J. Barea misses 3-pt shot from 25 ft,,32-29,,
10:59.0,,,32-29,,Defensive rebound by A. Len
10:52.0,,,32-31,2,L. Barbosa makes 2-pt shot from 20 ft
10:33.0,D. Powell misses 2-pt shot from 5 ft (block by D. Bender),,32-31,,
10:31.0,,,32-31,,Defensive rebound by L. Barbosa
10:30.0,Personal take foul by D. Harris (drawn by L. Barbosa),,32-31,,
10:30.0,H. Barnes enters the game for D. Finney-Smith,,32-31,,
10:21.0,,,32-33,2,L. Barbosa makes 2-pt shot from 3 ft
10:14.0,Turnover by J. Barea (bad pass),,32-33,,
9:59.0,,,32-33,,D. Bender misses 2-pt shot from 2 ft
9:59.0,,,32-33,,Offensive rebound by D. Bender
9:59.0,,,32-33,,Shooting foul by D. Powell (drawn by D. Bender)
9:59.0,,,32-34,1,D. Bender makes free throw 1 of 2
9:59.0,,,32-35,1,D. Bender makes free throw 2 of 2
9:59.0,D. Williams enters the game for D. Harris,,32-34,,
9:59.0,D. Nowitzki enters the game for J. Barea,,32-34,,
9:59.0,W. Matthews enters the game for D. Powell,,32-34,,
9:59.0,S. Mejri enters the game for J. Anderson,,32-34,,
9:43.0,,,32-35,,Personal foul by L. Barbosa (drawn by W. Matthews)
9:33.0,D. Nowitzki makes 2-pt shot at rim (assist by D. Williams),2,34-35,,
9:16.0,,,34-35,,L. Barbosa misses 2-pt shot from 15 ft
9:13.0,Defensive rebound by S. Mejri,,34-35,,
9:04.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Williams),2,36-35,,
9:04.0,,,36-35,,Phoenix full timeout
9:04.0,,,36-35,,T. Chandler enters the game for A. Len
8:51.0,,,36-37,2,B. Knight makes 2-pt shot from 2 ft
8:36.0,D. Nowitzki misses 3-pt shot from 26 ft,,36-37,,
8:34.0,,,36-37,,Defensive rebound by T. Chandler
8:21.0,,,36-37,,P. Tucker misses 3-pt shot from 22 ft
8:19.0,Defensive rebound by D. Nowitzki,,36-37,,
8:05.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams),2,38-37,,
7:39.0,,,38-37,,B. Knight misses 2-pt shot from 7 ft (block by S. Mejri)
7:39.0,,,38-37,,Offensive rebound by Team
7:39.0,,,38-37,,Turnover by Team (shot clock)
7:20.0,H. Barnes misses 2-pt shot from 20 ft,,38-37,,
7:18.0,,,38-37,,Defensive rebound by T. Chandler
7:01.0,,,38-37,,Turnover by D. Bender (lost ball; steal by H. Barnes)
6:52.0,,,38-37,,Def 3 sec tech foul by P. Tucker
6:52.0,D. Nowitzki makes technical free throw,1,39-37,,
6:52.0,,,39-37,,D. Booker enters the game for B. Knight
6:52.0,,,39-37,,T. Warren enters the game for D. Bender
6:52.0,,,39-37,,E. Bledsoe enters the game for L. Barbosa
6:36.0,D. Williams makes 2-pt shot from 21 ft,2,41-37,,
6:23.0,,,41-37,,T. Warren misses 2-pt shot from 5 ft
6:21.0,,,41-37,,Offensive rebound by P. Tucker
6:18.0,,,41-37,,T. Warren misses 2-pt shot from 6 ft
6:16.0,,,41-37,,Offensive rebound by T. Chandler
6:16.0,,,41-39,2,T. Chandler makes 2-pt shot from 2 ft
6:11.0,Dallas full timeout,,41-39,,
6:11.0,S. Curry enters the game for D. Nowitzki,,41-39,,
6:05.0,H. Barnes misses 3-pt shot from 26 ft,,41-39,,
6:03.0,,,41-39,,Defensive rebound by P. Tucker
5:41.0,,,41-41,2,D. Booker makes 2-pt shot from 13 ft
5:18.0,W. Matthews misses 2-pt shot from 3 ft,,41-41,,
5:16.0,,,41-41,,Defensive rebound by T. Chandler
5:14.0,,,41-41,,Shooting foul by H. Barnes (drawn by E. Bledsoe)
5:14.0,,,41-42,1,E. Bledsoe makes free throw 1 of 2
5:14.0,,,41-43,1,E. Bledsoe makes free throw 2 of 2
5:00.0,,,41-43,,Personal foul by E. Bledsoe (drawn by S. Mejri)
4:55.0,D. Williams misses 2-pt shot from 3 ft (block by E. Bledsoe),,41-43,,
4:53.0,Offensive rebound by S. Mejri,,41-43,,
4:53.0,S. Mejri makes 2-pt shot from 2 ft,2,43-43,,
4:29.0,Shooting block foul by S. Mejri (drawn by E. Bledsoe),,43-43,,
4:29.0,,,43-44,1,E. Bledsoe makes free throw 1 of 2
4:29.0,,,43-45,1,E. Bledsoe makes free throw 2 of 2
4:29.0,,,43-44,,M. Chriss enters the game for P. Tucker
4:29.0,D. Nowitzki enters the game for S. Mejri,,43-44,,
4:17.0,D. Williams makes 3-pt shot from 26 ft (assist by H. Barnes),3,46-45,,
4:06.0,,,46-45,,Shooting foul by D. Williams (drawn by E. Bledsoe)
4:06.0,,,46-46,1,E. Bledsoe makes free throw 1 of 2
4:06.0,,,46-47,1,E. Bledsoe makes free throw 2 of 2
3:50.0,D. Nowitzki misses 2-pt shot from 17 ft,,46-47,,
3:48.0,,,46-47,,Defensive rebound by T. Chandler
3:43.0,,,46-47,,Shooting foul by D. Nowitzki (drawn by T. Chandler)
3:43.0,,,46-47,,T. Chandler misses free throw 1 of 2
3:43.0,,,46-47,,Offensive rebound by Team
3:43.0,,,46-48,1,T. Chandler makes free throw 2 of 2
3:43.0,J. Barea enters the game for S. Curry,,46-47,,
3:29.0,H. Barnes makes 2-pt shot from 19 ft (assist by D. Williams),2,48-48,,
3:15.0,Def 3 sec tech foul by D. Nowitzki,,48-48,,
3:15.0,,,48-49,1,E. Bledsoe makes technical free throw
3:06.0,,,48-49,,D. Booker misses 2-pt shot from 19 ft
3:04.0,,,48-49,,Offensive rebound by E. Bledsoe
3:04.0,,,48-51,2,E. Bledsoe makes 2-pt shot from 2 ft
2:50.0,H. Barnes makes 2-pt shot from 17 ft (assist by W. Matthews),2,50-51,,
2:38.0,,,50-51,,Turnover by D. Booker (bad pass; steal by J. Barea)
2:32.0,H. Barnes makes 3-pt shot from 26 ft (assist by J. Barea),3,53-51,,
2:14.0,,,53-53,2,E. Bledsoe makes 2-pt shot from 11 ft
2:06.0,D. Williams makes 2-pt shot at rim,2,55-53,,
2:06.0,Shooting foul by T. Warren (drawn by D. Williams),,55-53,,
2:06.0,Official timeout,,55-53,,
2:06.0,D. Williams misses free throw 1 of 1,,55-53,,
2:06.0,,,55-53,,T. Ulis enters the game for T. Warren
2:04.0,,,55-53,,Defensive rebound by T. Chandler
1:51.0,,,55-53,,Shooting foul by D. Nowitzki (drawn by T. Chandler)
1:51.0,,,55-54,1,T. Chandler makes free throw 1 of 2
1:51.0,,,55-55,1,T. Chandler makes free throw 2 of 2
1:35.0,W. Matthews misses 3-pt shot from 25 ft,,55-55,,
1:33.0,,,55-55,,Defensive rebound by T. Chandler
1:26.0,,,55-55,,T. Ulis misses 2-pt shot from 8 ft
1:23.0,,,55-55,,Offensive rebound by T. Chandler
1:23.0,,,55-57,2,T. Chandler makes 2-pt shot from 1 ft
1:05.0,W. Matthews misses 2-pt shot from 9 ft,,55-57,,
1:03.0,,,55-57,,Defensive rebound by T. Chandler
0:59.0,,,55-57,,M. Chriss misses 3-pt shot from 22 ft
0:55.0,Defensive rebound by D. Nowitzki,,55-57,,
0:36.0,J. Barea makes 2-pt shot from 1 ft,2,57-57,,
0:20.0,,,57-59,2,M. Chriss makes 2-pt shot from 1 ft (assist by E. Bledsoe)
0:03.0,,,57-59,,Personal foul by T. Ulis (drawn by D. Williams)
0:03.0,Dallas full timeout,,57-59,,
0:03.0,,,57-59,,P. Tucker enters the game for T. Ulis
0:00.0,D. Nowitzki misses 2-pt shot from 19 ft,,57-59,,
0:00.0,,,57-59,,Defensive rebound by E. Bledsoe
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,H. Barnes makes 2-pt shot from 17 ft (assist by D. Williams),2,59-59,,
11:21.0,,,59-59,,T. Warren misses 2-pt shot from 15 ft
11:20.0,,,59-59,,Offensive rebound by T. Chandler
11:20.0,,,59-59,,T. Chandler misses 2-pt shot from 1 ft
11:19.0,Defensive rebound by D. Williams,,59-59,,
11:10.0,S. Curry misses 3-pt shot from 22 ft,,59-59,,
11:06.0,,,59-59,,Defensive rebound by E. Bledsoe
11:02.0,,,59-59,,E. Bledsoe misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by S. Curry,,59-59,,
10:53.0,D. Williams makes 3-pt shot from 24 ft (assist by H. Barnes),3,62-59,,
10:30.0,,,62-59,,Turnover by E. Bledsoe (bad pass; steal by H. Barnes)
10:17.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by W. Matthews),3,65-59,,
10:16.0,,,65-59,,Phoenix full timeout
10:03.0,,,65-61,2,D. Booker makes 2-pt shot from 17 ft
9:44.0,D. Williams misses 2-pt shot from 16 ft,,65-61,,
9:42.0,,,65-61,,Defensive rebound by T. Chandler
9:33.0,,,65-61,,M. Chriss misses 2-pt shot from 7 ft (block by D. Nowitzki)
9:33.0,Defensive rebound by Team,,65-61,,
9:18.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by D. Williams),3,68-61,,
9:04.0,,,68-61,,Turnover by D. Booker (lost ball)
9:00.0,,,68-61,,Personal foul by D. Booker (drawn by D. Williams)
8:45.0,D. Williams makes 3-pt shot from 26 ft (assist by H. Barnes),3,71-61,,
8:31.0,,,71-63,2,T. Chandler makes 2-pt shot at rim (assist by T. Warren)
8:12.0,D. Williams misses 3-pt shot from 25 ft,,71-63,,
8:09.0,,,71-63,,Defensive rebound by E. Bledsoe
8:05.0,,,71-63,,Turnover by D. Booker (traveling)
8:05.0,,,71-63,,B. Knight enters the game for D. Booker
7:54.0,D. Williams makes 2-pt shot from 4 ft (assist by D. Nowitzki),2,73-63,,
7:35.0,,,73-63,,Turnover by B. Knight (bad pass; steal by S. Curry)
7:29.0,W. Matthews makes 3-pt shot from 25 ft (assist by S. Curry),3,76-63,,
7:28.0,,,76-63,,Phoenix full timeout
7:28.0,S. Mejri enters the game for D. Nowitzki,,76-63,,
7:15.0,,,76-63,,Turnover by M. Chriss (bad pass)
7:05.0,Offensive foul by S. Mejri,,76-63,,
7:05.0,Turnover by S. Mejri (offensive foul),,76-63,,
7:05.0,,,76-63,,P. Tucker enters the game for M. Chriss
6:49.0,,,76-65,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
6:31.0,W. Matthews misses 2-pt shot from 21 ft,,76-65,,
6:29.0,,,76-65,,Defensive rebound by T. Chandler
6:22.0,,,76-65,,Turnover by T. Chandler (traveling)
6:05.0,,,76-65,,Personal foul by E. Bledsoe (drawn by H. Barnes)
5:50.0,H. Barnes misses 2-pt shot from 18 ft,,76-65,,
5:46.0,,,76-65,,Defensive rebound by E. Bledsoe
5:41.0,,,76-65,,Turnover by E. Bledsoe (bad pass; steal by S. Mejri)
5:40.0,,,76-65,,Personal foul by E. Bledsoe (drawn by W. Matthews)
5:40.0,,,76-65,,D. Booker enters the game for E. Bledsoe
5:20.0,H. Barnes misses 3-pt shot from 24 ft,,76-65,,
5:19.0,Offensive rebound by S. Mejri,,76-65,,
5:15.0,Dallas full timeout,,76-65,,
5:11.0,Offensive foul by D. Williams,,76-65,,
5:11.0,Turnover by D. Williams (offensive foul),,76-65,,
4:53.0,,,76-65,,T. Warren misses 2-pt shot from 12 ft
4:51.0,,,76-65,,Offensive rebound by T. Chandler
4:51.0,,,76-65,,T. Chandler misses 2-pt shot from 1 ft
4:49.0,,,76-65,,Offensive rebound by T. Chandler
4:49.0,,,76-65,,T. Chandler misses 2-pt shot from 2 ft
4:47.0,,,76-65,,Offensive rebound by T. Warren
4:47.0,,,76-67,2,T. Warren makes 2-pt shot from 2 ft
4:42.0,,,76-67,,Personal foul by B. Knight (drawn by D. Williams)
4:42.0,D. Nowitzki enters the game for H. Barnes,,76-67,,
4:42.0,J. Barea enters the game for S. Curry,,76-67,,
4:42.0,D. Harris enters the game for D. Williams,,76-67,,
4:26.0,W. Matthews makes 2-pt shot from 14 ft,2,78-67,,
4:11.0,,,78-67,,B. Knight misses 2-pt shot from 14 ft
4:08.0,Defensive rebound by S. Mejri,,78-67,,
4:04.0,Shooting foul by T. Warren (drawn by D. Harris),,78-67,,
4:04.0,D. Harris misses free throw 1 of 2,,78-67,,
4:04.0,Offensive rebound by Team,,78-67,,
4:04.0,D. Harris makes free throw 2 of 2,1,79-67,,
4:04.0,,,78-67,,L. Barbosa enters the game for T. Warren
3:57.0,,,79-69,2,D. Booker makes 2-pt shot from 17 ft
3:42.0,J. Barea misses 2-pt shot from 20 ft,,79-69,,
3:39.0,,,79-69,,Defensive rebound by P. Tucker
3:35.0,,,79-69,,L. Barbosa misses 2-pt shot from 8 ft
3:30.0,Defensive rebound by S. Mejri,,79-69,,
3:26.0,D. Nowitzki misses 3-pt shot from 25 ft,,79-69,,
3:23.0,,,79-69,,Defensive rebound by L. Barbosa
3:10.0,,,79-69,,D. Booker misses 2-pt shot from 3 ft (block by S. Mejri)
3:06.0,Defensive rebound by S. Mejri,,79-69,,
2:47.0,D. Nowitzki misses 2-pt shot from 11 ft (block by T. Chandler),,79-69,,
2:47.0,Offensive rebound by Team,,79-69,,
2:46.0,S. Mejri makes 2-pt shot at rim (assist by J. Barea),2,81-69,,
2:27.0,,,81-71,2,B. Knight makes 2-pt shot from 7 ft
2:27.0,,,81-71,,Shooting foul by J. Barea (drawn by B. Knight)
2:27.0,,,81-72,1,B. Knight makes free throw 1 of 1
2:12.0,W. Matthews makes 3-pt shot from 26 ft,3,84-72,,
1:51.0,,,84-74,2,P. Tucker makes 2-pt shot from 12 ft
1:29.0,D. Harris misses 2-pt shot from 3 ft,,84-74,,
1:29.0,,,84-74,,Defensive rebound by Team
1:29.0,,,84-74,,A. Len enters the game for T. Chandler
1:29.0,D. Powell enters the game for S. Mejri,,84-74,,
1:13.0,,,84-74,,B. Knight misses 2-pt shot from 6 ft (block by D. Powell)
1:10.0,Defensive rebound by D. Nowitzki,,84-74,,
0:59.0,,,84-74,,Personal foul by D. Booker (drawn by D. Powell)
0:59.0,D. Powell makes free throw 1 of 2,1,85-74,,
0:59.0,D. Powell makes free throw 2 of 2,1,86-74,,
0:50.0,,,86-76,2,A. Len makes 2-pt shot from 2 ft (assist by D. Booker)
0:34.0,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea),2,88-76,,
0:24.0,,,88-76,,P. Tucker misses 2-pt shot from 16 ft
0:22.0,Defensive rebound by D. Harris,,88-76,,
0:01.0,J. Barea misses 3-pt shot from 25 ft (block by A. Len),,88-76,,
0:01.0,Offensive rebound by D. Powell,,88-76,,
0:01.0,D. Powell misses 2-pt shot from 6 ft,,88-76,,
0:00.0,Offensive rebound by Team,,88-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,88-79,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
11:30.0,Turnover by D. Powell (step out of bounds),,88-79,,
11:21.0,,,88-79,,A. Len misses 2-pt shot from 14 ft
11:19.0,Defensive rebound by H. Barnes,,88-79,,
11:08.0,H. Barnes makes 2-pt shot from 16 ft (assist by J. Barea),2,90-79,,
10:55.0,,,90-81,2,A. Len makes 2-pt shot at rim (assist by L. Barbosa)
10:26.0,J. Barea misses 3-pt shot from 25 ft,,90-81,,
10:24.0,,,90-81,,Defensive rebound by A. Len
10:21.0,Violation by D. Finney-Smith (kicked ball),,90-81,,
10:21.0,,,90-81,,Technical foul by E. Bledsoe
10:21.0,Technical foul by J. Barea,,90-81,,
10:20.0,,,90-81,,Offensive foul by P. Tucker
10:20.0,,,90-81,,Turnover by P. Tucker (offensive foul)
10:12.0,D. Powell makes 2-pt shot from 17 ft (assist by J. Barea),2,92-81,,
9:59.0,,,92-81,,Turnover by A. Len (bad pass; steal by D. Powell)
9:58.0,,,92-81,,Personal foul by D. Booker (drawn by D. Powell)
9:58.0,,,92-81,,T. Chandler enters the game for A. Len
9:35.0,J. Barea misses 3-pt shot from 26 ft,,92-81,,
9:32.0,,,92-81,,Defensive rebound by T. Chandler
9:22.0,,,92-81,,Turnover by T. Chandler (3 sec)
9:05.0,Turnover by J. Barea (bad pass),,92-81,,
8:49.0,,,92-84,3,D. Booker makes 3-pt shot from 24 ft
8:35.0,Shooting foul by E. Bledsoe (drawn by H. Barnes),,92-84,,
8:35.0,Official timeout,,92-84,,
8:35.0,H. Barnes misses free throw 1 of 2,,92-84,,
8:35.0,Offensive rebound by Team,,92-84,,
8:35.0,H. Barnes makes free throw 2 of 2,1,93-84,,
8:35.0,,,92-84,,T. Warren enters the game for P. Tucker
8:23.0,,,93-84,,Shooting foul by D. Finney-Smith (drawn by D. Booker)
8:23.0,,,93-84,,D. Booker misses free throw 1 of 2
8:23.0,,,93-84,,Offensive rebound by Team
8:23.0,,,93-85,1,D. Booker makes free throw 2 of 2
8:12.0,Turnover by J. Barea (bad pass),,93-85,,
8:03.0,,,93-85,,Offensive foul by E. Bledsoe
8:03.0,,,93-85,,Turnover by E. Bledsoe (offensive foul)
8:03.0,S. Curry enters the game for D. Harris,,93-85,,
8:03.0,W. Matthews enters the game for J. Barea,,93-85,,
8:03.0,D. Williams enters the game for D. Finney-Smith,,93-85,,
8:03.0,,,93-85,,T. Ulis enters the game for E. Bledsoe
7:44.0,H. Barnes makes 2-pt shot from 13 ft,2,95-85,,
7:36.0,,,95-85,,D. Booker misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by H. Barnes,,95-85,,
7:24.0,D. Powell makes 2-pt shot from 1 ft (assist by W. Matthews),2,97-85,,
7:22.0,,,97-85,,Phoenix full timeout
7:22.0,,,97-85,,M. Chriss enters the game for L. Barbosa
7:12.0,,,97-87,2,T. Warren makes 2-pt shot from 16 ft
7:00.0,Turnover by W. Matthews (lost ball; steal by D. Booker),,97-87,,
6:55.0,,,97-89,2,D. Booker makes 2-pt shot from 2 ft
6:39.0,,,97-89,,Personal foul by M. Chriss (drawn by H. Barnes)
6:32.0,H. Barnes misses 3-pt shot from 25 ft,,97-89,,
6:29.0,,,97-89,,Defensive rebound by T. Warren
6:17.0,,,97-89,,T. Ulis misses 2-pt shot from 18 ft
6:14.0,Defensive rebound by D. Powell,,97-89,,
6:09.0,,,97-89,,Personal foul by T. Warren
5:59.0,H. Barnes makes 2-pt shot from 18 ft (assist by D. Williams),2,99-89,,
5:41.0,,,99-89,,Turnover by D. Booker (bad pass; steal by S. Curry)
5:37.0,W. Matthews misses 3-pt shot from 26 ft,,99-89,,
5:33.0,Offensive rebound by H. Barnes,,99-89,,
5:31.0,W. Matthews misses 3-pt shot from 26 ft,,99-89,,
5:30.0,,,99-89,,Defensive rebound by D. Booker
5:18.0,,,99-89,,Turnover by D. Booker (bad pass; steal by W. Matthews)
5:07.0,D. Williams misses 2-pt shot from 13 ft,,99-89,,
5:07.0,Offensive rebound by Team,,99-89,,
5:04.0,H. Barnes misses 2-pt shot from 17 ft,,99-89,,
5:02.0,,,99-89,,Defensive rebound by T. Chandler
4:47.0,,,99-89,,T. Ulis misses 2-pt shot from 16 ft
4:43.0,Defensive rebound by D. Powell,,99-89,,
4:28.0,H. Barnes misses 2-pt shot from 5 ft,,99-89,,
4:26.0,,,99-89,,Defensive rebound by T. Chandler
4:22.0,,,99-91,2,D. Booker makes 2-pt shot from 3 ft
4:22.0,Dallas full timeout,,99-91,,
4:22.0,,,99-91,,E. Bledsoe enters the game for T. Ulis
4:22.0,D. Nowitzki enters the game for D. Powell,,99-91,,
4:05.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams),3,102-91,,
3:49.0,,,102-94,3,D. Booker makes 3-pt shot from 26 ft
