time,Chicago,pts.away,score,pts.home,Phoenix
2:10.0,M. Carter-Williams enters the game for J. Butler,,23-16,,
2:01.0,D. McDermott makes 2-pt shot from 22 ft (assist by R. Rondo),2,25-16,,
1:43.0,,,25-18,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
1:26.0,N. Mirotic misses 3-pt shot from 23 ft,,25-18,,
1:25.0,Offensive rebound by R. Lopez,,25-18,,
1:23.0,Offensive foul by R. Lopez,,25-18,,
1:23.0,Turnover by R. Lopez (offensive foul),,25-18,,
1:23.0,C. Felicio enters the game for R. Lopez,,25-18,,
1:08.0,,,25-18,,Shooting foul by M. Carter-Williams (drawn by D. Booker)
1:08.0,,,25-19,1,D. Booker makes free throw 1 of 2
1:08.0,,,25-20,1,D. Booker makes free throw 2 of 2
1:08.0,,,25-19,,M. Chriss enters the game for T. Chandler
0:53.0,Shooting foul by P. Tucker (drawn by C. Felicio),,25-20,,
0:53.0,C. Felicio misses free throw 1 of 2,,25-20,,
0:53.0,Offensive rebound by Team,,25-20,,
0:53.0,C. Felicio makes free throw 2 of 2,1,26-20,,
0:43.0,,,26-22,2,D. Booker makes 2-pt shot at rim (assist by M. Chriss)
0:35.0,Turnover by R. Rondo (bad pass),,26-22,,
0:31.0,,,26-25,3,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker)
0:08.0,M. Carter-Williams misses 2-pt shot from 22 ft,,26-25,,
0:06.0,,,26-25,,Defensive rebound by P. Tucker
0:02.0,,,26-28,3,D. Booker makes 3-pt shot from 25 ft (assist by P. Tucker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,D. McDermott makes 3-pt shot from 25 ft (assist by C. Felicio),3,29-28,,
11:25.0,,,29-28,,J. Dudley misses 2-pt shot from 22 ft
11:24.0,Defensive rebound by C. Felicio,,29-28,,
10:59.0,R. Rondo makes 3-pt shot from 26 ft (assist by N. Mirotic),3,32-28,,
10:42.0,,,32-28,,B. Knight misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by C. Felicio,,32-28,,
10:34.0,Turnover by N. Mirotic (traveling),,32-28,,
10:19.0,,,32-31,3,L. Barbosa makes 3-pt shot from 22 ft (assist by J. Dudley)
10:02.0,Turnover by R. Rondo (bad pass; steal by P. Tucker),,32-31,,
10:01.0,Personal take foul by N. Mirotic (drawn by P. Tucker),,32-31,,
9:45.0,,,32-31,,M. Chriss misses 2-pt shot from 10 ft
9:43.0,Defensive rebound by N. Mirotic,,32-31,,
9:30.0,Shooting foul by M. Chriss (drawn by D. Wade),,32-31,,
9:30.0,D. Wade makes free throw 1 of 2,1,33-31,,
9:30.0,D. Wade makes free throw 2 of 2,1,34-31,,
9:30.0,,,33-31,,A. Williams enters the game for M. Chriss
9:16.0,,,34-31,,L. Barbosa misses 2-pt shot from 18 ft
9:16.0,,,34-31,,Offensive rebound by A. Williams
9:13.0,,,34-33,2,A. Williams makes 2-pt shot from 4 ft
8:59.0,D. Wade makes 3-pt shot from 26 ft (assist by C. Felicio),3,37-33,,
8:41.0,,,37-35,2,A. Williams makes 2-pt shot from 4 ft (assist by P. Tucker)
8:23.0,N. Mirotic misses 3-pt shot from 24 ft,,37-35,,
8:22.0,,,37-35,,Defensive rebound by P. Tucker
8:11.0,,,37-35,,A. Williams misses 2-pt shot at rim (block by D. Wade)
8:10.0,,,37-35,,Offensive rebound by J. Dudley
8:07.0,,,37-35,,A. Williams misses 2-pt shot from 6 ft
8:06.0,Defensive rebound by D. Wade,,37-35,,
7:57.0,R. Rondo misses 3-pt shot from 25 ft,,37-35,,
7:57.0,,,37-35,,Defensive rebound by J. Dudley
7:50.0,,,37-37,2,B. Knight makes 2-pt shot from 2 ft
7:29.0,D. McDermott misses 3-pt shot from 28 ft,,37-37,,
7:28.0,,,37-37,,Defensive rebound by P. Tucker
7:19.0,,,37-37,,B. Knight misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by Team,,37-37,,
7:19.0,Official timeout,,37-37,,
7:19.0,T. Gibson enters the game for D. McDermott,,37-37,,
7:19.0,J. Butler enters the game for N. Mirotic,,37-37,,
7:19.0,D. Valentine enters the game for R. Rondo,,37-37,,
6:54.0,C. Felicio misses 2-pt shot from 22 ft,,37-37,,
6:54.0,Offensive rebound by Team,,37-37,,
6:30.0,J. Butler misses 2-pt shot from 8 ft (block by A. Williams),,37-37,,
6:29.0,,,37-37,,Defensive rebound by A. Williams
6:22.0,,,37-39,2,B. Knight makes 2-pt shot from 13 ft
6:04.0,T. Gibson misses 2-pt shot from 2 ft (block by A. Williams),,37-39,,
6:04.0,Offensive rebound by Team,,37-39,,
5:57.0,J. Butler makes 2-pt shot from 1 ft,2,39-39,,
5:43.0,,,39-39,,L. Barbosa misses 2-pt shot from 1 ft (block by C. Felicio)
5:43.0,,,39-39,,Offensive rebound by Team
5:43.0,,,39-39,,Phoenix full timeout
5:43.0,R. Lopez enters the game for C. Felicio,,39-39,,
5:43.0,,,39-39,,E. Bledsoe enters the game for J. Dudley
5:43.0,,,39-39,,T. Warren enters the game for L. Barbosa
5:38.0,,,39-39,,Turnover by P. Tucker (bad pass)
5:38.0,,,39-39,,Personal foul by T. Warren
5:21.0,R. Lopez misses 2-pt shot from 4 ft,,39-39,,
5:18.0,,,39-39,,Defensive rebound by P. Tucker
4:56.0,,,39-39,,E. Bledsoe misses 2-pt shot from 3 ft
4:54.0,Defensive rebound by D. Valentine,,39-39,,
4:45.0,T. Gibson misses 2-pt shot from 4 ft (block by A. Williams),,39-39,,
4:44.0,,,39-39,,Defensive rebound by B. Knight
4:42.0,Personal foul by J. Butler (drawn by B. Knight),,39-39,,
4:42.0,D. McDermott enters the game for D. Wade,,39-39,,
4:42.0,,,39-39,,T. Chandler enters the game for A. Williams
4:32.0,,,39-39,,E. Bledsoe misses 2-pt shot from 17 ft
4:30.0,Defensive rebound by D. McDermott,,39-39,,
4:19.0,R. Lopez misses 2-pt shot from 21 ft,,39-39,,
4:18.0,,,39-39,,Defensive rebound by B. Knight
4:03.0,,,39-41,2,B. Knight makes 2-pt shot from 3 ft
3:52.0,J. Butler misses 2-pt shot from 8 ft (block by E. Bledsoe),,39-41,,
3:51.0,,,39-41,,Defensive rebound by Team
3:50.0,,,39-41,,D. Booker enters the game for T. Chandler
3:50.0,,,39-41,,M. Chriss enters the game for B. Knight
3:44.0,Personal foul by D. McDermott,,39-41,,
3:44.0,J. Grant enters the game for D. Valentine,,39-41,,
3:38.0,,,39-43,2,T. Warren makes 2-pt shot from 20 ft
3:26.0,Offensive charge foul by J. Butler,,39-43,,
3:26.0,Turnover by J. Butler (offensive foul),,39-43,,
3:11.0,,,39-45,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
3:11.0,Chicago full timeout,,39-45,,
3:11.0,R. Rondo enters the game for D. McDermott,,39-45,,
3:04.0,,,39-45,,Personal foul by T. Warren
2:54.0,J. Butler makes 2-pt shot from 15 ft,2,41-45,,
2:37.0,,,41-47,2,T. Warren makes 2-pt shot from 20 ft (assist by M. Chriss)
2:20.0,Turnover by T. Gibson (bad pass),,41-47,,
2:12.0,,,41-47,,Shooting foul by J. Grant (drawn by E. Bledsoe)
2:12.0,,,41-48,1,E. Bledsoe makes free throw 1 of 2
2:12.0,,,41-48,,E. Bledsoe misses free throw 2 of 2
2:12.0,D. Wade enters the game for R. Lopez,,41-48,,
2:11.0,Defensive rebound by T. Gibson,,41-48,,
1:54.0,T. Gibson makes 2-pt shot at rim (assist by D. Wade),2,43-48,,
1:39.0,,,43-48,,D. Booker misses 2-pt shot from 16 ft
1:39.0,,,43-48,,Offensive rebound by P. Tucker
1:39.0,Personal foul by J. Butler (drawn by P. Tucker),,43-48,,
1:39.0,,,43-49,1,P. Tucker makes free throw 1 of 2
1:39.0,,,43-50,1,P. Tucker makes free throw 2 of 2
1:39.0,M. Carter-Williams enters the game for J. Butler,,43-49,,
1:25.0,Turnover by T. Gibson (bad pass; steal by P. Tucker),,43-50,,
1:19.0,,,43-52,2,T. Warren makes 2-pt shot from 15 ft (assist by E. Bledsoe)
1:00.0,D. Wade misses 2-pt shot from 17 ft,,43-52,,
0:58.0,,,43-52,,Defensive rebound by T. Warren
0:54.0,,,43-52,,E. Bledsoe misses 2-pt shot from 2 ft (block by D. Wade)
0:54.0,,,43-52,,Offensive rebound by Team
0:49.0,,,43-52,,T. Warren misses 2-pt shot from 10 ft
0:45.0,Defensive rebound by T. Gibson,,43-52,,
0:41.0,R. Rondo misses 2-pt shot from 21 ft,,43-52,,
0:39.0,,,43-52,,Defensive rebound by E. Bledsoe
0:34.0,,,43-52,,E. Bledsoe misses 2-pt shot from 4 ft
0:32.0,,,43-52,,Offensive rebound by D. Booker
0:32.0,,,43-52,,D. Booker misses 2-pt shot from 3 ft
0:31.0,,,43-52,,Offensive rebound by T. Warren
0:31.0,,,43-54,2,T. Warren makes 2-pt shot from 10 ft
0:15.0,D. Wade misses 2-pt shot from 12 ft,,43-54,,
0:14.0,,,43-54,,Defensive rebound by M. Chriss
0:01.0,,,43-56,2,P. Tucker makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,43-56,,Personal foul by P. Tucker (drawn by R. Lopez)
11:26.0,D. Wade makes 2-pt shot from 1 ft,2,45-56,,
11:12.0,,,45-58,2,D. Booker makes 2-pt shot from 10 ft
10:51.0,J. Butler misses 3-pt shot from 26 ft,,45-58,,
10:51.0,Offensive rebound by J. Butler,,45-58,,
10:47.0,J. Butler makes 2-pt shot from 1 ft,2,47-58,,
10:33.0,,,47-58,,D. Booker misses 2-pt shot from 14 ft
10:32.0,Defensive rebound by D. Wade,,47-58,,
10:25.0,D. Wade makes 2-pt shot from 2 ft,2,49-58,,
10:25.0,Shooting foul by M. Chriss (drawn by D. Wade),,49-58,,
10:25.0,D. Wade makes free throw 1 of 1,1,50-58,,
10:16.0,,,50-58,,Turnover by D. Booker (bad pass; steal by J. Grant)
10:11.0,J. Grant misses 2-pt shot from 1 ft,,50-58,,
10:10.0,Offensive rebound by J. Butler,,50-58,,
10:09.0,,,50-58,,Shooting block foul by M. Chriss (drawn by R. Lopez)
10:09.0,R. Lopez makes free throw 1 of 2,1,51-58,,
10:09.0,R. Lopez makes free throw 2 of 2,1,52-58,,
10:09.0,,,52-58,,Phoenix full timeout
10:09.0,,,52-58,,A. Williams enters the game for M. Chriss
9:52.0,,,52-58,,E. Bledsoe misses 2-pt shot from 9 ft
9:51.0,Defensive rebound by R. Lopez,,52-58,,
9:46.0,Turnover by D. Wade (lost ball; steal by P. Tucker),,52-58,,
9:41.0,,,52-60,2,E. Bledsoe makes 2-pt shot from 2 ft
9:41.0,,,52-60,,Shooting foul by J. Grant (drawn by E. Bledsoe)
9:41.0,,,52-61,1,E. Bledsoe makes free throw 1 of 1
9:28.0,Jump ball: J. Butler vs. A. Williams (D. Wade gains possession),,,,Jump ball: J. Butler vs. A. Williams (D. Wade gains possession)
9:22.0,D. Wade makes 2-pt shot at rim,2,54-61,,
9:10.0,,,54-63,2,T. Warren makes 2-pt shot from 5 ft
8:58.0,,,54-63,,Def 3 sec tech foul by A. Williams
8:58.0,J. Butler makes technical free throw,1,55-63,,
8:51.0,D. Wade misses 2-pt shot from 18 ft,,55-63,,
8:50.0,Offensive rebound by R. Lopez,,55-63,,
8:48.0,R. Lopez makes 2-pt shot from 1 ft,2,57-63,,
8:27.0,,,57-66,3,E. Bledsoe makes 3-pt shot from 25 ft
8:11.0,D. Wade makes 2-pt shot at rim (assist by J. Butler),2,59-66,,
7:54.0,,,59-68,2,A. Williams makes 2-pt shot from 4 ft (assist by E. Bledsoe)
7:40.0,J. Grant misses 3-pt shot from 26 ft,,59-68,,
7:40.0,Offensive rebound by Team,,59-68,,
7:40.0,,,59-68,,Loose ball foul by A. Williams (drawn by D. Wade)
7:33.0,J. Butler misses 2-pt shot from 2 ft (block by T. Warren),,59-68,,
7:32.0,,,59-68,,Defensive rebound by T. Warren
7:29.0,,,59-68,,Shooting foul by R. Lopez (drawn by D. Booker)
7:29.0,,,59-69,1,D. Booker makes free throw 1 of 2
7:29.0,,,59-70,1,D. Booker makes free throw 2 of 2
7:14.0,R. Lopez misses 2-pt shot from 12 ft,,59-70,,
7:14.0,,,59-70,,Defensive rebound by Team
7:03.0,,,59-70,,E. Bledsoe misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by D. Wade,,59-70,,
6:52.0,J. Butler misses 3-pt shot from 25 ft,,59-70,,
6:52.0,,,59-70,,Defensive rebound by E. Bledsoe
6:36.0,,,59-70,,T. Warren misses 2-pt shot from 6 ft
6:35.0,,,59-70,,Offensive rebound by A. Williams
6:35.0,,,59-72,2,A. Williams makes 2-pt shot from 2 ft
6:35.0,Chicago full timeout,,59-72,,
6:23.0,Shooting foul by A. Williams (drawn by J. Butler),,59-72,,
6:23.0,J. Butler makes free throw 1 of 2,1,60-72,,
6:23.0,J. Butler makes free throw 2 of 2,1,61-72,,
6:11.0,,,61-74,2,D. Booker makes 2-pt shot from 15 ft
5:57.0,D. Wade misses 2-pt shot from 7 ft (block by A. Williams),,61-74,,
5:56.0,Offensive rebound by D. Wade,,61-74,,
5:54.0,D. Wade makes 2-pt shot from 6 ft,2,63-74,,
5:41.0,,,63-76,2,E. Bledsoe makes 2-pt shot from 1 ft
5:29.0,T. Gibson makes 2-pt shot from 14 ft (assist by D. Wade),2,65-76,,
5:14.0,,,65-76,,P. Tucker misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by J. Grant,,65-76,,
5:01.0,J. Butler misses 2-pt shot from 17 ft,,65-76,,
5:01.0,Offensive rebound by R. Lopez,,65-76,,
4:51.0,R. Lopez misses 2-pt shot from 17 ft,,65-76,,
4:51.0,,,65-76,,Defensive rebound by A. Williams
4:40.0,,,65-79,3,P. Tucker makes 3-pt shot from 25 ft (assist by D. Booker)
4:25.0,J. Grant makes 3-pt shot from 25 ft (assist by J. Butler),3,68-79,,
4:14.0,,,68-79,,Turnover by E. Bledsoe (lost ball; steal by J. Butler)
4:06.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler),2,70-79,,
3:49.0,,,70-79,,A. Williams misses 2-pt shot from 5 ft
3:49.0,,,70-79,,Offensive rebound by A. Williams
3:47.0,,,70-81,2,A. Williams makes 2-pt shot from 5 ft
3:25.0,R. Lopez makes 2-pt shot from 8 ft,2,72-81,,
3:07.0,,,72-83,2,E. Bledsoe makes 2-pt shot from 14 ft
2:54.0,D. Wade misses 2-pt shot from 12 ft,,72-83,,
2:52.0,Offensive rebound by T. Gibson,,72-83,,
2:49.0,T. Gibson misses 2-pt shot from 4 ft,,72-83,,
2:48.0,,,72-83,,Defensive rebound by Team
2:47.0,Loose ball foul by R. Lopez,,72-83,,
2:47.0,R. Rondo enters the game for J. Butler,,72-83,,
2:47.0,N. Mirotic enters the game for T. Gibson,,72-83,,
2:47.0,C. Felicio enters the game for R. Lopez,,72-83,,
2:47.0,D. McDermott enters the game for D. Wade,,72-83,,
2:47.0,D. Valentine enters the game for J. Grant,,72-83,,
2:36.0,,,72-83,,T. Warren misses 2-pt shot from 21 ft
2:36.0,,,72-83,,Offensive rebound by D. Booker
2:31.0,,,72-83,,D. Booker misses 3-pt shot from 26 ft
2:30.0,,,72-83,,Offensive rebound by Team
2:14.0,,,72-83,,A. Williams misses 2-pt shot from 4 ft
2:13.0,Defensive rebound by N. Mirotic,,72-83,,
2:05.0,D. McDermott misses 3-pt shot from 25 ft,,72-83,,
2:05.0,,,72-83,,Defensive rebound by A. Williams
1:51.0,,,72-83,,Shooting foul by D. Valentine (drawn by D. Booker)
1:51.0,,,72-84,1,D. Booker makes free throw 1 of 2
1:51.0,,,72-84,,D. Booker misses free throw 2 of 2
1:50.0,Defensive rebound by N. Mirotic,,72-84,,
1:38.0,C. Felicio misses 2-pt shot from 2 ft,,72-84,,
1:36.0,,,72-84,,Defensive rebound by A. Williams
1:31.0,,,72-84,,E. Bledsoe misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by C. Felicio,,72-84,,
1:27.0,,,72-84,,Violation by T. Warren (kicked ball)
1:20.0,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic),2,74-84,,
0:59.0,,,74-86,2,D. Booker makes 2-pt shot from 16 ft
0:50.0,D. Valentine misses 3-pt shot from 26 ft,,74-86,,
0:49.0,Offensive rebound by R. Rondo,,74-86,,
0:39.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo),2,76-86,,
0:17.0,,,76-86,,E. Bledsoe misses 2-pt shot from 20 ft
0:17.0,,,76-86,,Offensive rebound by A. Williams
0:01.0,,,76-86,,D. Booker misses 2-pt shot from 11 ft
0:00.0,Defensive rebound by C. Felicio,,76-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,76-86,,Turnover by B. Knight (bad pass; steal by D. Valentine)
11:35.0,Shooting foul by T. Warren (drawn by D. McDermott),,76-86,,
11:35.0,D. McDermott makes free throw 1 of 2,1,77-86,,
11:35.0,D. McDermott makes free throw 2 of 2,1,78-86,,
11:15.0,,,78-89,3,J. Dudley makes 3-pt shot from 24 ft (assist by B. Knight)
10:52.0,N. Mirotic misses 2-pt shot from 18 ft,,78-89,,
10:52.0,,,78-89,,Defensive rebound by M. Chriss
10:49.0,Personal foul by R. Rondo (drawn by M. Chriss),,78-89,,
10:41.0,,,78-89,,T. Warren misses 2-pt shot from 15 ft (block by N. Mirotic)
10:41.0,Defensive rebound by Team,,78-89,,
10:20.0,Turnover by D. Valentine (bad pass),,78-89,,
10:05.0,,,78-89,,T. Warren misses 2-pt shot from 20 ft
10:04.0,Defensive rebound by R. Rondo,,78-89,,
9:57.0,N. Mirotic misses 3-pt shot from 28 ft,,78-89,,
9:57.0,Offensive rebound by Team,,78-89,,
9:57.0,,,78-89,,Loose ball foul by J. Dudley (drawn by C. Felicio)
9:57.0,J. Butler enters the game for N. Mirotic,,78-89,,
9:45.0,D. McDermott makes 2-pt shot from 1 ft (assist by R. Rondo),2,80-89,,
9:40.0,,,80-89,,Phoenix full timeout
9:32.0,,,80-89,,L. Barbosa misses 2-pt shot from 7 ft
9:29.0,Jump ball: M. Chriss vs. C. Felicio (J. Dudley gains possession),,,,Jump ball: M. Chriss vs. C. Felicio (J. Dudley gains possession)
9:29.0,,,80-89,,Offensive rebound by Team
9:24.0,,,80-89,,J. Dudley misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by R. Rondo,,80-89,,
9:17.0,Turnover by D. Valentine (bad pass; steal by L. Barbosa),,80-89,,
9:11.0,,,80-92,3,J. Dudley makes 3-pt shot from 25 ft (assist by B. Knight)
8:53.0,,,80-92,,Shooting block foul by M. Chriss (drawn by D. Valentine)
8:53.0,D. Valentine misses free throw 1 of 2,,80-92,,
8:53.0,Offensive rebound by Team,,80-92,,
8:53.0,D. Valentine misses free throw 2 of 2,,80-92,,
8:53.0,,,80-92,,A. Williams enters the game for M. Chriss
8:52.0,,,80-92,,Defensive rebound by T. Warren
8:45.0,Personal foul by C. Felicio (drawn by A. Williams),,80-92,,
8:34.0,,,80-92,,T. Warren misses 2-pt shot from 6 ft
8:34.0,Defensive rebound by R. Rondo,,80-92,,
8:20.0,D. Valentine makes 2-pt shot from 16 ft,2,82-92,,
8:07.0,,,82-94,2,T. Warren makes 2-pt shot from 2 ft (assist by B. Knight)
7:56.0,D. Valentine makes 2-pt shot from 10 ft,2,84-94,,
7:36.0,,,84-94,,L. Barbosa misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by J. Butler,,84-94,,
7:36.0,,,84-94,,Personal foul by A. Williams (drawn by J. Butler)
7:36.0,,,84-94,,E. Bledsoe enters the game for L. Barbosa
7:18.0,Shooting foul by A. Williams (drawn by J. Butler),,84-94,,
7:18.0,J. Butler misses free throw 1 of 2,,84-94,,
7:18.0,Offensive rebound by Team,,84-94,,
7:18.0,J. Butler makes free throw 2 of 2,1,85-94,,
7:18.0,,,84-94,,D. Booker enters the game for J. Dudley
7:18.0,,,84-94,,P. Tucker enters the game for B. Knight
7:18.0,D. Wade enters the game for D. Valentine,,84-94,,
7:05.0,Personal foul by R. Rondo (drawn by E. Bledsoe),,85-94,,
6:57.0,,,85-94,,D. Booker misses 3-pt shot from 25 ft
6:56.0,,,85-94,,Offensive rebound by A. Williams
6:52.0,,,85-94,,T. Warren misses 2-pt shot from 4 ft (block by C. Felicio)
6:52.0,,,85-94,,Offensive rebound by Team
6:43.0,,,85-96,2,T. Warren makes 2-pt shot from 18 ft (assist by E. Bledsoe)
6:25.0,J. Butler misses 3-pt shot from 25 ft,,85-96,,
6:24.0,,,85-96,,Defensive rebound by A. Williams
6:12.0,,,85-98,2,E. Bledsoe makes 2-pt shot from 13 ft
6:12.0,Chicago full timeout,,85-98,,
6:12.0,T. Gibson enters the game for D. McDermott,,85-98,,
6:00.0,J. Butler makes 2-pt shot from 7 ft,2,87-98,,
5:37.0,,,87-100,2,E. Bledsoe makes 2-pt shot from 1 ft
5:16.0,D. Wade misses 3-pt shot from 25 ft,,87-100,,
5:16.0,,,87-100,,Defensive rebound by P. Tucker
4:57.0,,,87-100,,Shooting foul by T. Gibson (drawn by E. Bledsoe)
4:57.0,,,87-101,1,E. Bledsoe makes free throw 1 of 2
4:57.0,,,87-102,1,E. Bledsoe makes free throw 2 of 2
4:37.0,R. Rondo misses 2-pt shot from 20 ft,,87-102,,
4:35.0,,,87-102,,Defensive rebound by D. Booker
4:20.0,,,87-104,2,D. Booker makes 2-pt shot from 4 ft (assist by E. Bledsoe)
4:20.0,Chicago full timeout,,87-104,,
4:20.0,M. Carter-Williams enters the game for J. Butler,,87-104,,
4:20.0,B. Portis enters the game for T. Gibson,,87-104,,
4:20.0,D. Valentine enters the game for D. Wade,,87-104,,
4:20.0,I. Canaan enters the game for R. Rondo,,87-104,,
4:06.0,D. Valentine misses 3-pt shot from 25 ft,,87-104,,
4:05.0,,,87-104,,Defensive rebound by P. Tucker
3:50.0,,,87-106,2,A. Williams makes 2-pt shot from 4 ft (assist by D. Booker)
3:37.0,B. Portis misses 2-pt shot from 14 ft,,87-106,,
3:36.0,,,87-106,,Defensive rebound by Team
3:28.0,,,87-106,,Turnover by E. Bledsoe (bad pass; steal by B. Portis)
