time,LA Clippers,pts.away,score,pts.home,Cleveland
10:32.0,,,24-30,,Personal foul by R. Jefferson (drawn by J. Crawford)
10:26.0,M. Speights makes 2-pt shot from 20 ft (assist by R. Felton),2,26-30,,
9:57.0,,,26-30,,K. Felder misses 2-pt shot from 1 ft
9:56.0,,,26-30,,Offensive rebound by T. Thompson
9:55.0,,,26-30,,T. Thompson misses 2-pt shot from 1 ft
9:54.0,,,26-30,,Offensive rebound by T. Thompson
9:52.0,,,26-30,,Shooting foul by L. Mbah a Moute (drawn by L. James)
9:52.0,,,26-30,,L. James misses free throw 1 of 3
9:52.0,,,26-30,,Offensive rebound by Team
9:52.0,,,26-31,1,L. James makes free throw 2 of 3
9:52.0,,,26-32,1,L. James makes free throw 3 of 3
9:34.0,R. Felton makes 2-pt shot from 22 ft (assist by C. Paul),2,28-32,,
9:24.0,,,28-32,,Turnover by K. Felder (bad pass)
9:10.0,M. Speights misses 3-pt shot from 27 ft,,28-32,,
9:09.0,,,28-32,,Defensive rebound by T. Thompson
9:09.0,Personal foul by M. Speights (drawn by K. Felder),,28-32,,
8:56.0,,,28-32,,K. Felder misses 2-pt shot from 17 ft
8:55.0,Defensive rebound by M. Speights,,28-32,,
8:43.0,,,28-32,,Personal foul by K. Felder (drawn by C. Paul)
8:43.0,Official timeout,,28-32,,
8:40.0,,,28-32,,Personal foul by I. Shumpert (drawn by C. Paul)
8:29.0,J. Crawford makes 2-pt shot from 19 ft,2,30-32,,
8:08.0,,,30-34,2,L. James makes 2-pt shot from 4 ft
7:48.0,R. Felton makes 2-pt shot from 10 ft (assist by C. Paul),2,32-34,,
7:34.0,,,32-34,,L. James misses 2-pt shot from 6 ft
7:34.0,,,32-34,,Offensive rebound by Team
7:34.0,B. Griffin enters the game for M. Speights,,32-34,,
7:34.0,D. Jordan enters the game for R. Felton,,32-34,,
7:17.0,,,32-34,,Turnover by K. Felder (lost ball)
7:17.0,J. Redick enters the game for J. Crawford,,32-34,,
7:17.0,,,32-34,,J. Smith enters the game for K. Felder
6:59.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by B. Griffin),2,34-34,,
6:49.0,,,34-34,,I. Shumpert misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by C. Paul,,34-34,,
6:33.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,36-34,,
6:12.0,,,36-37,3,R. Jefferson makes 3-pt shot from 25 ft (assist by L. James)
6:03.0,C. Paul misses 2-pt shot from 10 ft,,36-37,,
6:03.0,,,36-37,,Defensive rebound by Team
6:03.0,,,36-37,,K. Irving enters the game for I. Shumpert
6:03.0,,,36-37,,K. Love enters the game for R. Jefferson
5:50.0,,,36-37,,K. Love misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by Team,,36-37,,
5:50.0,,,36-37,,Cleveland full timeout
5:33.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,36-37,,
5:33.0,Offensive rebound by D. Jordan,,36-37,,
5:31.0,D. Jordan misses 2-pt shot from 1 ft,,36-37,,
5:31.0,Offensive rebound by Team,,36-37,,
5:19.0,Turnover by L. Mbah a Moute (bad pass; steal by L. James),,36-37,,
5:13.0,,,36-39,2,L. James makes 2-pt shot at rim
4:54.0,B. Griffin misses 2-pt shot from 19 ft,,36-39,,
4:54.0,Offensive rebound by D. Jordan,,36-39,,
4:54.0,,,36-39,,Personal foul by K. Love (drawn by D. Jordan)
4:54.0,,,36-39,,C. Frye enters the game for K. Love
4:46.0,C. Paul makes 2-pt shot from 18 ft (assist by B. Griffin),2,38-39,,
4:30.0,,,38-39,,J. Smith misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by L. Mbah a Moute,,38-39,,
4:20.0,C. Paul misses 2-pt shot from 16 ft,,38-39,,
4:20.0,Offensive rebound by C. Paul,,38-39,,
4:01.0,C. Paul makes 3-pt shot from 30 ft (assist by B. Griffin),3,41-39,,
3:47.0,,,41-39,,Shooting foul by C. Paul (drawn by K. Irving)
3:47.0,,,41-40,1,K. Irving makes free throw 1 of 2
3:47.0,,,41-40,,K. Irving misses free throw 2 of 2
3:46.0,Defensive rebound by D. Jordan,,41-40,,
3:32.0,,,41-40,,Loose ball foul by J. Smith (drawn by B. Griffin)
3:32.0,B. Griffin misses free throw 1 of 2,,41-40,,
3:32.0,Offensive rebound by Team,,41-40,,
3:32.0,B. Griffin misses free throw 2 of 2,,41-40,,
3:32.0,Offensive rebound by Team,,41-40,,
3:32.0,,,41-40,,Loose ball foul by T. Thompson (drawn by D. Jordan)
3:32.0,D. Jordan misses free throw 1 of 2,,41-40,,
3:32.0,Offensive rebound by Team,,41-40,,
3:32.0,D. Jordan makes free throw 2 of 2,1,42-40,,
3:14.0,,,42-40,,K. Irving misses 3-pt shot from 26 ft
3:13.0,,,42-40,,Offensive rebound by T. Thompson
3:08.0,,,42-40,,Turnover by L. James (bad pass; steal by L. Mbah a Moute)
3:00.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,44-40,,
3:00.0,Shooting foul by L. James (drawn by D. Jordan),,44-40,,
3:00.0,D. Jordan misses free throw 1 of 1,,44-40,,
3:00.0,A. Rivers enters the game for C. Paul,,44-40,,
2:58.0,,,44-40,,Defensive rebound by C. Frye
2:46.0,,,44-40,,Shooting foul by A. Rivers (drawn by K. Irving)
2:46.0,LA Clippers full timeout,,44-40,,
2:46.0,,,44-41,1,K. Irving makes free throw 1 of 3
2:46.0,,,44-42,1,K. Irving makes free throw 2 of 3
2:46.0,,,44-43,1,K. Irving makes free throw 3 of 3
2:32.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers),3,47-43,,
2:07.0,,,47-43,,L. James misses 2-pt shot from 1 ft (block by D. Jordan)
2:06.0,,,47-43,,Offensive rebound by T. Thompson
2:00.0,,,47-45,2,T. Thompson makes 2-pt shot from 16 ft
1:44.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by B. Griffin),2,49-45,,
1:30.0,,,49-47,2,K. Irving makes 2-pt shot from 1 ft
1:09.0,A. Rivers makes 2-pt shot from 5 ft,2,51-47,,
1:01.0,Personal foul by A. Rivers (drawn by C. Frye),,51-47,,
1:01.0,,,51-47,,C. Frye misses free throw 1 of 2
1:01.0,,,51-47,,Offensive rebound by Team
1:01.0,,,51-48,1,C. Frye makes free throw 2 of 2
0:51.0,J. Redick makes 3-pt shot from 30 ft (assist by A. Rivers),3,54-48,,
0:44.0,,,54-50,2,L. James makes 2-pt shot from 1 ft
0:40.0,,,54-50,,Personal foul by J. Smith (drawn by J. Redick)
0:40.0,J. Redick misses free throw 1 of 2,,54-50,,
0:40.0,Offensive rebound by Team,,54-50,,
0:40.0,J. Redick makes free throw 2 of 2,1,55-50,,
0:40.0,,,54-50,,I. Shumpert enters the game for J. Smith
0:32.0,,,55-50,,K. Irving misses 3-pt shot from 27 ft
0:31.0,Defensive rebound by D. Jordan,,55-50,,
0:26.0,LA Clippers full timeout,,55-50,,
0:26.0,,,55-50,,R. Jefferson enters the game for T. Thompson
0:26.0,,,55-50,,C. Andersen enters the game for C. Frye
0:10.0,B. Griffin misses 3-pt shot from 24 ft,,55-50,,
0:08.0,Offensive rebound by D. Jordan,,55-50,,
0:07.0,D. Jordan misses 2-pt shot from 4 ft,,55-50,,
0:06.0,Offensive rebound by A. Rivers,,55-50,,
0:02.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers),3,58-50,,
0:02.0,,,58-50,,Turnover by L. James (bad pass)
0:02.0,J. Crawford enters the game for L. Mbah a Moute,,58-50,,
0:02.0,C. Paul enters the game for A. Rivers,,58-50,,
0:00.0,J. Crawford misses 2-pt shot from 17 ft,,58-50,,
0:00.0,Offensive rebound by Team,,58-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,58-50,,Turnover by L. James (bad pass; steal by L. Mbah a Moute)
11:31.0,L. Mbah a Moute makes 2-pt shot at rim (assist by B. Griffin),2,60-50,,
11:19.0,,,60-50,,Turnover by K. Irving (bad pass; steal by C. Paul)
11:14.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,62-50,,
11:14.0,,,62-50,,Cleveland full timeout
11:05.0,,,62-50,,Offensive foul by J. Smith
11:05.0,,,62-50,,Turnover by J. Smith (offensive foul)
10:47.0,Turnover by B. Griffin (bad pass; steal by L. James),,62-50,,
10:43.0,,,62-50,,K. Irving misses 2-pt shot from 2 ft
10:41.0,Defensive rebound by C. Paul,,62-50,,
10:36.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,64-50,,
10:18.0,,,64-50,,L. James misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by J. Redick,,64-50,,
10:13.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,66-50,,
9:47.0,,,66-50,,L. James misses 2-pt shot from 15 ft
9:45.0,Defensive rebound by J. Redick,,66-50,,
9:39.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,66-50,,
9:36.0,,,66-50,,Defensive rebound by T. Thompson
9:29.0,,,66-50,,J. Smith misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by C. Paul,,66-50,,
9:21.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by J. Smith),,66-50,,
9:20.0,Offensive rebound by C. Paul,,66-50,,
9:11.0,C. Paul misses 3-pt shot from 26 ft,,66-50,,
9:11.0,,,66-50,,Defensive rebound by L. James
9:05.0,,,66-50,,K. Love misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by B. Griffin,,66-50,,
8:40.0,D. Jordan misses 2-pt shot from 2 ft,,66-50,,
8:38.0,Offensive rebound by D. Jordan,,66-50,,
8:38.0,D. Jordan misses 2-pt shot from 1 ft,,66-50,,
8:37.0,,,66-50,,Defensive rebound by T. Thompson
8:19.0,,,66-52,2,K. Love makes 2-pt shot from 4 ft
8:06.0,J. Redick makes 2-pt shot from 14 ft (assist by L. Mbah a Moute),2,68-52,,
7:36.0,,,68-52,,Turnover by K. Love (lost ball; steal by B. Griffin)
7:28.0,J. Redick misses 3-pt shot from 25 ft,,68-52,,
7:27.0,Offensive rebound by B. Griffin,,68-52,,
7:24.0,C. Paul makes 3-pt shot from 26 ft (assist by B. Griffin),3,71-52,,
7:24.0,,,71-52,,Cleveland full timeout
7:11.0,,,71-54,2,K. Irving makes 2-pt shot from 16 ft
7:01.0,Turnover by J. Redick (lost ball),,71-54,,
6:43.0,,,71-56,2,K. Love makes 2-pt shot from 9 ft
6:14.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,71-56,,
6:14.0,Offensive rebound by D. Jordan,,71-56,,
5:53.0,C. Paul makes 3-pt shot from 23 ft (assist by B. Griffin),3,74-56,,
5:46.0,,,74-56,,Turnover by K. Irving (lost ball)
5:34.0,B. Griffin misses 2-pt shot from 19 ft,,74-56,,
5:34.0,,,74-56,,Defensive rebound by K. Love
5:19.0,,,74-56,,Turnover by K. Love (lost ball; steal by L. Mbah a Moute)
5:14.0,,,74-56,,Personal block foul by J. Smith (drawn by J. Redick)
5:14.0,LA Clippers full timeout,,74-56,,
5:14.0,,,74-56,,I. Shumpert enters the game for J. Smith
5:08.0,Turnover by J. Redick (bad pass),,74-56,,
4:54.0,,,74-56,,Shooting foul by L. Mbah a Moute (drawn by T. Thompson)
4:54.0,,,74-57,1,T. Thompson makes free throw 1 of 2
4:54.0,,,74-57,,T. Thompson misses free throw 2 of 2
4:53.0,Defensive rebound by D. Jordan,,74-57,,
4:33.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,76-57,,
4:18.0,,,76-59,2,L. James makes 2-pt shot from 12 ft
4:04.0,J. Redick misses 2-pt shot from 9 ft,,76-59,,
4:02.0,,,76-59,,Defensive rebound by K. Love
3:59.0,Personal foul by L. Mbah a Moute (drawn by T. Thompson),,76-59,,
3:48.0,,,76-59,,K. Love misses 2-pt shot from 14 ft
3:47.0,Defensive rebound by L. Mbah a Moute,,76-59,,
3:29.0,B. Griffin misses 2-pt shot from 19 ft,,76-59,,
3:29.0,Offensive rebound by D. Jordan,,76-59,,
3:26.0,Shooting foul by L. James (drawn by C. Paul),,76-59,,
3:26.0,C. Paul makes free throw 1 of 2,1,77-59,,
3:26.0,C. Paul makes free throw 2 of 2,1,78-59,,
3:26.0,A. Anderson enters the game for L. Mbah a Moute,,77-59,,
3:13.0,Personal foul by A. Anderson (drawn by K. Love),,78-59,,
3:13.0,J. Crawford enters the game for J. Redick,,78-59,,
3:07.0,,,78-59,,I. Shumpert misses 3-pt shot from 23 ft
3:07.0,Defensive rebound by Team,,78-59,,
3:06.0,,,78-59,,Loose ball foul by T. Thompson (drawn by D. Jordan)
2:53.0,C. Paul makes 2-pt shot from 16 ft,2,80-59,,
2:42.0,,,80-59,,K. Irving misses 2-pt shot from 14 ft
2:41.0,Defensive rebound by A. Anderson,,80-59,,
2:18.0,C. Paul misses 3-pt shot from 24 ft,,80-59,,
2:18.0,,,80-59,,Defensive rebound by I. Shumpert
2:09.0,Personal foul by J. Crawford (drawn by K. Irving),,80-59,,
2:09.0,,,80-59,,C. Frye enters the game for T. Thompson
1:59.0,,,80-62,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
1:39.0,A. Anderson misses 2-pt shot from 18 ft,,80-62,,
1:38.0,Offensive rebound by D. Jordan,,80-62,,
1:34.0,J. Crawford misses 3-pt shot from 25 ft,,80-62,,
1:33.0,,,80-62,,Defensive rebound by K. Love
1:28.0,,,80-62,,Shooting foul by A. Anderson (drawn by L. James)
1:28.0,,,80-62,,Technical foul by L. James
1:28.0,C. Paul makes technical free throw,1,81-62,,
1:28.0,,,81-63,1,L. James makes free throw 1 of 2
1:28.0,,,81-63,,L. James misses free throw 2 of 2
1:28.0,P. Pierce enters the game for D. Jordan,,81-63,,
1:28.0,A. Rivers enters the game for C. Paul,,81-63,,
1:28.0,,,81-63,,R. Jefferson enters the game for K. Irving
1:27.0,Defensive rebound by P. Pierce,,81-63,,
1:18.0,A. Rivers makes 3-pt shot from 27 ft,3,84-63,,
1:02.0,Personal foul by A. Anderson (drawn by C. Frye),,84-63,,
1:02.0,,,84-64,1,C. Frye makes free throw 1 of 2
1:02.0,,,84-65,1,C. Frye makes free throw 2 of 2
0:48.0,B. Griffin misses 2-pt shot from 15 ft,,84-65,,
0:47.0,,,84-65,,Defensive rebound by L. James
0:42.0,Personal foul by A. Rivers (drawn by L. James),,84-65,,
0:42.0,,,84-65,,L. James misses free throw 1 of 2
0:42.0,,,84-65,,Offensive rebound by Team
0:42.0,,,84-65,,L. James misses free throw 2 of 2
0:41.0,Defensive rebound by P. Pierce,,84-65,,
0:28.0,Shooting foul by C. Frye (drawn by B. Griffin),,84-65,,
0:28.0,B. Griffin makes free throw 1 of 2,1,85-65,,
0:28.0,B. Griffin misses free throw 2 of 2,,85-65,,
0:28.0,R. Felton enters the game for J. Crawford,,85-65,,
0:27.0,,,85-65,,Defensive rebound by K. Love
0:04.0,,,85-65,,L. James misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by B. Griffin,,85-65,,
0:00.0,A. Anderson misses 3-pt shot from 26 ft,,85-65,,
0:00.0,Offensive rebound by Team,,85-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Speights makes 2-pt shot from 1 ft (assist by A. Rivers),2,87-65,,
11:24.0,,,87-65,,K. Irving misses 2-pt shot from 12 ft (block by R. Felton)
11:22.0,Defensive rebound by R. Felton,,87-65,,
11:15.0,A. Rivers misses 2-pt shot from 2 ft (block by I. Shumpert),,87-65,,
11:13.0,,,87-65,,Defensive rebound by C. Frye
11:12.0,,,87-65,,Turnover by K. Irving (lost ball)
10:56.0,R. Felton misses 2-pt shot from 22 ft,,87-65,,
10:56.0,,,87-65,,Defensive rebound by T. Thompson
10:45.0,,,87-65,,I. Shumpert misses 3-pt shot from 26 ft
10:45.0,,,87-65,,Offensive rebound by Team
10:45.0,Loose ball foul by P. Pierce (drawn by T. Thompson),,87-65,,
10:39.0,,,87-65,,T. Thompson misses 2-pt shot from 3 ft (block by M. Speights)
10:39.0,,,87-65,,Offensive rebound by Team
10:33.0,Personal foul by A. Rivers (drawn by I. Shumpert),,87-65,,
10:23.0,,,87-67,2,K. Irving makes 2-pt shot from 15 ft
10:03.0,A. Rivers makes 3-pt shot from 27 ft,3,90-67,,
9:53.0,Personal foul by R. Felton (drawn by K. Irving),,90-67,,
9:47.0,,,90-67,,K. Irving misses 3-pt shot from 23 ft
9:46.0,Defensive rebound by A. Rivers,,90-67,,
9:33.0,R. Felton misses 2-pt shot from 12 ft,,90-67,,
9:32.0,,,90-67,,Defensive rebound by R. Jefferson
9:26.0,,,90-69,2,K. Irving makes 2-pt shot from 1 ft
9:26.0,,,90-69,,Shooting foul by P. Pierce (drawn by K. Irving)
9:26.0,,,90-70,1,K. Irving makes free throw 1 of 1
9:13.0,A. Rivers misses 3-pt shot from 25 ft,,90-70,,
9:12.0,,,90-70,,Defensive rebound by C. Frye
9:02.0,,,90-70,,C. Frye misses 2-pt shot from 7 ft
9:00.0,Defensive rebound by P. Pierce,,90-70,,
8:49.0,Offensive foul by P. Pierce,,90-70,,
8:49.0,Turnover by P. Pierce (offensive foul),,90-70,,
8:49.0,,,90-70,,Flagrant foul type 1 by K. Irving (drawn by P. Pierce)
8:49.0,,,90-70,,Turnover by K. Irving (offensive foul)
8:49.0,Official timeout,,90-70,,
8:49.0,P. Pierce makes flagrant free throw 1 of 2,1,91-70,,
8:49.0,P. Pierce makes flagrant free throw 2 of 2,1,92-70,,
8:46.0,Offensive foul by A. Rivers,,92-70,,
8:46.0,Turnover by A. Rivers (offensive foul),,92-70,,
8:33.0,,,92-70,,Shooting foul by C. Paul (drawn by C. Frye)
8:33.0,,,92-71,1,C. Frye makes free throw 1 of 2
8:33.0,,,92-72,1,C. Frye makes free throw 2 of 2
8:33.0,C. Paul enters the game for A. Rivers,,92-70,,
8:13.0,M. Speights makes 2-pt shot from 15 ft (assist by P. Pierce),2,94-72,,
7:53.0,,,94-72,,Shooting foul by P. Pierce (drawn by K. Irving)
7:53.0,,,94-73,1,K. Irving makes free throw 1 of 2
7:53.0,,,94-74,1,K. Irving makes free throw 2 of 2
7:41.0,P. Pierce makes 2-pt shot from 16 ft (assist by C. Paul),2,96-74,,
7:23.0,,,96-74,,R. Jefferson misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by C. Paul,,96-74,,
7:15.0,C. Paul misses 3-pt shot from 26 ft,,96-74,,
7:14.0,,,96-74,,Defensive rebound by R. Jefferson
7:10.0,Personal foul by R. Felton (drawn by K. Irving),,96-74,,
7:10.0,,,96-75,1,K. Irving makes free throw 1 of 2
7:10.0,,,96-76,1,K. Irving makes free throw 2 of 2
7:10.0,,,96-75,,C. Andersen enters the game for T. Thompson
7:10.0,,,96-75,,J. Jones enters the game for C. Frye
6:47.0,R. Felton makes 3-pt shot from 24 ft (assist by J. Crawford),3,99-76,,
6:40.0,,,99-76,,Cleveland full timeout
6:40.0,,,99-76,,K. Felder enters the game for K. Irving
6:40.0,A. Rivers enters the game for C. Paul,,99-76,,
6:30.0,Personal foul by J. Crawford (drawn by I. Shumpert),,99-76,,
