time,Charlotte,pts.away,score,pts.home,LA Clippers
8:11.0,Charlotte full timeout,,5-13,,
7:58.0,N. Batum misses 3-pt shot from 25 ft,,5-13,,
7:58.0,,,5-13,,Defensive rebound by C. Paul
7:53.0,,,5-15,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
7:32.0,K. Walker makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,8-15,,
7:17.0,,,8-17,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
6:57.0,F. Kaminsky misses 2-pt shot from 13 ft,,8-17,,
6:55.0,,,8-17,,Defensive rebound by D. Jordan
6:45.0,,,8-17,,L. Mbah a Moute misses 2-pt shot from 17 ft
6:44.0,Defensive rebound by M. Kidd-Gilchrist,,8-17,,
6:37.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Redick),,8-17,,
6:32.0,,,8-19,2,B. Griffin makes 2-pt shot from 2 ft
6:11.0,M. Williams misses 3-pt shot from 24 ft,,8-19,,
6:11.0,,,8-19,,Defensive rebound by D. Jordan
6:05.0,Personal foul by M. Kidd-Gilchrist (drawn by D. Jordan),,8-19,,
6:05.0,C. Wood enters the game for F. Kaminsky,,8-19,,
6:05.0,J. Lamb enters the game for M. Williams,,8-19,,
5:57.0,,,8-19,,Turnover by D. Jordan (lost ball)
5:46.0,K. Walker makes 3-pt shot from 24 ft,3,11-19,,
5:46.0,Shooting foul by C. Paul (drawn by K. Walker),,11-19,,
5:46.0,K. Walker misses free throw 1 of 1,,11-19,,
5:45.0,,,11-19,,Defensive rebound by B. Griffin
5:29.0,,,11-19,,Turnover by J. Redick (step out of bounds)
5:16.0,N. Batum misses 2-pt shot from 17 ft,,11-19,,
5:16.0,Offensive rebound by Team,,11-19,,
5:02.0,N. Batum makes 2-pt shot from 9 ft,2,13-19,,
4:49.0,,,13-22,3,B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul)
4:43.0,Charlotte full timeout,,13-22,,
4:36.0,K. Walker makes 3-pt shot from 25 ft,3,16-22,,
4:08.0,,,16-22,,C. Paul misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by M. Kidd-Gilchrist,,16-22,,
3:55.0,C. Wood misses 3-pt shot from 25 ft,,16-22,,
3:55.0,,,16-22,,Defensive rebound by C. Paul
3:45.0,,,16-22,,J. Redick misses 2-pt shot from 20 ft
3:43.0,Defensive rebound by M. Kidd-Gilchrist,,16-22,,
3:27.0,N. Batum misses 2-pt shot from 16 ft (block by L. Mbah a Moute),,16-22,,
3:25.0,,,16-22,,Defensive rebound by C. Paul
3:17.0,,,16-25,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by C. Paul)
2:55.0,J. Lamb makes 2-pt shot from 6 ft,2,18-25,,
2:36.0,,,18-27,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
2:25.0,Turnover by K. Walker (lost ball; steal by L. Mbah a Moute),,18-27,,
2:19.0,,,18-27,,L. Mbah a Moute misses 2-pt shot from 2 ft
2:18.0,Defensive rebound by Team,,18-27,,
2:18.0,,,18-27,,Loose ball foul by J. Redick (drawn by M. Kidd-Gilchrist)
2:18.0,,,18-27,,Technical foul by J. Redick (drawn by M. Kidd-Gilchrist)
2:18.0,,,18-27,,LA Clippers full timeout
2:18.0,J. Lamb makes technical free throw,1,19-27,,
2:18.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,18-27,,
2:18.0,M. Williams enters the game for N. Batum,,18-27,,
2:18.0,B. Roberts enters the game for K. Walker,,18-27,,
2:18.0,F. Kaminsky enters the game for C. Wood,,18-27,,
2:18.0,,,18-27,,A. Rivers enters the game for L. Mbah a Moute
2:18.0,,,18-27,,J. Crawford enters the game for J. Redick
2:07.0,Turnover by J. Lamb (bad pass; steal by J. Crawford),,19-27,,
1:53.0,,,19-27,,Turnover by J. Crawford (bad pass)
1:53.0,,,19-27,,R. Felton enters the game for C. Paul
1:38.0,M. Belinelli makes 3-pt shot from 24 ft (assist by J. Lamb),3,22-27,,
1:16.0,,,22-27,,B. Griffin misses 2-pt shot from 5 ft
1:14.0,,,22-27,,Offensive rebound by D. Jordan
1:12.0,,,22-27,,D. Jordan misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by F. Kaminsky,,22-27,,
1:05.0,B. Roberts misses 3-pt shot from 25 ft,,22-27,,
1:05.0,,,22-27,,Defensive rebound by D. Jordan
1:05.0,Personal foul by M. Belinelli (drawn by B. Griffin),,22-27,,
1:05.0,,,22-27,,M. Speights enters the game for D. Jordan
1:05.0,,,22-27,,W. Johnson enters the game for B. Griffin
0:57.0,,,22-27,,W. Johnson misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by B. Roberts,,22-27,,
0:44.0,F. Kaminsky misses 2-pt shot from 8 ft,,22-27,,
0:43.0,,,22-27,,Defensive rebound by J. Crawford
0:33.0,,,22-30,3,M. Speights makes 3-pt shot from 24 ft (assist by A. Rivers)
0:13.0,J. Lamb makes 2-pt shot from 12 ft,2,24-30,,
0:02.0,,,24-32,2,J. Crawford makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Shooting foul by J. Crawford (drawn by J. Lamb),,24-32,,
11:44.0,J. Lamb makes free throw 1 of 2,1,25-32,,
11:44.0,J. Lamb makes free throw 2 of 2,1,26-32,,
11:33.0,,,26-32,,Turnover by J. Crawford (bad pass)
11:20.0,F. Kaminsky misses 2-pt shot from 14 ft,,26-32,,
11:19.0,,,26-32,,Defensive rebound by W. Johnson
11:11.0,,,26-32,,M. Speights misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by M. Williams,,26-32,,
10:58.0,J. Lamb makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,29-32,,
10:38.0,,,29-32,,A. Rivers misses 2-pt shot from 7 ft
10:38.0,,,29-32,,Offensive rebound by A. Rivers
10:38.0,Loose ball foul by M. Williams (drawn by A. Rivers),,29-32,,
10:24.0,,,29-32,,R. Felton misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by M. Belinelli,,29-32,,
10:18.0,Shooting foul by M. Speights (drawn by F. Kaminsky),,29-32,,
10:18.0,F. Kaminsky makes free throw 1 of 2,1,30-32,,
10:18.0,F. Kaminsky makes free throw 2 of 2,1,31-32,,
10:10.0,Personal foul by F. Kaminsky (drawn by A. Rivers),,31-32,,
10:10.0,C. Wood enters the game for F. Kaminsky,,31-32,,
10:00.0,,,31-32,,A. Rivers misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by C. Wood,,31-32,,
9:36.0,B. Roberts makes 2-pt shot from 2 ft,2,33-32,,
9:15.0,,,33-32,,J. Crawford misses 3-pt shot from 27 ft
9:14.0,,,33-32,,Offensive rebound by R. Felton
9:07.0,,,33-32,,A. Rivers misses 3-pt shot from 26 ft
9:07.0,Defensive rebound by C. Wood,,33-32,,
9:00.0,J. Lamb misses 2-pt shot from 18 ft,,33-32,,
8:59.0,,,33-32,,Defensive rebound by W. Johnson
8:50.0,,,33-32,,M. Speights misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by M. Williams,,33-32,,
8:29.0,B. Roberts misses 3-pt shot from 24 ft,,33-32,,
8:27.0,Offensive rebound by C. Wood,,33-32,,
8:24.0,C. Wood makes 2-pt shot from 1 ft,2,35-32,,
8:15.0,,,35-32,,Offensive foul by M. Speights
8:15.0,,,35-32,,Turnover by M. Speights (offensive foul)
8:15.0,Official timeout,,35-32,,
8:15.0,K. Walker enters the game for J. Lamb,,35-32,,
8:15.0,N. Batum enters the game for B. Roberts,,35-32,,
8:01.0,,,35-32,,Personal foul by A. Rivers (drawn by C. Wood)
8:01.0,,,35-32,,B. Griffin enters the game for W. Johnson
7:56.0,M. Belinelli makes 2-pt shot from 2 ft (assist by N. Batum),2,37-32,,
7:37.0,,,37-32,,B. Griffin misses 2-pt shot from 2 ft
7:37.0,,,37-32,,Offensive rebound by Team
7:37.0,,,37-32,,C. Paul enters the game for R. Felton
7:37.0,,,37-32,,D. Jordan enters the game for M. Speights
7:34.0,Personal foul by C. Wood (drawn by B. Griffin),,37-32,,
7:34.0,,,37-33,1,B. Griffin makes free throw 1 of 2
7:34.0,,,37-33,,B. Griffin misses free throw 2 of 2
7:33.0,Defensive rebound by M. Williams,,37-33,,
7:07.0,M. Belinelli misses 3-pt shot from 26 ft,,37-33,,
7:07.0,,,37-33,,Defensive rebound by D. Jordan
7:02.0,Personal foul by M. Belinelli (drawn by B. Griffin),,37-33,,
7:02.0,M. Kidd-Gilchrist enters the game for M. Williams,,37-33,,
7:02.0,,,37-33,,J. Redick enters the game for J. Crawford
7:02.0,,,37-33,,L. Mbah a Moute enters the game for A. Rivers
6:47.0,,,37-35,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by B. Griffin)
6:30.0,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by N. Batum),2,39-35,,
6:07.0,,,39-37,2,J. Redick makes 2-pt shot from 15 ft (assist by B. Griffin)
5:57.0,,,39-37,,Personal foul by L. Mbah a Moute (drawn by C. Wood)
5:57.0,,,39-37,,LA Clippers full timeout
5:57.0,F. Kaminsky enters the game for C. Wood,,39-37,,
5:48.0,F. Kaminsky misses 3-pt shot from 23 ft,,39-37,,
5:48.0,,,39-37,,Defensive rebound by D. Jordan
5:40.0,,,39-39,2,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by C. Paul)
5:13.0,K. Walker misses 2-pt shot from 2 ft,,39-39,,
5:12.0,,,39-39,,Defensive rebound by B. Griffin
5:03.0,,,39-41,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
5:03.0,,,39-41,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Griffin)
5:03.0,,,39-42,1,B. Griffin makes free throw 1 of 1
4:45.0,,,39-42,,Personal foul by L. Mbah a Moute (drawn by F. Kaminsky)
4:45.0,F. Kaminsky makes free throw 1 of 2,1,40-42,,
4:45.0,F. Kaminsky makes free throw 2 of 2,1,41-42,,
4:36.0,,,41-45,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
4:09.0,F. Kaminsky makes 2-pt shot from 9 ft,2,43-45,,
4:01.0,,,43-47,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
3:54.0,Charlotte full timeout,,43-47,,
3:54.0,M. Williams enters the game for M. Kidd-Gilchrist,,43-47,,
3:54.0,J. Lamb enters the game for M. Belinelli,,43-47,,
3:43.0,F. Kaminsky makes 2-pt shot from 11 ft,2,45-47,,
3:43.0,Shooting foul by L. Mbah a Moute (drawn by F. Kaminsky),,45-47,,
3:43.0,F. Kaminsky makes free throw 1 of 1,1,46-47,,
3:43.0,,,45-47,,A. Rivers enters the game for L. Mbah a Moute
3:24.0,,,46-47,,J. Redick misses 3-pt shot from 23 ft
3:24.0,,,46-47,,Offensive rebound by B. Griffin
3:14.0,,,46-49,2,B. Griffin makes 2-pt shot from 10 ft
3:00.0,,,46-49,,Personal foul by A. Rivers (drawn by N. Batum)
3:00.0,N. Batum makes free throw 1 of 2,1,47-49,,
3:00.0,N. Batum makes free throw 2 of 2,1,48-49,,
3:00.0,C. Wood enters the game for F. Kaminsky,,47-49,,
2:47.0,,,48-49,,B. Griffin misses 2-pt shot from 20 ft
2:45.0,Defensive rebound by N. Batum,,48-49,,
2:29.0,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum),2,50-49,,
2:18.0,Personal block foul by K. Walker (drawn by C. Paul),,50-49,,
2:18.0,,,50-50,1,C. Paul makes free throw 1 of 2
2:18.0,,,50-51,1,C. Paul makes free throw 2 of 2
2:09.0,,,50-51,,Def 3 sec tech foul by D. Jordan
2:09.0,N. Batum makes technical free throw,1,51-51,,
2:00.0,Offensive foul by N. Batum,,51-51,,
2:00.0,Turnover by N. Batum (offensive foul),,51-51,,
1:40.0,,,51-54,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
1:19.0,M. Williams misses 2-pt shot from 6 ft,,51-54,,
1:17.0,,,51-54,,Defensive rebound by B. Griffin
0:59.0,,,51-54,,C. Paul misses 2-pt shot from 15 ft
0:58.0,Defensive rebound by M. Williams,,51-54,,
0:53.0,Offensive foul by C. Wood,,51-54,,
0:53.0,Turnover by C. Wood (offensive foul),,51-54,,
0:41.0,,,51-57,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
0:23.0,K. Walker misses 3-pt shot from 25 ft,,51-57,,
0:23.0,,,51-57,,Defensive rebound by Team
0:02.0,,,51-57,,A. Rivers misses 3-pt shot from 25 ft
0:00.0,,,51-57,,Offensive rebound by D. Jordan
0:00.0,,,51-59,2,D. Jordan makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,N. Batum misses 2-pt shot from 20 ft,,51-59,,
11:39.0,,,51-59,,Defensive rebound by B. Griffin
11:33.0,Violation by K. Walker (kicked ball),,51-59,,
11:14.0,,,51-62,3,B. Griffin makes 3-pt shot from 25 ft (assist by C. Paul)
10:59.0,F. Kaminsky misses 3-pt shot from 26 ft,,51-62,,
10:57.0,,,51-62,,Defensive rebound by D. Jordan
10:47.0,,,51-64,2,C. Paul makes 2-pt shot from 11 ft
10:24.0,F. Kaminsky misses 3-pt shot from 25 ft,,51-64,,
10:23.0,Offensive rebound by M. Kidd-Gilchrist,,51-64,,
10:18.0,N. Batum misses 3-pt shot from 25 ft,,51-64,,
10:17.0,,,51-64,,Defensive rebound by D. Jordan
10:13.0,,,51-66,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
10:13.0,Charlotte full timeout,,51-66,,
10:01.0,Turnover by F. Kaminsky (lost ball; steal by C. Paul),,51-66,,
9:57.0,,,51-68,2,D. Jordan makes 2-pt shot from 1 ft
9:32.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,51-68,,
9:31.0,,,51-68,,Defensive rebound by D. Jordan
9:25.0,Personal foul by F. Kaminsky (drawn by D. Jordan),,51-68,,
9:14.0,,,51-68,,B. Griffin misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by N. Batum,,51-68,,
9:02.0,K. Walker makes 2-pt shot from 18 ft,2,53-68,,
8:33.0,,,53-68,,C. Paul misses 3-pt shot from 25 ft
8:33.0,,,53-68,,Offensive rebound by D. Jordan
8:33.0,,,53-68,,Turnover by D. Jordan (lost ball)
8:18.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,56-68,,
8:02.0,,,56-68,,J. Redick misses 2-pt shot from 22 ft
8:02.0,Defensive rebound by N. Batum,,56-68,,
7:44.0,N. Batum makes 3-pt shot from 23 ft (assist by F. Kaminsky),3,59-68,,
7:44.0,,,59-68,,LA Clippers full timeout
7:35.0,,,59-68,,J. Redick misses 2-pt shot from 22 ft
7:34.0,Defensive rebound by K. Walker,,59-68,,
7:21.0,F. Kaminsky makes 2-pt shot from 11 ft (assist by M. Kidd-Gilchrist),2,61-68,,
7:07.0,,,61-68,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by N. Batum)
7:05.0,Defensive rebound by F. Kaminsky,,61-68,,
6:51.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams),3,64-68,,
6:36.0,,,64-68,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Redick)
6:36.0,,,64-68,,J. Redick misses free throw 1 of 2
6:36.0,,,64-68,,Offensive rebound by Team
6:36.0,,,64-69,1,J. Redick makes free throw 2 of 2
6:23.0,F. Kaminsky makes 2-pt shot from 1 ft,2,66-69,,
6:08.0,,,66-69,,C. Paul misses 2-pt shot from 20 ft
6:08.0,,,66-69,,Offensive rebound by Team
6:08.0,J. Lamb enters the game for M. Kidd-Gilchrist,,66-69,,
6:08.0,Loose ball foul by M. Kidd-Gilchrist (drawn by D. Jordan),,66-69,,
5:59.0,,,66-69,,Turnover by D. Jordan (lost ball)
5:42.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,69-69,,
5:31.0,,,69-69,,C. Paul misses 2-pt shot from 13 ft
5:31.0,Defensive rebound by N. Batum,,69-69,,
5:31.0,,,69-69,,Loose ball foul by C. Paul (drawn by N. Batum)
5:09.0,M. Williams misses 2-pt shot from 7 ft,,69-69,,
5:07.0,Offensive rebound by J. Lamb,,69-69,,
5:03.0,F. Kaminsky misses 3-pt shot from 25 ft,,69-69,,
5:02.0,,,69-69,,Defensive rebound by C. Paul
4:53.0,,,69-71,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:31.0,J. Lamb misses 3-pt shot from 25 ft,,69-71,,
4:31.0,,,69-71,,Defensive rebound by C. Paul
4:14.0,,,69-73,2,B. Griffin makes 2-pt shot from 2 ft
3:58.0,M. Williams misses 3-pt shot from 25 ft,,69-73,,
3:57.0,,,69-73,,Defensive rebound by B. Griffin
3:47.0,,,69-73,,B. Griffin misses 2-pt shot from 19 ft
3:46.0,,,69-73,,Offensive rebound by B. Griffin
3:41.0,,,69-73,,J. Redick misses 3-pt shot from 24 ft
3:40.0,,,69-73,,Offensive rebound by B. Griffin
3:40.0,,,69-75,2,B. Griffin makes 2-pt shot at rim
3:26.0,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,72-75,,
3:06.0,,,72-75,,Shooting foul by F. Kaminsky (drawn by B. Griffin)
3:06.0,,,72-76,1,B. Griffin makes free throw 1 of 2
3:06.0,,,72-77,1,B. Griffin makes free throw 2 of 2
3:06.0,M. Belinelli enters the game for N. Batum,,72-76,,
3:06.0,C. Wood enters the game for F. Kaminsky,,72-76,,
3:06.0,,,72-76,,A. Rivers enters the game for L. Mbah a Moute
2:57.0,,,72-77,,Personal foul by A. Rivers (drawn by J. Lamb)
2:57.0,,,72-77,,J. Crawford enters the game for B. Griffin
2:57.0,T. Graham enters the game for M. Williams,,72-77,,
2:48.0,K. Walker makes 2-pt shot from 17 ft,2,74-77,,
2:29.0,,,74-77,,J. Redick misses 3-pt shot from 24 ft
2:28.0,,,74-77,,Offensive rebound by D. Jordan
2:22.0,,,74-77,,C. Paul misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by J. Lamb,,74-77,,
2:14.0,Turnover by J. Lamb (bad pass; steal by D. Jordan),,74-77,,
2:09.0,,,74-77,,Turnover by J. Redick (bad pass; steal by K. Walker)
2:05.0,Turnover by M. Belinelli (bad pass; steal by J. Crawford),,74-77,,
1:47.0,,,74-79,2,J. Redick makes 2-pt shot from 2 ft (assist by D. Jordan)
1:32.0,K. Walker makes 2-pt shot from 6 ft,2,76-79,,
1:32.0,Shooting foul by J. Crawford (drawn by K. Walker),,76-79,,
1:32.0,K. Walker makes free throw 1 of 1,1,77-79,,
1:32.0,,,76-79,,R. Felton enters the game for C. Paul
1:32.0,,,76-79,,A. Anderson enters the game for J. Redick
1:23.0,,,77-81,2,A. Rivers makes 2-pt shot from 2 ft
1:23.0,,,77-81,,Shooting foul by C. Wood (drawn by A. Rivers)
1:23.0,,,77-82,1,A. Rivers makes free throw 1 of 1
1:09.0,K. Walker makes 3-pt shot from 25 ft,3,80-82,,
0:48.0,,,80-84,2,A. Rivers makes 2-pt shot from 15 ft
0:33.0,Turnover by K. Walker (bad pass; steal by R. Felton),,80-84,,
0:15.0,,,80-84,,A. Rivers misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by J. Lamb,,80-84,,
0:04.0,K. Walker misses 3-pt shot from 27 ft,,80-84,,
0:00.0,Offensive rebound by Team,,80-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-84,,A. Anderson misses 3-pt shot from 23 ft
11:45.0,Defensive rebound by M. Belinelli,,80-84,,
11:35.0,M. Belinelli misses 3-pt shot from 25 ft,,80-84,,
11:34.0,,,80-84,,Defensive rebound by A. Anderson
11:27.0,,,80-84,,J. Crawford misses 2-pt shot from 20 ft
11:24.0,Defensive rebound by T. Graham,,80-84,,
11:14.0,Shooting foul by A. Rivers (drawn by J. Lamb),,80-84,,
11:14.0,J. Lamb makes free throw 1 of 2,1,81-84,,
11:14.0,J. Lamb makes free throw 2 of 2,1,82-84,,
11:14.0,N. Batum enters the game for M. Belinelli,,81-84,,
11:02.0,,,82-86,2,A. Anderson makes 2-pt shot from 2 ft (assist by R. Felton)
11:02.0,,,82-86,,Shooting foul by B. Roberts (drawn by A. Anderson)
11:02.0,,,82-87,1,A. Anderson makes free throw 1 of 1
10:38.0,N. Batum makes 3-pt shot from 25 ft,3,85-87,,
10:24.0,,,85-87,,Shooting foul by N. Batum (drawn by M. Speights)
10:24.0,,,85-88,1,M. Speights makes free throw 1 of 2
10:24.0,,,85-89,1,M. Speights makes free throw 2 of 2
10:07.0,N. Batum misses 3-pt shot from 25 ft,,85-89,,
10:07.0,,,85-89,,Defensive rebound by R. Felton
10:00.0,,,85-89,,J. Crawford misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by J. Lamb,,85-89,,
9:53.0,J. Lamb makes 2-pt shot from 17 ft,2,87-89,,
9:53.0,Shooting foul by M. Speights (drawn by J. Lamb),,87-89,,
9:53.0,J. Lamb makes free throw 1 of 1,1,88-89,,
9:32.0,,,88-89,,R. Felton misses 2-pt shot from 2 ft
9:30.0,Defensive rebound by F. Kaminsky,,88-89,,
9:20.0,Shooting foul by R. Felton (drawn by N. Batum),,88-89,,
9:20.0,N. Batum makes free throw 1 of 2,1,89-89,,
9:20.0,N. Batum makes free throw 2 of 2,1,90-89,,
9:20.0,,,89-89,,B. Griffin enters the game for M. Speights
8:57.0,,,90-89,,A. Rivers misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by F. Kaminsky,,90-89,,
8:44.0,J. Lamb misses 3-pt shot from 24 ft,,90-89,,
8:44.0,,,90-89,,Defensive rebound by Team
8:44.0,Official timeout,,90-89,,
8:44.0,,,90-89,,L. Mbah a Moute enters the game for A. Anderson
8:30.0,,,90-91,2,B. Griffin makes 2-pt shot from 6 ft
8:13.0,N. Batum makes 3-pt shot from 25 ft (assist by J. Lamb),3,93-91,,
7:58.0,,,93-91,,Shooting foul by J. Lamb (drawn by J. Crawford)
7:58.0,,,93-92,1,J. Crawford makes free throw 1 of 2
7:58.0,,,93-93,1,J. Crawford makes free throw 2 of 2
7:58.0,M. Williams enters the game for T. Graham,,93-92,,
7:58.0,K. Walker enters the game for B. Roberts,,93-92,,
7:39.0,Turnover by F. Kaminsky (lost ball; steal by B. Griffin),,93-93,,
7:27.0,,,93-93,,B. Griffin misses 2-pt shot from 3 ft
7:23.0,Defensive rebound by N. Batum,,93-93,,
7:19.0,K. Walker misses 3-pt shot from 24 ft,,93-93,,
7:19.0,,,93-93,,Defensive rebound by Team
7:19.0,Loose ball foul by F. Kaminsky (drawn by J. Crawford),,93-93,,
7:19.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,93-93,,
7:19.0,,,93-93,,D. Jordan enters the game for A. Rivers
7:19.0,,,93-93,,C. Paul enters the game for R. Felton
7:15.0,,,93-93,,Turnover by B. Griffin (offensive foul)
7:15.0,,,93-93,,Offensive foul by B. Griffin
6:58.0,N. Batum makes 3-pt shot from 25 ft,3,96-93,,
6:58.0,,,96-93,,LA Clippers full timeout
6:58.0,,,96-93,,J. Redick enters the game for J. Crawford
6:49.0,,,96-96,3,C. Paul makes 3-pt shot from 24 ft
6:29.0,K. Walker makes 2-pt shot from 2 ft,2,98-96,,
6:12.0,,,98-96,,C. Paul misses 2-pt shot from 15 ft
6:10.0,Defensive rebound by N. Batum,,98-96,,
6:00.0,N. Batum misses 3-pt shot from 24 ft,,98-96,,
6:00.0,,,98-96,,Defensive rebound by J. Redick
5:41.0,,,98-98,2,B. Griffin makes 2-pt shot from 3 ft
5:41.0,,,98-98,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Griffin)
5:41.0,,,98-99,1,B. Griffin makes free throw 1 of 1
5:41.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,98-98,,
5:27.0,,,98-99,,Personal foul by D. Jordan (drawn by N. Batum)
5:15.0,K. Walker misses 3-pt shot from 24 ft,,98-99,,
5:15.0,,,98-99,,Defensive rebound by Team
5:01.0,Personal block foul by M. Williams (drawn by C. Paul),,98-99,,
5:01.0,,,98-100,1,C. Paul makes free throw 1 of 2
5:01.0,,,98-101,1,C. Paul makes free throw 2 of 2
4:48.0,Turnover by N. Batum (lost ball; steal by L. Mbah a Moute),,98-101,,
4:46.0,,,98-101,,Shooting foul by M. Williams (drawn by B. Griffin)
4:46.0,,,98-101,,B. Griffin misses free throw 1 of 2
4:46.0,,,98-101,,Offensive rebound by Team
4:46.0,,,98-101,,B. Griffin misses free throw 2 of 2
4:45.0,Defensive rebound by Team,,98-101,,
4:45.0,,,98-101,,Loose ball foul by D. Jordan (drawn by M. Williams)
4:45.0,M. Williams misses free throw 1 of 2,,98-101,,
4:45.0,Offensive rebound by Team,,98-101,,
4:45.0,M. Williams makes free throw 2 of 2,1,99-101,,
4:32.0,,,99-101,,J. Redick misses 3-pt shot from 25 ft
4:31.0,,,99-101,,Offensive rebound by D. Jordan
4:21.0,,,99-101,,Shooting foul by F. Kaminsky (drawn by B. Griffin)
4:21.0,,,99-102,1,B. Griffin makes free throw 1 of 2
4:21.0,Violation by N. Batum (lane),,99-102,,
4:21.0,,,99-102,,B. Griffin misses free throw 2 of 2
4:21.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,99-102,,
4:19.0,Defensive rebound by M. Kidd-Gilchrist,,99-102,,
4:07.0,,,99-102,,Personal foul by B. Griffin (drawn by K. Walker)
4:07.0,K. Walker makes free throw 1 of 2,1,100-102,,
4:07.0,K. Walker makes free throw 2 of 2,1,101-102,,
