time,Houston,pts.away,score,pts.home,San Antonio
8:12.0,,,39-43,,Defensive rebound by P. Gasol
8:04.0,,,39-46,3,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard)
7:50.0,Shooting foul by P. Gasol (drawn by C. Capela),,39-46,,
7:50.0,C. Capela makes free throw 1 of 2,1,40-46,,
7:50.0,C. Capela makes free throw 2 of 2,1,41-46,,
7:50.0,,,40-46,,T. Parker enters the game for M. Ginobili
7:50.0,,,40-46,,L. Aldridge enters the game for P. Gasol
7:27.0,,,41-46,,L. Aldridge misses 2-pt shot from 15 ft
7:26.0,Defensive rebound by P. Beverley,,41-46,,
7:18.0,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley),3,44-46,,
6:53.0,Violation by C. Capela (def goaltending),,44-46,,
6:53.0,,,44-48,2,T. Parker makes 2-pt shot from 2 ft
6:33.0,P. Beverley makes 2-pt shot from 2 ft (assist by C. Capela),2,46-48,,
6:07.0,,,46-50,2,L. Aldridge makes 2-pt shot from 15 ft
5:55.0,P. Beverley misses 3-pt shot from 25 ft,,46-50,,
5:54.0,,,46-50,,Defensive rebound by Team
5:51.0,Official timeout,,46-50,,
5:51.0,J. Harden enters the game for R. Anderson,,46-50,,
5:51.0,T. Ariza enters the game for P. Beverley,,46-50,,
5:51.0,N. Hilario enters the game for C. Capela,,46-50,,
5:51.0,,,46-50,,D. Lee enters the game for P. Mills
5:35.0,,,46-53,3,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard)
5:20.0,L. Williams makes 2-pt shot from 7 ft (assist by N. Hilario),2,48-53,,
5:06.0,,,48-53,,L. Aldridge misses 2-pt shot from 19 ft
5:06.0,Defensive rebound by T. Ariza,,48-53,,
4:57.0,L. Williams misses 2-pt shot from 7 ft,,48-53,,
4:56.0,,,48-53,,Defensive rebound by L. Aldridge
4:39.0,,,48-53,,Shooting foul by N. Hilario (drawn by L. Aldridge)
4:39.0,,,48-53,,L. Aldridge misses free throw 1 of 2
4:39.0,,,48-53,,Offensive rebound by Team
4:39.0,,,48-54,1,L. Aldridge makes free throw 2 of 2
4:18.0,J. Harden misses 3-pt shot from 25 ft,,48-54,,
4:17.0,,,48-54,,Defensive rebound by K. Leonard
4:03.0,,,48-56,2,K. Leonard makes 2-pt shot from 9 ft
3:54.0,L. Williams misses 2-pt shot from 8 ft,,48-56,,
3:52.0,,,48-56,,Defensive rebound by L. Aldridge
3:44.0,,,48-56,,T. Parker misses 2-pt shot from 18 ft (block by E. Gordon)
3:42.0,,,48-56,,Offensive rebound by T. Parker
3:36.0,,,48-56,,T. Parker misses 2-pt shot from 14 ft
3:35.0,Defensive rebound by J. Harden,,48-56,,
3:21.0,Turnover by L. Williams (lost ball; steal by K. Leonard),,48-56,,
3:19.0,,,48-56,,Shooting foul by J. Harden (drawn by K. Leonard)
3:19.0,,,48-57,1,K. Leonard makes free throw 1 of 2
3:19.0,,,48-58,1,K. Leonard makes free throw 2 of 2
3:19.0,R. Anderson enters the game for L. Williams,,48-57,,
3:19.0,,,48-57,,P. Gasol enters the game for D. Lee
3:19.0,P. Beverley enters the game for E. Gordon,,48-57,,
3:07.0,Turnover by J. Harden (lost ball; steal by K. Leonard),,48-58,,
2:55.0,,,48-58,,K. Leonard misses 2-pt shot from 12 ft
2:53.0,Defensive rebound by J. Harden,,48-58,,
2:39.0,N. Hilario misses 2-pt shot from 3 ft (block by P. Gasol),,48-58,,
2:38.0,,,48-58,,Defensive rebound by T. Parker
2:29.0,,,48-61,3,T. Parker makes 3-pt shot from 24 ft (assist by K. Leonard)
2:29.0,Houston full timeout,,48-61,,
2:14.0,J. Harden misses 3-pt shot from 28 ft,,48-61,,
2:13.0,,,48-61,,Defensive rebound by D. Green
1:51.0,,,48-61,,L. Aldridge misses 2-pt shot from 16 ft
1:51.0,Defensive rebound by Team,,48-61,,
1:32.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,51-61,,
1:08.0,,,51-63,2,T. Parker makes 2-pt shot from 1 ft (assist by P. Gasol)
0:54.0,P. Beverley makes 2-pt shot from 12 ft (assist by R. Anderson),2,53-63,,
0:32.0,,,53-63,,P. Gasol misses 3-pt shot from 25 ft
0:31.0,,,53-63,,Offensive rebound by K. Leonard
0:26.0,Personal foul by P. Beverley (drawn by K. Leonard),,53-63,,
0:26.0,,,53-63,,P. Mills enters the game for T. Parker
0:19.0,,,53-63,,Shooting foul by T. Ariza (drawn by K. Leonard)
0:19.0,,,53-64,1,K. Leonard makes free throw 1 of 2
0:19.0,,,53-65,1,K. Leonard makes free throw 2 of 2
0:19.0,,,53-64,,M. Ginobili enters the game for P. Gasol
0:16.0,,,53-65,,Personal foul by M. Ginobili (drawn by T. Ariza)
0:05.0,J. Harden misses 3-pt shot from 26 ft,,53-65,,
0:04.0,Offensive rebound by R. Anderson,,53-65,,
0:02.0,R. Anderson makes 2-pt shot from 10 ft,2,55-65,,
0:00.0,,,55-65,,M. Ginobili misses 3-pt shot from 58 ft
0:00.0,,,55-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,P. Beverley misses 2-pt shot from 8 ft,,55-65,,
11:36.0,,,55-65,,Defensive rebound by P. Gasol
11:18.0,,,55-67,2,K. Leonard makes 2-pt shot from 21 ft
11:06.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,57-67,,
10:53.0,,,57-67,,P. Gasol misses 2-pt shot from 18 ft
10:50.0,,,57-67,,Offensive rebound by P. Gasol
10:50.0,,,57-69,2,P. Gasol makes 2-pt shot at rim
10:35.0,J. Harden misses 2-pt shot from 2 ft,,57-69,,
10:34.0,,,57-69,,Defensive rebound by P. Gasol
10:28.0,,,57-71,2,T. Parker makes 2-pt shot at rim
10:10.0,Shooting foul by T. Parker (drawn by J. Harden),,57-71,,
10:10.0,J. Harden makes free throw 1 of 3,1,58-71,,
10:10.0,J. Harden makes free throw 2 of 3,1,59-71,,
10:10.0,J. Harden makes free throw 3 of 3,1,60-71,,
9:58.0,,,60-71,,L. Aldridge misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by C. Capela,,60-71,,
9:48.0,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden),3,63-71,,
9:29.0,,,63-71,,Turnover by D. Green (bad pass; steal by C. Capela)
9:23.0,C. Capela makes 2-pt shot from 1 ft,2,65-71,,
9:23.0,,,65-71,,San Antonio full timeout
9:03.0,,,65-71,,D. Green misses 3-pt shot from 25 ft
9:01.0,,,65-71,,Offensive rebound by P. Gasol
8:59.0,,,65-71,,Shooting foul by C. Capela (drawn by L. Aldridge)
8:59.0,,,65-72,1,L. Aldridge makes free throw 1 of 2
8:59.0,,,65-73,1,L. Aldridge makes free throw 2 of 2
8:46.0,T. Ariza misses 3-pt shot from 23 ft,,65-73,,
8:45.0,,,65-73,,Defensive rebound by D. Green
8:36.0,,,65-73,,Turnover by K. Leonard (bad pass; steal by J. Harden)
8:29.0,P. Beverley misses 3-pt shot from 24 ft,,65-73,,
8:28.0,Offensive rebound by R. Anderson,,65-73,,
8:24.0,R. Anderson misses 2-pt shot from 1 ft (block by P. Gasol),,65-73,,
8:22.0,,,65-73,,Defensive rebound by L. Aldridge
8:15.0,,,65-75,2,T. Parker makes 2-pt shot from 19 ft
8:01.0,J. Harden makes 3-pt shot from 26 ft,3,68-75,,
7:36.0,,,68-75,,P. Gasol misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by T. Ariza,,68-75,,
7:25.0,,,68-75,,Personal foul by L. Aldridge (drawn by J. Harden)
7:22.0,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley),2,70-75,,
7:06.0,,,70-75,,Turnover by D. Green (bad pass; steal by J. Harden)
6:44.0,C. Capela misses 2-pt shot from 2 ft (block by L. Aldridge),,70-75,,
6:44.0,Offensive rebound by Team,,70-75,,
6:41.0,R. Anderson misses 3-pt shot from 26 ft,,70-75,,
6:40.0,,,70-75,,Defensive rebound by P. Gasol
6:29.0,,,70-75,,L. Aldridge misses 2-pt shot from 5 ft
6:27.0,Defensive rebound by J. Harden,,70-75,,
6:22.0,J. Harden misses 3-pt shot from 24 ft,,70-75,,
6:21.0,,,70-75,,Defensive rebound by Team
6:02.0,,,70-78,3,T. Parker makes 3-pt shot from 26 ft (assist by K. Leonard)
5:47.0,J. Harden misses 2-pt shot from 14 ft,,70-78,,
5:45.0,Offensive rebound by J. Harden,,70-78,,
5:45.0,J. Harden makes 2-pt shot from 2 ft,2,72-78,,
5:35.0,,,72-80,2,K. Leonard makes 2-pt shot from 6 ft
5:22.0,J. Harden misses 3-pt shot from 25 ft,,72-80,,
5:21.0,Offensive rebound by Team,,72-80,,
5:21.0,,,72-80,,Loose ball foul by L. Aldridge (drawn by J. Harden)
5:21.0,,,72-80,,P. Mills enters the game for T. Parker
5:21.0,,,72-80,,M. Ginobili enters the game for D. Green
5:21.0,,,72-80,,D. Lee enters the game for P. Gasol
5:21.0,N. Hilario enters the game for C. Capela,,72-80,,
5:21.0,E. Gordon enters the game for P. Beverley,,72-80,,
5:07.0,Offensive foul by J. Harden,,72-80,,
5:07.0,Turnover by J. Harden (offensive foul),,72-80,,
4:49.0,,,72-80,,L. Aldridge misses 2-pt shot from 18 ft
4:48.0,Defensive rebound by T. Ariza,,72-80,,
4:40.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,74-80,,
4:17.0,,,74-82,2,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili)
3:54.0,Turnover by E. Gordon (bad pass),,74-82,,
3:47.0,,,74-82,,Turnover by P. Mills (bad pass; steal by N. Hilario)
3:40.0,E. Gordon misses 2-pt shot from 24 ft,,74-82,,
3:38.0,,,74-82,,Defensive rebound by L. Aldridge
3:29.0,Personal foul by T. Ariza (drawn by K. Leonard),,74-82,,
3:29.0,,,74-82,,J. Simmons enters the game for K. Leonard
3:29.0,L. Williams enters the game for R. Anderson,,74-82,,
3:20.0,,,74-82,,Turnover by L. Aldridge (lost ball; steal by E. Gordon)
3:20.0,,,74-82,,Personal foul by L. Aldridge (drawn by T. Ariza)
3:20.0,,,74-82,,P. Gasol enters the game for L. Aldridge
3:20.0,,,74-82,,K. Anderson enters the game for D. Lee
3:05.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,76-82,,
2:56.0,,,76-82,,M. Ginobili misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by T. Ariza,,76-82,,
2:49.0,Shooting foul by P. Mills (drawn by J. Harden),,76-82,,
2:49.0,Houston full timeout,,76-82,,
2:49.0,J. Harden makes free throw 1 of 3,1,77-82,,
2:49.0,J. Harden makes free throw 2 of 3,1,78-82,,
2:49.0,J. Harden misses free throw 3 of 3,,78-82,,
2:49.0,R. Anderson enters the game for T. Ariza,,76-82,,
2:49.0,,,76-82,,K. Leonard enters the game for K. Anderson
2:48.0,,,78-82,,Defensive rebound by K. Leonard
2:25.0,,,78-82,,K. Leonard misses 3-pt shot from 25 ft
2:25.0,,,78-82,,Offensive rebound by M. Ginobili
2:20.0,,,78-82,,P. Mills misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by J. Harden,,78-82,,
2:06.0,Turnover by J. Harden (lost ball),,78-82,,
1:47.0,,,78-84,2,K. Leonard makes 2-pt shot from 11 ft
1:25.0,L. Williams misses 2-pt shot from 15 ft,,78-84,,
1:24.0,,,78-84,,Defensive rebound by K. Leonard
1:16.0,Personal foul by N. Hilario (drawn by K. Leonard),,78-84,,
1:00.0,,,78-84,,P. Gasol misses 2-pt shot from 9 ft
0:59.0,Defensive rebound by R. Anderson,,78-84,,
0:49.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,81-84,,
0:34.0,,,81-86,2,J. Simmons makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:17.0,L. Williams makes 2-pt shot from 6 ft,2,83-86,,
0:02.0,,,83-88,2,J. Simmons makes 2-pt shot from 14 ft (assist by K. Leonard)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,83-88,,J. Simmons misses 2-pt shot from 10 ft
11:41.0,,,83-88,,Offensive rebound by P. Gasol
11:32.0,,,83-88,,T. Parker misses 2-pt shot from 10 ft
11:30.0,,,83-88,,Offensive rebound by M. Ginobili
11:30.0,,,83-90,2,M. Ginobili makes 2-pt shot from 1 ft
11:10.0,E. Gordon misses 3-pt shot from 26 ft,,83-90,,
11:08.0,,,83-90,,Defensive rebound by P. Gasol
11:03.0,,,83-92,2,J. Simmons makes 2-pt shot at rim
11:03.0,,,83-92,,Shooting foul by P. Beverley (drawn by J. Simmons)
11:03.0,,,83-93,1,J. Simmons makes free throw 1 of 1
10:46.0,Turnover by L. Williams (bad pass; steal by P. Gasol),,83-93,,
10:31.0,,,83-93,,Shooting foul by L. Williams (drawn by M. Ginobili)
10:31.0,,,83-94,1,M. Ginobili makes free throw 1 of 2
10:31.0,,,83-95,1,M. Ginobili makes free throw 2 of 2
10:31.0,T. Ariza enters the game for L. Williams,,83-94,,
10:18.0,E. Gordon misses 2-pt shot from 10 ft,,83-95,,
10:16.0,,,83-95,,Defensive rebound by P. Gasol
10:08.0,,,83-97,2,P. Gasol makes 2-pt shot at rim (assist by T. Parker)
10:08.0,Houston full timeout,,83-97,,
10:08.0,,,83-97,,D. Green enters the game for M. Ginobili
9:54.0,P. Beverley misses 3-pt shot from 25 ft,,83-97,,
9:51.0,,,83-97,,Defensive rebound by D. Green
9:27.0,,,83-97,,J. Simmons misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by C. Capela,,83-97,,
9:12.0,P. Beverley misses 2-pt shot from 13 ft,,83-97,,
9:11.0,,,83-97,,Defensive rebound by Team
8:52.0,,,83-97,,T. Parker misses 2-pt shot from 8 ft
8:50.0,Defensive rebound by R. Anderson,,83-97,,
8:44.0,E. Gordon misses 3-pt shot from 25 ft,,83-97,,
8:43.0,Offensive rebound by P. Beverley,,83-97,,
8:43.0,,,83-97,,Personal take foul by P. Mills
8:43.0,,,83-97,,San Antonio full timeout
8:43.0,J. Harden enters the game for R. Anderson,,83-97,,
8:43.0,,,83-97,,K. Leonard enters the game for T. Parker
8:17.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,85-97,,
8:01.0,,,85-97,,Shooting foul by J. Harden (drawn by J. Simmons)
8:01.0,,,85-98,1,J. Simmons makes free throw 1 of 2
8:01.0,,,85-99,1,J. Simmons makes free throw 2 of 2
7:41.0,P. Beverley makes 3-pt shot from 25 ft (assist by E. Gordon),3,88-99,,
7:26.0,,,88-99,,Turnover by P. Mills (bad pass; steal by P. Beverley)
7:21.0,P. Beverley misses 3-pt shot from 25 ft,,88-99,,
7:19.0,,,88-99,,Defensive rebound by K. Leonard
7:14.0,Personal foul by P. Beverley (drawn by K. Leonard),,88-99,,
7:05.0,,,88-101,2,P. Mills makes 2-pt shot from 1 ft
6:51.0,J. Harden misses 3-pt shot from 24 ft,,88-101,,
6:50.0,,,88-101,,Defensive rebound by P. Mills
6:46.0,,,88-101,,M. Ginobili enters the game for P. Mills
6:33.0,,,88-103,2,K. Leonard makes 2-pt shot from 1 ft
6:33.0,,,88-103,,Personal foul by P. Gasol (drawn by T. Ariza)
6:33.0,Personal foul by T. Ariza,,88-103,,
6:33.0,R. Anderson enters the game for C. Capela,,88-103,,
6:33.0,,,88-103,,L. Aldridge enters the game for P. Gasol
6:25.0,Offensive charge foul by J. Harden,,88-103,,
6:25.0,Turnover by J. Harden (offensive foul),,88-103,,
6:13.0,,,88-105,2,K. Leonard makes 2-pt shot from 8 ft
6:13.0,,,88-105,,Shooting foul by T. Ariza (drawn by K. Leonard)
6:13.0,,,88-106,1,K. Leonard makes free throw 1 of 1
5:58.0,P. Beverley misses 2-pt shot from 1 ft,,88-106,,
5:55.0,,,88-106,,Defensive rebound by K. Leonard
5:47.0,Violation by Team (jump ball),,88-106,,
5:36.0,,,88-106,,M. Ginobili misses 2-pt shot from 17 ft
5:35.0,,,88-106,,Offensive rebound by L. Aldridge
5:19.0,,,88-106,,D. Green misses 3-pt shot from 25 ft
5:18.0,,,88-106,,Offensive rebound by M. Ginobili
5:14.0,,,88-108,2,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili)
5:02.0,J. Harden misses 2-pt shot from 1 ft,,88-108,,
5:02.0,,,88-108,,Defensive rebound by L. Aldridge
4:55.0,,,88-111,3,K. Leonard makes 3-pt shot from 25 ft
4:55.0,Houston full timeout,,88-111,,
4:55.0,L. Williams enters the game for T. Ariza,,88-111,,
4:55.0,C. Capela enters the game for J. Harden,,88-111,,
4:55.0,,,88-111,,D. Lee enters the game for L. Aldridge
4:36.0,Turnover by P. Beverley (bad pass; steal by K. Leonard),,88-111,,
4:18.0,,,88-114,3,J. Simmons makes 3-pt shot from 26 ft (assist by K. Leonard)
4:05.0,L. Williams misses 3-pt shot from 25 ft,,88-114,,
4:04.0,,,88-114,,Defensive rebound by M. Ginobili
3:57.0,,,88-114,,San Antonio full timeout
3:57.0,,,88-114,,K. Anderson enters the game for K. Leonard
3:57.0,,,88-114,,D. Dedmon enters the game for D. Green
3:57.0,,,88-114,,D. Murray enters the game for D. Lee
3:57.0,,,88-114,,D. Bertans enters the game for M. Ginobili
3:54.0,M. Harrell enters the game for R. Anderson,,88-114,,
3:54.0,S. Dekker enters the game for C. Capela,,88-114,,
3:54.0,B. Brown enters the game for P. Beverley,,88-114,,
3:54.0,I. Taylor enters the game for E. Gordon,,88-114,,
3:54.0,T. Williams enters the game for L. Williams,,88-114,,
3:43.0,,,88-116,2,D. Dedmon makes 2-pt shot at rim (assist by D. Bertans)
3:23.0,B. Brown misses 3-pt shot from 25 ft,,88-116,,
3:22.0,,,88-116,,Defensive rebound by K. Anderson
3:14.0,,,88-118,2,J. Simmons makes 2-pt shot from 15 ft
2:48.0,T. Williams misses 3-pt shot from 26 ft,,88-118,,
2:47.0,Offensive rebound by M. Harrell,,88-118,,
2:40.0,,,88-118,,Personal foul by K. Anderson (drawn by B. Brown)
2:30.0,B. Brown makes 2-pt shot from 9 ft (assist by M. Harrell),2,90-118,,
2:13.0,,,90-118,,D. Murray misses 2-pt shot from 14 ft
2:13.0,Defensive rebound by T. Williams,,90-118,,
2:05.0,,,90-118,,Personal foul by J. Simmons (drawn by B. Brown)
1:54.0,B. Brown makes 3-pt shot from 25 ft (assist by I. Taylor),3,93-118,,
1:32.0,,,93-118,,J. Simmons misses 2-pt shot from 18 ft
1:30.0,Defensive rebound by T. Williams,,93-118,,
1:21.0,M. Harrell makes 2-pt shot from 16 ft,2,95-118,,
1:07.0,Personal foul by I. Taylor (drawn by D. Dedmon),,95-118,,
1:07.0,,,95-119,1,D. Dedmon makes free throw 1 of 2
1:07.0,,,95-120,1,D. Dedmon makes free throw 2 of 2
0:53.0,Shooting foul by D. Dedmon (drawn by M. Harrell),,95-120,,
0:53.0,M. Harrell misses free throw 1 of 2,,95-120,,
0:53.0,Offensive rebound by Team,,95-120,,
0:53.0,M. Harrell makes free throw 2 of 2,1,96-120,,
0:43.0,,,96-120,,D. Bertans misses 3-pt shot from 26 ft
0:42.0,,,96-120,,Offensive rebound by D. Dedmon
0:40.0,,,96-120,,Shooting foul by M. Harrell (drawn by D. Dedmon)
