time,Houston,pts.away,score,pts.home,Oklahoma City
4:44.0,,,40-34,,A. Roberson misses free throw 1 of 2
4:44.0,,,40-34,,Offensive rebound by Team
4:44.0,,,40-34,,A. Roberson misses free throw 2 of 2
4:43.0,Defensive rebound by J. Harden,,40-34,,
4:32.0,P. Beverley makes 3-pt shot from 25 ft (assist by R. Anderson),3,43-34,,
4:13.0,,,43-34,,Shooting foul by N. Hilario (drawn by R. Westbrook)
4:13.0,,,43-35,1,R. Westbrook makes free throw 1 of 2
4:13.0,,,43-36,1,R. Westbrook makes free throw 2 of 2
4:03.0,N. Hilario makes 2-pt shot at rim (assist by P. Beverley),2,45-36,,
3:38.0,,,45-39,3,V. Oladipo makes 3-pt shot from 23 ft (assist by D. Sabonis)
3:28.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden),2,47-39,,
3:17.0,Shooting block foul by P. Beverley (drawn by R. Westbrook),,47-39,,
3:17.0,,,47-40,1,R. Westbrook makes free throw 1 of 2
3:17.0,,,47-41,1,R. Westbrook makes free throw 2 of 2
3:17.0,E. Gordon enters the game for T. Ariza,,47-40,,
2:52.0,P. Beverley misses 3-pt shot from 23 ft,,47-41,,
2:51.0,,,47-41,,Defensive rebound by S. Adams
2:43.0,,,47-41,,R. Westbrook misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by R. Anderson,,47-41,,
2:29.0,J. Harden makes 2-pt shot from 14 ft (assist by P. Beverley),2,49-41,,
2:18.0,,,49-41,,Shooting foul by N. Hilario (drawn by S. Adams)
2:18.0,Houston full timeout,,49-41,,
2:18.0,,,49-41,,S. Adams misses free throw 1 of 2
2:18.0,,,49-41,,Offensive rebound by Team
2:18.0,,,49-42,1,S. Adams makes free throw 2 of 2
2:18.0,M. Harrell enters the game for N. Hilario,,49-41,,
2:18.0,T. Ariza enters the game for P. Beverley,,49-41,,
2:06.0,R. Anderson misses 3-pt shot from 25 ft,,49-42,,
2:05.0,,,49-42,,Defensive rebound by S. Adams
1:52.0,,,49-44,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
1:38.0,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden),2,51-44,,
1:14.0,,,51-47,3,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook)
1:04.0,J. Harden makes 2-pt shot from 15 ft,2,53-47,,
0:53.0,,,53-47,,Turnover by R. Westbrook (lost ball; steal by M. Harrell)
0:48.0,M. Harrell makes 2-pt shot at rim,2,55-47,,
0:39.0,,,55-49,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
0:28.0,J. Harden misses 2-pt shot from 4 ft,,55-49,,
0:27.0,Offensive rebound by J. Harden,,55-49,,
0:27.0,J. Harden misses 2-pt shot from 4 ft,,55-49,,
0:26.0,,,55-49,,Defensive rebound by S. Adams
0:02.0,,,55-49,,A. Roberson misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by T. Ariza,,55-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,58-49,,
11:26.0,,,58-51,2,R. Westbrook makes 2-pt shot from 1 ft
11:17.0,Turnover by J. Harden (lost ball; steal by A. Roberson),,58-51,,
11:05.0,,,58-51,,D. Sabonis misses 2-pt shot from 5 ft
11:05.0,Defensive rebound by C. Capela,,58-51,,
10:55.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,60-51,,
10:43.0,,,60-54,3,D. Sabonis makes 3-pt shot from 25 ft (assist by R. Westbrook)
10:25.0,R. Anderson misses 3-pt shot from 26 ft,,60-54,,
10:24.0,Offensive rebound by C. Capela,,60-54,,
10:23.0,C. Capela makes 2-pt shot from 2 ft,2,62-54,,
10:01.0,,,62-54,,Turnover by S. Adams (bad pass; steal by J. Harden)
9:48.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,65-54,,
9:48.0,,,65-54,,Oklahoma City full timeout
9:36.0,,,65-56,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:36.0,,,65-56,,Shooting foul by P. Beverley (drawn by S. Adams)
9:36.0,,,65-57,1,S. Adams makes free throw 1 of 1
9:20.0,J. Harden misses 3-pt shot from 23 ft,,65-57,,
9:20.0,,,65-57,,Defensive rebound by D. Sabonis
9:14.0,,,65-57,,Turnover by R. Westbrook (lost ball; steal by P. Beverley)
9:06.0,T. Ariza misses 3-pt shot from 25 ft,,65-57,,
9:05.0,Offensive rebound by T. Ariza,,65-57,,
9:01.0,J. Harden makes 3-pt shot from 23 ft (assist by T. Ariza),3,68-57,,
8:46.0,,,68-57,,A. Roberson misses 3-pt shot from 23 ft
8:45.0,Defensive rebound by P. Beverley,,68-57,,
8:37.0,Turnover by J. Harden (bad pass; steal by R. Westbrook),,68-57,,
8:31.0,,,68-59,2,R. Westbrook makes 2-pt shot from 2 ft (assist by A. Roberson)
8:15.0,Turnover by C. Capela (lost ball),,68-59,,
8:03.0,,,68-61,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:37.0,J. Harden misses 3-pt shot from 24 ft,,68-61,,
7:36.0,Offensive rebound by P. Beverley,,68-61,,
7:32.0,R. Anderson misses 3-pt shot from 24 ft,,68-61,,
7:32.0,,,68-61,,Defensive rebound by V. Oladipo
7:21.0,,,68-61,,R. Westbrook misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by C. Capela,,68-61,,
7:05.0,Turnover by J. Harden (lost ball; steal by A. Roberson),,68-61,,
6:52.0,,,68-61,,Shooting foul by P. Beverley (drawn by R. Westbrook)
6:52.0,,,68-62,1,R. Westbrook makes free throw 1 of 2
6:52.0,,,68-63,1,R. Westbrook makes free throw 2 of 2
6:52.0,E. Gordon enters the game for P. Beverley,,68-62,,
6:41.0,T. Ariza misses 2-pt shot at rim (block by S. Adams),,68-63,,
6:41.0,Offensive rebound by C. Capela,,68-63,,
6:35.0,C. Capela misses 2-pt shot from 2 ft (block by A. Roberson),,68-63,,
6:32.0,,,68-63,,Defensive rebound by V. Oladipo
6:29.0,,,68-65,2,V. Oladipo makes 2-pt shot from 1 ft
6:27.0,Houston full timeout,,68-65,,
6:27.0,N. Hilario enters the game for C. Capela,,68-65,,
6:16.0,J. Harden misses 2-pt shot from 1 ft,,68-65,,
6:14.0,Offensive rebound by T. Ariza,,68-65,,
6:12.0,T. Ariza misses 3-pt shot from 25 ft,,68-65,,
6:11.0,Offensive rebound by T. Ariza,,68-65,,
6:01.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,71-65,,
5:44.0,,,71-65,,Turnover by D. Sabonis (bad pass)
5:35.0,Shooting foul by A. Roberson (drawn by J. Harden),,71-65,,
5:35.0,J. Harden makes free throw 1 of 3,1,72-65,,
5:35.0,J. Harden makes free throw 2 of 3,1,73-65,,
5:35.0,J. Harden makes free throw 3 of 3,1,74-65,,
5:35.0,,,73-65,,A. Morrow enters the game for V. Oladipo
5:24.0,,,74-65,,Shooting foul by J. Harden (drawn by S. Adams)
5:24.0,,,74-66,1,S. Adams makes free throw 1 of 2
5:24.0,,,74-67,1,S. Adams makes free throw 2 of 2
5:16.0,,,74-67,,Violation by A. Roberson (kicked ball)
5:02.0,R. Anderson makes 3-pt shot from 26 ft (assist by T. Ariza),3,77-67,,
4:44.0,,,77-67,,A. Morrow misses 2-pt shot from 14 ft
4:43.0,Defensive rebound by N. Hilario,,77-67,,
4:23.0,R. Anderson misses 3-pt shot from 22 ft,,77-67,,
4:23.0,,,77-67,,Defensive rebound by S. Adams
4:04.0,,,77-67,,R. Westbrook misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by T. Ariza,,77-67,,
3:46.0,R. Anderson misses 3-pt shot from 25 ft,,77-67,,
3:45.0,,,77-67,,Defensive rebound by R. Westbrook
3:39.0,,,77-67,,A. Roberson misses 2-pt shot from 2 ft
3:39.0,Defensive rebound by R. Anderson,,77-67,,
3:27.0,J. Harden misses 3-pt shot from 25 ft,,77-67,,
3:27.0,,,77-67,,Defensive rebound by A. Roberson
3:14.0,,,77-69,2,A. Morrow makes 2-pt shot from 8 ft
2:57.0,E. Gordon makes 2-pt shot from 1 ft,2,79-69,,
2:42.0,,,79-69,,A. Morrow misses 3-pt shot from 23 ft
2:41.0,Defensive rebound by N. Hilario,,79-69,,
2:31.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,81-69,,
2:31.0,,,81-69,,Oklahoma City full timeout
2:31.0,,,81-69,,E. Kanter enters the game for D. Sabonis
2:31.0,,,81-69,,J. Grant enters the game for S. Adams
2:31.0,,,81-69,,S. Christon enters the game for R. Westbrook
2:31.0,S. Dekker enters the game for R. Anderson,,81-69,,
2:17.0,,,81-69,,Shooting foul by N. Hilario (drawn by E. Kanter)
2:17.0,,,81-70,1,E. Kanter makes free throw 1 of 2
2:17.0,,,81-71,1,E. Kanter makes free throw 2 of 2
2:17.0,M. Harrell enters the game for N. Hilario,,81-70,,
2:06.0,J. Harden makes 3-pt shot from 25 ft (assist by E. Gordon),3,84-71,,
1:41.0,,,84-71,,Shooting foul by J. Harden (drawn by J. Grant)
1:41.0,,,84-71,,J. Grant misses free throw 1 of 2
1:41.0,,,84-71,,Offensive rebound by Team
1:41.0,,,84-71,,J. Grant misses free throw 2 of 2
1:41.0,P. Beverley enters the game for J. Harden,,84-71,,
1:41.0,C. Brewer enters the game for T. Ariza,,84-71,,
1:41.0,,,84-71,,V. Oladipo enters the game for A. Roberson
1:40.0,,,84-71,,Offensive rebound by J. Grant
1:33.0,,,84-71,,A. Morrow misses 3-pt shot from 23 ft
1:32.0,,,84-71,,Offensive rebound by E. Kanter
1:32.0,,,84-71,,E. Kanter misses 2-pt shot from 1 ft
1:30.0,,,84-71,,Offensive rebound by J. Grant
1:30.0,,,84-73,2,J. Grant makes 2-pt shot at rim
1:11.0,M. Harrell makes 2-pt shot at rim (assist by S. Dekker),2,86-73,,
0:45.0,,,86-75,2,E. Kanter makes 2-pt shot from 1 ft
0:27.0,Turnover by E. Gordon (bad pass; steal by J. Grant),,86-75,,
0:14.0,,,86-75,,V. Oladipo misses 3-pt shot from 24 ft
0:13.0,,,86-75,,Offensive rebound by Team
0:13.0,Loose ball foul by C. Brewer (drawn by E. Kanter),,86-75,,
0:13.0,,,86-76,1,E. Kanter makes free throw 1 of 2
0:13.0,,,86-77,1,E. Kanter makes free throw 2 of 2
0:13.0,J. Harden enters the game for C. Brewer,,86-76,,
0:13.0,,,86-76,,A. Roberson enters the game for A. Morrow
0:00.0,J. Harden misses 2-pt shot from 3 ft,,86-77,,
0:00.0,Offensive rebound by Team,,86-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,86-77,,S. Christon misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by M. Harrell,,86-77,,
11:23.0,P. Beverley misses 2-pt shot from 4 ft,,86-77,,
11:23.0,,,86-77,,Defensive rebound by Team
11:23.0,Loose ball foul by M. Harrell (drawn by E. Kanter),,86-77,,
11:06.0,,,86-77,,E. Kanter misses 2-pt shot from 6 ft
11:06.0,Defensive rebound by C. Brewer,,86-77,,
10:48.0,M. Harrell misses 2-pt shot from 4 ft,,86-77,,
10:47.0,Offensive rebound by M. Harrell,,86-77,,
10:42.0,P. Beverley misses 3-pt shot from 25 ft,,86-77,,
10:42.0,,,86-77,,Defensive rebound by V. Oladipo
10:35.0,,,86-77,,V. Oladipo misses 2-pt shot from 19 ft
10:35.0,Defensive rebound by P. Beverley,,86-77,,
10:23.0,C. Brewer makes 2-pt shot from 2 ft (assist by E. Gordon),2,88-77,,
10:10.0,Personal foul by M. Harrell (drawn by A. Morrow),,88-77,,
10:10.0,C. Capela enters the game for M. Harrell,,88-77,,
9:55.0,,,88-77,,Turnover by Team (shot clock)
9:42.0,Shooting foul by S. Christon (drawn by E. Gordon),,88-77,,
9:42.0,E. Gordon makes free throw 1 of 2,1,89-77,,
9:42.0,E. Gordon makes free throw 2 of 2,1,90-77,,
9:23.0,,,90-79,2,E. Kanter makes 2-pt shot from 1 ft
9:09.0,Shooting foul by E. Kanter (drawn by E. Gordon),,90-79,,
9:09.0,E. Gordon makes free throw 1 of 2,1,91-79,,
9:09.0,E. Gordon makes free throw 2 of 2,1,92-79,,
8:58.0,,,92-81,2,A. Morrow makes 2-pt shot from 17 ft
8:37.0,Shooting foul by J. Grant (drawn by C. Capela),,92-81,,
8:37.0,Official timeout,,92-81,,
8:37.0,C. Capela makes free throw 1 of 2,1,93-81,,
8:37.0,C. Capela misses free throw 2 of 2,,93-81,,
8:37.0,,,93-81,,Defensive rebound by R. Westbrook
8:37.0,,,92-81,,R. Westbrook enters the game for S. Christon
8:17.0,,,93-81,,R. Westbrook misses 2-pt shot from 7 ft
8:16.0,Defensive rebound by P. Beverley,,93-81,,
7:58.0,C. Brewer misses 3-pt shot from 23 ft,,93-81,,
7:57.0,Offensive rebound by E. Gordon,,93-81,,
7:47.0,E. Gordon misses 3-pt shot from 25 ft,,93-81,,
7:46.0,,,93-81,,Defensive rebound by R. Westbrook
7:42.0,,,93-81,,Turnover by R. Westbrook (bad pass; steal by S. Dekker)
7:38.0,Shooting foul by E. Kanter (drawn by C. Brewer),,93-81,,
7:38.0,C. Brewer misses free throw 1 of 2,,93-81,,
7:38.0,Offensive rebound by Team,,93-81,,
7:38.0,C. Brewer misses free throw 2 of 2,,93-81,,
7:38.0,,,93-81,,Defensive rebound by A. Roberson
7:38.0,,,93-81,,A. Roberson enters the game for V. Oladipo
7:38.0,J. Harden enters the game for P. Beverley,,93-81,,
7:22.0,,,93-84,3,A. Roberson makes 3-pt shot from 23 ft (assist by E. Kanter)
