time,Utah,pts.away,score,pts.home,San Antonio
4:24.0,,,16-20,,K. Anderson enters the game for D. Bertans
4:24.0,J. Ingles enters the game for R. Hood,,16-20,,
4:06.0,R. Gobert makes 2-pt shot at rim (assist by J. Johnson),2,18-21,,
3:51.0,,,18-21,,Turnover by P. Gasol (lost ball; steal by S. Mack)
3:35.0,G. Hayward makes 2-pt shot from 17 ft,2,20-21,,
3:35.0,,,20-21,,San Antonio full timeout
3:12.0,,,20-21,,K. Leonard misses 2-pt shot from 13 ft
3:09.0,,,20-21,,Offensive rebound by K. Anderson
3:06.0,,,20-23,2,J. Simmons makes 2-pt shot from 16 ft (assist by B. Forbes)
2:45.0,R. Gobert makes 2-pt shot at rim (assist by J. Johnson),2,22-23,,
2:25.0,,,22-26,3,B. Forbes makes 3-pt shot from 24 ft (assist by K. Leonard)
2:06.0,J. Johnson makes 3-pt shot from 23 ft (assist by R. Gobert),3,25-26,,
1:59.0,,,25-26,,Shooting foul by G. Hayward (drawn by K. Leonard)
1:59.0,Utah full timeout,,25-26,,
1:59.0,,,25-26,,K. Leonard misses free throw 1 of 2
1:59.0,,,25-26,,Offensive rebound by Team
1:59.0,,,25-27,1,K. Leonard makes free throw 2 of 2
1:40.0,S. Mack misses 2-pt shot from 12 ft,,25-27,,
1:39.0,,,25-27,,Defensive rebound by K. Leonard
1:32.0,,,25-30,3,P. Gasol makes 3-pt shot from 25 ft (assist by K. Leonard)
1:02.0,J. Ingles makes 3-pt shot from 25 ft (assist by S. Mack),3,28-30,,
0:51.0,,,28-30,,D. Bertans enters the game for K. Leonard
0:51.0,J. Withey enters the game for R. Gobert,,28-30,,
0:41.0,,,28-33,3,D. Bertans makes 3-pt shot from 25 ft (assist by B. Forbes)
0:24.0,J. Johnson misses 2-pt shot from 15 ft,,28-33,,
0:22.0,,,28-33,,Defensive rebound by P. Gasol
0:02.0,,,28-33,,K. Anderson misses 2-pt shot from 1 ft
0:01.0,,,28-33,,Offensive rebound by P. Gasol
0:00.0,,,28-33,,P. Gasol misses 2-pt shot at rim
0:00.0,Defensive rebound by J. Withey,,28-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,28-35,2,J. Simmons makes 2-pt shot from 9 ft
11:08.0,S. Mack misses 2-pt shot from 8 ft,,28-35,,
11:06.0,,,28-35,,Defensive rebound by D. Bertans
10:47.0,,,28-35,,P. Gasol misses 2-pt shot from 22 ft
10:46.0,Defensive rebound by J. Ingles,,28-35,,
10:42.0,,,28-35,,Personal foul by K. Anderson (drawn by J. Ingles)
10:42.0,D. Exum enters the game for R. Hood,,28-35,,
10:32.0,Shooting foul by J. Simmons (drawn by J. Withey),,28-35,,
10:32.0,J. Withey makes free throw 1 of 2,1,29-35,,
10:32.0,J. Withey misses free throw 2 of 2,,29-35,,
10:32.0,R. Hood enters the game for D. Exum,,29-35,,
10:32.0,,,29-35,,T. Parker enters the game for B. Forbes
10:30.0,,,29-35,,Defensive rebound by K. Anderson
10:19.0,,,29-37,2,P. Gasol makes 2-pt shot from 2 ft (assist by T. Parker)
10:11.0,Turnover by J. Ingles (dbl dribble),,29-37,,
10:11.0,,,29-37,,D. Dedmon enters the game for P. Gasol
9:55.0,,,29-40,3,J. Simmons makes 3-pt shot from 24 ft (assist by D. Dedmon)
9:48.0,Utah full timeout,,29-40,,
9:32.0,J. Ingles misses 2-pt shot from 2 ft,,29-40,,
9:31.0,,,29-40,,Defensive rebound by K. Anderson
9:18.0,,,29-42,2,T. Parker makes 2-pt shot from 15 ft
9:04.0,Turnover by J. Ingles (bad pass; steal by D. Bertans),,29-42,,
8:58.0,,,29-44,2,J. Simmons makes 2-pt shot at rim
8:43.0,R. Hood misses 3-pt shot from 25 ft,,29-44,,
8:42.0,,,29-44,,Defensive rebound by T. Parker
8:31.0,,,29-44,,K. Leonard enters the game for K. Anderson
8:31.0,R. Gobert enters the game for J. Withey,,29-44,,
8:31.0,D. Exum enters the game for S. Mack,,29-44,,
8:18.0,,,29-44,,T. Parker misses 2-pt shot from 12 ft
8:16.0,,,29-44,,Offensive rebound by D. Dedmon
8:15.0,,,29-46,2,D. Dedmon makes 2-pt shot from 1 ft
8:01.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,31-46,,
7:41.0,,,31-46,,Turnover by K. Leonard (bad pass; steal by J. Ingles)
7:23.0,J. Ingles misses 3-pt shot from 25 ft,,31-46,,
7:22.0,,,31-46,,Defensive rebound by D. Dedmon
7:12.0,,,31-46,,D. Bertans misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by J. Ingles,,31-46,,
6:57.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Ingles),3,34-46,,
6:57.0,,,34-46,,San Antonio full timeout
6:57.0,,,34-46,,B. Forbes enters the game for J. Simmons
6:57.0,B. Diaw enters the game for J. Ingles,,34-46,,
6:57.0,G. Hayward enters the game for J. Johnson,,34-46,,
6:43.0,,,34-49,3,D. Bertans makes 3-pt shot from 25 ft (assist by T. Parker)
6:21.0,D. Exum makes 2-pt shot from 1 ft,2,36-49,,
6:11.0,,,36-49,,Offensive foul by D. Dedmon
6:11.0,,,36-49,,Turnover by D. Dedmon (offensive foul)
6:11.0,,,36-49,,J. Anthony enters the game for D. Bertans
5:57.0,G. Hayward misses 3-pt shot from 24 ft,,36-49,,
5:55.0,Offensive rebound by R. Gobert,,36-49,,
5:55.0,R. Gobert makes 2-pt shot at rim,2,38-49,,
5:37.0,,,38-49,,B. Forbes misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by R. Gobert,,38-49,,
5:27.0,,,38-49,,Personal foul by T. Parker (drawn by R. Gobert)
5:17.0,B. Diaw makes 3-pt shot from 23 ft (assist by G. Hayward),3,41-49,,
4:59.0,,,41-49,,T. Parker misses 2-pt shot from 1 ft (block by R. Gobert)
4:57.0,Defensive rebound by G. Hayward,,41-49,,
4:42.0,G. Hayward misses 2-pt shot from 14 ft,,41-49,,
4:40.0,,,41-49,,Defensive rebound by T. Parker
4:36.0,,,41-49,,Turnover by T. Parker (lost ball; steal by R. Hood)
4:32.0,,,41-49,,Violation by J. Anthony (def goaltending)
4:32.0,R. Hood makes 2-pt shot at rim (assist by D. Exum),2,43-49,,
4:15.0,,,43-49,,K. Leonard misses 2-pt shot from 18 ft
4:13.0,Defensive rebound by R. Gobert,,43-49,,
4:13.0,Turnover by R. Gobert (step out of bounds),,43-49,,
4:13.0,Inbound foul by G. Hayward,,43-49,,
4:13.0,,,43-50,1,K. Leonard makes free throw 1 of 1
4:13.0,J. Ingles enters the game for R. Hood,,43-49,,
4:13.0,,,43-49,,J. Simmons enters the game for T. Parker
4:13.0,,,43-49,,P. Gasol enters the game for D. Dedmon
4:05.0,,,43-50,,Offensive foul by K. Leonard
4:05.0,,,43-50,,Turnover by K. Leonard (offensive foul)
3:47.0,D. Exum makes 2-pt shot at rim (assist by G. Hayward),2,45-50,,
3:38.0,Personal foul by J. Ingles (drawn by K. Leonard),,45-50,,
3:31.0,Personal foul by J. Ingles (drawn by K. Leonard),,45-50,,
3:31.0,,,45-50,,D. Bertans enters the game for J. Anthony
3:18.0,,,45-50,,J. Simmons misses 2-pt shot from 9 ft (block by R. Gobert)
3:17.0,Defensive rebound by R. Gobert,,45-50,,
2:56.0,G. Hayward misses 2-pt shot from 22 ft,,45-50,,
2:56.0,,,45-50,,Defensive rebound by D. Bertans
2:50.0,,,45-50,,J. Simmons misses 2-pt shot from 3 ft (block by R. Gobert)
2:50.0,Defensive rebound by Team,,45-50,,
2:50.0,Official timeout,,45-50,,
2:50.0,J. Johnson enters the game for B. Diaw,,45-50,,
2:35.0,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward),3,48-50,,
2:25.0,,,48-50,,K. Leonard misses 2-pt shot from 16 ft
2:24.0,Defensive rebound by J. Ingles,,48-50,,
2:15.0,J. Ingles makes 2-pt shot at rim,2,50-50,,
1:58.0,,,50-50,,K. Leonard misses 2-pt shot from 1 ft (block by R. Gobert)
1:56.0,,,50-50,,Offensive rebound by K. Leonard
1:50.0,,,50-52,2,B. Forbes makes 2-pt shot from 19 ft (assist by D. Bertans)
1:26.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,52-52,,
1:06.0,,,52-52,,P. Gasol misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by D. Exum,,52-52,,
0:58.0,D. Exum misses 2-pt shot from 5 ft,,52-52,,
0:56.0,,,52-52,,Defensive rebound by D. Bertans
0:50.0,,,52-52,,B. Forbes misses 2-pt shot from 1 ft (block by R. Gobert)
0:49.0,,,52-52,,Offensive rebound by P. Gasol
0:46.0,,,52-52,,P. Gasol misses 2-pt shot from 2 ft
0:46.0,Defensive rebound by J. Johnson,,52-52,,
0:29.0,R. Gobert misses 2-pt shot from 7 ft,,52-52,,
0:27.0,,,52-52,,Defensive rebound by P. Gasol
0:06.0,,,52-54,2,P. Gasol makes 2-pt shot from 8 ft (assist by K. Leonard)
0:00.0,R. Gobert misses 2-pt shot from 10 ft,,52-54,,
0:00.0,Offensive rebound by Team,,52-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Personal foul by B. Diaw (drawn by D. Bertans),,52-54,,
11:37.0,,,52-56,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
11:16.0,B. Diaw makes 2-pt shot from 1 ft (assist by R. Gobert),2,54-56,,
11:01.0,,,54-56,,Offensive foul by T. Parker
11:01.0,,,54-56,,Turnover by T. Parker (offensive foul)
10:42.0,Turnover by B. Diaw (lost ball; steal by K. Anderson),,54-56,,
10:38.0,,,54-56,,Shooting foul by B. Diaw (drawn by K. Anderson)
10:38.0,,,54-57,1,K. Anderson makes free throw 1 of 2
10:38.0,,,54-58,1,K. Anderson makes free throw 2 of 2
10:24.0,G. Hayward misses 2-pt shot from 12 ft,,54-58,,
10:23.0,Offensive rebound by R. Gobert,,54-58,,
10:16.0,R. Hood misses 2-pt shot from 7 ft,,54-58,,
10:13.0,,,54-58,,Defensive rebound by K. Anderson
10:10.0,,,54-58,,T. Parker misses 2-pt shot from 1 ft (block by D. Exum)
10:10.0,,,54-58,,Offensive rebound by Team
10:07.0,,,54-58,,Shooting foul by D. Exum (drawn by T. Parker)
10:07.0,,,54-59,1,T. Parker makes free throw 1 of 2
10:07.0,,,54-60,1,T. Parker makes free throw 2 of 2
9:53.0,B. Diaw makes 2-pt shot from 1 ft (assist by R. Gobert),2,56-60,,
9:39.0,,,56-63,3,K. Leonard makes 3-pt shot from 25 ft (assist by K. Anderson)
9:25.0,G. Hayward makes 2-pt shot at rim (assist by R. Gobert),2,58-63,,
9:18.0,,,58-65,2,D. Bertans makes 2-pt shot at rim (assist by T. Parker)
8:59.0,Turnover by G. Hayward (bad pass; steal by D. Dedmon),,58-65,,
8:53.0,,,58-65,,T. Parker misses 2-pt shot from 16 ft
8:52.0,Defensive rebound by Team,,58-65,,
8:41.0,B. Diaw makes 2-pt shot at rim,2,60-65,,
8:31.0,Shooting block foul by D. Exum (drawn by T. Parker),,60-65,,
8:31.0,,,60-66,1,T. Parker makes free throw 1 of 2
8:31.0,,,60-67,1,T. Parker makes free throw 2 of 2
8:17.0,G. Hayward misses 3-pt shot from 25 ft,,60-67,,
8:16.0,,,60-67,,Defensive rebound by K. Leonard
8:10.0,,,60-70,3,K. Leonard makes 3-pt shot from 25 ft
8:10.0,Utah full timeout,,60-70,,
7:53.0,B. Diaw makes 2-pt shot from 17 ft (assist by R. Hood),2,62-70,,
7:34.0,,,62-70,,K. Leonard misses 2-pt shot from 11 ft
7:33.0,Defensive rebound by B. Diaw,,62-70,,
7:25.0,B. Diaw makes 2-pt shot from 1 ft,2,64-70,,
7:22.0,,,64-70,,San Antonio full timeout
7:13.0,Personal foul by R. Hood (drawn by K. Leonard),,64-70,,
7:13.0,,,64-71,1,K. Leonard makes free throw 1 of 2
7:13.0,,,64-72,1,K. Leonard makes free throw 2 of 2
7:00.0,,,64-72,,Personal foul by D. Bertans (drawn by R. Gobert)
7:00.0,,,64-72,,J. Simmons enters the game for K. Anderson
7:00.0,J. Ingles enters the game for R. Hood,,64-72,,
6:55.0,G. Hayward misses 2-pt shot at rim,,64-72,,
6:55.0,,,64-72,,Defensive rebound by D. Dedmon
6:35.0,,,64-72,,Turnover by T. Parker (bad pass; steal by G. Hayward)
6:29.0,G. Hayward misses 2-pt shot from 1 ft,,64-72,,
6:26.0,Offensive rebound by B. Diaw,,64-72,,
6:26.0,B. Diaw makes 2-pt shot from 1 ft,2,66-72,,
6:11.0,,,66-72,,Turnover by J. Simmons (bad pass; steal by J. Ingles)
5:58.0,Turnover by B. Diaw (bad pass; steal by D. Dedmon),,66-72,,
5:51.0,,,66-74,2,D. Dedmon makes 2-pt shot at rim (assist by J. Simmons)
5:24.0,J. Ingles misses 2-pt shot from 2 ft (block by D. Dedmon),,66-74,,
5:23.0,,,66-74,,Defensive rebound by T. Parker
5:12.0,,,66-74,,T. Parker misses 2-pt shot from 16 ft
5:10.0,Defensive rebound by R. Gobert,,66-74,,
5:00.0,,,66-74,,Personal foul by D. Dedmon (drawn by R. Gobert)
5:00.0,,,66-74,,K. Anderson enters the game for D. Bertans
5:00.0,J. Johnson enters the game for B. Diaw,,66-74,,
4:51.0,G. Hayward misses 2-pt shot from 14 ft,,66-74,,
4:49.0,,,66-74,,Defensive rebound by J. Simmons
4:39.0,,,66-77,3,K. Leonard makes 3-pt shot from 25 ft
4:19.0,J. Johnson misses 3-pt shot from 24 ft,,66-77,,
4:19.0,,,66-77,,Defensive rebound by K. Anderson
4:14.0,,,66-77,,J. Simmons misses 2-pt shot at rim (block by R. Gobert)
4:14.0,,,66-77,,Offensive rebound by Team
4:14.0,S. Mack enters the game for D. Exum,,66-77,,
4:14.0,,,66-77,,P. Gasol enters the game for D. Dedmon
4:14.0,,,66-77,,B. Forbes enters the game for T. Parker
4:14.0,R. Hood enters the game for G. Hayward,,66-77,,
4:07.0,,,66-80,3,B. Forbes makes 3-pt shot from 25 ft (assist by K. Leonard)
3:54.0,R. Hood misses 2-pt shot from 11 ft,,66-80,,
3:54.0,Offensive rebound by Team,,66-80,,
3:48.0,R. Gobert misses 2-pt shot from 2 ft (block by P. Gasol),,66-80,,
3:47.0,Offensive rebound by R. Gobert,,66-80,,
3:35.0,J. Ingles misses 2-pt shot from 4 ft (block by K. Leonard),,66-80,,
3:34.0,,,66-80,,Defensive rebound by P. Gasol
3:24.0,,,66-80,,Shooting foul by J. Ingles (drawn by K. Leonard)
3:24.0,,,66-81,1,K. Leonard makes free throw 1 of 2
3:24.0,,,66-82,1,K. Leonard makes free throw 2 of 2
3:11.0,S. Mack misses 2-pt shot from 12 ft,,66-82,,
3:07.0,Offensive rebound by R. Gobert,,66-82,,
3:07.0,R. Gobert makes 2-pt shot at rim,2,68-82,,
2:43.0,,,68-84,2,K. Leonard makes 2-pt shot from 17 ft
2:30.0,R. Hood makes 3-pt shot from 23 ft (assist by J. Johnson),3,71-84,,
2:12.0,,,71-86,2,P. Gasol makes 2-pt shot from 18 ft (assist by B. Forbes)
1:57.0,R. Hood misses 3-pt shot from 22 ft,,71-86,,
1:54.0,,,71-86,,Defensive rebound by B. Forbes
1:47.0,,,71-86,,B. Forbes misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by J. Ingles,,71-86,,
1:33.0,S. Mack makes 2-pt shot from 7 ft (assist by J. Ingles),2,73-86,,
1:06.0,,,73-86,,K. Leonard misses 2-pt shot from 9 ft
1:04.0,,,73-86,,Offensive rebound by K. Leonard
1:02.0,,,73-88,2,K. Leonard makes 2-pt shot from 6 ft
0:51.0,S. Mack makes 2-pt shot from 9 ft,2,75-88,,
0:27.0,,,75-88,,J. Simmons misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by J. Johnson,,75-88,,
0:07.0,,,75-88,,Personal foul by J. Simmons (drawn by J. Johnson)
0:07.0,J. Withey enters the game for R. Gobert,,75-88,,
0:07.0,,,75-88,,D. Bertans enters the game for K. Leonard
0:02.0,Shooting foul by B. Forbes (drawn by S. Mack),,75-88,,
0:02.0,S. Mack makes 2-pt shot from 11 ft,2,77-88,,
0:02.0,S. Mack makes free throw 1 of 1,1,78-88,,
0:00.0,,,78-88,,J. Simmons misses 3-pt shot from 54 ft
0:00.0,,,78-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Johnson misses 3-pt shot from 24 ft,,78-88,,
11:43.0,Offensive rebound by J. Withey,,78-88,,
11:41.0,J. Withey makes 2-pt shot from 1 ft,2,80-88,,
11:24.0,,,80-90,2,J. Simmons makes 2-pt shot from 11 ft (assist by K. Anderson)
11:04.0,J. Johnson misses 2-pt shot from 5 ft,,80-90,,
11:03.0,,,80-90,,Defensive rebound by P. Gasol
10:45.0,,,80-90,,J. Simmons misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by J. Withey,,80-90,,
10:30.0,J. Withey misses 2-pt shot from 6 ft,,80-90,,
10:28.0,,,80-90,,Defensive rebound by B. Forbes
10:24.0,,,80-90,,P. Gasol misses 2-pt shot from 2 ft (block by J. Withey)
10:21.0,,,80-90,,Offensive rebound by K. Anderson
10:13.0,,,80-90,,Turnover by P. Gasol (bad pass)
10:01.0,S. Mack misses 2-pt shot from 1 ft,,80-90,,
10:00.0,,,80-90,,Defensive rebound by P. Gasol
9:49.0,,,80-92,2,P. Gasol makes 2-pt shot from 7 ft (assist by J. Simmons)
9:38.0,S. Mack makes 2-pt shot from 1 ft (assist by J. Ingles),2,82-92,,
9:19.0,,,82-92,,D. Bertans misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by J. Withey,,82-92,,
9:01.0,Turnover by J. Johnson (lost ball; steal by J. Simmons),,82-92,,
8:58.0,,,82-92,,Turnover by K. Anderson (bad pass)
8:58.0,Official timeout,,82-92,,
8:58.0,,,82-92,,T. Parker enters the game for B. Forbes
8:58.0,G. Hayward enters the game for R. Hood,,82-92,,
8:58.0,R. Gobert enters the game for J. Johnson,,82-92,,
8:58.0,B. Diaw enters the game for J. Withey,,82-92,,
8:45.0,,,82-92,,D. Dedmon enters the game for D. Bertans
8:38.0,R. Gobert makes 2-pt shot at rim (assist by B. Diaw),2,84-92,,
8:19.0,,,84-94,2,J. Simmons makes 2-pt shot from 10 ft
8:07.0,Turnover by J. Ingles (bad pass; steal by K. Anderson),,84-94,,
7:51.0,Personal foul by J. Ingles (drawn by T. Parker),,84-94,,
7:51.0,D. Exum enters the game for S. Mack,,84-94,,
7:45.0,Personal foul by D. Exum (drawn by T. Parker),,84-94,,
7:37.0,,,84-96,2,T. Parker makes 2-pt shot from 11 ft
7:23.0,G. Hayward makes 2-pt shot from 17 ft,2,86-96,,
6:52.0,,,86-96,,K. Anderson misses 2-pt shot from 16 ft
6:51.0,,,86-96,,Offensive rebound by P. Gasol
6:45.0,,,86-98,2,P. Gasol makes 2-pt shot from 10 ft
6:26.0,Turnover by G. Hayward (lost ball),,86-98,,
6:26.0,,,86-98,,San Antonio full timeout
6:26.0,S. Mack enters the game for J. Ingles,,86-98,,
6:08.0,,,86-100,2,K. Anderson makes 2-pt shot from 1 ft (assist by P. Gasol)
5:54.0,G. Hayward misses 3-pt shot from 23 ft,,86-100,,
5:53.0,Offensive rebound by D. Exum,,86-100,,
5:45.0,Shooting foul by K. Anderson (drawn by G. Hayward),,86-100,,
5:45.0,G. Hayward makes free throw 1 of 3,1,87-100,,
5:45.0,G. Hayward makes free throw 2 of 3,1,88-100,,
5:45.0,G. Hayward misses free throw 3 of 3,,88-100,,
5:45.0,J. Johnson enters the game for B. Diaw,,88-100,,
5:45.0,,,88-100,,K. Leonard enters the game for K. Anderson
5:45.0,,,88-100,,D. Bertans enters the game for D. Dedmon
5:43.0,,,88-100,,Defensive rebound by Team
5:35.0,,,88-102,2,T. Parker makes 2-pt shot from 1 ft (assist by P. Gasol)
5:19.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,91-102,,
5:03.0,,,91-102,,P. Gasol misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by D. Exum,,91-102,,
4:53.0,D. Exum misses 3-pt shot from 26 ft,,91-102,,
4:53.0,Offensive rebound by R. Gobert,,91-102,,
4:42.0,J. Johnson makes 2-pt shot from 7 ft,2,93-102,,
4:19.0,,,93-102,,Turnover by K. Leonard (bad pass)
4:05.0,G. Hayward misses 2-pt shot from 13 ft,,93-102,,
4:02.0,Offensive rebound by R. Gobert,,93-102,,
4:02.0,R. Gobert makes 2-pt shot from 2 ft,2,95-102,,
3:49.0,,,95-102,,Turnover by T. Parker (bad pass; steal by S. Mack)
3:46.0,,,95-102,,Personal foul by D. Bertans (drawn by D. Exum)
3:40.0,Shooting foul by J. Simmons (drawn by S. Mack),,95-102,,
3:40.0,S. Mack makes free throw 1 of 2,1,96-102,,
3:40.0,S. Mack misses free throw 2 of 2,,96-102,,
3:38.0,,,96-102,,Defensive rebound by P. Gasol
3:16.0,,,96-102,,J. Simmons misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by Team,,96-102,,
3:02.0,S. Mack misses 3-pt shot from 25 ft,,96-102,,
3:01.0,,,96-102,,Defensive rebound by P. Gasol
2:45.0,,,96-102,,D. Bertans misses 2-pt shot from 10 ft
2:44.0,Defensive rebound by R. Gobert,,96-102,,
2:24.0,J. Johnson makes 2-pt shot from 16 ft,2,98-102,,
2:07.0,,,98-104,2,J. Simmons makes 2-pt shot from 1 ft (assist by P. Gasol)
2:07.0,Utah full timeout,,98-104,,
2:07.0,J. Ingles enters the game for D. Exum,,98-104,,
2:07.0,,,98-104,,K. Anderson enters the game for J. Simmons
1:45.0,R. Gobert misses 2-pt shot from 2 ft (block by K. Leonard),,98-104,,
1:45.0,Offensive rebound by Team,,98-104,,
1:42.0,R. Gobert misses 2-pt shot from 2 ft,,98-104,,
1:41.0,,,98-104,,Defensive rebound by T. Parker
1:26.0,,,98-104,,Shooting foul by G. Hayward (drawn by K. Anderson)
1:26.0,,,98-105,1,K. Anderson makes free throw 1 of 2
1:26.0,,,98-106,1,K. Anderson makes free throw 2 of 2
1:26.0,Utah full timeout,,98-106,,
1:26.0,,,98-106,,J. Simmons enters the game for K. Leonard
1:17.0,G. Hayward misses 3-pt shot from 26 ft,,98-106,,
1:16.0,Offensive rebound by R. Gobert,,98-106,,
1:14.0,Shooting foul by J. Simmons (drawn by G. Hayward),,98-106,,
1:14.0,G. Hayward misses free throw 1 of 2,,98-106,,
1:14.0,Offensive rebound by Team,,98-106,,
1:14.0,G. Hayward makes free throw 2 of 2,1,99-106,,
1:14.0,,,99-106,,San Antonio full timeout
0:53.0,,,99-106,,T. Parker misses 2-pt shot from 19 ft
0:51.0,Defensive rebound by S. Mack,,99-106,,
0:43.0,J. Johnson makes 3-pt shot from 24 ft (assist by S. Mack),3,102-106,,
0:33.0,Personal foul by S. Mack (drawn by T. Parker),,102-106,,
0:33.0,,,102-106,,T. Parker misses free throw 1 of 2
0:33.0,,,102-106,,Offensive rebound by Team
0:33.0,,,102-107,1,T. Parker makes free throw 2 of 2
0:33.0,Utah full timeout,,102-107,,
0:31.0,,,102-107,,Personal foul by J. Simmons (drawn by R. Gobert)
0:31.0,R. Gobert makes free throw 1 of 2,1,103-107,,
