time,Washington,pts.away,score,pts.home,Philadelphia
8:16.0,,,4-4,,Loose ball foul by R. Holmes (drawn by M. Gortat)
8:04.0,O. Porter misses 2-pt shot from 2 ft,,4-4,,
8:03.0,,,4-4,,Defensive rebound by R. Covington
7:57.0,,,4-6,2,S. Rodriguez makes 2-pt shot from 12 ft (assist by R. Covington)
7:42.0,O. Porter misses 2-pt shot from 16 ft,,4-6,,
7:41.0,,,4-6,,Defensive rebound by R. Covington
7:34.0,,,4-9,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by S. Rodriguez)
7:18.0,Turnover by J. Wall (bad pass; steal by R. Holmes),,4-9,,
7:12.0,,,4-9,,G. Henderson misses 2-pt shot from 6 ft
7:11.0,,,4-9,,Offensive rebound by E. Ilyasova
7:09.0,,,4-11,2,E. Ilyasova makes 2-pt shot from 2 ft
7:04.0,Washington full timeout,,4-11,,
6:54.0,Turnover by J. Wall (lost ball; steal by R. Holmes),,4-11,,
6:39.0,,,4-11,,G. Henderson misses 2-pt shot from 8 ft
6:38.0,Defensive rebound by M. Gortat,,4-11,,
6:32.0,O. Porter makes 2-pt shot from 1 ft,2,6-11,,
6:19.0,,,6-11,,R. Covington misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by M. Gortat,,6-11,,
6:06.0,S. Mac misses 3-pt shot from 27 ft,,6-11,,
6:05.0,Offensive rebound by O. Porter,,6-11,,
5:56.0,,,6-11,,Personal foul by R. Holmes (drawn by J. Wall)
5:56.0,J. Wall makes free throw 1 of 2,1,7-11,,
5:56.0,J. Wall makes free throw 2 of 2,1,8-11,,
5:56.0,,,7-11,,D. Saric enters the game for R. Covington
5:56.0,,,7-11,,N. Stauskas enters the game for R. Holmes
5:56.0,M. Thornton enters the game for S. Mac,,7-11,,
5:41.0,,,8-11,,D. Saric misses 2-pt shot from 17 ft
5:40.0,Defensive rebound by O. Porter,,8-11,,
5:30.0,J. Wall makes 2-pt shot from 2 ft,2,10-11,,
5:15.0,,,10-14,3,N. Stauskas makes 3-pt shot from 26 ft
5:02.0,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall),2,12-14,,
4:45.0,,,12-16,2,D. Saric makes 2-pt shot from 2 ft (assist by S. Rodriguez)
4:33.0,J. Wall misses 2-pt shot from 17 ft,,12-16,,
4:32.0,,,12-16,,Defensive rebound by Team
4:32.0,Personal foul by A. Nicholson (drawn by G. Henderson),,12-16,,
4:32.0,,,12-16,,T. McConnell enters the game for S. Rodriguez
4:32.0,,,12-16,,H. Thompson enters the game for G. Henderson
4:32.0,T. Satoransky enters the game for J. Wall,,12-16,,
4:17.0,,,12-16,,E. Ilyasova misses 2-pt shot from 11 ft
4:16.0,Defensive rebound by M. Gortat,,12-16,,
4:04.0,O. Porter misses 2-pt shot from 15 ft,,12-16,,
4:03.0,,,12-16,,Defensive rebound by D. Saric
3:55.0,,,12-19,3,D. Saric makes 3-pt shot from 25 ft (assist by H. Thompson)
3:35.0,M. Thornton misses 3-pt shot from 26 ft,,12-19,,
3:34.0,,,12-19,,Defensive rebound by D. Saric
3:25.0,,,12-19,,Turnover by D. Saric (bad pass; steal by O. Porter)
3:22.0,Turnover by T. Satoransky (bad pass; steal by T. McConnell),,12-19,,
3:16.0,,,12-22,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by N. Stauskas)
3:09.0,Washington full timeout,,12-22,,
3:09.0,,,12-22,,R. Covington enters the game for E. Ilyasova
3:01.0,M. Thornton misses 2-pt shot from 17 ft,,12-22,,
3:00.0,,,12-22,,Defensive rebound by R. Covington
2:51.0,,,12-22,,H. Thompson misses 2-pt shot from 10 ft
2:50.0,,,12-22,,Offensive rebound by D. Saric
2:49.0,,,12-24,2,D. Saric makes 2-pt shot from 2 ft
2:26.0,O. Porter misses 2-pt shot from 1 ft,,12-24,,
2:25.0,,,12-24,,Defensive rebound by D. Saric
2:23.0,Personal foul by T. Satoransky (drawn by T. McConnell),,12-24,,
2:23.0,,,12-24,,Philadelphia full timeout
2:23.0,K. Oubre enters the game for M. Gortat,,12-24,,
2:11.0,,,12-24,,Shooting foul by T. Satoransky (drawn by R. Covington)
2:11.0,,,12-25,1,R. Covington makes free throw 1 of 2
2:11.0,,,12-25,,R. Covington misses free throw 2 of 2
2:11.0,,,12-25,,Offensive rebound by R. Covington
2:11.0,T. Burke enters the game for T. Satoransky,,12-25,,
2:06.0,,,12-27,2,H. Thompson makes 2-pt shot from 20 ft (assist by R. Covington)
1:41.0,T. Burke misses 2-pt shot from 10 ft,,12-27,,
1:39.0,,,12-27,,Defensive rebound by D. Saric
1:21.0,,,12-27,,Turnover by D. Saric (bad pass)
1:04.0,,,12-27,,Personal foul by T. McConnell (drawn by O. Porter)
1:04.0,O. Porter makes free throw 1 of 2,1,13-27,,
1:04.0,O. Porter misses free throw 2 of 2,,13-27,,
1:03.0,,,13-27,,Defensive rebound by D. Saric
0:52.0,,,13-29,2,H. Thompson makes 2-pt shot from 4 ft (assist by T. McConnell)
0:37.0,K. Oubre makes 2-pt shot from 8 ft (assist by M. Thornton),2,15-29,,
0:22.0,,,15-29,,D. Saric misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by O. Porter,,15-29,,
0:01.0,T. Burke misses 2-pt shot from 5 ft,,15-29,,
0:00.0,,,15-29,,Defensive rebound by R. Covington
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,A. Nicholson makes 2-pt shot from 4 ft,2,17-29,,
11:25.0,Personal foul by S. Mac (drawn by D. Saric),,17-29,,
11:12.0,,,17-31,2,J. Okafor makes 2-pt shot from 7 ft
10:52.0,K. Oubre misses 2-pt shot from 8 ft,,17-31,,
10:51.0,,,17-31,,Defensive rebound by J. Okafor
10:45.0,Personal block foul by T. Burke (drawn by N. Stauskas),,17-31,,
10:45.0,,,17-31,,S. Rodriguez enters the game for T. McConnell
10:34.0,,,17-33,2,J. Okafor makes 2-pt shot from 5 ft (assist by S. Rodriguez)
10:34.0,,,17-33,,Shooting foul by A. Nicholson (drawn by J. Okafor)
10:34.0,,,17-34,1,J. Okafor makes free throw 1 of 1
10:34.0,M. Morris enters the game for K. Oubre,,17-33,,
10:34.0,M. Gortat enters the game for A. Nicholson,,17-33,,
10:16.0,S. Mac misses 2-pt shot from 18 ft,,17-34,,
10:15.0,,,17-34,,Defensive rebound by D. Saric
10:05.0,,,17-34,,Shooting foul by M. Gortat (drawn by J. Okafor)
10:05.0,,,17-34,,J. Okafor misses free throw 1 of 2
10:05.0,,,17-34,,Offensive rebound by Team
10:05.0,,,17-35,1,J. Okafor makes free throw 2 of 2
10:05.0,,,17-34,,G. Henderson enters the game for N. Stauskas
10:05.0,,,17-34,,E. Ilyasova enters the game for D. Saric
9:54.0,Turnover by M. Thornton (lost ball; steal by H. Thompson),,17-35,,
9:50.0,,,17-35,,Shooting foul by S. Mac (drawn by G. Henderson)
9:50.0,,,17-37,2,G. Henderson makes 2-pt shot from 1 ft (assist by S. Rodriguez)
9:50.0,,,17-38,1,G. Henderson makes free throw 1 of 1
9:50.0,Washington full timeout,,17-38,,
9:40.0,,,17-38,,Personal foul by E. Ilyasova (drawn by M. Morris)
9:35.0,M. Morris makes 2-pt shot from 13 ft (assist by S. Mac),2,19-38,,
9:22.0,,,19-40,2,H. Thompson makes 2-pt shot from 1 ft (assist by J. Okafor)
9:11.0,T. Burke misses 2-pt shot from 6 ft,,19-40,,
9:11.0,Offensive rebound by Team,,19-40,,
9:11.0,,,19-40,,Loose ball foul by E. Ilyasova (drawn by M. Thornton)
9:11.0,O. Porter enters the game for S. Mac,,19-40,,
9:04.0,T. Burke makes 2-pt shot from 17 ft,2,21-40,,
8:52.0,,,21-40,,Turnover by E. Ilyasova (lost ball; steal by M. Morris)
8:49.0,T. Burke misses 2-pt shot from 2 ft,,21-40,,
8:48.0,,,21-40,,Defensive rebound by S. Rodriguez
8:42.0,,,21-42,2,G. Henderson makes 2-pt shot from 1 ft (assist by S. Rodriguez)
8:42.0,Shooting block foul by M. Gortat (drawn by G. Henderson),,21-42,,
8:42.0,,,21-43,1,G. Henderson makes free throw 1 of 1
8:42.0,,,21-42,,R. Covington enters the game for H. Thompson
8:42.0,T. Satoransky enters the game for T. Burke,,21-42,,
8:26.0,M. Morris makes 2-pt shot from 10 ft,2,23-43,,
8:07.0,,,23-45,2,J. Okafor makes 2-pt shot from 12 ft
7:47.0,M. Morris misses 2-pt shot from 6 ft,,23-45,,
7:46.0,,,23-45,,Defensive rebound by E. Ilyasova
7:35.0,,,23-47,2,J. Okafor makes 2-pt shot from 8 ft (assist by S. Rodriguez)
7:25.0,Washington full timeout,,23-47,,
7:18.0,T. Satoransky makes 2-pt shot from 18 ft,2,25-47,,
7:06.0,,,25-47,,Turnover by R. Covington (lost ball)
6:46.0,M. Gortat makes 2-pt shot from 9 ft,2,27-47,,
6:22.0,,,27-47,,Shooting foul by M. Thornton (drawn by R. Covington)
6:22.0,,,27-47,,R. Covington misses free throw 1 of 2
6:22.0,,,27-47,,Offensive rebound by Team
6:22.0,,,27-48,1,R. Covington makes free throw 2 of 2
6:22.0,,,27-47,,R. Holmes enters the game for J. Okafor
6:11.0,Shooting foul by E. Ilyasova (drawn by T. Satoransky),,27-48,,
6:11.0,T. Satoransky misses free throw 1 of 2,,27-48,,
6:11.0,Offensive rebound by Team,,27-48,,
6:11.0,T. Satoransky misses free throw 2 of 2,,27-48,,
6:11.0,,,27-48,,D. Saric enters the game for E. Ilyasova
6:10.0,,,27-48,,Defensive rebound by R. Holmes
5:58.0,,,27-48,,D. Saric misses 3-pt shot from 26 ft
5:56.0,,,27-48,,Offensive rebound by R. Holmes
5:42.0,,,27-48,,Turnover by D. Saric (traveling)
5:33.0,M. Morris makes 2-pt shot from 18 ft (assist by M. Thornton),2,29-48,,
5:32.0,,,29-48,,Philadelphia full timeout
5:11.0,,,29-48,,S. Rodriguez misses 2-pt shot from 18 ft
5:10.0,Defensive rebound by M. Gortat,,29-48,,
4:53.0,M. Morris misses 2-pt shot from 13 ft,,29-48,,
4:52.0,,,29-48,,Defensive rebound by S. Rodriguez
4:46.0,,,29-50,2,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez)
4:28.0,M. Thornton makes 2-pt shot from 8 ft,2,31-50,,
4:24.0,Personal foul by M. Thornton (drawn by S. Rodriguez),,31-50,,
4:24.0,,,31-51,1,S. Rodriguez makes free throw 1 of 2
4:24.0,,,31-51,,S. Rodriguez misses free throw 2 of 2
4:24.0,,,31-51,,N. Stauskas enters the game for R. Covington
4:23.0,Defensive rebound by M. Gortat,,31-51,,
4:10.0,O. Porter misses 2-pt shot from 17 ft,,31-51,,
4:09.0,Offensive rebound by T. Satoransky,,31-51,,
4:07.0,M. Thornton makes 3-pt shot from 26 ft (assist by T. Satoransky),3,34-51,,
3:43.0,,,34-53,2,G. Henderson makes 2-pt shot from 12 ft
3:35.0,M. Thornton makes 3-pt shot from 26 ft,3,37-53,,
3:10.0,,,37-53,,D. Saric misses 2-pt shot from 16 ft
3:08.0,Defensive rebound by M. Gortat,,37-53,,
3:02.0,M. Thornton misses 3-pt shot from 25 ft,,37-53,,
3:01.0,Offensive rebound by M. Morris,,37-53,,
3:00.0,M. Morris makes 2-pt shot from 1 ft,2,39-53,,
2:39.0,,,39-53,,Turnover by S. Rodriguez (bad pass; steal by O. Porter)
2:30.0,,,39-53,,T. McConnell enters the game for S. Rodriguez
2:30.0,,,39-53,,J. Okafor enters the game for R. Holmes
2:30.0,,,39-53,,H. Thompson enters the game for G. Henderson
2:25.0,M. Morris misses 2-pt shot from 1 ft,,39-53,,
2:24.0,Offensive rebound by M. Morris,,39-53,,
2:23.0,M. Morris misses 2-pt shot from 1 ft,,39-53,,
2:22.0,,,39-53,,Defensive rebound by D. Saric
2:17.0,,,39-53,,Turnover by N. Stauskas (bad pass; steal by O. Porter)
2:14.0,Shooting foul by J. Okafor (drawn by M. Morris),,39-53,,
2:14.0,M. Morris makes free throw 1 of 2,1,40-53,,
2:14.0,M. Morris makes free throw 2 of 2,1,41-53,,
2:14.0,,,40-53,,R. Holmes enters the game for J. Okafor
2:03.0,,,41-53,,Turnover by T. McConnell (bad pass; steal by O. Porter)
1:59.0,M. Thornton makes 2-pt shot from 1 ft (assist by O. Porter),2,43-53,,
1:38.0,,,43-55,2,N. Stauskas makes 2-pt shot from 2 ft (assist by T. McConnell)
1:26.0,O. Porter makes 2-pt shot from 1 ft (assist by M. Gortat),2,45-55,,
1:15.0,,,45-58,3,H. Thompson makes 3-pt shot from 25 ft (assist by T. McConnell)
0:56.0,O. Porter makes 3-pt shot from 24 ft (assist by T. Satoransky),3,48-58,,
0:34.0,,,48-58,,Offensive charge foul by D. Saric
0:34.0,,,48-58,,Turnover by D. Saric (offensive foul)
0:14.0,Turnover by T. Satoransky (bad pass; steal by N. Stauskas),,48-58,,
0:02.0,,,48-58,,Shooting foul by M. Morris (drawn by N. Stauskas)
0:02.0,,,48-58,,N. Stauskas misses free throw 1 of 2
0:02.0,,,48-58,,Offensive rebound by Team
0:02.0,,,48-59,1,N. Stauskas makes free throw 2 of 2
0:02.0,S. Mac enters the game for M. Morris,,48-58,,
0:02.0,,,48-58,,R. Covington enters the game for R. Holmes
0:01.0,T. Satoransky misses 3-pt shot from 45 ft,,48-59,,
0:00.0,Offensive rebound by Team,,48-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Offensive foul by M. Gortat,,48-59,,
11:43.0,Turnover by M. Gortat (offensive foul),,48-59,,
11:28.0,,,48-59,,R. Covington misses 3-pt shot from 26 ft
11:27.0,Defensive rebound by M. Gortat,,48-59,,
11:18.0,J. Wall misses 2-pt shot from 9 ft,,48-59,,
11:17.0,,,48-59,,Defensive rebound by J. Okafor
11:07.0,,,48-59,,J. Okafor misses 2-pt shot from 18 ft
11:06.0,Defensive rebound by M. Gortat,,48-59,,
10:58.0,M. Morris makes 3-pt shot from 25 ft (assist by M. Thornton),3,51-59,,
10:43.0,,,51-59,,R. Covington misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by M. Gortat,,51-59,,
10:35.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Thornton),3,54-59,,
10:35.0,,,54-59,,Philadelphia full timeout
10:35.0,,,54-59,,N. Stauskas enters the game for R. Covington
10:19.0,,,54-62,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by G. Henderson)
10:12.0,O. Porter misses 3-pt shot from 25 ft,,54-62,,
10:11.0,Offensive rebound by O. Porter,,54-62,,
10:10.0,O. Porter misses 2-pt shot from 3 ft,,54-62,,
10:10.0,,,54-62,,Defensive rebound by Team
10:09.0,Loose ball foul by O. Porter (drawn by E. Ilyasova),,54-62,,
9:54.0,,,54-62,,N. Stauskas misses 2-pt shot from 2 ft
9:52.0,Defensive rebound by O. Porter,,54-62,,
9:45.0,J. Wall misses 3-pt shot from 25 ft,,54-62,,
9:44.0,,,54-62,,Defensive rebound by J. Okafor
9:28.0,,,54-62,,S. Rodriguez misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by J. Wall,,54-62,,
9:20.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,56-62,,
9:20.0,Shooting foul by N. Stauskas (drawn by M. Gortat),,56-62,,
9:20.0,Turnover by M. Gortat (lane violation.),,56-62,,
9:20.0,M. Gortat misses free throw 1 of 1,,56-62,,
9:20.0,,,56-62,,Offensive rebound by Team
8:59.0,,,56-64,2,J. Okafor makes 2-pt shot from 15 ft
8:45.0,J. Wall makes 2-pt shot from 2 ft,2,58-64,,
8:22.0,,,58-64,,J. Okafor misses 2-pt shot from 11 ft
8:21.0,Defensive rebound by M. Morris,,58-64,,
8:16.0,J. Wall misses 2-pt shot from 1 ft,,58-64,,
8:15.0,,,58-64,,Defensive rebound by G. Henderson
8:04.0,,,58-67,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by S. Rodriguez)
7:46.0,M. Thornton misses 3-pt shot from 25 ft,,58-67,,
7:45.0,,,58-67,,Defensive rebound by J. Okafor
7:35.0,,,58-69,2,G. Henderson makes 2-pt shot from 11 ft (assist by S. Rodriguez)
7:35.0,Washington full timeout,,58-69,,
7:35.0,,,58-69,,R. Holmes enters the game for J. Okafor
7:13.0,M. Morris makes 3-pt shot from 27 ft (assist by J. Wall),3,61-69,,
6:47.0,,,61-71,2,N. Stauskas makes 2-pt shot from 1 ft (assist by R. Holmes)
6:31.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,64-71,,
6:24.0,,,64-71,,Turnover by S. Rodriguez (bad pass)
6:24.0,,,64-71,,T. McConnell enters the game for S. Rodriguez
6:03.0,Turnover by M. Gortat (bad pass; steal by R. Holmes),,64-71,,
5:54.0,,,64-71,,E. Ilyasova misses 3-pt shot from 25 ft
5:53.0,,,64-71,,Offensive rebound by R. Holmes
5:38.0,,,64-71,,Shooting foul by J. Wall (drawn by E. Ilyasova)
5:38.0,,,64-72,1,E. Ilyasova makes free throw 1 of 2
5:38.0,,,64-73,1,E. Ilyasova makes free throw 2 of 2
5:38.0,,,64-72,,H. Thompson enters the game for G. Henderson
5:25.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,66-73,,
5:04.0,,,66-75,2,N. Stauskas makes 2-pt shot from 14 ft (assist by T. McConnell)
4:42.0,M. Thornton misses 2-pt shot from 11 ft,,66-75,,
4:42.0,Offensive rebound by O. Porter,,66-75,,
4:39.0,O. Porter misses 2-pt shot from 2 ft,,66-75,,
4:38.0,Offensive rebound by M. Gortat,,66-75,,
4:33.0,J. Wall misses 2-pt shot from 21 ft,,66-75,,
4:32.0,Offensive rebound by Team,,66-75,,
4:32.0,,,66-75,,Loose ball foul by R. Holmes (drawn by M. Gortat)
4:32.0,,,66-75,,D. Saric enters the game for E. Ilyasova
4:22.0,O. Porter misses 3-pt shot from 25 ft,,66-75,,
4:21.0,,,66-75,,Defensive rebound by D. Saric
4:04.0,,,66-78,3,R. Holmes makes 3-pt shot from 25 ft (assist by D. Saric)
3:50.0,Shooting foul by D. Saric (drawn by J. Wall),,66-78,,
3:50.0,J. Wall misses free throw 1 of 2,,66-78,,
3:50.0,Offensive rebound by Team,,66-78,,
3:50.0,J. Wall makes free throw 2 of 2,1,67-78,,
3:50.0,S. Mac enters the game for M. Gortat,,66-78,,
3:30.0,,,67-78,,N. Stauskas misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by J. Wall,,67-78,,
3:24.0,Shooting foul by H. Thompson (drawn by J. Wall),,67-78,,
3:24.0,J. Wall makes free throw 1 of 2,1,68-78,,
3:24.0,J. Wall makes free throw 2 of 2,1,69-78,,
3:12.0,,,69-78,,H. Thompson misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by J. Wall,,69-78,,
3:01.0,J. Wall makes 2-pt shot from 10 ft,2,71-78,,
2:48.0,,,71-80,2,H. Thompson makes 2-pt shot from 2 ft (assist by R. Holmes)
2:48.0,,,71-80,,Shooting foul by M. Thornton (drawn by H. Thompson)
2:48.0,,,71-80,,H. Thompson misses free throw 1 of 1
2:48.0,T. Satoransky enters the game for J. Wall,,71-80,,
2:48.0,,,71-80,,J. Okafor enters the game for R. Holmes
2:47.0,Defensive rebound by M. Morris,,71-80,,
2:29.0,T. Satoransky makes 2-pt shot from 9 ft,2,73-80,,
2:19.0,,,73-80,,Turnover by T. McConnell (lost ball)
2:05.0,M. Morris misses 2-pt shot from 16 ft,,73-80,,
2:04.0,,,73-80,,Defensive rebound by H. Thompson
1:56.0,Personal foul by T. Satoransky (drawn by J. Okafor),,73-80,,
1:56.0,,,73-80,,S. Rodriguez enters the game for T. McConnell
1:46.0,,,73-82,2,J. Okafor makes 2-pt shot from 5 ft (assist by H. Thompson)
1:46.0,,,73-82,,Shooting foul by M. Morris (drawn by J. Okafor)
1:46.0,,,73-83,1,J. Okafor makes free throw 1 of 1
1:46.0,J. Smith enters the game for M. Morris,,73-82,,
1:39.0,,,73-83,,Personal foul by H. Thompson (drawn by S. Mac)
1:39.0,S. Mac makes free throw 1 of 2,1,74-83,,
1:39.0,S. Mac makes free throw 2 of 2,1,75-83,,
1:27.0,,,75-85,2,N. Stauskas makes 2-pt shot from 2 ft (assist by S. Rodriguez)
1:16.0,M. Thornton misses 2-pt shot from 16 ft,,75-85,,
1:15.0,,,75-85,,Defensive rebound by D. Saric
1:07.0,,,75-85,,D. Saric misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by M. Thornton,,75-85,,
0:56.0,J. Smith misses 2-pt shot from 19 ft,,75-85,,
0:55.0,,,75-85,,Defensive rebound by D. Saric
0:38.0,,,75-88,3,N. Stauskas makes 3-pt shot from 23 ft (assist by S. Rodriguez)
0:19.0,Shooting foul by J. Okafor (drawn by T. Satoransky),,75-88,,
0:19.0,T. Satoransky makes free throw 1 of 2,1,76-88,,
0:19.0,T. Satoransky misses free throw 2 of 2,,76-88,,
0:19.0,,,76-88,,E. Ilyasova enters the game for J. Okafor
0:17.0,Offensive rebound by O. Porter,,76-88,,
0:01.0,M. Thornton misses 2-pt shot from 18 ft,,76-88,,
0:00.0,,,76-88,,Defensive rebound by N. Stauskas
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,76-90,2,J. Okafor makes 2-pt shot from 1 ft (assist by N. Stauskas)
11:24.0,J. Smith makes 2-pt shot from 14 ft (assist by M. Thornton),2,78-90,,
11:06.0,,,78-92,2,D. Saric makes 2-pt shot from 1 ft (assist by S. Rodriguez)
11:06.0,,,78-92,,Shooting foul by J. Smith (drawn by D. Saric)
11:06.0,,,78-93,1,D. Saric makes free throw 1 of 1
10:52.0,T. Satoransky makes 2-pt shot from 2 ft (assist by M. Thornton),2,80-93,,
10:46.0,,,80-93,,Philadelphia full timeout
10:46.0,M. Gortat enters the game for J. Smith,,80-93,,
10:46.0,,,80-93,,R. Covington enters the game for N. Stauskas
10:31.0,,,80-95,2,D. Saric makes 2-pt shot from 2 ft (assist by J. Okafor)
10:03.0,M. Thornton misses 2-pt shot from 20 ft,,80-95,,
10:02.0,Offensive rebound by O. Porter,,80-95,,
9:57.0,O. Porter makes 2-pt shot from 14 ft,2,82-95,,
9:45.0,,,82-95,,D. Saric misses 2-pt shot from 14 ft
9:43.0,Defensive rebound by M. Thornton,,82-95,,
9:36.0,O. Porter misses 2-pt shot from 20 ft,,82-95,,
9:35.0,,,82-95,,Defensive rebound by J. Okafor
9:15.0,,,82-95,,Offensive foul by J. Okafor
9:15.0,,,82-95,,Turnover by J. Okafor (offensive foul)
9:15.0,,,82-95,,R. Holmes enters the game for J. Okafor
9:15.0,M. Morris enters the game for M. Thornton,,82-95,,
9:09.0,,,82-95,,Personal foul by R. Covington (drawn by T. Satoransky)
9:01.0,S. Mac misses 2-pt shot from 2 ft,,82-95,,
9:00.0,,,82-95,,Defensive rebound by S. Rodriguez
8:47.0,,,82-95,,R. Covington misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by Team,,82-95,,
8:27.0,M. Morris misses 2-pt shot from 8 ft,,82-95,,
8:26.0,Offensive rebound by M. Gortat,,82-95,,
8:19.0,O. Porter makes 3-pt shot from 23 ft (assist by T. Satoransky),3,85-95,,
7:57.0,,,85-95,,Turnover by S. Rodriguez (bad pass; steal by S. Mac)
7:50.0,O. Porter misses 2-pt shot from 20 ft,,85-95,,
7:49.0,,,85-95,,Defensive rebound by S. Rodriguez
7:30.0,,,85-95,,H. Thompson misses 2-pt shot from 22 ft
7:29.0,Defensive rebound by O. Porter,,85-95,,
7:17.0,,,85-95,,E. Ilyasova enters the game for D. Saric
7:17.0,J. Wall enters the game for O. Porter,,85-95,,
7:17.0,,,85-95,,T. McConnell enters the game for S. Rodriguez
7:17.0,,,85-95,,G. Henderson enters the game for H. Thompson
7:16.0,Jump ball: R. Covington vs. M. Morris,,,,Jump ball: R. Covington vs. M. Morris
7:07.0,J. Wall makes 2-pt shot from 2 ft,2,87-95,,
6:43.0,,,87-97,2,R. Covington makes 2-pt shot from 1 ft
6:22.0,J. Wall misses 3-pt shot from 25 ft,,87-97,,
6:21.0,,,87-97,,Defensive rebound by R. Covington
6:09.0,,,87-97,,Turnover by T. McConnell (bad pass; steal by S. Mac)
6:07.0,,,87-97,,Personal foul by R. Covington (drawn by S. Mac)
5:59.0,,,87-97,,Personal foul by G. Henderson (drawn by M. Morris)
5:59.0,Official timeout,,87-97,,
5:51.0,S. Mac misses 3-pt shot from 23 ft,,87-97,,
5:50.0,,,87-97,,Defensive rebound by T. McConnell
5:35.0,,,87-99,2,T. McConnell makes 2-pt shot from 6 ft
5:23.0,S. Mac misses 3-pt shot from 25 ft,,87-99,,
5:22.0,,,87-99,,Defensive rebound by R. Covington
4:59.0,,,87-99,,G. Henderson misses 3-pt shot from 23 ft
4:58.0,Defensive rebound by M. Gortat,,87-99,,
4:47.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,89-99,,
4:30.0,,,89-99,,E. Ilyasova misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by S. Mac,,89-99,,
4:19.0,J. Wall misses 2-pt shot from 7 ft,,89-99,,
4:18.0,Offensive rebound by S. Mac,,89-99,,
4:18.0,Turnover by S. Mac (offensive foul),,89-99,,
4:18.0,Offensive charge foul by S. Mac,,89-99,,
4:18.0,,,89-99,,J. Okafor enters the game for R. Holmes
4:18.0,M. Thornton enters the game for S. Mac,,89-99,,
