time,Memphis,pts.away,score,pts.home,Boston
2:45.0,Defensive rebound by V. Carter,,19-21,,
2:32.0,Offensive charge foul by V. Carter,,19-21,,
2:32.0,Turnover by V. Carter (offensive foul),,19-21,,
2:32.0,,,19-21,,Boston full timeout
2:32.0,,,19-21,,G. Green enters the game for J. Crowder
2:32.0,,,19-21,,J. Jerebko enters the game for A. Johnson
2:18.0,,,19-24,3,A. Bradley makes 3-pt shot from 25 ft (assist by M. Smart)
1:58.0,T. Daniels misses 2-pt shot from 19 ft,,19-24,,
1:57.0,,,19-24,,Defensive rebound by J. Jerebko
1:45.0,,,19-26,2,A. Bradley makes 2-pt shot from 2 ft (assist by J. Jerebko)
1:22.0,Z. Randolph makes 2-pt shot from 4 ft (assist by V. Carter),2,21-26,,
1:13.0,,,21-26,,Turnover by K. Olynyk (lost ball; steal by V. Carter)
1:01.0,Z. Randolph misses 2-pt shot from 18 ft,,21-26,,
1:00.0,,,21-26,,Defensive rebound by K. Olynyk
0:49.0,,,21-26,,J. Jerebko misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by Z. Randolph,,21-26,,
0:37.0,T. Daniels makes 3-pt shot from 23 ft (assist by A. Harrison),3,24-26,,
0:31.0,,,24-26,,A. Bradley misses 3-pt shot from 25 ft
0:30.0,,,24-26,,Offensive rebound by G. Green
0:30.0,,,24-26,,G. Green misses 2-pt shot from 2 ft
0:29.0,,,24-26,,Offensive rebound by K. Olynyk
0:29.0,,,24-28,2,K. Olynyk makes 2-pt shot from 1 ft
0:13.0,T. Daniels misses 3-pt shot from 26 ft,,24-28,,
0:13.0,Offensive rebound by J. Martin,,24-28,,
0:13.0,J. Martin misses 2-pt shot from 1 ft,,24-28,,
0:10.0,,,24-28,,Defensive rebound by K. Olynyk
0:02.0,,,24-28,,K. Olynyk misses 3-pt shot from 26 ft
0:01.0,,,24-28,,Offensive rebound by M. Smart
0:01.0,,,24-28,,M. Smart misses 2-pt shot from 7 ft
0:00.0,,,24-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-30,2,G. Green makes 2-pt shot from 17 ft (assist by K. Olynyk)
11:22.0,Shooting foul by K. Olynyk (drawn by M. Gasol),,24-30,,
11:22.0,M. Gasol makes free throw 1 of 2,1,25-30,,
11:22.0,M. Gasol makes free throw 2 of 2,1,26-30,,
11:22.0,,,25-30,,A. Johnson enters the game for J. Jerebko
11:08.0,,,26-32,2,M. Smart makes 2-pt shot from 15 ft
10:51.0,Z. Randolph misses 2-pt shot from 18 ft,,26-32,,
10:50.0,,,26-32,,Defensive rebound by A. Johnson
10:42.0,,,26-32,,I. Thomas misses 2-pt shot from 2 ft (block by M. Gasol)
10:41.0,,,26-32,,Offensive rebound by A. Johnson
10:41.0,,,26-32,,A. Johnson misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by T. Allen,,26-32,,
10:36.0,Turnover by M. Gasol (traveling),,26-32,,
10:29.0,,,26-35,3,G. Green makes 3-pt shot from 24 ft (assist by A. Johnson)
10:22.0,Memphis full timeout,,26-35,,
10:03.0,V. Carter makes 3-pt shot from 26 ft (assist by M. Gasol),3,29-35,,
9:44.0,,,29-37,2,G. Green makes 2-pt shot from 15 ft (assist by M. Smart)
9:29.0,T. Allen makes 2-pt shot at rim,2,31-37,,
9:29.0,Shooting foul by A. Johnson (drawn by T. Allen),,31-37,,
9:29.0,T. Allen makes free throw 1 of 1,1,32-37,,
9:29.0,A. Harrison enters the game for V. Carter,,31-37,,
9:15.0,,,32-40,3,K. Olynyk makes 3-pt shot from 26 ft (assist by M. Smart)
8:54.0,M. Gasol misses 2-pt shot from 5 ft,,32-40,,
8:53.0,Offensive rebound by Team,,32-40,,
8:53.0,,,32-40,,Loose ball foul by K. Olynyk (drawn by Z. Randolph)
8:46.0,M. Gasol misses 3-pt shot from 25 ft,,32-40,,
8:44.0,,,32-40,,Defensive rebound by M. Smart
8:39.0,,,32-40,,I. Thomas misses 3-pt shot from 25 ft
8:38.0,,,32-40,,Offensive rebound by G. Green
8:34.0,,,32-43,3,G. Green makes 3-pt shot from 26 ft
8:16.0,Turnover by M. Gasol (lost ball; steal by A. Johnson),,32-43,,
8:08.0,,,32-43,,G. Green misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by Z. Randolph,,32-43,,
7:53.0,,,32-43,,Personal foul by A. Johnson (drawn by M. Gasol)
7:53.0,J. Ennis enters the game for T. Daniels,,32-43,,
7:43.0,,,32-43,,Personal foul by I. Thomas (drawn by M. Gasol)
7:43.0,M. Gasol makes free throw 1 of 2,1,33-43,,
7:43.0,M. Gasol makes free throw 2 of 2,1,34-43,,
7:43.0,J. Green enters the game for Z. Randolph,,33-43,,
7:43.0,,,33-43,,A. Horford enters the game for A. Johnson
7:30.0,,,34-45,2,I. Thomas makes 2-pt shot from 2 ft (assist by K. Olynyk)
7:16.0,T. Allen makes 2-pt shot from 6 ft (assist by M. Gasol),2,36-45,,
6:59.0,,,36-47,2,I. Thomas makes 2-pt shot from 1 ft (assist by K. Olynyk)
6:59.0,,,36-47,,Shooting foul by T. Allen (drawn by I. Thomas)
6:59.0,,,36-48,1,I. Thomas makes free throw 1 of 1
6:59.0,,,36-47,,J. Crowder enters the game for G. Green
6:43.0,A. Harrison misses 2-pt shot from 6 ft (block by K. Olynyk),,36-48,,
6:42.0,,,36-48,,Defensive rebound by K. Olynyk
6:41.0,Loose ball foul by A. Harrison (drawn by K. Olynyk),,36-48,,
6:26.0,,,36-48,,A. Horford misses 2-pt shot from 17 ft
6:25.0,Defensive rebound by J. Ennis,,36-48,,
6:16.0,T. Allen misses 2-pt shot from 4 ft (block by M. Smart),,36-48,,
6:15.0,Offensive rebound by T. Allen,,36-48,,
6:14.0,T. Allen makes 2-pt shot from 1 ft,2,38-48,,
6:07.0,,,38-48,,Boston full timeout
6:07.0,Technical foul by T. Allen,,38-48,,
6:07.0,,,38-49,1,I. Thomas makes technical free throw
6:07.0,,,38-49,,A. Bradley enters the game for I. Thomas
5:52.0,,,38-49,,A. Bradley misses 2-pt shot from 23 ft
5:51.0,,,38-49,,Offensive rebound by Team
5:51.0,Loose ball foul by T. Allen (drawn by A. Horford),,38-49,,
5:37.0,,,38-49,,M. Smart misses 2-pt shot from 3 ft (block by M. Gasol)
5:36.0,Defensive rebound by Team,,38-49,,
5:17.0,J. Green misses 2-pt shot from 3 ft (block by A. Horford),,38-49,,
5:16.0,Offensive rebound by Team,,38-49,,
5:15.0,Shooting foul by K. Olynyk (drawn by A. Harrison),,38-49,,
5:15.0,A. Harrison misses free throw 1 of 2,,38-49,,
5:15.0,Offensive rebound by Team,,38-49,,
5:15.0,A. Harrison makes free throw 2 of 2,1,39-49,,
5:15.0,,,38-49,,A. Johnson enters the game for K. Olynyk
5:01.0,,,39-49,,A. Johnson misses 2-pt shot from 2 ft (block by J. Green)
4:59.0,,,39-49,,Offensive rebound by A. Johnson
4:52.0,,,39-49,,M. Smart misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by A. Harrison,,39-49,,
4:49.0,Turnover by A. Harrison (lost ball; steal by A. Bradley),,39-49,,
4:48.0,Personal foul by A. Harrison (drawn by A. Bradley),,39-49,,
4:48.0,Z. Randolph enters the game for M. Gasol,,39-49,,
4:40.0,Violation by T. Allen (kicked ball),,39-49,,
4:40.0,V. Carter enters the game for J. Ennis,,39-49,,
4:33.0,,,39-49,,A. Bradley misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by J. Green,,39-49,,
4:23.0,,,39-49,,Personal foul by A. Bradley (drawn by V. Carter)
4:23.0,V. Carter misses free throw 1 of 2,,39-49,,
4:23.0,Offensive rebound by Team,,39-49,,
4:23.0,V. Carter misses free throw 2 of 2,,39-49,,
4:23.0,,,39-49,,Defensive rebound by A. Johnson
4:23.0,,,39-49,,I. Thomas enters the game for M. Smart
4:23.0,T. Daniels enters the game for T. Allen,,39-49,,
4:09.0,,,39-49,,A. Horford misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by J. Green,,39-49,,
3:58.0,V. Carter misses 2-pt shot from 5 ft,,39-49,,
3:57.0,Offensive rebound by Z. Randolph,,39-49,,
3:56.0,Shooting foul by J. Crowder (drawn by Z. Randolph),,39-49,,
3:56.0,Z. Randolph makes free throw 1 of 2,1,40-49,,
3:56.0,Z. Randolph makes free throw 2 of 2,1,41-49,,
3:45.0,,,41-49,,J. Crowder misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by Z. Randolph,,41-49,,
3:26.0,Z. Randolph makes 2-pt shot from 6 ft,2,43-49,,
3:08.0,,,43-52,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
2:52.0,Turnover by Z. Randolph (bad pass),,43-52,,
2:52.0,Official timeout,,43-52,,
2:52.0,,,43-52,,J. Jerebko enters the game for A. Johnson
2:52.0,M. Gasol enters the game for J. Green,,43-52,,
2:40.0,,,43-52,,I. Thomas misses 2-pt shot from 8 ft
2:39.0,Defensive rebound by M. Gasol,,43-52,,
2:24.0,V. Carter misses 3-pt shot from 26 ft,,43-52,,
2:23.0,,,43-52,,Defensive rebound by J. Crowder
2:09.0,,,43-54,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas)
1:49.0,T. Daniels misses 3-pt shot from 26 ft,,43-54,,
1:48.0,,,43-54,,Defensive rebound by J. Crowder
1:28.0,,,43-54,,J. Crowder misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by A. Harrison,,43-54,,
1:21.0,V. Carter misses 3-pt shot from 26 ft,,43-54,,
1:20.0,,,43-54,,Defensive rebound by A. Horford
1:09.0,,,43-54,,A. Horford misses 2-pt shot from 10 ft
1:08.0,,,43-54,,Offensive rebound by A. Horford
1:08.0,,,43-56,2,A. Horford makes 2-pt shot from 2 ft
0:53.0,T. Daniels misses 3-pt shot from 25 ft,,43-56,,
0:51.0,Offensive rebound by Team,,43-56,,
0:42.0,T. Daniels makes 3-pt shot from 25 ft,3,46-56,,
0:36.0,,,46-56,,I. Thomas misses 3-pt shot from 27 ft
0:35.0,Defensive rebound by V. Carter,,46-56,,
0:33.0,A. Harrison makes 2-pt shot at rim,2,48-56,,
0:17.0,,,48-56,,Turnover by I. Thomas (bad pass; steal by V. Carter)
0:09.0,T. Daniels misses 3-pt shot from 25 ft,,48-56,,
0:08.0,Offensive rebound by Z. Randolph,,48-56,,
0:08.0,Z. Randolph misses 2-pt shot from 1 ft,,48-56,,
0:07.0,Offensive rebound by A. Harrison,,48-56,,
0:00.0,V. Carter misses 3-pt shot from 25 ft,,48-56,,
0:00.0,Offensive rebound by Team,,48-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,48-56,,Shooting foul by T. Allen (drawn by A. Bradley)
11:49.0,,,48-57,1,A. Bradley makes free throw 1 of 2
11:49.0,,,48-57,,A. Bradley misses free throw 2 of 2
11:47.0,Defensive rebound by T. Allen,,48-57,,
11:32.0,,,48-57,,Personal foul by I. Thomas (drawn by A. Harrison)
11:25.0,M. Gasol misses 3-pt shot from 25 ft,,48-57,,
11:24.0,,,48-57,,Defensive rebound by I. Thomas
11:14.0,,,48-57,,A. Johnson misses 2-pt shot from 5 ft (block by M. Gasol)
11:13.0,Defensive rebound by M. Gasol,,48-57,,
11:05.0,T. Allen misses 2-pt shot from 3 ft (block by A. Bradley),,48-57,,
11:04.0,Offensive rebound by T. Allen,,48-57,,
11:03.0,Shooting foul by A. Bradley (drawn by T. Allen),,48-57,,
11:03.0,T. Allen makes free throw 1 of 2,1,49-57,,
11:03.0,T. Allen misses free throw 2 of 2,,49-57,,
11:03.0,,,49-57,,Defensive rebound by J. Crowder
10:46.0,,,49-57,,A. Bradley misses 2-pt shot at rim
10:45.0,Defensive rebound by J. Green,,49-57,,
10:38.0,J. Ennis misses 2-pt shot from 2 ft,,49-57,,
10:37.0,,,49-57,,Defensive rebound by A. Johnson
10:30.0,,,49-59,2,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas)
10:10.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Gasol),3,52-59,,
10:01.0,,,52-59,,I. Thomas misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by J. Green,,52-59,,
9:54.0,J. Green makes 2-pt shot at rim (assist by M. Gasol),2,54-59,,
9:54.0,,,54-59,,Boston full timeout
9:36.0,,,54-62,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
9:14.0,M. Gasol misses 2-pt shot from 12 ft,,54-62,,
9:13.0,,,54-62,,Defensive rebound by J. Crowder
9:06.0,,,54-62,,Turnover by J. Crowder (bad pass; steal by M. Gasol)
8:51.0,M. Gasol makes 2-pt shot from 16 ft (assist by A. Harrison),2,56-62,,
8:33.0,Shooting block foul by J. Ennis (drawn by J. Crowder),,56-62,,
8:33.0,,,56-63,1,J. Crowder makes free throw 1 of 2
8:33.0,,,56-64,1,J. Crowder makes free throw 2 of 2
8:16.0,J. Ennis makes 2-pt shot from 1 ft (assist by A. Harrison),2,58-64,,
7:55.0,,,58-64,,Turnover by A. Horford (bad pass; steal by J. Green)
7:49.0,T. Allen makes 2-pt shot from 2 ft,2,60-64,,
7:42.0,,,60-64,,A. Bradley misses 2-pt shot from 1 ft (block by J. Green)
7:40.0,Defensive rebound by M. Gasol,,60-64,,
7:24.0,M. Gasol misses 2-pt shot from 13 ft,,60-64,,
7:23.0,Offensive rebound by T. Allen,,60-64,,
7:23.0,Shooting foul by A. Johnson (drawn by T. Allen),,60-64,,
7:23.0,T. Allen misses free throw 1 of 2,,60-64,,
7:23.0,Offensive rebound by Team,,60-64,,
7:23.0,T. Allen makes free throw 2 of 2,1,61-64,,
7:23.0,,,60-64,,J. Brown enters the game for A. Johnson
7:23.0,V. Carter enters the game for J. Ennis,,60-64,,
7:11.0,,,61-66,2,A. Horford makes 2-pt shot from 23 ft (assist by I. Thomas)
6:56.0,Shooting foul by A. Bradley (drawn by J. Green),,61-66,,
6:56.0,J. Green makes free throw 1 of 2,1,62-66,,
6:56.0,J. Green makes free throw 2 of 2,1,63-66,,
6:42.0,,,63-69,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Brown)
6:27.0,M. Gasol misses 2-pt shot from 5 ft (block by J. Crowder),,63-69,,
6:26.0,Offensive rebound by Team,,63-69,,
6:19.0,A. Harrison misses 2-pt shot from 19 ft,,63-69,,
6:18.0,,,63-69,,Defensive rebound by A. Bradley
6:07.0,,,63-69,,A. Horford misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by Team,,63-69,,
5:51.0,J. Green makes 2-pt shot from 22 ft (assist by M. Gasol),2,65-69,,
5:33.0,,,65-69,,A. Horford misses 2-pt shot from 7 ft
5:32.0,Defensive rebound by Team,,65-69,,
5:16.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,67-69,,
5:07.0,Personal foul by M. Gasol (drawn by I. Thomas),,67-69,,
5:07.0,,,67-69,,M. Smart enters the game for I. Thomas
5:07.0,T. Daniels enters the game for T. Allen,,67-69,,
4:58.0,,,67-71,2,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart)
4:58.0,,,67-71,,Shooting foul by T. Daniels (drawn by A. Bradley)
4:58.0,,,67-72,1,A. Bradley makes free throw 1 of 1
4:38.0,A. Harrison makes 2-pt shot from 1 ft (assist by M. Gasol),2,69-72,,
4:26.0,,,69-72,,M. Smart misses 2-pt shot from 10 ft
4:25.0,Defensive rebound by V. Carter,,69-72,,
4:07.0,M. Gasol misses 2-pt shot from 18 ft,,69-72,,
4:06.0,,,69-72,,Defensive rebound by J. Crowder
3:56.0,,,69-74,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Horford)
3:55.0,Memphis full timeout,,69-74,,
3:55.0,Z. Randolph enters the game for M. Gasol,,69-74,,
3:43.0,V. Carter makes 2-pt shot from 1 ft (assist by Z. Randolph),2,71-74,,
3:30.0,,,71-76,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley)
3:13.0,A. Harrison misses 2-pt shot from 6 ft,,71-76,,
3:12.0,,,71-76,,Defensive rebound by A. Horford
3:11.0,,,71-76,,Turnover by A. Horford (lost ball; steal by A. Harrison)
2:59.0,Shooting foul by A. Horford (drawn by A. Harrison),,71-76,,
2:59.0,A. Harrison makes free throw 1 of 2,1,72-76,,
2:59.0,A. Harrison makes free throw 2 of 2,1,73-76,,
2:59.0,,,72-76,,K. Olynyk enters the game for J. Crowder
2:59.0,,,72-76,,G. Green enters the game for J. Brown
2:40.0,,,73-76,,A. Horford misses 2-pt shot from 19 ft
2:40.0,,,73-76,,Offensive rebound by A. Bradley
2:27.0,,,73-76,,A. Horford misses 3-pt shot from 26 ft
2:23.0,,,73-76,,Offensive rebound by Team
2:21.0,,,73-78,2,A. Bradley makes 2-pt shot from 1 ft (assist by G. Green)
2:21.0,T. Allen enters the game for A. Harrison,,73-78,,
2:05.0,T. Daniels makes 2-pt shot from 18 ft (assist by T. Allen),2,75-78,,
1:52.0,,,75-78,,Shooting foul by J. Green (drawn by M. Smart)
1:52.0,,,75-78,,M. Smart misses free throw 1 of 2
1:52.0,,,75-78,,Offensive rebound by Team
1:52.0,,,75-79,1,M. Smart makes free throw 2 of 2
1:52.0,,,75-78,,A. Johnson enters the game for A. Horford
1:35.0,Z. Randolph misses 2-pt shot from 2 ft,,75-79,,
1:34.0,,,75-79,,Defensive rebound by K. Olynyk
1:21.0,,,75-82,3,M. Smart makes 3-pt shot from 28 ft
1:06.0,A. Harrison enters the game for V. Carter,,75-82,,
1:06.0,Jump ball: A. Johnson vs. Z. Randolph (M. Smart gains possession),,,,Jump ball: A. Johnson vs. Z. Randolph (M. Smart gains possession)
1:06.0,Turnover by Z. Randolph (lost ball; steal by A. Johnson),,75-82,,
1:00.0,,,75-84,2,A. Bradley makes 2-pt shot from 2 ft (assist by M. Smart)
0:38.0,J. Green makes 2-pt shot from 18 ft (assist by A. Harrison),2,77-84,,
0:31.0,,,77-84,,K. Olynyk misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by Z. Randolph,,77-84,,
0:07.0,A. Harrison misses 3-pt shot from 25 ft,,77-84,,
0:05.0,Offensive rebound by J. Green,,77-84,,
0:02.0,T. Daniels misses 3-pt shot from 26 ft,,77-84,,
0:02.0,,,77-84,,Defensive rebound by G. Green
0:00.0,,,77-84,,G. Green misses 3-pt shot from 46 ft
0:00.0,,,77-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Gasol misses 2-pt shot from 13 ft,,77-84,,
11:40.0,Offensive rebound by Z. Randolph,,77-84,,
11:39.0,Z. Randolph makes 2-pt shot from 2 ft,2,79-84,,
11:26.0,,,79-86,2,G. Green makes 2-pt shot from 1 ft (assist by I. Thomas)
11:02.0,Z. Randolph makes 2-pt shot from 16 ft,2,81-86,,
10:50.0,,,81-86,,Turnover by M. Smart (bad pass; steal by T. Allen)
10:43.0,,,81-86,,Personal foul by A. Johnson (drawn by M. Gasol)
10:26.0,T. Daniels misses 3-pt shot from 27 ft,,81-86,,
10:25.0,Offensive rebound by Team,,81-86,,
10:25.0,,,81-86,,Loose ball foul by A. Johnson (drawn by Z. Randolph)
10:25.0,,,81-86,,T. Zeller enters the game for A. Johnson
10:20.0,M. Gasol misses 3-pt shot from 26 ft,,81-86,,
10:19.0,Offensive rebound by Z. Randolph,,81-86,,
10:08.0,Z. Randolph makes 2-pt shot from 2 ft,2,83-86,,
9:52.0,Personal foul by Z. Randolph (drawn by I. Thomas),,83-86,,
9:52.0,V. Carter enters the game for T. Daniels,,83-86,,
9:45.0,,,83-86,,Shooting foul by V. Carter (drawn by I. Thomas)
9:45.0,,,83-87,1,I. Thomas makes free throw 1 of 2
9:45.0,,,83-88,1,I. Thomas makes free throw 2 of 2
9:38.0,,,83-88,,Personal foul by M. Smart (drawn by V. Carter)
9:29.0,M. Gasol makes 2-pt shot from 5 ft (assist by V. Carter),2,85-88,,
9:29.0,Shooting foul by K. Olynyk (drawn by M. Gasol),,85-88,,
9:29.0,M. Gasol makes free throw 1 of 1,1,86-88,,
9:17.0,,,86-91,3,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas)
9:00.0,V. Carter misses 3-pt shot from 25 ft,,86-91,,
9:00.0,,,86-91,,Defensive rebound by K. Olynyk
8:53.0,,,86-91,,I. Thomas misses 2-pt shot from 2 ft
8:52.0,Defensive rebound by A. Harrison,,86-91,,
8:44.0,A. Harrison makes 2-pt shot from 1 ft,2,88-91,,
8:31.0,,,88-93,2,I. Thomas makes 2-pt shot from 1 ft
8:19.0,M. Gasol makes 2-pt shot from 10 ft (assist by Z. Randolph),2,90-93,,
8:05.0,,,90-93,,Shooting foul by A. Harrison (drawn by I. Thomas)
8:05.0,Official timeout,,90-93,,
8:05.0,,,90-94,1,I. Thomas makes free throw 1 of 2
8:05.0,,,90-95,1,I. Thomas makes free throw 2 of 2
8:05.0,,,90-93,,A. Horford enters the game for K. Olynyk
8:05.0,J. Ennis enters the game for T. Allen,,90-93,,
7:48.0,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Gasol),2,92-95,,
7:32.0,,,92-98,3,G. Green makes 3-pt shot from 25 ft (assist by M. Smart)
7:16.0,Z. Randolph misses 2-pt shot from 4 ft (block by G. Green),,92-98,,
7:15.0,Offensive rebound by Z. Randolph,,92-98,,
7:14.0,Shooting foul by T. Zeller (drawn by Z. Randolph),,92-98,,
7:14.0,Z. Randolph makes free throw 1 of 2,1,93-98,,
7:14.0,Z. Randolph makes free throw 2 of 2,1,94-98,,
7:14.0,T. Allen enters the game for J. Ennis,,93-98,,
7:07.0,,,94-98,,Turnover by I. Thomas (bad pass; steal by M. Gasol)
6:46.0,Z. Randolph misses 3-pt shot from 26 ft,,94-98,,
6:44.0,,,94-98,,Defensive rebound by Team
6:18.0,,,94-98,,I. Thomas misses 3-pt shot from 25 ft
6:17.0,,,94-98,,Offensive rebound by G. Green
6:13.0,,,94-100,2,G. Green makes 2-pt shot from 4 ft
6:12.0,Memphis full timeout,,94-100,,
6:12.0,,,94-100,,J. Crowder enters the game for I. Thomas
5:50.0,V. Carter misses 2-pt shot from 3 ft,,94-100,,
5:49.0,,,94-100,,Defensive rebound by M. Smart
