time,Indiana,pts.away,score,pts.home,Memphis
6:15.0,M. Ellis misses 2-pt shot from 3 ft (block by B. Wright),,7-18,,
6:15.0,,,7-18,,Defensive rebound by Team
5:55.0,,,7-21,3,M. Conley makes 3-pt shot from 26 ft
5:42.0,T. Young misses 2-pt shot from 1 ft,,7-21,,
5:41.0,,,7-21,,Defensive rebound by V. Carter
5:35.0,,,7-24,3,M. Conley makes 3-pt shot from 26 ft
5:35.0,Indiana full timeout,,7-24,,
5:35.0,A. Brooks enters the game for J. Teague,,7-24,,
5:21.0,P. George misses 2-pt shot from 13 ft,,7-24,,
5:21.0,,,7-24,,Defensive rebound by V. Carter
4:57.0,,,7-26,2,A. Harrison makes 2-pt shot from 21 ft
4:43.0,M. Turner makes 2-pt shot from 5 ft,2,9-26,,
4:43.0,Shooting foul by B. Wright (drawn by M. Turner),,9-26,,
4:43.0,M. Turner makes free throw 1 of 1,1,10-26,,
4:43.0,C. Miles enters the game for M. Ellis,,9-26,,
4:43.0,,,9-26,,Z. Randolph enters the game for B. Wright
4:43.0,L. Allen enters the game for T. Young,,9-26,,
4:22.0,,,10-26,,Z. Randolph misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by L. Allen,,10-26,,
4:13.0,A. Brooks misses 2-pt shot from 2 ft,,10-26,,
4:11.0,,,10-26,,Defensive rebound by Z. Randolph
4:01.0,,,10-26,,Shooting foul by L. Allen (drawn by V. Carter)
4:01.0,,,10-27,1,V. Carter makes free throw 1 of 2
4:01.0,,,10-28,1,V. Carter makes free throw 2 of 2
4:01.0,,,10-27,,D. Davis enters the game for M. Conley
3:50.0,C. Miles misses 3-pt shot from 26 ft,,10-28,,
3:49.0,,,10-28,,Defensive rebound by D. Davis
3:36.0,,,10-28,,Turnover by Z. Randolph (bad pass; steal by L. Allen)
3:29.0,A. Brooks misses 2-pt shot from 2 ft,,10-28,,
3:26.0,,,10-28,,Defensive rebound by D. Davis
3:16.0,Personal foul by A. Brooks (drawn by V. Carter),,10-28,,
3:16.0,,,10-28,,T. Daniels enters the game for V. Carter
3:16.0,R. Christmas enters the game for M. Turner,,10-28,,
3:04.0,,,10-30,2,Z. Randolph makes 2-pt shot from 7 ft
2:43.0,C. Miles makes 3-pt shot from 26 ft (assist by P. George),3,13-30,,
2:19.0,,,13-33,3,T. Daniels makes 3-pt shot from 25 ft (assist by Z. Randolph)
2:00.0,A. Brooks makes 3-pt shot from 25 ft (assist by L. Allen),3,16-33,,
1:46.0,,,16-35,2,T. Daniels makes 2-pt shot from 19 ft (assist by A. Harrison)
1:33.0,C. Miles misses 3-pt shot from 23 ft,,16-35,,
1:32.0,,,16-35,,Defensive rebound by Z. Randolph
1:18.0,,,16-35,,T. Daniels misses 3-pt shot from 27 ft (block by P. George)
1:17.0,,,16-35,,Offensive rebound by T. Allen
1:17.0,,,16-35,,T. Allen misses 2-pt shot from 1 ft
1:15.0,,,16-35,,Offensive rebound by Z. Randolph
1:08.0,,,16-35,,Z. Randolph misses 2-pt shot from 21 ft
1:07.0,Defensive rebound by R. Christmas,,16-35,,
1:00.0,A. Brooks makes 3-pt shot from 26 ft (assist by P. George),3,19-35,,
0:58.0,,,19-35,,Memphis full timeout
0:58.0,,,19-35,,M. Conley enters the game for T. Allen
0:58.0,M. Ellis enters the game for P. George,,19-35,,
0:43.0,,,19-38,3,M. Conley makes 3-pt shot from 27 ft (assist by T. Daniels)
0:32.0,A. Brooks makes 3-pt shot from 26 ft (assist by M. Ellis),3,22-38,,
0:08.0,,,22-38,,Z. Randolph misses 2-pt shot from 7 ft
0:07.0,Defensive rebound by L. Allen,,22-38,,
0:07.0,,,22-38,,Personal foul by Z. Randolph (drawn by L. Allen)
0:07.0,L. Allen makes free throw 1 of 2,1,23-38,,
0:07.0,L. Allen makes free throw 2 of 2,1,24-38,,
0:07.0,,,23-38,,V. Carter enters the game for D. Davis
0:07.0,T. Young enters the game for R. Christmas,,23-38,,
0:01.0,,,24-38,,Z. Randolph misses 2-pt shot from 10 ft
0:00.0,,,24-38,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,C. Miles makes 3-pt shot from 23 ft (assist by L. Allen),3,27-38,,
11:14.0,,,27-38,,T. Daniels misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by C. Miles,,27-38,,
11:02.0,L. Allen misses 2-pt shot from 11 ft,,27-38,,
11:02.0,Offensive rebound by A. Brooks,,27-38,,
11:02.0,Shooting foul by A. Harrison (drawn by A. Brooks),,27-38,,
11:02.0,A. Brooks makes free throw 1 of 2,1,28-38,,
11:02.0,A. Brooks makes free throw 2 of 2,1,29-38,,
10:40.0,,,29-41,3,M. Conley makes 3-pt shot from 25 ft (assist by Z. Randolph)
10:31.0,,,29-41,,Personal foul by A. Harrison (drawn by M. Ellis)
10:31.0,,,29-41,,J. Ennis enters the game for A. Harrison
10:23.0,Offensive foul by R. Christmas,,29-41,,
10:23.0,Turnover by R. Christmas (offensive foul),,29-41,,
10:12.0,,,29-44,3,M. Conley makes 3-pt shot from 26 ft
9:58.0,C. Miles misses 2-pt shot from 18 ft,,29-44,,
9:57.0,,,29-44,,Defensive rebound by M. Conley
9:45.0,,,29-46,2,Z. Randolph makes 2-pt shot from 7 ft
9:28.0,M. Ellis makes 2-pt shot from 16 ft,2,31-46,,
9:07.0,,,31-46,,T. Daniels misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by L. Allen,,31-46,,
8:48.0,A. Brooks makes 3-pt shot from 25 ft,3,34-46,,
8:42.0,,,34-46,,Memphis full timeout
8:42.0,,,34-46,,V. Carter enters the game for D. Davis
8:42.0,,,34-46,,A. Harrison enters the game for T. Daniels
8:42.0,T. Young enters the game for L. Allen,,34-46,,
8:35.0,,,34-46,,Turnover by V. Carter (bad pass; steal by T. Young)
8:27.0,C. Miles makes 2-pt shot at rim,2,36-46,,
8:09.0,,,36-49,3,V. Carter makes 3-pt shot from 26 ft (assist by A. Harrison)
7:54.0,M. Ellis misses 2-pt shot from 1 ft,,36-49,,
7:52.0,Offensive rebound by T. Young,,36-49,,
7:50.0,T. Young makes 2-pt shot from 1 ft,2,38-49,,
7:32.0,,,38-51,2,Z. Randolph makes 2-pt shot from 19 ft
7:19.0,A. Brooks misses 2-pt shot from 7 ft,,38-51,,
7:19.0,,,38-51,,Defensive rebound by Team
7:19.0,Personal foul by R. Christmas (drawn by A. Harrison),,38-51,,
7:19.0,,,38-51,,T. Allen enters the game for M. Conley
7:19.0,M. Turner enters the game for R. Christmas,,38-51,,
7:02.0,,,38-53,2,J. Ennis makes 2-pt shot from 1 ft
7:02.0,,,38-53,,Shooting foul by M. Turner (drawn by J. Ennis)
7:02.0,,,38-54,1,J. Ennis makes free throw 1 of 1
6:51.0,Turnover by M. Turner (bad pass; steal by Z. Randolph),,38-54,,
6:47.0,Violation by T. Young (def goaltending),,38-54,,
6:47.0,,,38-56,2,Z. Randolph makes 2-pt shot from 3 ft (assist by T. Allen)
6:47.0,,,38-56,,Shooting foul by A. Brooks (drawn by Z. Randolph)
6:47.0,,,38-57,1,Z. Randolph makes free throw 1 of 1
6:47.0,P. George enters the game for M. Ellis,,38-56,,
6:27.0,M. Turner makes 2-pt shot from 19 ft (assist by C. Miles),2,40-57,,
6:09.0,,,40-59,2,A. Harrison makes 2-pt shot from 2 ft
6:01.0,Turnover by A. Brooks (bad pass),,40-59,,
6:01.0,J. Teague enters the game for A. Brooks,,40-59,,
5:45.0,,,40-59,,T. Allen misses 2-pt shot from 8 ft
5:44.0,,,40-59,,Offensive rebound by T. Allen
5:39.0,Official timeout,,40-59,,
5:39.0,M. Ellis enters the game for C. Miles,,40-59,,
5:24.0,,,40-61,2,Z. Randolph makes 2-pt shot from 4 ft (assist by T. Allen)
5:24.0,Violation by M. Turner (def goaltending),,40-61,,
5:10.0,P. George makes 2-pt shot from 22 ft (assist by T. Young),2,42-61,,
4:52.0,,,42-61,,Shooting foul by M. Turner (drawn by T. Allen)
4:52.0,,,42-61,,T. Allen misses free throw 1 of 2
4:52.0,,,42-61,,Offensive rebound by Team
4:52.0,,,42-62,1,T. Allen makes free throw 2 of 2
4:44.0,,,42-62,,Personal foul by A. Harrison (drawn by J. Teague)
4:44.0,,,42-62,,M. Conley enters the game for A. Harrison
4:29.0,M. Turner misses 2-pt shot from 8 ft,,42-62,,
4:26.0,Offensive rebound by T. Young,,42-62,,
4:26.0,T. Young makes 2-pt shot from 1 ft,2,44-62,,
4:04.0,,,44-62,,Z. Randolph misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by Team,,44-62,,
3:53.0,Turnover by P. George (bad pass; steal by M. Conley),,44-62,,
3:47.0,,,44-64,2,T. Allen makes 2-pt shot from 2 ft (assist by J. Ennis)
3:43.0,,,44-64,,Violation by Team (jump ball)
3:19.0,J. Teague misses 3-pt shot from 25 ft,,44-64,,
3:19.0,,,44-64,,Defensive rebound by Z. Randolph
3:10.0,,,44-64,,T. Allen misses 2-pt shot from 5 ft (block by M. Ellis)
3:05.0,,,44-64,,Offensive rebound by Team
2:57.0,,,44-64,,J. Ennis misses 2-pt shot from 21 ft
2:57.0,Defensive rebound by M. Turner,,44-64,,
2:45.0,M. Ellis misses 3-pt shot from 25 ft,,44-64,,
2:44.0,Offensive rebound by T. Young,,44-64,,
2:36.0,M. Turner misses 3-pt shot from 26 ft,,44-64,,
2:36.0,Offensive rebound by T. Young,,44-64,,
2:31.0,T. Young makes 2-pt shot from 6 ft,2,46-64,,
2:16.0,,,46-64,,Memphis full timeout
2:16.0,Indiana full timeout,,46-64,,
2:16.0,,,46-64,,B. Wright enters the game for Z. Randolph
2:16.0,R. Christmas enters the game for M. Turner,,46-64,,
2:00.0,,,46-66,2,B. Wright makes 2-pt shot from 2 ft (assist by M. Conley)
1:41.0,R. Christmas makes 2-pt shot at rim (assist by J. Teague),2,48-66,,
1:20.0,,,48-66,,M. Conley misses 2-pt shot from 13 ft
1:18.0,Defensive rebound by P. George,,48-66,,
1:10.0,T. Young makes 2-pt shot at rim (assist by P. George),2,50-66,,
0:56.0,Personal foul by R. Christmas (drawn by B. Wright),,50-66,,
0:56.0,,,50-66,,B. Wright misses free throw 1 of 2
0:56.0,,,50-66,,Offensive rebound by Team
0:56.0,,,50-67,1,B. Wright makes free throw 2 of 2
0:44.0,Turnover by M. Ellis (bad pass; steal by V. Carter),,50-67,,
0:37.0,,,50-70,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Conley)
0:32.0,Turnover by J. Teague (lost ball; steal by J. Ennis),,50-70,,
0:26.0,,,50-70,,T. Allen misses 2-pt shot from 1 ft
0:25.0,,,50-70,,Offensive rebound by J. Ennis
0:24.0,,,50-70,,J. Ennis misses 2-pt shot from 2 ft (block by R. Christmas)
0:24.0,,,50-70,,Offensive rebound by J. Ennis
0:24.0,,,50-72,2,J. Ennis makes 2-pt shot from 2 ft
0:04.0,P. George makes 3-pt shot from 24 ft,3,53-72,,
0:01.0,,,53-72,,M. Conley misses 3-pt shot from 27 ft
0:00.0,,,53-72,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,P. George misses 2-pt shot from 21 ft,,53-72,,
11:47.0,Offensive rebound by Team,,53-72,,
11:41.0,P. George misses 2-pt shot from 18 ft,,53-72,,
11:40.0,,,53-72,,Defensive rebound by B. Wright
11:25.0,,,53-72,,B. Wright misses 2-pt shot from 6 ft (block by M. Ellis)
11:23.0,Defensive rebound by M. Ellis,,53-72,,
11:12.0,M. Turner misses 2-pt shot from 19 ft,,53-72,,
11:11.0,,,53-72,,Defensive rebound by V. Carter
11:00.0,,,53-72,,J. Ennis misses 3-pt shot from 26 ft
10:59.0,Defensive rebound by M. Ellis,,53-72,,
10:51.0,J. Teague makes 2-pt shot from 1 ft,2,55-72,,
10:35.0,,,55-72,,B. Wright misses 2-pt shot from 7 ft
10:35.0,Defensive rebound by J. Teague,,55-72,,
10:28.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,57-72,,
10:28.0,,,57-72,,Memphis full timeout
10:14.0,Personal foul by M. Turner (drawn by B. Wright),,57-72,,
10:04.0,,,57-74,2,M. Conley makes 2-pt shot from 2 ft
9:38.0,J. Teague makes 2-pt shot from 1 ft,2,59-74,,
9:24.0,,,59-76,2,M. Conley makes 2-pt shot from 17 ft (assist by T. Allen)
9:10.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,61-76,,
8:40.0,,,61-78,2,B. Wright makes 2-pt shot from 18 ft (assist by M. Conley)
8:23.0,J. Teague misses 3-pt shot from 25 ft,,61-78,,
8:23.0,,,61-78,,Defensive rebound by J. Ennis
8:08.0,,,61-81,3,V. Carter makes 3-pt shot from 25 ft (assist by B. Wright)
7:50.0,,,61-81,,Personal foul by M. Conley (drawn by M. Turner)
7:45.0,P. George misses 2-pt shot from 12 ft,,61-81,,
7:45.0,,,61-81,,Defensive rebound by T. Allen
7:39.0,,,61-81,,Offensive foul by J. Ennis
7:39.0,,,61-81,,Turnover by J. Ennis (offensive foul)
7:21.0,M. Turner makes 2-pt shot from 13 ft (assist by T. Young),2,63-81,,
7:04.0,,,63-81,,Shooting foul by P. George (drawn by V. Carter)
7:04.0,,,63-82,1,V. Carter makes free throw 1 of 3
7:04.0,,,63-83,1,V. Carter makes free throw 2 of 3
7:04.0,,,63-84,1,V. Carter makes free throw 3 of 3
6:51.0,T. Young misses 2-pt shot from 2 ft,,63-84,,
6:51.0,,,63-84,,Defensive rebound by V. Carter
6:27.0,,,63-86,2,J. Ennis makes 2-pt shot from 2 ft
6:07.0,,,63-86,,Personal foul by T. Allen (drawn by P. George)
5:54.0,Offensive charge foul by M. Ellis,,63-86,,
5:54.0,Turnover by M. Ellis (offensive foul),,63-86,,
5:54.0,,,63-86,,A. Harrison enters the game for J. Ennis
5:29.0,,,63-86,,M. Conley misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by T. Young,,63-86,,
5:14.0,T. Young misses 2-pt shot from 5 ft,,63-86,,
5:14.0,Offensive rebound by T. Young,,63-86,,
5:14.0,T. Young misses 2-pt shot from 5 ft,,63-86,,
5:12.0,,,63-86,,Defensive rebound by V. Carter
5:04.0,,,63-88,2,T. Allen makes 2-pt shot from 2 ft
4:54.0,,,63-88,,Personal foul by T. Allen (drawn by T. Young)
4:54.0,,,63-88,,T. Daniels enters the game for M. Conley
4:54.0,A. Brooks enters the game for J. Teague,,63-88,,
4:40.0,P. George makes 2-pt shot from 1 ft,2,65-88,,
4:14.0,,,65-88,,V. Carter misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by T. Young,,65-88,,
4:05.0,P. George misses 3-pt shot from 23 ft,,65-88,,
4:04.0,,,65-88,,Defensive rebound by T. Allen
3:58.0,,,65-88,,Turnover by T. Allen (bad pass)
3:58.0,,,65-88,,Z. Randolph enters the game for B. Wright
3:48.0,M. Turner misses 2-pt shot from 21 ft,,65-88,,
3:48.0,,,65-88,,Defensive rebound by T. Daniels
3:36.0,,,65-88,,T. Daniels misses 3-pt shot from 26 ft
3:35.0,,,65-88,,Offensive rebound by V. Carter
3:35.0,,,65-88,,V. Carter misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by M. Turner,,65-88,,
3:25.0,M. Ellis misses 3-pt shot from 24 ft,,65-88,,
3:24.0,Offensive rebound by T. Young,,65-88,,
3:16.0,P. George makes 2-pt shot from 11 ft,2,67-88,,
3:16.0,,,67-88,,Memphis full timeout
3:16.0,,,67-88,,M. Conley enters the game for A. Harrison
3:16.0,C. Miles enters the game for T. Young,,67-88,,
3:16.0,L. Allen enters the game for M. Ellis,,67-88,,
3:05.0,,,67-88,,Turnover by Z. Randolph (bad pass; steal by P. George)
3:05.0,,,67-88,,Loose ball foul by Z. Randolph (drawn by P. George)
2:47.0,P. George makes 2-pt shot from 22 ft,2,69-88,,
2:30.0,,,69-90,2,V. Carter makes 2-pt shot from 15 ft
2:19.0,A. Brooks makes 2-pt shot from 1 ft,2,71-90,,
2:07.0,,,71-90,,Shooting foul by L. Allen (drawn by T. Allen)
2:07.0,Indiana full timeout,,71-90,,
2:07.0,,,71-91,1,T. Allen makes free throw 1 of 2
2:07.0,,,71-92,1,T. Allen makes free throw 2 of 2
2:07.0,T. Young enters the game for M. Turner,,71-90,,
1:58.0,Turnover by P. George (traveling),,71-92,,
1:41.0,,,71-94,2,Z. Randolph makes 2-pt shot from 1 ft (assist by T. Daniels)
1:29.0,A. Brooks misses 2-pt shot from 13 ft,,71-94,,
1:28.0,Offensive rebound by L. Allen,,71-94,,
1:24.0,C. Miles misses 3-pt shot from 23 ft,,71-94,,
1:24.0,,,71-94,,Defensive rebound by T. Allen
1:24.0,Personal foul by A. Brooks (drawn by T. Allen),,71-94,,
1:24.0,,,71-94,,B. Wright enters the game for V. Carter
1:24.0,,,71-94,,J. Ennis enters the game for T. Allen
1:14.0,,,71-94,,Turnover by M. Conley (bad pass; steal by P. George)
1:10.0,P. George makes 2-pt shot at rim,2,73-94,,
0:48.0,,,73-96,2,Z. Randolph makes 2-pt shot from 5 ft
0:25.0,A. Brooks misses 2-pt shot from 3 ft,,73-96,,
0:24.0,Offensive rebound by L. Allen,,73-96,,
0:24.0,L. Allen misses 2-pt shot from 1 ft,,73-96,,
0:23.0,Offensive rebound by L. Allen,,73-96,,
0:18.0,P. George makes 3-pt shot from 25 ft (assist by C. Miles),3,76-96,,
0:02.0,,,76-96,,M. Conley misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by Team,,76-96,,
0:01.0,P. George makes 3-pt shot from 26 ft (assist by T. Young),3,79-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by P. George (drawn by T. Daniels),,79-96,,
11:44.0,Personal foul by T. Young (drawn by B. Wright),,79-96,,
11:31.0,,,79-99,3,M. Conley makes 3-pt shot from 26 ft (assist by Z. Randolph)
11:13.0,C. Miles makes 2-pt shot from 12 ft (assist by A. Brooks),2,81-99,,
10:50.0,,,81-101,2,Z. Randolph makes 2-pt shot from 22 ft (assist by M. Conley)
10:42.0,A. Brooks misses 3-pt shot from 25 ft,,81-101,,
10:41.0,,,81-101,,Defensive rebound by J. Ennis
10:25.0,,,81-101,,Z. Randolph misses 2-pt shot from 16 ft
10:23.0,Defensive rebound by C. Miles,,81-101,,
10:17.0,Turnover by C. Miles (lost ball; steal by J. Ennis),,81-101,,
9:57.0,,,81-103,2,M. Conley makes 2-pt shot from 14 ft
9:55.0,Indiana full timeout,,81-103,,
9:42.0,C. Miles misses 3-pt shot from 23 ft,,81-103,,
9:41.0,,,81-103,,Defensive rebound by Z. Randolph
9:22.0,,,81-103,,T. Daniels misses 2-pt shot from 13 ft
9:21.0,Defensive rebound by T. Young,,81-103,,
9:18.0,,,81-103,,Personal foul by J. Ennis (drawn by A. Brooks)
9:10.0,P. George misses 3-pt shot from 25 ft,,81-103,,
9:10.0,,,81-103,,Defensive rebound by J. Ennis
9:01.0,,,81-103,,M. Conley misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by T. Young,,81-103,,
8:55.0,,,81-103,,Personal foul by B. Wright (drawn by T. Young)
8:55.0,M. Turner enters the game for L. Allen,,81-103,,
8:55.0,,,81-103,,V. Carter enters the game for J. Ennis
8:41.0,T. Young makes 2-pt shot from 1 ft (assist by P. George),2,83-103,,
8:20.0,,,83-103,,T. Daniels misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by M. Turner,,83-103,,
8:09.0,C. Miles misses 2-pt shot from 3 ft (block by B. Wright),,83-103,,
8:07.0,,,83-103,,Defensive rebound by M. Conley
7:56.0,,,83-105,2,M. Conley makes 2-pt shot at rim
7:37.0,C. Miles makes 3-pt shot from 26 ft (assist by M. Turner),3,86-105,,
7:20.0,,,86-105,,V. Carter misses 3-pt shot from 27 ft
7:20.0,,,86-105,,Offensive rebound by Team
7:20.0,Loose ball foul by M. Turner (drawn by Z. Randolph),,86-105,,
7:20.0,M. Ellis enters the game for C. Miles,,86-105,,
7:20.0,,,86-105,,J. Ennis enters the game for B. Wright
7:20.0,,,86-105,,T. Allen enters the game for T. Daniels
7:07.0,,,86-105,,Z. Randolph misses 2-pt shot from 14 ft
7:04.0,,,86-105,,Offensive rebound by T. Allen
7:02.0,,,86-105,,T. Allen misses 2-pt shot from 2 ft
7:01.0,,,86-105,,Offensive rebound by T. Allen
6:59.0,,,86-105,,T. Allen misses 2-pt shot from 1 ft (block by P. George)
6:57.0,Defensive rebound by M. Ellis,,86-105,,
6:53.0,P. George misses 3-pt shot from 27 ft,,86-105,,
6:51.0,,,86-105,,Defensive rebound by Z. Randolph
6:35.0,,,86-105,,Turnover by Z. Randolph (bad pass; steal by A. Brooks)
6:30.0,A. Brooks misses 2-pt shot from 1 ft,,86-105,,
6:28.0,,,86-105,,Defensive rebound by M. Conley
6:23.0,,,86-105,,T. Allen misses 2-pt shot from 3 ft (block by M. Turner)
6:19.0,,,86-105,,Offensive rebound by T. Allen
6:19.0,,,86-105,,T. Allen misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by T. Young,,86-105,,
6:12.0,Turnover by A. Brooks (bad pass; steal by M. Conley),,86-105,,
5:49.0,,,86-105,,M. Conley misses 3-pt shot from 23 ft
5:49.0,Defensive rebound by T. Young,,86-105,,
5:41.0,Indiana full timeout,,86-105,,
5:41.0,K. Seraphin enters the game for P. George,,86-105,,
5:41.0,C. Miles enters the game for T. Young,,86-105,,
5:41.0,,,86-105,,B. Wright enters the game for Z. Randolph
5:26.0,Turnover by C. Miles (bad pass; steal by M. Conley),,86-105,,
5:01.0,,,86-105,,B. Wright misses 2-pt shot from 18 ft
5:01.0,Defensive rebound by M. Turner,,86-105,,
4:47.0,K. Seraphin misses 2-pt shot from 8 ft,,86-105,,
4:45.0,,,86-105,,Defensive rebound by B. Wright
4:28.0,,,86-105,,M. Conley misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by M. Turner,,86-105,,
4:17.0,Shooting foul by J. Ennis,,86-105,,
4:17.0,C. Miles makes free throw 1 of 2,1,87-105,,
4:17.0,C. Miles makes free throw 2 of 2,1,88-105,,
4:17.0,R. Christmas enters the game for M. Turner,,87-105,,
4:02.0,,,88-105,,Shooting foul by A. Brooks (drawn by M. Conley)
4:02.0,,,88-106,1,M. Conley makes free throw 1 of 3
4:02.0,,,88-107,1,M. Conley makes free throw 2 of 3
4:02.0,,,88-108,1,M. Conley makes free throw 3 of 3
4:02.0,,,88-107,,W. Selden enters the game for V. Carter
3:45.0,K. Seraphin misses 2-pt shot from 5 ft,,88-108,,
3:44.0,,,88-108,,Defensive rebound by J. Ennis
3:28.0,,,88-108,,J. Ennis misses 2-pt shot from 2 ft (block by K. Seraphin)
3:27.0,Defensive rebound by K. Seraphin,,88-108,,
3:20.0,A. Brooks misses 2-pt shot from 5 ft,,88-108,,
3:19.0,Offensive rebound by R. Christmas,,88-108,,
3:18.0,R. Christmas misses 2-pt shot from 4 ft,,88-108,,
3:17.0,Offensive rebound by K. Seraphin,,88-108,,
3:16.0,K. Seraphin makes 2-pt shot from 1 ft,2,90-108,,
2:49.0,,,90-108,,J. Ennis misses 3-pt shot from 26 ft
2:49.0,Defensive rebound by C. Miles,,90-108,,
2:47.0,Indiana full timeout,,90-108,,
2:47.0,Indiana full timeout,,90-108,,
2:47.0,J. Young enters the game for M. Ellis,,90-108,,
2:47.0,G. Niang enters the game for K. Seraphin,,90-108,,
2:47.0,,,90-108,,W. Baldwin enters the game for B. Wright
2:47.0,,,90-108,,D. Davis enters the game for T. Allen
2:47.0,,,90-108,,T. Daniels enters the game for M. Conley
2:29.0,A. Brooks makes 2-pt shot from 1 ft,2,92-108,,
2:09.0,,,92-108,,W. Selden misses 3-pt shot from 27 ft
2:09.0,Defensive rebound by A. Brooks,,92-108,,
2:01.0,A. Brooks misses 2-pt shot at rim,,92-108,,
2:00.0,,,92-108,,Defensive rebound by J. Ennis
1:53.0,,,92-108,,T. Daniels misses 3-pt shot from 26 ft
1:51.0,Defensive rebound by J. Young,,92-108,,
1:40.0,R. Christmas misses 2-pt shot at rim,,92-108,,
1:40.0,,,92-108,,Defensive rebound by D. Davis
1:33.0,,,92-108,,T. Daniels misses 3-pt shot from 28 ft
1:33.0,Defensive rebound by J. Young,,92-108,,
1:26.0,J. Young makes 2-pt shot from 18 ft,2,94-108,,
1:07.0,,,94-108,,D. Davis misses 2-pt shot from 19 ft
1:06.0,Defensive rebound by G. Niang,,94-108,,
1:01.0,R. Christmas misses 2-pt shot at rim (block by D. Davis),,94-108,,
0:59.0,,,94-108,,Defensive rebound by J. Ennis
0:57.0,,,94-108,,Offensive charge foul by J. Ennis
