time,Miami,pts.away,score,pts.home,Cleveland
3:27.0,D. Williams enters the game for J. McRoberts,,21-22,,
3:17.0,D. Williams makes 2-pt shot from 1 ft (assist by R. McGruder),2,23-22,,
3:17.0,Shooting foul by T. Thompson (drawn by D. Williams),,23-22,,
3:17.0,D. Williams makes free throw 1 of 1,1,24-22,,
3:17.0,,,23-22,,C. Andersen enters the game for T. Thompson
3:09.0,,,24-22,,Shooting foul by D. Williams (drawn by K. Irving)
3:09.0,,,24-22,,K. Irving misses free throw 1 of 2
3:09.0,,,24-22,,Offensive rebound by Team
3:09.0,,,24-23,1,K. Irving makes free throw 2 of 2
3:09.0,,,24-22,,R. Jefferson enters the game for L. James
2:59.0,Shooting foul by C. Andersen (drawn by D. Williams),,24-23,,
2:59.0,Miami full timeout,,24-23,,
2:59.0,D. Williams makes free throw 1 of 2,1,25-23,,
2:59.0,D. Williams misses free throw 2 of 2,,25-23,,
2:59.0,,,24-23,,D. Liggins enters the game for K. Irving
2:59.0,W. Ellington enters the game for G. Dragic,,24-23,,
2:57.0,,,25-23,,Defensive rebound by K. Love
2:38.0,,,25-25,2,K. Love makes 2-pt shot from 11 ft
2:24.0,T. Johnson misses 3-pt shot from 25 ft,,25-25,,
2:24.0,,,25-25,,Defensive rebound by K. Love
2:09.0,,,25-27,2,K. Love makes 2-pt shot from 17 ft (assist by I. Shumpert)
1:53.0,T. Johnson misses 2-pt shot from 2 ft (block by D. Liggins),,25-27,,
1:51.0,,,25-27,,Defensive rebound by I. Shumpert
1:41.0,Personal foul by D. Williams (drawn by K. Love),,25-27,,
1:41.0,,,25-28,1,K. Love makes free throw 1 of 2
1:41.0,,,25-29,1,K. Love makes free throw 2 of 2
1:17.0,D. Williams makes 2-pt shot at rim (assist by W. Ellington),2,27-29,,
0:59.0,,,27-29,,K. Love misses 2-pt shot from 10 ft
0:58.0,,,27-29,,Offensive rebound by K. Love
0:58.0,,,27-31,2,K. Love makes 2-pt shot from 1 ft
0:44.0,R. McGruder misses 3-pt shot from 24 ft,,27-31,,
0:44.0,Offensive rebound by H. Whiteside,,27-31,,
0:35.0,Turnover by W. Ellington (bad pass),,27-31,,
0:35.0,W. Reed enters the game for H. Whiteside,,27-31,,
0:17.0,,,27-31,,R. Jefferson misses 2-pt shot from 20 ft
0:16.0,Defensive rebound by T. Johnson,,27-31,,
0:00.0,Turnover by R. McGruder (lost ball; steal by I. Shumpert),,27-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-31,,Shooting foul by R. McGruder (drawn by K. Irving)
11:46.0,,,27-32,1,K. Irving makes free throw 1 of 2
11:46.0,,,27-33,1,K. Irving makes free throw 2 of 2
11:46.0,G. Dragic enters the game for R. McGruder,,27-32,,
11:29.0,G. Dragic makes 3-pt shot from 24 ft (assist by T. Johnson),3,30-33,,
11:06.0,,,30-33,,L. James misses 2-pt shot from 12 ft
11:04.0,Defensive rebound by T. Johnson,,30-33,,
10:58.0,T. Johnson misses 2-pt shot from 7 ft,,30-33,,
10:56.0,,,30-33,,Defensive rebound by C. Andersen
10:49.0,,,30-33,,L. James misses 3-pt shot from 25 ft
10:43.0,,,30-33,,Offensive rebound by C. Andersen
10:43.0,,,30-35,2,C. Andersen makes 2-pt shot from 1 ft
10:34.0,Turnover by G. Dragic (bad pass),,30-35,,
10:21.0,,,30-35,,L. James misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by G. Dragic,,30-35,,
10:17.0,W. Ellington misses 3-pt shot from 24 ft,,30-35,,
10:17.0,,,30-35,,Defensive rebound by R. Jefferson
10:07.0,,,30-35,,K. Irving misses 2-pt shot from 3 ft
10:07.0,Jump ball: K. Irving vs. T. Johnson (C. Andersen gains possession),,,,Jump ball: K. Irving vs. T. Johnson (C. Andersen gains possession)
10:07.0,,,30-35,,Offensive rebound by Team
9:58.0,,,30-35,,I. Shumpert misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by T. Johnson,,30-35,,
9:42.0,Shooting foul by C. Andersen (drawn by W. Reed),,30-35,,
9:42.0,W. Reed misses free throw 1 of 2,,30-35,,
9:42.0,Offensive rebound by Team,,30-35,,
9:42.0,W. Reed makes free throw 2 of 2,1,31-35,,
9:42.0,,,30-35,,M. Dunleavy enters the game for C. Andersen
9:33.0,,,31-35,,Offensive foul by R. Jefferson
9:33.0,,,31-35,,Turnover by R. Jefferson (offensive foul)
9:14.0,Turnover by G. Dragic (bad pass),,31-35,,
9:03.0,,,31-37,2,L. James makes 2-pt shot from 1 ft
8:44.0,T. Johnson makes 2-pt shot from 22 ft,2,33-37,,
8:30.0,,,33-39,2,K. Irving makes 2-pt shot from 1 ft
8:12.0,G. Dragic misses 3-pt shot from 25 ft,,33-39,,
8:11.0,,,33-39,,Defensive rebound by L. James
8:03.0,,,33-39,,Turnover by L. James (bad pass; steal by D. Williams)
7:57.0,T. Johnson misses 3-pt shot from 24 ft,,33-39,,
7:56.0,,,33-39,,Defensive rebound by R. Jefferson
7:53.0,,,33-39,,Shooting foul by W. Ellington (drawn by L. James)
7:53.0,Official timeout,,33-39,,
7:53.0,,,33-40,1,L. James makes free throw 1 of 2
7:53.0,,,33-40,,L. James misses free throw 2 of 2
7:51.0,Defensive rebound by D. Williams,,33-40,,
7:35.0,D. Williams misses 3-pt shot from 25 ft,,33-40,,
7:34.0,Offensive rebound by W. Reed,,33-40,,
7:34.0,W. Reed makes 2-pt shot from 1 ft,2,35-40,,
7:03.0,,,35-40,,L. James misses 3-pt shot from 29 ft
7:03.0,Defensive rebound by W. Reed,,35-40,,
6:49.0,W. Ellington misses 2-pt shot from 20 ft,,35-40,,
6:49.0,,,35-40,,Defensive rebound by L. James
6:40.0,,,35-40,,R. Jefferson misses 3-pt shot from 25 ft
6:39.0,,,35-40,,Offensive rebound by L. James
6:39.0,,,35-40,,Shooting foul by W. Ellington (drawn by L. James)
6:39.0,,,35-40,,L. James misses free throw 1 of 2
6:39.0,,,35-40,,Offensive rebound by Team
6:39.0,,,35-41,1,L. James makes free throw 2 of 2
6:39.0,H. Whiteside enters the game for W. Reed,,35-40,,
6:39.0,R. McGruder enters the game for W. Ellington,,35-40,,
6:39.0,,,35-40,,T. Thompson enters the game for R. Jefferson
6:17.0,D. Williams makes 2-pt shot from 9 ft (assist by G. Dragic),2,37-41,,
5:55.0,,,37-44,3,I. Shumpert makes 3-pt shot from 26 ft
5:39.0,T. Johnson misses 2-pt shot from 2 ft,,37-44,,
5:35.0,,,37-44,,Defensive rebound by I. Shumpert
5:28.0,,,37-47,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
5:28.0,Miami full timeout,,37-47,,
5:12.0,Shooting foul by I. Shumpert (drawn by G. Dragic),,37-47,,
5:12.0,G. Dragic makes free throw 1 of 2,1,38-47,,
5:12.0,G. Dragic makes free throw 2 of 2,1,39-47,,
4:57.0,,,39-47,,I. Shumpert misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by H. Whiteside,,39-47,,
4:47.0,,,39-47,,Personal foul by L. James (drawn by H. Whiteside)
4:47.0,,,39-47,,K. Love enters the game for I. Shumpert
4:36.0,Turnover by T. Johnson (bad pass; steal by K. Love),,39-47,,
4:26.0,,,39-49,2,L. James makes 2-pt shot at rim (assist by M. Dunleavy)
4:12.0,D. Williams misses 3-pt shot from 23 ft,,39-49,,
4:12.0,,,39-49,,Defensive rebound by T. Thompson
4:06.0,,,39-49,,Turnover by L. James (lost ball; steal by T. Johnson)
3:59.0,G. Dragic makes 2-pt shot from 2 ft (assist by T. Johnson),2,41-49,,
3:34.0,,,41-51,2,K. Love makes 2-pt shot from 8 ft (assist by L. James)
3:12.0,D. Williams makes 2-pt shot from 1 ft,2,43-51,,
3:03.0,,,43-51,,Turnover by K. Irving (lost ball; steal by T. Johnson)
2:40.0,G. Dragic misses 3-pt shot from 26 ft,,43-51,,
2:40.0,,,43-51,,Defensive rebound by K. Love
2:32.0,,,43-51,,K. Irving misses 3-pt shot from 26 ft
2:31.0,,,43-51,,Offensive rebound by L. James
2:31.0,Personal foul by T. Johnson (drawn by T. Thompson),,43-51,,
2:31.0,,,43-51,,Cleveland full timeout
2:31.0,J. McRoberts enters the game for R. McGruder,,43-51,,
2:17.0,,,43-51,,K. Irving misses 2-pt shot from 16 ft
2:16.0,Defensive rebound by H. Whiteside,,43-51,,
1:54.0,Shooting foul by K. Love (drawn by D. Williams),,43-51,,
1:54.0,D. Williams makes free throw 1 of 2,1,44-51,,
1:54.0,D. Williams misses free throw 2 of 2,,44-51,,
1:54.0,,,44-51,,I. Shumpert enters the game for T. Thompson
1:53.0,,,44-51,,Defensive rebound by L. James
1:40.0,,,44-54,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
1:24.0,Offensive foul by H. Whiteside,,44-54,,
1:24.0,Turnover by H. Whiteside (offensive foul),,44-54,,
1:14.0,,,44-54,,Turnover by K. Love (lost ball)
0:59.0,J. McRoberts misses 2-pt shot from 6 ft,,44-54,,
0:59.0,Offensive rebound by J. McRoberts,,44-54,,
0:57.0,G. Dragic misses 2-pt shot from 4 ft,,44-54,,
0:56.0,,,44-54,,Defensive rebound by K. Love
0:47.0,,,44-54,,M. Dunleavy misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by T. Johnson,,44-54,,
0:30.0,J. McRoberts misses 3-pt shot from 25 ft,,44-54,,
0:28.0,Offensive rebound by H. Whiteside,,44-54,,
0:28.0,H. Whiteside makes 2-pt shot at rim,2,46-54,,
0:09.0,,,46-54,,K. Love misses 3-pt shot from 26 ft
0:09.0,,,46-54,,Offensive rebound by K. Love
0:07.0,,,46-57,3,K. Irving makes 3-pt shot from 24 ft (assist by K. Love)
0:07.0,Miami full timeout,,46-57,,
0:07.0,,,46-57,,C. Andersen enters the game for K. Love
0:07.0,,,46-57,,D. Liggins enters the game for M. Dunleavy
0:07.0,W. Reed enters the game for H. Whiteside,,46-57,,
0:02.0,T. Johnson misses 2-pt shot from 20 ft,,46-57,,
0:02.0,,,46-57,,Defensive rebound by C. Andersen
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,46-59,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
11:28.0,G. Dragic makes 2-pt shot from 7 ft,2,48-59,,
11:10.0,,,48-62,3,K. Irving makes 3-pt shot from 24 ft
10:46.0,R. McGruder misses 3-pt shot from 24 ft,,48-62,,
10:46.0,,,48-62,,Defensive rebound by D. Liggins
10:26.0,,,48-62,,K. Love misses 3-pt shot from 24 ft
10:26.0,,,48-62,,Offensive rebound by T. Thompson
10:21.0,,,48-62,,K. Irving misses 2-pt shot from 6 ft
10:19.0,,,48-62,,Offensive rebound by K. Love
10:19.0,,,48-64,2,K. Love makes 2-pt shot from 1 ft
9:55.0,R. McGruder makes 2-pt shot from 6 ft (assist by J. McRoberts),2,50-64,,
9:37.0,,,50-66,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
9:21.0,Turnover by G. Dragic (bad pass; steal by L. James),,50-66,,
9:18.0,,,50-68,2,L. James makes 2-pt shot at rim
9:18.0,Miami full timeout,,50-68,,
9:18.0,W. Reed enters the game for H. Whiteside,,50-68,,
8:57.0,Shooting foul by L. James (drawn by W. Reed),,50-68,,
8:57.0,W. Reed makes free throw 1 of 2,1,51-68,,
8:57.0,W. Reed makes free throw 2 of 2,1,52-68,,
8:45.0,,,52-68,,Turnover by K. Love (bad pass; steal by R. McGruder)
8:34.0,W. Ellington makes 3-pt shot from 26 ft (assist by R. McGruder),3,55-68,,
8:14.0,,,55-68,,Turnover by K. Irving (traveling)
7:54.0,Turnover by J. McRoberts (bad pass; steal by L. James),,55-68,,
7:51.0,Personal foul by J. McRoberts (drawn by L. James),,55-68,,
7:38.0,,,55-70,2,L. James makes 2-pt shot from 13 ft (assist by K. Love)
7:23.0,W. Ellington misses 3-pt shot from 28 ft,,55-70,,
7:23.0,,,55-70,,Defensive rebound by T. Thompson
7:15.0,,,55-70,,K. Irving misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by J. McRoberts,,55-70,,
6:52.0,J. McRoberts misses 2-pt shot from 9 ft,,55-70,,
6:50.0,,,55-70,,Defensive rebound by K. Love
6:47.0,,,55-70,,Turnover by L. James (bad pass)
6:47.0,T. Johnson enters the game for W. Ellington,,55-70,,
6:37.0,J. McRoberts misses 3-pt shot from 27 ft,,55-70,,
6:36.0,,,55-70,,Defensive rebound by L. James
6:30.0,,,55-73,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
6:08.0,R. McGruder makes 2-pt shot from 19 ft (assist by J. McRoberts),2,57-73,,
6:05.0,,,57-73,,Turnover by K. Love (bad pass; steal by R. McGruder)
5:59.0,T. Johnson misses 2-pt shot from 22 ft,,57-73,,
5:59.0,,,57-73,,Defensive rebound by K. Love
5:59.0,Personal foul by J. McRoberts (drawn by K. Love),,57-73,,
5:48.0,,,57-73,,D. Liggins misses 2-pt shot from 1 ft (block by G. Dragic)
5:48.0,Defensive rebound by Team,,57-73,,
5:25.0,G. Dragic misses 2-pt shot from 1 ft (block by K. Love),,57-73,,
5:24.0,Offensive rebound by G. Dragic,,57-73,,
5:24.0,Offensive foul by G. Dragic,,57-73,,
5:24.0,Turnover by G. Dragic (offensive foul),,57-73,,
5:08.0,,,57-73,,L. James misses 2-pt shot from 22 ft
5:07.0,,,57-73,,Offensive rebound by K. Love
5:05.0,,,57-75,2,K. Love makes 2-pt shot from 1 ft
4:42.0,J. McRoberts misses 2-pt shot from 3 ft (block by T. Thompson),,57-75,,
4:40.0,Offensive rebound by W. Reed,,57-75,,
4:40.0,W. Reed makes 2-pt shot at rim,2,59-75,,
4:40.0,Violation by Team (jump ball),,59-75,,
4:22.0,,,59-78,3,K. Love makes 3-pt shot from 26 ft (assist by K. Irving)
4:06.0,J. McRoberts misses 2-pt shot from 3 ft (block by D. Liggins),,59-78,,
4:04.0,,,59-78,,Defensive rebound by D. Liggins
3:57.0,,,59-81,3,L. James makes 3-pt shot from 25 ft
3:44.0,Miami full timeout,,59-81,,
3:44.0,D. Williams enters the game for J. McRoberts,,59-81,,
3:35.0,W. Reed misses 2-pt shot from 7 ft,,59-81,,
3:33.0,,,59-81,,Defensive rebound by T. Thompson
3:18.0,,,59-81,,L. James misses 2-pt shot from 13 ft
3:15.0,Defensive rebound by R. McGruder,,59-81,,
3:06.0,R. McGruder misses 2-pt shot from 16 ft,,59-81,,
3:05.0,Offensive rebound by W. Reed,,59-81,,
2:47.0,D. Williams makes 2-pt shot from 17 ft (assist by R. McGruder),2,61-81,,
2:27.0,,,61-81,,K. Love misses 3-pt shot from 25 ft
2:27.0,,,61-81,,Offensive rebound by Team
2:27.0,Loose ball foul by W. Reed (drawn by T. Thompson),,61-81,,
2:27.0,,,61-81,,Cleveland full timeout
2:27.0,W. Ellington enters the game for G. Dragic,,61-81,,
2:13.0,,,61-81,,K. Irving misses 2-pt shot from 5 ft (block by T. Johnson)
2:12.0,Defensive rebound by R. McGruder,,61-81,,
2:04.0,D. Williams makes 2-pt shot from 1 ft (assist by W. Ellington),2,63-81,,
1:40.0,,,63-83,2,L. James makes 2-pt shot from 15 ft
1:10.0,W. Ellington makes 2-pt shot from 8 ft,2,65-83,,
1:05.0,,,65-85,2,K. Irving makes 2-pt shot from 1 ft
1:05.0,,,65-85,,Shooting foul by W. Reed (drawn by K. Irving)
1:05.0,,,65-85,,K. Irving misses free throw 1 of 1
1:05.0,,,65-85,,R. Jefferson enters the game for L. James
1:05.0,,,65-85,,I. Shumpert enters the game for K. Love
1:03.0,Defensive rebound by W. Ellington,,65-85,,
0:48.0,T. Johnson misses 2-pt shot from 20 ft,,65-85,,
0:47.0,,,65-85,,Defensive rebound by R. Jefferson
0:34.0,,,65-85,,I. Shumpert misses 2-pt shot from 22 ft
0:33.0,Defensive rebound by W. Reed,,65-85,,
0:28.0,T. Johnson misses 2-pt shot from 1 ft,,65-85,,
0:28.0,Offensive rebound by R. McGruder,,65-85,,
0:28.0,R. McGruder makes 2-pt shot at rim,2,67-85,,
0:07.0,,,67-85,,R. Jefferson misses 3-pt shot from 23 ft
0:07.0,Defensive rebound by R. McGruder,,67-85,,
0:07.0,,,67-85,,Personal foul by T. Thompson (drawn by R. McGruder)
0:04.0,Shooting foul by R. Jefferson (drawn by D. Williams),,67-85,,
0:04.0,D. Williams makes free throw 1 of 2,1,68-85,,
0:04.0,D. Williams makes free throw 2 of 2,1,69-85,,
0:00.0,,,69-87,2,K. Irving makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,R. McGruder misses 2-pt shot from 21 ft,,69-87,,
11:47.0,,,69-87,,Defensive rebound by K. Love
11:29.0,,,69-89,2,I. Shumpert makes 2-pt shot from 1 ft (assist by R. Jefferson)
11:06.0,D. Williams misses 2-pt shot from 17 ft,,69-89,,
11:05.0,,,69-89,,Defensive rebound by K. Love
10:45.0,,,69-91,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
10:29.0,W. Ellington misses 3-pt shot from 24 ft,,69-91,,
10:29.0,Offensive rebound by Team,,69-91,,
10:19.0,Turnover by Team (shot clock),,69-91,,
10:01.0,,,69-91,,L. James misses 2-pt shot from 15 ft
10:00.0,Defensive rebound by Team,,69-91,,
9:33.0,H. Whiteside misses 2-pt shot from 6 ft,,69-91,,
9:30.0,,,69-91,,Defensive rebound by L. James
9:28.0,,,69-91,,L. James misses 2-pt shot from 1 ft
9:27.0,Defensive rebound by R. McGruder,,69-91,,
9:21.0,W. Ellington makes 2-pt shot from 1 ft (assist by R. McGruder),2,71-91,,
8:54.0,,,71-93,2,L. James makes 2-pt shot from 4 ft
8:41.0,Offensive foul by H. Whiteside,,71-93,,
8:41.0,Turnover by H. Whiteside (offensive foul),,71-93,,
8:41.0,Official timeout,,71-93,,
8:41.0,,,71-93,,T. Thompson enters the game for K. Love
8:33.0,,,71-93,,Shooting foul by R. McGruder (drawn by M. Dunleavy)
8:33.0,,,71-94,1,M. Dunleavy makes free throw 1 of 2
8:33.0,,,71-95,1,M. Dunleavy makes free throw 2 of 2
8:18.0,Turnover by H. Whiteside (lost ball; steal by L. James),,71-95,,
8:15.0,G. Dragic enters the game for R. McGruder,,71-95,,
8:05.0,,,71-97,2,L. James makes 2-pt shot from 14 ft
7:41.0,T. Johnson makes 3-pt shot from 25 ft (assist by D. Williams),3,74-97,,
7:20.0,,,74-97,,Turnover by I. Shumpert (bad pass; steal by D. Williams)
7:04.0,G. Dragic misses 2-pt shot from 18 ft,,74-97,,
7:04.0,,,74-97,,Defensive rebound by L. James
6:57.0,,,74-99,2,L. James makes 2-pt shot from 2 ft
6:44.0,H. Whiteside misses 2-pt shot from 5 ft,,74-99,,
6:43.0,,,74-99,,Defensive rebound by I. Shumpert
6:27.0,,,74-99,,D. Liggins enters the game for L. James
6:27.0,,,74-99,,C. Andersen enters the game for T. Thompson
6:23.0,,,74-99,,I. Shumpert misses 2-pt shot from 10 ft
6:22.0,Defensive rebound by H. Whiteside,,74-99,,
6:12.0,Shooting foul by M. Dunleavy (drawn by G. Dragic),,74-99,,
6:12.0,G. Dragic makes free throw 1 of 2,1,75-99,,
6:12.0,G. Dragic makes free throw 2 of 2,1,76-99,,
6:12.0,,,75-99,,J. McRae enters the game for R. Jefferson
6:00.0,,,76-99,,M. Dunleavy misses 2-pt shot from 18 ft
6:00.0,Defensive rebound by H. Whiteside,,76-99,,
5:42.0,D. Williams misses 2-pt shot from 4 ft (block by J. McRae),,76-99,,
5:41.0,Offensive rebound by H. Whiteside,,76-99,,
5:38.0,H. Whiteside misses 2-pt shot from 3 ft (block by C. Andersen),,76-99,,
5:35.0,Offensive rebound by H. Whiteside,,76-99,,
5:34.0,H. Whiteside makes 2-pt shot from 1 ft,2,78-99,,
5:19.0,,,78-101,2,I. Shumpert makes 2-pt shot at rim (assist by D. Liggins)
4:59.0,T. Johnson misses 3-pt shot from 26 ft,,78-101,,
4:59.0,,,78-101,,Defensive rebound by I. Shumpert
4:52.0,,,78-101,,J. McRae misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by H. Whiteside,,78-101,,
4:36.0,H. Whiteside misses 2-pt shot from 15 ft,,78-101,,
4:35.0,,,78-101,,Defensive rebound by M. Dunleavy
4:24.0,,,78-101,,Shooting foul by H. Whiteside (drawn by C. Andersen)
4:24.0,,,78-101,,Cleveland full timeout
4:24.0,,,78-102,1,C. Andersen makes free throw 1 of 2
4:24.0,,,78-103,1,C. Andersen makes free throw 2 of 2
4:24.0,,,78-101,,J. Jones enters the game for D. Liggins
4:24.0,,,78-101,,K. Felder enters the game for I. Shumpert
4:24.0,R. McGruder enters the game for H. Whiteside,,78-101,,
4:24.0,W. Reed enters the game for G. Dragic,,78-101,,
4:07.0,W. Ellington misses 3-pt shot from 28 ft,,78-103,,
4:07.0,,,78-103,,Defensive rebound by M. Dunleavy
3:49.0,,,78-105,2,J. McRae makes 2-pt shot at rim (assist by K. Felder)
3:26.0,Shooting foul by C. Andersen (drawn by W. Reed),,78-105,,
3:26.0,W. Reed makes free throw 1 of 2,1,79-105,,
3:26.0,W. Reed makes free throw 2 of 2,1,80-105,,
3:02.0,,,80-107,2,K. Felder makes 2-pt shot from 16 ft (assist by J. McRae)
2:43.0,T. Johnson misses 2-pt shot from 1 ft,,80-107,,
2:42.0,Offensive rebound by W. Reed,,80-107,,
2:42.0,W. Reed misses 2-pt shot at rim,,80-107,,
2:41.0,Offensive rebound by W. Reed,,80-107,,
2:41.0,W. Reed misses 2-pt shot at rim,,80-107,,
2:40.0,Offensive rebound by W. Reed,,80-107,,
2:38.0,,,80-107,,Personal foul by K. Felder (drawn by W. Reed)
2:38.0,Miami full timeout,,80-107,,
2:26.0,R. McGruder misses 2-pt shot from 8 ft,,80-107,,
2:25.0,Offensive rebound by R. McGruder,,80-107,,
2:21.0,T. Johnson misses 3-pt shot from 26 ft,,80-107,,
2:20.0,Offensive rebound by W. Reed,,80-107,,
2:19.0,W. Reed misses 2-pt shot at rim (block by J. Jones),,80-107,,
2:17.0,Offensive rebound by R. McGruder,,80-107,,
2:05.0,Shooting foul by C. Andersen (drawn by W. Reed),,80-107,,
2:05.0,W. Reed misses free throw 1 of 2,,80-107,,
2:05.0,Offensive rebound by Team,,80-107,,
2:05.0,W. Reed makes free throw 2 of 2,1,81-107,,
1:54.0,,,81-109,2,K. Felder makes 2-pt shot from 16 ft (assist by J. McRae)
1:40.0,Turnover by R. McGruder (bad pass; steal by C. Andersen),,81-109,,
1:35.0,,,81-111,2,K. Felder makes 2-pt shot from 1 ft
