time,Miami,pts.away,score,pts.home,Atlanta
0:23.0,,,25-23,,Defensive rebound by T. Waller-Prince
0:01.0,,,25-23,,T. Waller-Prince misses 2-pt shot from 10 ft
0:00.0,,,25-23,,Offensive rebound by M. Muscala
0:00.0,,,25-23,,Shooting foul by T. Johnson (drawn by M. Muscala)
0:00.0,,,25-23,,M. Muscala misses free throw 1 of 2
0:00.0,,,25-23,,Offensive rebound by Team
0:00.0,,,25-24,1,M. Muscala makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,W. Ellington misses 3-pt shot from 25 ft,,25-24,,
11:45.0,,,25-24,,Defensive rebound by M. Muscala
11:23.0,,,25-24,,Turnover by T. Waller-Prince (bad pass; steal by J. Johnson)
11:19.0,T. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,27-24,,
11:05.0,,,27-26,2,M. Muscala makes 2-pt shot from 3 ft (assist by M. Delaney)
10:46.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,30-26,,
10:34.0,,,30-28,2,M. Delaney makes 2-pt shot from 20 ft
10:12.0,T. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson),2,32-28,,
10:00.0,Personal foul by G. Dragic (drawn by M. Delaney),,32-28,,
10:00.0,,,32-28,,D. Howard enters the game for M. Muscala
9:55.0,,,32-28,,M. Delaney misses 2-pt shot from 17 ft
9:54.0,Defensive rebound by G. Dragic,,32-28,,
9:48.0,Turnover by G. Dragic (bad pass; steal by T. Waller-Prince),,32-28,,
9:42.0,,,32-30,2,T. Waller-Prince makes 2-pt shot from 1 ft
9:26.0,W. Ellington misses 3-pt shot from 24 ft,,32-30,,
9:25.0,,,32-30,,Defensive rebound by T. Waller-Prince
9:19.0,,,32-30,,Offensive foul by D. Howard
9:19.0,,,32-30,,Turnover by D. Howard (offensive foul)
9:04.0,G. Dragic misses 2-pt shot from 18 ft,,32-30,,
9:03.0,,,32-30,,Defensive rebound by M. Delaney
8:58.0,,,32-30,,Shooting foul by W. Ellington (drawn by M. Dunleavy)
8:58.0,Official timeout,,32-30,,
8:58.0,,,32-30,,M. Dunleavy misses free throw 1 of 2
8:58.0,,,32-30,,Offensive rebound by Team
8:58.0,,,32-31,1,M. Dunleavy makes free throw 2 of 2
8:58.0,,,32-30,,K. Bazemore enters the game for M. Delaney
8:38.0,W. Reed misses 2-pt shot from 9 ft,,32-31,,
8:36.0,,,32-31,,Defensive rebound by T. Waller-Prince
8:28.0,,,32-34,3,M. Dunleavy makes 3-pt shot from 26 ft (assist by T. Waller-Prince)
8:15.0,G. Dragic misses 2-pt shot from 2 ft,,32-34,,
8:15.0,Offensive rebound by W. Reed,,32-34,,
8:15.0,,,32-34,,Personal foul by T. Waller-Prince (drawn by W. Reed)
8:15.0,D. Waiters enters the game for G. Dragic,,32-34,,
8:04.0,W. Reed makes 2-pt shot from 1 ft (assist by D. Waiters),2,34-34,,
7:44.0,,,34-34,,T. Waller-Prince misses 2-pt shot from 19 ft
7:43.0,Defensive rebound by W. Reed,,34-34,,
7:34.0,T. Johnson makes 3-pt shot from 24 ft (assist by D. Waiters),3,37-34,,
7:22.0,,,37-34,,K. Bazemore misses 2-pt shot from 5 ft (block by D. Waiters)
7:22.0,Defensive rebound by Team,,37-34,,
7:22.0,,,37-34,,T. Hardaway enters the game for M. Dunleavy
7:22.0,L. Babbitt enters the game for J. Johnson,,37-34,,
7:22.0,H. Whiteside enters the game for W. Reed,,37-34,,
7:12.0,D. Waiters makes 2-pt shot at rim,2,39-34,,
7:00.0,,,39-34,,E. Ilyasova misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by Team,,39-34,,
6:59.0,,,39-34,,T. Sefolosha enters the game for T. Waller-Prince
6:42.0,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters),3,42-34,,
6:38.0,,,42-34,,Technical foul by Team
6:38.0,W. Ellington misses technical free throw,,42-34,,
6:38.0,,,42-34,,Offensive rebound by Team
6:38.0,,,42-34,,P. Millsap enters the game for E. Ilyasova
6:30.0,,,42-34,,Shooting foul by L. Babbitt (drawn by P. Millsap)
6:30.0,,,42-35,1,P. Millsap makes free throw 1 of 2
6:30.0,,,42-36,1,P. Millsap makes free throw 2 of 2
6:30.0,J. Johnson enters the game for L. Babbitt,,42-35,,
6:30.0,J. Richardson enters the game for W. Ellington,,42-35,,
6:20.0,J. Johnson misses 2-pt shot from 19 ft,,42-36,,
6:18.0,,,42-36,,Defensive rebound by D. Howard
6:12.0,,,42-36,,Shooting foul by J. Johnson (drawn by P. Millsap)
6:12.0,,,42-36,,P. Millsap misses free throw 1 of 2
6:12.0,,,42-36,,Offensive rebound by Team
6:12.0,,,42-37,1,P. Millsap makes free throw 2 of 2
5:49.0,H. Whiteside makes 2-pt shot from 11 ft (assist by J. Richardson),2,44-37,,
5:26.0,,,44-37,,T. Hardaway misses 2-pt shot from 21 ft
5:25.0,Defensive rebound by H. Whiteside,,44-37,,
5:15.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson),3,47-37,,
5:07.0,Personal block foul by J. Johnson (drawn by P. Millsap),,47-37,,
5:07.0,,,47-37,,Atlanta full timeout
5:07.0,,,47-37,,P. Millsap misses free throw 1 of 2
5:07.0,,,47-37,,Offensive rebound by Team
5:07.0,,,47-38,1,P. Millsap makes free throw 2 of 2
5:07.0,O. White enters the game for J. Johnson,,47-37,,
4:53.0,Shooting foul by P. Millsap (drawn by O. White),,47-38,,
4:53.0,O. White misses free throw 1 of 2,,47-38,,
4:53.0,Offensive rebound by Team,,47-38,,
4:53.0,O. White makes free throw 2 of 2,1,48-38,,
4:35.0,,,48-40,2,P. Millsap makes 2-pt shot from 8 ft
4:18.0,D. Waiters makes 3-pt shot from 24 ft,3,51-40,,
3:59.0,Personal foul by O. White (drawn by P. Millsap),,51-40,,
3:59.0,,,51-41,1,P. Millsap makes free throw 1 of 2
3:59.0,,,51-42,1,P. Millsap makes free throw 2 of 2
3:59.0,G. Dragic enters the game for T. Johnson,,51-41,,
3:45.0,G. Dragic makes 2-pt shot from 4 ft (assist by H. Whiteside),2,53-42,,
3:26.0,,,53-42,,Turnover by K. Bazemore (bad pass; steal by D. Waiters)
3:21.0,G. Dragic misses 2-pt shot from 18 ft,,53-42,,
3:18.0,,,53-42,,Defensive rebound by Team
2:59.0,,,53-44,2,P. Millsap makes 2-pt shot from 1 ft
2:43.0,Offensive foul by D. Waiters,,53-44,,
2:43.0,Turnover by D. Waiters (offensive foul),,53-44,,
2:43.0,Miami full timeout,,53-44,,
2:43.0,,,53-44,,M. Delaney enters the game for K. Bazemore
2:43.0,Violation by Team (jump ball),,53-44,,
