time,Denver,pts.away,score,pts.home,New Orleans
7:31.0,,,15-13,,D. Cousins misses 2-pt shot from 8 ft (block by K. Faried)
7:30.0,,,15-13,,Offensive rebound by Team
7:21.0,,,15-13,,T. Frazier misses 2-pt shot from 19 ft
7:19.0,,,15-13,,Offensive rebound by D. Cousins
7:19.0,Loose ball foul by K. Faried (drawn by D. Cousins),,15-13,,
7:10.0,,,15-13,,S. Hill misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by N. Jokic,,15-13,,
7:05.0,D. Gallinari misses 3-pt shot from 25 ft,,15-13,,
7:03.0,,,15-13,,Defensive rebound by T. Frazier
6:54.0,,,15-13,,D. Cousins misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by K. Faried,,15-13,,
6:43.0,,,15-13,,Personal foul by D. Cousins (drawn by N. Jokic)
6:37.0,D. Gallinari misses 3-pt shot from 27 ft,,15-13,,
6:35.0,,,15-13,,Defensive rebound by D. Cousins
6:21.0,,,15-13,,A. Davis misses 2-pt shot from 9 ft
6:20.0,Defensive rebound by N. Jokic,,15-13,,
6:10.0,N. Jokic misses 2-pt shot from 8 ft (block by A. Davis),,15-13,,
6:09.0,Offensive rebound by N. Jokic,,15-13,,
6:08.0,N. Jokic misses 2-pt shot from 7 ft (block by A. Davis),,15-13,,
6:08.0,,,15-13,,Defensive rebound by T. Frazier
5:57.0,,,15-13,,D. Cousins misses 2-pt shot from 2 ft
5:56.0,Jump ball: A. Davis vs. N. Jokic (T. Frazier gains possession),,,,Jump ball: A. Davis vs. N. Jokic (T. Frazier gains possession)
5:56.0,,,15-13,,Offensive rebound by Team
5:52.0,,,15-13,,T. Frazier misses 2-pt shot from 22 ft
5:50.0,Defensive rebound by J. Murray,,15-13,,
5:41.0,K. Faried misses 2-pt shot from 11 ft,,15-13,,
5:39.0,,,15-13,,Defensive rebound by D. Cousins
5:32.0,Personal block foul by K. Faried (drawn by D. Cousins),,15-13,,
5:32.0,M. Plumlee enters the game for K. Faried,,15-13,,
5:32.0,W. Chandler enters the game for D. Gallinari,,15-13,,
5:28.0,,,15-15,2,J. Holiday makes 2-pt shot from 2 ft
5:14.0,Turnover by N. Jokic (lost ball; steal by S. Hill),,15-15,,
5:03.0,,,15-15,,A. Davis misses 2-pt shot from 8 ft
5:02.0,,,15-15,,Offensive rebound by S. Hill
4:54.0,,,15-15,,J. Holiday misses 2-pt shot from 2 ft
4:53.0,Defensive rebound by J. Murray,,15-15,,
4:45.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Murray),3,18-15,,
4:27.0,,,18-15,,Shooting foul by M. Plumlee (drawn by D. Cousins)
4:27.0,,,18-16,1,D. Cousins makes free throw 1 of 2
4:27.0,,,18-17,1,D. Cousins makes free throw 2 of 2
4:27.0,E. Mudiay enters the game for J. Murray,,18-16,,
4:27.0,,,18-16,,E. Moore enters the game for T. Frazier
4:10.0,M. Plumlee misses 2-pt shot from 12 ft,,18-17,,
4:08.0,,,18-17,,Defensive rebound by D. Cousins
3:57.0,,,18-20,3,S. Hill makes 3-pt shot from 27 ft (assist by D. Cousins)
3:46.0,N. Jokic makes 2-pt shot from 2 ft (assist by E. Mudiay),2,20-20,,
3:31.0,,,20-22,2,A. Davis makes 2-pt shot from 2 ft
3:15.0,E. Mudiay misses 3-pt shot from 25 ft,,20-22,,
3:12.0,,,20-22,,Defensive rebound by Team
3:12.0,,,20-22,,A. Ajinca enters the game for D. Cousins
3:06.0,,,20-22,,E. Moore misses 3-pt shot from 25 ft
3:04.0,,,20-22,,Offensive rebound by A. Ajinca
3:03.0,,,20-22,,A. Ajinca misses 2-pt shot from 3 ft
3:02.0,Defensive rebound by G. Harris,,20-22,,
2:43.0,W. Chandler misses 3-pt shot from 27 ft,,20-22,,
2:39.0,Offensive rebound by Team,,20-22,,
2:39.0,,,20-22,,New Orleans full timeout
2:39.0,,,20-22,,D. Cunningham enters the game for S. Hill
2:35.0,N. Jokic misses 2-pt shot from 16 ft,,20-22,,
2:33.0,,,20-22,,Defensive rebound by A. Ajinca
2:21.0,,,20-24,2,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday)
2:10.0,N. Jokic misses 2-pt shot from 2 ft,,20-24,,
2:09.0,,,20-24,,Defensive rebound by A. Davis
2:02.0,,,20-24,,A. Davis misses 2-pt shot from 16 ft
1:58.0,Defensive rebound by W. Chandler,,20-24,,
1:40.0,G. Harris misses 2-pt shot from 2 ft,,20-24,,
1:37.0,Offensive rebound by N. Jokic,,20-24,,
1:35.0,N. Jokic misses 3-pt shot from 25 ft,,20-24,,
1:32.0,Offensive rebound by M. Plumlee,,20-24,,
1:31.0,M. Plumlee misses 2-pt shot from 3 ft,,20-24,,
1:30.0,Offensive rebound by G. Harris,,20-24,,
1:29.0,G. Harris makes 2-pt shot from 4 ft,2,22-24,,
1:15.0,,,22-27,3,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday)
0:56.0,W. Chandler makes 2-pt shot from 3 ft,2,24-27,,
0:56.0,Violation by Team (jump ball),,24-27,,
0:46.0,,,24-29,2,J. Holiday makes 2-pt shot from 23 ft
0:36.0,E. Mudiay misses 2-pt shot from 2 ft,,24-29,,
0:35.0,Offensive rebound by G. Harris,,24-29,,
0:30.0,W. Chandler makes 3-pt shot from 25 ft (assist by E. Mudiay),3,27-29,,
0:08.0,,,27-29,,A. Davis misses 2-pt shot from 6 ft
0:07.0,,,27-29,,Offensive rebound by A. Davis
0:07.0,,,27-31,2,A. Davis makes 2-pt shot from 6 ft
0:01.0,G. Harris misses 2-pt shot from 13 ft,,27-31,,
0:00.0,Offensive rebound by Team,,27-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,W. Chandler makes 2-pt shot from 15 ft (assist by M. Plumlee),2,29-31,,
11:30.0,,,29-33,2,D. Cousins makes 2-pt shot from 3 ft
11:30.0,,,29-33,,Shooting foul by M. Plumlee (drawn by D. Cousins)
11:30.0,,,29-34,1,D. Cousins makes free throw 1 of 1
11:30.0,,,29-33,,S. Hill enters the game for A. Ajinca
11:14.0,M. Plumlee misses 2-pt shot at rim (block by D. Cousins),,29-34,,
11:13.0,Offensive rebound by W. Chandler,,29-34,,
11:07.0,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Chandler),3,32-34,,
10:48.0,,,32-34,,D. Cousins misses 2-pt shot from 13 ft
10:47.0,Defensive rebound by W. Chandler,,32-34,,
10:41.0,W. Chandler makes 2-pt shot from 2 ft,2,34-34,,
10:35.0,,,34-36,2,J. Crawford makes 2-pt shot from 2 ft
10:35.0,,,34-36,,Shooting foul by E. Mudiay (drawn by J. Crawford)
10:35.0,,,34-37,1,J. Crawford makes free throw 1 of 1
10:22.0,Shooting foul by D. Cousins (drawn by E. Mudiay),,34-37,,
10:22.0,E. Mudiay makes free throw 1 of 2,1,35-37,,
10:22.0,E. Mudiay misses free throw 2 of 2,,35-37,,
10:22.0,,,35-37,,A. Davis enters the game for D. Cousins
10:21.0,,,35-37,,Defensive rebound by S. Hill
10:15.0,,,35-39,2,E. Moore makes 2-pt shot from 2 ft
10:15.0,,,35-39,,Shooting foul by J. Murray (drawn by E. Moore)
10:15.0,,,35-39,,E. Moore misses free throw 1 of 1
10:14.0,Defensive rebound by D. Gallinari,,35-39,,
10:04.0,W. Chandler makes 2-pt shot from 3 ft,2,37-39,,
10:04.0,Shooting foul by J. Crawford (drawn by W. Chandler),,37-39,,
10:04.0,W. Chandler makes free throw 1 of 1,1,38-39,,
9:53.0,,,38-41,2,A. Davis makes 2-pt shot from 17 ft (assist by E. Moore)
9:34.0,E. Mudiay makes 2-pt shot from 11 ft,2,40-41,,
9:17.0,,,40-41,,A. Davis misses 2-pt shot from 19 ft
9:16.0,Defensive rebound by D. Gallinari,,40-41,,
9:05.0,J. Murray misses 3-pt shot from 25 ft,,40-41,,
9:03.0,Offensive rebound by M. Plumlee,,40-41,,
8:56.0,Official timeout,,40-41,,
8:56.0,Jump ball: A. Davis vs. E. Mudiay (D. Cunningham gains possession),,,,Jump ball: A. Davis vs. E. Mudiay (D. Cunningham gains possession)
8:56.0,Turnover by E. Mudiay (lost ball; steal by A. Davis),,40-41,,
8:36.0,,,40-44,3,S. Hill makes 3-pt shot from 25 ft (assist by J. Crawford)
8:19.0,D. Gallinari makes 2-pt shot from 16 ft,2,42-44,,
8:10.0,,,42-46,2,E. Moore makes 2-pt shot from 2 ft
8:03.0,M. Plumlee misses 2-pt shot from 3 ft (block by S. Hill),,42-46,,
8:02.0,Offensive rebound by M. Plumlee,,42-46,,
8:00.0,M. Plumlee makes 2-pt shot from 2 ft,2,44-46,,
8:00.0,Shooting foul by A. Davis (drawn by M. Plumlee),,44-46,,
8:00.0,M. Plumlee makes free throw 1 of 1,1,45-46,,
7:46.0,,,45-46,,S. Hill misses 2-pt shot from 4 ft
7:44.0,,,45-46,,Offensive rebound by A. Davis
7:44.0,,,45-48,2,A. Davis makes 2-pt shot from 3 ft
7:34.0,D. Gallinari makes 3-pt shot from 25 ft (assist by E. Mudiay),3,48-48,,
7:22.0,,,48-48,,J. Crawford misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by M. Plumlee,,48-48,,
7:11.0,E. Mudiay misses 2-pt shot from 2 ft,,48-48,,
7:10.0,Offensive rebound by W. Chandler,,48-48,,
7:02.0,J. Murray misses 3-pt shot from 25 ft,,48-48,,
7:02.0,,,48-48,,Defensive rebound by E. Moore
6:57.0,,,48-50,2,J. Crawford makes 2-pt shot from 3 ft (assist by E. Moore)
6:57.0,Denver full timeout,,48-50,,
6:57.0,G. Harris enters the game for J. Murray,,48-50,,
6:47.0,M. Plumlee makes 2-pt shot at rim (assist by E. Mudiay),2,50-50,,
6:25.0,,,50-52,2,J. Crawford makes 2-pt shot from 12 ft
6:05.0,W. Chandler misses 2-pt shot from 6 ft (block by E. Moore),,50-52,,
6:04.0,Offensive rebound by G. Harris,,50-52,,
6:04.0,Turnover by G. Harris (lost ball),,50-52,,
6:04.0,N. Jokic enters the game for M. Plumlee,,50-52,,
6:04.0,,,50-52,,J. Holiday enters the game for E. Moore
5:51.0,,,50-54,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
5:35.0,N. Jokic makes 2-pt shot at rim (assist by G. Harris),2,52-54,,
5:14.0,,,52-54,,S. Hill misses 3-pt shot from 28 ft
5:14.0,Defensive rebound by W. Chandler,,52-54,,
4:57.0,Shooting foul by J. Crawford (drawn by E. Mudiay),,52-54,,
4:57.0,E. Mudiay makes 2-pt shot from 1 ft,2,54-54,,
4:57.0,E. Mudiay makes free throw 1 of 1,1,55-54,,
4:57.0,K. Faried enters the game for W. Chandler,,54-54,,
4:57.0,,,54-54,,D. Cousins enters the game for D. Cunningham
4:45.0,,,55-57,3,J. Holiday makes 3-pt shot from 25 ft
4:31.0,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic),3,58-57,,
4:20.0,,,58-57,,J. Crawford misses 3-pt shot from 23 ft
4:18.0,Defensive rebound by N. Jokic,,58-57,,
4:06.0,D. Gallinari makes 3-pt shot from 23 ft (assist by G. Harris),3,61-57,,
3:47.0,,,61-60,3,J. Holiday makes 3-pt shot from 24 ft
3:35.0,D. Gallinari misses 3-pt shot from 26 ft,,61-60,,
3:35.0,,,61-60,,Defensive rebound by J. Holiday
3:28.0,,,61-62,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:07.0,G. Harris makes 2-pt shot at rim (assist by K. Faried),2,63-62,,
3:00.0,,,63-62,,New Orleans full timeout
2:50.0,,,63-65,3,S. Hill makes 3-pt shot from 27 ft (assist by J. Holiday)
2:33.0,G. Harris makes 2-pt shot from 14 ft,2,65-65,,
2:25.0,,,65-68,3,S. Hill makes 3-pt shot from 26 ft (assist by D. Cousins)
1:59.0,E. Mudiay makes 2-pt shot from 1 ft (assist by G. Harris),2,67-68,,
1:41.0,,,67-70,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
1:28.0,E. Mudiay misses 2-pt shot from 3 ft,,67-70,,
1:27.0,,,67-70,,Defensive rebound by D. Cousins
1:26.0,Personal foul by K. Faried (drawn by D. Cousins),,67-70,,
1:26.0,,,67-70,,T. Frazier enters the game for J. Crawford
1:26.0,W. Chandler enters the game for K. Faried,,67-70,,
1:11.0,,,67-70,,J. Holiday misses 3-pt shot from 25 ft
1:11.0,,,67-70,,Offensive rebound by D. Cousins
1:11.0,Personal foul by W. Chandler (drawn by D. Cousins),,67-70,,
1:11.0,,,67-71,1,D. Cousins makes free throw 1 of 2
1:11.0,,,67-71,,D. Cousins misses free throw 2 of 2
1:08.0,Defensive rebound by N. Jokic,,67-71,,
1:00.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,69-71,,
0:50.0,,,69-71,,J. Holiday misses 2-pt shot from 2 ft
0:49.0,Defensive rebound by W. Chandler,,69-71,,
0:38.0,W. Chandler misses 3-pt shot from 23 ft,,69-71,,
0:37.0,,,69-71,,Defensive rebound by T. Frazier
0:31.0,,,69-73,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
0:12.0,N. Jokic misses 2-pt shot from 5 ft (block by A. Davis),,69-73,,
0:11.0,,,69-73,,Defensive rebound by J. Holiday
0:06.0,,,69-75,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
0:01.0,D. Gallinari misses 2-pt shot from 6 ft,,69-75,,
0:00.0,Offensive rebound by Team,,69-75,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,M. Plumlee makes 2-pt shot from 3 ft (assist by J. Murray),2,71-75,,
11:35.0,Personal foul by M. Plumlee (drawn by D. Cousins),,71-75,,
11:28.0,,,71-75,,Turnover by D. Cousins (lost ball)
11:26.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,73-75,,
11:24.0,,,73-75,,New Orleans full timeout
10:59.0,,,73-75,,S. Hill misses 2-pt shot from 16 ft
10:59.0,,,73-75,,Offensive rebound by D. Cousins
10:56.0,,,73-77,2,D. Cousins makes 2-pt shot from 2 ft
10:46.0,M. Plumlee makes 2-pt shot at rim (assist by J. Murray),2,75-77,,
10:34.0,,,75-80,3,S. Hill makes 3-pt shot from 26 ft (assist by D. Cousins)
10:15.0,J. Murray misses 2-pt shot from 7 ft,,75-80,,
10:12.0,Offensive rebound by M. Plumlee,,75-80,,
10:08.0,J. Murray misses 3-pt shot from 23 ft,,75-80,,
10:06.0,Offensive rebound by N. Jokic,,75-80,,
10:04.0,N. Jokic makes 2-pt shot from 2 ft,2,77-80,,
9:53.0,,,77-82,2,A. Davis makes 2-pt shot from 3 ft (assist by T. Frazier)
9:27.0,D. Gallinari makes 2-pt shot from 2 ft,2,79-82,,
9:16.0,,,79-82,,J. Holiday misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by M. Plumlee,,79-82,,
8:59.0,Turnover by M. Plumlee (bad pass; steal by D. Cousins),,79-82,,
8:54.0,,,79-82,,S. Hill misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by J. Murray,,79-82,,
8:34.0,J. Murray makes 2-pt shot from 9 ft (assist by M. Plumlee),2,81-82,,
8:18.0,,,81-82,,A. Davis misses 2-pt shot from 17 ft
8:16.0,,,81-82,,Offensive rebound by S. Hill
8:11.0,,,81-85,3,A. Davis makes 3-pt shot from 24 ft (assist by T. Frazier)
7:55.0,Turnover by G. Harris (bad pass),,81-85,,
7:51.0,,,81-85,,J. Holiday misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by N. Jokic,,81-85,,
7:35.0,M. Plumlee makes 2-pt shot from 2 ft (assist by N. Jokic),2,83-85,,
7:25.0,,,83-85,,Turnover by J. Holiday (lost ball)
7:12.0,J. Murray misses 3-pt shot from 26 ft,,83-85,,
7:12.0,,,83-85,,Defensive rebound by D. Cousins
7:02.0,,,83-85,,A. Davis misses 3-pt shot from 23 ft
7:01.0,Defensive rebound by M. Plumlee,,83-85,,
6:51.0,N. Jokic makes 2-pt shot from 12 ft,2,85-85,,
6:31.0,,,85-85,,D. Cousins misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by N. Jokic,,85-85,,
6:21.0,M. Plumlee makes 2-pt shot from 14 ft (assist by J. Murray),2,87-85,,
6:07.0,,,87-85,,D. Cousins misses 2-pt shot from 3 ft
6:06.0,,,87-85,,Offensive rebound by D. Cousins
6:05.0,,,87-87,2,D. Cousins makes 2-pt shot from 2 ft
5:44.0,G. Harris makes 2-pt shot from 1 ft,2,89-87,,
5:24.0,,,89-87,,A. Davis misses 3-pt shot from 26 ft
5:24.0,Defensive rebound by J. Murray,,89-87,,
5:18.0,Turnover by J. Murray (bad pass; steal by J. Holiday),,89-87,,
5:16.0,,,89-89,2,J. Holiday makes 2-pt shot from 2 ft (assist by T. Frazier)
5:14.0,Denver full timeout,,89-89,,
5:14.0,W. Chandler enters the game for J. Murray,,89-89,,
5:14.0,E. Mudiay enters the game for M. Plumlee,,89-89,,
5:14.0,,,89-89,,E. Moore enters the game for T. Frazier
5:03.0,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris),2,91-89,,
4:49.0,,,91-92,3,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday)
4:25.0,N. Jokic makes 2-pt shot from 7 ft,2,93-92,,
4:09.0,,,93-92,,D. Cousins misses 2-pt shot from 2 ft
4:09.0,,,93-92,,Offensive rebound by Team
4:09.0,,,93-92,,D. Cunningham enters the game for D. Cousins
4:06.0,,,93-92,,Shooting foul by W. Chandler (drawn by A. Davis)
4:06.0,,,93-93,1,A. Davis makes free throw 1 of 2
4:06.0,,,93-94,1,A. Davis makes free throw 2 of 2
3:51.0,E. Mudiay misses 2-pt shot from 2 ft (block by J. Holiday),,93-94,,
3:50.0,Offensive rebound by Team,,93-94,,
3:44.0,Shooting foul by S. Hill (drawn by W. Chandler),,93-94,,
3:44.0,W. Chandler makes free throw 1 of 2,1,94-94,,
3:44.0,W. Chandler makes free throw 2 of 2,1,95-94,,
3:42.0,Personal foul by G. Harris (drawn by E. Moore),,95-94,,
3:33.0,,,95-94,,Shooting foul by E. Mudiay (drawn by J. Holiday)
3:33.0,,,95-95,1,J. Holiday makes free throw 1 of 2
3:33.0,,,95-96,1,J. Holiday makes free throw 2 of 2
3:16.0,E. Mudiay misses 3-pt shot from 23 ft,,95-96,,
3:16.0,,,95-96,,Defensive rebound by E. Moore
3:03.0,,,95-98,2,A. Davis makes 2-pt shot from 5 ft (assist by E. Moore)
2:52.0,Shooting foul by A. Davis (drawn by D. Gallinari),,95-98,,
2:52.0,D. Gallinari misses free throw 1 of 2,,95-98,,
2:52.0,Offensive rebound by Team,,95-98,,
2:52.0,D. Gallinari makes free throw 2 of 2,1,96-98,,
2:42.0,,,96-98,,A. Davis misses 2-pt shot from 18 ft
2:42.0,Defensive rebound by G. Harris,,96-98,,
2:21.0,D. Gallinari misses 3-pt shot from 22 ft,,96-98,,
2:20.0,,,96-98,,Defensive rebound by J. Holiday
2:11.0,,,96-100,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
2:11.0,,,96-100,,Shooting foul by W. Chandler (drawn by A. Davis)
2:11.0,,,96-101,1,A. Davis makes free throw 1 of 1
2:11.0,M. Plumlee enters the game for N. Jokic,,96-100,,
2:11.0,J. Murray enters the game for G. Harris,,96-100,,
2:00.0,E. Mudiay misses 2-pt shot from 10 ft,,96-101,,
1:59.0,Offensive rebound by M. Plumlee,,96-101,,
1:53.0,E. Mudiay misses 2-pt shot from 2 ft (block by A. Davis),,96-101,,
1:53.0,Offensive rebound by Team,,96-101,,
1:35.0,W. Chandler misses 2-pt shot from 20 ft,,96-101,,
1:34.0,Offensive rebound by Team,,96-101,,
1:25.0,W. Chandler misses 3-pt shot from 25 ft,,96-101,,
1:24.0,,,96-101,,Defensive rebound by A. Davis
1:07.0,,,96-101,,A. Davis misses 2-pt shot from 3 ft
1:06.0,Defensive rebound by W. Chandler,,96-101,,
1:00.0,J. Murray makes 3-pt shot from 26 ft (assist by W. Chandler),3,99-101,,
0:50.0,,,99-101,,Shooting foul by W. Chandler (drawn by J. Holiday)
0:50.0,,,99-102,1,J. Holiday makes free throw 1 of 2
0:50.0,,,99-103,1,J. Holiday makes free throw 2 of 2
0:50.0,,,99-102,,D. Cousins enters the game for A. Davis
0:36.0,,,99-103,,J. Crawford enters the game for J. Holiday
0:36.0,M. Plumlee misses 2-pt shot from 6 ft,,99-103,,
0:35.0,,,99-103,,Defensive rebound by D. Cousins
0:12.0,,,99-105,2,E. Moore makes 2-pt shot from 2 ft
0:05.0,D. Gallinari makes 3-pt shot from 26 ft (assist by E. Mudiay),3,102-105,,
0:00.0,,,102-105,,E. Moore misses 2-pt shot from 15 ft
0:00.0,,,102-105,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,102-105,,D. Cousins misses 2-pt shot from 22 ft
11:43.0,Defensive rebound by G. Harris,,102-105,,
11:32.0,J. Murray makes 2-pt shot from 16 ft,2,104-105,,
11:14.0,,,104-105,,J. Crawford misses 2-pt shot from 18 ft
11:13.0,Defensive rebound by M. Plumlee,,104-105,,
11:04.0,Offensive charge foul by W. Chandler,,104-105,,
11:04.0,Turnover by W. Chandler (offensive foul),,104-105,,
11:04.0,D. Gallinari enters the game for W. Chandler,,104-105,,
10:53.0,,,104-105,,Turnover by J. Crawford (bad pass)
10:38.0,E. Mudiay makes 3-pt shot from 26 ft (assist by D. Gallinari),3,107-105,,
10:21.0,,,107-105,,J. Crawford misses 2-pt shot from 8 ft
10:20.0,Defensive rebound by M. Plumlee,,107-105,,
9:59.0,J. Murray makes 2-pt shot from 19 ft (assist by M. Plumlee),2,109-105,,
9:59.0,,,109-105,,New Orleans full timeout
9:59.0,,,109-105,,J. Holiday enters the game for S. Hill
9:43.0,,,109-105,,J. Crawford misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by G. Harris,,109-105,,
9:28.0,E. Mudiay misses 2-pt shot from 16 ft,,109-105,,
9:27.0,,,109-105,,Defensive rebound by D. Cousins
9:22.0,Personal foul by G. Harris (drawn by D. Cunningham),,109-105,,
9:11.0,,,109-107,2,J. Crawford makes 2-pt shot from 3 ft (assist by D. Cousins)
8:47.0,E. Mudiay makes 3-pt shot from 27 ft (assist by D. Gallinari),3,112-107,,
8:32.0,,,112-110,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
8:15.0,G. Harris makes 2-pt shot from 19 ft,2,114-110,,
8:08.0,,,114-110,,Turnover by J. Crawford (lost ball; steal by G. Harris)
8:01.0,J. Murray makes 2-pt shot from 14 ft (assist by E. Mudiay),2,116-110,,
7:38.0,,,116-110,,D. Cousins misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by J. Murray,,116-110,,
7:14.0,M. Plumlee misses 2-pt shot from 12 ft,,116-110,,
7:14.0,Offensive rebound by Team,,116-110,,
7:14.0,Turnover by Team (shot clock),,116-110,,
7:14.0,,,116-110,,A. Davis enters the game for D. Cunningham
7:01.0,,,116-110,,D. Cousins misses 2-pt shot from 2 ft (block by M. Plumlee)
7:00.0,Defensive rebound by M. Plumlee,,116-110,,
6:55.0,D. Gallinari makes 3-pt shot from 26 ft (assist by E. Mudiay),3,119-110,,
6:53.0,,,119-110,,New Orleans full timeout
6:53.0,,,119-110,,S. Hill enters the game for J. Crawford
6:43.0,,,119-112,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
6:22.0,E. Mudiay misses 2-pt shot from 2 ft (block by D. Cousins),,119-112,,
6:21.0,,,119-112,,Defensive rebound by D. Cousins
6:13.0,,,119-112,,D. Cousins misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by D. Gallinari,,119-112,,
5:55.0,J. Murray makes 2-pt shot from 1 ft,2,121-112,,
5:45.0,,,121-112,,Shooting foul by D. Gallinari (drawn by D. Cousins)
5:45.0,,,121-113,1,D. Cousins makes free throw 1 of 2
5:45.0,,,121-114,1,D. Cousins makes free throw 2 of 2
5:45.0,N. Jokic enters the game for M. Plumlee,,121-113,,
5:28.0,J. Murray misses 2-pt shot from 11 ft,,121-114,,
5:26.0,,,121-114,,Defensive rebound by D. Cousins
5:18.0,,,121-116,2,E. Moore makes 2-pt shot from 3 ft
5:16.0,Denver full timeout,,121-116,,
5:16.0,W. Chandler enters the game for E. Mudiay,,121-116,,
5:07.0,N. Jokic makes 2-pt shot from 15 ft (assist by D. Gallinari),2,123-116,,
4:41.0,,,123-118,2,E. Moore makes 2-pt shot from 20 ft (assist by J. Holiday)
4:26.0,,,123-118,,Personal foul by E. Moore (drawn by J. Murray)
4:26.0,,,123-118,,Technical foul by E. Moore (drawn by J. Murray)
4:26.0,Technical foul by J. Murray,,123-118,,
4:21.0,,,123-118,,Personal foul by D. Cousins (drawn by N. Jokic)
4:16.0,N. Jokic makes 2-pt shot from 2 ft,2,125-118,,
3:57.0,,,125-118,,D. Cousins misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by G. Harris,,125-118,,
3:41.0,D. Gallinari misses 3-pt shot from 27 ft,,125-118,,
3:41.0,,,125-118,,Defensive rebound by E. Moore
3:32.0,,,125-118,,E. Moore misses 2-pt shot from 7 ft
3:29.0,,,125-118,,Offensive rebound by D. Cousins
3:29.0,,,125-120,2,D. Cousins makes 2-pt shot from 2 ft
3:12.0,N. Jokic misses 3-pt shot from 24 ft,,125-120,,
