time,Philadelphia,pts.away,score,pts.home,Toronto
5:34.0,Turnover by S. Rodriguez (bad pass; steal by D. DeRozan),,11-14,,
5:28.0,,,11-14,,K. Lowry misses 2-pt shot from 6 ft
5:27.0,Defensive rebound by S. Rodriguez,,11-14,,
5:19.0,R. Covington makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,14-14,,
4:55.0,,,14-14,,D. DeRozan misses 2-pt shot from 11 ft
4:55.0,Defensive rebound by E. Ilyasova,,14-14,,
4:47.0,G. Henderson misses 2-pt shot from 4 ft (block by P. Siakam),,14-14,,
4:47.0,Offensive rebound by Team,,14-14,,
4:47.0,D. Saric enters the game for E. Ilyasova,,14-14,,
4:47.0,N. Stauskas enters the game for G. Henderson,,14-14,,
4:41.0,S. Rodriguez makes 3-pt shot from 27 ft (assist by N. Stauskas),3,17-14,,
4:21.0,,,17-17,3,K. Lowry makes 3-pt shot from 29 ft (assist by D. Carroll)
4:05.0,D. Saric misses 3-pt shot from 24 ft,,17-17,,
4:05.0,Offensive rebound by S. Rodriguez,,17-17,,
4:02.0,S. Rodriguez misses 2-pt shot from 11 ft,,17-17,,
4:02.0,,,17-17,,Defensive rebound by J. Valanciunas
3:55.0,,,17-17,,Turnover by D. DeRozan (lost ball; steal by R. Covington)
3:48.0,R. Covington misses 3-pt shot from 24 ft,,17-17,,
3:48.0,,,17-17,,Defensive rebound by J. Valanciunas
3:42.0,,,17-17,,Shooting foul by R. Covington (drawn by P. Siakam)
3:42.0,,,17-18,1,P. Siakam makes free throw 1 of 2
3:42.0,,,17-19,1,P. Siakam makes free throw 2 of 2
3:42.0,,,17-18,,C. Joseph enters the game for K. Lowry
3:42.0,R. Holmes enters the game for J. Okafor,,17-18,,
3:42.0,,,17-18,,T. Ross enters the game for D. Carroll
3:42.0,T. McConnell enters the game for S. Rodriguez,,17-18,,
3:30.0,N. Stauskas misses 2-pt shot from 5 ft,,17-19,,
3:29.0,Offensive rebound by R. Holmes,,17-19,,
3:28.0,R. Holmes misses 2-pt shot from 1 ft,,17-19,,
3:28.0,,,17-19,,Defensive rebound by J. Valanciunas
3:17.0,,,17-19,,J. Valanciunas misses 2-pt shot from 5 ft
3:17.0,Defensive rebound by D. Saric,,17-19,,
3:05.0,R. Covington makes 3-pt shot from 23 ft (assist by R. Holmes),3,20-19,,
2:44.0,,,20-21,2,J. Valanciunas makes 2-pt shot from 5 ft
2:33.0,R. Holmes makes 2-pt shot from 21 ft (assist by D. Saric),2,22-21,,
2:24.0,,,22-23,2,C. Joseph makes 2-pt shot from 20 ft
2:19.0,Philadelphia full timeout,,22-23,,
2:19.0,,,22-23,,L. Nogueira enters the game for P. Siakam
2:19.0,,,22-23,,P. Patterson enters the game for J. Valanciunas
2:19.0,H. Thompson enters the game for R. Covington,,22-23,,
2:04.0,,,22-23,,Personal foul by C. Joseph (drawn by D. Saric)
1:57.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,24-23,,
1:42.0,,,24-23,,T. Ross misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by R. Holmes,,24-23,,
1:33.0,T. McConnell makes 2-pt shot from 4 ft,2,26-23,,
1:18.0,,,26-23,,Shooting foul by T. McConnell (drawn by L. Nogueira)
1:18.0,,,26-24,1,L. Nogueira makes free throw 1 of 2
1:18.0,,,26-25,1,L. Nogueira makes free throw 2 of 2
1:05.0,H. Thompson misses 3-pt shot from 26 ft,,26-25,,
1:04.0,,,26-25,,Defensive rebound by C. Joseph
0:50.0,,,26-27,2,C. Joseph makes 2-pt shot from 18 ft
0:40.0,R. Holmes misses 2-pt shot from 18 ft,,26-27,,
0:40.0,,,26-27,,Defensive rebound by C. Joseph
0:31.0,,,26-30,3,P. Patterson makes 3-pt shot from 26 ft (assist by C. Joseph)
0:20.0,D. Saric misses 2-pt shot from 6 ft,,26-30,,
0:20.0,Offensive rebound by D. Saric,,26-30,,
0:03.0,N. Stauskas misses 3-pt shot from 26 ft,,26-30,,
0:01.0,,,26-30,,Defensive rebound by P. Patterson
0:00.0,,,26-33,3,P. Patterson makes 3-pt shot from 57 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,H. Thompson makes 2-pt shot from 3 ft (assist by D. Saric),2,28-33,,
11:23.0,,,28-36,3,K. Lowry makes 3-pt shot from 26 ft (assist by P. Patterson)
11:10.0,D. Saric misses 2-pt shot from 21 ft,,28-36,,
11:10.0,Offensive rebound by H. Thompson,,28-36,,
11:03.0,H. Thompson misses 2-pt shot from 8 ft (block by L. Nogueira),,28-36,,
11:03.0,,,28-36,,Defensive rebound by T. Ross
10:44.0,,,28-36,,C. Joseph misses 2-pt shot from 4 ft (block by D. Saric)
10:43.0,Defensive rebound by R. Holmes,,28-36,,
10:32.0,D. Saric makes 2-pt shot from 18 ft,2,30-36,,
10:14.0,,,30-36,,L. Nogueira misses 2-pt shot from 4 ft
10:14.0,,,30-36,,Offensive rebound by L. Nogueira
10:14.0,R. Covington enters the game for N. Stauskas,,30-36,,
10:08.0,,,30-36,,Turnover by K. Lowry (3 sec)
9:57.0,Turnover by D. Saric (bad pass; steal by P. Patterson),,30-36,,
9:51.0,,,30-36,,P. Patterson misses 3-pt shot from 26 ft
9:50.0,,,30-36,,Offensive rebound by Team
9:46.0,,,30-36,,T. Ross misses 2-pt shot from 17 ft
9:45.0,Defensive rebound by D. Saric,,30-36,,
9:33.0,R. Holmes makes 3-pt shot from 24 ft (assist by T. McConnell),3,33-36,,
9:23.0,,,33-38,2,L. Nogueira makes 2-pt shot at rim (assist by C. Joseph)
9:03.0,R. Holmes misses 2-pt shot from 5 ft,,33-38,,
9:03.0,Offensive rebound by R. Holmes,,33-38,,
9:01.0,Turnover by R. Holmes (lost ball; steal by K. Lowry),,33-38,,
8:51.0,,,33-41,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
8:51.0,Philadelphia full timeout,,33-41,,
8:51.0,S. Rodriguez enters the game for D. Saric,,33-41,,
8:51.0,E. Ilyasova enters the game for R. Holmes,,33-41,,
8:51.0,J. Okafor enters the game for T. McConnell,,33-41,,
8:51.0,G. Henderson enters the game for H. Thompson,,33-41,,
8:45.0,,,33-41,,Violation by T. Ross (kicked ball)
8:25.0,E. Ilyasova makes 2-pt shot from 21 ft (assist by G. Henderson),2,35-41,,
8:09.0,,,35-41,,Shooting foul by J. Okafor (drawn by L. Nogueira)
8:09.0,,,35-42,1,L. Nogueira makes free throw 1 of 2
8:09.0,,,35-42,,L. Nogueira misses free throw 2 of 2
8:08.0,Defensive rebound by J. Okafor,,35-42,,
7:52.0,Turnover by G. Henderson (lost ball; steal by L. Nogueira),,35-42,,
7:40.0,,,35-42,,P. Patterson misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by G. Henderson,,35-42,,
7:27.0,R. Covington makes 3-pt shot from 25 ft (assist by S. Rodriguez),3,38-42,,
7:08.0,,,38-42,,C. Joseph misses 2-pt shot from 15 ft
7:07.0,,,38-42,,Offensive rebound by L. Nogueira
7:02.0,,,38-42,,T. Ross misses 3-pt shot from 26 ft
7:01.0,,,38-42,,Offensive rebound by T. Ross
6:56.0,,,38-42,,C. Joseph misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by E. Ilyasova,,38-42,,
6:48.0,R. Covington misses 3-pt shot from 23 ft,,38-42,,
6:47.0,,,38-42,,Defensive rebound by Team
6:43.0,Personal foul by S. Rodriguez (drawn by C. Joseph),,38-42,,
6:43.0,,,38-42,,D. DeRozan enters the game for C. Joseph
6:43.0,,,38-42,,J. Valanciunas enters the game for L. Nogueira
6:23.0,,,38-44,2,P. Patterson makes 2-pt shot from 16 ft (assist by D. DeRozan)
6:11.0,J. Okafor misses 2-pt shot from 4 ft,,38-44,,
6:11.0,,,38-44,,Defensive rebound by J. Valanciunas
6:06.0,,,38-44,,Shooting foul by S. Rodriguez (drawn by K. Lowry)
6:06.0,,,38-45,1,K. Lowry makes free throw 1 of 2
6:06.0,,,38-46,1,K. Lowry makes free throw 2 of 2
5:57.0,E. Ilyasova misses 3-pt shot from 25 ft,,38-46,,
5:56.0,,,38-46,,Defensive rebound by D. DeRozan
5:46.0,,,38-46,,D. DeRozan misses 2-pt shot from 7 ft
5:45.0,Defensive rebound by R. Covington,,38-46,,
5:35.0,G. Henderson misses 2-pt shot from 5 ft,,38-46,,
5:34.0,,,38-46,,Defensive rebound by T. Ross
5:24.0,,,38-49,3,K. Lowry makes 3-pt shot from 26 ft
5:03.0,Turnover by E. Ilyasova (traveling),,38-49,,
5:03.0,Official timeout,,38-49,,
5:03.0,,,38-49,,D. Carroll enters the game for T. Ross
5:03.0,,,38-49,,N. Powell enters the game for P. Patterson
4:41.0,,,38-49,,K. Lowry misses 2-pt shot from 3 ft (block by J. Okafor)
4:41.0,,,38-49,,Offensive rebound by Team
4:37.0,,,38-49,,J. Valanciunas misses 2-pt shot from 16 ft
4:37.0,Defensive rebound by R. Covington,,38-49,,
4:29.0,J. Okafor misses 2-pt shot from 4 ft (block by N. Powell),,38-49,,
4:29.0,Offensive rebound by J. Okafor,,38-49,,
4:29.0,N. Stauskas enters the game for R. Covington,,38-49,,
4:28.0,Jump ball: J. Okafor vs. N. Powell (S. Rodriguez gains possession),,,,Jump ball: J. Okafor vs. N. Powell (S. Rodriguez gains possession)
4:13.0,J. Okafor makes 2-pt shot from 7 ft,2,40-49,,
3:59.0,,,40-51,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
3:36.0,S. Rodriguez misses 3-pt shot from 26 ft,,40-51,,
3:36.0,Offensive rebound by Team,,40-51,,
3:36.0,,,40-51,,Loose ball foul by D. Carroll (drawn by E. Ilyasova)
3:17.0,J. Okafor makes 2-pt shot from 4 ft,2,42-51,,
3:05.0,,,42-53,2,D. DeRozan makes 2-pt shot from 13 ft
2:45.0,J. Okafor misses 2-pt shot from 5 ft (block by J. Valanciunas),,42-53,,
2:43.0,Offensive rebound by J. Okafor,,42-53,,
2:41.0,J. Okafor makes 2-pt shot from 3 ft,2,44-53,,
2:36.0,,,44-53,,Toronto full timeout
2:36.0,R. Covington enters the game for G. Henderson,,44-53,,
2:36.0,,,44-53,,C. Joseph enters the game for K. Lowry
2:26.0,,,44-53,,D. DeRozan misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by J. Okafor,,44-53,,
2:18.0,S. Rodriguez makes 2-pt shot from 2 ft,2,46-53,,
2:02.0,,,46-53,,Offensive charge foul by D. DeRozan
2:02.0,,,46-53,,Turnover by D. DeRozan (offensive foul)
2:02.0,D. Saric enters the game for E. Ilyasova,,46-53,,
1:39.0,D. Saric misses 3-pt shot from 23 ft,,46-53,,
1:39.0,,,46-53,,Defensive rebound by D. Carroll
1:34.0,,,46-55,2,N. Powell makes 2-pt shot from 4 ft (assist by D. Carroll)
1:34.0,,,46-55,,Shooting foul by D. Saric (drawn by N. Powell)
1:34.0,,,46-56,1,N. Powell makes free throw 1 of 1
1:17.0,D. Saric makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,48-56,,
1:04.0,,,48-58,2,D. DeRozan makes 2-pt shot from 2 ft
0:43.0,J. Okafor misses 2-pt shot from 7 ft (block by D. Carroll),,48-58,,
0:43.0,Offensive rebound by J. Okafor,,48-58,,
0:43.0,Jump ball: D. Carroll vs. J. Okafor (R. Covington gains possession),,,,Jump ball: D. Carroll vs. J. Okafor (R. Covington gains possession)
0:38.0,D. Saric misses 2-pt shot from 18 ft,,48-58,,
0:37.0,,,48-58,,Defensive rebound by D. Carroll
0:32.0,,,48-60,2,C. Joseph makes 2-pt shot from 1 ft
0:27.0,,,48-60,,Personal block foul by N. Powell (drawn by S. Rodriguez)
0:27.0,,,48-60,,Technical foul by D. DeRozan
0:27.0,S. Rodriguez makes technical free throw,1,49-60,,
0:27.0,Philadelphia full timeout,,49-60,,
0:13.0,J. Okafor misses 2-pt shot from 3 ft (block by J. Valanciunas),,49-60,,
0:13.0,,,49-60,,Defensive rebound by J. Valanciunas
0:13.0,Jump ball: J. Okafor vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: J. Okafor vs. J. Valanciunas (D. DeRozan gains possession)
0:00.0,,,49-60,,D. DeRozan misses 2-pt shot from 17 ft
0:00.0,,,49-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,G. Henderson misses 2-pt shot from 16 ft,,49-60,,
11:46.0,,,49-60,,Defensive rebound by P. Siakam
11:35.0,Personal foul by R. Covington (drawn by D. DeRozan),,49-60,,
11:21.0,,,49-60,,D. DeRozan misses 2-pt shot from 17 ft
11:20.0,Defensive rebound by S. Rodriguez,,49-60,,
11:13.0,G. Henderson misses 3-pt shot from 27 ft,,49-60,,
11:12.0,,,49-60,,Defensive rebound by K. Lowry
11:01.0,,,49-62,2,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry)
10:41.0,E. Ilyasova makes 2-pt shot from 22 ft,2,51-62,,
10:13.0,,,51-64,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by D. DeRozan)
9:52.0,J. Okafor makes 2-pt shot from 5 ft (assist by E. Ilyasova),2,53-64,,
9:38.0,,,53-66,2,D. DeRozan makes 2-pt shot from 5 ft
9:19.0,R. Covington misses 3-pt shot from 26 ft,,53-66,,
9:18.0,,,53-66,,Defensive rebound by D. DeRozan
9:13.0,Personal foul by G. Henderson (drawn by K. Lowry),,53-66,,
9:05.0,,,53-66,,Shooting foul by E. Ilyasova (drawn by P. Siakam)
9:05.0,,,53-66,,P. Siakam misses free throw 1 of 2
9:05.0,,,53-66,,Offensive rebound by Team
9:05.0,,,53-67,1,P. Siakam makes free throw 2 of 2
8:55.0,E. Ilyasova misses 2-pt shot from 23 ft,,53-67,,
8:54.0,Offensive rebound by Team,,53-67,,
8:51.0,G. Henderson misses 2-pt shot from 19 ft,,53-67,,
8:50.0,,,53-67,,Defensive rebound by J. Valanciunas
8:41.0,,,53-69,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
8:41.0,Philadelphia full timeout,,53-69,,
8:41.0,N. Stauskas enters the game for G. Henderson,,53-69,,
8:17.0,N. Stauskas misses 3-pt shot from 24 ft (block by D. Carroll),,53-69,,
8:16.0,,,53-69,,Defensive rebound by K. Lowry
8:09.0,,,53-69,,P. Siakam misses 2-pt shot from 3 ft
8:09.0,Defensive rebound by E. Ilyasova,,53-69,,
7:53.0,Turnover by S. Rodriguez (bad pass; steal by D. Carroll),,53-69,,
7:49.0,,,53-71,2,D. Carroll makes 2-pt shot from 2 ft
7:23.0,Turnover by S. Rodriguez (bad pass; steal by J. Valanciunas),,53-71,,
7:14.0,,,53-74,3,D. Carroll makes 3-pt shot from 26 ft (assist by D. DeRozan)
7:14.0,Philadelphia full timeout,,53-74,,
7:14.0,T. McConnell enters the game for J. Okafor,,53-74,,
7:14.0,R. Holmes enters the game for S. Rodriguez,,53-74,,
7:02.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell),3,56-74,,
6:37.0,,,56-74,,J. Valanciunas misses 2-pt shot from 2 ft
6:36.0,,,56-74,,Offensive rebound by J. Valanciunas
6:35.0,,,56-76,2,J. Valanciunas makes 2-pt shot from 4 ft
6:19.0,Shooting foul by P. Siakam (drawn by E. Ilyasova),,56-76,,
6:19.0,E. Ilyasova makes free throw 1 of 2,1,57-76,,
6:19.0,E. Ilyasova makes free throw 2 of 2,1,58-76,,
6:19.0,,,57-76,,L. Nogueira enters the game for J. Valanciunas
5:52.0,,,58-76,,P. Siakam misses 2-pt shot from 15 ft
5:51.0,Defensive rebound by T. McConnell,,58-76,,
5:42.0,R. Covington makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,61-76,,
5:22.0,,,61-76,,Turnover by K. Lowry (bad pass; steal by R. Holmes)
5:20.0,,,61-76,,Personal foul by D. Carroll (drawn by T. McConnell)
5:02.0,R. Holmes misses 3-pt shot from 23 ft,,61-76,,
5:01.0,Offensive rebound by R. Holmes,,61-76,,
4:55.0,R. Holmes misses 2-pt shot from 3 ft (block by D. DeRozan),,61-76,,
4:54.0,Offensive rebound by R. Holmes,,61-76,,
4:49.0,E. Ilyasova misses 3-pt shot from 26 ft,,61-76,,
4:49.0,,,61-76,,Defensive rebound by K. Lowry
4:39.0,,,61-76,,Shooting foul by R. Holmes (drawn by K. Lowry)
4:39.0,,,61-77,1,K. Lowry makes free throw 1 of 3
4:39.0,,,61-78,1,K. Lowry makes free throw 2 of 3
4:39.0,,,61-78,,K. Lowry misses free throw 3 of 3
4:39.0,D. Saric enters the game for E. Ilyasova,,61-78,,
4:39.0,,,61-78,,P. Patterson enters the game for P. Siakam
4:37.0,Defensive rebound by T. McConnell,,61-78,,
4:20.0,N. Stauskas makes 3-pt shot from 26 ft (assist by R. Covington),3,64-78,,
3:58.0,,,64-78,,C. Joseph enters the game for K. Lowry
3:57.0,,,64-78,,Shooting foul by R. Covington (drawn by D. DeRozan)
3:57.0,,,64-79,1,D. DeRozan makes free throw 1 of 2
3:57.0,,,64-80,1,D. DeRozan makes free throw 2 of 2
3:57.0,,,64-79,,T. Ross enters the game for D. Carroll
3:44.0,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell),2,66-80,,
3:23.0,,,66-82,2,T. Ross makes 2-pt shot from 6 ft
3:05.0,D. Saric misses 2-pt shot from 7 ft,,66-82,,
3:04.0,,,66-82,,Defensive rebound by D. DeRozan
2:45.0,,,66-82,,Shooting foul by R. Holmes (drawn by D. DeRozan)
2:45.0,,,66-82,,Toronto full timeout
2:45.0,,,66-83,1,D. DeRozan makes free throw 1 of 2
2:45.0,,,66-84,1,D. DeRozan makes free throw 2 of 2
2:45.0,H. Thompson enters the game for R. Covington,,66-82,,
2:32.0,N. Stauskas makes 3-pt shot from 25 ft (assist by H. Thompson),3,69-84,,
2:11.0,,,69-84,,D. DeRozan misses 2-pt shot from 22 ft
2:11.0,Defensive rebound by R. Holmes,,69-84,,
2:01.0,T. McConnell misses 2-pt shot from 11 ft,,69-84,,
2:00.0,,,69-84,,Defensive rebound by L. Nogueira
1:52.0,Personal foul by N. Stauskas (drawn by L. Nogueira),,69-84,,
1:52.0,,,69-85,1,L. Nogueira makes free throw 1 of 2
1:52.0,,,69-85,,L. Nogueira misses free throw 2 of 2
1:51.0,Defensive rebound by R. Holmes,,69-85,,
1:30.0,N. Stauskas misses 3-pt shot from 26 ft,,69-85,,
1:30.0,,,69-85,,Defensive rebound by D. DeRozan
1:15.0,,,69-87,2,D. DeRozan makes 2-pt shot at rim
0:56.0,R. Holmes misses 3-pt shot from 24 ft,,69-87,,
0:56.0,,,69-87,,Defensive rebound by C. Joseph
0:44.0,,,69-89,2,T. Ross makes 2-pt shot from 16 ft (assist by D. DeRozan)
0:29.0,D. Saric misses 3-pt shot from 25 ft,,69-89,,
0:29.0,,,69-89,,Defensive rebound by P. Patterson
0:05.0,,,69-89,,Shooting foul by T. McConnell (drawn by D. DeRozan)
0:05.0,,,69-90,1,D. DeRozan makes free throw 1 of 2
0:05.0,,,69-91,1,D. DeRozan makes free throw 2 of 2
0:01.0,,,69-91,,Personal take foul by C. Joseph (drawn by T. McConnell)
0:01.0,,,69-91,,Personal foul by P. Patterson (drawn by R. Holmes)
0:01.0,R. Holmes makes free throw 1 of 2,1,70-91,,
0:01.0,R. Holmes makes free throw 2 of 2,1,71-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,71-91,,C. Joseph misses 2-pt shot from 4 ft (block by T. McConnell)
11:40.0,Defensive rebound by Team,,71-91,,
11:26.0,D. Saric misses 2-pt shot from 21 ft,,71-91,,
11:25.0,Offensive rebound by Team,,71-91,,
11:09.0,N. Stauskas makes 3-pt shot from 24 ft (assist by D. Saric),3,74-91,,
10:45.0,,,74-93,2,T. Ross makes 2-pt shot from 19 ft
10:37.0,Shooting foul by C. Joseph (drawn by D. Saric),,74-93,,
10:37.0,D. Saric misses free throw 1 of 2,,74-93,,
10:37.0,Offensive rebound by Team,,74-93,,
10:37.0,D. Saric misses free throw 2 of 2,,74-93,,
10:37.0,S. Rodriguez enters the game for T. McConnell,,74-93,,
10:36.0,,,74-93,,Defensive rebound by C. Joseph
10:13.0,,,74-95,2,T. Ross makes 2-pt shot from 12 ft
10:00.0,N. Stauskas makes 2-pt shot from 4 ft (assist by D. Saric),2,76-95,,
9:56.0,Personal foul by H. Thompson (drawn by C. Joseph),,76-95,,
9:56.0,J. Okafor enters the game for R. Holmes,,76-95,,
9:50.0,,,76-95,,C. Joseph misses 2-pt shot from 20 ft
9:50.0,Defensive rebound by H. Thompson,,76-95,,
9:40.0,J. Okafor makes 2-pt shot from 3 ft (assist by S. Rodriguez),2,78-95,,
9:15.0,,,78-97,2,C. Joseph makes 2-pt shot from 3 ft (assist by K. Lowry)
9:03.0,,,78-97,,Personal foul by L. Nogueira (drawn by J. Okafor)
9:03.0,T. Luwawu-Cabarrot enters the game for N. Stauskas,,78-97,,
9:03.0,R. Covington enters the game for H. Thompson,,78-97,,
8:47.0,Turnover by Team (shot clock),,78-97,,
8:47.0,Official timeout,,78-97,,
8:35.0,,,78-100,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
8:10.0,J. Okafor makes 2-pt shot from 4 ft (assist by S. Rodriguez),2,80-100,,
8:00.0,,,80-103,3,K. Lowry makes 3-pt shot from 26 ft
7:47.0,Turnover by R. Covington (bad pass; steal by P. Patterson),,80-103,,
7:43.0,,,80-103,,C. Joseph misses 2-pt shot from 2 ft (block by T. Luwawu-Cabarrot)
7:43.0,,,80-103,,Offensive rebound by Team
7:43.0,E. Ilyasova enters the game for D. Saric,,80-103,,
7:40.0,,,80-105,2,T. Ross makes 2-pt shot from 16 ft (assist by K. Lowry)
7:14.0,S. Rodriguez misses 2-pt shot from 8 ft,,80-105,,
7:14.0,Offensive rebound by R. Covington,,80-105,,
7:13.0,Offensive charge foul by R. Covington,,80-105,,
7:13.0,Turnover by R. Covington (offensive foul),,80-105,,
7:13.0,R. Holmes enters the game for J. Okafor,,80-105,,
7:04.0,,,80-105,,Shooting foul by T. Luwawu-Cabarrot (drawn by T. Ross)
7:04.0,,,80-106,1,T. Ross makes free throw 1 of 3
7:04.0,,,80-107,1,T. Ross makes free throw 2 of 3
7:04.0,,,80-108,1,T. Ross makes free throw 3 of 3
6:54.0,R. Covington makes 3-pt shot from 26 ft (assist by E. Ilyasova),3,83-108,,
6:38.0,,,83-108,,Turnover by K. Lowry (bad pass; steal by T. Luwawu-Cabarrot)
6:24.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,83-108,,
6:24.0,,,83-108,,Defensive rebound by K. Lowry
6:12.0,,,83-111,3,K. Lowry makes 3-pt shot from 25 ft
6:12.0,Philadelphia full timeout,,83-111,,
6:12.0,,,83-111,,N. Powell enters the game for K. Lowry
6:12.0,,,83-111,,P. Siakam enters the game for P. Patterson
6:12.0,N. Stauskas enters the game for E. Ilyasova,,83-111,,
5:57.0,Philadelphia full timeout,,83-111,,
5:50.0,N. Stauskas misses 2-pt shot from 4 ft,,83-111,,
5:50.0,,,83-111,,Defensive rebound by L. Nogueira
5:32.0,,,83-111,,Turnover by C. Joseph (lost ball; steal by S. Rodriguez)
5:28.0,Turnover by S. Rodriguez (lost ball; steal by C. Joseph),,83-111,,
5:22.0,,,83-114,3,T. Ross makes 3-pt shot from 26 ft (assist by N. Powell)
5:01.0,S. Rodriguez makes 2-pt shot from 13 ft,2,85-114,,
4:40.0,,,85-114,,Turnover by N. Powell (lost ball)
4:40.0,T. McConnell enters the game for R. Covington,,85-114,,
4:40.0,D. Saric enters the game for S. Rodriguez,,85-114,,
4:27.0,R. Holmes makes 2-pt shot from 1 ft (assist by N. Stauskas),2,87-114,,
4:10.0,,,87-114,,Turnover by L. Nogueira (bad pass; steal by T. McConnell)
4:05.0,T. McConnell makes 2-pt shot at rim,2,89-114,,
3:45.0,,,89-116,2,P. Siakam makes 2-pt shot from 5 ft (assist by N. Powell)
3:34.0,,,89-116,,Personal foul by N. Powell (drawn by N. Stauskas)
3:34.0,,,89-116,,J. Poeltl enters the game for L. Nogueira
3:34.0,,,89-116,,F. VanVleet enters the game for C. Joseph
