time,Washington,pts.away,score,pts.home,Utah
5:28.0,,,31-33,,Utah full timeout
5:28.0,M. Gortat enters the game for I. Mahinmi,,31-33,,
5:13.0,,,31-35,2,G. Hayward makes 2-pt shot from 17 ft (assist by B. Diaw)
4:59.0,J. Wall makes 2-pt shot from 2 ft,2,33-35,,
4:37.0,,,33-37,2,S. Mack makes 2-pt shot from 12 ft (assist by B. Diaw)
4:22.0,J. Wall misses 2-pt shot from 14 ft,,33-37,,
4:21.0,,,33-37,,Defensive rebound by G. Hayward
4:15.0,,,33-39,2,G. Hayward makes 2-pt shot from 3 ft
4:00.0,Turnover by J. Wall (bad pass; steal by G. Hayward),,33-39,,
4:00.0,Personal foul by M. Morris (drawn by G. Hayward),,33-39,,
3:47.0,,,33-39,,G. Hayward misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by M. Morris,,33-39,,
3:34.0,J. Wall makes 2-pt shot from 2 ft,2,35-39,,
3:16.0,,,35-39,,Turnover by B. Diaw (bad pass; steal by B. Beal)
3:10.0,J. Wall misses 2-pt shot from 2 ft (block by R. Gobert),,35-39,,
3:09.0,,,35-39,,Defensive rebound by D. Exum
3:04.0,,,35-39,,S. Mack misses 3-pt shot from 25 ft
3:03.0,,,35-39,,Offensive rebound by R. Gobert
3:00.0,,,35-39,,R. Gobert misses 2-pt shot from 1 ft
2:57.0,,,35-39,,Offensive rebound by D. Exum
2:42.0,,,35-39,,D. Exum misses 3-pt shot from 23 ft
2:41.0,,,35-39,,Offensive rebound by B. Diaw
2:27.0,,,35-39,,G. Hayward misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by M. Morris,,35-39,,
2:17.0,,,35-39,,Personal foul by S. Mack (drawn by B. Beal)
2:17.0,Washington full timeout,,35-39,,
2:17.0,B. Beal makes free throw 1 of 2,1,36-39,,
2:17.0,B. Beal makes free throw 2 of 2,1,37-39,,
2:17.0,,,35-39,,R. Hood enters the game for B. Diaw
2:17.0,,,35-39,,J. Johnson enters the game for D. Exum
2:17.0,,,35-39,,J. Ingles enters the game for S. Mack
1:53.0,,,37-39,,J. Ingles misses 2-pt shot from 23 ft
1:52.0,,,37-39,,Offensive rebound by Team
1:52.0,,,37-39,,Turnover by Team (shot clock)
1:37.0,Turnover by B. Beal (bad pass; steal by G. Hayward),,37-39,,
1:27.0,,,37-39,,Shooting foul by B. Beal (drawn by R. Gobert)
1:27.0,,,37-40,1,R. Gobert makes free throw 1 of 2
1:27.0,,,37-40,,R. Gobert misses free throw 2 of 2
1:27.0,Defensive rebound by M. Gortat,,37-40,,
1:12.0,J. Wall makes 2-pt shot from 17 ft,2,39-40,,
0:51.0,,,39-42,2,R. Hood makes 2-pt shot from 8 ft
0:31.0,J. Wall misses 2-pt shot from 18 ft,,39-42,,
0:30.0,,,39-42,,Defensive rebound by R. Gobert
0:06.0,,,39-42,,J. Ingles misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by M. Gortat,,39-42,,
0:01.0,Turnover by J. Wall (lost ball; steal by J. Ingles),,39-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,41-42,,
11:24.0,,,41-42,,B. Diaw misses 2-pt shot from 9 ft
11:23.0,Defensive rebound by J. Wall,,41-42,,
11:19.0,Offensive foul by M. Morris,,41-42,,
11:19.0,Turnover by M. Morris (offensive foul),,41-42,,
11:00.0,,,41-42,,G. Hayward misses 2-pt shot from 12 ft
11:00.0,Defensive rebound by Team,,41-42,,
11:00.0,,,41-42,,Personal foul by R. Gobert (drawn by M. Gortat)
10:43.0,M. Morris misses 2-pt shot from 9 ft,,41-42,,
10:42.0,Offensive rebound by O. Porter,,41-42,,
10:36.0,O. Porter misses 2-pt shot from 19 ft,,41-42,,
10:35.0,,,41-42,,Defensive rebound by R. Hood
10:27.0,,,41-45,3,D. Exum makes 3-pt shot from 22 ft (assist by R. Hood)
10:15.0,,,41-45,,Personal foul by R. Hood (drawn by B. Beal)
10:03.0,J. Wall misses 2-pt shot from 21 ft,,41-45,,
10:02.0,,,41-45,,Defensive rebound by G. Hayward
9:46.0,,,41-45,,G. Hayward misses 2-pt shot from 22 ft
9:46.0,Defensive rebound by J. Wall,,41-45,,
9:38.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,43-45,,
9:22.0,,,43-45,,G. Hayward misses 2-pt shot from 1 ft
9:22.0,Defensive rebound by O. Porter,,43-45,,
9:16.0,Turnover by J. Wall (bad pass; steal by R. Hood),,43-45,,
8:58.0,,,43-45,,Turnover by D. Exum (bad pass; steal by M. Gortat)
8:41.0,O. Porter makes 2-pt shot from 18 ft,2,45-45,,
8:15.0,,,45-45,,B. Diaw misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by M. Gortat,,45-45,,
8:13.0,,,45-45,,Personal foul by B. Diaw (drawn by J. Wall)
8:13.0,,,45-45,,J. Ingles enters the game for G. Hayward
8:13.0,,,45-45,,J. Johnson enters the game for B. Diaw
8:13.0,,,45-45,,S. Mack enters the game for D. Exum
8:10.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,47-45,,
8:10.0,Shooting foul by R. Gobert (drawn by B. Beal),,47-45,,
8:10.0,B. Beal makes free throw 1 of 1,1,48-45,,
7:55.0,,,48-45,,J. Johnson misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by O. Porter,,48-45,,
7:41.0,J. Wall misses 2-pt shot from 8 ft,,48-45,,
7:41.0,Offensive rebound by J. Wall,,48-45,,
7:39.0,J. Wall misses 2-pt shot from 3 ft,,48-45,,
7:38.0,,,48-45,,Defensive rebound by S. Mack
7:24.0,,,48-45,,S. Mack misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by M. Morris,,48-45,,
7:09.0,B. Beal misses 3-pt shot from 24 ft,,48-45,,
7:09.0,,,48-45,,Defensive rebound by S. Mack
6:50.0,,,48-47,2,R. Gobert makes 2-pt shot at rim
6:47.0,Washington full timeout,,48-47,,
6:47.0,,,48-47,,G. Hayward enters the game for R. Hood
6:22.0,J. Wall makes 3-pt shot from 29 ft (assist by M. Gortat),3,51-47,,
6:05.0,,,51-47,,J. Johnson misses 3-pt shot from 25 ft
6:05.0,,,51-47,,Offensive rebound by Team
5:56.0,,,51-47,,Shooting foul by M. Gortat (drawn by R. Gobert)
5:56.0,Technical foul by J. Wall,,51-47,,
5:56.0,,,51-48,1,J. Johnson makes technical free throw
5:56.0,,,51-48,,R. Gobert misses free throw 1 of 2
5:56.0,,,51-48,,Offensive rebound by Team
5:56.0,,,51-49,1,R. Gobert makes free throw 2 of 2
5:41.0,B. Beal misses 2-pt shot from 9 ft,,51-49,,
5:41.0,Offensive rebound by M. Gortat,,51-49,,
5:38.0,Turnover by M. Gortat (lost ball; steal by J. Ingles),,51-49,,
5:33.0,,,51-49,,Shooting foul by J. Wall (drawn by R. Gobert)
5:33.0,,,51-49,,R. Gobert misses free throw 1 of 2
5:33.0,,,51-49,,Offensive rebound by Team
5:33.0,,,51-49,,R. Gobert misses free throw 2 of 2
5:32.0,Defensive rebound by M. Gortat,,51-49,,
5:10.0,M. Morris misses 2-pt shot from 14 ft,,51-49,,
5:10.0,Offensive rebound by M. Gortat,,51-49,,
5:02.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,54-49,,
4:45.0,,,54-49,,Turnover by S. Mack (bad pass; steal by J. Wall)
4:41.0,J. Wall misses 2-pt shot from 2 ft,,54-49,,
4:40.0,,,54-49,,Defensive rebound by J. Johnson
4:33.0,,,54-52,3,J. Ingles makes 3-pt shot from 23 ft (assist by J. Johnson)
4:14.0,O. Porter misses 2-pt shot from 21 ft,,54-52,,
4:13.0,,,54-52,,Defensive rebound by R. Gobert
4:02.0,,,54-52,,Turnover by J. Ingles (bad pass; steal by O. Porter)
3:54.0,J. Wall misses 2-pt shot from 7 ft,,54-52,,
3:52.0,,,54-52,,Defensive rebound by S. Mack
3:36.0,,,54-55,3,G. Hayward makes 3-pt shot from 22 ft (assist by J. Ingles)
3:34.0,Washington full timeout,,54-55,,
3:34.0,I. Mahinmi enters the game for M. Gortat,,54-55,,
3:34.0,B. Bogdanovic enters the game for O. Porter,,54-55,,
3:34.0,Violation by Team (delay of game),,54-55,,
3:13.0,B. Beal misses 2-pt shot from 3 ft (block by R. Gobert),,54-55,,
3:13.0,Offensive rebound by Team,,54-55,,
3:11.0,Shooting foul by G. Hayward (drawn by M. Morris),,54-55,,
3:11.0,M. Morris makes free throw 1 of 2,1,55-55,,
3:11.0,M. Morris makes free throw 2 of 2,1,56-55,,
2:47.0,,,56-55,,J. Johnson misses 2-pt shot from 17 ft
2:47.0,Defensive rebound by M. Morris,,56-55,,
2:33.0,M. Morris misses 2-pt shot from 4 ft,,56-55,,
2:32.0,,,56-55,,Defensive rebound by J. Johnson
2:23.0,,,56-55,,J. Ingles misses 3-pt shot from 26 ft
2:23.0,Defensive rebound by Team,,56-55,,
2:23.0,,,56-55,,Utah full timeout
2:23.0,,,56-55,,J. Withey enters the game for R. Gobert
2:23.0,K. Oubre enters the game for M. Morris,,56-55,,
2:23.0,B. Jennings enters the game for B. Beal,,56-55,,
2:03.0,I. Mahinmi makes 2-pt shot at rim (assist by J. Wall),2,58-55,,
1:38.0,,,58-57,2,G. Hayward makes 2-pt shot from 3 ft
1:21.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,60-57,,
1:03.0,,,60-57,,S. Mack misses 2-pt shot from 13 ft
1:02.0,,,60-57,,Offensive rebound by J. Withey
1:02.0,,,60-59,2,J. Withey makes 2-pt shot from 2 ft
0:49.0,B. Bogdanovic misses 3-pt shot from 24 ft,,60-59,,
0:48.0,,,60-59,,Defensive rebound by S. Mack
0:33.0,,,60-61,2,S. Mack makes 2-pt shot from 2 ft
0:33.0,,,60-61,,Shooting foul by B. Jennings (drawn by S. Mack)
0:33.0,,,60-62,1,S. Mack makes free throw 1 of 1
0:33.0,,,60-61,,R. Hood enters the game for G. Hayward
0:30.0,,,60-62,,Personal foul by S. Mack (drawn by J. Wall)
0:30.0,J. Wall misses free throw 1 of 2,,60-62,,
0:30.0,Offensive rebound by Team,,60-62,,
0:30.0,J. Wall makes free throw 2 of 2,1,61-62,,
0:13.0,,,61-64,2,J. Withey makes 2-pt shot from 6 ft (assist by S. Mack)
0:01.0,J. Wall misses 2-pt shot from 1 ft (block by J. Withey),,61-64,,
0:00.0,Offensive rebound by B. Jennings,,61-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,61-64,,R. Hood misses 3-pt shot from 24 ft
11:48.0,Defensive rebound by B. Bogdanovic,,61-64,,
11:26.0,B. Beal makes 2-pt shot from 22 ft,2,63-64,,
11:07.0,,,63-64,,Turnover by J. Johnson (lost ball; steal by B. Beal)
11:00.0,B. Beal makes 3-pt shot from 25 ft,3,66-64,,
10:37.0,,,66-64,,R. Hood misses 2-pt shot from 14 ft
10:36.0,Defensive rebound by I. Mahinmi,,66-64,,
10:29.0,B. Beal misses 3-pt shot from 24 ft,,66-64,,
10:28.0,,,66-64,,Defensive rebound by J. Withey
10:13.0,,,66-64,,J. Withey misses 2-pt shot from 2 ft
10:13.0,,,66-64,,Offensive rebound by J. Withey
10:12.0,,,66-64,,J. Withey misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by B. Bogdanovic,,66-64,,
9:58.0,Turnover by I. Mahinmi (lost ball; steal by J. Ingles),,66-64,,
9:44.0,,,66-64,,Shooting foul by I. Mahinmi (drawn by J. Withey)
9:44.0,,,66-65,1,J. Withey makes free throw 1 of 2
9:44.0,,,66-66,1,J. Withey makes free throw 2 of 2
9:44.0,,,66-65,,G. Hayward enters the game for J. Ingles
9:44.0,,,66-65,,B. Diaw enters the game for J. Johnson
9:26.0,B. Bogdanovic makes 2-pt shot from 17 ft,2,68-66,,
9:10.0,,,68-66,,G. Hayward misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by B. Bogdanovic,,68-66,,
8:57.0,K. Oubre misses 3-pt shot from 24 ft,,68-66,,
8:56.0,Offensive rebound by Team,,68-66,,
8:56.0,Washington full timeout,,68-66,,
8:56.0,,,68-66,,R. Gobert enters the game for J. Withey
8:41.0,Turnover by B. Jennings (lost ball; steal by B. Diaw),,68-66,,
8:34.0,,,68-68,2,D. Exum makes 2-pt shot from 1 ft
8:26.0,K. Oubre makes 2-pt shot from 5 ft,2,70-68,,
8:10.0,,,70-68,,G. Hayward misses 3-pt shot from 24 ft
8:09.0,,,70-68,,Offensive rebound by Team
7:58.0,,,70-68,,R. Hood misses 2-pt shot from 7 ft
7:58.0,,,70-68,,Offensive rebound by R. Gobert
7:56.0,,,70-68,,R. Gobert misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by B. Beal,,70-68,,
7:50.0,I. Mahinmi misses 2-pt shot from 2 ft,,70-68,,
7:49.0,,,70-68,,Defensive rebound by B. Diaw
7:43.0,,,70-68,,Turnover by R. Hood (bad pass; steal by I. Mahinmi)
7:39.0,K. Oubre makes 2-pt shot from 1 ft (assist by I. Mahinmi),2,72-68,,
7:39.0,Shooting foul by B. Diaw (drawn by K. Oubre),,72-68,,
7:39.0,K. Oubre misses free throw 1 of 1,,72-68,,
7:39.0,J. Wall enters the game for B. Jennings,,72-68,,
7:38.0,,,72-68,,Defensive rebound by R. Gobert
7:29.0,,,72-68,,Shooting foul by K. Oubre (drawn by G. Hayward)
7:29.0,,,72-69,1,G. Hayward makes free throw 1 of 2
7:29.0,,,72-70,1,G. Hayward makes free throw 2 of 2
7:18.0,B. Beal misses 2-pt shot from 6 ft,,72-70,,
7:17.0,,,72-70,,Defensive rebound by R. Gobert
7:08.0,,,72-72,2,D. Exum makes 2-pt shot from 2 ft
6:51.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,74-72,,
6:29.0,,,74-72,,Shooting foul by K. Oubre (drawn by R. Gobert)
6:29.0,,,74-73,1,R. Gobert makes free throw 1 of 2
6:29.0,,,74-74,1,R. Gobert makes free throw 2 of 2
6:29.0,M. Morris enters the game for I. Mahinmi,,74-73,,
6:29.0,,,74-73,,J. Ingles enters the game for R. Hood
6:12.0,B. Beal makes 2-pt shot from 3 ft,2,76-74,,
5:58.0,,,76-76,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
5:39.0,M. Morris misses 2-pt shot from 19 ft,,76-76,,
5:37.0,,,76-76,,Defensive rebound by G. Hayward
5:25.0,,,76-78,2,G. Hayward makes 2-pt shot from 9 ft
5:24.0,Washington full timeout,,76-78,,
5:24.0,O. Porter enters the game for K. Oubre,,76-78,,
5:13.0,Shooting foul by R. Gobert (drawn by M. Morris),,76-78,,
5:13.0,M. Morris makes free throw 1 of 2,1,77-78,,
5:13.0,M. Morris makes free throw 2 of 2,1,78-78,,
4:57.0,Personal foul by B. Bogdanovic (drawn by R. Gobert),,78-78,,
4:57.0,,,78-78,,J. Johnson enters the game for B. Diaw
4:57.0,,,78-78,,S. Mack enters the game for D. Exum
4:49.0,,,78-78,,Shooting foul by O. Porter (drawn by G. Hayward)
4:49.0,,,78-79,1,G. Hayward makes free throw 1 of 2
4:49.0,,,78-79,,G. Hayward misses free throw 2 of 2
4:49.0,Defensive rebound by B. Bogdanovic,,78-79,,
4:38.0,Shooting foul by S. Mack (drawn by J. Wall),,78-79,,
4:38.0,J. Wall makes free throw 1 of 2,1,79-79,,
4:38.0,J. Wall makes free throw 2 of 2,1,80-79,,
4:25.0,,,80-81,2,G. Hayward makes 2-pt shot from 12 ft
4:04.0,Turnover by B. Beal (bad pass; steal by S. Mack),,80-81,,
3:56.0,,,80-84,3,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hayward)
3:27.0,B. Beal misses 2-pt shot from 12 ft,,80-84,,
3:27.0,,,80-84,,Defensive rebound by S. Mack
3:20.0,,,80-84,,Shooting foul by M. Morris (drawn by G. Hayward)
3:20.0,,,80-84,,G. Hayward misses free throw 1 of 2
3:20.0,,,80-84,,Offensive rebound by Team
3:20.0,,,80-85,1,G. Hayward makes free throw 2 of 2
3:20.0,M. Gortat enters the game for B. Bogdanovic,,80-84,,
3:09.0,J. Wall misses 3-pt shot from 24 ft,,80-85,,
3:08.0,Offensive rebound by M. Gortat,,80-85,,
3:05.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,83-85,,
3:03.0,,,83-85,,Utah full timeout
2:44.0,,,83-87,2,G. Hayward makes 2-pt shot from 16 ft
2:25.0,M. Morris misses 2-pt shot from 1 ft (block by G. Hayward),,83-87,,
2:23.0,,,83-87,,Defensive rebound by G. Hayward
2:05.0,Personal foul by M. Morris (drawn by S. Mack),,83-87,,
2:05.0,,,83-87,,S. Mack misses free throw 1 of 2
2:05.0,,,83-87,,Offensive rebound by Team
2:05.0,,,83-88,1,S. Mack makes free throw 2 of 2
