time,Sacramento,pts.away,score,pts.home,Phoenix
1:32.0,B. McLemore makes 2-pt shot from 20 ft,2,22-18,,
1:32.0,,,22-18,,Phoenix full timeout
1:18.0,Personal foul by G. Temple (drawn by B. Knight),,22-18,,
1:13.0,,,22-18,,B. Knight misses 2-pt shot from 21 ft
1:08.0,Defensive rebound by A. Tolliver,,22-18,,
0:57.0,B. McLemore makes 2-pt shot from 20 ft (assist by A. Tolliver),2,24-18,,
0:57.0,Shooting foul by L. Barbosa (drawn by B. McLemore),,24-18,,
0:57.0,B. McLemore misses free throw 1 of 1,,24-18,,
0:56.0,Offensive rebound by A. Tolliver,,24-18,,
0:53.0,B. McLemore misses 3-pt shot from 27 ft,,24-18,,
0:51.0,Offensive rebound by A. Tolliver,,24-18,,
0:38.0,A. Tolliver makes 2-pt shot from 13 ft,2,26-18,,
0:31.0,,,26-18,,Turnover by M. Chriss (bad pass)
0:28.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore),2,28-18,,
0:10.0,Personal foul by G. Temple (drawn by B. Knight),,28-18,,
0:10.0,,,28-19,1,B. Knight makes free throw 1 of 2
0:10.0,,,28-19,,B. Knight misses free throw 2 of 2
0:09.0,Defensive rebound by A. Tolliver,,28-19,,
0:02.0,G. Temple makes 2-pt shot from 16 ft,2,30-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,30-19,,Turnover by E. Bledsoe (traveling)
11:30.0,,,30-19,,Personal block foul by M. Chriss (drawn by T. Lawson)
11:20.0,A. Tolliver makes 2-pt shot from 6 ft,2,32-19,,
11:12.0,,,32-19,,Turnover by M. Chriss (bad pass)
10:59.0,T. Lawson misses 2-pt shot from 2 ft,,32-19,,
10:56.0,Offensive rebound by T. Lawson,,32-19,,
10:54.0,B. McLemore misses 3-pt shot from 25 ft,,32-19,,
10:52.0,,,32-19,,Defensive rebound by A. Len
10:47.0,,,32-22,3,E. Bledsoe makes 3-pt shot from 26 ft
10:40.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore),2,34-22,,
10:17.0,,,34-22,,M. Chriss misses 2-pt shot from 19 ft
10:15.0,,,34-22,,Offensive rebound by A. Len
10:15.0,,,34-24,2,A. Len makes 2-pt shot from 1 ft
9:52.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,34-24,,
9:49.0,,,34-24,,Defensive rebound by E. Bledsoe
9:45.0,,,34-24,,Offensive charge foul by B. Knight
9:45.0,,,34-24,,Turnover by B. Knight (offensive foul)
9:45.0,,,34-24,,T. Warren enters the game for M. Chriss
9:45.0,,,34-24,,J. Dudley enters the game for P. Tucker
9:45.0,K. Koufos enters the game for W. Cauley-Stein,,34-24,,
9:45.0,R. Gay enters the game for A. Tolliver,,34-24,,
9:32.0,R. Gay misses 2-pt shot from 15 ft,,34-24,,
9:32.0,Offensive rebound by Team,,34-24,,
9:18.0,B. McLemore misses 2-pt shot from 2 ft,,34-24,,
9:18.0,,,34-24,,Defensive rebound by Team
8:58.0,,,34-24,,Shooting foul by R. Gay (drawn by J. Dudley)
8:58.0,Official timeout,,34-24,,
8:58.0,,,34-24,,J. Dudley misses free throw 1 of 2
8:58.0,,,34-24,,Offensive rebound by Team
8:58.0,,,34-24,,J. Dudley misses free throw 2 of 2
8:57.0,Defensive rebound by O. Casspi,,34-24,,
8:40.0,K. Koufos misses 2-pt shot from 3 ft,,34-24,,
8:38.0,Offensive rebound by T. Lawson,,34-24,,
8:35.0,,,34-24,,Personal block foul by A. Len (drawn by O. Casspi)
8:24.0,R. Gay makes 2-pt shot from 15 ft,2,36-24,,
8:07.0,,,36-24,,Turnover by E. Bledsoe (bad pass)
7:55.0,R. Gay makes 2-pt shot from 2 ft,2,38-24,,
7:44.0,,,38-24,,T. Warren misses 2-pt shot from 2 ft
7:41.0,,,38-24,,Offensive rebound by T. Warren
7:39.0,,,38-24,,T. Warren misses 2-pt shot from 3 ft (block by R. Gay)
7:37.0,Defensive rebound by K. Koufos,,38-24,,
7:30.0,K. Koufos makes 2-pt shot from 7 ft (assist by T. Lawson),2,40-24,,
7:30.0,,,40-24,,Shooting block foul by E. Bledsoe (drawn by K. Koufos)
7:30.0,K. Koufos misses free throw 1 of 1,,40-24,,
7:30.0,,,40-24,,D. Booker enters the game for B. Knight
7:30.0,,,40-24,,T. Chandler enters the game for A. Len
7:30.0,A. Afflalo enters the game for B. McLemore,,40-24,,
7:28.0,,,40-24,,Defensive rebound by T. Chandler
7:18.0,,,40-24,,T. Warren misses 2-pt shot from 3 ft
7:16.0,Defensive rebound by R. Gay,,40-24,,
7:09.0,T. Lawson misses 3-pt shot from 25 ft,,40-24,,
7:07.0,,,40-24,,Defensive rebound by T. Chandler
6:54.0,,,40-24,,D. Booker misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by K. Koufos,,40-24,,
6:37.0,A. Afflalo misses 2-pt shot from 10 ft,,40-24,,
6:34.0,Offensive rebound by O. Casspi,,40-24,,
6:34.0,O. Casspi makes 2-pt shot from 2 ft,2,42-24,,
6:11.0,,,42-26,2,T. Warren makes 2-pt shot from 4 ft (assist by E. Bledsoe)
5:57.0,R. Gay misses 2-pt shot from 16 ft,,42-26,,
5:55.0,,,42-26,,Defensive rebound by D. Booker
5:37.0,,,42-26,,T. Warren misses 2-pt shot from 7 ft
5:35.0,Defensive rebound by O. Casspi,,42-26,,
5:31.0,Turnover by O. Casspi (back court),,42-26,,
5:31.0,,,42-26,,Phoenix full timeout
5:31.0,D. Cousins enters the game for K. Koufos,,42-26,,
5:07.0,,,42-26,,Turnover by D. Booker (bad pass; steal by O. Casspi)
5:05.0,Turnover by O. Casspi (bad pass; steal by E. Bledsoe),,42-26,,
5:03.0,,,42-26,,E. Bledsoe misses 2-pt shot from 3 ft
4:59.0,,,42-26,,Offensive rebound by T. Chandler
4:59.0,,,42-28,2,T. Chandler makes 2-pt shot at rim
4:33.0,O. Casspi makes 2-pt shot from 7 ft,2,44-28,,
4:19.0,,,44-30,2,D. Booker makes 2-pt shot from 19 ft
4:03.0,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson),3,47-30,,
3:49.0,,,47-32,2,D. Booker makes 2-pt shot from 8 ft (assist by T. Warren)
3:28.0,R. Gay makes 2-pt shot from 2 ft,2,49-32,,
3:28.0,Shooting foul by T. Warren (drawn by R. Gay),,49-32,,
3:28.0,R. Gay makes free throw 1 of 1,1,50-32,,
3:28.0,M. Barnes enters the game for O. Casspi,,49-32,,
3:11.0,,,50-32,,T. Warren misses 3-pt shot from 24 ft
3:09.0,,,50-32,,Offensive rebound by T. Chandler
3:08.0,Personal block foul by A. Afflalo (drawn by D. Booker),,50-32,,
3:08.0,G. Temple enters the game for T. Lawson,,50-32,,
2:58.0,,,50-34,2,D. Booker makes 2-pt shot from 13 ft
2:40.0,G. Temple makes 2-pt shot from 18 ft,2,52-34,,
2:25.0,,,52-36,2,T. Warren makes 2-pt shot from 15 ft
2:03.0,M. Barnes misses 3-pt shot from 25 ft,,52-36,,
2:01.0,,,52-36,,Defensive rebound by E. Bledsoe
1:42.0,,,52-36,,E. Bledsoe misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by M. Barnes,,52-36,,
1:37.0,R. Gay makes 2-pt shot from 2 ft (assist by M. Barnes),2,54-36,,
1:28.0,,,54-38,2,T. Chandler makes 2-pt shot from 5 ft (assist by D. Booker)
1:08.0,,,54-38,,Personal foul by D. Booker (drawn by D. Cousins)
1:08.0,Sacramento full timeout,,54-38,,
1:08.0,D. Cousins makes free throw 1 of 2,1,55-38,,
1:08.0,D. Cousins misses free throw 2 of 2,,55-38,,
1:08.0,,,54-38,,B. Knight enters the game for D. Booker
1:07.0,,,55-38,,Defensive rebound by T. Chandler
0:44.0,,,55-38,,E. Bledsoe misses 2-pt shot from 17 ft
0:42.0,,,55-38,,Offensive rebound by T. Warren
0:41.0,,,55-38,,Offensive charge foul by T. Chandler
0:41.0,,,55-38,,Turnover by T. Chandler (offensive foul)
0:26.0,A. Afflalo misses 2-pt shot from 14 ft,,55-38,,
0:24.0,,,55-38,,Defensive rebound by T. Chandler
0:16.0,,,55-38,,T. Chandler misses 2-pt shot from 2 ft
0:14.0,Defensive rebound by D. Cousins,,55-38,,
0:03.0,G. Temple makes 2-pt shot from 17 ft,2,57-38,,
0:00.0,,,57-38,,E. Bledsoe misses 3-pt shot from 49 ft
0:00.0,,,57-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,57-38,,Shooting foul by A. Afflalo (drawn by D. Booker)
11:44.0,,,57-38,,D. Booker misses free throw 1 of 2
11:44.0,,,57-38,,Offensive rebound by Team
11:44.0,,,57-39,1,D. Booker makes free throw 2 of 2
11:24.0,D. Cousins misses 2-pt shot from 9 ft,,57-39,,
11:22.0,,,57-39,,Defensive rebound by E. Bledsoe
11:13.0,,,57-39,,Turnover by E. Bledsoe (bad pass; steal by A. Afflalo)
11:08.0,Turnover by T. Lawson (lost ball),,57-39,,
10:51.0,,,57-39,,J. Dudley misses 2-pt shot from 16 ft
10:49.0,Defensive rebound by K. Koufos,,57-39,,
10:34.0,D. Cousins makes 2-pt shot from 2 ft,2,59-39,,
10:34.0,,,59-39,,Shooting block foul by T. Chandler (drawn by D. Cousins)
10:34.0,D. Cousins makes free throw 1 of 1,1,60-39,,
10:18.0,,,60-39,,Shooting foul by A. Afflalo (drawn by D. Booker)
10:18.0,,,60-39,,D. Booker misses free throw 1 of 2
10:18.0,,,60-39,,Offensive rebound by Team
10:18.0,,,60-39,,D. Booker misses free throw 2 of 2
10:16.0,Defensive rebound by K. Koufos,,60-39,,
10:05.0,Turnover by D. Cousins (bad pass),,60-39,,
9:43.0,,,60-41,2,T. Warren makes 2-pt shot from 5 ft (assist by E. Bledsoe)
9:21.0,Turnover by D. Cousins (bad pass; steal by T. Warren),,60-41,,
9:17.0,,,60-43,2,D. Booker makes 2-pt shot at rim (assist by E. Bledsoe)
9:15.0,Sacramento full timeout,,60-43,,
8:51.0,R. Gay misses 2-pt shot from 17 ft,,60-43,,
8:49.0,,,60-43,,Defensive rebound by T. Chandler
8:45.0,,,60-43,,Turnover by E. Bledsoe (bad pass; steal by D. Cousins)
8:39.0,T. Lawson makes 2-pt shot from 15 ft (assist by D. Cousins),2,62-43,,
8:32.0,,,62-43,,D. Booker misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by D. Cousins,,62-43,,
8:21.0,Shooting foul by D. Booker (drawn by A. Afflalo),,62-43,,
8:21.0,A. Afflalo makes free throw 1 of 2,1,63-43,,
8:21.0,A. Afflalo makes free throw 2 of 2,1,64-43,,
8:21.0,,,63-43,,B. Knight enters the game for D. Booker
8:09.0,,,64-43,,Shooting foul by T. Lawson (drawn by E. Bledsoe)
8:09.0,,,64-44,1,E. Bledsoe makes free throw 1 of 2
8:09.0,,,64-45,1,E. Bledsoe makes free throw 2 of 2
7:53.0,,,64-45,,Personal foul by E. Bledsoe (drawn by R. Gay)
7:48.0,,,64-45,,Personal block foul by E. Bledsoe (drawn by T. Lawson)
7:46.0,Turnover by K. Koufos (offensive foul),,64-45,,
7:46.0,Offensive foul by K. Koufos,,64-45,,
7:33.0,,,64-45,,B. Knight misses 2-pt shot from 2 ft
7:30.0,Defensive rebound by A. Afflalo,,64-45,,
7:23.0,K. Koufos misses 2-pt shot from 7 ft,,64-45,,
7:23.0,Offensive rebound by D. Cousins,,64-45,,
7:23.0,D. Cousins makes 2-pt shot from 2 ft,2,66-45,,
7:23.0,Shooting foul by J. Dudley (drawn by D. Cousins),,66-45,,
7:23.0,D. Cousins makes free throw 1 of 1,1,67-45,,
7:23.0,M. Barnes enters the game for K. Koufos,,66-45,,
7:05.0,,,67-48,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by B. Knight)
6:55.0,,,67-48,,Shooting block foul by T. Chandler (drawn by R. Gay)
6:55.0,R. Gay misses free throw 1 of 2,,67-48,,
6:55.0,Offensive rebound by Team,,67-48,,
6:55.0,R. Gay makes free throw 2 of 2,1,68-48,,
6:55.0,,,67-48,,M. Chriss enters the game for J. Dudley
6:44.0,Personal block foul by M. Barnes (drawn by E. Bledsoe),,68-48,,
6:37.0,,,68-50,2,M. Chriss makes 2-pt shot from 1 ft (assist by E. Bledsoe)
6:21.0,D. Cousins misses 2-pt shot from 2 ft,,68-50,,
6:18.0,,,68-50,,Defensive rebound by E. Bledsoe
6:14.0,,,68-50,,B. Knight misses 3-pt shot from 24 ft
6:09.0,,,68-50,,Offensive rebound by T. Chandler
6:09.0,,,68-52,2,T. Chandler makes 2-pt shot from 1 ft
5:58.0,G. Temple enters the game for T. Lawson,,68-52,,
5:55.0,M. Barnes makes 2-pt shot from 20 ft (assist by G. Temple),2,70-52,,
5:45.0,,,70-52,,B. Knight misses 2-pt shot from 5 ft
5:41.0,Defensive rebound by D. Cousins,,70-52,,
5:37.0,,,70-52,,Flagrant foul type 1 by M. Chriss (drawn by D. Cousins)
5:37.0,D. Cousins misses flagrant free throw 1 of 2,,70-52,,
5:37.0,Offensive rebound by Team,,70-52,,
5:37.0,D. Cousins misses flagrant free throw 2 of 2,,70-52,,
5:37.0,Offensive rebound by Team,,70-52,,
5:37.0,,,70-52,,A. Len enters the game for T. Chandler
5:37.0,,,70-52,,T. Ulis enters the game for E. Bledsoe
5:35.0,Turnover by G. Temple (traveling),,70-52,,
5:24.0,,,70-52,,T. Warren misses 2-pt shot from 13 ft (block by R. Gay)
5:21.0,,,70-52,,Offensive rebound by M. Chriss
5:20.0,,,70-52,,M. Chriss misses 2-pt shot from 5 ft (block by R. Gay)
5:17.0,Defensive rebound by G. Temple,,70-52,,
5:12.0,A. Afflalo misses 2-pt shot from 2 ft,,70-52,,
5:11.0,Offensive rebound by M. Barnes,,70-52,,
5:11.0,M. Barnes makes 2-pt shot from 1 ft,2,72-52,,
5:04.0,,,72-52,,T. Ulis misses 2-pt shot from 17 ft
5:01.0,Defensive rebound by R. Gay,,72-52,,
4:54.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,74-52,,
4:46.0,Shooting block foul by D. Cousins (drawn by T. Warren),,74-52,,
4:46.0,,,74-53,1,T. Warren makes free throw 1 of 2
4:46.0,,,74-54,1,T. Warren makes free throw 2 of 2
4:31.0,,,74-54,,Personal foul by A. Len (drawn by D. Cousins)
4:31.0,D. Cousins makes free throw 1 of 2,1,75-54,,
4:31.0,D. Cousins makes free throw 2 of 2,1,76-54,,
4:31.0,B. McLemore enters the game for A. Afflalo,,75-54,,
4:14.0,,,76-54,,B. Knight misses 3-pt shot from 26 ft
4:14.0,Defensive rebound by Team,,76-54,,
3:54.0,D. Cousins makes 2-pt shot from 19 ft (assist by M. Barnes),2,78-54,,
3:39.0,,,78-54,,D. Bender enters the game for T. Warren
3:38.0,,,78-54,,Turnover by T. Ulis (bad pass)
3:21.0,Shooting foul by A. Len (drawn by D. Cousins),,78-54,,
3:21.0,D. Cousins makes free throw 1 of 2,1,79-54,,
3:21.0,D. Cousins makes free throw 2 of 2,1,80-54,,
3:21.0,A. Tolliver enters the game for R. Gay,,79-54,,
3:07.0,,,80-56,2,B. Knight makes 2-pt shot from 3 ft (assist by M. Chriss)
2:43.0,D. Cousins makes 2-pt shot from 20 ft (assist by A. Tolliver),2,82-56,,
2:36.0,,,82-56,,Shooting foul by D. Cousins (drawn by B. Knight)
2:36.0,,,82-56,,Phoenix full timeout
2:36.0,,,82-57,1,B. Knight makes free throw 1 of 2
2:36.0,,,82-58,1,B. Knight makes free throw 2 of 2
2:36.0,W. Cauley-Stein enters the game for D. Cousins,,82-56,,
2:25.0,W. Cauley-Stein misses 2-pt shot from 6 ft (block by M. Chriss),,82-58,,
2:23.0,,,82-58,,Defensive rebound by B. Knight
2:11.0,,,82-60,2,D. Bender makes 2-pt shot from 2 ft (assist by A. Len)
1:52.0,B. McLemore misses 2-pt shot from 17 ft,,82-60,,
1:51.0,Offensive rebound by W. Cauley-Stein,,82-60,,
1:37.0,A. Tolliver misses 3-pt shot from 25 ft,,82-60,,
1:35.0,,,82-60,,Defensive rebound by A. Len
1:28.0,,,82-63,3,D. Bender makes 3-pt shot from 25 ft (assist by B. Knight)
1:10.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,82-63,,
1:07.0,,,82-63,,Defensive rebound by M. Chriss
1:00.0,,,82-65,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
0:47.0,G. Temple makes 2-pt shot from 16 ft,2,84-65,,
0:32.0,Violation by M. Barnes (kicked ball),,84-65,,
0:32.0,T. Lawson enters the game for B. McLemore,,84-65,,
0:26.0,,,84-67,2,T. Ulis makes 2-pt shot from 17 ft (assist by B. Knight)
0:04.0,T. Lawson misses 2-pt shot from 10 ft,,84-67,,
0:02.0,,,84-67,,Defensive rebound by M. Chriss
0:01.0,,,84-67,,Turnover by M. Chriss (bad pass)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by T. Lawson (lost ball; steal by T. Ulis),,84-67,,
11:43.0,,,84-67,,T. Ulis misses 2-pt shot from 2 ft (block by T. Lawson)
11:43.0,,,84-67,,Offensive rebound by Team
11:36.0,,,84-67,,A. Len misses 2-pt shot from 4 ft
11:34.0,,,84-67,,Offensive rebound by D. Bender
11:26.0,,,84-69,2,A. Len makes 2-pt shot at rim (assist by M. Chriss)
11:00.0,G. Temple misses 2-pt shot from 18 ft (block by T. Ulis),,84-69,,
10:58.0,Offensive rebound by G. Temple,,84-69,,
10:58.0,G. Temple misses 3-pt shot from 26 ft,,84-69,,
10:58.0,Offensive rebound by Team,,84-69,,
10:58.0,Turnover by Team (shot clock),,84-69,,
10:45.0,,,84-69,,B. Knight misses 2-pt shot from 15 ft
10:43.0,Defensive rebound by W. Cauley-Stein,,84-69,,
10:37.0,A. Tolliver makes 2-pt shot from 2 ft (assist by T. Lawson),2,86-69,,
10:06.0,,,86-69,,A. Len misses 2-pt shot from 8 ft
10:02.0,Defensive rebound by M. Barnes,,86-69,,
9:49.0,Turnover by W. Cauley-Stein (lost ball; steal by D. Bender),,86-69,,
9:46.0,Flagrant foul type 1 by M. Barnes (drawn by B. Knight),,86-69,,
9:46.0,,,86-70,1,B. Knight makes flagrant free throw 1 of 2
9:46.0,,,86-71,1,B. Knight makes flagrant free throw 2 of 2
9:46.0,B. McLemore enters the game for A. Tolliver,,86-71,,
9:46.0,R. Gay enters the game for G. Temple,,86-71,,
9:39.0,,,86-74,3,D. Bender makes 3-pt shot from 24 ft (assist by B. Knight)
9:19.0,M. Barnes misses 3-pt shot from 25 ft,,86-74,,
9:17.0,,,86-74,,Defensive rebound by A. Len
9:07.0,,,86-74,,M. Chriss misses 2-pt shot from 5 ft (block by R. Gay)
9:02.0,,,86-74,,Offensive rebound by M. Chriss
9:00.0,,,86-76,2,M. Chriss makes 2-pt shot from 2 ft
8:40.0,R. Gay makes 2-pt shot at rim,2,88-76,,
8:21.0,,,88-76,,Turnover by A. Len (lost ball)
8:21.0,Official timeout,,88-76,,
8:11.0,,,88-76,,Personal foul by T. Ulis (drawn by R. Gay)
7:59.0,M. Barnes makes 3-pt shot from 26 ft,3,91-76,,
7:45.0,,,91-76,,Shooting foul by W. Cauley-Stein (drawn by M. Chriss)
7:45.0,,,91-76,,M. Chriss misses free throw 1 of 2
7:45.0,,,91-76,,Offensive rebound by Team
7:45.0,,,91-77,1,M. Chriss makes free throw 2 of 2
7:23.0,R. Gay makes 3-pt shot from 25 ft (assist by T. Lawson),3,94-77,,
7:08.0,,,94-77,,M. Chriss misses 2-pt shot from 17 ft
7:06.0,Defensive rebound by T. Lawson,,94-77,,
6:55.0,R. Gay misses 3-pt shot from 26 ft,,94-77,,
6:53.0,,,94-77,,Defensive rebound by T. Ulis
6:49.0,,,94-77,,Phoenix full timeout
6:49.0,,,94-77,,D. Booker enters the game for A. Len
6:49.0,,,94-77,,E. Bledsoe enters the game for T. Ulis
6:49.0,,,94-77,,T. Warren enters the game for D. Bender
6:49.0,D. Cousins enters the game for W. Cauley-Stein,,94-77,,
6:42.0,,,94-77,,Offensive charge foul by M. Chriss
6:42.0,,,94-77,,Turnover by M. Chriss (offensive foul)
6:36.0,,,94-77,,Personal block foul by T. Warren (drawn by T. Lawson)
6:26.0,R. Gay makes 2-pt shot from 11 ft,2,96-77,,
6:14.0,,,96-77,,Offensive foul by D. Booker
6:14.0,,,96-77,,Turnover by D. Booker (offensive foul)
6:06.0,Turnover by B. McLemore (lost ball),,96-77,,
6:00.0,,,96-77,,Turnover by D. Booker (bad pass; steal by T. Lawson)
5:55.0,M. Barnes makes 2-pt shot from 2 ft (assist by T. Lawson),2,98-77,,
5:54.0,,,98-77,,Phoenix full timeout
5:54.0,,,98-77,,J. Dudley enters the game for B. Knight
5:54.0,,,98-77,,T. Chandler enters the game for M. Chriss
5:41.0,,,98-77,,E. Bledsoe misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by R. Gay,,98-77,,
5:18.0,T. Lawson misses 3-pt shot from 24 ft,,98-77,,
5:15.0,,,98-77,,Defensive rebound by T. Chandler
