time,Memphis,pts.away,score,pts.home,Dallas
0:34.0,Z. Randolph makes free throw 1 of 2,1,19-20,,
0:34.0,Z. Randolph misses free throw 2 of 2,,19-20,,
0:34.0,,,19-20,,S. Mejri enters the game for N. Noel
0:33.0,,,19-20,,Defensive rebound by S. Mejri
0:16.0,,,19-20,,Offensive foul by S. Mejri
0:16.0,,,19-20,,Turnover by S. Mejri (offensive foul)
0:04.0,V. Carter makes 3-pt shot from 24 ft (assist by T. Douglas),3,22-20,,
0:00.0,,,22-20,,D. Finney-Smith misses 3-pt shot from 28 ft
0:00.0,,,22-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,M. Gasol misses 2-pt shot from 14 ft,,22-20,,
11:41.0,Offensive rebound by Z. Randolph,,22-20,,
11:39.0,Z. Randolph makes 2-pt shot from 1 ft,2,24-20,,
11:25.0,,,24-22,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris)
11:04.0,Z. Randolph misses 2-pt shot from 20 ft,,24-22,,
11:03.0,,,24-22,,Defensive rebound by D. Nowitzki
10:55.0,,,24-22,,D. Harris misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by M. Gasol,,24-22,,
10:44.0,M. Gasol misses 3-pt shot from 24 ft,,24-22,,
10:43.0,,,24-22,,Defensive rebound by D. Finney-Smith
10:30.0,,,24-24,2,Y. Ferrell makes 2-pt shot from 3 ft
10:30.0,,,24-24,,Shooting foul by V. Carter (drawn by Y. Ferrell)
10:30.0,,,24-25,1,Y. Ferrell makes free throw 1 of 1
10:14.0,V. Carter makes 3-pt shot from 24 ft (assist by T. Douglas),3,27-25,,
9:54.0,,,27-27,2,Y. Ferrell makes 2-pt shot from 19 ft (assist by D. Finney-Smith)
9:36.0,Shooting foul by D. Harris (drawn by Z. Randolph),,27-27,,
9:36.0,Z. Randolph misses free throw 1 of 2,,27-27,,
9:36.0,Offensive rebound by Team,,27-27,,
9:36.0,Z. Randolph makes free throw 2 of 2,1,28-27,,
9:36.0,C. Parsons enters the game for V. Carter,,27-27,,
9:36.0,T. Allen enters the game for T. Daniels,,27-27,,
9:21.0,,,28-29,2,S. Mejri makes 2-pt shot at rim (assist by D. Harris)
9:01.0,M. Gasol makes 2-pt shot from 6 ft (assist by T. Douglas),2,30-29,,
8:47.0,,,30-31,2,D. Harris makes 2-pt shot from 1 ft (assist by Y. Ferrell)
8:39.0,Memphis full timeout,,30-31,,
8:39.0,M. Conley enters the game for Z. Randolph,,30-31,,
8:39.0,J. Green enters the game for T. Douglas,,30-31,,
8:30.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol),2,32-31,,
8:11.0,,,32-31,,Y. Ferrell misses 2-pt shot from 22 ft
8:10.0,Defensive rebound by J. Green,,32-31,,
8:01.0,,,32-31,,Personal foul by S. Mejri (drawn by M. Gasol)
8:01.0,,,32-31,,N. Brussino enters the game for D. Finney-Smith
7:55.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,34-31,,
7:55.0,Shooting foul by S. Mejri (drawn by M. Gasol),,34-31,,
7:55.0,M. Gasol misses free throw 1 of 1,,34-31,,
7:55.0,,,34-31,,Q. Cook enters the game for D. Nowitzki
7:55.0,,,34-31,,H. Barnes enters the game for Y. Ferrell
7:55.0,,,34-31,,N. Noel enters the game for D. Harris
7:55.0,,,34-31,,S. Curry enters the game for S. Mejri
7:54.0,,,34-31,,Defensive rebound by N. Brussino
7:32.0,,,34-33,2,H. Barnes makes 2-pt shot from 11 ft
7:06.0,T. Allen misses 2-pt shot from 1 ft,,34-33,,
7:04.0,,,34-33,,Defensive rebound by N. Noel
6:52.0,,,34-35,2,N. Noel makes 2-pt shot from 1 ft (assist by Q. Cook)
6:28.0,C. Parsons misses 2-pt shot from 2 ft (block by N. Noel),,34-35,,
6:26.0,,,34-35,,Defensive rebound by N. Brussino
6:19.0,,,34-35,,Shooting foul by M. Gasol (drawn by N. Noel)
6:19.0,,,34-35,,N. Noel misses free throw 1 of 2
6:19.0,,,34-35,,Offensive rebound by Team
6:19.0,,,34-36,1,N. Noel makes free throw 2 of 2
6:19.0,Z. Randolph enters the game for M. Gasol,,34-35,,
6:06.0,M. Conley makes 2-pt shot from 19 ft,2,36-36,,
5:52.0,,,36-38,2,N. Noel makes 2-pt shot from 7 ft (assist by N. Brussino)
5:43.0,M. Conley makes 3-pt shot from 29 ft,3,39-38,,
5:43.0,Shooting foul by Q. Cook (drawn by M. Conley),,39-38,,
5:43.0,Official timeout,,39-38,,
5:43.0,,,39-38,,Violation by Team (jump ball)
5:43.0,M. Conley makes free throw 1 of 1,1,40-38,,
5:24.0,Def 3 sec tech foul by T. Allen,,40-38,,
5:24.0,,,40-39,1,S. Curry makes technical free throw
5:18.0,,,40-39,,S. Curry misses 3-pt shot from 26 ft
5:16.0,,,40-39,,Offensive rebound by H. Barnes
5:16.0,,,40-39,,Shooting foul by J. Green (drawn by H. Barnes)
5:16.0,,,40-40,1,H. Barnes makes free throw 1 of 2
5:16.0,,,40-41,1,H. Barnes makes free throw 2 of 2
5:01.0,M. Conley misses 2-pt shot from 7 ft,,40-41,,
5:00.0,,,40-41,,Defensive rebound by N. Noel
4:53.0,,,40-43,2,N. Noel makes 2-pt shot at rim (assist by S. Curry)
4:32.0,J. Green makes 3-pt shot from 24 ft (assist by Z. Randolph),3,43-43,,
4:18.0,,,43-43,,Q. Cook misses 3-pt shot from 23 ft
4:17.0,Defensive rebound by Z. Randolph,,43-43,,
4:05.0,Z. Randolph misses 3-pt shot from 25 ft,,43-43,,
4:03.0,Offensive rebound by Team,,43-43,,
4:03.0,,,43-43,,D. Harris enters the game for Q. Cook
4:03.0,,,43-43,,D. Nowitzki enters the game for N. Brussino
4:00.0,J. Green misses 2-pt shot from 2 ft,,43-43,,
3:58.0,,,43-43,,Defensive rebound by N. Noel
3:49.0,,,43-45,2,S. Curry makes 2-pt shot from 16 ft
3:43.0,Memphis full timeout,,43-45,,
3:39.0,Offensive foul by C. Parsons,,43-45,,
3:39.0,Turnover by C. Parsons (offensive foul),,43-45,,
3:21.0,,,43-45,,D. Harris misses 3-pt shot from 26 ft
3:20.0,Defensive rebound by T. Allen,,43-45,,
3:07.0,T. Allen makes 3-pt shot from 22 ft (assist by Z. Randolph),3,46-45,,
2:40.0,,,46-45,,N. Noel misses 2-pt shot from 14 ft
2:39.0,Defensive rebound by M. Conley,,46-45,,
2:19.0,,,46-45,,Personal block foul by D. Harris (drawn by M. Conley)
2:19.0,M. Conley makes free throw 1 of 2,1,47-45,,
2:19.0,M. Conley makes free throw 2 of 2,1,48-45,,
2:19.0,M. Gasol enters the game for J. Green,,47-45,,
1:59.0,,,48-47,2,S. Curry makes 2-pt shot from 18 ft (assist by D. Harris)
1:40.0,M. Gasol misses 2-pt shot at rim (block by N. Noel),,48-47,,
1:38.0,,,48-47,,Defensive rebound by D. Nowitzki
1:34.0,,,48-47,,Turnover by D. Harris (lost ball)
1:26.0,M. Gasol misses 3-pt shot from 25 ft,,48-47,,
1:25.0,Offensive rebound by Z. Randolph,,48-47,,
1:23.0,Z. Randolph makes 2-pt shot from 3 ft,2,50-47,,
1:01.0,,,50-47,,D. Harris misses 2-pt shot from 18 ft
0:59.0,,,50-47,,Offensive rebound by N. Noel
0:51.0,,,50-49,2,D. Harris makes 2-pt shot from 1 ft
0:34.0,M. Gasol misses 2-pt shot from 7 ft,,50-49,,
0:33.0,,,50-49,,Defensive rebound by D. Nowitzki
0:15.0,,,50-51,2,D. Harris makes 2-pt shot from 17 ft (assist by S. Curry)
0:13.0,Memphis full timeout,,50-51,,
0:13.0,,,50-51,,Y. Ferrell enters the game for D. Harris
0:13.0,,,50-51,,D. Finney-Smith enters the game for D. Nowitzki
0:13.0,T. Daniels enters the game for T. Allen,,50-51,,
0:03.0,C. Parsons misses 3-pt shot from 28 ft,,50-51,,
0:00.0,Offensive rebound by M. Gasol,,50-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,C. Parsons makes 2-pt shot from 14 ft,2,52-51,,
11:19.0,,,52-51,,N. Noel misses 2-pt shot from 14 ft
11:18.0,Defensive rebound by J. Green,,52-51,,
11:04.0,C. Parsons misses 2-pt shot from 8 ft,,52-51,,
11:03.0,,,52-51,,Defensive rebound by D. Nowitzki
10:57.0,,,52-53,2,H. Barnes makes 2-pt shot at rim (assist by Y. Ferrell)
10:35.0,T. Allen misses 2-pt shot from 4 ft,,52-53,,
10:34.0,,,52-53,,Defensive rebound by N. Noel
10:24.0,,,52-53,,N. Noel misses 2-pt shot from 1 ft
10:21.0,,,52-53,,Offensive rebound by N. Noel
10:19.0,,,52-53,,H. Barnes misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by C. Parsons,,52-53,,
10:11.0,M. Gasol misses 2-pt shot from 2 ft,,52-53,,
10:09.0,,,52-53,,Defensive rebound by H. Barnes
10:03.0,Personal foul by C. Parsons (drawn by D. Nowitzki),,52-53,,
9:58.0,,,52-55,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by H. Barnes)
9:47.0,Shooting foul by Y. Ferrell (drawn by M. Conley),,52-55,,
9:47.0,M. Conley makes free throw 1 of 2,1,53-55,,
9:47.0,M. Conley makes free throw 2 of 2,1,54-55,,
9:26.0,,,54-55,,Turnover by Y. Ferrell (bad pass; steal by T. Allen)
9:17.0,Turnover by M. Gasol (bad pass; steal by S. Curry),,54-55,,
9:12.0,,,54-58,3,S. Curry makes 3-pt shot from 25 ft (assist by Y. Ferrell)
9:08.0,Memphis full timeout,,54-58,,
8:54.0,M. Gasol misses 2-pt shot from 17 ft,,54-58,,
8:53.0,,,54-58,,Defensive rebound by Y. Ferrell
8:36.0,,,54-58,,Y. Ferrell misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by C. Parsons,,54-58,,
8:28.0,C. Parsons misses 3-pt shot from 24 ft,,54-58,,
8:27.0,,,54-58,,Defensive rebound by D. Nowitzki
8:22.0,,,54-60,2,S. Curry makes 2-pt shot from 2 ft
8:00.0,J. Green misses 2-pt shot from 7 ft,,54-60,,
7:59.0,,,54-60,,Defensive rebound by S. Curry
7:49.0,,,54-63,3,S. Curry makes 3-pt shot from 25 ft (assist by N. Noel)
7:32.0,M. Conley makes 2-pt shot from 2 ft,2,56-63,,
7:15.0,,,56-63,,D. Nowitzki misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by C. Parsons,,56-63,,
7:00.0,C. Parsons misses 2-pt shot from 5 ft,,56-63,,
6:58.0,,,56-63,,Defensive rebound by S. Curry
6:46.0,,,56-65,2,Y. Ferrell makes 2-pt shot at rim (assist by D. Nowitzki)
6:28.0,M. Gasol makes 2-pt shot from 6 ft,2,58-65,,
6:28.0,Shooting foul by D. Nowitzki (drawn by M. Gasol),,58-65,,
6:28.0,M. Gasol misses free throw 1 of 1,,58-65,,
6:28.0,V. Carter enters the game for C. Parsons,,58-65,,
6:28.0,T. Douglas enters the game for T. Allen,,58-65,,
6:28.0,Z. Randolph enters the game for J. Green,,58-65,,
6:28.0,,,58-65,,D. Finney-Smith enters the game for D. Nowitzki
6:28.0,,,58-65,,Q. Cook enters the game for Y. Ferrell
6:27.0,,,58-65,,Defensive rebound by N. Noel
6:04.0,,,58-65,,H. Barnes misses 2-pt shot from 8 ft
6:04.0,,,58-65,,Offensive rebound by Team
6:01.0,,,58-67,2,H. Barnes makes 2-pt shot from 15 ft (assist by Q. Cook)
5:40.0,M. Gasol misses 2-pt shot from 8 ft,,58-67,,
5:38.0,Offensive rebound by Z. Randolph,,58-67,,
5:37.0,Z. Randolph makes 2-pt shot from 1 ft,2,60-67,,
5:20.0,,,60-69,2,H. Barnes makes 2-pt shot from 2 ft
5:20.0,,,60-69,,Shooting foul by Z. Randolph (drawn by H. Barnes)
5:20.0,,,60-70,1,H. Barnes makes free throw 1 of 1
5:06.0,,,60-70,,Shooting block foul by S. Curry (drawn by T. Douglas)
5:06.0,T. Douglas makes free throw 1 of 2,1,61-70,,
5:06.0,T. Douglas makes free throw 2 of 2,1,62-70,,
5:06.0,J. Green enters the game for M. Gasol,,61-70,,
4:48.0,,,62-70,,H. Barnes misses 2-pt shot from 16 ft
4:46.0,,,62-70,,Offensive rebound by D. Finney-Smith
4:46.0,,,62-70,,D. Finney-Smith misses 2-pt shot from 1 ft
4:45.0,Defensive rebound by J. Green,,62-70,,
4:39.0,M. Conley misses 3-pt shot from 24 ft,,62-70,,
4:38.0,,,62-70,,Defensive rebound by N. Noel
4:29.0,,,62-70,,Turnover by Q. Cook (bad pass; steal by M. Conley)
4:25.0,M. Conley makes 2-pt shot from 2 ft,2,64-70,,
4:25.0,,,64-70,,Dallas full timeout
4:09.0,Personal block foul by V. Carter (drawn by D. Finney-Smith),,64-70,,
3:55.0,,,64-70,,S. Curry misses 3-pt shot from 23 ft
3:54.0,Defensive rebound by Z. Randolph,,64-70,,
3:29.0,V. Carter misses 2-pt shot from 8 ft,,64-70,,
3:28.0,,,64-70,,Defensive rebound by N. Noel
3:15.0,,,64-72,2,Q. Cook makes 2-pt shot from 19 ft
2:56.0,Z. Randolph makes 2-pt shot from 18 ft,2,66-72,,
2:39.0,,,66-75,3,H. Barnes makes 3-pt shot from 25 ft (assist by Q. Cook)
2:19.0,J. Green makes 2-pt shot from 5 ft,2,68-75,,
1:54.0,,,68-75,,Q. Cook misses 3-pt shot from 24 ft
1:53.0,,,68-75,,Offensive rebound by N. Noel
1:51.0,,,68-77,2,N. Noel makes 2-pt shot from 2 ft
1:25.0,T. Douglas misses 3-pt shot from 24 ft,,68-77,,
1:25.0,,,68-77,,Defensive rebound by S. Curry
1:25.0,Personal foul by T. Douglas (drawn by S. Curry),,68-77,,
1:25.0,M. Gasol enters the game for J. Green,,68-77,,
1:25.0,T. Daniels enters the game for M. Conley,,68-77,,
1:25.0,,,68-77,,S. Mejri enters the game for N. Noel
1:09.0,,,68-77,,Turnover by S. Curry (bad pass; steal by Z. Randolph)
0:54.0,Z. Randolph makes 2-pt shot from 4 ft (assist by V. Carter),2,70-77,,
0:54.0,,,70-77,,Dallas full timeout
0:54.0,,,70-77,,D. Harris enters the game for H. Barnes
0:54.0,,,70-77,,D. Nowitzki enters the game for S. Curry
0:35.0,,,70-79,2,S. Mejri makes 2-pt shot at rim (assist by D. Harris)
0:17.0,Z. Randolph makes 2-pt shot from 18 ft (assist by V. Carter),2,72-79,,
0:01.0,,,72-79,,D. Harris misses 3-pt shot from 26 ft
0:00.0,,,72-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,Loose ball foul by T. Douglas (drawn by D. Harris),,72-79,,
11:30.0,,,72-79,,D. Nowitzki misses 3-pt shot from 25 ft
11:29.0,,,72-79,,Offensive rebound by S. Mejri
11:27.0,,,72-79,,Turnover by S. Mejri (bad pass; steal by T. Daniels)
11:07.0,Z. Randolph makes 2-pt shot from 18 ft,2,74-79,,
10:59.0,,,74-79,,Offensive foul by D. Nowitzki
10:59.0,,,74-79,,Turnover by D. Nowitzki (offensive foul)
10:59.0,,,74-79,,Y. Ferrell enters the game for Q. Cook
10:48.0,Z. Randolph makes 2-pt shot from 2 ft,2,76-79,,
10:36.0,,,76-81,2,Y. Ferrell makes 2-pt shot from 19 ft
10:19.0,,,76-81,,Personal foul by D. Harris (drawn by M. Gasol)
10:10.0,Turnover by T. Douglas (traveling),,76-81,,
9:57.0,,,76-83,2,Y. Ferrell makes 2-pt shot from 9 ft
9:37.0,Z. Randolph misses 2-pt shot from 3 ft (block by S. Mejri),,76-83,,
9:35.0,,,76-83,,Defensive rebound by D. Harris
9:32.0,,,76-85,2,D. Finney-Smith makes 2-pt shot at rim (assist by D. Harris)
9:17.0,T. Daniels misses 3-pt shot from 25 ft,,76-85,,
9:15.0,Offensive rebound by Team,,76-85,,
9:15.0,,,76-85,,Loose ball foul by S. Mejri (drawn by Z. Randolph)
9:15.0,M. Conley enters the game for T. Douglas,,76-85,,
9:11.0,,,76-85,,Personal block foul by Y. Ferrell (drawn by M. Conley)
8:55.0,M. Conley misses 2-pt shot from 17 ft,,76-85,,
8:54.0,,,76-85,,Defensive rebound by D. Finney-Smith
8:45.0,,,76-88,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
8:45.0,Memphis full timeout,,76-88,,
8:28.0,V. Carter misses 3-pt shot from 24 ft,,76-88,,
8:27.0,,,76-88,,Defensive rebound by S. Mejri
8:17.0,,,76-88,,Shooting foul by M. Gasol (drawn by D. Harris)
8:17.0,,,76-88,,D. Harris misses free throw 1 of 2
8:17.0,,,76-88,,Offensive rebound by Team
8:17.0,,,76-88,,D. Harris misses free throw 2 of 2
8:17.0,J. Ennis enters the game for Z. Randolph,,76-88,,
8:15.0,Defensive rebound by J. Ennis,,76-88,,
8:03.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,78-88,,
7:50.0,,,78-88,,Shooting foul by M. Gasol (drawn by Y. Ferrell)
7:50.0,,,78-89,1,Y. Ferrell makes free throw 1 of 2
7:50.0,,,78-90,1,Y. Ferrell makes free throw 2 of 2
7:50.0,,,78-89,,H. Barnes enters the game for D. Nowitzki
7:50.0,,,78-89,,S. Curry enters the game for D. Harris
7:50.0,,,78-89,,N. Noel enters the game for S. Mejri
7:44.0,Shooting foul by Y. Ferrell (drawn by M. Conley),,78-90,,
7:44.0,M. Conley misses free throw 1 of 3,,78-90,,
7:44.0,Offensive rebound by Team,,78-90,,
7:44.0,M. Conley makes free throw 2 of 3,1,79-90,,
7:44.0,M. Conley makes free throw 3 of 3,1,80-90,,
7:21.0,,,80-90,,H. Barnes misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by T. Daniels,,80-90,,
7:15.0,,,80-90,,Personal foul by N. Noel (drawn by M. Conley)
7:15.0,M. Conley makes free throw 1 of 2,1,81-90,,
7:15.0,M. Conley makes free throw 2 of 2,1,82-90,,
6:55.0,,,82-92,2,H. Barnes makes 2-pt shot from 14 ft
6:44.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,85-92,,
6:25.0,,,85-94,2,Y. Ferrell makes 2-pt shot from 17 ft
6:06.0,M. Gasol misses 2-pt shot from 9 ft,,85-94,,
6:05.0,Offensive rebound by J. Ennis,,85-94,,
5:59.0,Turnover by T. Daniels (bad pass; steal by Y. Ferrell),,85-94,,
5:37.0,,,85-94,,H. Barnes misses 2-pt shot from 14 ft
5:36.0,Defensive rebound by J. Ennis,,85-94,,
5:29.0,T. Daniels misses 3-pt shot from 24 ft,,85-94,,
5:28.0,,,85-94,,Defensive rebound by H. Barnes
5:11.0,,,85-94,,S. Curry misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by Team,,85-94,,
5:10.0,Official timeout,,85-94,,
5:10.0,Z. Randolph enters the game for M. Gasol,,85-94,,
5:10.0,T. Douglas enters the game for T. Daniels,,85-94,,
5:00.0,M. Conley misses 2-pt shot from 2 ft,,85-94,,
4:59.0,,,85-94,,Defensive rebound by N. Noel
4:37.0,,,85-94,,Turnover by Team (shot clock)
4:27.0,V. Carter misses 3-pt shot from 23 ft,,85-94,,
4:25.0,,,85-94,,Defensive rebound by N. Noel
4:07.0,,,85-94,,S. Curry misses 2-pt shot from 2 ft
4:06.0,,,85-94,,Offensive rebound by D. Finney-Smith
3:50.0,,,85-94,,S. Curry misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by Z. Randolph,,85-94,,
3:39.0,Turnover by J. Ennis (lost ball; steal by S. Curry),,85-94,,
3:38.0,,,85-94,,Dallas full timeout
3:38.0,,,85-94,,D. Nowitzki enters the game for N. Noel
3:38.0,M. Gasol enters the game for J. Ennis,,85-94,,
3:26.0,,,85-94,,Turnover by S. Curry (lost ball)
3:09.0,M. Conley misses 3-pt shot from 24 ft,,85-94,,
3:08.0,,,85-94,,Defensive rebound by Y. Ferrell
2:43.0,,,85-94,,D. Nowitzki misses 3-pt shot from 22 ft
2:42.0,Defensive rebound by V. Carter,,85-94,,
2:30.0,Turnover by M. Conley (step out of bounds),,85-94,,
2:19.0,Personal foul by T. Douglas (drawn by S. Curry),,85-94,,
2:14.0,,,85-94,,Y. Ferrell misses 2-pt shot from 8 ft
2:13.0,Defensive rebound by Team,,85-94,,
2:13.0,,,85-94,,Loose ball foul by H. Barnes (drawn by V. Carter)
2:13.0,V. Carter misses free throw 1 of 2,,85-94,,
2:13.0,Offensive rebound by Team,,85-94,,
2:13.0,V. Carter makes free throw 2 of 2,1,86-94,,
2:13.0,J. Green enters the game for Z. Randolph,,85-94,,
2:13.0,T. Allen enters the game for M. Conley,,85-94,,
1:58.0,,,86-94,,D. Finney-Smith misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by T. Douglas,,86-94,,
1:49.0,T. Douglas makes 2-pt shot from 6 ft,2,88-94,,
