time,Chicago,pts.away,score,pts.home,Boston
5:11.0,Defensive rebound by J. Butler,,13-20,,
4:58.0,R. Lopez misses 2-pt shot from 8 ft,,13-20,,
4:57.0,,,13-20,,Defensive rebound by A. Bradley
4:50.0,,,13-22,2,A. Bradley makes 2-pt shot from 17 ft
4:39.0,,,13-22,,Personal foul by M. Smart (drawn by J. Butler)
4:39.0,N. Mirotic enters the game for T. Gibson,,13-22,,
4:39.0,I. Canaan enters the game for D. Wade,,13-22,,
4:39.0,,,13-22,,J. Brown enters the game for A. Bradley
4:29.0,Turnover by R. Lopez (lost ball; steal by M. Smart),,13-22,,
4:24.0,,,13-22,,Turnover by M. Smart (lost ball)
4:11.0,J. Butler misses 2-pt shot from 16 ft,,13-22,,
4:11.0,Offensive rebound by Team,,13-22,,
4:11.0,,,13-22,,Loose ball foul by T. Zeller (drawn by R. Lopez)
4:11.0,R. Lopez makes free throw 1 of 2,1,14-22,,
4:11.0,R. Lopez misses free throw 2 of 2,,14-22,,
4:11.0,,,14-22,,Defensive rebound by J. Crowder
4:09.0,,,14-22,,Turnover by I. Thomas (traveling)
3:57.0,Turnover by N. Mirotic (bad pass; steal by T. Zeller),,14-22,,
3:51.0,,,14-22,,M. Smart misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by J. Butler,,14-22,,
3:46.0,Turnover by R. Rondo (lost ball; steal by I. Thomas),,14-22,,
3:40.0,,,14-24,2,T. Zeller makes 2-pt shot at rim (assist by I. Thomas)
3:24.0,Turnover by R. Lopez (offensive foul),,14-24,,
3:24.0,Offensive foul by R. Lopez,,14-24,,
3:24.0,C. Felicio enters the game for R. Lopez,,14-24,,
3:11.0,,,14-24,,Shooting foul by I. Canaan (drawn by M. Smart)
3:11.0,,,14-25,1,M. Smart makes free throw 1 of 2
3:11.0,,,14-26,1,M. Smart makes free throw 2 of 2
3:11.0,,,14-25,,J. Mickey enters the game for T. Zeller
3:00.0,N. Mirotic makes 3-pt shot from 27 ft (assist by R. Rondo),3,17-26,,
2:39.0,,,17-29,3,I. Thomas makes 3-pt shot from 25 ft
2:27.0,Turnover by R. Rondo (bad pass; steal by J. Brown),,17-29,,
2:21.0,,,17-29,,I. Thomas misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by J. Butler,,17-29,,
2:14.0,,,17-29,,Personal foul by J. Crowder (drawn by I. Canaan)
2:14.0,I. Canaan misses free throw 1 of 2,,17-29,,
2:14.0,Offensive rebound by Team,,17-29,,
2:14.0,I. Canaan makes free throw 2 of 2,1,18-29,,
2:14.0,D. Wade enters the game for R. Rondo,,17-29,,
2:14.0,D. Valentine enters the game for J. Butler,,17-29,,
2:00.0,,,18-32,3,I. Thomas makes 3-pt shot from 26 ft (assist by M. Smart)
1:37.0,D. Valentine makes 3-pt shot from 24 ft (assist by D. Wade),3,21-32,,
1:22.0,,,21-34,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
1:09.0,I. Canaan misses 2-pt shot from 22 ft,,21-34,,
1:09.0,,,21-34,,Defensive rebound by J. Brown
1:03.0,,,21-34,,M. Smart misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by Team,,21-34,,
1:02.0,,,21-34,,Loose ball foul by J. Brown (drawn by N. Mirotic)
1:02.0,N. Mirotic makes free throw 1 of 2,1,22-34,,
1:02.0,N. Mirotic makes free throw 2 of 2,1,23-34,,
1:02.0,,,22-34,,J. Jerebko enters the game for J. Crowder
0:42.0,,,23-36,2,J. Jerebko makes 2-pt shot from 22 ft (assist by I. Thomas)
0:23.0,D. Wade makes 2-pt shot from 10 ft,2,25-36,,
0:02.0,,,25-36,,J. Mickey misses 2-pt shot from 2 ft (block by N. Mirotic)
0:01.0,Defensive rebound by N. Mirotic,,25-36,,
0:01.0,N. Mirotic misses 3-pt shot from 50 ft,,25-36,,
0:00.0,Offensive rebound by Team,,25-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,25-36,,T. Rozier misses 2-pt shot from 4 ft
11:34.0,Defensive rebound by N. Mirotic,,25-36,,
11:24.0,D. Wade misses 2-pt shot from 1 ft,,25-36,,
11:23.0,,,25-36,,Defensive rebound by J. Jerebko
11:15.0,,,25-36,,Turnover by M. Smart (bad pass; steal by D. Wade)
11:02.0,,,25-36,,Loose ball foul by T. Rozier (drawn by N. Mirotic)
11:02.0,,,25-36,,A. Bradley enters the game for J. Brown
10:51.0,Turnover by D. Valentine (bad pass),,25-36,,
10:29.0,,,25-36,,A. Bradley misses 3-pt shot from 27 ft
10:28.0,Defensive rebound by N. Mirotic,,25-36,,
10:21.0,Offensive foul by C. Felicio,,25-36,,
10:21.0,Turnover by C. Felicio (offensive foul),,25-36,,
10:21.0,J. Grant enters the game for I. Canaan,,25-36,,
10:05.0,,,25-36,,Turnover by M. Smart (bad pass)
9:57.0,,,25-36,,Personal foul by J. Jerebko (drawn by J. Grant)
9:50.0,D. Wade makes 2-pt shot from 14 ft (assist by N. Mirotic),2,27-36,,
9:37.0,,,27-39,3,M. Smart makes 3-pt shot from 24 ft (assist by A. Bradley)
9:26.0,J. Grant makes 2-pt shot from 1 ft,2,29-39,,
9:22.0,,,29-39,,Turnover by J. Mickey (inbound)
9:22.0,,,29-39,,A. Johnson enters the game for J. Mickey
9:10.0,D. Wade misses 3-pt shot from 25 ft,,29-39,,
9:08.0,,,29-39,,Defensive rebound by Team
9:08.0,Loose ball foul by C. Felicio (drawn by A. Johnson),,29-39,,
8:49.0,,,29-41,2,T. Rozier makes 2-pt shot from 21 ft (assist by J. Jerebko)
8:28.0,D. Valentine misses 2-pt shot from 14 ft,,29-41,,
8:27.0,,,29-41,,Defensive rebound by T. Rozier
8:18.0,,,29-41,,M. Smart misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by N. Mirotic,,29-41,,
8:08.0,D. Wade misses 2-pt shot from 1 ft (block by M. Smart),,29-41,,
8:07.0,,,29-41,,Defensive rebound by M. Smart
7:58.0,,,29-41,,T. Rozier misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by C. Felicio,,29-41,,
7:45.0,C. Felicio misses 2-pt shot from 2 ft (block by A. Johnson),,29-41,,
7:44.0,,,29-41,,Defensive rebound by A. Johnson
7:32.0,,,29-43,2,A. Johnson makes 2-pt shot at rim (assist by M. Smart)
7:32.0,Chicago full timeout,,29-43,,
7:32.0,,,29-43,,J. Brown enters the game for M. Smart
7:32.0,R. Rondo enters the game for D. Wade,,29-43,,
7:32.0,J. Butler enters the game for C. Felicio,,29-43,,
7:32.0,T. Gibson enters the game for D. Valentine,,29-43,,
7:17.0,Shooting foul by J. Brown (drawn by J. Butler),,29-43,,
7:17.0,J. Butler makes free throw 1 of 2,1,30-43,,
7:17.0,J. Butler makes free throw 2 of 2,1,31-43,,
6:53.0,,,31-43,,J. Jerebko misses 2-pt shot from 3 ft
6:52.0,Defensive rebound by R. Rondo,,31-43,,
6:50.0,Shooting foul by J. Brown (drawn by J. Butler),,31-43,,
6:50.0,J. Butler makes free throw 1 of 2,1,32-43,,
6:50.0,J. Butler makes free throw 2 of 2,1,33-43,,
6:50.0,,,32-43,,J. Crowder enters the game for J. Brown
6:50.0,,,32-43,,I. Thomas enters the game for T. Rozier
6:35.0,,,33-43,,J. Crowder misses 2-pt shot from 20 ft
6:34.0,Defensive rebound by J. Butler,,33-43,,
6:13.0,J. Butler makes 2-pt shot from 1 ft (assist by T. Gibson),2,35-43,,
6:02.0,,,35-43,,Turnover by J. Crowder (lost ball; steal by T. Gibson)
5:56.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Grant),2,37-43,,
5:55.0,,,37-43,,Boston full timeout
5:55.0,,,37-43,,M. Smart enters the game for J. Jerebko
5:39.0,,,37-45,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
5:21.0,J. Butler misses 2-pt shot from 16 ft,,37-45,,
5:20.0,Offensive rebound by T. Gibson,,37-45,,
5:09.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Grant),2,39-45,,
5:09.0,Shooting foul by A. Johnson (drawn by T. Gibson),,39-45,,
5:09.0,T. Gibson makes free throw 1 of 1,1,40-45,,
4:52.0,,,40-47,2,A. Johnson makes 2-pt shot from 1 ft (assist by M. Smart)
4:42.0,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo),3,43-47,,
4:18.0,,,43-50,3,I. Thomas makes 3-pt shot from 27 ft (assist by J. Crowder)
4:04.0,J. Butler makes 2-pt shot from 1 ft (assist by T. Gibson),2,45-50,,
4:04.0,,,45-50,,Boston full timeout
4:04.0,,,45-50,,J. Jerebko enters the game for J. Crowder
3:46.0,,,45-50,,A. Bradley misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by J. Grant,,45-50,,
3:36.0,R. Rondo makes 2-pt shot from 2 ft (assist by T. Gibson),2,47-50,,
3:11.0,,,47-50,,J. Jerebko misses 2-pt shot from 20 ft
3:10.0,Defensive rebound by T. Gibson,,47-50,,
2:53.0,J. Grant makes 2-pt shot from 17 ft,2,49-50,,
2:37.0,,,49-50,,Turnover by I. Thomas (lost ball; steal by R. Rondo)
2:34.0,Offensive foul by J. Butler,,49-50,,
2:34.0,Turnover by J. Butler (offensive foul),,49-50,,
2:34.0,Official timeout,,49-50,,
2:34.0,,,49-50,,T. Zeller enters the game for A. Johnson
2:34.0,,,49-50,,J. Brown enters the game for J. Jerebko
2:14.0,,,49-53,3,J. Brown makes 3-pt shot from 24 ft (assist by I. Thomas)
1:50.0,T. Gibson makes 2-pt shot from 9 ft (assist by J. Butler),2,51-53,,
1:39.0,,,51-53,,J. Brown misses 3-pt shot from 26 ft
1:37.0,Defensive rebound by J. Grant,,51-53,,
1:26.0,Shooting foul by J. Brown (drawn by N. Mirotic),,51-53,,
1:26.0,N. Mirotic misses free throw 1 of 2,,51-53,,
1:26.0,Offensive rebound by Team,,51-53,,
1:26.0,N. Mirotic makes free throw 2 of 2,1,52-53,,
1:26.0,D. Wade enters the game for J. Grant,,51-53,,
1:07.0,,,52-53,,A. Bradley misses 3-pt shot from 25 ft
1:06.0,,,52-53,,Offensive rebound by J. Brown
1:06.0,,,52-53,,J. Brown misses 2-pt shot from 1 ft
1:05.0,Defensive rebound by R. Rondo,,52-53,,
1:01.0,J. Butler misses 2-pt shot at rim,,52-53,,
1:00.0,,,52-53,,Defensive rebound by Team
0:39.0,,,52-55,2,A. Bradley makes 2-pt shot from 18 ft (assist by I. Thomas)
0:39.0,Chicago full timeout,,52-55,,
0:39.0,,,52-55,,J. Young enters the game for J. Brown
0:31.0,J. Butler misses 2-pt shot from 11 ft,,52-55,,
0:29.0,,,52-55,,Defensive rebound by A. Bradley
0:11.0,,,52-55,,Shooting foul by T. Gibson (drawn by M. Smart)
0:11.0,,,52-55,,M. Smart misses free throw 1 of 2
0:11.0,,,52-55,,Offensive rebound by Team
0:11.0,,,52-55,,M. Smart misses free throw 2 of 2
0:11.0,Defensive rebound by R. Rondo,,52-55,,
0:11.0,,,52-55,,A. Johnson enters the game for T. Zeller
0:03.0,J. Butler misses 2-pt shot from 1 ft (block by I. Thomas),,52-55,,
0:02.0,,,52-55,,Defensive rebound by J. Young
0:01.0,,,52-55,,A. Bradley misses 3-pt shot from 27 ft
0:00.0,,,52-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,52-55,,A. Johnson misses 2-pt shot from 8 ft
11:36.0,,,52-55,,Offensive rebound by T. Zeller
11:35.0,,,52-55,,T. Zeller misses 2-pt shot from 1 ft
11:34.0,Defensive rebound by R. Lopez,,52-55,,
11:17.0,Turnover by T. Gibson (lost ball; steal by I. Thomas),,52-55,,
11:14.0,,,52-55,,Shooting foul by R. Rondo (drawn by I. Thomas)
11:14.0,,,52-56,1,I. Thomas makes free throw 1 of 2
11:14.0,,,52-57,1,I. Thomas makes free throw 2 of 2
10:51.0,D. Wade misses 3-pt shot from 25 ft,,52-57,,
10:50.0,Offensive rebound by R. Lopez,,52-57,,
10:50.0,R. Lopez misses 2-pt shot from 1 ft,,52-57,,
10:49.0,Offensive rebound by R. Lopez,,52-57,,
10:49.0,R. Lopez misses 2-pt shot from 1 ft,,52-57,,
10:45.0,,,52-57,,Defensive rebound by M. Smart
10:36.0,,,52-60,3,A. Johnson makes 3-pt shot from 23 ft (assist by M. Smart)
10:16.0,Turnover by T. Gibson (lost ball; steal by A. Johnson),,52-60,,
10:07.0,,,52-60,,T. Zeller misses 2-pt shot from 2 ft (block by R. Lopez)
10:05.0,,,52-60,,Offensive rebound by T. Zeller
10:04.0,,,52-60,,T. Zeller misses 2-pt shot from 1 ft (block by T. Gibson)
10:03.0,Defensive rebound by T. Gibson,,52-60,,
9:49.0,T. Gibson misses 2-pt shot from 18 ft,,52-60,,
9:48.0,,,52-60,,Defensive rebound by A. Bradley
9:39.0,,,52-60,,A. Johnson misses 2-pt shot from 5 ft
9:38.0,,,52-60,,Offensive rebound by A. Johnson
9:37.0,,,52-62,2,A. Johnson makes 2-pt shot at rim
9:37.0,Chicago full timeout,,52-62,,
9:18.0,R. Lopez makes 2-pt shot from 5 ft (assist by J. Butler),2,54-62,,
9:08.0,,,54-62,,Turnover by I. Thomas (lost ball; steal by D. Wade)
9:04.0,D. Wade makes 2-pt shot from 2 ft,2,56-62,,
8:41.0,,,56-65,3,A. Johnson makes 3-pt shot from 26 ft (assist by I. Thomas)
8:28.0,T. Gibson misses 2-pt shot from 17 ft,,56-65,,
8:27.0,Offensive rebound by R. Rondo,,56-65,,
8:26.0,R. Rondo makes 2-pt shot from 1 ft,2,58-65,,
8:07.0,,,58-65,,I. Thomas misses 2-pt shot from 12 ft
8:06.0,,,58-65,,Offensive rebound by I. Thomas
8:02.0,,,58-65,,M. Smart misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by D. Wade,,58-65,,
7:51.0,Turnover by T. Gibson (3 sec),,58-65,,
7:33.0,,,58-65,,I. Thomas misses 2-pt shot from 11 ft
7:32.0,Defensive rebound by R. Rondo,,58-65,,
7:28.0,Turnover by J. Butler (offensive foul),,58-65,,
7:28.0,Offensive charge foul by J. Butler,,58-65,,
7:13.0,,,58-65,,M. Smart misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by J. Butler,,58-65,,
6:54.0,R. Rondo makes 2-pt shot from 17 ft (assist by D. Wade),2,60-65,,
6:41.0,,,60-67,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Johnson)
6:26.0,Turnover by T. Gibson (offensive foul),,60-67,,
6:26.0,Offensive foul by T. Gibson,,60-67,,
6:26.0,N. Mirotic enters the game for R. Lopez,,60-67,,
6:05.0,,,60-67,,Turnover by M. Smart (lost ball; steal by T. Gibson)
6:00.0,,,60-67,,Shooting block foul by I. Thomas (drawn by D. Wade)
6:00.0,D. Wade makes free throw 1 of 2,1,61-67,,
6:00.0,D. Wade makes free throw 2 of 2,1,62-67,,
6:00.0,,,61-67,,J. Jerebko enters the game for T. Zeller
6:00.0,,,61-67,,G. Green enters the game for M. Smart
5:44.0,,,62-70,3,A. Johnson makes 3-pt shot from 25 ft (assist by A. Bradley)
5:25.0,Shooting foul by J. Jerebko (drawn by N. Mirotic),,62-70,,
5:25.0,N. Mirotic makes free throw 1 of 3,1,63-70,,
5:25.0,N. Mirotic makes free throw 2 of 3,1,64-70,,
5:25.0,N. Mirotic makes free throw 3 of 3,1,65-70,,
5:25.0,I. Canaan enters the game for D. Wade,,64-70,,
5:15.0,,,65-70,,Turnover by A. Bradley (lost ball; steal by I. Canaan)
5:06.0,Turnover by R. Rondo (bad pass; steal by A. Johnson),,65-70,,
4:45.0,,,65-73,3,A. Johnson makes 3-pt shot from 24 ft (assist by I. Thomas)
4:30.0,Turnover by I. Canaan (bad pass; steal by I. Thomas),,65-73,,
4:27.0,,,65-75,2,I. Thomas makes 2-pt shot from 1 ft
4:27.0,Chicago full timeout,,65-75,,
4:03.0,J. Butler misses 2-pt shot from 2 ft (block by A. Johnson),,65-75,,
4:02.0,,,65-75,,Defensive rebound by A. Johnson
3:41.0,,,65-77,2,A. Johnson makes 2-pt shot from 5 ft (assist by G. Green)
3:27.0,,,65-77,,Personal block foul by G. Green (drawn by I. Canaan)
3:27.0,,,65-77,,T. Rozier enters the game for I. Thomas
3:12.0,R. Rondo makes 2-pt shot from 2 ft,2,67-77,,
2:47.0,,,67-77,,A. Bradley misses 3-pt shot from 25 ft
2:46.0,,,67-77,,Offensive rebound by J. Jerebko
2:45.0,,,67-79,2,J. Jerebko makes 2-pt shot at rim
2:26.0,I. Canaan misses 3-pt shot from 24 ft,,67-79,,
2:25.0,,,67-79,,Defensive rebound by A. Johnson
2:18.0,,,67-79,,G. Green misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by J. Butler,,67-79,,
2:00.0,Shooting foul by A. Johnson (drawn by T. Gibson),,67-79,,
2:00.0,,,67-79,,Boston full timeout
2:00.0,T. Gibson misses free throw 1 of 2,,67-79,,
2:00.0,Offensive rebound by Team,,67-79,,
2:00.0,T. Gibson makes free throw 2 of 2,1,68-79,,
2:00.0,,,67-79,,M. Smart enters the game for A. Johnson
2:00.0,,,67-79,,T. Zeller enters the game for A. Bradley
1:43.0,,,68-79,,T. Rozier misses 2-pt shot from 15 ft
1:43.0,Defensive rebound by R. Rondo,,68-79,,
1:21.0,T. Gibson misses 2-pt shot from 5 ft,,68-79,,
1:20.0,Offensive rebound by T. Gibson,,68-79,,
1:20.0,T. Gibson misses 2-pt shot from 1 ft,,68-79,,
1:19.0,Offensive rebound by T. Gibson,,68-79,,
1:19.0,T. Gibson misses 2-pt shot from 1 ft,,68-79,,
1:18.0,,,68-79,,Defensive rebound by M. Smart
1:15.0,,,68-79,,Shooting foul by J. Butler (drawn by G. Green)
1:15.0,,,68-80,1,G. Green makes free throw 1 of 2
1:15.0,,,68-81,1,G. Green makes free throw 2 of 2
1:15.0,D. Wade enters the game for J. Butler,,68-80,,
1:15.0,C. Felicio enters the game for T. Gibson,,68-80,,
1:01.0,R. Rondo makes 2-pt shot from 18 ft,2,70-81,,
0:35.0,,,70-81,,M. Smart misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by Team,,70-81,,
0:26.0,R. Rondo misses 3-pt shot from 25 ft,,70-81,,
0:25.0,,,70-81,,Defensive rebound by J. Jerebko
0:07.0,,,70-81,,Turnover by M. Smart (bad pass; steal by C. Felicio)
0:03.0,I. Canaan misses 3-pt shot from 24 ft,,70-81,,
0:00.0,,,70-81,,Defensive rebound by T. Rozier
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Wade misses 2-pt shot from 20 ft,,70-81,,
11:44.0,,,70-81,,Defensive rebound by T. Zeller
11:23.0,,,70-83,2,T. Zeller makes 2-pt shot from 3 ft (assist by M. Smart)
11:05.0,Turnover by N. Mirotic (bad pass; steal by J. Jerebko),,70-83,,
11:01.0,,,70-83,,Shooting foul by I. Canaan (drawn by T. Zeller)
11:01.0,,,70-84,1,T. Zeller makes free throw 1 of 2
11:01.0,,,70-84,,T. Zeller misses free throw 2 of 2
11:01.0,Defensive rebound by B. Portis,,70-84,,
11:01.0,B. Portis enters the game for C. Felicio,,70-84,,
10:49.0,D. Wade misses 2-pt shot from 2 ft,,70-84,,
10:48.0,,,70-84,,Defensive rebound by J. Jerebko
10:42.0,Violation by B. Portis (def goaltending),,70-84,,
10:42.0,,,70-86,2,T. Zeller makes 2-pt shot from 1 ft (assist by J. Jerebko)
10:42.0,Chicago full timeout,,70-86,,
10:24.0,D. Wade makes 2-pt shot from 2 ft,2,72-86,,
10:10.0,,,72-86,,Turnover by M. Smart (lost ball)
10:10.0,,,72-86,,A. Bradley enters the game for M. Smart
9:50.0,I. Canaan makes 3-pt shot from 23 ft (assist by J. Grant),3,75-86,,
9:31.0,,,75-89,3,T. Rozier makes 3-pt shot from 25 ft (assist by G. Green)
9:09.0,J. Grant makes 2-pt shot from 1 ft,2,77-89,,
8:56.0,,,77-91,2,T. Rozier makes 2-pt shot from 2 ft
8:56.0,,,77-91,,Shooting foul by N. Mirotic (drawn by T. Rozier)
8:56.0,,,77-91,,T. Rozier misses free throw 1 of 1
8:56.0,Defensive rebound by N. Mirotic,,77-91,,
8:40.0,Offensive charge foul by J. Grant,,77-91,,
8:40.0,Turnover by J. Grant (offensive foul),,77-91,,
8:40.0,,,77-91,,I. Thomas enters the game for G. Green
8:23.0,,,77-91,,T. Zeller misses 2-pt shot from 4 ft
8:22.0,Defensive rebound by B. Portis,,77-91,,
8:09.0,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Wade),3,80-91,,
7:45.0,,,80-91,,J. Jerebko misses 2-pt shot from 22 ft
7:44.0,Defensive rebound by B. Portis,,80-91,,
7:43.0,,,80-91,,Personal foul by J. Jerebko (drawn by N. Mirotic)
7:43.0,J. Butler enters the game for J. Grant,,80-91,,
7:43.0,,,80-91,,M. Smart enters the game for T. Rozier
7:25.0,Shooting foul by T. Zeller (drawn by D. Wade),,80-91,,
7:25.0,D. Wade makes free throw 1 of 2,1,81-91,,
7:25.0,D. Wade makes free throw 2 of 2,1,82-91,,
7:13.0,,,82-93,2,T. Zeller makes 2-pt shot from 19 ft (assist by I. Thomas)
6:51.0,J. Butler makes 3-pt shot from 25 ft (assist by I. Canaan),3,85-93,,
6:30.0,,,85-93,,T. Zeller misses 2-pt shot from 2 ft
6:29.0,Defensive rebound by B. Portis,,85-93,,
6:25.0,J. Butler makes 2-pt shot from 2 ft (assist by I. Canaan),2,87-93,,
6:25.0,Shooting foul by I. Thomas (drawn by J. Butler),,87-93,,
6:25.0,J. Butler makes free throw 1 of 1,1,88-93,,
6:20.0,,,88-93,,Boston full timeout
6:20.0,,,88-93,,A. Johnson enters the game for T. Zeller
6:20.0,,,88-93,,G. Green enters the game for J. Jerebko
6:11.0,,,88-93,,Shooting foul by J. Butler (drawn by I. Thomas)
6:11.0,,,88-93,,I. Thomas misses free throw 1 of 2
6:11.0,,,88-93,,Offensive rebound by Team
6:11.0,,,88-94,1,I. Thomas makes free throw 2 of 2
5:57.0,,,88-94,,Personal foul by A. Bradley (drawn by J. Butler)
5:48.0,J. Butler makes 3-pt shot from 24 ft (assist by I. Canaan),3,91-94,,
5:26.0,,,91-96,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Bradley)
4:59.0,J. Butler misses 3-pt shot from 27 ft,,91-96,,
4:58.0,,,91-96,,Defensive rebound by I. Thomas
4:46.0,,,91-96,,I. Thomas misses 2-pt shot from 3 ft
4:45.0,Defensive rebound by Team,,91-96,,
4:30.0,,,91-96,,Personal foul by I. Thomas (drawn by D. Wade)
4:30.0,D. Wade misses free throw 1 of 2,,91-96,,
4:30.0,Offensive rebound by Team,,91-96,,
4:30.0,D. Wade makes free throw 2 of 2,1,92-96,,
4:30.0,R. Rondo enters the game for I. Canaan,,91-96,,
4:11.0,,,92-96,,G. Green misses 3-pt shot from 24 ft
4:09.0,,,92-96,,Offensive rebound by G. Green
4:06.0,,,92-98,2,G. Green makes 2-pt shot from 1 ft
3:51.0,B. Portis makes 2-pt shot from 2 ft (assist by R. Rondo),2,94-98,,
3:31.0,,,94-100,2,A. Bradley makes 2-pt shot from 1 ft (assist by G. Green)
