time,Sacramento,pts.away,score,pts.home,Denver
6:28.0,D. Cousins makes 2-pt shot from 22 ft,2,44-36,,
6:19.0,,,44-36,,Turnover by J. Murray (bad pass; steal by G. Temple)
6:11.0,M. Barnes misses 3-pt shot from 26 ft,,44-36,,
6:11.0,,,44-36,,Defensive rebound by W. Barton
6:05.0,,,44-36,,W. Barton misses 2-pt shot from 2 ft
6:05.0,,,44-36,,Offensive rebound by W. Barton
6:05.0,,,44-36,,N. Jokic misses 2-pt shot from 4 ft
6:03.0,Defensive rebound by G. Temple,,44-36,,
6:01.0,D. Collison makes 2-pt shot from 2 ft (assist by M. Barnes),2,46-36,,
6:01.0,,,46-36,,Denver full timeout
6:01.0,,,46-36,,D. Gallinari enters the game for J. Nelson
6:01.0,,,46-36,,G. Harris enters the game for W. Barton
6:01.0,,,46-36,,E. Mudiay enters the game for J. Murray
5:39.0,,,46-36,,E. Mudiay misses 3-pt shot from 24 ft
5:38.0,Defensive rebound by Team,,46-36,,
5:19.0,Shooting foul by E. Mudiay (drawn by D. Collison),,46-36,,
5:19.0,D. Collison makes free throw 1 of 2,1,47-36,,
5:19.0,D. Collison makes free throw 2 of 2,1,48-36,,
5:02.0,,,48-36,,D. Gallinari misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by D. Cousins,,48-36,,
4:54.0,D. Cousins misses 2-pt shot from 3 ft (block by N. Jokic),,48-36,,
4:53.0,Offensive rebound by Team,,48-36,,
4:46.0,,,48-36,,Personal foul by N. Jokic (drawn by D. Cousins)
4:46.0,D. Cousins makes free throw 1 of 2,1,49-36,,
4:46.0,D. Cousins makes free throw 2 of 2,1,50-36,,
4:46.0,,,49-36,,J. Nurkic enters the game for N. Jokic
4:26.0,,,50-36,,E. Mudiay misses 2-pt shot from 22 ft
4:25.0,Defensive rebound by Team,,50-36,,
4:09.0,D. Collison misses 3-pt shot from 28 ft,,50-36,,
4:09.0,,,50-36,,Defensive rebound by J. Nurkic
4:03.0,,,50-36,,Shooting foul by M. Barnes (drawn by J. Nurkic)
4:03.0,,,50-37,1,J. Nurkic makes free throw 1 of 2
4:03.0,,,50-38,1,J. Nurkic makes free throw 2 of 2
4:03.0,K. Koufos enters the game for M. Barnes,,50-37,,
4:00.0,Sacramento full timeout,,50-38,,
4:00.0,,,50-38,,D. Arthur enters the game for W. Chandler
4:00.0,A. Afflalo enters the game for G. Temple,,50-38,,
3:45.0,D. Cousins misses 2-pt shot from 2 ft,,50-38,,
3:45.0,,,50-38,,Defensive rebound by J. Nurkic
3:42.0,,,50-38,,Turnover by E. Mudiay (lost ball)
3:31.0,O. Casspi misses 3-pt shot from 26 ft,,50-38,,
3:31.0,,,50-38,,Defensive rebound by Team
3:17.0,,,50-38,,D. Gallinari misses 2-pt shot from 5 ft
3:16.0,Defensive rebound by O. Casspi,,50-38,,
3:03.0,A. Afflalo makes 3-pt shot from 23 ft (assist by K. Koufos),3,53-38,,
2:46.0,,,53-40,2,J. Nurkic makes 2-pt shot from 2 ft (assist by G. Harris)
2:29.0,Shooting foul by D. Arthur (drawn by K. Koufos),,53-40,,
2:29.0,K. Koufos misses free throw 1 of 2,,53-40,,
2:29.0,Offensive rebound by Team,,53-40,,
2:29.0,K. Koufos makes free throw 2 of 2,1,54-40,,
2:29.0,M. Barnes enters the game for O. Casspi,,53-40,,
2:14.0,,,54-42,2,G. Harris makes 2-pt shot from 19 ft
1:49.0,M. Barnes makes 2-pt shot from 21 ft (assist by A. Afflalo),2,56-42,,
1:33.0,,,56-42,,J. Nurkic misses 2-pt shot from 6 ft
1:32.0,Defensive rebound by K. Koufos,,56-42,,
1:12.0,D. Collison makes 2-pt shot from 17 ft,2,58-42,,
0:53.0,,,58-45,3,D. Arthur makes 3-pt shot from 24 ft (assist by D. Gallinari)
0:47.0,D. Cousins misses 2-pt shot from 3 ft,,58-45,,
0:46.0,,,58-45,,Defensive rebound by D. Arthur
0:43.0,Personal foul by K. Koufos (drawn by D. Gallinari),,58-45,,
0:38.0,,,58-48,3,E. Mudiay makes 3-pt shot from 26 ft (assist by J. Nurkic)
0:25.0,D. Cousins makes 2-pt shot from 1 ft,2,60-48,,
0:04.0,,,60-51,3,D. Arthur makes 3-pt shot from 24 ft (assist by J. Nurkic)
0:01.0,D. Cousins misses 3-pt shot from 26 ft,,60-51,,
0:00.0,Offensive rebound by Team,,60-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Turnover by K. Koufos (lost ball; steal by G. Harris),,60-51,,
11:29.0,,,60-51,,G. Harris misses 2-pt shot from 3 ft
11:29.0,Defensive rebound by K. Koufos,,60-51,,
11:24.0,K. Koufos makes 2-pt shot from 3 ft (assist by D. Cousins),2,62-51,,
11:24.0,Shooting foul by W. Chandler (drawn by K. Koufos),,62-51,,
11:24.0,K. Koufos makes free throw 1 of 1,1,63-51,,
11:02.0,,,63-53,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
10:49.0,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison),3,66-53,,
10:33.0,,,66-55,2,D. Gallinari makes 2-pt shot from 2 ft (assist by N. Jokic)
10:18.0,M. Barnes makes 3-pt shot from 25 ft (assist by D. Cousins),3,69-55,,
10:06.0,,,69-55,,Shooting foul by K. Koufos (drawn by N. Jokic)
10:06.0,,,69-57,2,N. Jokic makes 2-pt shot from 6 ft
10:06.0,,,69-58,1,N. Jokic makes free throw 1 of 1
9:44.0,K. Koufos makes 2-pt shot from 5 ft,2,71-58,,
9:29.0,,,71-58,,W. Chandler misses 3-pt shot from 23 ft
9:28.0,,,71-58,,Offensive rebound by N. Jokic
9:20.0,,,71-58,,G. Harris misses 2-pt shot from 1 ft
9:19.0,,,71-58,,Offensive rebound by N. Jokic
9:19.0,Loose ball foul by B. McLemore (drawn by N. Jokic),,71-58,,
9:11.0,,,71-60,2,E. Mudiay makes 2-pt shot from 2 ft
8:50.0,M. Barnes misses 3-pt shot from 24 ft,,71-60,,
8:49.0,,,71-60,,Defensive rebound by N. Jokic
8:42.0,,,71-63,3,D. Gallinari makes 3-pt shot from 22 ft (assist by W. Chandler)
8:15.0,D. Cousins misses 2-pt shot from 17 ft,,71-63,,
8:14.0,,,71-63,,Defensive rebound by W. Chandler
8:09.0,,,71-63,,E. Mudiay misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by K. Koufos,,71-63,,
7:58.0,D. Cousins makes 2-pt shot from 2 ft,2,73-63,,
7:46.0,,,73-66,3,N. Jokic makes 3-pt shot from 25 ft (assist by E. Mudiay)
7:28.0,,,73-66,,Personal foul by W. Chandler (drawn by D. Cousins)
7:28.0,,,73-66,,D. Arthur enters the game for W. Chandler
7:28.0,A. Tolliver enters the game for K. Koufos,,73-66,,
7:13.0,D. Cousins misses 2-pt shot from 21 ft,,73-66,,
7:11.0,Offensive rebound by D. Collison,,73-66,,
7:06.0,B. McLemore makes 3-pt shot from 23 ft (assist by D. Collison),3,76-66,,
6:58.0,,,76-66,,N. Jokic misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by D. Cousins,,76-66,,
6:51.0,D. Cousins makes 2-pt shot from 2 ft,2,78-66,,
6:50.0,,,78-66,,Denver full timeout
6:50.0,,,78-66,,J. Nurkic enters the game for N. Jokic
6:28.0,,,78-69,3,G. Harris makes 3-pt shot from 27 ft (assist by E. Mudiay)
6:13.0,Shooting foul by D. Gallinari (drawn by D. Cousins),,78-69,,
6:13.0,D. Cousins makes free throw 1 of 2,1,79-69,,
6:13.0,D. Cousins makes free throw 2 of 2,1,80-69,,
5:58.0,,,80-72,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Nurkic)
5:42.0,D. Cousins makes 3-pt shot from 26 ft (assist by D. Collison),3,83-72,,
5:28.0,,,83-72,,Shooting foul by D. Cousins (drawn by D. Gallinari)
5:28.0,,,83-73,1,D. Gallinari makes free throw 1 of 2
5:28.0,,,83-74,1,D. Gallinari makes free throw 2 of 2
5:15.0,D. Cousins misses 2-pt shot at rim (block by J. Nurkic),,83-74,,
5:12.0,,,83-74,,Defensive rebound by D. Gallinari
5:00.0,,,83-74,,D. Arthur misses 3-pt shot from 26 ft
4:59.0,Defensive rebound by A. Tolliver,,83-74,,
4:42.0,D. Collison misses 3-pt shot from 26 ft,,83-74,,
4:42.0,Offensive rebound by Team,,83-74,,
4:42.0,,,83-74,,Personal foul by D. Arthur (drawn by D. Cousins)
4:42.0,A. Afflalo enters the game for B. McLemore,,83-74,,
4:27.0,A. Afflalo makes 2-pt shot from 7 ft,2,85-74,,
4:13.0,,,85-74,,D. Arthur misses 2-pt shot from 13 ft
4:11.0,,,85-74,,Offensive rebound by J. Nurkic
4:10.0,,,85-76,2,J. Nurkic makes 2-pt shot from 3 ft
3:51.0,Turnover by A. Afflalo (traveling),,85-76,,
3:30.0,,,85-78,2,J. Nurkic makes 2-pt shot from 5 ft
3:08.0,D. Cousins makes 2-pt shot from 2 ft,2,87-78,,
2:47.0,,,87-80,2,D. Gallinari makes 2-pt shot from 21 ft
2:25.0,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins),2,89-80,,
2:17.0,,,89-80,,Shooting foul by D. Cousins (drawn by D. Gallinari)
2:17.0,Sacramento full timeout,,89-80,,
2:17.0,,,89-81,1,D. Gallinari makes free throw 1 of 2
2:17.0,,,89-82,1,D. Gallinari makes free throw 2 of 2
2:17.0,,,89-80,,J. Nelson enters the game for E. Mudiay
2:17.0,G. Temple enters the game for M. Barnes,,89-80,,
2:02.0,Turnover by D. Collison (lost ball; steal by J. Nurkic),,89-82,,
2:00.0,,,89-82,,Shooting foul by D. Collison (drawn by J. Nurkic)
2:00.0,,,89-83,1,J. Nurkic makes free throw 1 of 2
2:00.0,,,89-84,1,J. Nurkic makes free throw 2 of 2
1:47.0,D. Collison misses 2-pt shot from 2 ft,,89-84,,
1:46.0,,,89-84,,Defensive rebound by D. Arthur
1:36.0,,,89-84,,G. Harris misses 2-pt shot from 2 ft (block by D. Cousins)
1:34.0,,,89-84,,Offensive rebound by G. Harris
1:26.0,,,89-86,2,D. Gallinari makes 2-pt shot from 2 ft (assist by J. Nurkic)
1:04.0,D. Cousins misses 2-pt shot from 21 ft,,89-86,,
1:04.0,,,89-86,,Defensive rebound by Team
1:04.0,K. Koufos enters the game for D. Cousins,,89-86,,
0:55.0,,,89-86,,Turnover by J. Nurkic (bad pass; steal by A. Afflalo)
0:40.0,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Collison),3,92-86,,
0:27.0,,,92-88,2,J. Nurkic makes 2-pt shot from 6 ft
0:06.0,D. Collison makes 2-pt shot from 14 ft,2,94-88,,
0:01.0,,,94-88,,J. Nelson misses 2-pt shot from 21 ft
0:00.0,,,94-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,94-88,,J. Nelson misses 2-pt shot from 22 ft
11:41.0,,,94-88,,Offensive rebound by Team
11:25.0,,,94-90,2,N. Jokic makes 2-pt shot from 3 ft (assist by J. Nelson)
11:05.0,A. Afflalo misses 2-pt shot from 16 ft,,94-90,,
11:04.0,,,94-90,,Defensive rebound by W. Chandler
10:52.0,,,94-90,,Turnover by J. Nelson (lost ball; steal by O. Casspi)
10:44.0,G. Temple makes 2-pt shot from 2 ft (assist by O. Casspi),2,96-90,,
10:19.0,,,96-90,,Turnover by J. Murray (lost ball; steal by K. Koufos)
10:17.0,A. Afflalo makes 2-pt shot from 16 ft (assist by G. Temple),2,98-90,,
10:17.0,,,98-90,,Denver full timeout
9:59.0,,,98-90,,W. Chandler misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by G. Temple,,98-90,,
9:43.0,G. Temple misses 2-pt shot from 19 ft,,98-90,,
9:42.0,,,98-90,,Defensive rebound by N. Jokic
9:30.0,,,98-93,3,J. Nelson makes 3-pt shot from 25 ft (assist by J. Murray)
9:15.0,Turnover by A. Tolliver (bad pass; steal by W. Barton),,98-93,,
9:12.0,,,98-93,,Shooting foul by A. Tolliver (drawn by W. Chandler)
9:12.0,,,98-94,1,W. Chandler makes free throw 1 of 2
9:12.0,,,98-95,1,W. Chandler makes free throw 2 of 2
8:53.0,K. Koufos makes 2-pt shot from 5 ft (assist by G. Temple),2,100-95,,
8:44.0,,,100-95,,W. Barton misses 2-pt shot from 6 ft
8:43.0,,,100-95,,Offensive rebound by Team
8:43.0,Loose ball foul by O. Casspi (drawn by N. Jokic),,100-95,,
8:30.0,,,100-95,,W. Chandler misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by O. Casspi,,100-95,,
8:17.0,Shooting foul by N. Jokic (drawn by A. Tolliver),,100-95,,
8:17.0,A. Tolliver makes free throw 1 of 2,1,101-95,,
8:17.0,A. Tolliver makes free throw 2 of 2,1,102-95,,
7:58.0,,,102-95,,Shooting foul by K. Koufos (drawn by N. Jokic)
7:58.0,,,102-96,1,N. Jokic makes free throw 1 of 2
7:58.0,,,102-97,1,N. Jokic makes free throw 2 of 2
7:34.0,G. Temple misses 3-pt shot from 24 ft,,102-97,,
7:33.0,,,102-97,,Defensive rebound by W. Barton
7:18.0,,,102-97,,Turnover by J. Nelson (offensive foul)
7:18.0,,,102-97,,Loose ball foul by J. Nelson (drawn by G. Temple)
7:07.0,,,102-97,,Personal foul by W. Barton (drawn by A. Afflalo)
7:07.0,Sacramento full timeout,,102-97,,
6:56.0,G. Temple misses 3-pt shot from 25 ft,,102-97,,
6:56.0,,,102-97,,Defensive rebound by N. Jokic
6:46.0,,,102-97,,J. Nelson misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by A. Afflalo,,102-97,,
6:24.0,A. Tolliver makes 2-pt shot from 22 ft (assist by A. Afflalo),2,104-97,,
6:03.0,,,104-99,2,N. Jokic makes 2-pt shot from 19 ft
5:39.0,G. Temple makes 2-pt shot from 15 ft,2,106-99,,
5:20.0,,,106-101,2,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic)
5:02.0,Turnover by A. Afflalo (bad pass; steal by J. Murray),,106-101,,
4:53.0,,,106-101,,J. Murray misses 2-pt shot from 2 ft
4:52.0,Defensive rebound by O. Casspi,,106-101,,
4:49.0,K. Koufos makes 2-pt shot from 3 ft (assist by G. Temple),2,108-101,,
4:44.0,,,108-101,,E. Mudiay enters the game for J. Nelson
4:44.0,,,108-101,,D. Gallinari enters the game for W. Barton
4:44.0,,,108-101,,G. Harris enters the game for J. Murray
4:44.0,D. Cousins enters the game for K. Koufos,,108-101,,
4:44.0,D. Collison enters the game for O. Casspi,,108-101,,
4:34.0,,,108-101,,W. Chandler misses 3-pt shot from 27 ft
4:33.0,,,108-101,,Offensive rebound by E. Mudiay
4:29.0,,,108-101,,E. Mudiay misses 2-pt shot from 9 ft
4:29.0,Defensive rebound by Team,,108-101,,
4:06.0,D. Cousins misses 2-pt shot from 13 ft,,108-101,,
4:05.0,,,108-101,,Defensive rebound by D. Gallinari
3:50.0,,,108-103,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari)
3:31.0,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Cousins),3,111-103,,
3:22.0,,,111-105,2,N. Jokic makes 2-pt shot from 5 ft (assist by E. Mudiay)
3:06.0,G. Temple makes 2-pt shot from 2 ft (assist by D. Cousins),2,113-105,,
3:06.0,,,113-105,,Denver full timeout
3:06.0,M. Barnes enters the game for A. Tolliver,,113-105,,
2:51.0,,,113-105,,D. Gallinari misses 2-pt shot from 15 ft
2:49.0,Defensive rebound by D. Cousins,,113-105,,
2:29.0,D. Collison makes 3-pt shot from 25 ft (assist by M. Barnes),3,116-105,,
2:22.0,Violation by D. Cousins (kicked ball),,116-105,,
2:22.0,Official timeout,,116-105,,
2:11.0,,,116-108,3,G. Harris makes 3-pt shot from 28 ft (assist by E. Mudiay)
1:47.0,D. Cousins misses 3-pt shot from 24 ft,,116-108,,
1:46.0,Offensive rebound by G. Temple,,116-108,,
1:45.0,G. Temple makes 2-pt shot from 1 ft,2,118-108,,
1:22.0,,,118-108,,E. Mudiay misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by M. Barnes,,118-108,,
1:11.0,D. Collison makes 2-pt shot from 2 ft,2,120-108,,
1:11.0,,,120-108,,Denver full timeout
1:11.0,,,120-108,,M. Beasley enters the game for D. Gallinari
1:11.0,,,120-108,,W. Barton enters the game for W. Chandler
1:11.0,,,120-108,,J. Hernangomez enters the game for N. Jokic
1:11.0,,,120-108,,J. Murray enters the game for G. Harris
1:11.0,,,120-108,,D. Arthur enters the game for E. Mudiay
1:00.0,,,120-108,,J. Murray misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by G. Temple,,120-108,,
0:41.0,D. Cousins misses 3-pt shot from 26 ft,,120-108,,
0:41.0,,,120-108,,Defensive rebound by J. Hernangomez
0:32.0,,,120-111,3,D. Arthur makes 3-pt shot from 25 ft (assist by J. Hernangomez)
0:07.0,A. Afflalo misses 3-pt shot from 24 ft,,120-111,,
0:06.0,,,120-111,,Defensive rebound by M. Beasley
0:01.0,,,120-113,2,M. Beasley makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
