time,New Orleans,pts.away,score,pts.home,Charlotte
7:53.0,S. Hill enters the game for E. Moore,,41-38,,
7:53.0,,,41-38,,N. Batum enters the game for M. Belinelli
7:44.0,J. Crawford misses 2-pt shot from 19 ft,,41-39,,
7:43.0,,,41-39,,Defensive rebound by M. Williams
7:31.0,,,41-41,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
7:26.0,New Orleans full timeout,,41-41,,
7:26.0,A. Davis enters the game for D. Cunningham,,41-41,,
7:11.0,T. Frazier misses 3-pt shot from 24 ft,,41-41,,
7:10.0,,,41-41,,Defensive rebound by J. Lamb
7:02.0,,,41-41,,J. Lamb misses 3-pt shot from 25 ft
7:01.0,,,41-41,,Offensive rebound by C. Wood
7:01.0,,,41-41,,C. Wood misses 2-pt shot at rim
6:59.0,Defensive rebound by T. Frazier,,41-41,,
6:48.0,Turnover by T. Frazier (lost ball),,41-41,,
6:48.0,J. Holiday enters the game for T. Frazier,,41-41,,
6:48.0,Jump ball: D. Cousins vs. M. Williams (K. Walker gains possession),,,,Jump ball: D. Cousins vs. M. Williams (K. Walker gains possession)
6:29.0,,,41-43,2,J. Lamb makes 2-pt shot at rim (assist by N. Batum)
6:21.0,,,41-43,,Personal foul by N. Batum (drawn by S. Hill)
6:19.0,,,41-43,,C. Zeller enters the game for C. Wood
6:09.0,D. Cousins misses 2-pt shot from 18 ft,,41-43,,
6:07.0,,,41-43,,Defensive rebound by J. Lamb
5:45.0,,,41-45,2,M. Williams makes 2-pt shot from 2 ft (assist by C. Zeller)
5:28.0,J. Holiday misses 3-pt shot from 25 ft,,41-45,,
5:27.0,,,41-45,,Defensive rebound by J. Lamb
5:18.0,,,41-45,,J. Lamb misses 2-pt shot from 18 ft
5:17.0,Defensive rebound by S. Hill,,41-45,,
5:10.0,S. Hill makes 2-pt shot from 1 ft,2,43-45,,
5:03.0,,,43-45,,K. Walker misses 2-pt shot from 1 ft (block by A. Davis)
5:01.0,,,43-45,,Offensive rebound by C. Zeller
4:57.0,,,43-45,,M. Williams misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by A. Davis,,43-45,,
4:43.0,S. Hill makes 3-pt shot from 23 ft (assist by J. Holiday),3,46-45,,
4:22.0,,,46-47,2,M. Williams makes 2-pt shot from 1 ft (assist by J. Lamb)
4:22.0,,,46-47,,Shooting foul by D. Cousins (drawn by M. Williams)
4:22.0,,,46-48,1,M. Williams makes free throw 1 of 1
4:22.0,D. Cunningham enters the game for D. Cousins,,46-47,,
4:22.0,E. Moore enters the game for J. Crawford,,46-47,,
4:07.0,S. Hill makes 2-pt shot from 1 ft (assist by D. Cunningham),2,48-48,,
3:49.0,,,48-50,2,M. Williams makes 2-pt shot from 1 ft
3:37.0,J. Holiday makes 2-pt shot from 1 ft,2,50-50,,
3:25.0,,,50-50,,K. Walker misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by A. Davis,,50-50,,
3:11.0,D. Cunningham makes 3-pt shot from 24 ft (assist by A. Davis),3,53-50,,
3:04.0,,,53-50,,Charlotte full timeout
3:04.0,,,53-50,,M. Kidd-Gilchrist enters the game for J. Lamb
2:54.0,,,53-52,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
2:44.0,E. Moore makes 2-pt shot from 11 ft (assist by J. Holiday),2,55-52,,
2:29.0,,,55-54,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by K. Walker)
2:15.0,E. Moore misses 2-pt shot from 23 ft,,55-54,,
2:14.0,,,55-54,,Defensive rebound by N. Batum
2:06.0,,,55-54,,Shooting foul by E. Moore (drawn by M. Kidd-Gilchrist)
2:06.0,Official timeout,,55-54,,
2:06.0,,,55-55,1,M. Kidd-Gilchrist makes free throw 1 of 2
2:06.0,,,55-56,1,M. Kidd-Gilchrist makes free throw 2 of 2
1:46.0,E. Moore misses 3-pt shot from 25 ft,,55-56,,
1:44.0,Offensive rebound by D. Cunningham,,55-56,,
1:39.0,D. Cunningham misses 3-pt shot from 23 ft,,55-56,,
1:38.0,,,55-56,,Defensive rebound by M. Kidd-Gilchrist
1:16.0,,,55-58,2,M. Williams makes 2-pt shot from 14 ft (assist by M. Kidd-Gilchrist)
1:00.0,D. Cunningham makes 2-pt shot at rim (assist by E. Moore),2,57-58,,
0:47.0,,,57-58,,N. Batum misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by A. Davis,,57-58,,
0:38.0,J. Holiday makes 2-pt shot at rim,2,59-58,,
0:17.0,,,59-58,,C. Zeller misses 2-pt shot from 1 ft (block by J. Holiday)
0:17.0,,,59-58,,Offensive rebound by Team
0:16.0,,,59-58,,Turnover by N. Batum (step out of bounds)
0:16.0,J. Crawford enters the game for D. Cunningham,,59-58,,
0:00.0,E. Moore misses 3-pt shot from 24 ft,,59-58,,
0:00.0,Offensive rebound by Team,,59-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,59-60,2,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by N. Batum)
11:24.0,A. Davis misses 2-pt shot from 16 ft,,59-60,,
11:23.0,,,59-60,,Defensive rebound by C. Zeller
11:11.0,,,59-62,2,N. Batum makes 2-pt shot from 16 ft (assist by M. Kidd-Gilchrist)
10:54.0,J. Holiday misses 3-pt shot from 25 ft,,59-62,,
10:53.0,,,59-62,,Defensive rebound by M. Williams
10:47.0,,,59-62,,N. Batum misses 2-pt shot from 23 ft
10:46.0,Defensive rebound by A. Davis,,59-62,,
10:39.0,A. Davis misses 2-pt shot from 16 ft,,59-62,,
10:38.0,,,59-62,,Defensive rebound by K. Walker
10:20.0,,,59-65,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
10:06.0,J. Holiday misses 2-pt shot from 1 ft,,59-65,,
10:05.0,,,59-65,,Defensive rebound by M. Kidd-Gilchrist
9:57.0,,,59-65,,K. Walker misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by J. Holiday,,59-65,,
9:39.0,D. Cousins misses 2-pt shot from 5 ft,,59-65,,
9:37.0,,,59-65,,Defensive rebound by C. Zeller
9:31.0,,,59-67,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
9:30.0,New Orleans full timeout,,59-67,,
9:16.0,A. Davis makes 2-pt shot from 5 ft (assist by H. Thompson),2,61-67,,
9:16.0,Shooting foul by M. Williams (drawn by A. Davis),,61-67,,
9:16.0,A. Davis makes free throw 1 of 1,1,62-67,,
9:02.0,,,62-67,,M. Williams misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by H. Thompson,,62-67,,
8:44.0,J. Holiday makes 2-pt shot from 16 ft (assist by D. Cousins),2,64-67,,
8:17.0,,,64-67,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
8:16.0,Defensive rebound by D. Cousins,,64-67,,
8:05.0,A. Davis misses 2-pt shot from 5 ft,,64-67,,
8:04.0,,,64-67,,Defensive rebound by M. Kidd-Gilchrist
7:55.0,,,64-67,,M. Williams misses 2-pt shot from 1 ft
7:53.0,Defensive rebound by J. Holiday,,64-67,,
7:46.0,S. Hill misses 2-pt shot from 4 ft (block by C. Zeller),,64-67,,
7:44.0,Offensive rebound by S. Hill,,64-67,,
7:36.0,D. Cousins makes 2-pt shot at rim (assist by J. Holiday),2,66-67,,
7:18.0,,,66-69,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
7:06.0,J. Holiday makes 2-pt shot from 11 ft,2,68-69,,
6:48.0,,,68-69,,Turnover by N. Batum (traveling)
6:48.0,,,68-69,,M. Belinelli enters the game for M. Kidd-Gilchrist
6:34.0,A. Davis misses 2-pt shot from 19 ft,,68-69,,
6:33.0,,,68-69,,Defensive rebound by M. Belinelli
6:21.0,,,68-69,,K. Walker misses 2-pt shot from 18 ft
6:20.0,,,68-69,,Offensive rebound by C. Zeller
6:14.0,,,68-69,,K. Walker misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by H. Thompson,,68-69,,
6:02.0,D. Cousins misses 2-pt shot from 2 ft,,68-69,,
6:02.0,Offensive rebound by Team,,68-69,,
6:02.0,,,68-69,,Personal foul by N. Batum (drawn by A. Davis)
5:56.0,Turnover by D. Cousins (bad pass; steal by C. Zeller),,68-69,,
5:51.0,,,68-71,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
5:44.0,J. Holiday misses 2-pt shot at rim (block by M. Williams),,68-71,,
5:42.0,,,68-71,,Defensive rebound by K. Walker
5:39.0,,,68-73,2,K. Walker makes 2-pt shot from 2 ft
5:39.0,New Orleans full timeout,,68-73,,
5:39.0,,,68-73,,C. Wood enters the game for C. Zeller
5:22.0,S. Hill misses 3-pt shot from 26 ft,,68-73,,
5:21.0,Offensive rebound by H. Thompson,,68-73,,
5:21.0,H. Thompson makes 2-pt shot at rim,2,70-73,,
4:59.0,,,70-73,,N. Batum misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by A. Davis,,70-73,,
4:48.0,H. Thompson misses 3-pt shot from 23 ft,,70-73,,
4:47.0,,,70-73,,Defensive rebound by N. Batum
4:41.0,,,70-73,,K. Walker misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by J. Holiday,,70-73,,
4:29.0,H. Thompson misses 3-pt shot from 23 ft,,70-73,,
4:27.0,,,70-73,,Defensive rebound by N. Batum
4:20.0,Personal foul by S. Hill (drawn by K. Walker),,70-73,,
4:20.0,E. Moore enters the game for D. Cousins,,70-73,,
4:20.0,D. Cunningham enters the game for H. Thompson,,70-73,,
4:20.0,,,70-73,,M. Kidd-Gilchrist enters the game for M. Williams
4:20.0,,,70-73,,B. Roberts enters the game for K. Walker
4:09.0,,,70-73,,M. Belinelli misses 2-pt shot from 6 ft
4:08.0,,,70-73,,Offensive rebound by M. Kidd-Gilchrist
4:04.0,,,70-73,,B. Roberts misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by S. Hill,,70-73,,
3:57.0,,,70-73,,Personal foul by B. Roberts (drawn by A. Davis)
3:43.0,D. Cunningham makes 2-pt shot from 10 ft,2,72-73,,
3:26.0,,,72-76,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
3:17.0,S. Hill makes 2-pt shot from 1 ft,2,74-76,,
3:01.0,,,74-76,,Turnover by C. Wood (lost ball; steal by J. Holiday)
2:55.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,76-76,,
2:37.0,,,76-76,,N. Batum misses 3-pt shot from 25 ft
2:35.0,,,76-76,,Offensive rebound by C. Wood
2:33.0,,,76-76,,Turnover by C. Wood (lost ball; steal by J. Holiday)
2:29.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Davis),,76-76,,
2:29.0,,,76-76,,Charlotte full timeout
2:29.0,A. Davis makes free throw 1 of 2,1,77-76,,
2:29.0,A. Davis makes free throw 2 of 2,1,78-76,,
2:29.0,,,76-76,,J. Lamb enters the game for N. Batum
2:29.0,,,76-76,,C. Zeller enters the game for C. Wood
2:16.0,,,78-78,2,M. Belinelli makes 2-pt shot from 17 ft (assist by J. Lamb)
2:02.0,S. Hill misses 3-pt shot from 26 ft,,78-78,,
2:00.0,Offensive rebound by A. Davis,,78-78,,
1:56.0,A. Davis makes 2-pt shot from 9 ft,2,80-78,,
1:32.0,,,80-78,,J. Lamb misses 3-pt shot from 24 ft
1:31.0,,,80-78,,Offensive rebound by C. Zeller
1:21.0,,,80-78,,C. Zeller misses 2-pt shot from 19 ft
1:20.0,Defensive rebound by A. Davis,,80-78,,
1:12.0,D. Cunningham makes 2-pt shot from 2 ft (assist by J. Holiday),2,82-78,,
1:12.0,Shooting foul by B. Roberts (drawn by D. Cunningham),,82-78,,
1:12.0,D. Cunningham makes free throw 1 of 1,1,83-78,,
1:12.0,J. Crawford enters the game for S. Hill,,82-78,,
0:52.0,,,83-78,,M. Belinelli misses 2-pt shot from 22 ft
0:51.0,Defensive rebound by A. Davis,,83-78,,
0:34.0,E. Moore misses 2-pt shot from 7 ft,,83-78,,
0:34.0,,,83-78,,Defensive rebound by Team
0:34.0,Personal foul by A. Davis (drawn by J. Lamb),,83-78,,
0:34.0,D. Cousins enters the game for A. Davis,,83-78,,
0:17.0,,,83-78,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
0:16.0,Defensive rebound by D. Cunningham,,83-78,,
0:07.0,Shooting foul by C. Zeller (drawn by D. Cousins),,83-78,,
0:07.0,D. Cousins misses free throw 1 of 2,,83-78,,
0:07.0,Offensive rebound by Team,,83-78,,
0:07.0,D. Cousins misses free throw 2 of 2,,83-78,,
0:07.0,T. Frazier enters the game for J. Holiday,,83-78,,
0:05.0,,,83-78,,Defensive rebound by M. Kidd-Gilchrist
0:01.0,,,83-78,,J. Lamb misses 3-pt shot from 31 ft
0:00.0,,,83-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Turnover by D. Cousins (bad pass; steal by J. Lamb),,83-78,,
11:28.0,,,83-78,,Shooting foul by D. Cousins (drawn by C. Zeller)
11:28.0,,,83-78,,C. Zeller misses free throw 1 of 2
11:28.0,,,83-78,,Offensive rebound by Team
11:28.0,,,83-78,,C. Zeller misses free throw 2 of 2
11:26.0,Defensive rebound by D. Cousins,,83-78,,
11:09.0,J. Crawford misses 2-pt shot from 19 ft,,83-78,,
11:08.0,,,83-78,,Defensive rebound by M. Kidd-Gilchrist
10:47.0,,,83-81,3,J. Lamb makes 3-pt shot from 23 ft (assist by B. Roberts)
10:35.0,Shooting foul by C. Zeller (drawn by D. Cousins),,83-81,,
10:35.0,D. Cousins misses free throw 1 of 2,,83-81,,
10:35.0,Offensive rebound by Team,,83-81,,
10:35.0,D. Cousins makes free throw 2 of 2,1,84-81,,
10:18.0,,,84-81,,M. Belinelli misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by T. Frazier,,84-81,,
10:08.0,D. Cousins makes 2-pt shot at rim (assist by J. Crawford),2,86-81,,
9:53.0,,,86-81,,B. Roberts misses 2-pt shot from 18 ft
9:52.0,Defensive rebound by D. Cousins,,86-81,,
9:42.0,Turnover by D. Cousins (traveling),,86-81,,
9:25.0,,,86-81,,Offensive foul by C. Zeller
9:25.0,,,86-81,,Turnover by C. Zeller (offensive foul)
9:25.0,Offensive foul by D. Cousins,,86-81,,
9:25.0,Turnover by D. Cousins (offensive foul),,86-81,,
9:25.0,,,86-81,,K. Walker enters the game for C. Zeller
9:25.0,,,86-81,,M. Williams enters the game for M. Kidd-Gilchrist
9:25.0,,,86-81,,C. Wood enters the game for B. Roberts
9:25.0,A. Davis enters the game for D. Cousins,,86-81,,
9:00.0,,,86-83,2,K. Walker makes 2-pt shot from 7 ft
8:47.0,J. Crawford makes 2-pt shot from 6 ft,2,88-83,,
8:30.0,,,88-83,,Shooting foul by J. Crawford (drawn by J. Lamb)
8:30.0,Official timeout,,88-83,,
8:30.0,,,88-84,1,J. Lamb makes free throw 1 of 2
8:30.0,,,88-85,1,J. Lamb makes free throw 2 of 2
8:16.0,E. Moore misses 3-pt shot from 24 ft,,88-85,,
8:14.0,,,88-85,,Defensive rebound by C. Wood
7:57.0,,,88-87,2,J. Lamb makes 2-pt shot from 5 ft
7:57.0,,,88-87,,Shooting foul by J. Crawford (drawn by J. Lamb)
7:57.0,,,88-88,1,J. Lamb makes free throw 1 of 1
7:57.0,,,88-87,,N. Batum enters the game for M. Belinelli
7:57.0,J. Holiday enters the game for D. Cunningham,,88-87,,
7:57.0,S. Hill enters the game for T. Frazier,,88-87,,
7:44.0,A. Davis misses 2-pt shot from 15 ft,,88-88,,
7:43.0,,,88-88,,Defensive rebound by K. Walker
7:35.0,,,88-88,,K. Walker misses 3-pt shot from 26 ft
7:34.0,,,88-88,,Offensive rebound by C. Wood
7:29.0,,,88-91,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
7:17.0,J. Crawford misses 3-pt shot from 26 ft,,88-91,,
7:16.0,,,88-91,,Defensive rebound by M. Williams
7:09.0,,,88-91,,Turnover by K. Walker (bad pass; steal by J. Holiday)
7:03.0,J. Crawford makes 3-pt shot from 25 ft (assist by J. Holiday),3,91-91,,
6:48.0,,,91-91,,Shooting foul by J. Holiday (drawn by C. Wood)
6:48.0,,,91-92,1,C. Wood makes free throw 1 of 2
6:48.0,,,91-93,1,C. Wood makes free throw 2 of 2
6:48.0,D. Cunningham enters the game for E. Moore,,91-92,,
6:34.0,A. Davis makes 2-pt shot from 15 ft,2,93-93,,
6:17.0,,,93-93,,N. Batum misses 3-pt shot from 25 ft
6:16.0,,,93-93,,Offensive rebound by Team
6:16.0,,,93-93,,C. Zeller enters the game for C. Wood
6:02.0,,,93-93,,M. Williams misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by A. Davis,,93-93,,
5:51.0,A. Davis misses 2-pt shot from 2 ft,,93-93,,
5:50.0,,,93-93,,Defensive rebound by K. Walker
5:30.0,,,93-93,,N. Batum misses 2-pt shot from 18 ft
5:29.0,Defensive rebound by J. Holiday,,93-93,,
5:23.0,A. Davis makes 2-pt shot at rim (assist by J. Crawford),2,95-93,,
5:05.0,,,95-96,3,K. Walker makes 3-pt shot from 25 ft
4:57.0,A. Davis makes 3-pt shot from 24 ft (assist by J. Holiday),3,98-96,,
4:41.0,,,98-98,2,K. Walker makes 2-pt shot from 1 ft
4:34.0,J. Holiday makes 3-pt shot from 25 ft,3,101-98,,
4:34.0,,,101-98,,Charlotte full timeout
4:34.0,,,101-98,,M. Kidd-Gilchrist enters the game for J. Lamb
4:14.0,,,101-100,2,N. Batum makes 2-pt shot from 12 ft (assist by M. Williams)
3:53.0,J. Crawford makes 3-pt shot from 28 ft (assist by A. Davis),3,104-100,,
3:35.0,,,104-100,,M. Williams misses 2-pt shot from 1 ft
3:34.0,,,104-100,,Offensive rebound by M. Williams
3:29.0,,,104-100,,K. Walker misses 3-pt shot from 25 ft
3:28.0,,,104-100,,Offensive rebound by M. Williams
3:24.0,,,104-100,,M. Williams misses 3-pt shot from 25 ft
3:24.0,,,104-100,,Offensive rebound by Team
3:15.0,,,104-100,,N. Batum misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by A. Davis,,104-100,,
2:56.0,J. Holiday misses 2-pt shot from 18 ft,,104-100,,
2:55.0,Offensive rebound by A. Davis,,104-100,,
2:40.0,A. Davis makes 3-pt shot from 25 ft (assist by J. Holiday),3,107-100,,
2:20.0,,,107-103,3,N. Batum makes 3-pt shot from 26 ft (assist by M. Williams)
2:12.0,New Orleans full timeout,,107-103,,
1:56.0,A. Davis makes 3-pt shot from 25 ft (assist by J. Holiday),3,110-103,,
1:37.0,,,110-105,2,N. Batum makes 2-pt shot from 17 ft
1:24.0,J. Holiday misses 3-pt shot from 25 ft,,110-105,,
