time,LA Lakers,pts.away,score,pts.home,Houston
5:20.0,,,11-21,,Shooting foul by L. Deng (drawn by N. Hilario)
5:20.0,,,11-22,1,N. Hilario makes free throw 1 of 2
5:20.0,,,11-22,,N. Hilario misses free throw 2 of 2
5:20.0,Defensive rebound by J. Randle,,11-22,,
5:08.0,Shooting foul by E. Gordon,,11-22,,
5:08.0,L. Williams makes free throw 1 of 3,1,12-22,,
5:08.0,L. Williams makes free throw 2 of 3,1,13-22,,
5:08.0,L. Williams makes free throw 3 of 3,1,14-22,,
4:56.0,,,14-22,,R. Anderson misses 3-pt shot from 27 ft
4:54.0,Defensive rebound by B. Ingram,,14-22,,
4:41.0,Offensive charge foul by L. Williams,,14-22,,
4:41.0,Turnover by L. Williams (offensive foul),,14-22,,
4:41.0,J. Clarkson enters the game for L. Deng,,14-22,,
4:41.0,L. Nance enters the game for T. Mozgov,,14-22,,
4:33.0,,,14-24,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden)
4:15.0,J. Clarkson misses 2-pt shot from 9 ft,,14-24,,
4:12.0,Offensive rebound by J. Randle,,14-24,,
4:12.0,J. Randle makes 2-pt shot from 1 ft,2,16-24,,
4:01.0,,,16-26,2,J. Harden makes 2-pt shot from 1 ft
3:55.0,L. Williams makes 2-pt shot from 3 ft,2,18-26,,
3:55.0,Shooting foul by N. Hilario,,18-26,,
3:55.0,L. Williams makes free throw 1 of 1,1,19-26,,
3:55.0,,,18-26,,S. Dekker enters the game for R. Anderson
3:44.0,,,19-28,2,N. Hilario makes 2-pt shot from 2 ft (assist by T. Ariza)
3:35.0,Turnover by L. Williams (bad pass; steal by J. Harden),,19-28,,
3:29.0,,,19-28,,J. Harden misses 2-pt shot from 2 ft
3:25.0,,,19-28,,Offensive rebound by T. Ariza
3:23.0,,,19-30,2,T. Ariza makes 2-pt shot at rim
3:07.0,J. Randle makes 2-pt shot from 5 ft,2,21-30,,
3:00.0,,,21-30,,T. Ariza misses 2-pt shot from 3 ft
2:59.0,,,21-30,,Offensive rebound by N. Hilario
2:53.0,,,21-30,,S. Dekker misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by J. Randle,,21-30,,
2:52.0,,,21-30,,Houston full timeout
2:52.0,,,21-30,,C. Brewer enters the game for T. Ariza
2:33.0,L. Williams makes 2-pt shot from 3 ft (assist by J. Randle),2,23-30,,
2:13.0,,,23-30,,C. Brewer misses 2-pt shot from 3 ft
2:11.0,,,23-30,,Offensive rebound by S. Dekker
2:10.0,,,23-32,2,S. Dekker makes 2-pt shot from 1 ft
2:00.0,Shooting foul by N. Hilario (drawn by J. Randle),,23-32,,
2:00.0,J. Randle makes free throw 1 of 2,1,24-32,,
2:00.0,J. Randle makes free throw 2 of 2,1,25-32,,
2:00.0,,,24-32,,P. Beverley enters the game for J. Harden
1:51.0,,,25-35,3,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley)
1:29.0,B. Ingram misses 2-pt shot from 9 ft,,25-35,,
1:28.0,,,25-35,,Defensive rebound by N. Hilario
1:19.0,,,25-37,2,N. Hilario makes 2-pt shot at rim (assist by E. Gordon)
1:18.0,LA Lakers full timeout,,25-37,,
1:18.0,T. Robinson enters the game for J. Randle,,25-37,,
0:59.0,J. Clarkson misses 2-pt shot from 15 ft,,25-37,,
0:57.0,,,25-37,,Defensive rebound by N. Hilario
0:50.0,,,25-40,3,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley)
0:34.0,T. Robinson misses 2-pt shot from 6 ft,,25-40,,
0:32.0,,,25-40,,Defensive rebound by E. Gordon
0:25.0,,,25-43,3,E. Gordon makes 3-pt shot from 28 ft (assist by P. Beverley)
0:06.0,Shooting foul by S. Dekker,,25-43,,
0:06.0,L. Williams makes free throw 1 of 2,1,26-43,,
0:06.0,L. Williams makes free throw 2 of 2,1,27-43,,
0:02.0,,,27-43,,Turnover by E. Gordon (lost ball)
0:00.0,J. Clarkson misses 3-pt shot from 50 ft,,27-43,,
0:00.0,Offensive rebound by Team,,27-43,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,27-45,2,E. Gordon makes 2-pt shot from 3 ft
11:22.0,L. Williams misses 2-pt shot from 5 ft,,27-45,,
11:21.0,Offensive rebound by L. Nance,,27-45,,
11:18.0,L. Nance makes 2-pt shot from 2 ft,2,29-45,,
11:10.0,,,29-45,,C. Brewer misses 2-pt shot at rim (block by B. Ingram)
11:07.0,Defensive rebound by T. Robinson,,29-45,,
10:57.0,B. Ingram misses 2-pt shot from 9 ft,,29-45,,
10:55.0,Offensive rebound by B. Ingram,,29-45,,
10:53.0,B. Ingram misses 2-pt shot from 6 ft (block by C. Capela),,29-45,,
10:51.0,,,29-45,,Defensive rebound by C. Capela
10:46.0,,,29-45,,C. Capela misses 2-pt shot from 8 ft
10:43.0,,,29-45,,Offensive rebound by S. Dekker
10:37.0,,,29-47,2,C. Capela makes 2-pt shot from 3 ft (assist by S. Dekker)
10:26.0,L. Nance misses 2-pt shot from 20 ft,,29-47,,
10:24.0,,,29-47,,Defensive rebound by P. Beverley
10:15.0,,,29-47,,C. Capela misses 2-pt shot from 6 ft (block by L. Nance)
10:13.0,,,29-47,,Offensive rebound by P. Beverley
10:04.0,,,29-47,,C. Capela misses 2-pt shot from 4 ft
10:03.0,,,29-47,,Offensive rebound by C. Capela
10:02.0,,,29-47,,C. Capela misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by Team,,29-47,,
9:43.0,B. Ingram makes 3-pt shot from 25 ft (assist by J. Clarkson),3,32-47,,
9:33.0,,,32-47,,E. Gordon misses 3-pt shot from 28 ft
9:31.0,,,32-47,,Offensive rebound by S. Dekker
9:24.0,,,32-47,,Turnover by S. Dekker (traveling)
9:24.0,L. Deng enters the game for T. Robinson,,32-47,,
9:18.0,,,32-47,,Personal foul by C. Brewer (drawn by B. Ingram)
9:05.0,J. Clarkson makes 2-pt shot from 20 ft,2,34-47,,
8:43.0,,,34-47,,S. Dekker misses 3-pt shot from 26 ft
8:43.0,Defensive rebound by Team,,34-47,,
8:43.0,Official timeout,,34-47,,
8:43.0,,,34-47,,R. Anderson enters the game for E. Gordon
8:43.0,,,34-47,,J. Harden enters the game for S. Dekker
8:43.0,M. Huertas enters the game for L. Williams,,34-47,,
8:27.0,B. Ingram makes 2-pt shot from 3 ft,2,36-47,,
8:08.0,Personal foul by M. Huertas (drawn by C. Capela),,36-47,,
8:08.0,,,36-47,,M. Harrell enters the game for C. Capela
8:04.0,Personal foul by B. Ingram (drawn by J. Harden),,36-47,,
7:55.0,,,36-47,,Shooting foul by L. Deng (drawn by R. Anderson)
7:55.0,,,36-48,1,R. Anderson makes free throw 1 of 2
7:55.0,,,36-49,1,R. Anderson makes free throw 2 of 2
7:44.0,Turnover by J. Clarkson (lost ball; steal by P. Beverley),,36-49,,
7:39.0,,,36-51,2,P. Beverley makes 2-pt shot from 1 ft
7:18.0,B. Ingram makes 3-pt shot from 24 ft (assist by L. Nance),3,39-51,,
7:12.0,Loose ball foul by L. Nance (drawn by J. Harden),,39-51,,
7:12.0,,,39-51,,T. Ariza enters the game for C. Brewer
7:03.0,,,39-51,,J. Harden misses 2-pt shot from 15 ft
7:02.0,Defensive rebound by B. Ingram,,39-51,,
6:57.0,B. Ingram misses 2-pt shot from 23 ft,,39-51,,
6:54.0,,,39-51,,Defensive rebound by J. Harden
6:52.0,,,39-51,,Turnover by J. Harden (lost ball; steal by L. Nance)
6:42.0,,,39-51,,Personal foul by P. Beverley (drawn by L. Nance)
6:33.0,L. Deng misses 2-pt shot from 20 ft,,39-51,,
6:32.0,,,39-51,,Defensive rebound by J. Harden
6:21.0,,,39-51,,R. Anderson misses 2-pt shot from 13 ft
6:20.0,Defensive rebound by L. Nance,,39-51,,
6:17.0,Turnover by L. Nance (bad pass; steal by M. Harrell),,39-51,,
6:14.0,,,39-51,,M. Harrell misses 2-pt shot from 6 ft
6:12.0,Defensive rebound by L. Nance,,39-51,,
6:06.0,B. Ingram misses 3-pt shot from 26 ft,,39-51,,
6:05.0,,,39-51,,Defensive rebound by T. Ariza
5:58.0,,,39-51,,Houston full timeout
5:58.0,L. Williams enters the game for B. Ingram,,39-51,,
5:58.0,J. Randle enters the game for L. Nance,,39-51,,
5:58.0,Jump ball: T. Ariza vs. L. Deng (M. Harrell gains possession),,,,Jump ball: T. Ariza vs. L. Deng (M. Harrell gains possession)
5:51.0,,,39-51,,Turnover by M. Harrell (back court)
5:39.0,L. Deng misses 2-pt shot from 18 ft,,39-51,,
5:37.0,,,39-51,,Defensive rebound by J. Harden
5:29.0,,,39-51,,J. Harden misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by J. Randle,,39-51,,
5:15.0,J. Randle makes 2-pt shot from 2 ft (assist by M. Huertas),2,41-51,,
4:55.0,,,41-51,,P. Beverley misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by L. Deng,,41-51,,
4:48.0,J. Clarkson makes 3-pt shot from 25 ft (assist by M. Huertas),3,44-51,,
4:48.0,,,44-51,,Houston full timeout
4:48.0,,,44-51,,E. Gordon enters the game for P. Beverley
4:36.0,,,44-51,,E. Gordon misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by J. Randle,,44-51,,
4:26.0,J. Randle misses 2-pt shot from 7 ft,,44-51,,
4:25.0,,,44-51,,Defensive rebound by J. Harden
4:15.0,,,44-51,,E. Gordon misses 3-pt shot from 27 ft
4:14.0,Defensive rebound by J. Clarkson,,44-51,,
4:00.0,,,44-51,,N. Hilario enters the game for M. Harrell
3:50.0,M. Huertas misses 3-pt shot from 25 ft,,44-51,,
3:50.0,Offensive rebound by Team,,44-51,,
3:50.0,Turnover by Team (shot clock),,44-51,,
3:38.0,,,44-54,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Ariza)
3:26.0,L. Williams makes 2-pt shot from 2 ft (assist by M. Huertas),2,46-54,,
3:21.0,,,46-54,,Offensive foul by R. Anderson
3:21.0,,,46-54,,Turnover by R. Anderson (offensive foul)
3:08.0,Turnover by L. Williams (bad pass; steal by R. Anderson),,46-54,,
3:02.0,,,46-56,2,J. Harden makes 2-pt shot from 2 ft
2:43.0,J. Randle makes 2-pt shot from 3 ft,2,48-56,,
2:28.0,,,48-58,2,J. Harden makes 2-pt shot from 3 ft
2:24.0,LA Lakers full timeout,,48-58,,
2:24.0,B. Ingram enters the game for M. Huertas,,48-58,,
2:07.0,J. Randle misses 2-pt shot from 6 ft,,48-58,,
2:06.0,,,48-58,,Defensive rebound by N. Hilario
1:57.0,,,48-58,,E. Gordon misses 3-pt shot from 25 ft
1:55.0,,,48-58,,Offensive rebound by R. Anderson
1:53.0,,,48-60,2,R. Anderson makes 2-pt shot from 2 ft
1:38.0,Turnover by B. Ingram (lost ball; steal by J. Harden),,48-60,,
1:38.0,Personal foul by B. Ingram (drawn by N. Hilario),,48-60,,
1:38.0,,,48-60,,N. Hilario misses free throw 1 of 2
1:38.0,,,48-60,,Offensive rebound by Team
1:38.0,,,48-61,1,N. Hilario makes free throw 2 of 2
1:21.0,J. Randle makes 2-pt shot from 8 ft (assist by J. Clarkson),2,50-61,,
1:04.0,,,50-61,,Turnover by J. Harden (bad pass; steal by L. Williams)
0:59.0,J. Randle misses 2-pt shot from 7 ft,,50-61,,
0:58.0,Offensive rebound by B. Ingram,,50-61,,
0:54.0,L. Williams misses 3-pt shot from 23 ft,,50-61,,
0:52.0,,,50-61,,Defensive rebound by E. Gordon
0:44.0,,,50-61,,Shooting foul by J. Randle (drawn by R. Anderson)
0:44.0,,,50-62,1,R. Anderson makes free throw 1 of 2
0:44.0,,,50-63,1,R. Anderson makes free throw 2 of 2
0:34.0,J. Clarkson misses 3-pt shot from 25 ft,,50-63,,
0:32.0,,,50-63,,Defensive rebound by N. Hilario
0:30.0,,,50-65,2,R. Anderson makes 2-pt shot at rim (assist by J. Harden)
0:08.0,J. Randle misses 2-pt shot from 7 ft,,50-65,,
0:06.0,Offensive rebound by L. Williams,,50-65,,
0:05.0,L. Williams makes 2-pt shot from 2 ft,2,52-65,,
0:01.0,,,52-65,,Shooting foul by L. Deng (drawn by J. Harden)
0:01.0,,,52-66,1,J. Harden makes free throw 1 of 2
0:01.0,,,52-67,1,J. Harden makes free throw 2 of 2
0:01.0,,,52-66,,P. Beverley enters the game for R. Anderson
0:00.0,L. Williams makes 3-pt shot from 66 ft (assist by L. Deng),3,55-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,55-70,3,J. Harden makes 3-pt shot from 26 ft (assist by C. Capela)
11:31.0,J. Randle misses 2-pt shot from 8 ft,,55-70,,
11:29.0,Offensive rebound by J. Randle,,55-70,,
11:24.0,J. Randle makes 2-pt shot from 1 ft,2,57-70,,
11:10.0,,,57-70,,Turnover by C. Capela (lost ball; steal by L. Deng)
10:53.0,T. Mozgov misses 2-pt shot from 1 ft,,57-70,,
10:52.0,,,57-70,,Defensive rebound by C. Capela
10:47.0,,,57-72,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
10:35.0,Turnover by T. Mozgov (lost ball; steal by C. Capela),,57-72,,
10:34.0,Personal foul by T. Mozgov (drawn by J. Harden),,57-72,,
10:26.0,,,57-72,,R. Anderson misses 2-pt shot from 19 ft
10:24.0,Defensive rebound by L. Deng,,57-72,,
10:20.0,J. Randle misses 2-pt shot from 2 ft,,57-72,,
10:19.0,,,57-72,,Defensive rebound by R. Anderson
10:13.0,,,57-72,,J. Harden misses 3-pt shot from 26 ft
10:11.0,Defensive rebound by T. Mozgov,,57-72,,
9:51.0,T. Mozgov misses 2-pt shot from 18 ft,,57-72,,
9:49.0,,,57-72,,Defensive rebound by P. Beverley
9:41.0,,,57-72,,Turnover by J. Harden (bad pass; steal by M. Huertas)
9:31.0,Offensive foul by T. Mozgov,,57-72,,
9:31.0,Turnover by T. Mozgov (offensive foul),,57-72,,
9:22.0,,,57-72,,Shooting foul by T. Mozgov (drawn by T. Ariza)
9:22.0,,,57-73,1,T. Ariza makes free throw 1 of 2
9:22.0,,,57-74,1,T. Ariza makes free throw 2 of 2
9:08.0,,,57-74,,Personal foul by T. Ariza (drawn by T. Mozgov)
9:02.0,T. Mozgov makes 2-pt shot from 3 ft,2,59-74,,
9:02.0,Shooting foul by C. Capela (drawn by T. Mozgov),,59-74,,
9:02.0,T. Mozgov makes free throw 1 of 1,1,60-74,,
8:54.0,,,60-74,,Turnover by C. Capela (bad pass; steal by L. Deng)
8:41.0,T. Mozgov misses 2-pt shot from 19 ft,,60-74,,
8:39.0,,,60-74,,Defensive rebound by C. Capela
8:32.0,,,60-74,,R. Anderson misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by Team,,60-74,,
8:20.0,L. Deng makes 2-pt shot from 2 ft (assist by M. Huertas),2,62-74,,
8:05.0,,,62-74,,R. Anderson misses 2-pt shot from 3 ft
8:03.0,Defensive rebound by J. Clarkson,,62-74,,
7:58.0,J. Clarkson misses 3-pt shot from 27 ft,,62-74,,
7:57.0,,,62-74,,Defensive rebound by C. Capela
7:41.0,,,62-76,2,J. Harden makes 2-pt shot from 20 ft
7:21.0,L. Deng misses 2-pt shot from 22 ft,,62-76,,
7:20.0,,,62-76,,Defensive rebound by C. Capela
7:13.0,,,62-79,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
7:13.0,LA Lakers full timeout,,62-79,,
7:13.0,L. Williams enters the game for L. Deng,,62-79,,
7:13.0,B. Ingram enters the game for J. Randle,,62-79,,
7:13.0,L. Nance enters the game for M. Huertas,,62-79,,
6:54.0,T. Mozgov misses 2-pt shot from 19 ft,,62-79,,
6:52.0,,,62-79,,Defensive rebound by C. Capela
6:45.0,,,62-79,,Turnover by P. Beverley (bad pass; steal by L. Williams)
6:40.0,J. Clarkson misses 2-pt shot from 2 ft,,62-79,,
6:37.0,Offensive rebound by T. Mozgov,,62-79,,
6:36.0,T. Mozgov makes 2-pt shot at rim,2,64-79,,
6:27.0,,,64-81,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:09.0,J. Clarkson misses 3-pt shot from 25 ft,,64-81,,
6:07.0,,,64-81,,Defensive rebound by P. Beverley
5:59.0,,,64-84,3,J. Harden makes 3-pt shot from 27 ft (assist by P. Beverley)
5:50.0,,,64-84,,Personal foul by P. Beverley
5:43.0,B. Ingram makes 2-pt shot from 18 ft,2,66-84,,
5:33.0,Personal foul by T. Mozgov (drawn by T. Ariza),,66-84,,
5:27.0,,,66-87,3,P. Beverley makes 3-pt shot from 25 ft (assist by C. Capela)
5:14.0,Turnover by L. Williams (lost ball; steal by C. Capela),,66-87,,
5:10.0,,,66-89,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
4:51.0,J. Clarkson makes 2-pt shot from 8 ft,2,68-89,,
4:29.0,,,68-89,,J. Harden misses 3-pt shot from 26 ft
4:28.0,,,68-89,,Offensive rebound by R. Anderson
4:27.0,,,68-89,,Shooting foul by L. Nance (drawn by R. Anderson)
4:27.0,,,68-90,1,R. Anderson makes free throw 1 of 2
4:27.0,,,68-91,1,R. Anderson makes free throw 2 of 2
4:27.0,,,68-90,,E. Gordon enters the game for P. Beverley
4:27.0,T. Robinson enters the game for T. Mozgov,,68-90,,
4:15.0,L. Nance misses 2-pt shot from 9 ft,,68-91,,
4:14.0,,,68-91,,Defensive rebound by J. Harden
4:10.0,,,68-91,,S. Dekker enters the game for R. Anderson
4:10.0,,,68-91,,N. Hilario enters the game for C. Capela
4:06.0,,,68-91,,Turnover by J. Harden (bad pass)
3:56.0,L. Williams misses 2-pt shot from 9 ft,,68-91,,
3:55.0,,,68-91,,Defensive rebound by S. Dekker
3:47.0,,,68-93,2,S. Dekker makes 2-pt shot from 2 ft (assist by N. Hilario)
3:27.0,J. Clarkson misses 2-pt shot from 5 ft,,68-93,,
3:25.0,Offensive rebound by T. Robinson,,68-93,,
3:20.0,Turnover by B. Ingram (offensive foul),,68-93,,
3:20.0,Offensive foul by B. Ingram,,68-93,,
3:02.0,,,68-93,,J. Harden misses 2-pt shot from 19 ft
3:00.0,,,68-93,,Offensive rebound by N. Hilario
2:58.0,,,68-93,,N. Hilario misses 2-pt shot from 1 ft
2:57.0,,,68-93,,Offensive rebound by N. Hilario
2:54.0,,,68-96,3,E. Gordon makes 3-pt shot from 25 ft (assist by N. Hilario)
2:46.0,Shooting foul by S. Dekker,,68-96,,
2:46.0,,,68-96,,Houston full timeout
2:46.0,L. Williams makes free throw 1 of 2,1,69-96,,
2:46.0,L. Williams makes free throw 2 of 2,1,70-96,,
2:46.0,M. Huertas enters the game for J. Clarkson,,68-96,,
2:32.0,,,70-96,,Shooting foul by L. Nance (drawn by N. Hilario)
2:32.0,,,70-96,,N. Hilario misses free throw 1 of 2
2:32.0,,,70-96,,Offensive rebound by Team
2:32.0,,,70-97,1,N. Hilario makes free throw 2 of 2
2:13.0,Turnover by L. Williams (bad pass; steal by N. Hilario),,70-97,,
2:09.0,,,70-97,,Turnover by S. Dekker (bad pass; steal by M. Huertas)
2:03.0,L. Williams makes 3-pt shot from 25 ft (assist by M. Huertas),3,73-97,,
1:49.0,,,73-99,2,S. Dekker makes 2-pt shot from 1 ft (assist by J. Harden)
1:41.0,Turnover by M. Huertas (bad pass; steal by T. Ariza),,73-99,,
1:31.0,,,73-99,,Turnover by T. Ariza (bad pass; steal by L. Williams)
1:26.0,L. Williams makes 2-pt shot from 6 ft,2,75-99,,
1:14.0,Personal foul by T. Robinson (drawn by J. Harden),,75-99,,
1:14.0,,,75-100,1,J. Harden makes free throw 1 of 2
1:14.0,,,75-100,,J. Harden misses free throw 2 of 2
1:14.0,Defensive rebound by T. Robinson,,75-100,,
1:14.0,,,75-100,,C. Brewer enters the game for T. Ariza
0:56.0,Shooting foul by N. Hilario (drawn by T. Robinson),,75-100,,
0:56.0,T. Robinson misses free throw 1 of 2,,75-100,,
0:56.0,Offensive rebound by Team,,75-100,,
0:56.0,T. Robinson misses free throw 2 of 2,,75-100,,
0:56.0,,,75-100,,Defensive rebound by N. Hilario
0:56.0,,,75-100,,P. Beverley enters the game for J. Harden
0:46.0,,,75-103,3,E. Gordon makes 3-pt shot from 29 ft (assist by P. Beverley)
0:37.0,L. Williams misses 3-pt shot from 28 ft,,75-103,,
0:36.0,,,75-103,,Defensive rebound by P. Beverley
0:32.0,,,75-106,3,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley)
0:10.0,Shooting foul by S. Dekker (drawn by M. Huertas),,75-106,,
0:10.0,M. Huertas makes free throw 1 of 2,1,76-106,,
0:10.0,M. Huertas makes free throw 2 of 2,1,77-106,,
0:01.0,,,77-106,,C. Brewer misses 3-pt shot from 26 ft
0:00.0,,,77-106,,Offensive rebound by P. Beverley
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,L. Nance misses 2-pt shot from 8 ft,,77-106,,
11:48.0,Offensive rebound by L. Nance,,77-106,,
11:33.0,B. Ingram misses 2-pt shot from 20 ft,,77-106,,
11:31.0,,,77-106,,Defensive rebound by C. Brewer
11:20.0,,,77-108,2,C. Brewer makes 2-pt shot from 2 ft (assist by E. Gordon)
11:13.0,Offensive charge foul by T. Robinson,,77-108,,
11:13.0,Turnover by T. Robinson (offensive foul),,77-108,,
10:51.0,,,77-110,2,C. Brewer makes 2-pt shot from 2 ft (assist by P. Beverley)
10:42.0,Turnover by M. Huertas (bad pass; steal by C. Brewer),,77-110,,
10:37.0,,,77-112,2,P. Beverley makes 2-pt shot from 3 ft (assist by C. Brewer)
10:25.0,L. Williams misses 2-pt shot from 15 ft,,77-112,,
10:24.0,,,77-112,,Defensive rebound by E. Gordon
10:20.0,,,77-112,,S. Dekker misses 2-pt shot from 2 ft (block by L. Williams)
10:19.0,,,77-112,,Offensive rebound by Team
10:13.0,,,77-112,,Turnover by P. Beverley (bad pass; steal by B. Ingram)
10:07.0,B. Ingram misses 2-pt shot from 7 ft,,77-112,,
10:06.0,Offensive rebound by B. Ingram,,77-112,,
10:01.0,Shooting foul by S. Dekker (drawn by B. Ingram),,77-112,,
10:01.0,B. Ingram misses free throw 1 of 2,,77-112,,
10:01.0,Offensive rebound by Team,,77-112,,
10:01.0,B. Ingram misses free throw 2 of 2,,77-112,,
10:01.0,J. Clarkson enters the game for L. Williams,,77-112,,
9:59.0,,,77-112,,Defensive rebound by P. Beverley
9:51.0,,,77-112,,Turnover by P. Beverley (bad pass; steal by M. Huertas)
9:37.0,,,77-112,,Personal foul by P. Beverley (drawn by T. Robinson)
9:27.0,Turnover by M. Huertas (lost ball; steal by P. Beverley),,77-112,,
9:22.0,,,77-114,2,S. Dekker makes 2-pt shot from 2 ft (assist by P. Beverley)
9:06.0,L. Nance misses 3-pt shot from 26 ft,,77-114,,
9:05.0,Offensive rebound by Team,,77-114,,
8:54.0,B. Ingram makes 2-pt shot from 2 ft,2,79-114,,
8:43.0,,,79-114,,P. Beverley misses 3-pt shot from 28 ft
8:42.0,Defensive rebound by L. Nance,,79-114,,
8:17.0,B. Ingram misses 3-pt shot from 26 ft,,79-114,,
8:15.0,,,79-114,,Defensive rebound by E. Gordon
8:09.0,,,79-114,,Turnover by E. Gordon (bad pass; steal by T. Robinson)
8:03.0,M. Huertas makes 2-pt shot from 2 ft (assist by T. Robinson),2,81-114,,
7:44.0,,,81-114,,C. Brewer misses 3-pt shot from 24 ft
7:42.0,,,81-114,,Offensive rebound by S. Dekker
7:38.0,,,81-117,3,P. Beverley makes 3-pt shot from 27 ft (assist by S. Dekker)
7:17.0,Turnover by B. Ingram (bad pass; steal by C. Brewer),,81-117,,
