time,Memphis,pts.away,score,pts.home,Indiana
5:21.0,,,18-14,,Defensive rebound by L. Allen
5:05.0,,,18-14,,J. Teague misses 2-pt shot from 22 ft
5:05.0,Defensive rebound by V. Carter,,18-14,,
4:52.0,M. Gasol makes 2-pt shot from 11 ft,2,20-14,,
4:28.0,,,20-16,2,L. Allen makes 2-pt shot from 20 ft (assist by J. Teague)
4:12.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley),3,23-16,,
3:48.0,,,23-16,,P. George misses 2-pt shot from 11 ft
3:48.0,Defensive rebound by M. Conley,,23-16,,
3:40.0,M. Gasol misses 2-pt shot from 6 ft,,23-16,,
3:40.0,,,23-16,,Defensive rebound by L. Allen
3:32.0,,,23-18,2,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague)
3:17.0,V. Carter misses 3-pt shot from 26 ft,,23-18,,
3:16.0,,,23-18,,Defensive rebound by L. Allen
3:06.0,,,23-18,,P. George misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by T. Allen,,23-18,,
3:01.0,M. Conley makes 2-pt shot from 2 ft (assist by T. Allen),2,25-18,,
2:52.0,,,25-18,,Indiana full timeout
2:52.0,T. Douglas enters the game for M. Gasol,,25-18,,
2:52.0,J. Ennis enters the game for T. Allen,,25-18,,
2:52.0,J. Green enters the game for M. Conley,,25-18,,
2:52.0,,,25-18,,G. Robinson enters the game for P. George
2:52.0,,,25-18,,R. Stuckey enters the game for J. Teague
2:34.0,,,25-21,3,M. Ellis makes 3-pt shot from 27 ft
2:21.0,,,25-21,,Shooting block foul by M. Turner (drawn by Z. Randolph)
2:21.0,Z. Randolph makes free throw 1 of 2,1,26-21,,
2:21.0,Z. Randolph misses free throw 2 of 2,,26-21,,
2:21.0,,,26-21,,Defensive rebound by L. Allen
2:21.0,,,26-21,,R. Christmas enters the game for M. Turner
2:10.0,,,26-23,2,G. Robinson makes 2-pt shot from 19 ft
1:40.0,T. Douglas misses 3-pt shot from 25 ft,,26-23,,
1:40.0,,,26-23,,Defensive rebound by L. Allen
1:37.0,Personal foul by J. Green (drawn by R. Christmas),,26-23,,
1:30.0,,,26-23,,M. Ellis misses 2-pt shot from 14 ft
1:28.0,,,26-23,,Offensive rebound by R. Christmas
1:27.0,,,26-23,,R. Christmas misses 2-pt shot from 2 ft (block by Z. Randolph)
1:27.0,,,26-23,,Offensive rebound by Team
1:22.0,,,26-23,,R. Stuckey misses 2-pt shot from 16 ft
1:22.0,Defensive rebound by Team,,26-23,,
1:22.0,,,26-23,,Loose ball foul by R. Christmas (drawn by Z. Randolph)
1:08.0,Turnover by J. Green (bad pass; steal by L. Allen),,26-23,,
1:03.0,,,26-23,,G. Robinson misses 2-pt shot from 3 ft
1:02.0,Defensive rebound by J. Ennis,,26-23,,
0:52.0,Z. Randolph misses 2-pt shot from 4 ft (block by L. Allen),,26-23,,
0:51.0,,,26-23,,Defensive rebound by L. Allen
0:49.0,,,26-25,2,M. Ellis makes 2-pt shot from 2 ft (assist by G. Robinson)
0:29.0,Z. Randolph misses 2-pt shot from 3 ft,,26-25,,
0:29.0,,,26-25,,Defensive rebound by R. Stuckey
0:23.0,,,26-25,,Turnover by R. Stuckey (bad pass)
0:02.0,J. Ennis misses 2-pt shot from 17 ft,,26-25,,
0:01.0,,,26-25,,Defensive rebound by R. Christmas
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-27,2,M. Ellis makes 2-pt shot from 5 ft
11:30.0,,,26-27,,Shooting block foul by R. Christmas (drawn by V. Carter)
11:30.0,V. Carter misses free throw 1 of 2,,26-27,,
11:30.0,Offensive rebound by Team,,26-27,,
11:30.0,V. Carter makes free throw 2 of 2,1,27-27,,
11:21.0,,,27-27,,Turnover by M. Ellis (bad pass; steal by T. Douglas)
11:17.0,T. Douglas makes 2-pt shot from 4 ft,2,29-27,,
11:03.0,,,29-29,2,R. Christmas makes 2-pt shot from 4 ft (assist by M. Ellis)
10:47.0,Z. Randolph misses 2-pt shot from 4 ft (block by R. Christmas),,29-29,,
10:46.0,,,29-29,,Defensive rebound by R. Stuckey
10:26.0,,,29-31,2,R. Christmas makes 2-pt shot from 2 ft (assist by M. Ellis)
10:05.0,T. Douglas misses 3-pt shot from 27 ft,,29-31,,
10:04.0,,,29-31,,Defensive rebound by L. Allen
9:58.0,,,29-34,3,G. Robinson makes 3-pt shot from 26 ft (assist by R. Stuckey)
9:48.0,Memphis full timeout,,29-34,,
9:48.0,M. Conley enters the game for T. Douglas,,29-34,,
9:38.0,J. Green misses 3-pt shot from 24 ft,,29-34,,
9:37.0,,,29-34,,Defensive rebound by G. Robinson
9:31.0,,,29-34,,R. Stuckey misses 2-pt shot from 2 ft
9:29.0,,,29-34,,Offensive rebound by L. Allen
9:29.0,,,29-36,2,L. Allen makes 2-pt shot from 3 ft
9:07.0,Z. Randolph misses 2-pt shot from 3 ft,,29-36,,
9:07.0,,,29-36,,Defensive rebound by L. Allen
9:01.0,Personal foul by V. Carter (drawn by R. Christmas),,29-36,,
9:01.0,M. Gasol enters the game for Z. Randolph,,29-36,,
8:53.0,,,29-36,,R. Stuckey misses 3-pt shot from 23 ft
8:53.0,,,29-36,,Offensive rebound by G. Robinson
8:45.0,,,29-38,2,M. Ellis makes 2-pt shot from 20 ft
8:32.0,Shooting foul by M. Ellis (drawn by M. Conley),,29-38,,
8:32.0,Official timeout,,29-38,,
8:32.0,M. Conley misses free throw 1 of 2,,29-38,,
8:32.0,Offensive rebound by Team,,29-38,,
8:32.0,M. Conley misses free throw 2 of 2,,29-38,,
8:32.0,T. Douglas enters the game for J. Ennis,,29-38,,
8:31.0,Offensive rebound by M. Gasol,,29-38,,
8:09.0,M. Conley makes 2-pt shot from 20 ft,2,31-38,,
7:47.0,,,31-41,3,R. Stuckey makes 3-pt shot from 26 ft
7:27.0,M. Conley makes 2-pt shot from 4 ft (assist by V. Carter),2,33-41,,
7:18.0,,,33-41,,Offensive foul by R. Christmas
7:18.0,,,33-41,,Turnover by R. Christmas (offensive foul)
7:18.0,,,33-41,,T. Young enters the game for L. Allen
7:18.0,,,33-41,,M. Turner enters the game for R. Christmas
7:18.0,,,33-41,,P. George enters the game for G. Robinson
7:18.0,T. Allen enters the game for V. Carter,,33-41,,
7:02.0,T. Allen misses 2-pt shot from 21 ft,,33-41,,
7:01.0,Offensive rebound by J. Green,,33-41,,
6:46.0,M. Conley makes 2-pt shot from 21 ft (assist by M. Gasol),2,35-41,,
6:26.0,,,35-41,,R. Stuckey misses 2-pt shot from 4 ft
6:26.0,,,35-41,,Offensive rebound by R. Stuckey
6:26.0,,,35-41,,Shooting foul by T. Allen (drawn by R. Stuckey)
6:26.0,,,35-42,1,R. Stuckey makes free throw 1 of 2
6:26.0,,,35-43,1,R. Stuckey makes free throw 2 of 2
6:26.0,C. Parsons enters the game for T. Douglas,,35-42,,
6:07.0,Shooting foul by T. Young (drawn by J. Green),,35-43,,
6:07.0,J. Green makes free throw 1 of 2,1,36-43,,
6:07.0,J. Green misses free throw 2 of 2,,36-43,,
6:07.0,,,36-43,,Defensive rebound by M. Ellis
6:07.0,,,36-43,,J. Teague enters the game for R. Stuckey
5:51.0,,,36-43,,Turnover by P. George (bad pass; steal by T. Allen)
5:35.0,M. Gasol makes 2-pt shot from 10 ft,2,38-43,,
5:22.0,,,38-46,3,M. Ellis makes 3-pt shot from 25 ft (assist by J. Teague)
5:03.0,J. Green misses 2-pt shot from 12 ft,,38-46,,
5:03.0,,,38-46,,Defensive rebound by M. Turner
4:46.0,,,38-48,2,M. Ellis makes 2-pt shot from 22 ft
4:25.0,M. Gasol makes 2-pt shot from 16 ft (assist by M. Conley),2,40-48,,
4:11.0,Personal foul by C. Parsons (drawn by M. Turner),,40-48,,
4:11.0,,,40-48,,Indiana full timeout
4:11.0,Z. Randolph enters the game for J. Green,,40-48,,
3:56.0,,,40-48,,Turnover by Team (shot clock)
3:56.0,,,40-48,,C. Miles enters the game for M. Ellis
3:41.0,C. Parsons misses 3-pt shot from 24 ft,,40-48,,
3:39.0,,,40-48,,Defensive rebound by P. George
3:36.0,,,40-48,,Shooting foul by M. Gasol (drawn by P. George)
3:36.0,,,40-49,1,P. George makes free throw 1 of 2
3:36.0,,,40-50,1,P. George makes free throw 2 of 2
3:25.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol),2,42-50,,
3:25.0,Shooting foul by T. Young (drawn by Z. Randolph),,42-50,,
3:25.0,Z. Randolph makes free throw 1 of 1,1,43-50,,
3:25.0,,,42-50,,L. Allen enters the game for T. Young
3:12.0,,,43-52,2,L. Allen makes 2-pt shot from 9 ft (assist by J. Teague)
2:59.0,,,43-52,,Personal foul by M. Turner (drawn by M. Gasol)
2:59.0,Memphis full timeout,,43-52,,
2:59.0,M. Gasol makes free throw 1 of 2,1,44-52,,
2:59.0,M. Gasol makes free throw 2 of 2,1,45-52,,
2:46.0,,,45-52,,C. Miles misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by M. Gasol,,45-52,,
2:38.0,M. Gasol misses 3-pt shot from 26 ft,,45-52,,
2:37.0,Offensive rebound by T. Allen,,45-52,,
2:34.0,T. Allen misses 2-pt shot from 2 ft,,45-52,,
2:32.0,,,45-52,,Defensive rebound by M. Turner
2:20.0,,,45-54,2,J. Teague makes 2-pt shot from 8 ft
1:56.0,M. Gasol makes 2-pt shot from 12 ft,2,47-54,,
1:43.0,,,47-54,,P. George misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by Z. Randolph,,47-54,,
1:26.0,M. Gasol misses 2-pt shot from 9 ft,,47-54,,
1:25.0,,,47-54,,Defensive rebound by P. George
1:16.0,,,47-57,3,C. Miles makes 3-pt shot from 24 ft (assist by J. Teague)
0:46.0,C. Parsons misses 2-pt shot from 7 ft (block by C. Miles),,47-57,,
0:45.0,,,47-57,,Defensive rebound by C. Miles
0:44.0,,,47-59,2,C. Miles makes 2-pt shot from 1 ft
0:30.0,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Conley),2,49-59,,
0:28.0,,,49-59,,Indiana full timeout
0:28.0,J. Green enters the game for C. Parsons,,49-59,,
0:28.0,T. Douglas enters the game for Z. Randolph,,49-59,,
0:28.0,,,49-59,,T. Young enters the game for M. Turner
0:08.0,,,49-61,2,L. Allen makes 2-pt shot from 6 ft (assist by P. George)
0:02.0,M. Conley misses 3-pt shot from 25 ft,,49-61,,
0:01.0,,,49-61,,Defensive rebound by C. Miles
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,49-61,,Turnover by P. George (bad pass; steal by T. Allen)
11:37.0,T. Allen makes 2-pt shot from 3 ft,2,51-61,,
11:10.0,,,51-61,,J. Teague misses 3-pt shot from 27 ft
11:09.0,,,51-61,,Offensive rebound by P. George
11:06.0,Personal foul by C. Parsons (drawn by M. Turner),,51-61,,
11:02.0,,,51-63,2,T. Young makes 2-pt shot from 4 ft (assist by M. Turner)
10:41.0,Turnover by M. Conley (bad pass; steal by C. Miles),,51-63,,
10:34.0,,,51-65,2,P. George makes 2-pt shot from 12 ft
10:33.0,Memphis full timeout,,51-65,,
10:15.0,Jump ball: C. Parsons vs. M. Turner (C. Miles gains possession),,,,Jump ball: C. Parsons vs. M. Turner (C. Miles gains possession)
10:15.0,Turnover by C. Parsons (lost ball; steal by M. Turner),,51-65,,
10:01.0,,,51-67,2,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague)
9:45.0,C. Parsons misses 3-pt shot from 26 ft,,51-67,,
9:44.0,,,51-67,,Defensive rebound by P. George
9:36.0,,,51-67,,Turnover by J. Teague (lost ball; steal by T. Allen)
9:36.0,Jump ball: T. Allen vs. J. Teague (M. Gasol gains possession),,,,Jump ball: T. Allen vs. J. Teague (M. Gasol gains possession)
9:30.0,C. Parsons makes 2-pt shot from 2 ft (assist by M. Conley),2,53-67,,
9:13.0,,,53-67,,P. George misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by J. Green,,53-67,,
9:04.0,,,53-67,,Personal foul by C. Miles (drawn by C. Parsons)
8:56.0,,,53-67,,Personal foul by J. Teague (drawn by M. Conley)
8:45.0,M. Gasol misses 2-pt shot from 18 ft,,53-67,,
8:44.0,,,53-67,,Defensive rebound by M. Turner
8:35.0,,,53-70,3,J. Teague makes 3-pt shot from 25 ft
8:20.0,Turnover by T. Allen (lost ball; steal by C. Miles),,53-70,,
8:20.0,Personal foul by T. Allen (drawn by C. Miles),,53-70,,
8:12.0,Personal foul by T. Allen (drawn by M. Turner),,53-70,,
8:06.0,,,53-70,,Shooting foul by M. Conley (drawn by J. Teague)
8:06.0,,,53-71,1,J. Teague makes free throw 1 of 3
8:06.0,,,53-72,1,J. Teague makes free throw 2 of 3
8:06.0,,,53-73,1,J. Teague makes free throw 3 of 3
7:54.0,Turnover by T. Allen (bad pass; steal by M. Turner),,53-73,,
7:42.0,,,53-76,3,C. Miles makes 3-pt shot from 24 ft (assist by P. George)
7:34.0,Memphis full timeout,,53-76,,
7:34.0,V. Carter enters the game for J. Green,,53-76,,
7:16.0,M. Gasol misses 2-pt shot from 12 ft,,53-76,,
7:16.0,,,53-76,,Defensive rebound by J. Teague
7:10.0,,,53-76,,Turnover by J. Teague (bad pass)
6:57.0,T. Allen misses 2-pt shot from 4 ft,,53-76,,
6:55.0,Offensive rebound by M. Gasol,,53-76,,
6:55.0,M. Gasol makes 2-pt shot from 2 ft,2,55-76,,
6:31.0,,,55-76,,T. Young misses 2-pt shot from 4 ft
6:30.0,Defensive rebound by T. Allen,,55-76,,
6:27.0,Turnover by T. Allen (lost ball; steal by P. George),,55-76,,
6:22.0,,,55-79,3,C. Miles makes 3-pt shot from 24 ft (assist by P. George)
6:09.0,M. Conley misses 3-pt shot from 26 ft,,55-79,,
6:08.0,,,55-79,,Defensive rebound by T. Young
5:55.0,,,55-79,,J. Teague misses 2-pt shot from 7 ft
5:54.0,Defensive rebound by T. Allen,,55-79,,
5:48.0,Offensive charge foul by T. Allen,,55-79,,
5:48.0,Turnover by T. Allen (offensive foul),,55-79,,
5:48.0,T. Daniels enters the game for T. Allen,,55-79,,
5:35.0,,,55-79,,P. George misses 2-pt shot from 21 ft
5:35.0,Defensive rebound by M. Gasol,,55-79,,
5:21.0,Turnover by T. Daniels (step out of bounds),,55-79,,
5:06.0,,,55-79,,Turnover by J. Teague (bad pass; steal by V. Carter)
5:02.0,,,55-79,,Personal foul by J. Teague (drawn by M. Conley)
5:02.0,T. Douglas enters the game for M. Conley,,55-79,,
5:02.0,Z. Randolph enters the game for C. Parsons,,55-79,,
5:02.0,,,55-79,,L. Allen enters the game for T. Young
4:55.0,T. Daniels makes 3-pt shot from 24 ft (assist by T. Douglas),3,58-79,,
4:45.0,,,58-79,,Shooting foul by T. Douglas (drawn by J. Teague)
4:45.0,,,58-80,1,J. Teague makes free throw 1 of 2
4:45.0,,,58-81,1,J. Teague makes free throw 2 of 2
4:45.0,,,58-80,,M. Ellis enters the game for C. Miles
4:28.0,Shooting foul by L. Allen (drawn by V. Carter),,58-81,,
4:28.0,V. Carter makes free throw 1 of 2,1,59-81,,
4:28.0,V. Carter makes free throw 2 of 2,1,60-81,,
4:14.0,,,60-83,2,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague)
3:56.0,Z. Randolph misses 2-pt shot from 16 ft,,60-83,,
3:56.0,,,60-83,,Defensive rebound by P. George
3:42.0,,,60-85,2,M. Turner makes 2-pt shot from 4 ft (assist by M. Ellis)
3:23.0,T. Daniels misses 2-pt shot from 21 ft,,60-85,,
3:21.0,Offensive rebound by V. Carter,,60-85,,
3:21.0,V. Carter misses 2-pt shot from 4 ft,,60-85,,
3:19.0,,,60-85,,Defensive rebound by P. George
3:08.0,,,60-85,,P. George misses 2-pt shot from 16 ft
3:08.0,Defensive rebound by Z. Randolph,,60-85,,
2:55.0,M. Gasol misses 2-pt shot from 7 ft,,60-85,,
2:54.0,,,60-85,,Defensive rebound by M. Turner
2:36.0,,,60-85,,M. Ellis misses 3-pt shot from 24 ft
2:35.0,,,60-85,,Offensive rebound by L. Allen
2:35.0,,,60-87,2,L. Allen makes 2-pt shot from 2 ft
2:27.0,Memphis full timeout,,60-87,,
2:27.0,J. Green enters the game for M. Gasol,,60-87,,
2:27.0,,,60-87,,R. Stuckey enters the game for P. George
2:27.0,,,60-87,,G. Robinson enters the game for M. Turner
2:27.0,,,60-87,,R. Christmas enters the game for J. Teague
2:19.0,T. Daniels misses 2-pt shot from 21 ft,,60-87,,
2:18.0,Offensive rebound by Z. Randolph,,60-87,,
2:18.0,Z. Randolph makes 2-pt shot from 2 ft,2,62-87,,
2:01.0,,,62-87,,Turnover by M. Ellis (lost ball; steal by T. Daniels)
1:57.0,V. Carter makes 2-pt shot from 2 ft (assist by T. Daniels),2,64-87,,
1:32.0,,,64-87,,Turnover by G. Robinson (bad pass; steal by T. Douglas)
1:22.0,T. Douglas makes 2-pt shot from 2 ft,2,66-87,,
1:22.0,,,66-87,,Indiana full timeout
1:08.0,,,66-87,,Turnover by G. Robinson (bad pass; steal by T. Daniels)
0:53.0,J. Green misses 2-pt shot from 3 ft,,66-87,,
0:53.0,Offensive rebound by J. Green,,66-87,,
0:53.0,J. Green makes 2-pt shot from 3 ft,2,68-87,,
0:34.0,,,68-87,,G. Robinson misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by Team,,68-87,,
0:24.0,Z. Randolph misses 3-pt shot from 26 ft,,68-87,,
0:23.0,,,68-87,,Defensive rebound by R. Christmas
0:05.0,,,68-87,,Shooting foul by V. Carter (drawn by R. Stuckey)
0:05.0,,,68-88,1,R. Stuckey makes free throw 1 of 2
0:05.0,,,68-89,1,R. Stuckey makes free throw 2 of 2
0:00.0,T. Douglas misses 3-pt shot from 41 ft,,68-89,,
0:00.0,Offensive rebound by Team,,68-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,T. Daniels makes 3-pt shot from 25 ft (assist by V. Carter),3,71-89,,
11:17.0,,,71-91,2,R. Stuckey makes 2-pt shot from 4 ft
11:00.0,Z. Randolph misses 2-pt shot from 2 ft,,71-91,,
10:58.0,,,71-91,,Defensive rebound by R. Christmas
10:49.0,,,71-91,,R. Stuckey misses 2-pt shot from 5 ft (block by T. Douglas)
10:48.0,Defensive rebound by V. Carter,,71-91,,
10:41.0,V. Carter makes 3-pt shot from 26 ft (assist by J. Green),3,74-91,,
10:23.0,,,74-93,2,M. Ellis makes 2-pt shot from 8 ft
10:05.0,T. Daniels misses 3-pt shot from 26 ft,,74-93,,
10:03.0,Offensive rebound by J. Green,,74-93,,
9:55.0,Z. Randolph makes 2-pt shot from 7 ft (assist by T. Daniels),2,76-93,,
9:42.0,,,76-93,,Turnover by L. Allen (bad pass; steal by T. Daniels)
9:41.0,,,76-93,,Clear path foul by M. Ellis
9:41.0,T. Daniels makes clear path free throw 1 of 2,1,77-93,,
9:41.0,T. Daniels misses clear path free throw 2 of 2,,77-93,,
9:41.0,Offensive rebound by Team,,77-93,,
9:41.0,M. Conley enters the game for T. Douglas,,77-93,,
9:41.0,,,77-93,,T. Young enters the game for L. Allen
9:41.0,,,77-93,,M. Turner enters the game for G. Robinson
9:41.0,,,77-93,,P. George enters the game for R. Christmas
9:27.0,Turnover by Z. Randolph (bad pass; steal by M. Turner),,77-93,,
9:23.0,,,77-95,2,M. Turner makes 2-pt shot from 3 ft
9:01.0,V. Carter misses 2-pt shot from 6 ft (block by M. Turner),,77-95,,
8:59.0,,,77-95,,Defensive rebound by P. George
8:55.0,,,77-95,,P. George misses 2-pt shot from 2 ft
8:55.0,Defensive rebound by M. Conley,,77-95,,
8:33.0,M. Conley misses 2-pt shot from 13 ft,,77-95,,
8:31.0,Offensive rebound by M. Conley,,77-95,,
8:24.0,T. Daniels makes 3-pt shot from 26 ft (assist by M. Conley),3,80-95,,
7:55.0,,,80-95,,P. George misses 3-pt shot from 24 ft
7:54.0,Defensive rebound by Z. Randolph,,80-95,,
7:44.0,Shooting foul by P. George (drawn by Z. Randolph),,80-95,,
7:44.0,Official timeout,,80-95,,
7:44.0,Z. Randolph makes free throw 1 of 2,1,81-95,,
7:44.0,Z. Randolph misses free throw 2 of 2,,81-95,,
7:44.0,,,81-95,,Defensive rebound by M. Turner
7:44.0,M. Gasol enters the game for J. Green,,80-95,,
7:44.0,,,80-95,,J. Teague enters the game for R. Stuckey
7:24.0,,,81-95,,M. Turner misses 2-pt shot from 20 ft
7:22.0,Defensive rebound by Z. Randolph,,81-95,,
7:07.0,T. Daniels misses 3-pt shot from 26 ft,,81-95,,
7:06.0,,,81-95,,Defensive rebound by J. Teague
6:46.0,,,81-95,,P. George misses 2-pt shot from 5 ft (block by V. Carter)
6:45.0,Defensive rebound by Z. Randolph,,81-95,,
6:37.0,Turnover by V. Carter (bad pass),,81-95,,
6:37.0,T. Douglas enters the game for T. Daniels,,81-95,,
6:24.0,,,81-95,,M. Ellis misses 2-pt shot from 2 ft
6:23.0,Defensive rebound by T. Douglas,,81-95,,
6:19.0,Shooting foul by J. Teague (drawn by M. Conley),,81-95,,
6:19.0,M. Conley misses free throw 1 of 2,,81-95,,
6:19.0,Offensive rebound by Team,,81-95,,
6:19.0,M. Conley misses free throw 2 of 2,,81-95,,
6:19.0,,,81-95,,Defensive rebound by J. Teague
6:19.0,T. Allen enters the game for V. Carter,,81-95,,
6:00.0,Personal foul by T. Allen (drawn by P. George),,81-95,,
6:00.0,,,81-95,,C. Miles enters the game for M. Ellis
5:52.0,,,81-95,,Turnover by P. George (bad pass)
5:52.0,,,81-95,,Indiana full timeout
5:39.0,M. Gasol misses 3-pt shot from 26 ft,,81-95,,
5:39.0,Offensive rebound by Z. Randolph,,81-95,,
5:36.0,Z. Randolph misses 2-pt shot from 3 ft (block by T. Young),,81-95,,
5:35.0,,,81-95,,Defensive rebound by J. Teague
5:31.0,,,81-95,,J. Teague misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by M. Conley,,81-95,,
5:18.0,,,81-95,,Personal foul by C. Miles (drawn by M. Gasol)
5:18.0,T. Daniels enters the game for T. Douglas,,81-95,,
5:09.0,T. Daniels misses 2-pt shot from 5 ft (block by C. Miles),,81-95,,
5:09.0,,,81-95,,Defensive rebound by T. Young
5:08.0,Personal foul by M. Conley (drawn by T. Young),,81-95,,
4:41.0,,,81-97,2,T. Young makes 2-pt shot from 3 ft
4:23.0,Turnover by M. Gasol (lost ball; steal by T. Young),,81-97,,
4:23.0,Jump ball: M. Gasol vs. T. Young (M. Turner gains possession),,,,Jump ball: M. Gasol vs. T. Young (M. Turner gains possession)
4:02.0,,,81-97,,C. Miles misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by Z. Randolph,,81-97,,
3:54.0,T. Daniels misses 3-pt shot from 26 ft,,81-97,,
3:54.0,,,81-97,,Defensive rebound by C. Miles
3:49.0,,,81-97,,J. Teague misses 2-pt shot from 2 ft (block by M. Gasol)
3:47.0,Defensive rebound by T. Allen,,81-97,,
3:36.0,Z. Randolph misses 2-pt shot from 4 ft,,81-97,,
3:33.0,,,81-97,,Defensive rebound by T. Young
3:30.0,,,81-99,2,T. Young makes 2-pt shot from 2 ft
3:28.0,Memphis full timeout,,81-99,,
3:28.0,D. Davis enters the game for M. Gasol,,81-99,,
3:28.0,T. Douglas enters the game for T. Allen,,81-99,,
3:28.0,J. Green enters the game for M. Conley,,81-99,,
3:28.0,J. Ennis enters the game for Z. Randolph,,81-99,,
3:28.0,A. Harrison enters the game for T. Daniels,,81-99,,
3:17.0,J. Green misses 2-pt shot from 6 ft (block by M. Turner),,81-99,,
3:16.0,,,81-99,,Defensive rebound by T. Young
2:56.0,,,81-102,3,C. Miles makes 3-pt shot from 24 ft (assist by J. Teague)
2:38.0,T. Douglas makes 2-pt shot from 18 ft,2,83-102,,
2:09.0,,,83-102,,C. Miles misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by J. Green,,83-102,,
1:45.0,T. Douglas misses 3-pt shot from 26 ft,,83-102,,
1:44.0,,,83-102,,Defensive rebound by P. George
1:44.0,,,83-102,,Indiana full timeout
1:44.0,,,83-102,,K. Seraphin enters the game for P. George
1:44.0,,,83-102,,J. Young enters the game for T. Young
1:44.0,,,83-102,,R. Christmas enters the game for M. Turner
1:44.0,,,83-102,,G. Robinson enters the game for C. Miles
