time,Orlando,pts.away,score,pts.home,Oklahoma City
4:06.0,,,18-6,,Shooting foul by N. Vucevic (drawn by R. Westbrook)
4:06.0,,,18-7,1,R. Westbrook makes free throw 1 of 2
4:06.0,,,18-7,,R. Westbrook misses free throw 2 of 2
4:06.0,B. Biyombo enters the game for N. Vucevic,,18-7,,
4:06.0,A. Gordon enters the game for J. Green,,18-7,,
4:04.0,,,18-7,,Offensive rebound by S. Adams
4:00.0,,,18-7,,R. Westbrook misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by B. Biyombo,,18-7,,
3:57.0,Orlando full timeout,,18-7,,
3:54.0,,,18-7,,E. Kanter enters the game for D. Sabonis
3:54.0,,,18-7,,A. Abrines enters the game for V. Oladipo
3:52.0,,,18-7,,Personal foul by R. Westbrook (drawn by E. Payton)
3:43.0,S. Ibaka misses 2-pt shot from 15 ft,,18-7,,
3:42.0,Offensive rebound by B. Biyombo,,18-7,,
3:32.0,E. Payton makes 2-pt shot from 1 ft,2,20-7,,
3:19.0,,,20-7,,R. Westbrook misses 2-pt shot from 7 ft
3:19.0,Defensive rebound by S. Ibaka,,20-7,,
3:14.0,Turnover by S. Ibaka (bad pass),,20-7,,
3:02.0,,,20-7,,E. Kanter misses 3-pt shot from 23 ft
3:01.0,,,20-7,,Offensive rebound by Team
2:58.0,,,20-7,,J. Grant misses 2-pt shot from 1 ft (block by S. Ibaka)
2:58.0,,,20-7,,Offensive rebound by Team
2:51.0,,,20-7,,S. Adams misses 2-pt shot from 2 ft (block by S. Ibaka)
2:50.0,Defensive rebound by S. Ibaka,,20-7,,
2:28.0,B. Biyombo misses 2-pt shot from 11 ft,,20-7,,
2:28.0,,,20-7,,Defensive rebound by S. Adams
2:20.0,,,20-9,2,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook)
2:04.0,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Payton),3,23-9,,
1:49.0,,,23-11,2,R. Westbrook makes 2-pt shot from 1 ft
1:26.0,E. Payton misses 3-pt shot from 25 ft,,23-11,,
1:24.0,,,23-11,,Defensive rebound by A. Abrines
1:18.0,,,23-11,,R. Westbrook misses 2-pt shot from 9 ft
1:17.0,Defensive rebound by E. Fournier,,23-11,,
1:11.0,S. Ibaka makes 2-pt shot at rim (assist by E. Fournier),2,25-11,,
1:02.0,,,25-11,,Oklahoma City full timeout
1:02.0,,,25-11,,J. Lauvergne enters the game for S. Adams
1:02.0,,,25-11,,S. Christon enters the game for R. Westbrook
1:02.0,D. Rudez enters the game for S. Ibaka,,25-11,,
1:02.0,D. Augustin enters the game for E. Payton,,25-11,,
0:52.0,,,25-11,,Turnover by J. Grant (bad pass)
0:41.0,E. Fournier makes 2-pt shot from 1 ft,2,27-11,,
0:30.0,,,27-13,2,E. Kanter makes 2-pt shot from 3 ft
0:09.0,Turnover by E. Fournier (bad pass),,27-13,,
0:06.0,Personal take foul by D. Augustin (drawn by S. Christon),,27-13,,
0:06.0,J. Green enters the game for D. Rudez,,27-13,,
0:02.0,,,27-13,,A. Abrines misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by A. Gordon,,27-13,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,A. Gordon misses 2-pt shot from 15 ft,,27-13,,
11:38.0,,,27-13,,Defensive rebound by E. Kanter
11:25.0,,,27-13,,J. Lauvergne misses 2-pt shot from 20 ft
11:24.0,Defensive rebound by B. Biyombo,,27-13,,
11:09.0,B. Biyombo makes 2-pt shot at rim (assist by A. Gordon),2,29-13,,
10:51.0,,,29-15,2,J. Grant makes 2-pt shot from 5 ft
10:31.0,A. Gordon makes 2-pt shot from 21 ft (assist by B. Biyombo),2,31-15,,
10:17.0,,,31-15,,E. Kanter misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by B. Biyombo,,31-15,,
10:06.0,D. Rudez misses 3-pt shot from 23 ft,,31-15,,
10:05.0,,,31-15,,Defensive rebound by E. Kanter
9:58.0,,,31-15,,S. Christon misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by C. Watson,,31-15,,
9:50.0,A. Gordon makes 2-pt shot from 1 ft (assist by C. Watson),2,33-15,,
9:50.0,Shooting foul by A. Abrines (drawn by A. Gordon),,33-15,,
9:50.0,A. Gordon makes free throw 1 of 1,1,34-15,,
9:39.0,,,34-15,,Turnover by A. Abrines (bad pass)
9:26.0,A. Gordon misses 3-pt shot from 25 ft,,34-15,,
9:26.0,,,34-15,,Defensive rebound by A. Abrines
9:20.0,,,34-17,2,A. Abrines makes 2-pt shot at rim
8:55.0,Shooting foul by J. Grant (drawn by B. Biyombo),,34-17,,
8:55.0,Official timeout,,34-17,,
8:55.0,B. Biyombo makes free throw 1 of 2,1,35-17,,
8:55.0,B. Biyombo misses free throw 2 of 2,,35-17,,
8:55.0,,,34-17,,N. Collison enters the game for E. Kanter
8:54.0,,,35-17,,Defensive rebound by J. Grant
8:30.0,,,35-17,,A. Abrines misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by D. Augustin,,35-17,,
8:26.0,Shooting foul by A. Abrines (drawn by D. Augustin),,35-17,,
8:26.0,D. Augustin misses free throw 1 of 2,,35-17,,
8:26.0,Offensive rebound by Team,,35-17,,
8:26.0,D. Augustin makes free throw 2 of 2,1,36-17,,
8:26.0,S. Ibaka enters the game for C. Watson,,35-17,,
8:26.0,E. Payton enters the game for D. Rudez,,35-17,,
8:26.0,,,35-17,,R. Westbrook enters the game for S. Christon
8:11.0,,,36-17,,J. Grant misses 2-pt shot from 5 ft
8:11.0,Defensive rebound by B. Biyombo,,36-17,,
8:02.0,B. Biyombo makes 2-pt shot from 3 ft (assist by E. Payton),2,38-17,,
7:49.0,,,38-17,,A. Abrines misses 2-pt shot from 12 ft
7:49.0,Defensive rebound by Team,,38-17,,
7:49.0,,,38-17,,Loose ball foul by J. Lauvergne (drawn by B. Biyombo)
7:49.0,,,38-17,,V. Oladipo enters the game for J. Grant
7:49.0,,,38-17,,A. Roberson enters the game for A. Abrines
7:49.0,,,38-17,,S. Adams enters the game for J. Lauvergne
7:38.0,S. Ibaka misses 2-pt shot from 21 ft,,38-17,,
7:38.0,,,38-17,,Defensive rebound by R. Westbrook
7:33.0,,,38-17,,Shooting foul by A. Gordon (drawn by R. Westbrook)
7:33.0,,,38-18,1,R. Westbrook makes free throw 1 of 2
7:33.0,,,38-19,1,R. Westbrook makes free throw 2 of 2
7:14.0,Turnover by D. Augustin (lost ball; steal by V. Oladipo),,38-19,,
7:10.0,,,38-21,2,R. Westbrook makes 2-pt shot from 1 ft (assist by V. Oladipo)
6:48.0,A. Gordon makes 2-pt shot from 19 ft,2,40-21,,
6:30.0,,,40-21,,N. Collison misses 2-pt shot from 1 ft
6:29.0,,,40-21,,Offensive rebound by S. Adams
6:28.0,,,40-21,,S. Adams misses 2-pt shot from 4 ft
6:27.0,Defensive rebound by B. Biyombo,,40-21,,
6:18.0,E. Payton misses 2-pt shot from 1 ft (block by A. Roberson),,40-21,,
6:17.0,,,40-21,,Defensive rebound by S. Adams
6:12.0,,,40-21,,V. Oladipo misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by S. Ibaka,,40-21,,
6:10.0,Orlando full timeout,,40-21,,
6:10.0,E. Fournier enters the game for B. Biyombo,,40-21,,
6:10.0,N. Vucevic enters the game for D. Augustin,,40-21,,
5:59.0,A. Gordon misses 2-pt shot from 7 ft,,40-21,,
5:59.0,,,40-21,,Defensive rebound by R. Westbrook
5:47.0,,,40-21,,S. Adams misses 2-pt shot from 8 ft
5:47.0,,,40-21,,Offensive rebound by A. Roberson
5:42.0,,,40-23,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:16.0,S. Ibaka makes 2-pt shot from 18 ft (assist by E. Payton),2,42-23,,
5:04.0,,,42-25,2,R. Westbrook makes 2-pt shot from 2 ft
4:47.0,N. Vucevic misses 2-pt shot from 1 ft,,42-25,,
4:47.0,,,42-25,,Defensive rebound by S. Adams
4:37.0,,,42-28,3,A. Roberson makes 3-pt shot from 24 ft (assist by N. Collison)
4:25.0,E. Payton makes 2-pt shot from 2 ft,2,44-28,,
4:13.0,,,44-28,,Shooting foul by N. Vucevic (drawn by R. Westbrook)
4:13.0,,,44-28,,R. Westbrook misses free throw 1 of 2
4:13.0,,,44-28,,Offensive rebound by Team
4:13.0,,,44-29,1,R. Westbrook makes free throw 2 of 2
4:13.0,B. Biyombo enters the game for N. Vucevic,,44-28,,
4:13.0,,,44-28,,D. Sabonis enters the game for N. Collison
4:13.0,J. Green enters the game for A. Gordon,,44-28,,
4:00.0,Shooting foul by D. Sabonis (drawn by S. Ibaka),,44-29,,
4:00.0,S. Ibaka makes free throw 1 of 2,1,45-29,,
4:00.0,S. Ibaka makes free throw 2 of 2,1,46-29,,
3:50.0,,,46-31,2,R. Westbrook makes 2-pt shot from 1 ft
3:23.0,E. Payton makes 2-pt shot from 1 ft,2,48-31,,
3:09.0,,,48-33,2,A. Roberson makes 2-pt shot from 1 ft
3:09.0,,,48-33,,Shooting foul by E. Payton (drawn by A. Roberson)
3:09.0,,,48-33,,A. Roberson misses free throw 1 of 1
3:08.0,,,48-33,,Offensive rebound by S. Adams
3:02.0,,,48-36,3,D. Sabonis makes 3-pt shot from 23 ft (assist by V. Oladipo)
2:53.0,Orlando full timeout,,48-36,,
2:53.0,,,48-36,,Oklahoma City full timeout
2:41.0,S. Ibaka misses 2-pt shot from 7 ft,,48-36,,
2:41.0,Jump ball: B. Biyombo vs. R. Westbrook (A. Roberson gains possession),,,,Jump ball: B. Biyombo vs. R. Westbrook (A. Roberson gains possession)
2:41.0,,,48-36,,Defensive rebound by R. Westbrook
2:23.0,,,48-38,2,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook)
2:06.0,J. Green misses 2-pt shot from 1 ft,,48-38,,
2:05.0,,,48-38,,Defensive rebound by R. Westbrook
1:59.0,,,48-38,,A. Roberson misses 2-pt shot from 1 ft
1:58.0,,,48-38,,Offensive rebound by R. Westbrook
1:58.0,,,48-40,2,R. Westbrook makes 2-pt shot from 1 ft
1:43.0,E. Payton misses 2-pt shot from 2 ft (block by A. Roberson),,48-40,,
1:42.0,,,48-40,,Defensive rebound by A. Roberson
1:35.0,,,48-42,2,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook)
1:10.0,J. Green makes 3-pt shot from 25 ft,3,51-42,,
1:02.0,,,51-42,,Turnover by R. Westbrook (bad pass; steal by E. Payton)
0:59.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,53-42,,
0:40.0,,,53-44,2,V. Oladipo makes 2-pt shot from 13 ft
0:31.0,Shooting foul by R. Westbrook (drawn by J. Green),,53-44,,
0:31.0,J. Green makes free throw 1 of 2,1,54-44,,
0:31.0,J. Green makes free throw 2 of 2,1,55-44,,
0:31.0,A. Gordon enters the game for E. Payton,,54-44,,
0:31.0,,,54-44,,A. Abrines enters the game for A. Roberson
0:29.0,,,55-44,,Shooting foul by A. Gordon (drawn by R. Westbrook)
0:29.0,,,55-45,1,R. Westbrook makes free throw 1 of 2
0:29.0,,,55-46,1,R. Westbrook makes free throw 2 of 2
0:29.0,D. Augustin enters the game for A. Gordon,,55-45,,
0:29.0,,,55-45,,K. Singler enters the game for A. Abrines
0:07.0,S. Ibaka makes 2-pt shot from 8 ft (assist by E. Fournier),2,57-46,,
0:03.0,,,57-46,,Shooting foul by J. Green (drawn by R. Westbrook)
0:03.0,,,57-47,1,R. Westbrook makes free throw 1 of 2
0:03.0,,,57-47,,R. Westbrook misses free throw 2 of 2
0:03.0,Defensive rebound by S. Ibaka,,57-47,,
0:00.0,J. Green misses 3-pt shot from 48 ft,,57-47,,
0:00.0,Offensive rebound by Team,,57-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,N. Vucevic misses 2-pt shot from 14 ft,,57-47,,
11:38.0,,,57-47,,Defensive rebound by R. Westbrook
11:22.0,,,57-49,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:03.0,S. Ibaka makes 2-pt shot from 8 ft (assist by N. Vucevic),2,59-49,,
10:48.0,,,59-49,,D. Sabonis misses 3-pt shot from 24 ft
10:48.0,,,59-49,,Offensive rebound by Team
10:48.0,Loose ball foul by N. Vucevic (drawn by S. Adams),,59-49,,
10:48.0,B. Biyombo enters the game for N. Vucevic,,59-49,,
10:38.0,,,59-49,,Turnover by D. Sabonis (traveling)
10:29.0,,,59-49,,Personal block foul by A. Roberson (drawn by E. Payton)
10:21.0,E. Fournier makes 2-pt shot from 3 ft,2,61-49,,
10:12.0,,,61-51,2,R. Westbrook makes 2-pt shot from 13 ft
10:03.0,E. Payton misses 2-pt shot from 2 ft (block by A. Roberson),,61-51,,
10:03.0,Offensive rebound by Team,,61-51,,
9:53.0,Turnover by E. Fournier (lost ball; steal by A. Roberson),,61-51,,
9:49.0,Personal foul by J. Green (drawn by A. Roberson),,61-51,,
9:49.0,,,61-51,,A. Roberson misses free throw 1 of 2
9:49.0,,,61-51,,Offensive rebound by Team
9:49.0,,,61-51,,A. Roberson misses free throw 2 of 2
9:48.0,Defensive rebound by E. Payton,,61-51,,
9:29.0,J. Green makes 2-pt shot from 10 ft,2,63-51,,
9:14.0,,,63-53,2,R. Westbrook makes 2-pt shot from 1 ft
8:58.0,S. Ibaka makes 3-pt shot from 24 ft (assist by E. Payton),3,66-53,,
8:40.0,,,66-56,3,A. Roberson makes 3-pt shot from 22 ft (assist by D. Sabonis)
8:17.0,J. Green makes 2-pt shot from 9 ft,2,68-56,,
7:57.0,,,68-58,2,R. Westbrook makes 2-pt shot from 13 ft
7:57.0,,,68-58,,Shooting foul by E. Fournier (drawn by R. Westbrook)
7:57.0,,,68-59,1,R. Westbrook makes free throw 1 of 1
7:36.0,J. Green misses 2-pt shot from 8 ft (block by A. Roberson),,68-59,,
7:36.0,Offensive rebound by Team,,68-59,,
7:33.0,E. Payton misses 3-pt shot from 22 ft,,68-59,,
7:33.0,,,68-59,,Defensive rebound by D. Sabonis
7:29.0,,,68-61,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:29.0,,,68-61,,Shooting foul by S. Ibaka (drawn by S. Adams)
7:29.0,,,68-62,1,S. Adams makes free throw 1 of 1
7:14.0,S. Ibaka misses 2-pt shot from 14 ft,,68-62,,
7:13.0,,,68-62,,Defensive rebound by S. Adams
7:03.0,,,68-62,,Turnover by D. Sabonis (bad pass; steal by B. Biyombo)
6:54.0,S. Ibaka makes 2-pt shot from 1 ft,2,70-62,,
6:54.0,Shooting foul by D. Sabonis (drawn by S. Ibaka),,70-62,,
6:54.0,S. Ibaka makes free throw 1 of 1,1,71-62,,
6:41.0,,,71-64,2,V. Oladipo makes 2-pt shot from 1 ft
6:29.0,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton),2,73-64,,
6:15.0,Personal foul by E. Payton (drawn by R. Westbrook),,73-64,,
6:15.0,,,73-65,1,R. Westbrook makes free throw 1 of 2
6:15.0,,,73-65,,R. Westbrook misses free throw 2 of 2
6:15.0,Defensive rebound by B. Biyombo,,73-65,,
6:15.0,,,73-65,,E. Kanter enters the game for D. Sabonis
6:02.0,E. Fournier makes 3-pt shot from 23 ft (assist by E. Payton),3,76-65,,
5:45.0,,,76-65,,A. Roberson misses 3-pt shot from 23 ft
5:45.0,,,76-65,,Offensive rebound by Team
5:45.0,Loose ball foul by E. Fournier (drawn by E. Kanter),,76-65,,
5:45.0,,,76-65,,Oklahoma City full timeout
5:45.0,,,76-66,1,E. Kanter makes free throw 1 of 2
5:45.0,,,76-67,1,E. Kanter makes free throw 2 of 2
5:45.0,,,76-65,,A. Abrines enters the game for V. Oladipo
5:26.0,E. Payton makes 2-pt shot from 15 ft,2,78-67,,
5:05.0,,,78-69,2,A. Abrines makes 2-pt shot from 2 ft
4:42.0,B. Biyombo misses 2-pt shot from 5 ft,,78-69,,
4:41.0,,,78-69,,Defensive rebound by E. Kanter
4:37.0,Personal foul by S. Ibaka (drawn by R. Westbrook),,78-69,,
4:37.0,Orlando full timeout,,78-69,,
4:37.0,,,78-70,1,R. Westbrook makes free throw 1 of 2
4:37.0,,,78-71,1,R. Westbrook makes free throw 2 of 2
4:37.0,A. Gordon enters the game for J. Green,,78-69,,
4:29.0,Offensive foul by S. Ibaka,,78-71,,
4:29.0,Turnover by S. Ibaka (offensive foul),,78-71,,
4:11.0,,,78-73,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
3:46.0,Jump ball: S. Adams vs. B. Biyombo (E. Kanter gains possession),,,,Jump ball: S. Adams vs. B. Biyombo (E. Kanter gains possession)
3:46.0,Turnover by B. Biyombo (lost ball; steal by S. Adams),,78-73,,
3:35.0,,,78-76,3,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:09.0,E. Payton misses 3-pt shot from 22 ft,,78-76,,
3:08.0,,,78-76,,Defensive rebound by A. Abrines
3:00.0,,,78-76,,E. Kanter misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by E. Payton,,78-76,,
2:52.0,S. Ibaka misses 2-pt shot from 1 ft (block by E. Kanter),,78-76,,
2:50.0,Offensive rebound by S. Ibaka,,78-76,,
2:48.0,S. Ibaka makes 2-pt shot from 5 ft,2,80-76,,
2:28.0,,,80-76,,E. Kanter misses 2-pt shot from 2 ft
2:27.0,Defensive rebound by B. Biyombo,,80-76,,
2:11.0,E. Fournier misses 3-pt shot from 25 ft,,80-76,,
2:11.0,,,80-76,,Defensive rebound by R. Westbrook
2:06.0,,,80-78,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
1:45.0,E. Payton misses 2-pt shot from 18 ft,,80-78,,
1:45.0,,,80-78,,Defensive rebound by S. Adams
1:37.0,,,80-78,,R. Westbrook misses 3-pt shot from 25 ft
1:36.0,,,80-78,,Offensive rebound by E. Kanter
1:35.0,,,80-80,2,E. Kanter makes 2-pt shot from 2 ft
1:35.0,Orlando full timeout,,80-80,,
1:35.0,D. Augustin enters the game for S. Ibaka,,80-80,,
1:35.0,D. Rudez enters the game for E. Payton,,80-80,,
1:35.0,,,80-80,,V. Oladipo enters the game for A. Roberson
1:35.0,,,80-80,,S. Christon enters the game for R. Westbrook
1:17.0,Turnover by A. Gordon (bad pass),,80-80,,
1:00.0,,,80-80,,V. Oladipo misses 2-pt shot from 1 ft
1:00.0,,,80-80,,Offensive rebound by E. Kanter
0:56.0,,,80-82,2,E. Kanter makes 2-pt shot from 6 ft
0:45.0,D. Rudez misses 3-pt shot from 25 ft,,80-82,,
0:45.0,,,80-82,,Defensive rebound by E. Kanter
0:34.0,,,80-84,2,V. Oladipo makes 2-pt shot from 2 ft
0:22.0,Shooting foul by S. Christon (drawn by D. Augustin),,80-84,,
0:22.0,D. Augustin makes free throw 1 of 2,1,81-84,,
0:22.0,D. Augustin makes free throw 2 of 2,1,82-84,,
0:22.0,,,81-84,,J. Lauvergne enters the game for S. Adams
0:22.0,J. Green enters the game for D. Rudez,,81-84,,
0:00.0,,,82-84,,S. Christon misses 3-pt shot from 23 ft (block by J. Green)
0:00.0,,,82-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,82-84,,Shooting foul by A. Gordon (drawn by J. Grant)
11:47.0,,,82-84,,J. Grant misses free throw 1 of 2
11:47.0,,,82-84,,Offensive rebound by Team
11:47.0,,,82-84,,J. Grant misses free throw 2 of 2
11:46.0,,,82-84,,Offensive rebound by Team
11:39.0,,,82-84,,Offensive foul by E. Kanter
11:39.0,,,82-84,,Turnover by E. Kanter (offensive foul)
11:31.0,,,82-84,,Personal foul by J. Grant (drawn by A. Gordon)
11:18.0,N. Vucevic makes 2-pt shot from 16 ft,2,84-84,,
10:58.0,,,84-84,,A. Abrines misses 3-pt shot from 26 ft
10:57.0,,,84-84,,Offensive rebound by E. Kanter
10:54.0,,,84-84,,E. Kanter misses 2-pt shot from 6 ft
10:54.0,Defensive rebound by N. Vucevic,,84-84,,
10:45.0,D. Augustin makes 2-pt shot from 2 ft,2,86-84,,
10:45.0,,,86-84,,Oklahoma City full timeout
10:35.0,,,86-86,2,E. Kanter makes 2-pt shot from 17 ft (assist by S. Christon)
10:11.0,A. Gordon misses 3-pt shot from 25 ft,,86-86,,
10:11.0,,,86-86,,Defensive rebound by Team
10:00.0,,,86-86,,S. Christon misses 2-pt shot from 2 ft
9:59.0,,,86-86,,Offensive rebound by E. Kanter
9:59.0,,,86-88,2,E. Kanter makes 2-pt shot at rim
9:39.0,D. Augustin misses 3-pt shot from 23 ft,,86-88,,
9:39.0,,,86-88,,Defensive rebound by J. Grant
9:26.0,,,86-90,2,E. Kanter makes 2-pt shot from 1 ft (assist by S. Christon)
9:02.0,A. Gordon makes 2-pt shot from 16 ft,2,88-90,,
8:48.0,,,88-90,,E. Kanter misses 2-pt shot from 17 ft
8:48.0,Defensive rebound by C. Watson,,88-90,,
8:44.0,,,88-90,,Personal foul by E. Kanter (drawn by N. Vucevic)
8:35.0,A. Gordon makes 3-pt shot from 25 ft (assist by N. Vucevic),3,91-90,,
8:16.0,,,91-90,,S. Christon misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by D. Rudez,,91-90,,
8:05.0,D. Augustin makes 3-pt shot from 25 ft,3,94-90,,
7:53.0,,,94-90,,Turnover by J. Lauvergne (bad pass; steal by C. Watson)
7:49.0,D. Augustin makes 2-pt shot from 2 ft (assist by C. Watson),2,96-90,,
7:49.0,,,96-90,,Oklahoma City full timeout
7:49.0,,,96-90,,R. Westbrook enters the game for S. Christon
7:49.0,J. Green enters the game for D. Rudez,,96-90,,
7:49.0,E. Payton enters the game for C. Watson,,96-90,,
7:38.0,,,96-92,2,R. Westbrook makes 2-pt shot from 17 ft
7:20.0,D. Augustin misses 3-pt shot from 24 ft,,96-92,,
7:20.0,,,96-92,,Defensive rebound by R. Westbrook
7:11.0,,,96-95,3,J. Lauvergne makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:58.0,Shooting foul by A. Abrines (drawn by D. Augustin),,96-95,,
6:58.0,D. Augustin makes free throw 1 of 2,1,97-95,,
6:58.0,D. Augustin makes free throw 2 of 2,1,98-95,,
6:58.0,S. Ibaka enters the game for A. Gordon,,97-95,,
6:58.0,,,97-95,,A. Roberson enters the game for A. Abrines
6:58.0,,,97-95,,V. Oladipo enters the game for J. Grant
6:46.0,,,98-98,3,J. Lauvergne makes 3-pt shot from 23 ft (assist by R. Westbrook)
6:29.0,J. Green misses 3-pt shot from 23 ft,,98-98,,
6:28.0,,,98-98,,Defensive rebound by R. Westbrook
6:23.0,,,98-100,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:23.0,Orlando full timeout,,98-100,,
6:23.0,E. Fournier enters the game for D. Augustin,,98-100,,
6:01.0,E. Payton makes 3-pt shot from 23 ft (assist by N. Vucevic),3,101-100,,
5:48.0,,,101-103,3,J. Lauvergne makes 3-pt shot from 24 ft (assist by R. Westbrook)
5:28.0,E. Payton makes 3-pt shot from 22 ft (assist by J. Green),3,104-103,,
5:07.0,,,104-105,2,R. Westbrook makes 2-pt shot from 18 ft
4:50.0,N. Vucevic misses 2-pt shot from 4 ft,,104-105,,
