time,Denver,pts.away,score,pts.home,Phoenix
8:03.0,,,43-28,,E. Bledsoe enters the game for A. Len
8:03.0,,,43-28,,D. Booker enters the game for T. Ulis
8:03.0,,,43-28,,P. Tucker enters the game for L. Barbosa
8:03.0,E. Mudiay enters the game for J. Nelson,,43-28,,
7:55.0,,,43-30,2,B. Knight makes 2-pt shot from 16 ft
7:39.0,N. Jokic misses 2-pt shot from 16 ft,,43-30,,
7:37.0,,,43-30,,Defensive rebound by P. Tucker
7:30.0,,,43-30,,Offensive foul by B. Knight
7:30.0,,,43-30,,Turnover by B. Knight (offensive foul)
7:19.0,M. Beasley misses 3-pt shot from 25 ft,,43-30,,
7:17.0,,,43-30,,Defensive rebound by T. Chandler
7:14.0,,,43-30,,B. Knight misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by N. Jokic,,43-30,,
7:05.0,M. Beasley misses 3-pt shot from 25 ft,,43-30,,
7:03.0,,,43-30,,Defensive rebound by T. Chandler
7:00.0,,,43-30,,Shooting foul by E. Mudiay (drawn by P. Tucker)
7:00.0,,,43-31,1,P. Tucker makes free throw 1 of 2
7:00.0,,,43-32,1,P. Tucker makes free throw 2 of 2
7:00.0,W. Chandler enters the game for M. Beasley,,43-31,,
7:00.0,J. Nurkic enters the game for N. Jokic,,43-31,,
6:43.0,Turnover by A. Gee (traveling),,43-32,,
6:37.0,,,43-32,,Shooting foul by J. Nurkic (drawn by B. Knight)
6:37.0,,,43-32,,B. Knight misses free throw 1 of 2
6:37.0,,,43-32,,Offensive rebound by Team
6:37.0,,,43-33,1,B. Knight makes free throw 2 of 2
6:20.0,,,43-33,,Personal foul by P. Tucker (drawn by K. Faried)
6:20.0,J. Murray enters the game for A. Gee,,43-33,,
6:19.0,,,43-33,,Violation by P. Tucker (kicked ball)
6:08.0,E. Mudiay makes 2-pt shot from 1 ft,2,45-33,,
6:02.0,,,45-33,,E. Bledsoe misses 2-pt shot from 1 ft
5:58.0,,,45-33,,Offensive rebound by P. Tucker
5:58.0,,,45-35,2,P. Tucker makes 2-pt shot from 2 ft
5:40.0,Official timeout,,45-35,,
5:35.0,J. Murray makes 2-pt shot from 9 ft,2,47-35,,
5:20.0,,,47-35,,D. Booker misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by J. Murray,,47-35,,
5:10.0,W. Chandler misses 2-pt shot from 16 ft,,47-35,,
5:09.0,Offensive rebound by J. Nurkic,,47-35,,
5:09.0,J. Nurkic makes 2-pt shot from 1 ft,2,49-35,,
4:46.0,,,49-35,,E. Bledsoe misses 2-pt shot from 2 ft
4:42.0,,,49-35,,Offensive rebound by T. Chandler
4:42.0,,,49-37,2,T. Chandler makes 2-pt shot from 1 ft
4:26.0,E. Mudiay misses 2-pt shot from 15 ft,,49-37,,
4:23.0,,,49-37,,Defensive rebound by E. Bledsoe
4:18.0,,,49-37,,D. Booker misses 2-pt shot from 14 ft
4:17.0,Defensive rebound by J. Nurkic,,49-37,,
4:17.0,Turnover by J. Nurkic (offensive foul),,49-37,,
4:17.0,Offensive charge foul by J. Nurkic,,49-37,,
4:09.0,,,49-37,,Turnover by E. Bledsoe (bad pass; steal by W. Chandler)
4:06.0,W. Chandler misses 2-pt shot from 1 ft (block by E. Bledsoe),,49-37,,
4:06.0,Offensive rebound by Team,,49-37,,
3:40.0,W. Chandler makes 2-pt shot from 1 ft,2,51-37,,
3:35.0,,,51-37,,D. Booker misses 2-pt shot from 4 ft
3:32.0,Defensive rebound by J. Nurkic,,51-37,,
3:32.0,,,51-37,,Personal foul by D. Booker (drawn by W. Chandler)
3:22.0,J. Nurkic makes 2-pt shot from 3 ft (assist by E. Mudiay),2,53-37,,
3:03.0,,,53-37,,Shooting foul by J. Nurkic (drawn by B. Knight)
3:03.0,,,53-38,1,B. Knight makes free throw 1 of 2
3:03.0,,,53-38,,B. Knight misses free throw 2 of 2
3:03.0,N. Jokic enters the game for J. Nurkic,,53-38,,
2:57.0,Defensive rebound by K. Faried,,53-38,,
2:48.0,W. Chandler makes 2-pt shot from 1 ft,2,55-38,,
2:48.0,Shooting foul by D. Booker (drawn by W. Chandler),,55-38,,
2:48.0,Denver full timeout,,55-38,,
2:48.0,W. Chandler makes free throw 1 of 1,1,56-38,,
2:48.0,,,55-38,,M. Chriss enters the game for B. Knight
2:27.0,,,56-38,,Shooting foul by J. Murray (drawn by E. Bledsoe)
2:27.0,,,56-39,1,E. Bledsoe makes free throw 1 of 2
2:27.0,,,56-40,1,E. Bledsoe makes free throw 2 of 2
2:27.0,A. Gee enters the game for J. Murray,,56-39,,
2:12.0,,,56-40,,Personal foul by E. Bledsoe (drawn by W. Chandler)
2:12.0,W. Chandler makes free throw 1 of 2,1,57-40,,
2:12.0,W. Chandler makes free throw 2 of 2,1,58-40,,
2:02.0,,,58-40,,E. Bledsoe misses 2-pt shot from 11 ft
2:00.0,Defensive rebound by N. Jokic,,58-40,,
1:55.0,,,58-40,,Personal foul by D. Booker (drawn by K. Faried)
1:55.0,K. Faried misses free throw 1 of 2,,58-40,,
1:55.0,Offensive rebound by Team,,58-40,,
1:55.0,K. Faried makes free throw 2 of 2,1,59-40,,
1:55.0,,,58-40,,B. Knight enters the game for D. Booker
1:44.0,,,59-42,2,M. Chriss makes 2-pt shot from 19 ft (assist by E. Bledsoe)
1:28.0,,,59-42,,Personal foul by M. Chriss (drawn by W. Chandler)
1:28.0,W. Chandler makes free throw 1 of 2,1,60-42,,
1:28.0,W. Chandler makes free throw 2 of 2,1,61-42,,
1:18.0,,,61-42,,Turnover by B. Knight (lost ball; steal by K. Faried)
1:18.0,,,61-42,,Violation by B. Knight (kicked ball)
1:03.0,E. Mudiay misses 3-pt shot from 25 ft,,61-42,,
1:01.0,,,61-42,,Defensive rebound by T. Chandler
0:57.0,Personal foul by E. Mudiay (drawn by B. Knight),,61-42,,
0:57.0,,,61-42,,B. Knight misses free throw 1 of 2
0:57.0,,,61-42,,Offensive rebound by Team
0:57.0,,,61-43,1,B. Knight makes free throw 2 of 2
0:42.0,N. Jokic makes 2-pt shot from 5 ft,2,63-43,,
0:32.0,,,63-43,,E. Bledsoe misses 2-pt shot from 18 ft
0:29.0,Defensive rebound by W. Chandler,,63-43,,
0:14.0,Turnover by A. Gee (bad pass; steal by P. Tucker),,63-43,,
0:10.0,,,63-43,,B. Knight misses 2-pt shot from 1 ft
0:09.0,,,63-43,,Offensive rebound by Team
0:09.0,M. Beasley enters the game for E. Mudiay,,63-43,,
0:01.0,,,63-43,,B. Knight misses 2-pt shot from 3 ft (block by N. Jokic)
0:00.0,Defensive rebound by N. Jokic,,63-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,W. Chandler misses 3-pt shot from 25 ft,,63-43,,
11:33.0,,,63-43,,Defensive rebound by E. Bledsoe
11:15.0,,,63-43,,D. Booker misses 2-pt shot from 16 ft
11:13.0,Defensive rebound by J. Nurkic,,63-43,,
11:09.0,Turnover by E. Mudiay (lost ball; steal by D. Booker),,63-43,,
11:03.0,,,63-46,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker)
10:49.0,J. Nelson makes 2-pt shot from 16 ft,2,65-46,,
10:45.0,,,65-46,,Shooting foul by J. Nelson (drawn by D. Booker)
10:45.0,,,65-46,,D. Booker misses free throw 1 of 2
10:45.0,,,65-46,,Offensive rebound by Team
10:45.0,,,65-47,1,D. Booker makes free throw 2 of 2
10:25.0,E. Mudiay misses 2-pt shot from 5 ft (block by A. Len),,65-47,,
10:22.0,,,65-47,,Defensive rebound by A. Len
10:19.0,,,65-47,,D. Booker misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by K. Faried,,65-47,,
10:11.0,,,65-47,,Personal foul by E. Bledsoe (drawn by E. Mudiay)
10:00.0,K. Faried misses 2-pt shot from 15 ft,,65-47,,
9:58.0,,,65-47,,Defensive rebound by E. Bledsoe
9:52.0,,,65-47,,Shooting foul by E. Mudiay (drawn by E. Bledsoe)
9:52.0,Denver full timeout,,65-47,,
9:52.0,,,65-48,1,E. Bledsoe makes free throw 1 of 2
9:52.0,,,65-49,1,E. Bledsoe makes free throw 2 of 2
9:41.0,Turnover by J. Nurkic (lost ball; steal by A. Len),,65-49,,
9:36.0,,,65-49,,Turnover by E. Bledsoe (bad pass)
9:19.0,E. Mudiay misses 2-pt shot from 3 ft (block by T. Chandler),,65-49,,
9:17.0,,,65-49,,Defensive rebound by A. Len
9:06.0,,,65-51,2,T. Chandler makes 2-pt shot from 2 ft
9:06.0,,,65-51,,Technical foul by T. Chandler
9:06.0,J. Nelson makes technical free throw,1,66-51,,
8:45.0,Turnover by J. Nelson (traveling),,66-51,,
8:33.0,,,66-53,2,D. Booker makes 2-pt shot from 17 ft
8:19.0,J. Nurkic misses 2-pt shot from 6 ft,,66-53,,
8:17.0,,,66-53,,Defensive rebound by A. Len
8:10.0,,,66-53,,A. Len misses 2-pt shot from 7 ft
8:07.0,Defensive rebound by J. Nurkic,,66-53,,
8:02.0,W. Chandler misses 2-pt shot from 16 ft,,66-53,,
7:58.0,,,66-53,,Defensive rebound by P. Tucker
7:53.0,,,66-55,2,E. Bledsoe makes 2-pt shot from 15 ft
7:52.0,Denver full timeout,,66-55,,
7:52.0,N. Jokic enters the game for K. Faried,,66-55,,
7:52.0,D. Arthur enters the game for J. Nurkic,,66-55,,
7:35.0,W. Chandler makes 2-pt shot from 5 ft,2,68-55,,
7:13.0,,,68-55,,D. Booker misses 2-pt shot from 17 ft
7:11.0,,,68-55,,Offensive rebound by T. Chandler
7:11.0,,,68-57,2,T. Chandler makes 2-pt shot from 1 ft
6:59.0,W. Chandler misses 2-pt shot from 7 ft,,68-57,,
6:56.0,,,68-57,,Defensive rebound by A. Len
6:52.0,,,68-60,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
6:32.0,E. Mudiay misses 2-pt shot from 3 ft (block by T. Chandler),,68-60,,
6:29.0,,,68-60,,Defensive rebound by T. Chandler
6:26.0,,,68-60,,P. Tucker misses 2-pt shot from 1 ft
6:23.0,Defensive rebound by N. Jokic,,68-60,,
6:15.0,J. Nelson makes 3-pt shot from 26 ft (assist by W. Chandler),3,71-60,,
5:58.0,,,71-60,,D. Booker misses 2-pt shot from 15 ft
5:57.0,Defensive rebound by E. Mudiay,,71-60,,
5:53.0,D. Arthur makes 2-pt shot from 2 ft (assist by E. Mudiay),2,73-60,,
5:52.0,,,73-60,,Phoenix full timeout
5:40.0,,,73-60,,T. Chandler misses 2-pt shot from 4 ft
5:38.0,,,73-60,,Offensive rebound by T. Chandler
