time,Orlando,pts.away,score,pts.home,New Orleans
2:17.0,,,92-116,,B. Hield enters the game for S. Hill
2:05.0,C. Watson makes 3-pt shot from 25 ft,3,95-116,,
1:53.0,,,95-116,,Shooting foul by D. Rudez (drawn by D. Motiejunas)
1:53.0,,,95-117,1,D. Motiejunas makes free throw 1 of 3
1:53.0,,,95-118,1,D. Motiejunas makes free throw 2 of 3
1:53.0,,,95-118,,D. Motiejunas misses free throw 3 of 3
1:51.0,Defensive rebound by M. Hezonja,,95-118,,
1:32.0,D. Rudez misses 3-pt shot from 25 ft,,95-118,,
1:30.0,Offensive rebound by C. Watson,,95-118,,
1:26.0,D. Augustin misses 3-pt shot from 26 ft,,95-118,,
1:24.0,,,95-118,,Defensive rebound by B. Hield
1:05.0,,,95-118,,L. Galloway misses 3-pt shot from 27 ft
1:05.0,Defensive rebound by M. Hezonja,,95-118,,
0:58.0,Turnover by J. Green (traveling),,95-118,,
0:49.0,,,95-118,,T. Frazier misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by C. Watson,,95-118,,
0:42.0,C. Watson makes 3-pt shot from 25 ft,3,98-118,,
0:17.0,,,98-118,,B. Hield misses 3-pt shot from 27 ft
0:16.0,,,98-118,,Offensive rebound by L. Galloway
0:00.0,End of 4th quarter,,,,End of 4th quarter
