time,LA Lakers,pts.away,score,pts.home,New Orleans
9:27.0,Jump ball: T. Jones vs. L. Nance (T. Black gains possession),,,,Jump ball: T. Jones vs. L. Nance (T. Black gains possession)
9:07.0,L. Williams makes 2-pt shot from 5 ft (assist by J. Clarkson),2,34-30,,
8:43.0,,,34-32,2,T. Jones makes 2-pt shot from 10 ft (assist by L. Galloway)
8:35.0,L. Williams makes 2-pt shot from 1 ft,2,36-32,,
8:19.0,,,36-34,2,L. Galloway makes 2-pt shot from 4 ft (assist by S. Hill)
8:07.0,L. Williams makes 3-pt shot from 26 ft (assist by B. Ingram),3,39-34,,
7:55.0,,,39-34,,A. Ajinca misses 2-pt shot from 20 ft
7:54.0,,,39-34,,Offensive rebound by L. Galloway
7:46.0,,,39-36,2,L. Galloway makes 2-pt shot from 16 ft
7:28.0,L. Williams misses 2-pt shot from 2 ft,,39-36,,
7:25.0,Offensive rebound by L. Nance,,39-36,,
7:25.0,L. Nance makes 2-pt shot from 4 ft,2,41-36,,
7:20.0,,,41-38,2,A. Ajinca makes 2-pt shot from 17 ft (assist by S. Hill)
7:11.0,J. Clarkson misses 3-pt shot from 26 ft,,41-38,,
7:09.0,,,41-38,,Defensive rebound by L. Galloway
7:00.0,Official timeout,,41-38,,
7:00.0,,,41-38,,A. Davis enters the game for A. Ajinca
7:00.0,,,41-38,,B. Hield enters the game for A. Goodwin
7:00.0,N. Young enters the game for J. Clarkson,,41-38,,
6:57.0,J. Randle enters the game for T. Black,,41-38,,
6:50.0,,,41-38,,A. Davis misses 2-pt shot from 11 ft
6:49.0,Defensive rebound by L. Nance,,41-38,,
6:34.0,L. Williams makes 2-pt shot from 5 ft,2,43-38,,
6:08.0,,,43-38,,S. Hill misses 2-pt shot from 12 ft
6:08.0,,,43-38,,Offensive rebound by T. Jones
6:05.0,,,43-38,,T. Jones misses 2-pt shot from 2 ft
6:04.0,Defensive rebound by L. Nance,,43-38,,
5:56.0,N. Young makes 3-pt shot from 25 ft (assist by L. Williams),3,46-38,,
5:38.0,,,46-38,,B. Hield misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by J. Randle,,46-38,,
5:30.0,L. Williams misses 3-pt shot from 26 ft,,46-38,,
5:28.0,,,46-38,,Defensive rebound by T. Jones
5:28.0,Personal foul by L. Nance (drawn by A. Davis),,46-38,,
