time,Milwaukee,pts.away,score,pts.home,Toronto
7:38.0,,,8-11,,Offensive rebound by Team
7:28.0,,,8-11,,D. DeRozan misses 2-pt shot at rim
7:28.0,Defensive rebound by Team,,8-11,,
7:20.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,10-11,,
7:05.0,,,10-11,,J. Valanciunas misses 2-pt shot from 5 ft
7:04.0,Defensive rebound by K. Middleton,,10-11,,
6:57.0,T. Snell makes 3-pt shot from 27 ft (assist by K. Middleton),3,13-11,,
6:41.0,,,13-13,2,D. Carroll makes 2-pt shot from 3 ft (assist by K. Lowry)
6:32.0,M. Brogdon makes 2-pt shot at rim,2,15-13,,
6:26.0,,,15-13,,Toronto full timeout
6:26.0,,,15-13,,P. Tucker enters the game for J. Valanciunas
6:12.0,,,15-15,2,S. Ibaka makes 2-pt shot at rim
5:51.0,G. Antetokounmpo makes 2-pt shot at rim,2,17-15,,
5:33.0,,,17-15,,S. Ibaka misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by T. Maker,,17-15,,
5:24.0,,,17-15,,Personal foul by P. Tucker
5:24.0,G. Monroe enters the game for T. Maker,,17-15,,
5:13.0,K. Middleton misses 2-pt shot from 10 ft,,17-15,,
5:12.0,,,17-15,,Defensive rebound by S. Ibaka
4:49.0,,,17-15,,K. Lowry misses 3-pt shot from 26 ft
4:49.0,Defensive rebound by G. Monroe,,17-15,,
4:29.0,K. Middleton misses 3-pt shot from 25 ft,,17-15,,
4:27.0,Offensive rebound by Team,,17-15,,
4:24.0,T. Snell makes 3-pt shot from 24 ft (assist by K. Middleton),3,20-15,,
4:06.0,,,20-15,,Offensive foul by S. Ibaka
4:06.0,,,20-15,,Turnover by S. Ibaka (offensive foul)
4:06.0,M. Dellavedova enters the game for M. Brogdon,,20-15,,
4:06.0,,,20-15,,C. Joseph enters the game for K. Lowry
4:06.0,,,20-15,,J. Valanciunas enters the game for D. Carroll
3:49.0,M. Dellavedova makes 2-pt shot from 20 ft,2,22-15,,
3:41.0,,,22-17,2,D. DeRozan makes 2-pt shot from 5 ft
3:41.0,,,22-17,,Shooting foul by T. Snell (drawn by D. DeRozan)
3:41.0,,,22-17,,D. DeRozan misses free throw 1 of 1
3:39.0,Defensive rebound by Team,,22-17,,
3:21.0,Shooting foul by J. Valanciunas (drawn by G. Monroe),,22-17,,
3:21.0,G. Monroe makes free throw 1 of 2,1,23-17,,
3:21.0,G. Monroe makes free throw 2 of 2,1,24-17,,
3:21.0,M. Teletovic enters the game for G. Antetokounmpo,,23-17,,
3:04.0,,,24-19,2,D. DeRozan makes 2-pt shot from 4 ft (assist by C. Joseph)
2:44.0,G. Monroe makes 2-pt shot from 3 ft (assist by K. Middleton),2,26-19,,
2:25.0,Milwaukee full timeout,,26-19,,
2:22.0,,,26-22,3,S. Ibaka makes 3-pt shot from 25 ft (assist by P. Tucker)
1:53.0,T. Snell misses 3-pt shot from 23 ft,,26-22,,
1:53.0,Offensive rebound by G. Monroe,,26-22,,
1:49.0,G. Monroe makes 2-pt shot from 1 ft,2,28-22,,
1:33.0,,,28-22,,P. Tucker misses 2-pt shot from 13 ft
1:33.0,,,28-22,,Offensive rebound by Team
1:33.0,Loose ball foul by M. Teletovic (drawn by J. Valanciunas),,28-22,,
1:33.0,,,28-22,,P. Patterson enters the game for S. Ibaka
1:28.0,,,28-22,,Offensive charge foul by C. Joseph
1:28.0,,,28-22,,Turnover by C. Joseph (offensive foul)
1:17.0,K. Middleton makes 2-pt shot at rim (assist by G. Monroe),2,30-22,,
0:52.0,,,30-22,,C. Joseph misses 2-pt shot from 4 ft
0:52.0,Defensive rebound by Team,,30-22,,
0:38.0,M. Teletovic misses 3-pt shot from 24 ft,,30-22,,
0:37.0,,,30-22,,Defensive rebound by J. Valanciunas
0:30.0,,,30-22,,C. Joseph misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by G. Monroe,,30-22,,
0:07.0,G. Monroe misses 2-pt shot from 15 ft,,30-22,,
0:07.0,,,30-22,,Defensive rebound by J. Valanciunas
0:00.0,,,30-22,,D. DeRozan misses 3-pt shot from 30 ft
0:00.0,,,30-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,M. Teletovic misses 2-pt shot from 22 ft,,30-22,,
11:39.0,,,30-22,,Defensive rebound by P. Tucker
11:22.0,,,30-22,,P. Tucker misses 2-pt shot from 22 ft
11:21.0,Defensive rebound by J. Terry,,30-22,,
11:18.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Terry),2,32-22,,
11:18.0,Shooting foul by K. Lowry (drawn by G. Antetokounmpo),,32-22,,
11:18.0,G. Antetokounmpo misses free throw 1 of 1,,32-22,,
11:17.0,,,32-22,,Defensive rebound by P. Tucker
11:02.0,,,32-25,3,C. Joseph makes 3-pt shot from 23 ft (assist by K. Lowry)
10:40.0,J. Terry misses 2-pt shot from 17 ft,,32-25,,
10:39.0,,,32-25,,Defensive rebound by J. Valanciunas
10:30.0,,,32-27,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by P. Patterson)
10:30.0,,,32-27,,Shooting foul by M. Teletovic (drawn by J. Valanciunas)
10:30.0,,,32-28,1,J. Valanciunas makes free throw 1 of 1
10:13.0,G. Antetokounmpo makes 2-pt shot from 18 ft,2,34-28,,
9:54.0,,,34-31,3,P. Patterson makes 3-pt shot from 23 ft (assist by C. Joseph)
9:36.0,Turnover by G. Monroe (lost ball; steal by K. Lowry),,34-31,,
9:15.0,,,34-33,2,J. Valanciunas makes 2-pt shot from 6 ft
9:15.0,Milwaukee full timeout,,34-33,,
9:15.0,M. Beasley enters the game for M. Teletovic,,34-33,,
9:04.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,34-33,,
9:03.0,,,34-33,,Defensive rebound by J. Valanciunas
8:52.0,,,34-33,,Turnover by Team (back court)
8:31.0,M. Dellavedova misses 2-pt shot from 19 ft,,34-33,,
8:31.0,Offensive rebound by G. Monroe,,34-33,,
8:27.0,G. Monroe misses 2-pt shot from 4 ft,,34-33,,
8:27.0,,,34-33,,Defensive rebound by J. Valanciunas
8:19.0,,,34-33,,J. Valanciunas misses 2-pt shot from 2 ft
8:19.0,Defensive rebound by G. Monroe,,34-33,,
8:03.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Beasley),2,36-33,,
7:48.0,Personal foul by G. Monroe (drawn by K. Lowry),,36-33,,
7:48.0,,,36-33,,D. DeRozan enters the game for K. Lowry
7:48.0,,,36-33,,S. Ibaka enters the game for J. Valanciunas
7:41.0,,,36-35,2,P. Tucker makes 2-pt shot from 4 ft (assist by C. Joseph)
7:19.0,G. Monroe misses 2-pt shot from 4 ft (block by S. Ibaka),,36-35,,
7:18.0,,,36-35,,Defensive rebound by D. DeRozan
7:11.0,,,36-35,,D. DeRozan misses 2-pt shot from 2 ft
7:11.0,,,36-35,,Offensive rebound by S. Ibaka
7:09.0,,,36-35,,S. Ibaka misses 2-pt shot from 2 ft
7:08.0,,,36-35,,Offensive rebound by Team
7:06.0,,,36-35,,Shooting foul by T. Snell (drawn by D. DeRozan)
7:06.0,,,36-36,1,D. DeRozan makes free throw 1 of 2
7:06.0,,,36-37,1,D. DeRozan makes free throw 2 of 2
7:06.0,K. Middleton enters the game for J. Terry,,36-35,,
7:06.0,T. Snell enters the game for M. Dellavedova,,36-35,,
6:54.0,,,36-37,,Personal foul by D. DeRozan (drawn by K. Middleton)
6:54.0,S. Hawes enters the game for G. Monroe,,36-37,,
6:54.0,,,36-37,,D. Carroll enters the game for P. Tucker
6:54.0,M. Brogdon enters the game for T. Snell,,36-37,,
6:49.0,K. Middleton misses 2-pt shot from 19 ft,,36-37,,
6:48.0,,,36-37,,Defensive rebound by P. Patterson
6:38.0,,,36-39,2,D. DeRozan makes 2-pt shot from 2 ft
6:27.0,G. Antetokounmpo makes 2-pt shot at rim,2,38-39,,
6:10.0,,,38-39,,Turnover by P. Patterson (bad pass)
5:50.0,M. Brogdon makes 2-pt shot from 19 ft,2,40-39,,
5:43.0,,,40-41,2,S. Ibaka makes 2-pt shot at rim (assist by D. DeRozan)
5:25.0,,,40-41,,Personal foul by D. Carroll (drawn by G. Antetokounmpo)
5:25.0,Official timeout,,40-41,,
5:25.0,,,40-41,,K. Lowry enters the game for C. Joseph
5:25.0,M. Dellavedova enters the game for M. Beasley,,40-41,,
5:12.0,M. Brogdon misses 2-pt shot from 1 ft,,40-41,,
5:11.0,Offensive rebound by S. Hawes,,40-41,,
5:10.0,S. Hawes misses 2-pt shot from 2 ft (block by D. Carroll),,40-41,,
5:10.0,,,40-41,,Defensive rebound by D. DeRozan
4:52.0,,,40-41,,P. Patterson misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by G. Antetokounmpo,,40-41,,
4:32.0,S. Hawes makes 3-pt shot from 27 ft (assist by G. Antetokounmpo),3,43-41,,
4:03.0,,,43-41,,K. Lowry misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by S. Hawes,,43-41,,
3:40.0,M. Brogdon misses 2-pt shot from 17 ft,,43-41,,
3:40.0,,,43-41,,Defensive rebound by P. Patterson
3:25.0,,,43-43,2,D. Carroll makes 2-pt shot at rim (assist by K. Lowry)
3:08.0,,,43-43,,Personal foul by K. Lowry (drawn by S. Hawes)
3:08.0,,,43-43,,C. Joseph enters the game for K. Lowry
3:08.0,,,43-43,,P. Tucker enters the game for P. Patterson
3:00.0,K. Middleton misses 2-pt shot from 5 ft,,43-43,,
2:59.0,,,43-43,,Defensive rebound by S. Ibaka
2:48.0,,,43-43,,Shooting foul by G. Antetokounmpo (drawn by D. DeRozan)
2:48.0,,,43-43,,Toronto full timeout
2:48.0,,,43-44,1,D. DeRozan makes free throw 1 of 2
2:48.0,,,43-45,1,D. DeRozan makes free throw 2 of 2
2:31.0,Turnover by M. Dellavedova (bad pass),,43-45,,
2:13.0,,,43-45,,D. DeRozan misses 2-pt shot from 14 ft
2:13.0,Defensive rebound by K. Middleton,,43-45,,
1:51.0,K. Middleton misses 2-pt shot from 19 ft,,43-45,,
1:51.0,,,43-45,,Defensive rebound by D. Carroll
1:42.0,,,43-47,2,D. DeRozan makes 2-pt shot from 4 ft
1:25.0,M. Brogdon makes 3-pt shot from 27 ft (assist by G. Antetokounmpo),3,46-47,,
1:06.0,Personal foul by M. Brogdon (drawn by D. DeRozan),,46-47,,
1:06.0,,,46-48,1,D. DeRozan makes free throw 1 of 2
1:06.0,,,46-49,1,D. DeRozan makes free throw 2 of 2
0:49.0,S. Hawes misses 2-pt shot from 4 ft,,46-49,,
0:48.0,,,46-49,,Defensive rebound by S. Ibaka
0:34.0,,,46-51,2,S. Ibaka makes 2-pt shot from 4 ft (assist by C. Joseph)
0:12.0,M. Brogdon misses 2-pt shot from 12 ft,,46-51,,
0:11.0,,,46-51,,Defensive rebound by S. Ibaka
0:01.0,,,46-51,,D. DeRozan misses 2-pt shot from 18 ft
0:00.0,,,46-51,,Offensive rebound by P. Tucker
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Middleton misses 2-pt shot from 16 ft,,46-51,,
11:42.0,,,46-51,,Defensive rebound by S. Ibaka
11:25.0,,,46-51,,Shooting foul by T. Maker (drawn by J. Valanciunas)
11:25.0,,,46-52,1,J. Valanciunas makes free throw 1 of 2
11:25.0,,,46-53,1,J. Valanciunas makes free throw 2 of 2
11:11.0,T. Snell misses 2-pt shot from 20 ft,,46-53,,
11:11.0,Offensive rebound by M. Brogdon,,46-53,,
11:03.0,T. Snell misses 3-pt shot from 26 ft,,46-53,,
11:02.0,,,46-53,,Defensive rebound by D. DeRozan
10:52.0,Personal foul by K. Middleton (drawn by D. Carroll),,46-53,,
10:37.0,,,46-53,,K. Lowry misses 2-pt shot from 4 ft (block by T. Maker)
10:36.0,Defensive rebound by M. Brogdon,,46-53,,
10:30.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Brogdon),2,48-53,,
10:08.0,,,48-53,,D. DeRozan misses 2-pt shot from 3 ft
10:08.0,Defensive rebound by M. Brogdon,,48-53,,
10:02.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,50-53,,
9:33.0,,,50-53,,S. Ibaka misses 3-pt shot from 26 ft
9:32.0,Defensive rebound by T. Snell,,50-53,,
9:24.0,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,53-53,,
9:24.0,,,53-53,,Toronto full timeout
9:03.0,,,53-53,,Shooting foul by G. Antetokounmpo (drawn by J. Valanciunas)
9:03.0,,,53-54,1,J. Valanciunas makes free throw 1 of 2
9:03.0,,,53-55,1,J. Valanciunas makes free throw 2 of 2
8:44.0,T. Maker makes 2-pt shot from 15 ft (assist by T. Snell),2,55-55,,
8:29.0,,,55-55,,Turnover by D. DeRozan (bad pass; steal by T. Maker)
8:16.0,M. Brogdon makes 3-pt shot from 26 ft (assist by K. Middleton),3,58-55,,
7:59.0,,,58-55,,Shooting foul by T. Maker (drawn by D. DeRozan)
7:59.0,,,58-56,1,D. DeRozan makes free throw 1 of 2
7:59.0,,,58-57,1,D. DeRozan makes free throw 2 of 2
7:50.0,,,58-57,,Personal foul by D. Carroll (drawn by G. Antetokounmpo)
7:40.0,,,58-57,,Personal block foul by D. DeRozan (drawn by T. Snell)
7:24.0,M. Brogdon misses 3-pt shot from 35 ft,,58-57,,
7:24.0,,,58-57,,Defensive rebound by D. Carroll
7:16.0,,,58-57,,D. DeRozan misses 2-pt shot from 1 ft (block by T. Maker)
7:15.0,Defensive rebound by T. Snell,,58-57,,
7:14.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,60-57,,
7:14.0,Shooting foul by J. Valanciunas (drawn by G. Antetokounmpo),,60-57,,
7:14.0,G. Antetokounmpo makes free throw 1 of 1,1,61-57,,
7:14.0,,,60-57,,P. Tucker enters the game for J. Valanciunas
6:48.0,,,61-59,2,K. Lowry makes 2-pt shot from 20 ft
6:26.0,Offensive charge foul by G. Antetokounmpo,,61-59,,
6:26.0,Turnover by G. Antetokounmpo (offensive foul),,61-59,,
6:26.0,,,61-59,,C. Joseph enters the game for D. Carroll
6:16.0,,,61-61,2,D. DeRozan makes 2-pt shot at rim
5:58.0,Turnover by M. Brogdon (bad pass; steal by K. Lowry),,61-61,,
5:48.0,,,61-61,,D. DeRozan misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by G. Antetokounmpo,,61-61,,
5:43.0,M. Brogdon makes 3-pt shot from 24 ft (assist by T. Snell),3,64-61,,
5:27.0,,,64-61,,K. Lowry misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by G. Antetokounmpo,,64-61,,
5:19.0,T. Snell misses 3-pt shot from 24 ft,,64-61,,
5:18.0,,,64-61,,Defensive rebound by S. Ibaka
5:10.0,,,64-61,,S. Ibaka misses 3-pt shot from 27 ft
5:10.0,,,64-61,,Offensive rebound by K. Lowry
5:06.0,,,64-64,3,P. Tucker makes 3-pt shot from 23 ft (assist by K. Lowry)
5:06.0,Milwaukee full timeout,,64-64,,
5:06.0,G. Monroe enters the game for K. Middleton,,64-64,,
5:06.0,M. Dellavedova enters the game for T. Maker,,64-64,,
4:50.0,G. Monroe misses 2-pt shot from 4 ft,,64-64,,
4:49.0,,,64-64,,Defensive rebound by S. Ibaka
4:33.0,,,64-64,,D. DeRozan misses 2-pt shot from 18 ft
4:33.0,,,64-64,,Offensive rebound by Team
4:33.0,Loose ball foul by G. Antetokounmpo,,64-64,,
4:33.0,,,64-65,1,P. Tucker makes free throw 1 of 2
4:33.0,,,64-66,1,P. Tucker makes free throw 2 of 2
4:33.0,K. Middleton enters the game for G. Antetokounmpo,,64-65,,
4:16.0,K. Middleton misses 2-pt shot from 16 ft,,64-66,,
4:16.0,,,64-66,,Defensive rebound by D. DeRozan
4:08.0,,,64-66,,Shooting foul by G. Monroe (drawn by D. DeRozan)
4:08.0,,,64-67,1,D. DeRozan makes free throw 1 of 2
4:08.0,,,64-68,1,D. DeRozan makes free throw 2 of 2
3:49.0,Shooting foul by D. DeRozan (drawn by M. Dellavedova),,64-68,,
3:49.0,M. Dellavedova makes free throw 1 of 2,1,65-68,,
3:49.0,M. Dellavedova makes free throw 2 of 2,1,66-68,,
3:35.0,,,66-68,,K. Lowry misses 3-pt shot from 27 ft
3:35.0,Defensive rebound by T. Snell,,66-68,,
3:26.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,68-68,,
3:04.0,,,68-68,,S. Ibaka misses 2-pt shot from 8 ft
3:03.0,Defensive rebound by G. Monroe,,68-68,,
2:46.0,M. Dellavedova makes 3-pt shot from 28 ft (assist by M. Brogdon),3,71-68,,
2:45.0,,,71-68,,Toronto full timeout
2:45.0,,,71-68,,P. Patterson enters the game for S. Ibaka
2:45.0,,,71-68,,J. Valanciunas enters the game for K. Lowry
2:22.0,,,71-68,,D. DeRozan misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by G. Monroe,,71-68,,
1:57.0,G. Monroe misses 2-pt shot from 5 ft,,71-68,,
1:56.0,,,71-68,,Defensive rebound by J. Valanciunas
1:49.0,Shooting block foul by T. Snell (drawn by D. DeRozan),,71-68,,
1:49.0,,,71-69,1,D. DeRozan makes free throw 1 of 2
1:49.0,,,71-70,1,D. DeRozan makes free throw 2 of 2
1:34.0,M. Brogdon misses 3-pt shot from 24 ft,,71-70,,
1:34.0,,,71-70,,Defensive rebound by P. Patterson
1:26.0,,,71-70,,C. Joseph misses 2-pt shot from 21 ft
1:25.0,Defensive rebound by G. Monroe,,71-70,,
1:15.0,M. Dellavedova misses 2-pt shot from 7 ft,,71-70,,
1:14.0,Offensive rebound by G. Monroe,,71-70,,
1:07.0,T. Snell misses 3-pt shot from 27 ft,,71-70,,
1:06.0,,,71-70,,Defensive rebound by J. Valanciunas
0:57.0,,,71-70,,Turnover by J. Valanciunas (bad pass; steal by K. Middleton)
0:52.0,T. Snell makes 2-pt shot at rim (assist by K. Middleton),2,73-70,,
0:35.0,,,73-70,,P. Patterson misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by M. Brogdon,,73-70,,
0:15.0,Shooting foul by C. Joseph (drawn by K. Middleton),,73-70,,
0:15.0,K. Middleton makes free throw 1 of 2,1,74-70,,
0:15.0,K. Middleton makes free throw 2 of 2,1,75-70,,
0:01.0,,,75-70,,P. Tucker misses 3-pt shot from 26 ft (block by M. Brogdon)
0:01.0,,,75-70,,Offensive rebound by P. Tucker
0:00.0,,,75-70,,P. Tucker misses 3-pt shot from 25 ft
0:00.0,,,75-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,75-70,,J. Valanciunas misses 2-pt shot from 6 ft
11:45.0,Defensive rebound by Team,,75-70,,
11:45.0,,,75-70,,Loose ball foul by J. Valanciunas (drawn by G. Monroe)
11:28.0,K. Middleton misses 2-pt shot from 16 ft,,75-70,,
11:27.0,,,75-70,,Defensive rebound by J. Valanciunas
11:14.0,,,75-70,,Offensive charge foul by D. Carroll
11:14.0,,,75-70,,Turnover by D. Carroll (offensive foul)
11:01.0,G. Monroe makes 2-pt shot from 2 ft (assist by J. Terry),2,77-70,,
10:47.0,,,77-70,,Shooting foul by K. Middleton (drawn by J. Valanciunas)
10:47.0,,,77-70,,J. Valanciunas misses free throw 1 of 2
10:47.0,,,77-70,,Offensive rebound by Team
10:47.0,,,77-70,,J. Valanciunas misses free throw 2 of 2
10:46.0,Defensive rebound by G. Monroe,,77-70,,
10:23.0,M. Dellavedova misses 3-pt shot from 27 ft,,77-70,,
10:23.0,,,77-70,,Defensive rebound by D. Carroll
10:15.0,,,77-70,,Shooting foul by K. Middleton (drawn by D. Carroll)
10:15.0,,,77-70,,D. Carroll misses free throw 1 of 3
10:15.0,,,77-70,,Offensive rebound by Team
10:15.0,,,77-70,,D. Carroll misses free throw 2 of 3
10:15.0,,,77-70,,Offensive rebound by Team
10:15.0,,,77-71,1,D. Carroll makes free throw 3 of 3
10:01.0,M. Dellavedova makes 2-pt shot from 7 ft,2,79-71,,
9:50.0,,,79-71,,Turnover by C. Joseph (bad pass; steal by G. Antetokounmpo)
9:49.0,,,79-71,,Personal block foul by K. Lowry (drawn by G. Antetokounmpo)
9:49.0,,,79-71,,S. Ibaka enters the game for J. Valanciunas
9:33.0,K. Middleton makes 2-pt shot from 17 ft,2,81-71,,
9:05.0,,,81-71,,C. Joseph misses 2-pt shot from 18 ft
9:04.0,Defensive rebound by G. Monroe,,81-71,,
8:56.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,81-71,,
8:56.0,,,81-71,,Defensive rebound by D. Carroll
8:49.0,,,81-71,,Turnover by K. Lowry (lost ball; steal by G. Monroe)
8:47.0,Shooting foul by S. Ibaka (drawn by G. Monroe),,81-71,,
8:47.0,Official timeout,,81-71,,
8:47.0,G. Monroe makes free throw 1 of 2,1,82-71,,
8:47.0,G. Monroe makes free throw 2 of 2,1,83-71,,
8:47.0,,,81-71,,D. DeRozan enters the game for D. Carroll
8:47.0,,,81-71,,P. Tucker enters the game for P. Patterson
8:47.0,M. Brogdon enters the game for J. Terry,,82-71,,
8:35.0,,,83-71,,K. Lowry misses 3-pt shot from 27 ft
8:35.0,Defensive rebound by M. Dellavedova,,83-71,,
8:13.0,K. Middleton makes 2-pt shot from 15 ft,2,85-71,,
7:49.0,,,85-73,2,S. Ibaka makes 2-pt shot from 19 ft (assist by C. Joseph)
7:29.0,K. Middleton misses 2-pt shot from 18 ft,,85-73,,
7:28.0,,,85-73,,Defensive rebound by S. Ibaka
7:20.0,Personal block foul by G. Monroe (drawn by D. DeRozan),,85-73,,
7:09.0,,,85-73,,Turnover by C. Joseph (bad pass; steal by G. Antetokounmpo)
6:55.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,85-73,,
6:55.0,,,85-73,,Defensive rebound by K. Lowry
6:49.0,Violation by K. Middleton (kicked ball),,85-73,,
6:39.0,,,85-73,,S. Ibaka misses 2-pt shot from 22 ft
6:39.0,Defensive rebound by M. Brogdon,,85-73,,
6:17.0,K. Middleton misses 2-pt shot from 4 ft (block by S. Ibaka),,85-73,,
6:16.0,,,85-73,,Defensive rebound by S. Ibaka
6:10.0,,,85-75,2,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry)
5:45.0,,,85-75,,Violation by S. Ibaka (def goaltending)
5:45.0,G. Antetokounmpo makes 2-pt shot from 12 ft,2,87-75,,
5:45.0,Shooting foul by P. Tucker (drawn by G. Antetokounmpo),,87-75,,
5:45.0,,,87-75,,Toronto full timeout
5:45.0,G. Antetokounmpo misses free throw 1 of 1,,87-75,,
5:45.0,,,87-75,,N. Powell enters the game for C. Joseph
5:44.0,,,87-75,,Defensive rebound by S. Ibaka
5:24.0,,,87-75,,D. DeRozan misses 2-pt shot from 24 ft
5:24.0,Defensive rebound by G. Antetokounmpo,,87-75,,
5:05.0,M. Dellavedova misses 2-pt shot from 6 ft,,87-75,,
5:04.0,Offensive rebound by G. Monroe,,87-75,,
5:03.0,G. Monroe misses 2-pt shot from 2 ft,,87-75,,
5:03.0,,,87-75,,Defensive rebound by D. DeRozan
4:52.0,,,87-75,,K. Lowry misses 2-pt shot from 3 ft
4:52.0,Defensive rebound by G. Monroe,,87-75,,
4:38.0,M. Brogdon misses 2-pt shot from 5 ft,,87-75,,
4:38.0,Offensive rebound by G. Monroe,,87-75,,
4:19.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Monroe),2,89-75,,
4:09.0,Personal foul by M. Brogdon (drawn by D. DeRozan),,89-75,,
3:55.0,,,89-75,,P. Tucker misses 3-pt shot from 24 ft
3:54.0,,,89-75,,Offensive rebound by S. Ibaka
3:49.0,,,89-75,,K. Lowry misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by G. Antetokounmpo,,89-75,,
3:33.0,M. Dellavedova misses 2-pt shot from 9 ft,,89-75,,
3:33.0,,,89-75,,Defensive rebound by Team
3:33.0,Loose ball foul by G. Monroe (drawn by S. Ibaka),,89-75,,
3:33.0,,,89-75,,S. Ibaka misses free throw 1 of 2
3:33.0,,,89-75,,Offensive rebound by Team
3:33.0,,,89-76,1,S. Ibaka makes free throw 2 of 2
3:16.0,G. Monroe makes 2-pt shot from 2 ft,2,91-76,,
3:01.0,,,91-76,,N. Powell misses 2-pt shot from 15 ft
3:01.0,Defensive rebound by G. Monroe,,91-76,,
2:38.0,G. Antetokounmpo makes 2-pt shot from 12 ft,2,93-76,,
2:38.0,,,93-76,,Toronto full timeout
2:19.0,,,93-76,,Turnover by N. Powell (bad pass)
