time,San Antonio,pts.away,score,pts.home,Denver
2:55.0,,,25-27,,Offensive rebound by N. Jokic
2:50.0,,,25-27,,Turnover by W. Chandler (traveling)
2:50.0,San Antonio full timeout,,25-27,,
2:50.0,,,25-27,,J. Nurkic enters the game for G. Harris
2:50.0,,,25-27,,W. Barton enters the game for N. Jokic
2:29.0,P. Mills misses 3-pt shot from 26 ft,,25-27,,
2:26.0,Offensive rebound by L. Aldridge,,25-27,,
2:26.0,L. Aldridge misses 2-pt shot from 1 ft,,25-27,,
2:24.0,,,25-27,,Defensive rebound by W. Chandler
2:05.0,,,25-27,,D. Gallinari misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by M. Ginobili,,25-27,,
1:51.0,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills),2,27-27,,
1:27.0,,,27-29,2,J. Nurkic makes 2-pt shot from 7 ft (assist by W. Chandler)
1:16.0,P. Mills misses 2-pt shot from 20 ft,,27-29,,
1:15.0,,,27-29,,Defensive rebound by J. Nurkic
1:04.0,,,27-31,2,D. Gallinari makes 2-pt shot from 2 ft (assist by J. Nelson)
0:43.0,M. Ginobili misses 3-pt shot from 24 ft,,27-31,,
0:43.0,,,27-31,,Defensive rebound by J. Nurkic
0:33.0,,,27-31,,W. Chandler misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by L. Aldridge,,27-31,,
0:27.0,Turnover by J. Simmons (bad pass; steal by W. Barton),,27-31,,
0:24.0,,,27-33,2,W. Barton makes 2-pt shot at rim
0:07.0,,,27-33,,Personal take foul by W. Barton (drawn by M. Ginobili)
0:07.0,,,27-33,,J. Murray enters the game for D. Gallinari
0:07.0,K. Leonard enters the game for J. Simmons,,27-33,,
0:01.0,K. Leonard makes 2-pt shot from 12 ft,2,29-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-33,,W. Barton misses 2-pt shot from 3 ft
11:44.0,Defensive rebound by D. Lee,,29-33,,
11:26.0,M. Ginobili makes 3-pt shot from 24 ft,3,32-33,,
11:16.0,,,32-35,2,J. Nurkic makes 2-pt shot from 4 ft (assist by W. Barton)
10:59.0,P. Gasol makes 2-pt shot from 22 ft (assist by M. Ginobili),2,34-35,,
10:48.0,,,34-35,,J. Nelson misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by M. Ginobili,,34-35,,
10:38.0,Turnover by D. Lee (bad pass; steal by W. Barton),,34-35,,
10:37.0,Personal foul by M. Ginobili (drawn by W. Chandler),,34-35,,
10:27.0,Personal foul by J. Simmons (drawn by W. Barton),,34-35,,
10:27.0,K. Leonard enters the game for M. Ginobili,,34-35,,
10:27.0,D. Green enters the game for J. Simmons,,34-35,,
10:18.0,,,34-35,,W. Barton misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by D. Lee,,34-35,,
10:09.0,P. Mills makes 3-pt shot from 27 ft (assist by D. Lee),3,37-35,,
10:09.0,,,37-35,,Denver full timeout
9:55.0,,,37-35,,Shooting foul by P. Gasol (drawn by J. Nurkic)
9:55.0,,,37-35,,J. Nurkic misses free throw 1 of 2
9:55.0,,,37-35,,Offensive rebound by Team
9:55.0,,,37-36,1,J. Nurkic makes free throw 2 of 2
9:36.0,D. Green misses 3-pt shot from 26 ft,,37-36,,
9:34.0,Offensive rebound by D. Green,,37-36,,
9:29.0,Turnover by D. Green (bad pass; steal by J. Nelson),,37-36,,
9:17.0,,,37-39,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Barton)
9:02.0,P. Mills misses 2-pt shot from 22 ft,,37-39,,
9:00.0,,,37-39,,Defensive rebound by W. Barton
8:53.0,,,37-39,,Turnover by J. Nurkic (traveling)
8:38.0,,,37-39,,Personal foul by J. Nelson (drawn by K. Leonard)
8:30.0,K. Leonard misses 2-pt shot from 16 ft,,37-39,,
8:29.0,,,37-39,,Defensive rebound by W. Chandler
8:10.0,,,37-39,,W. Chandler misses 2-pt shot from 6 ft
8:07.0,Defensive rebound by P. Gasol,,37-39,,
7:44.0,P. Mills misses 3-pt shot from 24 ft,,37-39,,
7:42.0,,,37-39,,Defensive rebound by W. Chandler
7:32.0,,,37-39,,J. Nelson misses 2-pt shot from 3 ft (block by D. Lee)
7:30.0,Defensive rebound by D. Green,,37-39,,
7:12.0,P. Gasol makes 2-pt shot from 6 ft,2,39-39,,
7:05.0,,,39-41,2,J. Murray makes 2-pt shot from 2 ft (assist by J. Nelson)
7:05.0,,,39-41,,Shooting foul by P. Gasol (drawn by J. Murray)
7:05.0,,,39-42,1,J. Murray makes free throw 1 of 1
7:05.0,,,39-41,,D. Arthur enters the game for W. Chandler
7:05.0,T. Parker enters the game for P. Mills,,39-41,,
6:41.0,D. Green misses 2-pt shot from 5 ft,,39-42,,
6:40.0,Offensive rebound by D. Lee,,39-42,,
6:40.0,D. Lee misses 2-pt shot from 2 ft,,39-42,,
6:39.0,Offensive rebound by D. Lee,,39-42,,
6:28.0,T. Parker makes 2-pt shot from 4 ft,2,41-42,,
6:16.0,,,41-42,,J. Nurkic misses 2-pt shot from 4 ft
6:12.0,,,41-42,,Offensive rebound by J. Murray
6:08.0,,,41-42,,J. Murray misses 2-pt shot from 6 ft
6:07.0,Defensive rebound by D. Lee,,41-42,,
5:57.0,P. Gasol makes 2-pt shot from 3 ft (assist by T. Parker),2,43-42,,
5:57.0,Shooting foul by J. Nurkic (drawn by P. Gasol),,43-42,,
5:57.0,P. Gasol makes free throw 1 of 1,1,44-42,,
5:57.0,L. Aldridge enters the game for D. Green,,43-42,,
5:57.0,K. Anderson enters the game for D. Lee,,43-42,,
5:57.0,,,43-42,,E. Mudiay enters the game for J. Nelson
5:57.0,,,43-42,,D. Gallinari enters the game for J. Nurkic
5:57.0,,,43-42,,N. Jokic enters the game for W. Barton
5:40.0,,,44-44,2,J. Murray makes 2-pt shot from 3 ft (assist by N. Jokic)
5:21.0,Turnover by T. Parker (bad pass; steal by N. Jokic),,44-44,,
5:15.0,,,44-44,,J. Murray misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by P. Gasol,,44-44,,
4:55.0,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Anderson),2,46-44,,
4:41.0,,,46-44,,D. Arthur misses 2-pt shot from 19 ft
4:40.0,Defensive rebound by L. Aldridge,,46-44,,
4:21.0,K. Leonard misses 2-pt shot from 2 ft,,46-44,,
4:20.0,,,46-44,,Defensive rebound by N. Jokic
4:02.0,,,46-44,,D. Arthur misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by P. Gasol,,46-44,,
3:53.0,T. Parker misses 2-pt shot from 16 ft,,46-44,,
3:52.0,,,46-44,,Defensive rebound by D. Gallinari
3:44.0,,,46-44,,D. Gallinari misses 2-pt shot from 3 ft (block by P. Gasol)
3:43.0,Defensive rebound by K. Leonard,,46-44,,
3:34.0,P. Gasol makes 2-pt shot from 22 ft (assist by K. Leonard),2,48-44,,
3:34.0,,,48-44,,Denver full timeout
3:34.0,M. Ginobili enters the game for K. Anderson,,48-44,,
3:34.0,,,48-44,,G. Harris enters the game for J. Murray
3:20.0,,,48-44,,E. Mudiay misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by Team,,48-44,,
3:07.0,M. Ginobili misses 2-pt shot from 2 ft,,48-44,,
3:07.0,,,48-44,,Defensive rebound by N. Jokic
3:04.0,,,48-44,,G. Harris misses 2-pt shot from 4 ft (block by K. Leonard)
3:04.0,Defensive rebound by Team,,48-44,,
3:04.0,,,48-44,,W. Chandler enters the game for D. Arthur
3:00.0,Jump ball: G. Harris vs. K. Leonard (L. Aldridge gains possession),,,,Jump ball: G. Harris vs. K. Leonard (L. Aldridge gains possession)
2:46.0,Turnover by K. Leonard (bad pass; steal by G. Harris),,48-44,,
2:43.0,,,48-47,3,D. Gallinari makes 3-pt shot from 25 ft (assist by G. Harris)
2:43.0,San Antonio full timeout,,48-47,,
2:18.0,L. Aldridge makes 3-pt shot from 24 ft (assist by M. Ginobili),3,51-47,,
2:03.0,,,51-47,,G. Harris misses 2-pt shot from 2 ft
2:03.0,,,51-47,,Offensive rebound by N. Jokic
1:58.0,,,51-49,2,N. Jokic makes 2-pt shot from 2 ft
1:36.0,L. Aldridge makes 2-pt shot from 9 ft,2,53-49,,
1:23.0,,,53-49,,D. Gallinari misses 2-pt shot at rim (block by P. Gasol)
1:21.0,Defensive rebound by T. Parker,,53-49,,
1:04.0,K. Leonard makes 3-pt shot from 25 ft (assist by M. Ginobili),3,56-49,,
0:53.0,,,56-51,2,N. Jokic makes 2-pt shot from 2 ft
0:37.0,T. Parker makes 2-pt shot from 2 ft,2,58-51,,
0:26.0,,,58-51,,D. Gallinari misses 2-pt shot from 2 ft
0:25.0,,,58-51,,Offensive rebound by N. Jokic
0:19.0,,,58-51,,G. Harris misses 3-pt shot from 25 ft
0:18.0,,,58-51,,Offensive rebound by G. Harris
0:02.0,,,58-53,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
0:01.0,M. Ginobili misses 3-pt shot from 50 ft,,58-53,,
0:00.0,Offensive rebound by Team,,58-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,58-53,,G. Harris misses 2-pt shot from 3 ft (block by L. Aldridge)
11:37.0,Defensive rebound by D. Green,,58-53,,
11:31.0,D. Green misses 3-pt shot from 25 ft,,58-53,,
11:30.0,,,58-53,,Defensive rebound by N. Jokic
11:26.0,,,58-53,,Turnover by N. Jokic (bad pass; steal by D. Green)
11:20.0,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker),3,61-53,,
11:03.0,,,61-53,,D. Gallinari misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by T. Parker,,61-53,,
10:56.0,T. Parker makes 2-pt shot from 2 ft,2,63-53,,
10:44.0,,,63-55,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
10:37.0,San Antonio full timeout,,63-55,,
10:23.0,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge),3,66-55,,
10:00.0,,,66-55,,G. Harris misses 2-pt shot from 3 ft
10:00.0,Defensive rebound by K. Leonard,,66-55,,
9:46.0,K. Leonard misses 2-pt shot from 18 ft,,66-55,,
9:44.0,,,66-55,,Defensive rebound by E. Mudiay
9:37.0,,,66-55,,Turnover by E. Mudiay (lost ball)
9:24.0,K. Leonard makes 2-pt shot from 4 ft,2,68-55,,
9:24.0,,,68-55,,Denver full timeout
9:19.0,,,68-55,,Shooting foul by K. Leonard (drawn by D. Gallinari)
9:19.0,,,68-56,1,D. Gallinari makes free throw 1 of 2
9:19.0,,,68-57,1,D. Gallinari makes free throw 2 of 2
9:00.0,L. Aldridge misses 2-pt shot from 5 ft,,68-57,,
9:00.0,,,68-57,,Defensive rebound by Team
8:45.0,,,68-57,,Shooting foul by T. Parker (drawn by G. Harris)
8:45.0,,,68-58,1,G. Harris makes free throw 1 of 2
8:45.0,,,68-58,,G. Harris misses free throw 2 of 2
8:44.0,Defensive rebound by P. Gasol,,68-58,,
8:22.0,K. Leonard misses 3-pt shot from 25 ft,,68-58,,
8:22.0,,,68-58,,Defensive rebound by D. Arthur
8:14.0,,,68-58,,G. Harris misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by T. Parker,,68-58,,
8:04.0,T. Parker makes 2-pt shot from 11 ft,2,70-58,,
7:51.0,,,70-58,,E. Mudiay misses 3-pt shot from 25 ft
7:50.0,,,70-58,,Offensive rebound by D. Arthur
7:37.0,,,70-61,3,D. Arthur makes 3-pt shot from 24 ft (assist by E. Mudiay)
7:13.0,K. Leonard misses 2-pt shot from 21 ft,,70-61,,
7:12.0,,,70-61,,Defensive rebound by D. Arthur
7:04.0,,,70-61,,E. Mudiay misses 2-pt shot from 10 ft (block by D. Green)
7:02.0,Defensive rebound by D. Green,,70-61,,
6:58.0,D. Green misses 3-pt shot from 26 ft,,70-61,,
6:57.0,,,70-61,,Defensive rebound by Team
6:57.0,Loose ball foul by L. Aldridge (drawn by D. Arthur),,70-61,,
6:36.0,,,70-61,,D. Gallinari misses 2-pt shot from 22 ft
6:35.0,Defensive rebound by D. Green,,70-61,,
6:30.0,,,70-61,,Personal foul by D. Arthur (drawn by T. Parker)
6:20.0,T. Parker makes 2-pt shot from 20 ft,2,72-61,,
6:01.0,,,72-61,,D. Gallinari misses 2-pt shot from 9 ft
6:00.0,Defensive rebound by K. Leonard,,72-61,,
5:52.0,T. Parker makes 2-pt shot from 16 ft (assist by D. Green),2,74-61,,
5:52.0,,,74-61,,Denver full timeout
5:52.0,,,74-61,,W. Chandler enters the game for D. Arthur
5:34.0,,,74-61,,Turnover by N. Jokic (traveling)
5:18.0,L. Aldridge makes 2-pt shot from 4 ft (assist by P. Gasol),2,76-61,,
5:18.0,Shooting foul by N. Jokic (drawn by L. Aldridge),,76-61,,
5:18.0,L. Aldridge makes free throw 1 of 1,1,77-61,,
5:04.0,,,77-63,2,W. Chandler makes 2-pt shot from 18 ft (assist by D. Gallinari)
4:40.0,L. Aldridge makes 2-pt shot from 14 ft (assist by T. Parker),2,79-63,,
4:30.0,,,79-63,,Turnover by N. Jokic (lost ball; steal by L. Aldridge)
4:23.0,Shooting foul by W. Chandler (drawn by L. Aldridge),,79-63,,
4:23.0,L. Aldridge makes free throw 1 of 2,1,80-63,,
4:23.0,L. Aldridge makes free throw 2 of 2,1,81-63,,
4:23.0,,,80-63,,J. Nelson enters the game for G. Harris
4:23.0,,,80-63,,W. Barton enters the game for E. Mudiay
4:23.0,M. Ginobili enters the game for P. Gasol,,80-63,,
4:23.0,D. Dedmon enters the game for K. Leonard,,80-63,,
4:03.0,,,81-65,2,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson)
3:50.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,83-65,,
3:38.0,,,83-65,,N. Jokic misses 2-pt shot from 5 ft
3:37.0,,,83-65,,Offensive rebound by N. Jokic
3:34.0,,,83-67,2,N. Jokic makes 2-pt shot from 4 ft
3:21.0,Turnover by L. Aldridge (bad pass; steal by J. Nelson),,83-67,,
3:16.0,,,83-67,,J. Nelson misses 2-pt shot from 3 ft (block by M. Ginobili)
3:14.0,Defensive rebound by M. Ginobili,,83-67,,
3:09.0,D. Green misses 3-pt shot from 24 ft,,83-67,,
3:08.0,,,83-67,,Defensive rebound by D. Gallinari
3:03.0,,,83-69,2,D. Gallinari makes 2-pt shot from 2 ft
3:03.0,,,83-69,,Technical foul by D. Gallinari
3:03.0,L. Aldridge misses technical free throw,,83-69,,
3:03.0,Offensive rebound by Team,,83-69,,
3:03.0,P. Mills enters the game for T. Parker,,83-69,,
2:43.0,L. Aldridge makes 2-pt shot from 7 ft (assist by P. Mills),2,85-69,,
2:32.0,,,85-72,3,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic)
2:19.0,L. Aldridge misses 2-pt shot from 20 ft,,85-72,,
2:17.0,,,85-72,,Defensive rebound by W. Chandler
2:05.0,,,85-72,,W. Chandler misses 3-pt shot from 25 ft
2:04.0,,,85-72,,Offensive rebound by Team
2:04.0,Loose ball foul by D. Dedmon (drawn by N. Jokic),,85-72,,
2:04.0,K. Leonard enters the game for D. Green,,85-72,,
2:04.0,,,85-72,,J. Nurkic enters the game for D. Gallinari
2:04.0,,,85-72,,J. Murray enters the game for N. Jokic
1:50.0,,,85-72,,W. Chandler misses 2-pt shot from 8 ft
1:49.0,Defensive rebound by K. Leonard,,85-72,,
1:36.0,K. Leonard misses 2-pt shot from 2 ft,,85-72,,
1:35.0,Offensive rebound by D. Dedmon,,85-72,,
1:34.0,D. Dedmon misses 2-pt shot from 4 ft,,85-72,,
1:33.0,,,85-72,,Defensive rebound by Team
1:33.0,P. Gasol enters the game for L. Aldridge,,85-72,,
1:33.0,K. Anderson enters the game for D. Dedmon,,85-72,,
1:16.0,,,85-72,,W. Barton misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by P. Gasol,,85-72,,
1:00.0,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Leonard),3,88-72,,
0:50.0,,,88-72,,J. Nelson misses 2-pt shot from 20 ft
0:49.0,Defensive rebound by K. Leonard,,88-72,,
0:43.0,K. Leonard makes 2-pt shot from 2 ft,2,90-72,,
0:32.0,,,90-72,,J. Murray misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by P. Gasol,,90-72,,
0:29.0,Turnover by P. Gasol (bad pass; steal by W. Barton),,90-72,,
0:27.0,,,90-74,2,W. Barton makes 2-pt shot from 1 ft
0:27.0,,,90-74,,Shooting foul by P. Gasol (drawn by W. Barton)
0:27.0,,,90-75,1,W. Barton makes free throw 1 of 1
0:08.0,K. Leonard misses 2-pt shot from 2 ft (block by W. Chandler),,90-75,,
0:07.0,,,90-75,,Defensive rebound by J. Nurkic
0:06.0,Personal block foul by M. Ginobili (drawn by W. Barton),,90-75,,
0:06.0,,,90-76,1,W. Barton makes free throw 1 of 2
0:06.0,,,90-77,1,W. Barton makes free throw 2 of 2
0:06.0,L. Aldridge enters the game for K. Anderson,,90-75,,
0:06.0,D. Bertans enters the game for P. Gasol,,90-76,,
0:01.0,M. Ginobili misses 2-pt shot from 19 ft,,90-77,,
0:01.0,,,90-77,,Defensive rebound by J. Nurkic
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,90-77,,Personal foul by J. Nurkic (drawn by K. Leonard)
11:36.0,K. Leonard makes 2-pt shot from 15 ft,2,92-77,,
11:18.0,Personal block foul by M. Ginobili (drawn by J. Murray),,92-77,,
11:08.0,,,92-77,,W. Barton misses 2-pt shot from 2 ft (block by P. Gasol)
11:07.0,Defensive rebound by P. Mills,,92-77,,
11:06.0,Shooting foul by J. Nelson (drawn by K. Leonard),,92-77,,
11:06.0,K. Leonard makes free throw 1 of 2,1,93-77,,
11:06.0,K. Leonard misses free throw 2 of 2,,93-77,,
11:04.0,,,93-77,,Defensive rebound by J. Nurkic
10:49.0,,,93-77,,Turnover by W. Barton (bad pass; steal by M. Ginobili)
10:41.0,,,93-77,,Violation by J. Nurkic (kicked ball)
10:36.0,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Gasol),3,96-77,,
10:36.0,,,96-77,,Denver full timeout
10:36.0,,,96-77,,G. Harris enters the game for W. Barton
10:20.0,,,96-77,,W. Chandler misses 3-pt shot from 25 ft
10:17.0,,,96-77,,Offensive rebound by J. Murray
9:58.0,,,96-79,2,W. Chandler makes 2-pt shot from 6 ft
9:44.0,M. Ginobili misses 2-pt shot from 12 ft,,96-79,,
9:43.0,,,96-79,,Defensive rebound by W. Chandler
9:36.0,,,96-79,,Offensive charge foul by G. Harris
9:36.0,,,96-79,,Turnover by G. Harris (offensive foul)
9:13.0,P. Mills makes 2-pt shot from 2 ft (assist by P. Gasol),2,98-79,,
8:59.0,,,98-82,3,G. Harris makes 3-pt shot from 26 ft (assist by J. Nelson)
8:44.0,K. Leonard makes 2-pt shot from 18 ft (assist by P. Mills),2,100-82,,
8:28.0,,,100-82,,G. Harris misses 3-pt shot from 25 ft
8:27.0,,,100-82,,Offensive rebound by W. Chandler
8:27.0,,,100-84,2,W. Chandler makes 2-pt shot from 2 ft
8:27.0,San Antonio full timeout,,100-84,,
8:27.0,L. Aldridge enters the game for J. Simmons,,100-84,,
8:27.0,D. Green enters the game for M. Ginobili,,100-84,,
8:12.0,K. Leonard misses 2-pt shot from 21 ft,,100-84,,
8:11.0,,,100-84,,Defensive rebound by W. Chandler
7:56.0,,,100-86,2,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Chandler)
7:31.0,P. Gasol makes 3-pt shot from 24 ft (assist by K. Leonard),3,103-86,,
7:17.0,,,103-86,,J. Murray misses 2-pt shot from 20 ft
7:15.0,Defensive rebound by L. Aldridge,,103-86,,
7:08.0,L. Aldridge misses 2-pt shot from 15 ft,,103-86,,
7:07.0,Offensive rebound by K. Leonard,,103-86,,
7:06.0,Shooting foul by W. Chandler (drawn by K. Leonard),,103-86,,
7:06.0,K. Leonard makes free throw 1 of 2,1,104-86,,
7:06.0,K. Leonard makes free throw 2 of 2,1,105-86,,
6:58.0,,,105-86,,Turnover by J. Nelson (bad pass; steal by P. Mills)
6:58.0,,,105-86,,Personal foul by J. Nurkic
6:41.0,P. Gasol makes 2-pt shot from 5 ft,2,107-86,,
6:25.0,,,107-86,,G. Harris misses 2-pt shot from 3 ft
6:25.0,Defensive rebound by P. Gasol,,107-86,,
6:25.0,,,107-86,,Loose ball foul by J. Nurkic (drawn by P. Gasol)
6:25.0,P. Gasol makes free throw 1 of 2,1,108-86,,
6:25.0,P. Gasol misses free throw 2 of 2,,108-86,,
6:25.0,,,108-86,,E. Mudiay enters the game for W. Chandler
6:25.0,,,108-86,,D. Arthur enters the game for J. Nelson
6:25.0,,,108-86,,N. Jokic enters the game for J. Nurkic
6:25.0,D. Murray enters the game for P. Mills,,108-86,,
6:24.0,,,108-86,,Defensive rebound by N. Jokic
6:14.0,,,108-88,2,D. Arthur makes 2-pt shot from 2 ft (assist by E. Mudiay)
5:58.0,P. Gasol misses 2-pt shot from 4 ft (block by D. Arthur),,108-88,,
5:55.0,Offensive rebound by Team,,108-88,,
5:50.0,L. Aldridge misses 2-pt shot from 18 ft,,108-88,,
5:50.0,Offensive rebound by Team,,108-88,,
5:50.0,Turnover by Team (shot clock),,108-88,,
5:38.0,,,108-90,2,N. Jokic makes 2-pt shot from 18 ft (assist by E. Mudiay)
5:25.0,K. Leonard makes 2-pt shot at rim (assist by D. Murray),2,110-90,,
5:06.0,,,110-92,2,E. Mudiay makes 2-pt shot from 3 ft (assist by G. Harris)
4:50.0,D. Murray makes 2-pt shot from 6 ft (assist by K. Leonard),2,112-92,,
4:41.0,,,112-92,,D. Arthur misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by P. Gasol,,112-92,,
4:28.0,Shooting foul by N. Jokic (drawn by L. Aldridge),,112-92,,
4:28.0,L. Aldridge makes free throw 1 of 2,1,113-92,,
4:28.0,L. Aldridge makes free throw 2 of 2,1,114-92,,
4:28.0,D. Bertans enters the game for P. Gasol,,113-92,,
4:28.0,K. Anderson enters the game for D. Green,,113-92,,
4:28.0,,,113-92,,A. Gee enters the game for G. Harris
4:11.0,,,114-92,,J. Murray misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by D. Bertans,,114-92,,
4:08.0,San Antonio full timeout,,114-92,,
4:08.0,D. Dedmon enters the game for K. Leonard,,114-92,,
4:08.0,J. Simmons enters the game for L. Aldridge,,114-92,,
4:08.0,,,114-92,,J. Nurkic enters the game for D. Arthur
4:08.0,,,114-92,,M. Miller enters the game for N. Jokic
3:51.0,K. Anderson misses 2-pt shot from 15 ft,,114-92,,
3:49.0,,,114-92,,Defensive rebound by M. Miller
3:41.0,,,114-94,2,E. Mudiay makes 2-pt shot from 6 ft (assist by M. Miller)
3:28.0,D. Dedmon makes 2-pt shot at rim (assist by D. Murray),2,116-94,,
3:09.0,,,116-94,,A. Gee misses 2-pt shot from 9 ft
3:09.0,,,116-94,,Offensive rebound by J. Nurkic
3:01.0,,,116-94,,E. Mudiay misses 2-pt shot from 12 ft
3:01.0,Defensive rebound by K. Anderson,,116-94,,
2:51.0,K. Anderson makes 2-pt shot from 2 ft,2,118-94,,
