time,Chicago,pts.away,score,pts.home,Atlanta
5:01.0,,,18-18,,Defensive rebound by D. Schroder
4:52.0,,,18-18,,D. Schroder misses 2-pt shot from 4 ft
4:51.0,Defensive rebound by Team,,18-18,,
4:51.0,D. McDermott enters the game for D. Wade,,18-18,,
4:28.0,I. Canaan misses 2-pt shot from 11 ft,,18-18,,
4:28.0,Offensive rebound by Team,,18-18,,
4:28.0,,,18-18,,T. Sefolosha enters the game for K. Bazemore
4:28.0,,,18-18,,T. Hardaway enters the game for K. Korver
4:14.0,T. Gibson misses 2-pt shot from 17 ft,,18-18,,
4:13.0,,,18-18,,Defensive rebound by D. Schroder
4:02.0,,,18-18,,M. Muscala misses 3-pt shot from 22 ft
4:00.0,Defensive rebound by R. Lopez,,18-18,,
3:56.0,,,18-18,,Personal foul by T. Hardaway (drawn by T. Gibson)
3:56.0,N. Mirotic enters the game for T. Gibson,,18-18,,
3:37.0,N. Mirotic misses 3-pt shot from 24 ft,,18-18,,
3:36.0,Offensive rebound by Team,,18-18,,
3:36.0,,,18-18,,M. Delaney enters the game for D. Schroder
3:24.0,J. Butler makes 2-pt shot from 19 ft,2,20-18,,
3:06.0,,,20-18,,M. Delaney misses 3-pt shot from 25 ft
3:05.0,,,20-18,,Offensive rebound by M. Muscala
3:02.0,,,20-20,2,M. Delaney makes 2-pt shot from 6 ft (assist by M. Muscala)
2:45.0,Turnover by N. Mirotic (bad pass; steal by T. Sefolosha),,20-20,,
2:39.0,,,20-20,,T. Hardaway misses 2-pt shot from 2 ft
2:39.0,,,20-20,,Offensive rebound by T. Sefolosha
2:39.0,,,20-22,2,T. Sefolosha makes 2-pt shot from 1 ft
2:39.0,Chicago full timeout,,20-22,,
2:39.0,,,20-22,,P. Millsap enters the game for D. Howard
2:29.0,B. Portis enters the game for R. Lopez,,20-22,,
2:20.0,J. Butler makes 2-pt shot from 5 ft,2,22-22,,
1:57.0,,,22-22,,P. Millsap misses 2-pt shot from 9 ft
1:56.0,,,22-22,,Offensive rebound by M. Muscala
1:56.0,,,22-24,2,M. Muscala makes 2-pt shot at rim
1:41.0,Shooting foul by M. Muscala (drawn by N. Mirotic),,22-24,,
1:41.0,N. Mirotic makes free throw 1 of 2,1,23-24,,
1:41.0,N. Mirotic makes free throw 2 of 2,1,24-24,,
1:41.0,D. Wade enters the game for J. Butler,,23-24,,
1:41.0,,,23-24,,K. Humphries enters the game for M. Muscala
1:23.0,,,24-26,2,T. Sefolosha makes 2-pt shot from 2 ft
1:14.0,Turnover by N. Mirotic (bad pass; steal by T. Sefolosha),,24-26,,
1:10.0,,,24-28,2,T. Sefolosha makes 2-pt shot at rim
0:57.0,I. Canaan misses 2-pt shot from 20 ft,,24-28,,
0:56.0,,,24-28,,Defensive rebound by T. Hardaway
0:45.0,,,24-30,2,T. Sefolosha makes 2-pt shot from 19 ft (assist by T. Hardaway)
0:38.0,D. Wade makes 3-pt shot from 25 ft,3,27-30,,
0:27.0,,,27-33,3,P. Millsap makes 3-pt shot from 25 ft (assist by M. Delaney)
0:08.0,Turnover by D. Wade (bad pass; steal by P. Millsap),,27-33,,
0:04.0,,,27-33,,K. Korver enters the game for K. Humphries
0:00.0,,,27-35,2,M. Delaney makes 2-pt shot from 3 ft (assist by P. Millsap)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,D. McDermott makes 2-pt shot from 19 ft (assist by B. Portis),2,29-35,,
11:24.0,,,29-35,,Shooting foul by B. Portis (drawn by T. Sefolosha)
11:24.0,,,29-36,1,T. Sefolosha makes free throw 1 of 2
11:24.0,,,29-37,1,T. Sefolosha makes free throw 2 of 2
11:00.0,Turnover by D. Wade (dbl dribble),,29-37,,
11:00.0,,,29-37,,K. Korver enters the game for T. Hardaway
10:48.0,Personal foul by B. Portis (drawn by P. Millsap),,29-37,,
10:48.0,T. Gibson enters the game for B. Portis,,29-37,,
10:40.0,,,29-40,3,T. Sefolosha makes 3-pt shot from 24 ft
10:28.0,D. McDermott misses 2-pt shot from 17 ft,,29-40,,
10:26.0,,,29-40,,Defensive rebound by P. Millsap
10:20.0,,,29-40,,Turnover by T. Sefolosha (lost ball; steal by D. Wade)
10:15.0,D. Wade makes 2-pt shot from 1 ft,2,31-40,,
10:00.0,,,31-43,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by P. Millsap)
9:50.0,N. Mirotic misses 3-pt shot from 25 ft,,31-43,,
9:49.0,,,31-43,,Defensive rebound by K. Korver
9:39.0,,,31-45,2,T. Sefolosha makes 2-pt shot from 18 ft
9:38.0,Chicago full timeout,,31-45,,
9:38.0,J. Butler enters the game for N. Mirotic,,31-45,,
9:26.0,D. Wade makes 2-pt shot from 3 ft,2,33-45,,
9:16.0,,,33-47,2,K. Korver makes 2-pt shot from 2 ft (assist by P. Millsap)
9:16.0,,,33-47,,Shooting foul by T. Gibson (drawn by K. Korver)
9:16.0,,,33-48,1,K. Korver makes free throw 1 of 1
9:12.0,Turnover by R. Rondo (back court),,33-48,,
8:57.0,,,33-50,2,P. Millsap makes 2-pt shot from 11 ft
8:31.0,Turnover by D. Wade (lost ball),,33-50,,
8:16.0,,,33-50,,Turnover by P. Millsap (bad pass; steal by J. Butler)
8:14.0,D. Wade makes 2-pt shot from 1 ft,2,35-50,,
8:14.0,Shooting foul by K. Korver (drawn by D. Wade),,35-50,,
8:14.0,D. Wade makes free throw 1 of 1,1,36-50,,
8:03.0,,,36-52,2,K. Korver makes 2-pt shot from 19 ft (assist by T. Sefolosha)
7:51.0,D. Wade makes 2-pt shot from 19 ft,2,38-52,,
7:51.0,Shooting foul by P. Millsap (drawn by D. Wade),,38-52,,
7:51.0,D. Wade misses free throw 1 of 1,,38-52,,
7:51.0,,,38-52,,D. Schroder enters the game for P. Millsap
7:51.0,,,38-52,,D. Howard enters the game for M. Delaney
7:51.0,,,38-52,,K. Bazemore enters the game for K. Humphries
7:51.0,R. Lopez enters the game for D. McDermott,,38-52,,
7:51.0,,,38-52,,M. Muscala enters the game for T. Sefolosha
7:49.0,,,38-52,,Defensive rebound by M. Muscala
7:39.0,,,38-54,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
7:25.0,J. Butler makes 2-pt shot from 10 ft,2,40-54,,
7:25.0,Shooting foul by K. Korver (drawn by J. Butler),,40-54,,
7:25.0,J. Butler makes free throw 1 of 1,1,41-54,,
7:17.0,,,41-57,3,K. Korver makes 3-pt shot from 27 ft (assist by K. Bazemore)
6:53.0,R. Rondo makes 3-pt shot from 24 ft (assist by J. Butler),3,44-57,,
6:39.0,,,44-59,2,M. Muscala makes 2-pt shot from 11 ft (assist by D. Schroder)
6:25.0,Shooting foul by K. Bazemore (drawn by J. Butler),,44-59,,
6:25.0,J. Butler makes free throw 1 of 2,1,45-59,,
6:25.0,J. Butler misses free throw 2 of 2,,45-59,,
6:22.0,,,45-59,,Defensive rebound by D. Howard
6:08.0,,,45-59,,K. Bazemore misses 2-pt shot from 18 ft
6:05.0,Defensive rebound by J. Butler,,45-59,,
5:59.0,T. Gibson misses 2-pt shot from 18 ft,,45-59,,
5:58.0,,,45-59,,Defensive rebound by D. Howard
5:50.0,,,45-61,2,M. Muscala makes 2-pt shot at rim (assist by K. Bazemore)
5:31.0,J. Butler makes 2-pt shot from 18 ft,2,47-61,,
5:08.0,,,47-61,,Turnover by M. Muscala (bad pass; steal by D. Wade)
5:01.0,R. Rondo makes 2-pt shot from 2 ft,2,49-61,,
5:00.0,,,49-61,,Atlanta full timeout
5:00.0,I. Canaan enters the game for D. Wade,,49-61,,
4:48.0,,,49-64,3,M. Muscala makes 3-pt shot from 24 ft (assist by K. Korver)
4:26.0,R. Rondo misses 2-pt shot from 20 ft,,49-64,,
4:25.0,Offensive rebound by Team,,49-64,,
4:25.0,,,49-64,,T. Sefolosha enters the game for K. Korver
4:16.0,Turnover by J. Butler (bad pass; steal by D. Howard),,49-64,,
4:12.0,,,49-64,,Turnover by D. Howard (bad pass; steal by J. Butler)
3:57.0,T. Gibson misses 2-pt shot from 5 ft (block by D. Howard),,49-64,,
3:56.0,,,49-64,,Defensive rebound by D. Schroder
3:52.0,,,49-64,,Offensive charge foul by D. Schroder
3:52.0,,,49-64,,Turnover by D. Schroder (offensive foul)
3:52.0,Technical foul by T. Gibson,,49-64,,
3:52.0,,,49-64,,D. Schroder misses technical free throw
3:52.0,Offensive rebound by Team,,49-64,,
3:40.0,J. Butler misses 2-pt shot from 1 ft (block by D. Howard),,49-64,,
3:40.0,Offensive rebound by Team,,49-64,,
3:34.0,J. Butler makes 3-pt shot from 23 ft (assist by R. Rondo),3,52-64,,
3:13.0,,,52-64,,M. Muscala misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by I. Canaan,,52-64,,
3:09.0,Turnover by I. Canaan (bad pass; steal by K. Bazemore),,52-64,,
3:04.0,,,52-64,,K. Bazemore misses 3-pt shot from 25 ft
3:02.0,,,52-64,,Offensive rebound by D. Howard
2:59.0,,,52-64,,D. Schroder misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by J. Butler,,52-64,,
2:53.0,,,52-64,,Personal foul by D. Howard (drawn by J. Butler)
2:53.0,Official timeout,,52-64,,
2:53.0,J. Butler makes free throw 1 of 2,1,53-64,,
2:53.0,J. Butler misses free throw 2 of 2,,53-64,,
2:53.0,,,52-64,,T. Hardaway enters the game for K. Bazemore
2:53.0,,,52-64,,P. Millsap enters the game for M. Muscala
2:51.0,Offensive rebound by T. Gibson,,53-64,,
2:49.0,T. Gibson misses 2-pt shot at rim,,53-64,,
2:48.0,,,53-64,,Defensive rebound by P. Millsap
2:38.0,,,53-64,,Offensive foul by D. Howard
2:38.0,,,53-64,,Turnover by D. Howard (offensive foul)
2:24.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Butler),2,55-64,,
2:05.0,,,55-64,,Shooting foul by J. Butler (drawn by D. Schroder)
2:05.0,,,55-65,1,D. Schroder makes free throw 1 of 2
2:05.0,,,55-66,1,D. Schroder makes free throw 2 of 2
2:05.0,D. Wade enters the game for I. Canaan,,55-65,,
1:46.0,D. Wade misses 3-pt shot from 24 ft,,55-66,,
1:46.0,,,55-66,,Defensive rebound by Team
1:35.0,,,55-66,,P. Millsap misses 2-pt shot from 2 ft (block by T. Gibson)
1:33.0,Defensive rebound by R. Rondo,,55-66,,
1:26.0,Shooting foul by D. Howard (drawn by J. Butler),,55-66,,
1:26.0,J. Butler makes free throw 1 of 2,1,56-66,,
1:26.0,J. Butler misses free throw 2 of 2,,56-66,,
1:26.0,,,56-66,,M. Muscala enters the game for D. Howard
1:26.0,N. Mirotic enters the game for R. Lopez,,56-66,,
1:25.0,,,56-66,,Defensive rebound by Team
1:13.0,,,56-66,,Turnover by D. Schroder (lost ball; steal by R. Rondo)
1:07.0,T. Gibson misses 2-pt shot at rim,,56-66,,
1:06.0,Offensive rebound by R. Rondo,,56-66,,
1:06.0,Offensive charge foul by R. Rondo,,56-66,,
1:06.0,Turnover by R. Rondo (offensive foul),,56-66,,
0:55.0,,,56-68,2,T. Hardaway makes 2-pt shot from 17 ft
0:42.0,T. Gibson makes 2-pt shot at rim (assist by N. Mirotic),2,58-68,,
0:30.0,,,58-68,,P. Millsap misses 2-pt shot from 9 ft
0:27.0,Defensive rebound by J. Butler,,58-68,,
0:24.0,J. Butler makes 3-pt shot from 24 ft,3,61-68,,
0:00.0,,,61-68,,Turnover by T. Sefolosha (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,R. Lopez makes 2-pt shot from 11 ft (assist by R. Rondo),2,63-68,,
11:26.0,,,63-70,2,P. Millsap makes 2-pt shot from 13 ft (assist by K. Bazemore)
11:05.0,,,63-70,,Personal foul by P. Millsap (drawn by R. Lopez)
10:58.0,,,63-70,,Personal foul by K. Bazemore (drawn by J. Butler)
10:48.0,R. Lopez misses 2-pt shot from 16 ft,,63-70,,
10:47.0,,,63-70,,Defensive rebound by K. Korver
10:41.0,,,63-70,,Shooting foul by R. Lopez (drawn by D. Howard)
10:41.0,,,63-70,,D. Howard misses free throw 1 of 2
10:41.0,,,63-70,,Offensive rebound by Team
10:41.0,,,63-71,1,D. Howard makes free throw 2 of 2
10:27.0,J. Butler makes 2-pt shot from 15 ft (assist by D. Wade),2,65-71,,
10:14.0,,,65-73,2,D. Schroder makes 2-pt shot from 12 ft (assist by K. Bazemore)
9:57.0,D. Wade misses 2-pt shot at rim,,65-73,,
9:57.0,Offensive rebound by D. Wade,,65-73,,
9:57.0,Shooting foul by P. Millsap (drawn by D. Wade),,65-73,,
9:57.0,D. Wade makes free throw 1 of 2,1,66-73,,
9:57.0,D. Wade makes free throw 2 of 2,1,67-73,,
9:42.0,,,67-73,,Turnover by P. Millsap (bad pass; steal by T. Gibson)
9:39.0,Shooting foul by K. Bazemore (drawn by J. Butler),,67-73,,
9:39.0,,,67-73,,Technical foul by K. Bazemore (drawn by J. Butler)
9:39.0,J. Butler makes technical free throw,1,68-73,,
9:39.0,J. Butler makes free throw 1 of 2,1,69-73,,
9:39.0,J. Butler makes free throw 2 of 2,1,70-73,,
9:27.0,,,70-73,,D. Schroder misses 2-pt shot from 10 ft
9:25.0,,,70-73,,Offensive rebound by Team
9:25.0,,,70-73,,Atlanta full timeout
9:25.0,,,70-73,,Turnover by P. Millsap (bad pass)
9:13.0,J. Butler misses 2-pt shot at rim,,70-73,,
9:09.0,Offensive rebound by T. Gibson,,70-73,,
9:09.0,T. Gibson makes 2-pt shot from 1 ft,2,72-73,,
9:00.0,,,72-73,,K. Korver misses 2-pt shot from 20 ft
8:56.0,,,72-73,,Offensive rebound by D. Howard
8:56.0,,,72-73,,D. Howard misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by R. Lopez,,72-73,,
8:51.0,D. Wade makes 2-pt shot from 22 ft (assist by R. Rondo),2,74-73,,
8:40.0,,,74-75,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Bazemore)
8:40.0,,,74-75,,Shooting foul by R. Lopez (drawn by D. Howard)
8:40.0,,,74-76,1,D. Howard makes free throw 1 of 1
8:40.0,,,74-75,,T. Sefolosha enters the game for K. Bazemore
8:26.0,T. Gibson misses 2-pt shot from 1 ft,,74-76,,
8:26.0,,,74-76,,Defensive rebound by Team
8:15.0,,,74-76,,Turnover by D. Schroder (bad pass; steal by J. Butler)
8:09.0,D. Wade misses 3-pt shot from 25 ft,,74-76,,
8:05.0,,,74-76,,Defensive rebound by D. Schroder
8:01.0,,,74-76,,Turnover by T. Sefolosha (bad pass; steal by D. Wade)
7:49.0,D. Wade makes 2-pt shot from 3 ft (assist by J. Butler),2,76-76,,
7:32.0,Personal foul by R. Rondo (drawn by D. Howard),,76-76,,
7:26.0,,,76-76,,Turnover by K. Korver (bad pass)
7:10.0,J. Butler makes 2-pt shot from 21 ft,2,78-76,,
6:55.0,,,78-76,,P. Millsap misses 2-pt shot from 6 ft (block by T. Gibson)
6:53.0,Defensive rebound by T. Gibson,,78-76,,
6:50.0,D. Wade misses 3-pt shot from 26 ft,,78-76,,
6:48.0,,,78-76,,Defensive rebound by P. Millsap
6:31.0,,,78-76,,D. Schroder misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by R. Rondo,,78-76,,
6:12.0,T. Gibson misses 2-pt shot from 8 ft,,78-76,,
6:09.0,,,78-76,,Defensive rebound by T. Sefolosha
6:01.0,,,78-76,,D. Howard misses 2-pt shot from 2 ft
5:59.0,,,78-76,,Offensive rebound by D. Howard
5:59.0,,,78-78,2,D. Howard makes 2-pt shot from 1 ft
5:54.0,Chicago full timeout,,78-78,,
5:54.0,,,78-78,,M. Muscala enters the game for P. Millsap
5:54.0,D. McDermott enters the game for T. Gibson,,78-78,,
5:54.0,I. Canaan enters the game for D. Wade,,78-78,,
5:54.0,N. Mirotic enters the game for R. Rondo,,78-78,,
5:34.0,J. Butler misses 3-pt shot from 25 ft,,78-78,,
5:31.0,,,78-78,,Defensive rebound by M. Muscala
5:24.0,,,78-78,,D. Schroder misses 2-pt shot from 21 ft
5:21.0,Defensive rebound by I. Canaan,,78-78,,
5:17.0,,,78-78,,Personal block foul by M. Muscala (drawn by J. Butler)
5:17.0,J. Butler makes free throw 1 of 2,1,79-78,,
5:17.0,J. Butler makes free throw 2 of 2,1,80-78,,
4:57.0,,,80-78,,D. Schroder misses 2-pt shot from 2 ft
4:57.0,,,80-78,,Offensive rebound by M. Muscala
4:57.0,,,80-78,,Shooting foul by I. Canaan (drawn by M. Muscala)
4:57.0,,,80-79,1,M. Muscala makes free throw 1 of 2
4:57.0,,,80-80,1,M. Muscala makes free throw 2 of 2
4:57.0,,,80-79,,T. Hardaway enters the game for K. Korver
4:43.0,I. Canaan makes 3-pt shot from 25 ft (assist by J. Butler),3,83-80,,
4:33.0,,,83-80,,Shooting foul by N. Mirotic (drawn by D. Howard)
4:33.0,,,83-80,,D. Howard misses free throw 1 of 2
4:33.0,,,83-80,,Offensive rebound by Team
4:33.0,,,83-80,,D. Howard misses free throw 2 of 2
4:31.0,Defensive rebound by N. Mirotic,,83-80,,
4:17.0,Turnover by J. Butler (bad pass; steal by T. Sefolosha),,83-80,,
4:13.0,,,83-80,,Turnover by D. Schroder (bad pass; steal by J. Butler)
4:08.0,D. McDermott makes 2-pt shot at rim (assist by I. Canaan),2,85-80,,
3:50.0,,,85-80,,D. Schroder misses 2-pt shot from 20 ft
3:48.0,,,85-80,,Offensive rebound by D. Schroder
3:42.0,,,85-80,,D. Howard misses 2-pt shot at rim
3:41.0,Defensive rebound by R. Lopez,,85-80,,
3:29.0,Turnover by J. Butler (bad pass; steal by D. Howard),,85-80,,
3:26.0,,,85-80,,Shooting foul by D. McDermott (drawn by D. Howard)
3:26.0,,,85-81,1,D. Howard makes free throw 1 of 2
3:26.0,,,85-82,1,D. Howard makes free throw 2 of 2
3:26.0,,,85-81,,M. Delaney enters the game for D. Schroder
3:12.0,J. Butler misses 2-pt shot from 6 ft,,85-82,,
3:11.0,,,85-82,,Defensive rebound by T. Sefolosha
3:05.0,,,85-84,2,T. Hardaway makes 2-pt shot from 15 ft
2:45.0,I. Canaan misses 3-pt shot from 26 ft,,85-84,,
2:43.0,,,85-84,,Defensive rebound by T. Sefolosha
2:35.0,,,85-86,2,T. Hardaway makes 2-pt shot from 10 ft
2:19.0,N. Mirotic misses 3-pt shot from 25 ft,,85-86,,
2:18.0,,,85-86,,Defensive rebound by T. Hardaway
2:11.0,,,85-86,,T. Hardaway misses 2-pt shot from 18 ft
2:11.0,,,85-86,,Offensive rebound by Team
2:11.0,Away from play foul by D. McDermott (drawn by D. Howard),,85-86,,
2:11.0,,,85-87,1,D. Howard makes free throw 1 of 2
2:11.0,,,85-88,1,D. Howard makes free throw 2 of 2
2:11.0,,,85-87,,P. Millsap enters the game for M. Muscala
2:11.0,D. Wade enters the game for R. Lopez,,85-87,,
2:11.0,B. Portis enters the game for D. McDermott,,85-87,,
2:11.0,T. Gibson enters the game for N. Mirotic,,85-87,,
1:56.0,I. Canaan makes 3-pt shot from 24 ft (assist by T. Gibson),3,88-88,,
1:34.0,,,88-88,,M. Delaney misses 2-pt shot from 21 ft
1:33.0,,,88-88,,Offensive rebound by D. Howard
1:31.0,,,88-90,2,D. Howard makes 2-pt shot from 1 ft
1:05.0,J. Butler misses 2-pt shot from 21 ft,,88-90,,
1:03.0,,,88-90,,Defensive rebound by P. Millsap
0:58.0,,,88-92,2,T. Hardaway makes 2-pt shot from 2 ft (assist by P. Millsap)
0:39.0,B. Portis misses 2-pt shot from 17 ft,,88-92,,
0:37.0,,,88-92,,Defensive rebound by T. Sefolosha
0:30.0,,,88-92,,Turnover by T. Sefolosha (bad pass; steal by B. Portis)
0:21.0,I. Canaan misses 3-pt shot from 23 ft,,88-92,,
0:15.0,,,88-92,,Defensive rebound by P. Millsap
0:00.0,,,88-94,2,M. Delaney makes 2-pt shot from 17 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,88-96,2,P. Millsap makes 2-pt shot from 1 ft (assist by T. Hardaway)
11:29.0,B. Portis misses 2-pt shot from 19 ft,,88-96,,
11:25.0,Offensive rebound by Team,,88-96,,
11:25.0,Jump ball: M. Delaney vs. R. Rondo (B. Portis gains possession),,,,Jump ball: M. Delaney vs. R. Rondo (B. Portis gains possession)
11:16.0,T. Gibson misses 2-pt shot from 16 ft,,88-96,,
11:14.0,,,88-96,,Defensive rebound by T. Hardaway
11:05.0,,,88-96,,P. Millsap misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by D. Wade,,88-96,,
10:39.0,R. Rondo misses 3-pt shot from 25 ft,,88-96,,
10:38.0,,,88-96,,Defensive rebound by P. Millsap
10:21.0,,,88-96,,T. Hardaway misses 3-pt shot from 23 ft
10:21.0,,,88-96,,Offensive rebound by K. Humphries
10:21.0,,,88-96,,Shooting foul by B. Portis (drawn by K. Humphries)
10:21.0,,,88-97,1,K. Humphries makes free throw 1 of 2
10:21.0,,,88-98,1,K. Humphries makes free throw 2 of 2
10:06.0,D. Wade misses 2-pt shot from 14 ft,,88-98,,
10:04.0,,,88-98,,Defensive rebound by P. Millsap
10:01.0,,,88-98,,Turnover by M. Delaney (lost ball; steal by D. Wade)
9:57.0,D. Wade makes 2-pt shot at rim (assist by B. Portis),2,90-98,,
9:42.0,,,90-101,3,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Delaney)
9:42.0,Chicago full timeout,,90-101,,
9:17.0,I. Canaan makes 2-pt shot from 14 ft (assist by R. Rondo),2,92-101,,
8:58.0,,,92-101,,Turnover by K. Korver (lost ball)
8:58.0,,,92-101,,Loose ball foul by K. Korver (drawn by D. Wade)
8:46.0,B. Portis misses 2-pt shot from 2 ft (block by P. Millsap),,92-101,,
8:46.0,,,92-101,,Defensive rebound by Team
8:31.0,,,92-103,2,M. Delaney makes 2-pt shot from 19 ft (assist by K. Korver)
8:15.0,R. Rondo misses 2-pt shot from 21 ft,,92-103,,
8:13.0,,,92-103,,Defensive rebound by M. Delaney
8:01.0,,,92-103,,K. Humphries misses 2-pt shot from 6 ft
7:59.0,Defensive rebound by R. Rondo,,92-103,,
7:44.0,D. Wade misses 2-pt shot from 23 ft,,92-103,,
7:42.0,,,92-103,,Defensive rebound by K. Humphries
7:36.0,,,92-103,,T. Hardaway misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by B. Portis,,92-103,,
7:25.0,I. Canaan misses 2-pt shot at rim (block by K. Humphries),,92-103,,
7:23.0,Offensive rebound by D. Wade,,92-103,,
7:21.0,D. Wade misses 2-pt shot from 2 ft,,92-103,,
7:20.0,,,92-103,,Defensive rebound by K. Humphries
7:20.0,,,92-103,,Turnover by K. Humphries (bad pass; steal by T. Gibson)
7:20.0,T. Gibson makes 2-pt shot from 1 ft,2,94-103,,
7:20.0,Shooting foul by K. Korver (drawn by T. Gibson),,94-103,,
7:20.0,T. Gibson makes free throw 1 of 1,1,95-103,,
7:20.0,J. Butler enters the game for D. Wade,,94-103,,
7:20.0,D. McDermott enters the game for I. Canaan,,94-103,,
7:20.0,,,94-103,,D. Schroder enters the game for M. Delaney
6:55.0,,,95-103,,D. Schroder misses 2-pt shot from 2 ft
6:55.0,,,95-103,,Offensive rebound by Team
6:55.0,,,95-103,,Turnover by Team (shot clock)
6:55.0,,,95-103,,T. Sefolosha enters the game for K. Korver
6:40.0,T. Gibson makes 2-pt shot from 6 ft (assist by R. Rondo),2,97-103,,
6:20.0,,,97-103,,Turnover by P. Millsap (bad pass; steal by J. Butler)
6:20.0,,,97-103,,Personal foul by P. Millsap (drawn by R. Rondo)
6:20.0,,,97-103,,K. Bazemore enters the game for P. Millsap
6:20.0,,,97-103,,D. Howard enters the game for T. Hardaway
