time,Oklahoma City,pts.away,score,pts.home,Memphis
9:18.0,Turnover by E. Kanter (lost ball; steal by Z. Randolph),,39-34,,
9:07.0,,,39-34,,Z. Randolph misses 2-pt shot from 16 ft
9:07.0,Defensive rebound by D. McDermott,,39-34,,
9:00.0,V. Oladipo makes 2-pt shot from 2 ft,2,41-34,,
8:45.0,,,41-34,,Shooting foul by D. McDermott (drawn by W. Selden)
8:45.0,Official timeout,,41-34,,
8:45.0,,,41-35,1,W. Selden makes free throw 1 of 2
8:45.0,,,41-36,1,W. Selden makes free throw 2 of 2
8:45.0,R. Westbrook enters the game for V. Oladipo,,41-34,,
8:45.0,S. Adams enters the game for D. McDermott,,41-34,,
8:45.0,A. Roberson enters the game for D. Sabonis,,41-34,,
8:33.0,E. Kanter misses 3-pt shot from 23 ft,,41-36,,
8:33.0,,,41-36,,Defensive rebound by Z. Randolph
8:17.0,,,41-36,,Turnover by Z. Randolph (bad pass; steal by R. Westbrook)
8:13.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,43-36,,
8:01.0,Personal foul by S. Adams (drawn by M. Gasol),,43-36,,
8:01.0,,,43-36,,A. Harrison enters the game for W. Baldwin
8:01.0,,,43-36,,T. Allen enters the game for T. Daniels
8:01.0,,,43-36,,J. Green enters the game for Z. Randolph
7:48.0,,,43-36,,J. Green misses 2-pt shot from 21 ft
7:47.0,,,43-36,,Offensive rebound by T. Allen
7:35.0,Personal foul by R. Westbrook (drawn by A. Harrison),,43-36,,
7:22.0,,,43-38,2,M. Gasol makes 2-pt shot from 16 ft (assist by W. Selden)
7:03.0,E. Kanter misses 2-pt shot from 2 ft (block by M. Gasol),,43-38,,
7:03.0,,,43-38,,Defensive rebound by Team
6:48.0,,,43-38,,M. Gasol misses 3-pt shot from 25 ft
6:48.0,,,43-38,,Offensive rebound by T. Allen
6:45.0,,,43-40,2,T. Allen makes 2-pt shot from 1 ft
6:37.0,Shooting foul by A. Harrison (drawn by R. Westbrook),,43-40,,
6:37.0,R. Westbrook makes free throw 1 of 3,1,44-40,,
6:37.0,R. Westbrook makes free throw 2 of 3,1,45-40,,
6:37.0,R. Westbrook makes free throw 3 of 3,1,46-40,,
6:37.0,T. Gibson enters the game for S. Christon,,45-40,,
6:37.0,V. Oladipo enters the game for E. Kanter,,45-40,,
6:21.0,,,46-40,,W. Selden misses 2-pt shot from 14 ft
6:19.0,Defensive rebound by A. Roberson,,46-40,,
6:12.0,Turnover by R. Westbrook (bad pass; steal by M. Gasol),,46-40,,
6:02.0,,,46-40,,W. Selden misses 3-pt shot from 25 ft
6:01.0,,,46-40,,Offensive rebound by T. Allen
5:55.0,,,46-40,,J. Green misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by R. Westbrook,,46-40,,
5:45.0,V. Oladipo misses 3-pt shot from 23 ft,,46-40,,
5:43.0,,,46-40,,Defensive rebound by W. Selden
5:23.0,,,46-42,2,A. Harrison makes 2-pt shot from 1 ft
5:09.0,T. Gibson misses 2-pt shot from 17 ft,,46-42,,
5:07.0,Offensive rebound by S. Adams,,46-42,,
5:07.0,S. Adams makes 2-pt shot from 1 ft,2,48-42,,
4:51.0,,,48-42,,Shooting foul by S. Adams (drawn by M. Gasol)
4:51.0,,,48-42,,Memphis full timeout
4:51.0,,,48-43,1,M. Gasol makes free throw 1 of 2
4:51.0,,,48-44,1,M. Gasol makes free throw 2 of 2
4:51.0,,,48-42,,V. Carter enters the game for W. Selden
4:31.0,Turnover by R. Westbrook (bad pass),,48-44,,
4:13.0,,,48-44,,J. Green misses 2-pt shot from 2 ft (block by S. Adams)
4:11.0,Defensive rebound by S. Adams,,48-44,,
3:58.0,T. Gibson misses 2-pt shot from 5 ft (block by M. Gasol),,48-44,,
3:55.0,Offensive rebound by T. Gibson,,48-44,,
3:55.0,T. Gibson makes 2-pt shot from 3 ft,2,50-44,,
3:38.0,,,50-44,,Turnover by M. Gasol (lost ball; steal by V. Oladipo)
3:32.0,R. Westbrook makes 2-pt shot from 1 ft (assist by V. Oladipo),2,52-44,,
3:25.0,,,52-44,,Memphis full timeout
3:14.0,,,52-44,,V. Carter misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by T. Gibson,,52-44,,
3:05.0,R. Westbrook misses 2-pt shot from 1 ft,,52-44,,
3:03.0,,,52-44,,Defensive rebound by M. Gasol
2:48.0,,,52-44,,J. Green misses 3-pt shot from 23 ft
2:46.0,Defensive rebound by S. Adams,,52-44,,
2:33.0,V. Oladipo misses 2-pt shot from 15 ft,,52-44,,
2:33.0,,,52-44,,Defensive rebound by A. Harrison
2:26.0,,,52-46,2,T. Allen makes 2-pt shot at rim (assist by A. Harrison)
2:11.0,,,52-46,,Personal foul by J. Green (drawn by T. Gibson)
2:11.0,,,52-46,,Z. Randolph enters the game for J. Green
2:11.0,D. McDermott enters the game for A. Roberson,,52-46,,
1:58.0,R. Westbrook misses 2-pt shot from 19 ft,,52-46,,
1:58.0,,,52-46,,Defensive rebound by Z. Randolph
1:48.0,,,52-46,,M. Gasol misses 2-pt shot from 6 ft
1:48.0,Defensive rebound by R. Westbrook,,52-46,,
1:48.0,,,52-46,,Personal foul by Z. Randolph (drawn by R. Westbrook)
1:31.0,V. Oladipo misses 2-pt shot from 1 ft,,52-46,,
1:31.0,Offensive rebound by S. Adams,,52-46,,
1:28.0,S. Adams misses 2-pt shot from 3 ft,,52-46,,
1:27.0,,,52-46,,Defensive rebound by M. Gasol
1:10.0,,,52-46,,Turnover by T. Allen (lost ball; steal by R. Westbrook)
1:08.0,,,52-46,,Personal foul by V. Carter (drawn by R. Westbrook)
1:08.0,R. Westbrook makes free throw 1 of 2,1,53-46,,
1:08.0,R. Westbrook makes free throw 2 of 2,1,54-46,,
0:55.0,,,54-48,2,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Gasol)
0:43.0,R. Westbrook misses 3-pt shot from 25 ft,,54-48,,
0:43.0,Offensive rebound by S. Adams,,54-48,,
0:41.0,S. Adams makes 2-pt shot from 1 ft,2,56-48,,
0:41.0,Shooting foul by V. Carter (drawn by S. Adams),,56-48,,
0:41.0,S. Adams makes free throw 1 of 1,1,57-48,,
0:25.0,,,57-48,,V. Carter misses 2-pt shot from 2 ft
0:24.0,,,57-48,,Offensive rebound by Z. Randolph
0:24.0,,,57-50,2,Z. Randolph makes 2-pt shot from 1 ft
0:01.0,Turnover by R. Westbrook (lost ball),,57-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,57-50,,M. Gasol misses 2-pt shot from 8 ft
11:39.0,Defensive rebound by R. Westbrook,,57-50,,
11:22.0,S. Adams misses 2-pt shot from 10 ft,,57-50,,
11:19.0,,,57-50,,Defensive rebound by J. Green
11:11.0,,,57-50,,V. Carter misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by D. McDermott,,57-50,,
10:56.0,R. Westbrook makes 2-pt shot from 19 ft,2,59-50,,
10:35.0,,,59-52,2,M. Gasol makes 2-pt shot from 16 ft (assist by T. Allen)
10:23.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,61-52,,
10:01.0,,,61-52,,A. Harrison misses 2-pt shot from 2 ft
9:59.0,Defensive rebound by T. Gibson,,61-52,,
9:52.0,V. Oladipo misses 2-pt shot from 18 ft,,61-52,,
9:51.0,,,61-52,,Defensive rebound by T. Allen
9:46.0,,,61-54,2,J. Green makes 2-pt shot at rim (assist by T. Allen)
9:24.0,T. Gibson misses 2-pt shot from 15 ft,,61-54,,
9:23.0,,,61-54,,Defensive rebound by M. Gasol
9:02.0,,,61-54,,M. Gasol misses 2-pt shot from 10 ft
9:01.0,,,61-54,,Offensive rebound by J. Green
9:01.0,,,61-54,,Shooting foul by T. Gibson (drawn by J. Green)
9:01.0,,,61-55,1,J. Green makes free throw 1 of 2
9:01.0,,,61-55,,J. Green misses free throw 2 of 2
9:01.0,Defensive rebound by T. Gibson,,61-55,,
8:37.0,S. Adams misses 2-pt shot from 3 ft,,61-55,,
8:37.0,,,61-55,,Defensive rebound by Team
8:21.0,,,61-57,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
8:09.0,Turnover by S. Adams (lost ball),,61-57,,
7:49.0,,,61-57,,T. Allen misses 3-pt shot from 23 ft
7:48.0,,,61-57,,Offensive rebound by Team
7:44.0,,,61-57,,V. Carter misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by R. Westbrook,,61-57,,
7:32.0,T. Gibson misses 2-pt shot from 1 ft (block by M. Gasol),,61-57,,
7:30.0,,,61-57,,Defensive rebound by T. Allen
7:15.0,,,61-57,,Turnover by J. Green (step out of bounds)
7:15.0,Oklahoma City full timeout,,61-57,,
7:03.0,R. Westbrook makes 3-pt shot from 25 ft,3,64-57,,
6:47.0,,,64-57,,Turnover by V. Carter (offensive foul)
6:47.0,,,64-57,,Offensive foul by V. Carter
6:38.0,D. McDermott makes 3-pt shot from 25 ft (assist by R. Westbrook),3,67-57,,
6:37.0,,,67-57,,Memphis full timeout
6:37.0,,,67-57,,J. Ennis enters the game for V. Carter
6:23.0,,,67-59,2,M. Gasol makes 2-pt shot from 5 ft
6:09.0,D. McDermott misses 3-pt shot from 24 ft,,67-59,,
6:08.0,,,67-59,,Defensive rebound by J. Ennis
5:46.0,,,67-59,,M. Gasol misses 2-pt shot from 16 ft
5:46.0,,,67-59,,Offensive rebound by Team
5:46.0,Loose ball foul by V. Oladipo (drawn by J. Green),,67-59,,
5:46.0,,,67-59,,Z. Randolph enters the game for J. Green
5:46.0,S. Christon enters the game for V. Oladipo,,67-59,,
5:46.0,,,67-59,,W. Selden enters the game for T. Allen
5:36.0,,,67-62,3,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison)
5:19.0,R. Westbrook misses 3-pt shot from 26 ft,,67-62,,
5:19.0,Offensive rebound by Team,,67-62,,
5:19.0,,,67-62,,Loose ball foul by M. Gasol (drawn by R. Westbrook)
5:19.0,,,67-62,,Technical foul by M. Gasol (drawn by R. Westbrook)
5:19.0,R. Westbrook makes technical free throw,1,68-62,,
5:19.0,D. Sabonis enters the game for T. Gibson,,68-62,,
5:15.0,R. Westbrook misses 2-pt shot from 2 ft,,68-62,,
5:14.0,Offensive rebound by D. Sabonis,,68-62,,
5:14.0,D. Sabonis misses 2-pt shot from 2 ft,,68-62,,
5:14.0,,,68-62,,Defensive rebound by Team
5:14.0,Loose ball foul by R. Westbrook (drawn by Z. Randolph),,68-62,,
5:05.0,,,68-64,2,A. Harrison makes 2-pt shot from 2 ft
5:05.0,,,68-64,,Shooting foul by D. Sabonis (drawn by A. Harrison)
5:05.0,,,68-65,1,A. Harrison makes free throw 1 of 1
4:44.0,R. Westbrook makes 3-pt shot from 25 ft (assist by S. Adams),3,71-65,,
4:32.0,,,71-65,,Shooting foul by R. Westbrook (drawn by A. Harrison)
4:32.0,,,71-65,,A. Harrison misses free throw 1 of 3
4:32.0,,,71-65,,Offensive rebound by Team
4:32.0,,,71-66,1,A. Harrison makes free throw 2 of 3
4:32.0,,,71-67,1,A. Harrison makes free throw 3 of 3
4:32.0,,,71-66,,B. Wright enters the game for M. Gasol
4:32.0,E. Kanter enters the game for S. Adams,,71-66,,
4:15.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,73-67,,
3:50.0,,,73-67,,Shooting foul by D. Sabonis (drawn by Z. Randolph)
3:50.0,,,73-68,1,Z. Randolph makes free throw 1 of 2
3:50.0,,,73-68,,Z. Randolph misses free throw 2 of 2
3:49.0,Defensive rebound by R. Westbrook,,73-68,,
3:37.0,D. Sabonis misses 3-pt shot from 24 ft,,73-68,,
3:36.0,,,73-68,,Defensive rebound by A. Harrison
3:23.0,,,73-70,2,Z. Randolph makes 2-pt shot from 13 ft
3:05.0,R. Westbrook makes 3-pt shot from 25 ft,3,76-70,,
2:41.0,,,76-72,2,Z. Randolph makes 2-pt shot from 6 ft (assist by B. Wright)
2:24.0,R. Westbrook makes 3-pt shot from 24 ft,3,79-72,,
2:06.0,,,79-72,,W. Selden misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by Team,,79-72,,
2:06.0,N. Collison enters the game for R. Westbrook,,79-72,,
2:06.0,V. Oladipo enters the game for D. Sabonis,,79-72,,
1:49.0,E. Kanter misses 2-pt shot from 2 ft,,79-72,,
1:48.0,,,79-72,,Defensive rebound by Z. Randolph
1:34.0,,,79-72,,Turnover by A. Harrison (step out of bounds)
1:34.0,,,79-72,,W. Baldwin enters the game for A. Harrison
1:34.0,Oklahoma City full timeout,,79-72,,
1:21.0,D. McDermott misses 3-pt shot from 26 ft,,79-72,,
1:21.0,,,79-72,,Defensive rebound by W. Selden
1:00.0,,,79-72,,Z. Randolph misses 2-pt shot from 7 ft
0:58.0,Defensive rebound by N. Collison,,79-72,,
0:49.0,D. McDermott misses 2-pt shot from 8 ft,,79-72,,
0:49.0,,,79-72,,Defensive rebound by Team
0:49.0,Loose ball foul by E. Kanter (drawn by Z. Randolph),,79-72,,
0:49.0,,,79-73,1,Z. Randolph makes free throw 1 of 2
0:49.0,,,79-74,1,Z. Randolph makes free throw 2 of 2
0:38.0,S. Christon misses 2-pt shot from 1 ft,,79-74,,
0:37.0,,,79-74,,Defensive rebound by Z. Randolph
0:21.0,,,79-74,,Z. Randolph misses 2-pt shot from 16 ft
0:20.0,Defensive rebound by V. Oladipo,,79-74,,
0:03.0,V. Oladipo misses 3-pt shot from 24 ft,,79-74,,
0:03.0,,,79-74,,Defensive rebound by B. Wright
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,E. Kanter misses 2-pt shot from 1 ft (block by B. Wright),,79-74,,
11:43.0,,,79-74,,Defensive rebound by Team
11:19.0,,,79-74,,Z. Randolph misses 2-pt shot from 13 ft
11:18.0,Defensive rebound by E. Kanter,,79-74,,
11:07.0,V. Oladipo misses 3-pt shot from 26 ft,,79-74,,
11:06.0,Offensive rebound by D. McDermott,,79-74,,
10:44.0,S. Christon misses 3-pt shot from 26 ft,,79-74,,
10:44.0,,,79-74,,Defensive rebound by Z. Randolph
10:34.0,,,79-74,,W. Selden misses 3-pt shot from 23 ft
10:32.0,Defensive rebound by D. McDermott,,79-74,,
10:10.0,S. Christon misses 3-pt shot from 26 ft,,79-74,,
10:09.0,,,79-74,,Defensive rebound by T. Daniels
9:56.0,Violation by N. Collison (def goaltending),,79-74,,
9:56.0,,,79-76,2,Z. Randolph makes 2-pt shot from 4 ft
9:33.0,E. Kanter misses 2-pt shot from 9 ft,,79-76,,
9:33.0,,,79-76,,Defensive rebound by T. Daniels
9:33.0,Personal foul by S. Christon (drawn by T. Daniels),,79-76,,
9:33.0,R. Westbrook enters the game for D. McDermott,,79-76,,
9:16.0,,,79-76,,T. Daniels misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by Team,,79-76,,
9:07.0,Turnover by R. Westbrook (bad pass; steal by B. Wright),,79-76,,
9:01.0,,,79-79,3,T. Daniels makes 3-pt shot from 25 ft (assist by B. Wright)
8:45.0,R. Westbrook misses 3-pt shot from 26 ft,,79-79,,
8:42.0,,,79-79,,Defensive rebound by Z. Randolph
8:27.0,,,79-82,3,Z. Randolph makes 3-pt shot from 24 ft (assist by W. Selden)
8:26.0,Oklahoma City full timeout,,79-82,,
8:26.0,S. Adams enters the game for N. Collison,,79-82,,
8:03.0,V. Oladipo makes 2-pt shot from 17 ft (assist by R. Westbrook),2,81-82,,
7:43.0,,,81-84,2,T. Daniels makes 2-pt shot from 21 ft (assist by Z. Randolph)
7:31.0,R. Westbrook misses 2-pt shot from 14 ft,,81-84,,
7:30.0,Offensive rebound by E. Kanter,,81-84,,
7:30.0,E. Kanter makes 2-pt shot from 1 ft,2,83-84,,
7:11.0,,,83-84,,T. Daniels misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by E. Kanter,,83-84,,
7:11.0,,,83-84,,Personal foul by Z. Randolph (drawn by E. Kanter)
7:11.0,,,83-84,,M. Gasol enters the game for Z. Randolph
7:03.0,Shooting foul by M. Gasol (drawn by R. Westbrook),,83-84,,
7:03.0,R. Westbrook misses free throw 1 of 2,,83-84,,
7:03.0,Offensive rebound by Team,,83-84,,
7:03.0,R. Westbrook misses free throw 2 of 2,,83-84,,
7:03.0,Offensive rebound by S. Adams,,83-84,,
7:03.0,,,83-84,,T. Allen enters the game for W. Selden
7:03.0,,,83-84,,A. Harrison enters the game for W. Baldwin
6:56.0,R. Westbrook makes 3-pt shot from 25 ft,3,86-84,,
6:37.0,,,86-84,,Turnover by T. Allen (traveling)
6:37.0,D. McDermott enters the game for V. Oladipo,,86-84,,
6:26.0,R. Westbrook misses 2-pt shot from 5 ft,,86-84,,
6:25.0,,,86-84,,Defensive rebound by T. Daniels
6:25.0,Personal foul by R. Westbrook (drawn by T. Daniels),,86-84,,
6:25.0,,,86-84,,V. Carter enters the game for T. Daniels
6:03.0,,,86-87,3,V. Carter makes 3-pt shot from 26 ft (assist by M. Gasol)
5:45.0,D. McDermott makes 3-pt shot from 26 ft (assist by S. Christon),3,89-87,,
5:19.0,,,89-87,,V. Carter misses 3-pt shot from 26 ft
5:18.0,,,89-87,,Offensive rebound by A. Harrison
5:07.0,Personal foul by S. Christon (drawn by A. Harrison),,89-87,,
5:07.0,,,89-87,,Memphis full timeout
5:07.0,T. Gibson enters the game for S. Christon,,89-87,,
5:07.0,V. Oladipo enters the game for E. Kanter,,89-87,,
4:55.0,,,89-89,2,M. Gasol makes 2-pt shot from 5 ft
4:40.0,Turnover by R. Westbrook (bad pass; steal by T. Allen),,89-89,,
4:36.0,,,89-91,2,T. Allen makes 2-pt shot from 1 ft
4:22.0,Shooting foul by T. Allen (drawn by S. Adams),,89-91,,
4:22.0,S. Adams misses free throw 1 of 2,,89-91,,
4:22.0,Offensive rebound by Team,,89-91,,
4:22.0,Turnover by D. McDermott (lane violation.),,89-91,,
4:22.0,,,89-91,,Z. Randolph enters the game for B. Wright
4:01.0,,,89-91,,M. Gasol misses 2-pt shot from 11 ft
3:59.0,Defensive rebound by R. Westbrook,,89-91,,
3:50.0,R. Westbrook makes 2-pt shot from 15 ft,2,91-91,,
3:22.0,,,91-91,,Turnover by A. Harrison (bad pass; steal by T. Gibson)
3:18.0,Shooting foul by T. Allen (drawn by R. Westbrook),,91-91,,
3:18.0,R. Westbrook misses free throw 1 of 2,,91-91,,
3:18.0,Offensive rebound by Team,,91-91,,
3:18.0,R. Westbrook makes free throw 2 of 2,1,92-91,,
2:57.0,,,92-93,2,Z. Randolph makes 2-pt shot from 8 ft
2:57.0,,,92-93,,Shooting foul by T. Gibson (drawn by Z. Randolph)
2:57.0,,,92-93,,Memphis full timeout
2:57.0,,,92-93,,Z. Randolph misses free throw 1 of 1
2:55.0,Defensive rebound by R. Westbrook,,92-93,,
2:41.0,T. Gibson misses 2-pt shot from 6 ft,,92-93,,
2:39.0,,,92-93,,Defensive rebound by M. Gasol
2:15.0,,,92-93,,Z. Randolph misses 2-pt shot from 16 ft
