time,Brooklyn,pts.away,score,pts.home,Denver
1:37.0,,,22-28,,K. Faried enters the game for M. Plumlee
1:18.0,,,23-28,,W. Chandler misses 3-pt shot from 24 ft
1:18.0,,,23-28,,Offensive rebound by K. Faried
1:12.0,,,23-28,,G. Harris misses 3-pt shot from 27 ft
1:11.0,Defensive rebound by T. Booker,,23-28,,
0:58.0,Offensive charge foul by J. Harris,,23-28,,
0:58.0,Turnover by J. Harris (offensive foul),,23-28,,
0:43.0,,,23-28,,W. Chandler misses 2-pt shot from 12 ft
0:42.0,Defensive rebound by T. Booker,,23-28,,
0:34.0,T. Booker misses 2-pt shot from 2 ft,,23-28,,
0:33.0,,,23-28,,Defensive rebound by K. Faried
0:15.0,,,23-30,2,J. Murray makes 2-pt shot from 2 ft
0:02.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,25-30,,
0:01.0,,,25-30,,J. Murray misses 3-pt shot from 68 ft
0:00.0,,,25-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,25-32,2,W. Barton makes 2-pt shot from 2 ft
11:32.0,S. Dinwiddie misses 2-pt shot from 2 ft,,25-32,,
11:31.0,,,25-32,,Defensive rebound by K. Faried
11:30.0,Personal foul by T. Booker (drawn by K. Faried),,25-32,,
11:16.0,,,25-32,,W. Barton misses 2-pt shot from 4 ft
11:15.0,,,25-32,,Offensive rebound by K. Faried
11:15.0,,,25-32,,K. Faried misses 2-pt shot at rim
11:13.0,Defensive rebound by T. Booker,,25-32,,
11:09.0,T. Booker misses 2-pt shot from 2 ft,,25-32,,
11:08.0,Offensive rebound by J. Hamilton,,25-32,,
11:07.0,J. Hamilton makes 2-pt shot at rim,2,27-32,,
10:41.0,,,27-35,3,J. Murray makes 3-pt shot from 25 ft
10:21.0,T. Booker makes 2-pt shot from 1 ft,2,29-35,,
10:17.0,,,29-35,,W. Chandler misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by Team,,29-35,,
10:16.0,I. Whitehead enters the game for S. Dinwiddie,,29-35,,
10:05.0,Turnover by I. Whitehead (traveling),,29-35,,
10:05.0,,,29-35,,N. Jokic enters the game for G. Harris
9:47.0,,,29-37,2,K. Faried makes 2-pt shot from 15 ft (assist by W. Barton)
9:38.0,R. Foye makes 3-pt shot from 26 ft,3,32-37,,
9:21.0,,,32-37,,J. Murray misses 2-pt shot from 16 ft
9:21.0,Defensive rebound by J. Harris,,32-37,,
9:07.0,I. Whitehead makes 3-pt shot from 24 ft (assist by T. Booker),3,35-37,,
9:07.0,,,35-37,,Denver full timeout
8:56.0,,,35-37,,Turnover by N. Jokic (bad pass; steal by R. Foye)
8:52.0,Turnover by J. Harris (bad pass),,35-37,,
8:39.0,,,35-37,,W. Chandler misses 2-pt shot from 2 ft
8:36.0,,,35-37,,Offensive rebound by N. Jokic
8:36.0,,,35-39,2,N. Jokic makes 2-pt shot from 2 ft
8:15.0,T. Booker misses 2-pt shot from 3 ft,,35-39,,
8:14.0,,,35-39,,Defensive rebound by W. Barton
8:11.0,Personal foul by R. Foye (drawn by W. Barton),,35-39,,
8:11.0,,,35-40,1,W. Barton makes free throw 1 of 2
8:11.0,,,35-41,1,W. Barton makes free throw 2 of 2
8:01.0,J. Harris misses 3-pt shot from 26 ft,,35-41,,
8:01.0,,,35-41,,Defensive rebound by N. Jokic
7:53.0,,,35-41,,Turnover by W. Chandler (3 sec)
7:38.0,R. Foye makes 2-pt shot from 1 ft,2,37-41,,
7:29.0,Personal foul by I. Whitehead (drawn by N. Jokic),,37-41,,
7:29.0,,,37-41,,M. Plumlee enters the game for K. Faried
7:20.0,Personal foul by J. Hamilton (drawn by M. Plumlee),,37-41,,
7:15.0,,,37-41,,W. Barton misses 2-pt shot from 14 ft
7:14.0,,,37-41,,Offensive rebound by N. Jokic
7:12.0,Jump ball: J. Hamilton vs. N. Jokic (M. Plumlee gains possession),,,,Jump ball: J. Hamilton vs. N. Jokic (M. Plumlee gains possession)
7:03.0,,,37-43,2,W. Chandler makes 2-pt shot from 7 ft (assist by M. Plumlee)
6:51.0,J. Hamilton misses 2-pt shot from 5 ft (block by N. Jokic),,37-43,,
6:49.0,,,37-43,,Defensive rebound by M. Plumlee
6:36.0,,,37-45,2,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic)
6:36.0,Brooklyn full timeout,,37-45,,
6:36.0,,,37-45,,D. Gallinari enters the game for W. Chandler
6:36.0,B. Lopez enters the game for R. Foye,,37-45,,
6:36.0,C. LeVert enters the game for J. Hamilton,,37-45,,
6:24.0,T. Booker misses 2-pt shot from 18 ft,,37-45,,
6:23.0,,,37-45,,Defensive rebound by D. Gallinari
6:08.0,,,37-47,2,M. Plumlee makes 2-pt shot from 2 ft (assist by N. Jokic)
5:49.0,T. Booker makes 2-pt shot from 3 ft (assist by I. Whitehead),2,39-47,,
5:37.0,,,39-47,,J. Murray misses 2-pt shot from 19 ft
5:37.0,Defensive rebound by J. Harris,,39-47,,
5:26.0,T. Booker misses 3-pt shot from 25 ft,,39-47,,
5:24.0,,,39-47,,Defensive rebound by W. Barton
5:15.0,,,39-50,3,D. Gallinari makes 3-pt shot from 26 ft (assist by N. Jokic)
5:00.0,I. Whitehead misses 2-pt shot from 11 ft,,39-50,,
5:00.0,,,39-50,,Defensive rebound by M. Plumlee
4:52.0,,,39-52,2,D. Gallinari makes 2-pt shot from 2 ft (assist by M. Plumlee)
4:39.0,T. Booker makes 2-pt shot from 21 ft,2,41-52,,
4:30.0,,,41-52,,Turnover by N. Jokic (bad pass)
4:30.0,J. Lin enters the game for T. Booker,,41-52,,
4:30.0,R. Hollis-Jefferson enters the game for J. Harris,,41-52,,
4:30.0,S. Kilpatrick enters the game for I. Whitehead,,41-52,,
4:30.0,,,41-52,,J. Nelson enters the game for J. Murray
4:12.0,C. LeVert misses 3-pt shot from 26 ft,,41-52,,
4:11.0,,,41-52,,Defensive rebound by W. Barton
4:02.0,,,41-52,,Offensive foul by M. Plumlee
4:02.0,,,41-52,,Turnover by M. Plumlee (offensive foul)
4:02.0,,,41-52,,G. Harris enters the game for W. Barton
4:02.0,,,41-52,,K. Faried enters the game for M. Plumlee
3:47.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin),2,43-52,,
3:29.0,,,43-54,2,K. Faried makes 2-pt shot at rim (assist by J. Nelson)
3:18.0,S. Kilpatrick misses 2-pt shot from 4 ft,,43-54,,
3:17.0,,,43-54,,Defensive rebound by K. Faried
3:08.0,Shooting block foul by B. Lopez (drawn by K. Faried),,43-54,,
3:08.0,,,43-54,,K. Faried misses free throw 1 of 2
3:08.0,,,43-54,,Offensive rebound by Team
3:08.0,,,43-55,1,K. Faried makes free throw 2 of 2
3:08.0,,,43-54,,W. Chandler enters the game for N. Jokic
2:56.0,S. Kilpatrick misses 3-pt shot from 26 ft,,43-55,,
2:55.0,,,43-55,,Defensive rebound by D. Gallinari
2:45.0,,,43-57,2,W. Chandler makes 2-pt shot from 17 ft
2:34.0,J. Lin makes 2-pt shot from 2 ft,2,45-57,,
2:20.0,,,45-59,2,J. Nelson makes 2-pt shot from 2 ft
2:07.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Lin),2,47-59,,
1:48.0,,,47-59,,W. Chandler misses 2-pt shot from 3 ft
1:48.0,Defensive rebound by R. Hollis-Jefferson,,47-59,,
1:42.0,J. Lin misses 2-pt shot from 17 ft,,47-59,,
1:41.0,,,47-59,,Defensive rebound by J. Nelson
1:35.0,,,47-62,3,D. Gallinari makes 3-pt shot from 23 ft (assist by J. Nelson)
1:14.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by B. Lopez),2,49-62,,
1:14.0,Shooting foul by D. Gallinari (drawn by S. Kilpatrick),,49-62,,
1:14.0,Official timeout,,49-62,,
1:14.0,S. Kilpatrick misses free throw 1 of 1,,49-62,,
1:13.0,,,49-62,,Defensive rebound by Team
0:54.0,,,49-64,2,W. Chandler makes 2-pt shot from 2 ft (assist by J. Nelson)
0:39.0,C. LeVert makes 2-pt shot from 2 ft,2,51-64,,
0:26.0,,,51-64,,W. Chandler misses 2-pt shot from 20 ft
0:25.0,Defensive rebound by R. Hollis-Jefferson,,51-64,,
0:05.0,,,51-64,,Shooting block foul by J. Nelson (drawn by J. Lin)
0:05.0,J. Lin makes free throw 1 of 2,1,52-64,,
0:05.0,J. Lin makes free throw 2 of 2,1,53-64,,
0:05.0,T. Booker enters the game for B. Lopez,,52-64,,
0:00.0,,,53-64,,W. Chandler misses 2-pt shot from 7 ft
0:00.0,,,53-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,53-64,,G. Harris misses 2-pt shot from 1 ft
11:42.0,Defensive rebound by J. Lin,,53-64,,
11:33.0,B. Lopez makes 3-pt shot from 25 ft (assist by R. Foye),3,56-64,,
11:18.0,,,56-67,3,J. Nelson makes 3-pt shot from 25 ft (assist by G. Harris)
11:02.0,B. Lopez misses 3-pt shot from 25 ft,,56-67,,
11:01.0,Offensive rebound by R. Hollis-Jefferson,,56-67,,
10:55.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Nelson),,56-67,,
10:49.0,,,56-70,3,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson)
10:28.0,C. LeVert makes 2-pt shot from 1 ft (assist by J. Lin),2,58-70,,
10:03.0,,,58-72,2,D. Gallinari makes 2-pt shot from 18 ft (assist by J. Nelson)
9:50.0,C. LeVert makes 3-pt shot from 26 ft (assist by R. Foye),3,61-72,,
9:35.0,,,61-74,2,D. Gallinari makes 2-pt shot at rim (assist by W. Chandler)
9:27.0,Turnover by R. Foye (bad pass; steal by J. Nelson),,61-74,,
9:24.0,Personal foul by R. Foye (drawn by J. Nelson),,61-74,,
9:24.0,T. Booker enters the game for R. Hollis-Jefferson,,61-74,,
9:15.0,,,61-74,,G. Harris misses 2-pt shot from 2 ft (block by B. Lopez)
9:14.0,Defensive rebound by R. Foye,,61-74,,
9:02.0,C. LeVert misses 2-pt shot from 2 ft,,61-74,,
9:01.0,,,61-74,,Defensive rebound by N. Jokic
8:55.0,,,61-76,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
8:42.0,Turnover by B. Lopez (lost ball; steal by N. Jokic),,61-76,,
8:32.0,,,61-76,,G. Harris misses 2-pt shot from 7 ft
8:31.0,Defensive rebound by T. Booker,,61-76,,
8:18.0,R. Foye misses 3-pt shot from 27 ft,,61-76,,
8:18.0,,,61-76,,Defensive rebound by G. Harris
8:11.0,,,61-78,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
8:11.0,,,61-78,,Shooting foul by J. Lin (drawn by G. Harris)
8:11.0,Brooklyn full timeout,,61-78,,
8:11.0,,,61-79,1,G. Harris makes free throw 1 of 1
7:48.0,B. Lopez makes 2-pt shot from 6 ft,2,63-79,,
7:31.0,,,63-81,2,W. Chandler makes 2-pt shot from 9 ft (assist by N. Jokic)
7:27.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin),2,65-81,,
7:27.0,Shooting foul by N. Jokic (drawn by B. Lopez),,65-81,,
7:27.0,B. Lopez misses free throw 1 of 1,,65-81,,
7:27.0,R. Hollis-Jefferson enters the game for T. Booker,,65-81,,
7:25.0,,,65-81,,Defensive rebound by D. Gallinari
7:13.0,,,65-81,,Turnover by D. Gallinari (bad pass; steal by R. Foye)
7:12.0,,,65-81,,Personal foul by G. Harris (drawn by C. LeVert)
7:12.0,S. Kilpatrick enters the game for C. LeVert,,65-81,,
7:12.0,S. Dinwiddie enters the game for R. Foye,,65-81,,
7:12.0,J. Harris enters the game for J. Lin,,65-81,,
7:01.0,Turnover by S. Kilpatrick (lost ball),,65-81,,
6:54.0,Personal foul by B. Lopez (drawn by N. Jokic),,65-81,,
6:41.0,,,65-81,,W. Chandler misses 3-pt shot from 26 ft
6:40.0,,,65-81,,Offensive rebound by N. Jokic
6:36.0,,,65-81,,Turnover by N. Jokic (bad pass; steal by S. Dinwiddie)
6:31.0,,,65-81,,Personal foul by N. Jokic (drawn by S. Kilpatrick)
6:31.0,,,65-81,,M. Plumlee enters the game for N. Jokic
6:21.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,65-81,,
6:21.0,,,65-81,,Defensive rebound by D. Gallinari
6:19.0,Personal foul by S. Dinwiddie (drawn by M. Plumlee),,65-81,,
6:19.0,,,65-81,,W. Barton enters the game for G. Harris
6:10.0,,,65-81,,D. Gallinari misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by S. Dinwiddie,,65-81,,
6:01.0,S. Kilpatrick misses 2-pt shot from 7 ft,,65-81,,
6:00.0,,,65-81,,Defensive rebound by M. Plumlee
5:54.0,Personal foul by S. Dinwiddie (drawn by D. Gallinari),,65-81,,
5:54.0,,,65-81,,D. Gallinari misses free throw 1 of 2
5:54.0,,,65-81,,Offensive rebound by Team
5:54.0,,,65-82,1,D. Gallinari makes free throw 2 of 2
5:54.0,,,65-81,,D. Arthur enters the game for W. Chandler
5:40.0,Turnover by S. Kilpatrick (bad pass; steal by D. Arthur),,65-82,,
5:25.0,,,65-82,,Shooting foul by R. Hollis-Jefferson (drawn by M. Plumlee)
5:25.0,,,65-82,,M. Plumlee misses free throw 1 of 2
5:25.0,,,65-82,,Offensive rebound by Team
5:25.0,,,65-82,,M. Plumlee misses free throw 2 of 2
5:24.0,Defensive rebound by S. Dinwiddie,,65-82,,
5:15.0,J. Harris misses 2-pt shot from 16 ft,,65-82,,
5:14.0,,,65-82,,Defensive rebound by M. Plumlee
5:02.0,,,65-82,,D. Arthur misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by R. Hollis-Jefferson,,65-82,,
4:54.0,S. Dinwiddie misses 3-pt shot from 25 ft,,65-82,,
4:53.0,,,65-82,,Defensive rebound by M. Plumlee
4:34.0,,,65-85,3,D. Gallinari makes 3-pt shot from 27 ft (assist by W. Barton)
4:20.0,S. Kilpatrick misses 2-pt shot from 5 ft,,65-85,,
4:19.0,,,65-85,,Defensive rebound by W. Barton
4:18.0,Personal foul by R. Hollis-Jefferson (drawn by W. Barton),,65-85,,
4:18.0,,,65-86,1,W. Barton makes free throw 1 of 2
4:18.0,,,65-86,,W. Barton misses free throw 2 of 2
4:17.0,Defensive rebound by R. Hollis-Jefferson,,65-86,,
4:06.0,J. Harris makes 3-pt shot from 22 ft (assist by B. Lopez),3,68-86,,
3:47.0,,,68-88,2,D. Gallinari makes 2-pt shot from 1 ft
3:43.0,,,68-88,,Personal foul by J. Nelson (drawn by B. Lopez)
3:37.0,J. Harris misses 2-pt shot from 17 ft,,68-88,,
3:36.0,,,68-88,,Defensive rebound by D. Gallinari
3:30.0,,,68-88,,Loose ball foul by W. Barton (drawn by S. Dinwiddie)
3:30.0,,,68-88,,Turnover by W. Barton (offensive foul)
3:30.0,S. Dinwiddie misses free throw 1 of 2,,68-88,,
3:30.0,Offensive rebound by Team,,68-88,,
3:30.0,S. Dinwiddie makes free throw 2 of 2,1,69-88,,
3:30.0,T. Booker enters the game for R. Hollis-Jefferson,,68-88,,
3:30.0,J. Hamilton enters the game for B. Lopez,,68-88,,
3:30.0,,,68-88,,W. Chandler enters the game for D. Gallinari
3:15.0,,,69-88,,M. Plumlee misses 2-pt shot at rim
3:14.0,Defensive rebound by J. Harris,,69-88,,
3:13.0,,,69-88,,Personal foul by W. Chandler (drawn by J. Harris)
3:13.0,J. Harris misses free throw 1 of 2,,69-88,,
3:13.0,Offensive rebound by Team,,69-88,,
3:13.0,J. Harris makes free throw 2 of 2,1,70-88,,
3:04.0,Personal foul by J. Hamilton (drawn by M. Plumlee),,70-88,,
3:04.0,,,70-89,1,M. Plumlee makes free throw 1 of 2
3:04.0,,,70-90,1,M. Plumlee makes free throw 2 of 2
2:54.0,Shooting foul by W. Barton (drawn by S. Kilpatrick),,70-90,,
2:54.0,,,70-90,,Denver full timeout
2:54.0,S. Kilpatrick makes free throw 1 of 2,1,71-90,,
2:54.0,S. Kilpatrick misses free throw 2 of 2,,71-90,,
2:54.0,,,70-90,,J. Murray enters the game for J. Nelson
2:49.0,,,71-90,,Defensive rebound by J. Murray
2:30.0,,,71-92,2,W. Chandler makes 2-pt shot from 2 ft
2:15.0,J. Hamilton misses 3-pt shot from 25 ft,,71-92,,
2:14.0,,,71-92,,Defensive rebound by J. Murray
2:03.0,,,71-94,2,W. Chandler makes 2-pt shot from 15 ft
1:46.0,S. Kilpatrick misses 3-pt shot from 26 ft,,71-94,,
1:45.0,,,71-94,,Defensive rebound by M. Plumlee
1:32.0,,,71-96,2,M. Plumlee makes 2-pt shot from 2 ft
1:24.0,J. Harris misses 3-pt shot from 23 ft,,71-96,,
1:23.0,Offensive rebound by J. Harris,,71-96,,
1:20.0,Shooting foul by M. Plumlee (drawn by S. Kilpatrick),,71-96,,
1:20.0,S. Kilpatrick makes free throw 1 of 2,1,72-96,,
1:20.0,S. Kilpatrick misses free throw 2 of 2,,72-96,,
1:20.0,I. Whitehead enters the game for S. Dinwiddie,,72-96,,
1:19.0,,,72-96,,Defensive rebound by D. Arthur
1:00.0,,,72-96,,W. Chandler misses 2-pt shot from 2 ft (block by J. Hamilton)
0:59.0,Defensive rebound by I. Whitehead,,72-96,,
0:56.0,I. Whitehead makes 2-pt shot from 2 ft,2,74-96,,
0:36.0,,,74-96,,Shooting foul by S. Kilpatrick (drawn by W. Barton)
0:36.0,,,74-98,2,W. Barton makes 2-pt shot from 2 ft (assist by M. Plumlee)
0:36.0,,,74-98,,W. Barton misses free throw 1 of 1
0:36.0,,,74-98,,G. Harris enters the game for M. Plumlee
0:35.0,Defensive rebound by J. Hamilton,,74-98,,
0:29.0,I. Whitehead misses 2-pt shot from 1 ft,,74-98,,
0:28.0,,,74-98,,Defensive rebound by G. Harris
0:06.0,,,74-101,3,J. Murray makes 3-pt shot from 26 ft (assist by W. Barton)
0:02.0,Shooting foul by D. Arthur (drawn by S. Kilpatrick),,74-101,,
0:02.0,S. Kilpatrick misses free throw 1 of 2,,74-101,,
0:02.0,Offensive rebound by Team,,74-101,,
0:02.0,S. Kilpatrick makes free throw 2 of 2,1,75-101,,
0:00.0,,,75-101,,Turnover by J. Murray (lost ball)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Turnover by I. Whitehead (bad pass; steal by D. Arthur),,75-101,,
11:39.0,,,75-101,,J. Murray misses 2-pt shot from 2 ft
11:38.0,,,75-101,,Offensive rebound by W. Chandler
11:34.0,,,75-103,2,W. Chandler makes 2-pt shot from 3 ft
11:21.0,B. Lopez makes 2-pt shot from 3 ft (assist by I. Whitehead),2,77-103,,
11:00.0,,,77-103,,J. Murray misses 2-pt shot from 1 ft (block by J. Harris)
10:59.0,,,77-103,,Offensive rebound by Team
10:54.0,,,77-103,,W. Chandler misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by R. Foye,,77-103,,
10:47.0,Turnover by R. Foye (bad pass),,77-103,,
10:33.0,,,77-105,2,G. Harris makes 2-pt shot from 16 ft (assist by D. Arthur)
10:24.0,Turnover by B. Lopez (bad pass),,77-105,,
10:11.0,,,77-105,,W. Barton misses 2-pt shot from 17 ft
10:10.0,Defensive rebound by T. Booker,,77-105,,
10:02.0,R. Foye misses 3-pt shot from 26 ft,,77-105,,
10:01.0,,,77-105,,Defensive rebound by D. Arthur
9:48.0,,,77-105,,J. Murray misses 2-pt shot from 21 ft
9:47.0,Defensive rebound by J. Harris,,77-105,,
9:44.0,Shooting foul by D. Arthur (drawn by T. Booker),,77-105,,
9:44.0,T. Booker misses free throw 1 of 2,,77-105,,
9:44.0,Offensive rebound by Team,,77-105,,
9:44.0,T. Booker makes free throw 2 of 2,1,78-105,,
9:30.0,,,78-105,,Shooting foul by I. Whitehead (drawn by J. Murray)
9:30.0,,,78-106,1,J. Murray makes free throw 1 of 2
9:30.0,,,78-106,,J. Murray misses free throw 2 of 2
9:29.0,Defensive rebound by T. Booker,,78-106,,
9:17.0,T. Booker makes 2-pt shot at rim,2,80-106,,
9:17.0,Shooting foul by W. Chandler (drawn by T. Booker),,80-106,,
9:17.0,T. Booker makes free throw 1 of 1,1,81-106,,
9:00.0,,,81-109,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton)
9:00.0,Brooklyn full timeout,,81-109,,
9:00.0,C. LeVert enters the game for B. Lopez,,81-109,,
9:00.0,R. Hollis-Jefferson enters the game for R. Foye,,81-109,,
9:00.0,J. Hamilton enters the game for T. Booker,,81-109,,
9:00.0,S. Dinwiddie enters the game for J. Harris,,81-109,,
8:38.0,I. Whitehead makes 2-pt shot from 3 ft,2,83-109,,
