time,LA Clippers,pts.away,score,pts.home,Charlotte
7:53.0,L. Mbah a Moute makes 2-pt shot at rim (assist by B. Griffin),2,4-11,,
7:31.0,,,4-13,2,F. Kaminsky makes 2-pt shot from 6 ft
7:21.0,,,4-13,,Personal foul by M. Williams (drawn by B. Griffin)
7:12.0,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by J. Redick),2,6-13,,
6:54.0,,,6-16,3,N. Batum makes 3-pt shot from 26 ft
6:38.0,B. Griffin makes 2-pt shot from 17 ft (assist by A. Rivers),2,8-16,,
6:24.0,Personal foul by D. Jordan (drawn by M. Williams),,8-16,,
6:17.0,,,8-19,3,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams)
5:57.0,A. Rivers misses 3-pt shot from 28 ft,,8-19,,
5:56.0,Offensive rebound by D. Jordan,,8-19,,
5:50.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by D. Jordan),2,10-19,,
5:39.0,Personal foul by A. Rivers (drawn by K. Walker),,10-19,,
5:31.0,,,10-19,,Turnover by N. Batum (lost ball; steal by L. Mbah a Moute)
5:14.0,B. Griffin makes 2-pt shot from 2 ft,2,12-19,,
4:53.0,,,12-19,,K. Walker misses 3-pt shot from 23 ft
4:52.0,Defensive rebound by J. Redick,,12-19,,
4:43.0,J. Redick misses 3-pt shot from 29 ft,,12-19,,
4:42.0,Offensive rebound by D. Jordan,,12-19,,
4:33.0,Turnover by D. Jordan (offensive foul),,12-19,,
4:33.0,Offensive charge foul by D. Jordan,,12-19,,
4:33.0,M. Speights enters the game for D. Jordan,,12-19,,
4:15.0,,,12-19,,F. Kaminsky misses 3-pt shot from 26 ft
4:14.0,Defensive rebound by M. Speights,,12-19,,
4:08.0,Turnover by A. Rivers (lost ball),,12-19,,
4:08.0,,,12-19,,M. Plumlee enters the game for F. Kaminsky
4:08.0,,,12-19,,J. Lamb enters the game for N. Batum
3:53.0,,,12-19,,J. Lamb misses 2-pt shot from 6 ft
3:52.0,,,12-19,,Offensive rebound by J. Lamb
3:38.0,,,12-19,,K. Walker misses 2-pt shot from 1 ft
3:37.0,Defensive rebound by B. Griffin,,12-19,,
3:28.0,M. Speights makes 3-pt shot from 25 ft (assist by B. Griffin),3,15-19,,
3:21.0,,,15-19,,Charlotte full timeout
3:21.0,,,15-19,,M. Belinelli enters the game for M. Kidd-Gilchrist
3:21.0,J. Crawford enters the game for L. Mbah a Moute,,15-19,,
3:21.0,R. Felton enters the game for J. Redick,,15-19,,
3:14.0,,,15-19,,K. Walker misses 2-pt shot from 1 ft (block by M. Speights)
3:12.0,Defensive rebound by R. Felton,,15-19,,
3:02.0,M. Speights makes 2-pt shot from 7 ft (assist by B. Griffin),2,17-19,,
2:46.0,,,17-19,,Turnover by M. Williams (bad pass; steal by M. Speights)
2:40.0,R. Felton makes 2-pt shot from 2 ft (assist by M. Speights),2,19-19,,
2:23.0,,,19-22,3,M. Belinelli makes 3-pt shot from 25 ft (assist by J. Lamb)
1:57.0,B. Griffin misses 2-pt shot from 16 ft,,19-22,,
1:55.0,Offensive rebound by B. Griffin,,19-22,,
1:54.0,Shooting foul by K. Walker (drawn by B. Griffin),,19-22,,
1:54.0,B. Griffin makes 2-pt shot from 1 ft,2,21-22,,
1:54.0,B. Griffin makes free throw 1 of 1,1,22-22,,
1:43.0,Personal foul by J. Crawford (drawn by M. Belinelli),,22-22,,
1:43.0,,,22-22,,B. Roberts enters the game for K. Walker
1:36.0,,,22-22,,M. Belinelli misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by B. Griffin,,22-22,,
1:17.0,M. Speights misses 2-pt shot from 20 ft,,22-22,,
1:16.0,,,22-22,,Defensive rebound by B. Roberts
1:13.0,,,22-22,,Offensive foul by M. Williams
1:13.0,,,22-22,,Turnover by M. Williams (offensive foul)
1:04.0,Shooting foul by M. Plumlee (drawn by B. Griffin),,22-22,,
1:04.0,B. Griffin makes 2-pt shot at rim (assist by J. Crawford),2,24-22,,
1:04.0,B. Griffin misses free throw 1 of 1,,24-22,,
1:01.0,,,24-22,,Defensive rebound by M. Plumlee
0:55.0,,,24-22,,B. Roberts misses 2-pt shot from 11 ft
0:54.0,,,24-22,,Offensive rebound by B. Roberts
0:51.0,,,24-25,3,J. Lamb makes 3-pt shot from 25 ft (assist by B. Roberts)
0:43.0,M. Speights makes 3-pt shot from 26 ft (assist by R. Felton),3,27-25,,
0:30.0,,,27-27,2,J. Lamb makes 2-pt shot from 16 ft
0:08.0,B. Griffin makes 2-pt shot from 18 ft,2,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,29-29,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by B. Roberts)
11:22.0,W. Johnson makes 2-pt shot from 1 ft (assist by M. Speights),2,31-29,,
11:11.0,Personal block foul by W. Johnson (drawn by J. Lamb),,31-29,,
11:06.0,,,31-29,,Shooting foul by W. Johnson (drawn by J. Lamb)
11:06.0,,,31-30,1,J. Lamb makes free throw 1 of 3
11:06.0,,,31-31,1,J. Lamb makes free throw 2 of 3
11:06.0,,,31-31,,J. Lamb misses free throw 3 of 3
11:02.0,Defensive rebound by R. Felton,,31-31,,
10:51.0,J. Crawford makes 3-pt shot from 30 ft,3,34-31,,
10:33.0,,,34-31,,Shooting foul by A. Anderson (drawn by J. Lamb)
10:33.0,,,34-31,,J. Lamb misses free throw 1 of 2
10:33.0,,,34-31,,Offensive rebound by Team
10:33.0,,,34-32,1,J. Lamb makes free throw 2 of 2
10:19.0,M. Speights misses 2-pt shot from 7 ft,,34-32,,
10:18.0,,,34-32,,Defensive rebound by M. Plumlee
9:53.0,,,34-32,,M. Plumlee misses 2-pt shot from 10 ft (block by W. Johnson)
9:51.0,Defensive rebound by W. Johnson,,34-32,,
9:50.0,Shooting foul by J. Lamb (drawn by J. Crawford),,34-32,,
9:50.0,J. Crawford misses free throw 1 of 3,,34-32,,
9:50.0,Offensive rebound by Team,,34-32,,
9:50.0,J. Crawford makes free throw 2 of 3,1,35-32,,
9:50.0,J. Crawford makes free throw 3 of 3,1,36-32,,
9:50.0,,,35-32,,N. Batum enters the game for J. Lamb
9:23.0,,,36-32,,M. Belinelli misses 3-pt shot from 26 ft
9:22.0,Defensive rebound by J. Crawford,,36-32,,
9:17.0,Shooting foul by N. Batum (drawn by J. Crawford),,36-32,,
9:17.0,J. Crawford misses free throw 1 of 2,,36-32,,
9:17.0,Offensive rebound by Team,,36-32,,
9:17.0,J. Crawford misses free throw 2 of 2,,36-32,,
9:16.0,,,36-32,,Defensive rebound by M. Kidd-Gilchrist
9:00.0,,,36-32,,N. Batum misses 2-pt shot from 16 ft
8:59.0,Defensive rebound by A. Anderson,,36-32,,
8:49.0,J. Crawford misses 3-pt shot from 28 ft,,36-32,,
8:47.0,,,36-32,,Defensive rebound by B. Roberts
8:37.0,,,36-32,,M. Belinelli misses 3-pt shot from 28 ft
8:36.0,Defensive rebound by R. Felton,,36-32,,
8:22.0,R. Felton makes 3-pt shot from 25 ft (assist by J. Crawford),3,39-32,,
8:02.0,,,39-32,,M. Belinelli misses 2-pt shot from 19 ft
8:00.0,Defensive rebound by M. Speights,,39-32,,
7:42.0,A. Anderson makes 2-pt shot from 1 ft (assist by R. Felton),2,41-32,,
7:38.0,,,41-32,,Charlotte full timeout
7:38.0,,,41-32,,K. Walker enters the game for M. Kidd-Gilchrist
7:38.0,,,41-32,,M. Williams enters the game for M. Plumlee
7:38.0,,,41-32,,F. Kaminsky enters the game for B. Roberts
7:28.0,,,41-32,,N. Batum misses 2-pt shot from 19 ft
7:27.0,Defensive rebound by R. Felton,,41-32,,
7:04.0,R. Felton misses 3-pt shot from 27 ft,,41-32,,
7:02.0,Offensive rebound by W. Johnson,,41-32,,
6:51.0,J. Crawford misses 2-pt shot from 11 ft,,41-32,,
6:50.0,,,41-32,,Defensive rebound by F. Kaminsky
6:42.0,,,41-32,,Offensive foul by M. Belinelli
6:42.0,,,41-32,,Turnover by M. Belinelli (offensive foul)
6:42.0,A. Rivers enters the game for M. Speights,,41-32,,
6:42.0,D. Jordan enters the game for W. Johnson,,41-32,,
6:20.0,R. Felton misses 3-pt shot from 24 ft,,41-32,,
6:19.0,,,41-32,,Defensive rebound by F. Kaminsky
6:12.0,,,41-34,2,K. Walker makes 2-pt shot from 18 ft (assist by N. Batum)
5:59.0,A. Anderson misses 3-pt shot from 25 ft,,41-34,,
5:56.0,,,41-34,,Defensive rebound by N. Batum
5:49.0,,,41-36,2,M. Belinelli makes 2-pt shot from 16 ft (assist by N. Batum)
5:25.0,J. Crawford makes 2-pt shot from 18 ft (assist by R. Felton),2,43-36,,
5:08.0,,,43-36,,F. Kaminsky misses 3-pt shot from 25 ft
5:07.0,,,43-36,,Offensive rebound by M. Belinelli
5:02.0,,,43-36,,M. Williams misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by D. Jordan,,43-36,,
4:37.0,A. Rivers misses 2-pt shot from 2 ft,,43-36,,
4:36.0,,,43-36,,Defensive rebound by F. Kaminsky
4:25.0,,,43-36,,K. Walker misses 2-pt shot from 2 ft
4:24.0,,,43-36,,Offensive rebound by N. Batum
4:23.0,,,43-38,2,M. Belinelli makes 2-pt shot from 2 ft (assist by N. Batum)
4:23.0,,,43-38,,Shooting foul by D. Jordan (drawn by M. Belinelli)
4:23.0,Official timeout,,43-38,,
4:23.0,,,43-39,1,M. Belinelli makes free throw 1 of 1
4:23.0,B. Griffin enters the game for D. Jordan,,43-38,,
4:23.0,L. Mbah a Moute enters the game for R. Felton,,43-38,,
4:23.0,J. Redick enters the game for A. Anderson,,43-38,,
4:10.0,J. Crawford makes 3-pt shot from 23 ft (assist by A. Rivers),3,46-39,,
3:52.0,,,46-42,3,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky)
3:52.0,,,46-42,,Shooting foul by J. Redick (drawn by N. Batum)
3:52.0,,,46-43,1,N. Batum makes free throw 1 of 1
3:52.0,,,46-42,,M. Kidd-Gilchrist enters the game for M. Belinelli
3:41.0,J. Redick misses 3-pt shot from 25 ft,,46-43,,
3:38.0,,,46-43,,Defensive rebound by M. Kidd-Gilchrist
3:27.0,,,46-45,2,M. Williams makes 2-pt shot from 3 ft (assist by K. Walker)
3:25.0,,,46-45,,Personal foul by M. Williams (drawn by A. Rivers)
3:25.0,,,46-45,,M. Belinelli enters the game for M. Williams
3:15.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers),3,49-45,,
2:53.0,,,49-45,,Shooting foul by B. Griffin (drawn by N. Batum)
2:53.0,LA Clippers full timeout,,49-45,,
2:53.0,,,49-46,1,N. Batum makes free throw 1 of 2
2:53.0,,,49-47,1,N. Batum makes free throw 2 of 2
2:38.0,B. Griffin misses 2-pt shot from 3 ft,,49-47,,
2:37.0,Offensive rebound by J. Redick,,49-47,,
2:29.0,J. Crawford misses 3-pt shot from 25 ft,,49-47,,
2:27.0,,,49-47,,Defensive rebound by M. Belinelli
2:20.0,R. Felton enters the game for J. Crawford,,49-47,,
2:13.0,,,49-49,2,M. Belinelli makes 2-pt shot from 18 ft (assist by K. Walker)
1:57.0,Turnover by A. Rivers (bad pass; steal by M. Belinelli),,49-49,,
1:50.0,,,49-49,,F. Kaminsky misses 2-pt shot from 6 ft
1:46.0,Defensive rebound by R. Felton,,49-49,,
1:31.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Redick),2,51-49,,
1:17.0,,,51-51,2,K. Walker makes 2-pt shot from 1 ft
1:12.0,,,51-51,,Personal foul by M. Belinelli (drawn by R. Felton)
0:53.0,J. Redick misses 2-pt shot from 16 ft,,51-51,,
0:51.0,,,51-51,,Defensive rebound by N. Batum
0:43.0,,,51-51,,M. Belinelli misses 3-pt shot from 25 ft
0:42.0,,,51-51,,Offensive rebound by K. Walker
0:38.0,,,51-51,,K. Walker misses 2-pt shot from 1 ft
0:37.0,Defensive rebound by Team,,51-51,,
0:25.0,J. Redick misses 3-pt shot from 24 ft,,51-51,,
0:23.0,,,51-51,,Defensive rebound by M. Kidd-Gilchrist
0:19.0,,,51-51,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by R. Felton)
0:16.0,Defensive rebound by J. Redick,,51-51,,
0:04.0,A. Rivers makes 2-pt shot from 2 ft,2,53-51,,
0:00.0,,,53-51,,K. Walker misses 3-pt shot from 29 ft
0:00.0,,,53-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Personal foul by L. Mbah a Moute (drawn by N. Batum),,53-51,,
11:39.0,,,53-53,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by F. Kaminsky)
11:13.0,D. Jordan misses 2-pt shot from 7 ft,,53-53,,
11:12.0,Offensive rebound by D. Jordan,,53-53,,
11:12.0,D. Jordan misses 2-pt shot from 8 ft,,53-53,,
11:10.0,,,53-53,,Defensive rebound by F. Kaminsky
11:03.0,,,53-53,,F. Kaminsky misses 2-pt shot from 21 ft
11:02.0,Defensive rebound by B. Griffin,,53-53,,
10:51.0,A. Rivers misses 2-pt shot from 5 ft,,53-53,,
10:49.0,,,53-53,,Defensive rebound by F. Kaminsky
10:30.0,,,53-53,,F. Kaminsky misses 2-pt shot from 16 ft
10:29.0,Defensive rebound by D. Jordan,,53-53,,
10:16.0,J. Redick misses 2-pt shot from 20 ft,,53-53,,
10:15.0,,,53-53,,Defensive rebound by M. Williams
10:02.0,,,53-53,,K. Walker misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by B. Griffin,,53-53,,
9:49.0,J. Redick makes 2-pt shot at rim (assist by B. Griffin),2,55-53,,
9:36.0,,,55-53,,K. Walker misses 3-pt shot from 29 ft
9:35.0,Defensive rebound by Team,,55-53,,
9:12.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers),3,58-53,,
8:50.0,,,58-53,,Shooting foul by A. Rivers (drawn by K. Walker)
8:50.0,,,58-54,1,F. Kaminsky makes free throw 1 of 2
8:50.0,,,58-54,,F. Kaminsky misses free throw 2 of 2
8:49.0,Defensive rebound by B. Griffin,,58-54,,
8:34.0,Turnover by D. Jordan (offensive goaltending),,58-54,,
8:24.0,,,58-56,2,N. Batum makes 2-pt shot from 14 ft (assist by K. Walker)
8:01.0,Turnover by A. Rivers (bad pass; steal by K. Walker),,58-56,,
8:01.0,Personal foul by J. Redick (drawn by M. Kidd-Gilchrist),,58-56,,
7:46.0,,,58-56,,F. Kaminsky misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by B. Griffin,,58-56,,
7:39.0,A. Rivers makes 3-pt shot from 24 ft (assist by B. Griffin),3,61-56,,
7:14.0,,,61-56,,N. Batum misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by B. Griffin,,61-56,,
7:07.0,B. Griffin misses 2-pt shot from 1 ft,,61-56,,
7:06.0,,,61-56,,Defensive rebound by M. Kidd-Gilchrist
6:57.0,,,61-58,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
6:37.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,61-58,,
6:36.0,,,61-58,,Defensive rebound by K. Walker
6:29.0,,,61-60,2,K. Walker makes 2-pt shot from 1 ft
6:24.0,LA Clippers full timeout,,61-60,,
6:15.0,A. Rivers makes 3-pt shot from 27 ft (assist by B. Griffin),3,64-60,,
5:49.0,,,64-62,2,N. Batum makes 2-pt shot from 11 ft
5:38.0,A. Rivers makes 3-pt shot from 26 ft (assist by B. Griffin),3,67-62,,
5:20.0,,,67-65,3,M. Williams makes 3-pt shot from 25 ft (assist by F. Kaminsky)
5:01.0,B. Griffin misses 2-pt shot from 2 ft,,67-65,,
4:59.0,Offensive rebound by B. Griffin,,67-65,,
4:59.0,B. Griffin misses 2-pt shot from 1 ft,,67-65,,
4:57.0,,,67-65,,Defensive rebound by F. Kaminsky
4:41.0,,,67-65,,F. Kaminsky misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by J. Redick,,67-65,,
4:36.0,B. Griffin misses 2-pt shot from 1 ft (block by K. Walker),,67-65,,
4:36.0,Offensive rebound by Team,,67-65,,
4:30.0,J. Redick misses 3-pt shot from 25 ft (block by F. Kaminsky),,67-65,,
4:29.0,,,67-65,,Defensive rebound by N. Batum
4:23.0,,,67-65,,N. Batum misses 3-pt shot from 27 ft
4:22.0,Defensive rebound by D. Jordan,,67-65,,
4:13.0,Shooting foul by M. Williams (drawn by A. Rivers),,67-65,,
4:13.0,A. Rivers misses free throw 1 of 2,,67-65,,
4:13.0,Offensive rebound by Team,,67-65,,
4:13.0,A. Rivers misses free throw 2 of 2,,67-65,,
4:13.0,J. Crawford enters the game for J. Redick,,67-65,,
4:13.0,,,67-65,,J. Lamb enters the game for M. Williams
4:11.0,,,67-65,,Defensive rebound by M. Kidd-Gilchrist
4:01.0,,,67-65,,K. Walker misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by B. Griffin,,67-65,,
3:51.0,Turnover by B. Griffin (bad pass; steal by M. Kidd-Gilchrist),,67-65,,
3:42.0,,,67-65,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
3:41.0,Defensive rebound by D. Jordan,,67-65,,
3:26.0,A. Rivers makes 2-pt shot from 1 ft,2,69-65,,
3:12.0,,,69-65,,K. Walker misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by D. Jordan,,69-65,,
3:00.0,B. Griffin makes 2-pt shot from 1 ft,2,71-65,,
3:00.0,Shooting foul by N. Batum (drawn by B. Griffin),,71-65,,
3:00.0,B. Griffin makes free throw 1 of 1,1,72-65,,
3:00.0,R. Felton enters the game for L. Mbah a Moute,,71-65,,
2:43.0,,,72-68,3,J. Lamb makes 3-pt shot from 25 ft
2:17.0,J. Crawford makes 3-pt shot from 30 ft (assist by R. Felton),3,75-68,,
2:01.0,Personal foul by B. Griffin (drawn by K. Walker),,75-68,,
2:01.0,,,75-68,,Charlotte full timeout
2:01.0,,,75-68,,M. Plumlee enters the game for F. Kaminsky
1:48.0,,,75-68,,J. Lamb misses 2-pt shot at rim (block by B. Griffin)
1:48.0,,,75-68,,Offensive rebound by Team
1:45.0,,,75-68,,J. Lamb misses 2-pt shot from 19 ft
1:44.0,Defensive rebound by A. Rivers,,75-68,,
1:33.0,Turnover by D. Jordan (bad pass; steal by M. Kidd-Gilchrist),,75-68,,
1:19.0,,,75-68,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
1:18.0,Defensive rebound by D. Jordan,,75-68,,
1:10.0,Shooting foul by M. Kidd-Gilchrist (drawn by B. Griffin),,75-68,,
1:10.0,B. Griffin makes free throw 1 of 2,1,76-68,,
1:10.0,B. Griffin makes free throw 2 of 2,1,77-68,,
0:58.0,,,77-68,,Shooting foul by A. Rivers (drawn by N. Batum)
0:58.0,,,77-69,1,N. Batum makes free throw 1 of 3
0:58.0,,,77-70,1,N. Batum makes free throw 2 of 3
0:58.0,,,77-70,,N. Batum misses free throw 3 of 3
0:56.0,Defensive rebound by D. Jordan,,77-70,,
0:47.0,Turnover by R. Felton (bad pass),,77-70,,
0:47.0,A. Anderson enters the game for A. Rivers,,77-70,,
0:47.0,W. Johnson enters the game for B. Griffin,,77-70,,
0:38.0,,,77-70,,K. Walker misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by D. Jordan,,77-70,,
0:29.0,J. Crawford misses 2-pt shot from 13 ft,,77-70,,
0:29.0,Offensive rebound by Team,,77-70,,
0:26.0,W. Johnson misses 2-pt shot from 18 ft,,77-70,,
0:25.0,,,77-70,,Defensive rebound by N. Batum
0:04.0,,,77-70,,J. Lamb misses 3-pt shot from 29 ft
0:02.0,Defensive rebound by D. Jordan,,77-70,,
0:00.0,Turnover by D. Jordan (bad pass),,77-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,A. Anderson makes 2-pt shot from 1 ft,2,79-70,,
11:24.0,,,79-70,,Shooting foul by M. Speights (drawn by K. Walker)
11:24.0,,,79-70,,K. Walker misses free throw 1 of 2
11:24.0,,,79-70,,Offensive rebound by Team
11:24.0,,,79-71,1,K. Walker makes free throw 2 of 2
11:01.0,J. Crawford makes 3-pt shot from 27 ft (assist by A. Anderson),3,82-71,,
11:01.0,,,82-71,,Charlotte full timeout
10:41.0,,,82-74,3,M. Belinelli makes 3-pt shot from 25 ft (assist by J. Lamb)
10:33.0,,,82-74,,Personal foul by M. Belinelli (drawn by A. Anderson)
10:32.0,,,82-74,,F. Kaminsky enters the game for M. Kidd-Gilchrist
10:32.0,,,82-74,,M. Williams enters the game for M. Plumlee
10:20.0,M. Speights misses 3-pt shot from 28 ft,,82-74,,
10:19.0,,,82-74,,Defensive rebound by K. Walker
10:08.0,,,82-74,,Turnover by K. Walker (traveling)
9:57.0,W. Johnson misses 3-pt shot from 24 ft,,82-74,,
9:55.0,Offensive rebound by M. Speights,,82-74,,
9:49.0,Offensive charge foul by M. Speights,,82-74,,
9:49.0,Turnover by M. Speights (offensive foul),,82-74,,
9:32.0,,,82-76,2,J. Lamb makes 2-pt shot from 8 ft
9:18.0,R. Felton makes 2-pt shot from 18 ft,2,84-76,,
8:58.0,,,84-79,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
8:43.0,M. Speights misses 3-pt shot from 26 ft,,84-79,,
8:41.0,,,84-79,,Defensive rebound by M. Belinelli
8:36.0,,,84-79,,M. Belinelli misses 3-pt shot from 28 ft
8:32.0,Defensive rebound by R. Felton,,84-79,,
8:22.0,Shooting foul by F. Kaminsky (drawn by A. Anderson),,84-79,,
8:22.0,A. Anderson makes free throw 1 of 2,1,85-79,,
8:22.0,A. Anderson makes free throw 2 of 2,1,86-79,,
8:22.0,A. Rivers enters the game for W. Johnson,,85-79,,
8:07.0,Personal foul by A. Anderson (drawn by F. Kaminsky),,86-79,,
7:56.0,,,86-79,,J. Lamb misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by M. Speights,,86-79,,
7:33.0,R. Felton misses 2-pt shot from 1 ft (block by F. Kaminsky),,86-79,,
7:31.0,,,86-79,,Defensive rebound by M. Williams
7:20.0,,,86-81,2,M. Belinelli makes 2-pt shot from 9 ft (assist by J. Lamb)
6:58.0,Turnover by A. Rivers (bad pass; steal by F. Kaminsky),,86-81,,
6:57.0,Personal foul by M. Speights (drawn by M. Williams),,86-81,,
6:57.0,B. Griffin enters the game for M. Speights,,86-81,,
6:57.0,D. Jordan enters the game for A. Anderson,,86-81,,
6:57.0,,,86-81,,N. Batum enters the game for J. Lamb
6:39.0,,,86-83,2,M. Williams makes 2-pt shot from 1 ft (assist by F. Kaminsky)
6:21.0,R. Felton makes 2-pt shot from 18 ft,2,88-83,,
6:03.0,,,88-85,2,M. Belinelli makes 2-pt shot from 19 ft (assist by N. Batum)
5:43.0,J. Crawford makes 3-pt shot from 26 ft (assist by R. Felton),3,91-85,,
5:19.0,,,91-88,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum)
4:52.0,A. Rivers makes 2-pt shot from 2 ft,2,93-88,,
4:31.0,,,93-88,,M. Williams misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by R. Felton,,93-88,,
4:18.0,B. Griffin makes 2-pt shot from 7 ft,2,95-88,,
3:57.0,,,95-88,,F. Kaminsky misses 2-pt shot from 1 ft
3:56.0,,,95-88,,Offensive rebound by F. Kaminsky
3:56.0,,,95-90,2,F. Kaminsky makes 2-pt shot at rim
3:45.0,B. Griffin misses 2-pt shot from 1 ft,,95-90,,
3:44.0,,,95-90,,Defensive rebound by M. Belinelli
3:37.0,,,95-92,2,F. Kaminsky makes 2-pt shot at rim (assist by N. Batum)
3:37.0,LA Clippers full timeout,,95-92,,
3:37.0,J. Redick enters the game for J. Crawford,,95-92,,
3:27.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,97-92,,
3:11.0,,,97-92,,N. Batum misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by A. Rivers,,97-92,,
2:48.0,D. Jordan misses 2-pt shot from 7 ft,,97-92,,
2:47.0,,,97-92,,Defensive rebound by F. Kaminsky
2:38.0,,,97-92,,K. Walker misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by D. Jordan,,97-92,,
2:23.0,B. Griffin misses 2-pt shot from 2 ft,,97-92,,
2:22.0,,,97-92,,Defensive rebound by K. Walker
2:03.0,,,97-92,,K. Walker misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by A. Rivers,,97-92,,
1:45.0,A. Rivers makes 3-pt shot from 25 ft,3,100-92,,
1:45.0,,,100-92,,Charlotte full timeout
1:45.0,Official timeout,,100-92,,
1:42.0,,,100-95,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Belinelli)
1:31.0,Turnover by A. Rivers (lost ball),,100-95,,
1:28.0,L. Mbah a Moute enters the game for R. Felton,,100-95,,
1:18.0,,,100-95,,Turnover by N. Batum (bad pass; steal by L. Mbah a Moute)
1:18.0,LA Clippers full timeout,,100-95,,
1:18.0,J. Crawford enters the game for L. Mbah a Moute,,100-95,,
1:03.0,J. Crawford misses 3-pt shot from 23 ft,,100-95,,
1:02.0,,,100-95,,Defensive rebound by M. Williams
0:58.0,,,100-95,,Shooting foul by J. Redick (drawn by F. Kaminsky)
