time,Golden State,pts.away,score,pts.home,Indiana
7:05.0,Defensive rebound by Z. Pachulia,,11-5,,
6:58.0,D. Green misses 3-pt shot from 26 ft,,11-5,,
6:55.0,,,11-5,,Defensive rebound by M. Ellis
6:48.0,,,11-5,,Turnover by M. Ellis (bad pass; steal by S. Curry)
6:45.0,Shooting foul by M. Ellis (drawn by S. Curry),,11-5,,
6:45.0,S. Curry makes free throw 1 of 2,1,12-5,,
6:45.0,S. Curry makes free throw 2 of 2,1,13-5,,
6:45.0,,,12-5,,R. Stuckey enters the game for M. Ellis
6:41.0,,,13-5,,Indiana full timeout
6:35.0,Personal foul by Z. Pachulia (drawn by A. Jefferson),,13-5,,
6:22.0,,,13-5,,T. Young misses 2-pt shot from 17 ft
6:21.0,Defensive rebound by K. Durant,,13-5,,
6:08.0,Z. Pachulia misses 2-pt shot from 2 ft (block by J. Teague),,13-5,,
6:06.0,,,13-5,,Defensive rebound by T. Young
6:02.0,,,13-7,2,R. Stuckey makes 2-pt shot from 1 ft (assist by J. Teague)
5:50.0,K. Thompson makes 2-pt shot from 14 ft (assist by D. Green),2,15-7,,
5:35.0,,,15-7,,J. Teague misses 2-pt shot from 13 ft
5:34.0,Defensive rebound by D. Green,,15-7,,
5:24.0,K. Thompson misses 3-pt shot from 23 ft,,15-7,,
5:24.0,Offensive rebound by Z. Pachulia,,15-7,,
5:19.0,K. Thompson makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,17-7,,
5:02.0,,,17-9,2,R. Stuckey makes 2-pt shot from 18 ft
4:41.0,K. Durant makes 2-pt shot from 16 ft,2,19-9,,
4:21.0,,,19-11,2,R. Stuckey makes 2-pt shot from 15 ft
4:19.0,Golden State full timeout,,19-11,,
4:19.0,,,19-11,,K. Seraphin enters the game for A. Jefferson
4:19.0,A. Iguodala enters the game for K. Durant,,19-11,,
4:19.0,J. McGee enters the game for Z. Pachulia,,19-11,,
4:09.0,,,19-11,,Loose ball foul by R. Stuckey (drawn by J. McGee)
4:04.0,Turnover by K. Thompson (bad pass; steal by J. Teague),,19-11,,
4:00.0,,,19-13,2,J. Teague makes 2-pt shot from 1 ft
3:48.0,D. Green misses 3-pt shot from 26 ft,,19-13,,
3:48.0,,,19-13,,Defensive rebound by K. Seraphin
3:37.0,,,19-13,,J. Teague misses 2-pt shot at rim (block by J. McGee)
3:37.0,,,19-13,,Offensive rebound by K. Seraphin
3:35.0,,,19-15,2,K. Seraphin makes 2-pt shot from 1 ft
3:28.0,Shooting foul by J. Teague (drawn by S. Curry),,19-15,,
3:28.0,S. Curry makes free throw 1 of 2,1,20-15,,
3:28.0,S. Curry makes free throw 2 of 2,1,21-15,,
3:28.0,,,20-15,,L. Allen enters the game for G. Robinson
3:28.0,I. Clark enters the game for K. Thompson,,20-15,,
3:12.0,,,21-15,,K. Seraphin misses 2-pt shot from 14 ft
3:11.0,Defensive rebound by J. McGee,,21-15,,
2:55.0,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry),2,23-15,,
2:39.0,,,23-15,,Turnover by T. Young (bad pass; steal by A. Iguodala)
2:34.0,A. Iguodala misses 2-pt shot from 1 ft,,23-15,,
2:33.0,Offensive rebound by Team,,23-15,,
2:31.0,D. Green makes 2-pt shot from 1 ft (assist by I. Clark),2,25-15,,
2:14.0,,,25-17,2,R. Stuckey makes 2-pt shot from 18 ft
1:57.0,A. Iguodala makes 3-pt shot from 25 ft (assist by S. Curry),3,28-17,,
1:44.0,,,28-17,,J. Teague misses 2-pt shot from 9 ft
1:43.0,,,28-17,,Offensive rebound by J. Teague
1:41.0,,,28-19,2,J. Teague makes 2-pt shot from 4 ft
1:31.0,J. McGee makes 2-pt shot from 4 ft (assist by A. Iguodala),2,30-19,,
1:20.0,,,30-19,,J. Teague misses 2-pt shot at rim
1:19.0,Defensive rebound by J. McGee,,30-19,,
1:12.0,Turnover by S. Curry (lost ball; steal by J. Teague),,30-19,,
1:11.0,Personal foul by J. McGee (drawn by J. Teague),,30-19,,
1:11.0,,,30-19,,A. Brooks enters the game for J. Teague
1:11.0,K. Durant enters the game for D. Green,,30-19,,
1:01.0,,,30-19,,R. Stuckey misses 2-pt shot from 18 ft
1:01.0,Defensive rebound by Team,,30-19,,
1:01.0,,,30-19,,Loose ball foul by K. Seraphin (drawn by J. McGee)
1:01.0,J. McGee misses free throw 1 of 2,,30-19,,
1:01.0,Offensive rebound by Team,,30-19,,
1:01.0,J. McGee makes free throw 2 of 2,1,31-19,,
0:45.0,,,31-19,,K. Seraphin misses 2-pt shot from 18 ft
0:44.0,Defensive rebound by I. Clark,,31-19,,
0:37.0,I. Clark makes 3-pt shot from 27 ft (assist by A. Iguodala),3,34-19,,
0:22.0,,,34-21,2,A. Brooks makes 2-pt shot from 17 ft
0:05.0,K. Durant misses 3-pt shot from 26 ft,,34-21,,
0:02.0,Offensive rebound by J. McGee,,34-21,,
0:01.0,Turnover by J. McGee (bad pass),,34-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,34-21,,K. Seraphin misses 2-pt shot from 6 ft
11:46.0,Defensive rebound by K. Durant,,34-21,,
11:24.0,Shooting foul by G. Robinson (drawn by K. Durant),,34-21,,
11:24.0,K. Durant makes free throw 1 of 2,1,35-21,,
11:24.0,K. Durant makes free throw 2 of 2,1,36-21,,
11:14.0,,,36-23,2,A. Brooks makes 2-pt shot from 1 ft
11:10.0,Turnover by K. Durant (bad pass; steal by A. Brooks),,36-23,,
11:01.0,,,36-23,,R. Stuckey misses 2-pt shot from 6 ft
11:00.0,Defensive rebound by S. Livingston,,36-23,,
10:52.0,D. West makes 2-pt shot from 17 ft (assist by S. Livingston),2,38-23,,
10:23.0,,,38-23,,R. Stuckey misses 3-pt shot from 27 ft
10:22.0,Defensive rebound by D. West,,38-23,,
10:09.0,D. West misses 2-pt shot from 2 ft,,38-23,,
10:08.0,,,38-23,,Defensive rebound by K. Seraphin
10:01.0,,,38-23,,A. Brooks misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by K. Durant,,38-23,,
9:44.0,I. Clark misses 2-pt shot from 10 ft,,38-23,,
9:43.0,,,38-23,,Defensive rebound by K. Seraphin
9:33.0,,,38-23,,K. Seraphin misses 2-pt shot from 3 ft
9:32.0,,,38-23,,Offensive rebound by L. Allen
9:32.0,,,38-23,,L. Allen misses 2-pt shot from 1 ft
9:31.0,,,38-23,,Offensive rebound by L. Allen
9:26.0,,,38-23,,R. Stuckey misses 3-pt shot from 27 ft
9:26.0,Defensive rebound by K. Durant,,38-23,,
9:15.0,K. Durant misses 2-pt shot from 19 ft,,38-23,,
9:14.0,,,38-23,,Defensive rebound by L. Allen
9:03.0,,,38-23,,Shooting foul by A. Iguodala (drawn by R. Stuckey)
9:03.0,,,38-24,1,R. Stuckey makes free throw 1 of 2
9:03.0,,,38-25,1,R. Stuckey makes free throw 2 of 2
9:03.0,K. Thompson enters the game for A. Iguodala,,38-24,,
9:03.0,,,38-24,,A. Jefferson enters the game for K. Seraphin
8:53.0,S. Livingston misses 2-pt shot from 16 ft,,38-25,,
8:53.0,,,38-25,,Defensive rebound by A. Jefferson
8:45.0,,,38-25,,A. Brooks misses 2-pt shot from 3 ft
8:45.0,,,38-25,,Offensive rebound by Team
8:45.0,,,38-25,,Turnover by A. Brooks (traveling)
8:45.0,Official timeout,,38-25,,
8:45.0,,,38-25,,M. Ellis enters the game for R. Stuckey
8:45.0,,,38-25,,J. Teague enters the game for L. Allen
8:45.0,,,38-25,,T. Young enters the game for A. Brooks
8:32.0,Turnover by D. West (traveling),,38-25,,
8:21.0,,,38-25,,G. Robinson misses 2-pt shot from 10 ft
8:21.0,Defensive rebound by K. Durant,,38-25,,
8:17.0,Offensive foul by D. West,,38-25,,
8:17.0,Turnover by D. West (offensive foul),,38-25,,
8:08.0,,,38-25,,T. Young misses 2-pt shot from 17 ft
8:07.0,Defensive rebound by K. Thompson,,38-25,,
7:45.0,S. Livingston makes 2-pt shot from 13 ft (assist by K. Durant),2,40-25,,
7:29.0,,,40-27,2,J. Teague makes 2-pt shot from 16 ft (assist by A. Jefferson)
7:29.0,,,40-27,,Shooting foul by I. Clark (drawn by J. Teague)
7:29.0,,,40-28,1,J. Teague makes free throw 1 of 1
7:29.0,D. Green enters the game for K. Durant,,40-27,,
7:15.0,,,40-28,,Personal foul by G. Robinson (drawn by D. West)
7:11.0,K. Thompson makes 2-pt shot from 3 ft (assist by D. West),2,42-28,,
6:55.0,,,42-28,,T. Young misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by D. Green,,42-28,,
6:52.0,Turnover by D. Green (bad pass; steal by G. Robinson),,42-28,,
6:42.0,,,42-28,,M. Ellis misses 2-pt shot at rim (block by D. West)
6:41.0,,,42-28,,Offensive rebound by T. Young
6:39.0,,,42-30,2,T. Young makes 2-pt shot from 2 ft
6:23.0,I. Clark misses 3-pt shot from 25 ft,,42-30,,
6:23.0,,,42-30,,Defensive rebound by Team
6:23.0,S. Curry enters the game for I. Clark,,42-30,,
6:06.0,,,42-30,,A. Jefferson misses 2-pt shot from 14 ft
6:05.0,Defensive rebound by D. West,,42-30,,
5:56.0,D. West misses 2-pt shot from 20 ft,,42-30,,
5:55.0,,,42-30,,Defensive rebound by J. Teague
5:49.0,,,42-32,2,T. Young makes 2-pt shot from 1 ft (assist by J. Teague)
5:32.0,S. Curry misses 3-pt shot from 25 ft,,42-32,,
5:32.0,,,42-32,,Defensive rebound by A. Jefferson
5:19.0,,,42-32,,Turnover by T. Young (bad pass; steal by K. Thompson)
5:13.0,K. Thompson misses 3-pt shot from 29 ft,,42-32,,
5:12.0,,,42-32,,Defensive rebound by A. Jefferson
5:07.0,,,42-32,,Indiana full timeout
5:07.0,A. Iguodala enters the game for D. West,,42-32,,
5:07.0,K. Durant enters the game for S. Livingston,,42-32,,
5:07.0,,,42-32,,L. Allen enters the game for A. Jefferson
4:52.0,,,42-32,,L. Allen misses 2-pt shot from 7 ft
4:51.0,Defensive rebound by K. Durant,,42-32,,
4:39.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,44-32,,
4:19.0,,,44-34,2,G. Robinson makes 2-pt shot from 4 ft
4:05.0,S. Curry makes 3-pt shot from 25 ft,3,47-34,,
3:56.0,,,47-36,2,J. Teague makes 2-pt shot from 2 ft
3:41.0,Shooting foul by L. Allen (drawn by K. Durant),,47-36,,
3:41.0,K. Durant makes free throw 1 of 2,1,48-36,,
3:41.0,K. Durant makes free throw 2 of 2,1,49-36,,
3:41.0,,,48-36,,R. Stuckey enters the game for L. Allen
3:30.0,,,49-36,,Turnover by M. Ellis (bad pass)
3:19.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,51-36,,
2:51.0,,,51-36,,J. Teague misses 2-pt shot from 1 ft
2:50.0,,,51-36,,Offensive rebound by T. Young
2:47.0,,,51-36,,T. Young misses 2-pt shot from 4 ft (block by D. Green)
2:46.0,Defensive rebound by S. Curry,,51-36,,
2:42.0,K. Thompson misses 2-pt shot at rim (block by M. Ellis),,51-36,,
2:42.0,Offensive rebound by Team,,51-36,,
2:42.0,Golden State full timeout,,51-36,,
2:35.0,A. Iguodala misses 3-pt shot from 26 ft,,51-36,,
2:34.0,,,51-36,,Defensive rebound by G. Robinson
2:22.0,,,51-36,,Turnover by J. Teague (lost ball; steal by K. Durant)
2:22.0,Jump ball: K. Durant vs. J. Teague (D. Green gains possession),,,,Jump ball: K. Durant vs. J. Teague (D. Green gains possession)
2:10.0,A. Iguodala misses 2-pt shot from 1 ft,,51-36,,
2:09.0,Offensive rebound by D. Green,,51-36,,
2:09.0,D. Green makes 2-pt shot from 1 ft,2,53-36,,
1:46.0,,,53-36,,J. Teague misses 3-pt shot from 27 ft
1:45.0,Defensive rebound by D. Green,,53-36,,
1:34.0,K. Durant makes 3-pt shot from 26 ft (assist by A. Iguodala),3,56-36,,
1:22.0,,,56-36,,Shooting foul by K. Thompson (drawn by R. Stuckey)
1:22.0,,,56-37,1,R. Stuckey makes free throw 1 of 2
1:22.0,,,56-38,1,R. Stuckey makes free throw 2 of 2
1:06.0,K. Thompson misses 2-pt shot from 17 ft,,56-38,,
1:06.0,,,56-38,,Defensive rebound by R. Stuckey
0:50.0,,,56-38,,G. Robinson misses 2-pt shot at rim (block by K. Durant)
0:48.0,Defensive rebound by K. Durant,,56-38,,
0:42.0,K. Thompson misses 3-pt shot from 23 ft,,56-38,,
0:42.0,Offensive rebound by D. Green,,56-38,,
0:39.0,K. Durant misses 2-pt shot from 16 ft,,56-38,,
0:38.0,Offensive rebound by S. Curry,,56-38,,
0:37.0,S. Curry makes 2-pt shot from 7 ft,2,58-38,,
0:32.0,,,58-38,,Indiana full timeout
0:32.0,I. Clark enters the game for K. Thompson,,58-38,,
0:30.0,,,58-40,2,T. Young makes 2-pt shot from 4 ft (assist by R. Stuckey)
0:11.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala),3,61-40,,
0:02.0,,,61-42,2,R. Stuckey makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,61-44,2,M. Ellis makes 2-pt shot from 4 ft
11:24.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant),2,63-44,,
11:09.0,,,63-44,,G. Robinson misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by D. Green,,63-44,,
11:02.0,K. Durant misses 3-pt shot from 28 ft,,63-44,,
11:01.0,,,63-44,,Defensive rebound by M. Ellis
10:39.0,,,63-44,,M. Ellis misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by K. Durant,,63-44,,
10:24.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,66-44,,
10:04.0,,,66-44,,G. Robinson misses 3-pt shot from 26 ft (block by K. Durant)
10:03.0,,,66-44,,Offensive rebound by G. Robinson
9:56.0,,,66-44,,Turnover by M. Ellis (lost ball; steal by D. Green)
9:51.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,68-44,,
9:51.0,,,68-44,,Indiana full timeout
9:42.0,,,68-47,3,T. Young makes 3-pt shot from 29 ft (assist by A. Jefferson)
9:29.0,,,68-47,,Personal block foul by T. Young (drawn by S. Curry)
9:15.0,D. Green makes 2-pt shot from 2 ft,2,70-47,,
9:02.0,,,70-47,,G. Robinson misses 2-pt shot from 14 ft
9:02.0,Defensive rebound by K. Durant,,70-47,,
8:58.0,Shooting foul by A. Jefferson (drawn by D. Green),,70-47,,
8:58.0,D. Green makes free throw 1 of 2,1,71-47,,
8:58.0,D. Green makes free throw 2 of 2,1,72-47,,
8:51.0,Violation by D. Green (kicked ball),,72-47,,
8:45.0,,,72-47,,J. Teague misses 3-pt shot from 28 ft
8:44.0,Defensive rebound by K. Durant,,72-47,,
8:38.0,K. Thompson misses 3-pt shot from 26 ft (block by J. Teague),,72-47,,
8:38.0,Offensive rebound by Team,,72-47,,
8:34.0,K. Thompson makes 2-pt shot from 18 ft (assist by K. Durant),2,74-47,,
8:18.0,,,74-47,,Turnover by J. Teague (lost ball; steal by K. Thompson)
8:12.0,K. Durant misses 2-pt shot from 2 ft,,74-47,,
8:12.0,Offensive rebound by D. Green,,74-47,,
8:12.0,D. Green misses 2-pt shot from 1 ft,,74-47,,
8:11.0,,,74-47,,Defensive rebound by A. Jefferson
8:03.0,,,74-50,3,G. Robinson makes 3-pt shot from 23 ft (assist by J. Teague)
7:55.0,Shooting foul by A. Jefferson (drawn by Z. Pachulia),,74-50,,
7:55.0,Z. Pachulia makes free throw 1 of 2,1,75-50,,
7:55.0,Z. Pachulia makes free throw 2 of 2,1,76-50,,
7:38.0,Personal foul by K. Thompson (drawn by J. Teague),,76-50,,
7:32.0,,,76-50,,Turnover by M. Ellis (bad pass; steal by K. Durant)
7:32.0,,,76-50,,Personal foul by M. Ellis (drawn by K. Durant)
7:12.0,Z. Pachulia misses 2-pt shot from 2 ft,,76-50,,
7:11.0,Offensive rebound by Z. Pachulia,,76-50,,
7:11.0,Z. Pachulia makes 2-pt shot from 1 ft,2,78-50,,
6:54.0,,,78-52,2,T. Young makes 2-pt shot from 11 ft
6:46.0,S. Curry makes 2-pt shot from 12 ft (assist by K. Durant),2,80-52,,
6:35.0,,,80-55,3,T. Young makes 3-pt shot from 27 ft (assist by G. Robinson)
6:26.0,Shooting foul by A. Jefferson (drawn by S. Curry),,80-55,,
6:26.0,S. Curry makes free throw 1 of 2,1,81-55,,
6:26.0,S. Curry makes free throw 2 of 2,1,82-55,,
6:26.0,,,81-55,,K. Seraphin enters the game for A. Jefferson
6:14.0,,,82-55,,T. Young misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by Z. Pachulia,,82-55,,
5:55.0,S. Curry makes 2-pt shot from 21 ft (assist by K. Durant),2,84-55,,
5:42.0,,,84-55,,A. Brooks enters the game for J. Teague
5:42.0,A. Iguodala enters the game for K. Durant,,84-55,,
5:42.0,J. McGee enters the game for Z. Pachulia,,84-55,,
5:36.0,,,84-55,,M. Ellis misses 2-pt shot from 20 ft
5:35.0,Defensive rebound by Team,,84-55,,
5:35.0,,,84-55,,Loose ball foul by T. Young (drawn by K. Thompson)
5:35.0,K. Thompson makes free throw 1 of 2,1,85-55,,
5:35.0,K. Thompson misses free throw 2 of 2,,85-55,,
5:35.0,,,85-55,,Defensive rebound by T. Young
5:19.0,,,85-58,3,M. Ellis makes 3-pt shot from 27 ft (assist by A. Brooks)
5:05.0,,,85-58,,Personal foul by A. Brooks (drawn by S. Curry)
5:05.0,S. Curry makes free throw 1 of 2,1,86-58,,
5:05.0,S. Curry makes free throw 2 of 2,1,87-58,,
4:55.0,,,87-61,3,A. Brooks makes 3-pt shot from 26 ft
4:40.0,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Green),3,90-61,,
4:23.0,,,90-61,,T. Young misses 3-pt shot from 25 ft
4:22.0,,,90-61,,Offensive rebound by K. Seraphin
4:20.0,,,90-63,2,K. Seraphin makes 2-pt shot from 9 ft
4:10.0,J. McGee misses 2-pt shot from 1 ft,,90-63,,
4:10.0,,,90-63,,Defensive rebound by G. Robinson
4:10.0,Personal take foul by D. Green (drawn by G. Robinson),,90-63,,
4:10.0,,,90-63,,L. Allen enters the game for T. Young
4:10.0,,,90-63,,R. Stuckey enters the game for G. Robinson
4:10.0,Golden State full timeout,,90-63,,
4:01.0,Personal block foul by J. McGee (drawn by A. Brooks),,90-63,,
3:46.0,,,90-63,,L. Allen misses 2-pt shot from 4 ft
3:45.0,,,90-63,,Offensive rebound by K. Seraphin
3:44.0,,,90-63,,K. Seraphin misses 2-pt shot from 6 ft
3:44.0,,,90-63,,Offensive rebound by Team
3:44.0,,,90-63,,Turnover by Team (shot clock)
3:30.0,J. McGee makes 2-pt shot from 4 ft (assist by S. Curry),2,92-63,,
3:09.0,,,92-63,,M. Ellis misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by S. Curry,,92-63,,
3:02.0,S. Curry misses 3-pt shot from 26 ft,,92-63,,
3:01.0,Offensive rebound by S. Curry,,92-63,,
2:57.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,95-63,,
2:41.0,,,95-63,,Shooting foul by A. Iguodala (drawn by A. Brooks)
2:41.0,,,95-64,1,A. Brooks makes free throw 1 of 2
2:41.0,,,95-65,1,A. Brooks makes free throw 2 of 2
2:41.0,K. Durant enters the game for K. Thompson,,95-64,,
2:41.0,,,95-64,,G. Robinson enters the game for M. Ellis
2:29.0,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry),3,98-65,,
2:10.0,,,98-65,,G. Robinson misses 2-pt shot from 19 ft
2:09.0,Defensive rebound by S. Curry,,98-65,,
2:05.0,Offensive charge foul by J. McGee,,98-65,,
2:05.0,Turnover by J. McGee (offensive foul),,98-65,,
1:53.0,,,98-65,,L. Allen misses 2-pt shot from 18 ft
1:52.0,Defensive rebound by J. McGee,,98-65,,
1:44.0,K. Durant misses 3-pt shot from 27 ft,,98-65,,
1:43.0,,,98-65,,Defensive rebound by G. Robinson
1:32.0,,,98-65,,Turnover by L. Allen (bad pass; steal by D. Green)
1:16.0,A. Iguodala misses 3-pt shot from 23 ft,,98-65,,
1:15.0,,,98-65,,Defensive rebound by K. Seraphin
1:05.0,,,98-67,2,K. Seraphin makes 2-pt shot from 6 ft (assist by A. Brooks)
0:53.0,,,98-67,,Personal foul by G. Robinson (drawn by K. Durant)
0:53.0,K. Durant makes free throw 1 of 2,1,99-67,,
0:53.0,K. Durant makes free throw 2 of 2,1,100-67,,
0:53.0,D. West enters the game for D. Green,,99-67,,
0:53.0,S. Livingston enters the game for S. Curry,,99-67,,
0:41.0,,,100-69,2,R. Stuckey makes 2-pt shot from 18 ft
0:27.0,Shooting foul by R. Stuckey (drawn by J. McGee),,100-69,,
0:27.0,J. McGee misses free throw 1 of 2,,100-69,,
0:27.0,Offensive rebound by Team,,100-69,,
0:27.0,J. McGee misses free throw 2 of 2,,100-69,,
0:27.0,,,100-69,,Defensive rebound by K. Seraphin
0:09.0,,,100-69,,Shooting foul by S. Livingston (drawn by R. Stuckey)
0:09.0,,,100-70,1,R. Stuckey makes free throw 1 of 2
0:09.0,,,100-71,1,R. Stuckey makes free throw 2 of 2
0:09.0,I. Clark enters the game for J. McGee,,100-70,,
0:09.0,,,100-70,,T. Young enters the game for K. Seraphin
0:00.0,I. Clark misses 3-pt shot from 24 ft,,100-71,,
0:00.0,Offensive rebound by Team,,100-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,P. McCaw misses 2-pt shot from 19 ft,,100-71,,
11:39.0,,,100-71,,Defensive rebound by A. Jefferson
11:23.0,,,100-73,2,A. Jefferson makes 2-pt shot from 9 ft
11:03.0,,,100-73,,Personal foul by A. Jefferson (drawn by S. Livingston)
10:58.0,P. McCaw makes 3-pt shot from 25 ft (assist by S. Livingston),3,103-73,,
10:39.0,,,103-73,,L. Allen misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by D. West,,103-73,,
10:26.0,Shooting foul by R. Stuckey (drawn by D. West),,103-73,,
10:26.0,D. West makes free throw 1 of 2,1,104-73,,
10:26.0,D. West makes free throw 2 of 2,1,105-73,,
10:14.0,,,105-75,2,R. Stuckey makes 2-pt shot from 19 ft (assist by L. Allen)
10:02.0,Shooting foul by R. Stuckey (drawn by S. Livingston),,105-75,,
10:02.0,S. Livingston makes free throw 1 of 2,1,106-75,,
10:02.0,S. Livingston makes free throw 2 of 2,1,107-75,,
9:44.0,,,107-77,2,A. Jefferson makes 2-pt shot from 17 ft (assist by A. Brooks)
9:31.0,P. McCaw misses 2-pt shot from 13 ft,,107-77,,
9:26.0,Offensive rebound by I. Clark,,107-77,,
9:20.0,D. West misses 2-pt shot from 18 ft,,107-77,,
9:20.0,,,107-77,,Defensive rebound by R. Stuckey
9:02.0,,,107-77,,Shooting foul by D. West (drawn by R. Stuckey)
9:02.0,,,107-77,,R. Stuckey misses free throw 1 of 2
9:02.0,,,107-77,,Offensive rebound by Team
9:02.0,,,107-78,1,R. Stuckey makes free throw 2 of 2
8:49.0,I. Clark makes 2-pt shot from 18 ft (assist by K. Looney),2,109-78,,
8:37.0,,,109-78,,R. Stuckey misses 3-pt shot from 31 ft
8:37.0,Defensive rebound by K. Looney,,109-78,,
8:26.0,I. Clark makes 2-pt shot from 3 ft (assist by D. West),2,111-78,,
8:18.0,Violation by S. Livingston (kicked ball),,111-78,,
8:18.0,Official timeout,,111-78,,
8:18.0,,,111-78,,K. Seraphin enters the game for A. Jefferson
8:18.0,,,111-78,,J. Young enters the game for A. Brooks
8:18.0,J. McAdoo enters the game for K. Looney,,111-78,,
8:04.0,,,111-78,,Turnover by G. Robinson (lost ball; steal by D. West)
7:46.0,Turnover by D. West (bad pass; steal by G. Robinson),,111-78,,
7:39.0,,,111-78,,G. Robinson misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by I. Clark,,111-78,,
7:31.0,P. McCaw misses 3-pt shot from 27 ft,,111-78,,
7:30.0,Offensive rebound by J. McAdoo,,111-78,,
7:30.0,J. McAdoo misses 2-pt shot from 1 ft,,111-78,,
7:29.0,Offensive rebound by S. Livingston,,111-78,,
7:28.0,D. West makes 2-pt shot at rim (assist by S. Livingston),2,113-78,,
7:28.0,Shooting foul by L. Allen (drawn by D. West),,113-78,,
7:28.0,D. West makes free throw 1 of 1,1,114-78,,
7:06.0,,,114-78,,G. Robinson misses 3-pt shot from 23 ft
7:05.0,,,114-78,,Offensive rebound by K. Seraphin
6:57.0,,,114-78,,G. Niang enters the game for L. Allen
6:54.0,,,114-80,2,K. Seraphin makes 2-pt shot at rim (assist by R. Stuckey)
6:34.0,I. Clark misses 2-pt shot from 19 ft,,114-80,,
6:33.0,,,114-80,,Defensive rebound by J. Young
