time,New York,pts.away,score,pts.home,Miami
1:51.0,,,29-24,,W. Reed enters the game for H. Whiteside
1:51.0,K. O'Quinn enters the game for W. Hernangomez,,29-24,,
1:34.0,,,29-24,,J. Johnson misses 2-pt shot from 19 ft
1:33.0,Defensive rebound by C. Lee,,29-24,,
1:24.0,C. Lee misses 2-pt shot from 20 ft,,29-24,,
1:23.0,,,29-24,,Defensive rebound by W. Reed
1:14.0,,,29-26,2,G. Dragic makes 2-pt shot from 15 ft
1:00.0,R. Baker makes 2-pt shot from 22 ft,2,31-26,,
0:48.0,,,31-29,3,W. Ellington makes 3-pt shot from 24 ft (assist by G. Dragic)
0:27.0,J. Holiday misses 2-pt shot from 20 ft,,31-29,,
0:26.0,,,31-29,,Defensive rebound by J. Johnson
0:09.0,,,31-29,,Turnover by J. Johnson (lost ball; steal by M. Ndour)
0:05.0,Turnover by M. Ndour (bad pass),,31-29,,
0:05.0,,,31-29,,J. Richardson enters the game for G. Dragic
0:05.0,C. Randle enters the game for R. Baker,,31-29,,
0:02.0,,,31-29,,Turnover by J. Johnson (lost ball; steal by C. Lee)
0:00.0,C. Lee makes 2-pt shot from 1 ft,2,33-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,33-32,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
11:25.0,C. Randle misses 2-pt shot from 2 ft,,33-32,,
11:24.0,,,33-32,,Defensive rebound by J. Johnson
11:20.0,,,33-32,,W. Ellington misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by Team,,33-32,,
11:18.0,,,33-32,,Loose ball foul by T. Johnson (drawn by K. O'Quinn)
11:06.0,Shooting foul by W. Reed (drawn by K. O'Quinn),,33-32,,
11:06.0,K. O'Quinn makes free throw 1 of 2,1,34-32,,
11:06.0,K. O'Quinn makes free throw 2 of 2,1,35-32,,
10:55.0,,,35-32,,Shooting foul by C. Randle (drawn by J. Richardson)
10:55.0,,,35-33,1,J. Richardson makes free throw 1 of 2
10:55.0,,,35-34,1,J. Richardson makes free throw 2 of 2
10:38.0,M. Ndour misses 2-pt shot from 14 ft,,35-34,,
10:37.0,,,35-34,,Defensive rebound by W. Ellington
10:36.0,Personal block foul by S. Vujacic (drawn by J. Richardson),,35-34,,
10:27.0,,,35-36,2,T. Johnson makes 2-pt shot from 12 ft (assist by J. Richardson)
10:12.0,K. O'Quinn makes 2-pt shot at rim (assist by J. Holiday),2,37-36,,
9:56.0,,,37-36,,W. Reed misses 2-pt shot from 3 ft
9:55.0,Defensive rebound by K. O'Quinn,,37-36,,
9:34.0,M. Ndour makes 2-pt shot from 1 ft,2,39-36,,
9:15.0,,,39-39,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson)
9:03.0,Turnover by J. Holiday (bad pass),,39-39,,
9:03.0,K. Porzingis enters the game for M. Ndour,,39-39,,
8:51.0,,,39-39,,Turnover by J. Johnson (bad pass; steal by C. Randle)
8:44.0,,,39-39,,Personal block foul by T. Johnson (drawn by C. Randle)
8:44.0,Official timeout,,39-39,,
8:44.0,,,39-39,,O. White enters the game for J. Johnson
8:37.0,S. Vujacic misses 2-pt shot from 16 ft,,39-39,,
8:36.0,,,39-39,,Defensive rebound by W. Reed
8:19.0,,,39-39,,W. Reed misses 2-pt shot at rim (block by K. O'Quinn)
8:18.0,Defensive rebound by C. Randle,,39-39,,
8:12.0,C. Randle makes 2-pt shot from 2 ft,2,41-39,,
7:58.0,,,41-39,,Turnover by T. Johnson (lost ball; steal by C. Randle)
7:50.0,K. Porzingis makes 3-pt shot from 24 ft (assist by S. Vujacic),3,44-39,,
7:29.0,,,44-39,,W. Ellington misses 3-pt shot from 25 ft
7:28.0,,,44-39,,Offensive rebound by O. White
7:20.0,,,44-39,,Turnover by O. White (bad pass; steal by J. Holiday)
7:16.0,J. Holiday makes 2-pt shot at rim,2,46-39,,
7:15.0,,,46-39,,Miami full timeout
7:15.0,,,46-39,,Miami full timeout
6:56.0,,,46-41,2,T. Johnson makes 2-pt shot from 10 ft
6:31.0,Turnover by C. Randle (bad pass),,46-41,,
6:31.0,,,46-41,,H. Whiteside enters the game for W. Reed
6:31.0,,,46-41,,G. Dragic enters the game for J. Richardson
6:16.0,,,46-41,,T. Johnson misses 3-pt shot from 24 ft
6:15.0,,,46-41,,Offensive rebound by Team
6:14.0,Loose ball foul by K. O'Quinn (drawn by H. Whiteside),,46-41,,
6:14.0,R. Baker enters the game for C. Randle,,46-41,,
6:14.0,W. Hernangomez enters the game for K. O'Quinn,,46-41,,
6:00.0,,,46-41,,O. White misses 3-pt shot from 23 ft
5:59.0,Defensive rebound by R. Baker,,46-41,,
5:49.0,K. Porzingis makes 2-pt shot from 6 ft (assist by R. Baker),2,48-41,,
5:38.0,,,48-41,,G. Dragic misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by R. Baker,,48-41,,
5:29.0,S. Vujacic misses 2-pt shot from 2 ft,,48-41,,
5:28.0,,,48-41,,Defensive rebound by O. White
5:19.0,,,48-41,,T. Johnson misses 2-pt shot from 2 ft
5:18.0,,,48-41,,Offensive rebound by T. Johnson
5:15.0,,,48-44,3,G. Dragic makes 3-pt shot from 24 ft (assist by T. Johnson)
5:03.0,,,48-44,,Personal foul by G. Dragic (drawn by R. Baker)
5:03.0,,,48-44,,R. McGruder enters the game for T. Johnson
5:03.0,C. Lee enters the game for J. Holiday,,48-44,,
4:58.0,Offensive foul by S. Vujacic,,48-44,,
4:58.0,Turnover by S. Vujacic (offensive foul),,48-44,,
4:45.0,,,48-44,,Turnover by G. Dragic (bad pass; steal by R. Baker)
4:41.0,S. Vujacic misses 3-pt shot from 25 ft,,48-44,,
4:40.0,,,48-44,,Defensive rebound by R. McGruder
4:35.0,,,48-46,2,O. White makes 2-pt shot from 2 ft (assist by R. McGruder)
4:16.0,C. Lee makes 2-pt shot from 14 ft (assist by R. Baker),2,50-46,,
4:01.0,,,50-48,2,W. Ellington makes 2-pt shot from 17 ft (assist by G. Dragic)
3:42.0,K. Porzingis misses 2-pt shot from 8 ft,,50-48,,
3:41.0,,,50-48,,Defensive rebound by H. Whiteside
3:36.0,,,50-48,,Offensive foul by G. Dragic
3:36.0,,,50-48,,Turnover by G. Dragic (offensive foul)
3:36.0,,,50-48,,J. Johnson enters the game for O. White
3:23.0,K. Porzingis makes 2-pt shot from 16 ft (assist by S. Vujacic),2,52-48,,
3:10.0,,,52-48,,R. McGruder misses 3-pt shot from 24 ft
3:09.0,,,52-48,,Offensive rebound by Team
3:08.0,Loose ball foul by W. Hernangomez (drawn by H. Whiteside),,52-48,,
3:00.0,,,52-48,,W. Ellington misses 2-pt shot from 20 ft
2:59.0,Defensive rebound by K. Porzingis,,52-48,,
2:46.0,R. Baker makes 2-pt shot from 2 ft,2,54-48,,
2:31.0,,,54-48,,Shooting foul by R. Baker (drawn by G. Dragic)
2:31.0,New York full timeout,,54-48,,
2:31.0,,,54-48,,G. Dragic misses free throw 1 of 3
2:31.0,,,54-48,,Offensive rebound by Team
2:31.0,,,54-49,1,G. Dragic makes free throw 2 of 3
2:31.0,,,54-49,,G. Dragic misses free throw 3 of 3
2:30.0,Defensive rebound by W. Hernangomez,,54-49,,
2:10.0,Shooting foul by J. Johnson (drawn by C. Lee),,54-49,,
2:10.0,C. Lee makes free throw 1 of 2,1,55-49,,
2:10.0,C. Lee makes free throw 2 of 2,1,56-49,,
1:56.0,Def 3 sec tech foul by C. Lee,,56-49,,
1:56.0,,,56-50,1,G. Dragic makes technical free throw
1:42.0,,,56-50,,R. McGruder misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by W. Hernangomez,,56-50,,
1:26.0,Shooting foul by H. Whiteside (drawn by W. Hernangomez),,56-50,,
1:26.0,W. Hernangomez makes free throw 1 of 2,1,57-50,,
1:26.0,W. Hernangomez makes free throw 2 of 2,1,58-50,,
1:26.0,,,57-50,,W. Reed enters the game for H. Whiteside
1:26.0,,,57-50,,J. Richardson enters the game for G. Dragic
1:02.0,,,58-50,,J. Richardson misses 3-pt shot from 25 ft
1:01.0,,,58-50,,Offensive rebound by R. McGruder
1:00.0,,,58-52,2,R. McGruder makes 2-pt shot from 1 ft
0:52.0,K. Porzingis misses 3-pt shot from 24 ft,,58-52,,
0:51.0,,,58-52,,Defensive rebound by W. Reed
0:43.0,,,58-55,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson)
0:33.0,,,58-55,,Personal foul by W. Reed (drawn by W. Hernangomez)
0:33.0,W. Hernangomez misses free throw 1 of 2,,58-55,,
0:33.0,Offensive rebound by Team,,58-55,,
0:33.0,W. Hernangomez makes free throw 2 of 2,1,59-55,,
0:18.0,,,59-55,,W. Ellington misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by K. Porzingis,,59-55,,
0:04.0,W. Hernangomez misses 2-pt shot from 2 ft,,59-55,,
0:03.0,,,59-55,,Defensive rebound by J. Johnson
0:00.0,,,59-55,,R. McGruder misses 3-pt shot from 23 ft
0:00.0,,,59-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,59-58,3,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Richardson)
11:21.0,R. Baker makes 2-pt shot from 2 ft (assist by W. Hernangomez),2,61-58,,
11:21.0,Shooting foul by G. Dragic (drawn by R. Baker),,61-58,,
11:21.0,R. Baker makes free throw 1 of 1,1,62-58,,
10:57.0,,,62-60,2,G. Dragic makes 2-pt shot from 2 ft
10:36.0,S. Vujacic makes 2-pt shot from 17 ft (assist by K. Porzingis),2,64-60,,
10:18.0,,,64-60,,L. Babbitt misses 3-pt shot from 25 ft
10:17.0,,,64-60,,Offensive rebound by H. Whiteside
10:16.0,,,64-60,,H. Whiteside misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by W. Hernangomez,,64-60,,
10:05.0,C. Lee misses 2-pt shot from 10 ft,,64-60,,
10:04.0,,,64-60,,Defensive rebound by H. Whiteside
9:52.0,,,64-60,,G. Dragic misses 2-pt shot from 17 ft
9:51.0,,,64-60,,Offensive rebound by J. Richardson
9:36.0,,,64-60,,G. Dragic misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by C. Lee,,64-60,,
9:14.0,S. Vujacic makes 2-pt shot from 21 ft (assist by K. Porzingis),2,66-60,,
9:03.0,,,66-60,,Turnover by J. Richardson (traveling)
8:47.0,C. Lee misses 2-pt shot from 2 ft (block by H. Whiteside),,66-60,,
8:46.0,Offensive rebound by K. Porzingis,,66-60,,
8:42.0,S. Vujacic misses 3-pt shot from 24 ft,,66-60,,
8:41.0,,,66-60,,Defensive rebound by H. Whiteside
8:29.0,,,66-60,,L. Babbitt misses 3-pt shot from 27 ft
8:28.0,Defensive rebound by C. Lee,,66-60,,
8:20.0,K. Porzingis makes 2-pt shot from 6 ft (assist by S. Vujacic),2,68-60,,
8:04.0,,,68-62,2,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder)
7:29.0,K. Porzingis misses 2-pt shot from 2 ft,,68-62,,
7:28.0,Offensive rebound by W. Hernangomez,,68-62,,
7:27.0,W. Hernangomez misses 2-pt shot from 1 ft,,68-62,,
7:26.0,,,68-62,,Defensive rebound by H. Whiteside
7:16.0,,,68-64,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
6:56.0,K. Porzingis misses 2-pt shot from 7 ft,,68-64,,
6:55.0,Offensive rebound by S. Vujacic,,68-64,,
6:50.0,C. Lee misses 3-pt shot from 24 ft,,68-64,,
6:49.0,,,68-64,,Defensive rebound by H. Whiteside
6:40.0,,,68-64,,J. Richardson misses 3-pt shot from 24 ft
6:39.0,,,68-64,,Offensive rebound by H. Whiteside
6:38.0,,,68-66,2,H. Whiteside makes 2-pt shot from 9 ft
6:38.0,,,68-66,,Shooting foul by W. Hernangomez (drawn by H. Whiteside)
6:38.0,,,68-66,,H. Whiteside misses free throw 1 of 1
6:37.0,Defensive rebound by W. Hernangomez,,68-66,,
6:20.0,S. Vujacic misses 2-pt shot from 2 ft,,68-66,,
6:19.0,Offensive rebound by Team,,68-66,,
6:19.0,New York full timeout,,68-66,,
5:56.0,K. Porzingis makes 2-pt shot from 2 ft,2,70-66,,
5:41.0,Violation by W. Hernangomez (def goaltending),,70-66,,
5:41.0,,,70-68,2,R. McGruder makes 2-pt shot from 1 ft
5:21.0,C. Lee misses 3-pt shot from 24 ft,,70-68,,
5:20.0,,,70-68,,Defensive rebound by H. Whiteside
5:11.0,,,70-70,2,G. Dragic makes 2-pt shot from 1 ft
4:54.0,R. Baker misses 2-pt shot from 17 ft,,70-70,,
4:53.0,,,70-70,,Defensive rebound by H. Whiteside
4:38.0,,,70-70,,J. Richardson misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by S. Vujacic,,70-70,,
4:20.0,K. Porzingis makes 2-pt shot from 15 ft,2,72-70,,
4:19.0,,,72-70,,Miami full timeout
4:19.0,,,72-70,,J. Johnson enters the game for L. Babbitt
4:19.0,,,72-70,,T. Johnson enters the game for J. Richardson
4:19.0,K. O'Quinn enters the game for W. Hernangomez,,72-70,,
3:54.0,,,72-70,,H. Whiteside misses 2-pt shot from 9 ft (block by K. O'Quinn)
3:53.0,Defensive rebound by K. Porzingis,,72-70,,
3:38.0,C. Lee makes 2-pt shot from 16 ft (assist by S. Vujacic),2,74-70,,
3:22.0,,,74-72,2,J. Johnson makes 2-pt shot from 1 ft (assist by R. McGruder)
3:22.0,,,74-72,,Shooting foul by K. Porzingis (drawn by J. Johnson)
3:22.0,,,74-73,1,J. Johnson makes free throw 1 of 1
3:22.0,J. Holiday enters the game for S. Vujacic,,74-72,,
3:03.0,R. Baker misses 2-pt shot from 3 ft (block by H. Whiteside),,74-73,,
3:02.0,,,74-73,,Defensive rebound by J. Johnson
2:45.0,,,74-73,,T. Johnson misses 2-pt shot at rim
2:44.0,,,74-73,,Offensive rebound by H. Whiteside
2:43.0,,,74-75,2,H. Whiteside makes 2-pt shot from 6 ft
2:20.0,Turnover by C. Lee (bad pass),,74-75,,
2:20.0,M. Ndour enters the game for K. Porzingis,,74-75,,
2:09.0,Personal block foul by R. Baker (drawn by T. Johnson),,74-75,,
1:55.0,,,74-75,,T. Johnson misses 2-pt shot from 20 ft
1:54.0,Defensive rebound by R. Baker,,74-75,,
1:43.0,Turnover by J. Holiday (bad pass),,74-75,,
1:43.0,,,74-75,,J. Richardson enters the game for G. Dragic
1:34.0,,,74-75,,Turnover by J. Richardson (step out of bounds)
1:34.0,,,74-75,,W. Ellington enters the game for R. McGruder
1:12.0,C. Lee misses 2-pt shot from 2 ft (block by J. Richardson),,74-75,,
1:11.0,Offensive rebound by K. O'Quinn,,74-75,,
1:10.0,K. O'Quinn makes 2-pt shot from 3 ft,2,76-75,,
1:10.0,Shooting foul by H. Whiteside (drawn by K. O'Quinn),,76-75,,
1:10.0,K. O'Quinn makes free throw 1 of 1,1,77-75,,
1:10.0,,,76-75,,W. Reed enters the game for H. Whiteside
0:54.0,,,77-75,,J. Johnson misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by J. Holiday,,77-75,,
0:35.0,C. Lee misses 2-pt shot from 1 ft,,77-75,,
0:34.0,,,77-75,,Defensive rebound by W. Reed
0:14.0,,,77-75,,T. Johnson misses 2-pt shot from 22 ft
0:13.0,,,77-75,,Offensive rebound by T. Johnson
0:08.0,,,77-75,,J. Johnson misses 2-pt shot from 9 ft
0:07.0,Defensive rebound by J. Holiday,,77-75,,
0:02.0,J. Holiday misses 2-pt shot from 1 ft,,77-75,,
0:01.0,,,77-75,,Defensive rebound by W. Ellington
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Holiday misses 2-pt shot from 19 ft,,77-75,,
11:43.0,,,77-75,,Defensive rebound by W. Reed
11:24.0,,,77-75,,J. Johnson misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by J. Holiday,,77-75,,
11:06.0,M. Ndour misses 2-pt shot from 18 ft,,77-75,,
11:05.0,,,77-75,,Defensive rebound by Team
10:46.0,,,77-75,,W. Ellington misses 2-pt shot from 20 ft
10:45.0,Defensive rebound by Team,,77-75,,
10:26.0,Turnover by C. Lee (bad pass; steal by J. Richardson),,77-75,,
10:21.0,,,77-77,2,T. Johnson makes 2-pt shot from 2 ft (assist by J. Richardson)
10:14.0,K. O'Quinn misses 2-pt shot from 1 ft (block by J. Richardson),,77-77,,
10:13.0,Offensive rebound by C. Randle,,77-77,,
10:10.0,Shooting foul by W. Reed (drawn by C. Randle),,77-77,,
10:10.0,C. Randle makes free throw 1 of 2,1,78-77,,
10:10.0,C. Randle makes free throw 2 of 2,1,79-77,,
10:10.0,S. Vujacic enters the game for C. Lee,,78-77,,
9:56.0,,,79-79,2,T. Johnson makes 2-pt shot from 10 ft
9:41.0,C. Randle makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,81-79,,
9:23.0,,,81-79,,Shooting foul by M. Ndour (drawn by J. Johnson)
9:23.0,,,81-80,1,J. Johnson makes free throw 1 of 2
9:23.0,,,81-81,1,J. Johnson makes free throw 2 of 2
9:12.0,,,81-81,,Personal foul by W. Reed (drawn by K. O'Quinn)
9:12.0,K. Porzingis enters the game for M. Ndour,,81-81,,
9:04.0,J. Holiday makes 2-pt shot from 6 ft (assist by K. O'Quinn),2,83-81,,
8:54.0,,,83-83,2,T. Johnson makes 2-pt shot from 12 ft
8:54.0,,,83-83,,Shooting foul by C. Randle (drawn by T. Johnson)
8:54.0,Official timeout,,83-83,,
8:54.0,,,83-83,,T. Johnson misses free throw 1 of 1
8:53.0,Defensive rebound by K. O'Quinn,,83-83,,
8:39.0,Turnover by K. Porzingis (lost ball),,83-83,,
8:20.0,,,83-83,,J. Johnson misses 2-pt shot from 16 ft
8:19.0,Defensive rebound by S. Vujacic,,83-83,,
8:09.0,K. Porzingis makes 2-pt shot from 12 ft (assist by S. Vujacic),2,85-83,,
7:46.0,,,85-83,,W. Ellington misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by K. O'Quinn,,85-83,,
7:38.0,S. Vujacic makes 3-pt shot from 25 ft (assist by J. Holiday),3,88-83,,
7:37.0,,,88-83,,Miami full timeout
7:37.0,R. Baker enters the game for C. Randle,,88-83,,
7:37.0,,,88-83,,G. Dragic enters the game for J. Richardson
7:37.0,,,88-83,,H. Whiteside enters the game for W. Reed
7:14.0,,,88-83,,H. Whiteside misses 2-pt shot from 3 ft (block by J. Holiday)
7:13.0,,,88-83,,Offensive rebound by Team
7:12.0,,,88-83,,Turnover by Team (shot clock)
6:59.0,R. Baker misses 3-pt shot from 23 ft,,88-83,,
6:58.0,,,88-83,,Defensive rebound by H. Whiteside
6:47.0,,,88-83,,G. Dragic misses 2-pt shot from 2 ft
6:46.0,,,88-83,,Offensive rebound by H. Whiteside
6:46.0,,,88-83,,Shooting foul by K. O'Quinn (drawn by H. Whiteside)
6:46.0,,,88-84,1,H. Whiteside makes free throw 1 of 2
6:46.0,,,88-84,,H. Whiteside misses free throw 2 of 2
6:46.0,,,88-84,,R. McGruder enters the game for W. Ellington
6:45.0,Defensive rebound by K. Porzingis,,88-84,,
6:24.0,S. Vujacic misses 3-pt shot from 25 ft,,88-84,,
6:23.0,,,88-84,,Defensive rebound by G. Dragic
6:18.0,,,88-84,,Shooting foul by R. Baker (drawn by G. Dragic)
6:18.0,,,88-85,1,G. Dragic makes free throw 1 of 2
6:18.0,,,88-86,1,G. Dragic makes free throw 2 of 2
6:00.0,J. Holiday makes 2-pt shot from 8 ft (assist by K. O'Quinn),2,90-86,,
5:49.0,,,90-86,,Shooting foul by K. Porzingis (drawn by H. Whiteside)
5:49.0,,,90-87,1,H. Whiteside makes free throw 1 of 2
5:49.0,,,90-88,1,H. Whiteside makes free throw 2 of 2
5:34.0,Turnover by K. O'Quinn (traveling),,90-88,,
5:25.0,,,90-88,,Shooting foul by K. Porzingis (drawn by H. Whiteside)
5:25.0,,,90-89,1,H. Whiteside makes free throw 1 of 2
5:25.0,,,90-90,1,H. Whiteside makes free throw 2 of 2
5:25.0,W. Hernangomez enters the game for K. O'Quinn,,90-89,,
5:01.0,J. Holiday makes 2-pt shot from 2 ft,2,92-90,,
4:46.0,,,92-90,,R. McGruder misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by Team,,92-90,,
4:45.0,,,92-90,,Loose ball foul by H. Whiteside (drawn by W. Hernangomez)
4:32.0,Turnover by K. Porzingis (bad pass; steal by T. Johnson),,92-90,,
4:21.0,Jump ball: J. Holiday vs. T. Johnson (G. Dragic gains possession),,,,Jump ball: J. Holiday vs. T. Johnson (G. Dragic gains possession)
4:13.0,,,92-90,,G. Dragic misses 2-pt shot from 6 ft
4:11.0,,,92-90,,Offensive rebound by Team
4:11.0,C. Lee enters the game for S. Vujacic,,92-90,,
4:04.0,,,92-90,,G. Dragic misses 2-pt shot from 8 ft (block by K. Porzingis)
4:03.0,Defensive rebound by Team,,92-90,,
4:02.0,,,92-90,,Loose ball foul by G. Dragic (drawn by K. Porzingis)
3:43.0,Turnover by K. Porzingis (lost ball),,92-90,,
3:20.0,,,92-90,,G. Dragic misses 3-pt shot from 25 ft
3:19.0,,,92-90,,Offensive rebound by T. Johnson
2:59.0,,,92-90,,Turnover by G. Dragic (lost ball; steal by C. Lee)
2:54.0,J. Holiday makes 2-pt shot from 1 ft,2,94-90,,
2:41.0,,,94-90,,J. Johnson misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by J. Holiday,,94-90,,
2:21.0,C. Lee makes 2-pt shot from 11 ft (assist by K. Porzingis),2,96-90,,
2:21.0,,,96-90,,Miami full timeout
2:10.0,,,96-90,,Shooting foul by J. Holiday (drawn by T. Johnson)
2:10.0,,,96-90,,T. Johnson misses free throw 1 of 2
2:10.0,,,96-90,,Offensive rebound by Team
2:10.0,,,96-91,1,T. Johnson makes free throw 2 of 2
1:54.0,Turnover by C. Lee (bad pass; steal by J. Johnson),,96-91,,
1:50.0,,,96-91,,T. Johnson misses 2-pt shot from 2 ft
1:49.0,Defensive rebound by Team,,96-91,,
