time,Portland,pts.away,score,pts.home,LA Lakers
4:00.0,,,17-15,,Defensive rebound by D. Russell
3:55.0,,,17-18,3,L. Deng makes 3-pt shot from 26 ft (assist by B. Ingram)
3:55.0,Portland full timeout,,17-18,,
3:55.0,E. Davis enters the game for M. Plumlee,,17-18,,
3:55.0,,,17-18,,T. Black enters the game for T. Mozgov
3:55.0,,,17-18,,J. Clarkson enters the game for N. Young
3:39.0,E. Turner makes 2-pt shot from 10 ft,2,19-18,,
3:25.0,,,19-18,,B. Ingram misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by A. Aminu,,19-18,,
3:11.0,D. Lillard misses 2-pt shot from 6 ft,,19-18,,
3:09.0,,,19-18,,Defensive rebound by L. Deng
2:57.0,Def 3 sec tech foul by E. Davis,,19-18,,
2:57.0,,,19-19,1,J. Clarkson makes technical free throw
2:57.0,,,19-19,,L. Williams enters the game for D. Russell
2:45.0,,,19-21,2,L. Williams makes 2-pt shot from 2 ft
2:26.0,E. Davis makes 2-pt shot at rim (assist by A. Aminu),2,21-21,,
2:02.0,,,21-21,,L. Williams misses 2-pt shot from 14 ft
2:01.0,Defensive rebound by A. Aminu,,21-21,,
1:55.0,A. Aminu makes 2-pt shot from 1 ft,2,23-21,,
1:39.0,,,23-21,,Shooting foul by E. Davis (drawn by T. Black)
1:39.0,,,23-22,1,T. Black makes free throw 1 of 2
1:39.0,,,23-22,,T. Black misses free throw 2 of 2
1:39.0,C. McCollum enters the game for D. Lillard,,23-22,,
1:39.0,N. Vonleh enters the game for A. Aminu,,23-22,,
1:39.0,,,23-22,,T. Robinson enters the game for L. Deng
1:37.0,Defensive rebound by E. Davis,,23-22,,
1:21.0,E. Turner misses 2-pt shot from 10 ft,,23-22,,
1:19.0,,,23-22,,Defensive rebound by T. Black
1:10.0,Personal foul by A. Crabbe (drawn by B. Ingram),,23-22,,
1:10.0,,,23-22,,B. Ingram misses free throw 1 of 2
1:10.0,,,23-22,,Offensive rebound by Team
1:10.0,,,23-23,1,B. Ingram makes free throw 2 of 2
0:57.0,A. Crabbe misses 2-pt shot from 14 ft,,23-23,,
0:56.0,,,23-23,,Defensive rebound by B. Ingram
0:50.0,,,23-23,,L. Williams misses 3-pt shot from 27 ft
0:47.0,,,23-23,,Offensive rebound by T. Robinson
0:46.0,,,23-26,3,J. Clarkson makes 3-pt shot from 28 ft (assist by T. Robinson)
0:32.0,C. McCollum misses 2-pt shot from 20 ft,,23-26,,
0:28.0,Offensive rebound by E. Davis,,23-26,,
0:16.0,,,23-26,,Personal take foul by J. Clarkson (drawn by E. Davis)
0:16.0,D. Lillard enters the game for N. Vonleh,,23-26,,
0:16.0,,,23-26,,L. Deng enters the game for T. Black
0:02.0,C. McCollum makes 2-pt shot from 18 ft,2,25-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,25-29,3,L. Williams makes 3-pt shot from 25 ft
11:25.0,E. Turner misses 3-pt shot from 26 ft (block by B. Ingram),,25-29,,
11:23.0,,,25-29,,Defensive rebound by T. Robinson
11:15.0,,,25-31,2,T. Robinson makes 2-pt shot from 3 ft
10:53.0,E. Davis misses 2-pt shot at rim (block by T. Robinson),,25-31,,
10:50.0,,,25-31,,Defensive rebound by T. Black
10:46.0,,,25-31,,Turnover by L. Williams (lost ball; steal by C. McCollum)
10:41.0,A. Crabbe makes 3-pt shot from 26 ft (assist by C. McCollum),3,28-31,,
10:17.0,Personal foul by N. Vonleh (drawn by T. Black),,28-31,,
10:17.0,M. Harkless enters the game for N. Vonleh,,28-31,,
10:11.0,,,28-31,,Shooting foul by E. Davis (drawn by B. Ingram)
10:11.0,,,28-31,,B. Ingram misses free throw 1 of 2
10:11.0,,,28-31,,Offensive rebound by Team
10:11.0,,,28-32,1,B. Ingram makes free throw 2 of 2
9:53.0,Turnover by A. Crabbe (bad pass),,28-32,,
9:31.0,,,28-35,3,L. Williams makes 3-pt shot from 25 ft (assist by T. Robinson)
9:14.0,Turnover by C. McCollum (lost ball; steal by J. Clarkson),,28-35,,
9:07.0,,,28-35,,J. Clarkson misses 2-pt shot from 20 ft
9:06.0,Defensive rebound by E. Turner,,28-35,,
8:59.0,C. McCollum misses 3-pt shot from 27 ft,,28-35,,
8:57.0,,,28-35,,Defensive rebound by J. Clarkson
8:48.0,,,28-35,,T. Robinson misses 2-pt shot from 9 ft
8:43.0,Defensive rebound by E. Davis,,28-35,,
8:37.0,E. Turner makes 2-pt shot from 10 ft,2,30-35,,
8:32.0,,,30-35,,LA Lakers full timeout
8:26.0,,,30-38,3,J. Clarkson makes 3-pt shot from 23 ft (assist by T. Black)
8:09.0,M. Harkless makes 3-pt shot from 24 ft (assist by C. McCollum),3,33-38,,
7:46.0,,,33-38,,L. Williams misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by M. Harkless,,33-38,,
7:32.0,Shooting foul by T. Robinson (drawn by M. Harkless),,33-38,,
7:32.0,M. Harkless makes free throw 1 of 2,1,34-38,,
7:32.0,M. Harkless makes free throw 2 of 2,1,35-38,,
7:32.0,,,34-38,,J. Randle enters the game for T. Black
7:32.0,,,34-38,,L. Deng enters the game for T. Robinson
7:08.0,,,35-40,2,J. Randle makes 2-pt shot from 3 ft
6:56.0,C. McCollum makes 2-pt shot from 2 ft,2,37-40,,
6:52.0,Personal foul by E. Turner (drawn by J. Clarkson),,37-40,,
6:52.0,,,37-40,,N. Young enters the game for J. Clarkson
6:52.0,D. Lillard enters the game for C. McCollum,,37-40,,
6:52.0,M. Plumlee enters the game for E. Davis,,37-40,,
6:43.0,,,37-40,,L. Williams misses 2-pt shot from 8 ft
6:39.0,Defensive rebound by E. Turner,,37-40,,
6:36.0,Turnover by M. Plumlee (bad pass; steal by N. Young),,37-40,,
6:28.0,,,37-40,,Shooting foul by A. Crabbe (drawn by B. Ingram)
6:28.0,,,37-41,1,B. Ingram makes free throw 1 of 2
6:28.0,,,37-41,,B. Ingram misses free throw 2 of 2
6:26.0,Defensive rebound by Team,,37-41,,
6:12.0,D. Lillard misses 2-pt shot from 13 ft,,37-41,,
6:11.0,Offensive rebound by D. Lillard,,37-41,,
6:06.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,39-41,,
6:01.0,,,39-41,,LA Lakers full timeout
6:01.0,,,39-41,,D. Russell enters the game for B. Ingram
5:48.0,,,39-43,2,J. Randle makes 2-pt shot from 4 ft
5:31.0,M. Plumlee misses 2-pt shot from 3 ft,,39-43,,
5:28.0,Offensive rebound by M. Plumlee,,39-43,,
5:28.0,M. Plumlee makes 2-pt shot from 1 ft,2,41-43,,
5:16.0,,,41-45,2,D. Russell makes 2-pt shot from 4 ft
4:55.0,E. Turner misses 2-pt shot from 2 ft,,41-45,,
4:54.0,,,41-45,,Defensive rebound by D. Russell
4:50.0,,,41-47,2,L. Deng makes 2-pt shot from 2 ft (assist by D. Russell)
4:50.0,Portland full timeout,,41-47,,
4:50.0,,,41-47,,T. Mozgov enters the game for L. Williams
4:50.0,C. McCollum enters the game for A. Crabbe,,41-47,,
4:50.0,A. Aminu enters the game for E. Turner,,41-47,,
4:31.0,M. Plumlee makes 2-pt shot from 3 ft (assist by D. Lillard),2,43-47,,
4:13.0,,,43-47,,L. Deng misses 2-pt shot from 2 ft (block by M. Harkless)
4:09.0,Defensive rebound by A. Aminu,,43-47,,
4:07.0,M. Harkless makes 2-pt shot from 1 ft (assist by A. Aminu),2,45-47,,
3:46.0,,,45-49,2,T. Mozgov makes 2-pt shot from 3 ft (assist by D. Russell)
3:35.0,D. Lillard misses 2-pt shot from 2 ft (block by T. Mozgov),,45-49,,
3:35.0,,,45-49,,Defensive rebound by Team
3:22.0,,,45-49,,T. Mozgov misses 2-pt shot from 4 ft (block by M. Plumlee)
3:17.0,Defensive rebound by A. Aminu,,45-49,,
3:13.0,Turnover by D. Lillard (lost ball; steal by D. Russell),,45-49,,
3:07.0,,,45-51,2,L. Deng makes 2-pt shot from 2 ft (assist by D. Russell)
2:58.0,Portland full timeout,,45-51,,
2:58.0,Official timeout,,45-51,,
2:46.0,C. McCollum misses 2-pt shot from 16 ft,,45-51,,
2:44.0,,,45-51,,Defensive rebound by D. Russell
2:40.0,,,45-53,2,T. Mozgov makes 2-pt shot at rim (assist by D. Russell)
2:27.0,,,45-53,,Personal foul by T. Mozgov (drawn by M. Plumlee)
2:19.0,Shooting foul by T. Mozgov (drawn by M. Plumlee),,45-53,,
2:19.0,M. Plumlee makes free throw 1 of 2,1,46-53,,
2:19.0,M. Plumlee misses free throw 2 of 2,,46-53,,
2:18.0,Offensive rebound by A. Aminu,,46-53,,
2:12.0,M. Harkless misses 3-pt shot from 24 ft,,46-53,,
2:10.0,Offensive rebound by D. Lillard,,46-53,,
1:59.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,49-53,,
1:40.0,,,49-53,,N. Young misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by Team,,49-53,,
1:40.0,,,49-53,,T. Black enters the game for T. Mozgov
1:29.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,51-53,,
1:29.0,Shooting foul by D. Russell (drawn by D. Lillard),,51-53,,
1:29.0,D. Lillard misses free throw 1 of 1,,51-53,,
1:25.0,,,51-53,,Defensive rebound by L. Deng
1:13.0,,,51-53,,J. Randle misses 2-pt shot from 3 ft (block by A. Aminu)
1:13.0,,,51-53,,Offensive rebound by T. Black
1:13.0,,,51-53,,Shooting foul by M. Plumlee (drawn by T. Black)
1:13.0,,,51-53,,T. Black misses free throw 1 of 2
1:13.0,,,51-53,,Offensive rebound by Team
1:13.0,,,51-54,1,T. Black makes free throw 2 of 2
0:58.0,Shooting foul by T. Black (drawn by M. Harkless),,51-54,,
0:58.0,M. Harkless misses free throw 1 of 2,,51-54,,
0:58.0,Offensive rebound by Team,,51-54,,
0:58.0,M. Harkless makes free throw 2 of 2,1,52-54,,
0:47.0,,,52-57,3,N. Young makes 3-pt shot from 26 ft (assist by D. Russell)
0:33.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,55-57,,
0:24.0,,,55-57,,D. Russell misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by M. Plumlee,,55-57,,
0:03.0,D. Lillard misses 2-pt shot from 2 ft (block by N. Young),,55-57,,
0:03.0,Offensive rebound by Team,,55-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Personal foul by D. Lillard (drawn by D. Russell),,55-57,,
11:35.0,,,55-57,,J. Randle misses 2-pt shot from 8 ft (block by A. Aminu)
11:34.0,Defensive rebound by M. Harkless,,55-57,,
11:25.0,C. McCollum makes 2-pt shot from 1 ft,2,57-57,,
11:12.0,,,57-57,,D. Russell misses 2-pt shot from 12 ft (block by D. Lillard)
11:07.0,Defensive rebound by M. Plumlee,,57-57,,
10:58.0,D. Lillard misses 2-pt shot from 16 ft,,57-57,,
10:57.0,,,57-57,,Defensive rebound by J. Randle
10:52.0,,,57-57,,J. Randle misses 2-pt shot from 2 ft (block by M. Harkless)
10:51.0,,,57-57,,Offensive rebound by J. Randle
10:51.0,,,57-57,,J. Randle misses 2-pt shot from 2 ft
10:51.0,Defensive rebound by A. Aminu,,57-57,,
10:51.0,,,57-57,,Loose ball foul by J. Randle (drawn by A. Aminu)
10:33.0,Offensive charge foul by M. Plumlee,,57-57,,
10:33.0,Turnover by M. Plumlee (offensive foul),,57-57,,
10:16.0,,,57-57,,Shooting foul by D. Lillard (drawn by D. Russell)
10:16.0,,,57-57,,D. Russell misses free throw 1 of 2
10:16.0,,,57-57,,Offensive rebound by Team
10:16.0,,,57-58,1,D. Russell makes free throw 2 of 2
9:54.0,A. Aminu makes 2-pt shot from 12 ft (assist by C. McCollum),2,59-58,,
9:40.0,,,59-60,2,D. Russell makes 2-pt shot from 8 ft
9:21.0,Turnover by A. Aminu (bad pass; steal by D. Russell),,59-60,,
9:15.0,,,59-60,,N. Young misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by Team,,59-60,,
9:15.0,,,59-60,,Loose ball foul by J. Randle (drawn by M. Harkless)
9:03.0,Turnover by A. Aminu (bad pass; steal by L. Deng),,59-60,,
8:51.0,,,59-60,,N. Young misses 3-pt shot from 23 ft
8:50.0,Defensive rebound by A. Aminu,,59-60,,
8:43.0,C. McCollum misses 2-pt shot from 1 ft,,59-60,,
8:41.0,,,59-60,,Defensive rebound by T. Mozgov
8:33.0,,,59-60,,L. Deng misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by M. Plumlee,,59-60,,
8:20.0,D. Lillard makes 3-pt shot from 24 ft (assist by A. Aminu),3,62-60,,
7:56.0,,,62-60,,J. Randle misses 2-pt shot from 4 ft
7:55.0,,,62-60,,Offensive rebound by L. Deng
7:55.0,,,62-60,,Shooting foul by M. Plumlee (drawn by L. Deng)
7:55.0,,,62-60,,L. Deng misses free throw 1 of 2
7:55.0,,,62-60,,Offensive rebound by Team
7:55.0,,,62-61,1,L. Deng makes free throw 2 of 2
7:41.0,C. McCollum misses 3-pt shot from 26 ft,,62-61,,
7:40.0,,,62-61,,Defensive rebound by J. Randle
7:28.0,,,62-61,,N. Young misses 2-pt shot from 17 ft
7:25.0,Defensive rebound by M. Plumlee,,62-61,,
7:17.0,C. McCollum misses 2-pt shot from 2 ft,,62-61,,
7:15.0,,,62-61,,Defensive rebound by J. Randle
7:09.0,,,62-61,,T. Mozgov misses 2-pt shot from 2 ft (block by M. Plumlee)
7:07.0,Defensive rebound by A. Aminu,,62-61,,
6:55.0,D. Lillard misses 3-pt shot from 25 ft,,62-61,,
6:52.0,,,62-61,,Defensive rebound by J. Randle
6:46.0,,,62-63,2,T. Mozgov makes 2-pt shot at rim (assist by J. Randle)
6:25.0,D. Lillard makes 2-pt shot from 3 ft,2,64-63,,
6:18.0,,,64-63,,Offensive foul by D. Russell
6:18.0,,,64-63,,Turnover by D. Russell (offensive foul)
6:18.0,,,64-63,,LA Lakers full timeout
6:05.0,D. Lillard misses 2-pt shot from 5 ft (block by D. Russell),,64-63,,
6:05.0,Offensive rebound by Team,,64-63,,
6:05.0,,,64-63,,Technical foul by D. Russell
6:05.0,Technical foul by D. Lillard,,64-63,,
6:01.0,A. Aminu misses 2-pt shot from 9 ft,,64-63,,
5:55.0,,,64-63,,Defensive rebound by D. Russell
5:42.0,,,64-63,,N. Young misses 2-pt shot from 20 ft
5:38.0,Defensive rebound by D. Lillard,,64-63,,
5:32.0,D. Lillard makes 2-pt shot from 18 ft,2,66-63,,
5:17.0,,,66-63,,D. Russell misses 2-pt shot from 5 ft
5:15.0,Defensive rebound by A. Aminu,,66-63,,
5:07.0,D. Lillard misses 2-pt shot from 5 ft,,66-63,,
5:04.0,Offensive rebound by D. Lillard,,66-63,,
5:02.0,D. Lillard makes 2-pt shot from 19 ft,2,68-63,,
4:40.0,,,68-63,,J. Randle misses 2-pt shot from 12 ft
4:39.0,Defensive rebound by M. Plumlee,,68-63,,
4:32.0,Turnover by M. Plumlee (offensive foul),,68-63,,
4:32.0,Offensive foul by M. Plumlee,,68-63,,
4:32.0,,,68-63,,B. Ingram enters the game for L. Deng
4:32.0,,,68-63,,T. Robinson enters the game for J. Randle
4:32.0,,,68-63,,J. Clarkson enters the game for T. Mozgov
4:32.0,,,68-63,,T. Black enters the game for N. Young
4:32.0,E. Turner enters the game for M. Harkless,,68-63,,
4:32.0,E. Davis enters the game for M. Plumlee,,68-63,,
4:32.0,A. Crabbe enters the game for C. McCollum,,68-63,,
4:14.0,,,68-63,,D. Russell misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by D. Lillard,,68-63,,
3:59.0,A. Crabbe misses 3-pt shot from 24 ft,,68-63,,
3:58.0,Offensive rebound by E. Davis,,68-63,,
3:37.0,E. Davis misses 2-pt shot from 3 ft,,68-63,,
3:36.0,,,68-63,,Defensive rebound by D. Russell
3:26.0,,,68-65,2,T. Robinson makes 2-pt shot from 3 ft (assist by B. Ingram)
3:09.0,Shooting foul by D. Russell (drawn by D. Lillard),,68-65,,
3:09.0,D. Lillard makes free throw 1 of 2,1,69-65,,
3:09.0,D. Lillard makes free throw 2 of 2,1,70-65,,
3:09.0,M. Harkless enters the game for A. Aminu,,69-65,,
2:52.0,,,70-65,,D. Russell misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by D. Lillard,,70-65,,
2:40.0,D. Lillard misses 3-pt shot from 26 ft,,70-65,,
2:38.0,,,70-65,,Defensive rebound by T. Black
2:22.0,,,70-65,,D. Russell misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by D. Lillard,,70-65,,
2:04.0,M. Harkless makes 2-pt shot from 20 ft (assist by E. Turner),2,72-65,,
2:04.0,,,72-65,,LA Lakers full timeout
2:04.0,Portland full timeout,,72-65,,
2:04.0,,,72-65,,L. Williams enters the game for D. Russell
2:04.0,C. McCollum enters the game for D. Lillard,,72-65,,
1:52.0,,,72-65,,L. Williams misses 2-pt shot from 3 ft
1:49.0,Defensive rebound by M. Harkless,,72-65,,
1:34.0,E. Turner misses 3-pt shot from 26 ft,,72-65,,
1:33.0,,,72-65,,Defensive rebound by B. Ingram
1:25.0,,,72-65,,Turnover by B. Ingram (bad pass; steal by E. Davis)
1:13.0,E. Turner misses 2-pt shot from 18 ft,,72-65,,
1:13.0,,,72-65,,Defensive rebound by Team
1:01.0,Personal foul by M. Harkless (drawn by J. Clarkson),,72-65,,
0:57.0,,,72-67,2,L. Williams makes 2-pt shot from 5 ft
0:43.0,C. McCollum makes 2-pt shot from 3 ft,2,74-67,,
0:41.0,,,74-67,,Turnover by T. Black (bad pass; steal by C. McCollum)
0:40.0,E. Davis makes 2-pt shot from 5 ft (assist by C. McCollum),2,76-67,,
0:34.0,,,76-69,2,T. Robinson makes 2-pt shot from 7 ft (assist by L. Williams)
0:21.0,C. McCollum makes 2-pt shot from 19 ft,2,78-69,,
0:00.0,,,78-69,,J. Clarkson misses 3-pt shot from 25 ft
0:00.0,,,78-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Crabbe makes 2-pt shot from 18 ft (assist by E. Turner),2,80-69,,
11:26.0,,,80-71,2,J. Clarkson makes 2-pt shot from 5 ft
11:08.0,Turnover by M. Harkless (lost ball; steal by J. Clarkson),,80-71,,
11:03.0,,,80-71,,J. Clarkson misses 2-pt shot from 2 ft (block by M. Harkless)
10:56.0,Defensive rebound by A. Crabbe,,80-71,,
10:51.0,M. Harkless makes 2-pt shot from 2 ft (assist by E. Turner),2,82-71,,
10:36.0,,,82-71,,B. Ingram misses 2-pt shot from 19 ft
10:35.0,Defensive rebound by E. Davis,,82-71,,
10:23.0,A. Crabbe makes 2-pt shot from 2 ft (assist by E. Turner),2,84-71,,
10:23.0,,,84-71,,LA Lakers full timeout
10:10.0,,,84-71,,L. Williams misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by M. Harkless,,84-71,,
10:03.0,Shooting foul by T. Robinson (drawn by C. McCollum),,84-71,,
10:03.0,C. McCollum makes free throw 1 of 2,1,85-71,,
10:03.0,C. McCollum makes free throw 2 of 2,1,86-71,,
9:43.0,,,86-73,2,B. Ingram makes 2-pt shot from 18 ft
9:27.0,E. Davis makes 2-pt shot from 2 ft (assist by E. Turner),2,88-73,,
9:14.0,,,88-73,,T. Mozgov enters the game for T. Robinson
9:00.0,,,88-73,,J. Clarkson misses 3-pt shot from 26 ft
8:59.0,Defensive rebound by E. Davis,,88-73,,
8:49.0,Offensive foul by M. Harkless,,88-73,,
8:49.0,Turnover by M. Harkless (offensive foul),,88-73,,
8:31.0,Personal foul by M. Harkless (drawn by T. Mozgov),,88-73,,
8:21.0,,,88-73,,T. Mozgov misses 2-pt shot from 17 ft
8:18.0,Defensive rebound by E. Davis,,88-73,,
8:07.0,C. McCollum makes 2-pt shot from 12 ft (assist by E. Turner),2,90-73,,
7:53.0,,,90-73,,Turnover by T. Mozgov (lost ball; steal by A. Crabbe)
7:44.0,Shooting foul by L. Williams (drawn by E. Davis),,90-73,,
7:44.0,E. Davis makes free throw 1 of 2,1,91-73,,
7:44.0,E. Davis makes free throw 2 of 2,1,92-73,,
7:44.0,A. Aminu enters the game for M. Harkless,,91-73,,
7:44.0,,,91-73,,J. Randle enters the game for L. Deng
7:44.0,,,91-73,,N. Young enters the game for T. Mozgov
7:44.0,,,91-73,,D. Russell enters the game for L. Williams
7:29.0,,,92-73,,Shooting foul by C. McCollum (drawn by D. Russell)
7:29.0,,,92-73,,D. Russell misses free throw 1 of 2
7:29.0,,,92-73,,Offensive rebound by Team
7:29.0,,,92-73,,D. Russell misses free throw 2 of 2
7:28.0,Defensive rebound by E. Turner,,92-73,,
7:14.0,C. McCollum misses 2-pt shot from 13 ft,,92-73,,
7:12.0,,,92-73,,Defensive rebound by B. Ingram
7:01.0,,,92-73,,Turnover by J. Randle (step out of bounds)
7:01.0,,,92-73,,Violation by Team (jump ball)
6:48.0,A. Crabbe misses 3-pt shot from 27 ft,,92-73,,
6:46.0,,,92-73,,Defensive rebound by J. Randle
6:39.0,,,92-75,2,D. Russell makes 2-pt shot from 18 ft (assist by J. Randle)
6:24.0,E. Turner misses 2-pt shot from 15 ft,,92-75,,
6:24.0,,,92-75,,Defensive rebound by Team
6:24.0,Loose ball foul by E. Davis (drawn by J. Clarkson),,92-75,,
6:24.0,D. Lillard enters the game for C. McCollum,,92-75,,
5:59.0,,,92-75,,N. Young misses 2-pt shot from 19 ft
5:58.0,Defensive rebound by Team,,92-75,,
5:58.0,Official timeout,,92-75,,
5:42.0,A. Crabbe misses 2-pt shot from 3 ft,,92-75,,
5:40.0,Offensive rebound by E. Davis,,92-75,,
5:40.0,E. Davis misses 2-pt shot at rim,,92-75,,
5:35.0,,,92-75,,Defensive rebound by D. Russell
5:32.0,,,92-78,3,B. Ingram makes 3-pt shot from 23 ft (assist by J. Clarkson)
5:06.0,A. Aminu misses 2-pt shot from 12 ft,,92-78,,
5:05.0,,,92-78,,Defensive rebound by J. Randle
4:43.0,,,92-78,,J. Clarkson misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by A. Aminu,,92-78,,
4:26.0,D. Lillard makes 2-pt shot from 4 ft,2,94-78,,
4:26.0,Shooting foul by J. Clarkson (drawn by D. Lillard),,94-78,,
4:26.0,D. Lillard makes free throw 1 of 1,1,95-78,,
4:26.0,M. Plumlee enters the game for E. Davis,,94-78,,
4:13.0,,,95-78,,D. Russell misses 3-pt shot from 28 ft
4:12.0,Defensive rebound by A. Aminu,,95-78,,
