time,Utah,pts.away,score,pts.home,LA Clippers
1:44.0,G. Hayward makes free throw 2 of 2,1,66-72,,
1:44.0,S. Mack enters the game for G. Hill,,65-72,,
1:44.0,,,65-72,,R. Felton enters the game for C. Paul
1:23.0,,,66-74,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by R. Felton)
1:00.0,S. Mack makes 2-pt shot from 3 ft,2,68-74,,
0:49.0,,,68-76,2,P. Pierce makes 2-pt shot from 1 ft
0:37.0,G. Hayward misses 2-pt shot from 21 ft,,68-76,,
0:35.0,,,68-76,,Defensive rebound by M. Speights
0:26.0,,,68-79,3,R. Felton makes 3-pt shot from 24 ft (assist by M. Speights)
0:03.0,J. Johnson makes 2-pt shot from 10 ft,2,70-79,,
0:01.0,,,70-79,,J. Crawford misses 3-pt shot from 53 ft
0:00.0,,,70-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,70-79,,R. Felton misses 3-pt shot from 27 ft (block by B. Diaw)
11:35.0,Defensive rebound by J. Johnson,,70-79,,
11:20.0,B. Diaw makes 2-pt shot from 3 ft (assist by S. Mack),2,72-79,,
11:02.0,,,72-81,2,M. Speights makes 2-pt shot from 13 ft
10:37.0,J. Johnson makes 2-pt shot from 8 ft,2,74-81,,
10:17.0,,,74-83,2,J. Crawford makes 2-pt shot from 4 ft
9:59.0,J. Johnson misses 3-pt shot from 26 ft,,74-83,,
9:58.0,,,74-83,,Defensive rebound by J. Redick
9:46.0,,,74-83,,Turnover by J. Crawford (bad pass; steal by J. Ingles)
9:46.0,,,74-83,,Personal take foul by M. Speights (drawn by R. Hood)
9:46.0,,,74-83,,B. Griffin enters the game for P. Pierce
9:29.0,R. Hood misses 3-pt shot from 26 ft,,74-83,,
9:28.0,Offensive rebound by Team,,74-83,,
9:26.0,,,74-83,,C. Paul enters the game for R. Felton
9:10.0,R. Hood makes 2-pt shot from 2 ft,2,76-83,,
8:55.0,,,76-83,,M. Speights misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by J. Ingles,,76-83,,
8:44.0,J. Johnson misses 3-pt shot from 28 ft,,76-83,,
8:43.0,,,76-83,,Defensive rebound by Team
8:43.0,Official timeout,,76-83,,
8:43.0,G. Hill enters the game for J. Johnson,,76-83,,
8:43.0,D. Favors enters the game for R. Hood,,76-83,,
8:43.0,G. Hayward enters the game for S. Mack,,76-83,,
8:31.0,Personal foul by J. Ingles (drawn by B. Griffin),,76-83,,
8:17.0,,,76-85,2,J. Crawford makes 2-pt shot from 20 ft
8:05.0,,,76-85,,Personal foul by J. Redick
8:05.0,,,76-85,,L. Mbah a Moute enters the game for J. Crawford
7:53.0,,,76-85,,Shooting block foul by M. Speights (drawn by J. Ingles)
7:53.0,J. Ingles makes free throw 1 of 2,1,77-85,,
7:53.0,J. Ingles misses free throw 2 of 2,,77-85,,
7:53.0,,,77-85,,J. Crawford enters the game for J. Redick
7:52.0,,,77-85,,Defensive rebound by M. Speights
7:35.0,,,77-85,,J. Crawford misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by G. Hayward,,77-85,,
7:24.0,Offensive foul by J. Ingles,,77-85,,
7:24.0,Turnover by J. Ingles (offensive foul),,77-85,,
7:24.0,,,77-85,,D. Jordan enters the game for M. Speights
7:12.0,,,77-85,,J. Crawford misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by B. Diaw,,77-85,,
6:53.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,79-85,,
6:30.0,,,79-85,,J. Crawford misses 2-pt shot from 5 ft
6:29.0,,,79-85,,Offensive rebound by J. Crawford
6:25.0,,,79-85,,C. Paul misses 3-pt shot from 28 ft
6:24.0,,,79-85,,Offensive rebound by L. Mbah a Moute
6:12.0,,,79-87,2,C. Paul makes 2-pt shot from 17 ft
6:07.0,Utah full timeout,,79-87,,
5:59.0,G. Hayward makes 2-pt shot from 16 ft (assist by B. Diaw),2,81-87,,
5:57.0,,,81-87,,Turnover by D. Jordan (bad pass; steal by J. Ingles)
5:51.0,G. Hayward misses 3-pt shot from 26 ft,,81-87,,
5:48.0,,,81-87,,Defensive rebound by Team
5:30.0,,,81-89,2,B. Griffin makes 2-pt shot from 3 ft
5:11.0,G. Hill makes 2-pt shot from 2 ft,2,83-89,,
4:48.0,,,83-92,3,C. Paul makes 3-pt shot from 26 ft
4:42.0,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill),3,86-92,,
4:19.0,,,86-94,2,C. Paul makes 2-pt shot from 15 ft
3:54.0,G. Hill misses 2-pt shot from 13 ft,,86-94,,
3:52.0,,,86-94,,Defensive rebound by D. Jordan
3:36.0,,,86-94,,B. Griffin misses 2-pt shot from 2 ft
3:35.0,Defensive rebound by G. Hayward,,86-94,,
3:33.0,,,86-94,,Personal take foul by C. Paul (drawn by G. Hayward)
3:33.0,J. Johnson enters the game for B. Diaw,,86-94,,
3:22.0,G. Hayward misses 3-pt shot from 25 ft,,86-94,,
3:21.0,,,86-94,,Defensive rebound by Team
3:11.0,,,86-94,,Offensive charge foul by L. Mbah a Moute
3:11.0,,,86-94,,Turnover by L. Mbah a Moute (offensive foul)
2:45.0,J. Johnson misses 2-pt shot from 17 ft,,86-94,,
2:43.0,,,86-94,,Defensive rebound by C. Paul
2:41.0,Personal foul by J. Johnson (drawn by B. Griffin),,86-94,,
2:41.0,,,86-94,,LA Clippers full timeout
2:28.0,,,86-94,,J. Crawford misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by G. Hill,,86-94,,
2:10.0,Shooting foul by D. Jordan (drawn by G. Hayward),,86-94,,
2:10.0,G. Hayward makes free throw 1 of 2,1,87-94,,
2:10.0,G. Hayward makes free throw 2 of 2,1,88-94,,
2:10.0,,,87-94,,J. Redick enters the game for J. Crawford
1:54.0,,,88-94,,J. Redick misses 3-pt shot from 26 ft
1:53.0,,,88-94,,Offensive rebound by L. Mbah a Moute
1:35.0,,,88-97,3,B. Griffin makes 3-pt shot from 24 ft (assist by C. Paul)
1:20.0,Turnover by G. Hill (lost ball),,88-97,,
1:01.0,,,88-97,,C. Paul misses 2-pt shot from 19 ft
0:59.0,Defensive rebound by J. Ingles,,88-97,,
