time,New Orleans,pts.away,score,pts.home,Memphis
0:01.0,Turnover by T. Evans (traveling),,50-43,,
0:00.0,,,50-43,,J. Green misses 3-pt shot from 41 ft
0:00.0,,,50-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,50-43,,J. Green misses 2-pt shot from 21 ft
11:35.0,Defensive rebound by A. Ajinca,,50-43,,
11:20.0,A. Davis makes 2-pt shot from 19 ft (assist by B. Hield),2,52-43,,
10:56.0,,,52-45,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley)
10:30.0,J. Holiday makes 2-pt shot from 1 ft,2,54-45,,
10:17.0,,,54-45,,M. Gasol misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by J. Holiday,,54-45,,
10:12.0,Shooting foul by C. Parsons (drawn by S. Hill),,54-45,,
10:12.0,S. Hill misses free throw 1 of 2,,54-45,,
10:12.0,Offensive rebound by Team,,54-45,,
10:12.0,S. Hill makes free throw 2 of 2,1,55-45,,
9:58.0,,,55-45,,M. Conley misses 2-pt shot from 21 ft
9:58.0,Defensive rebound by S. Hill,,55-45,,
9:41.0,Turnover by A. Davis (bad pass; steal by J. Green),,55-45,,
9:34.0,,,55-45,,Turnover by J. Green (bad pass; steal by A. Davis)
9:15.0,Shooting foul by C. Parsons (drawn by A. Ajinca),,55-45,,
9:15.0,A. Ajinca makes free throw 1 of 2,1,56-45,,
9:15.0,A. Ajinca makes free throw 2 of 2,1,57-45,,
9:03.0,,,57-45,,Shooting foul by A. Ajinca (drawn by C. Parsons)
9:03.0,,,57-46,1,C. Parsons makes free throw 1 of 2
9:03.0,,,57-47,1,C. Parsons makes free throw 2 of 2
8:45.0,A. Ajinca makes 2-pt shot from 1 ft (assist by J. Holiday),2,59-47,,
8:31.0,,,59-47,,Turnover by T. Allen (3 sec)
8:14.0,J. Holiday misses 2-pt shot from 6 ft,,59-47,,
8:13.0,Offensive rebound by J. Holiday,,59-47,,
8:12.0,A. Ajinca misses 2-pt shot from 3 ft (block by M. Conley),,59-47,,
8:12.0,,,59-47,,Defensive rebound by J. Green
8:00.0,,,59-47,,Turnover by M. Conley (bad pass; steal by B. Hield)
7:53.0,S. Hill misses 2-pt shot from 2 ft,,59-47,,
7:53.0,,,59-47,,Defensive rebound by J. Green
7:44.0,,,59-47,,C. Parsons misses 3-pt shot from 26 ft
7:43.0,Defensive rebound by B. Hield,,59-47,,
7:41.0,New Orleans full timeout,,59-47,,
7:41.0,,,59-47,,Z. Randolph enters the game for T. Allen
7:41.0,,,59-47,,T. Daniels enters the game for M. Gasol
7:29.0,A. Davis makes 2-pt shot from 22 ft (assist by J. Holiday),2,61-47,,
7:08.0,,,61-47,,T. Daniels misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by J. Holiday,,61-47,,
6:55.0,B. Hield misses 2-pt shot from 21 ft,,61-47,,
6:55.0,,,61-47,,Defensive rebound by M. Conley
6:47.0,,,61-47,,M. Conley misses 2-pt shot from 8 ft
6:46.0,,,61-47,,Offensive rebound by Z. Randolph
6:45.0,,,61-49,2,Z. Randolph makes 2-pt shot from 2 ft
