time,Minnesota,pts.away,score,pts.home,New Orleans
3:05.0,A. Wiggins makes free throw 1 of 2,1,20-23,,
3:05.0,A. Wiggins makes free throw 2 of 2,1,21-23,,
2:44.0,,,21-25,2,A. Davis makes 2-pt shot from 4 ft
2:31.0,,,21-25,,Personal foul by J. Holiday (drawn by N. Bjelica)
2:31.0,Minnesota full timeout,,21-25,,
2:31.0,N. Bjelica makes free throw 1 of 2,1,22-25,,
2:31.0,N. Bjelica makes free throw 2 of 2,1,23-25,,
2:31.0,,,21-25,,B. Hield enters the game for O. Asik
2:31.0,,,21-25,,T. Jones enters the game for S. Hill
2:16.0,,,23-25,,Shooting foul by N. Bjelica (drawn by T. Jones)
2:16.0,,,23-25,,T. Jones misses free throw 1 of 2
2:16.0,,,23-25,,Offensive rebound by Team
2:16.0,,,23-26,1,T. Jones makes free throw 2 of 2
1:58.0,A. Wiggins misses 2-pt shot from 11 ft,,23-26,,
1:57.0,,,23-26,,Defensive rebound by A. Davis
1:44.0,,,23-26,,T. Jones misses 2-pt shot from 5 ft
1:41.0,Defensive rebound by G. Dieng,,23-26,,
1:38.0,Shooting foul by L. Galloway (drawn by A. Wiggins),,23-26,,
1:38.0,A. Wiggins makes free throw 1 of 2,1,24-26,,
1:38.0,A. Wiggins makes free throw 2 of 2,1,25-26,,
1:25.0,,,25-28,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
1:25.0,,,25-28,,Shooting foul by G. Dieng (drawn by A. Davis)
1:25.0,,,25-29,1,A. Davis makes free throw 1 of 1
1:09.0,Turnover by A. Wiggins (bad pass; steal by J. Holiday),,25-29,,
1:07.0,,,25-29,,Shooting foul by N. Bjelica (drawn by A. Davis)
1:07.0,,,25-30,1,A. Davis makes free throw 1 of 2
1:07.0,,,25-31,1,A. Davis makes free throw 2 of 2
0:51.0,A. Wiggins misses 2-pt shot from 4 ft,,25-31,,
0:49.0,,,25-31,,Defensive rebound by J. Holiday
0:34.0,,,25-31,,T. Jones misses 2-pt shot from 4 ft
0:33.0,Defensive rebound by K. Dunn,,25-31,,
0:28.0,Shooting foul by T. Jones (drawn by N. Bjelica),,25-31,,
0:28.0,N. Bjelica makes free throw 1 of 2,1,26-31,,
0:28.0,N. Bjelica misses free throw 2 of 2,,26-31,,
0:25.0,,,26-31,,Defensive rebound by T. Jones
0:05.0,,,26-31,,Turnover by J. Holiday (bad pass; steal by N. Bjelica)
0:00.0,B. Rush misses 3-pt shot from 23 ft,,26-31,,
0:00.0,Offensive rebound by Team,,26-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. Aldrich makes 2-pt shot from 4 ft (assist by Z. LaVine),2,28-31,,
11:24.0,,,28-31,,J. Holiday misses 2-pt shot from 4 ft
11:23.0,Defensive rebound by N. Bjelica,,28-31,,
11:20.0,Shooting foul by D. Cunningham (drawn by K. Dunn),,28-31,,
11:20.0,K. Dunn makes free throw 1 of 2,1,29-31,,
11:20.0,K. Dunn makes free throw 2 of 2,1,30-31,,
11:20.0,S. Muhammad enters the game for B. Rush,,29-31,,
11:03.0,,,30-31,,J. Holiday misses 3-pt shot from 24 ft
11:03.0,,,30-31,,Offensive rebound by Team
10:52.0,,,30-33,2,T. Jones makes 2-pt shot from 3 ft (assist by J. Holiday)
10:36.0,Z. LaVine makes 3-pt shot from 26 ft (assist by K. Dunn),3,33-33,,
10:22.0,,,33-36,3,L. Galloway makes 3-pt shot from 27 ft (assist by J. Holiday)
10:02.0,C. Aldrich misses 2-pt shot from 4 ft,,33-36,,
10:00.0,,,33-36,,Defensive rebound by D. Cunningham
9:59.0,,,33-36,,Turnover by D. Cunningham (bad pass; steal by K. Dunn)
9:53.0,K. Dunn makes 2-pt shot from 3 ft,2,35-36,,
9:45.0,,,35-38,2,J. Holiday makes 2-pt shot from 3 ft
9:29.0,Z. LaVine makes 2-pt shot at rim,2,37-38,,
9:20.0,,,37-38,,L. Galloway misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by S. Muhammad,,37-38,,
9:10.0,Z. LaVine misses 2-pt shot from 24 ft,,37-38,,
9:09.0,,,37-38,,Defensive rebound by L. Galloway
9:01.0,,,37-38,,B. Hield misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by C. Aldrich,,37-38,,
8:45.0,Turnover by S. Muhammad (lost ball),,37-38,,
8:45.0,Official timeout,,37-38,,
8:45.0,G. Dieng enters the game for C. Aldrich,,37-38,,
8:45.0,,,37-38,,O. Asik enters the game for D. Cunningham
8:31.0,,,37-38,,J. Holiday misses 2-pt shot from 19 ft
8:30.0,Defensive rebound by G. Dieng,,37-38,,
8:13.0,Offensive foul by G. Dieng,,37-38,,
8:13.0,Turnover by G. Dieng (offensive foul),,37-38,,
8:03.0,,,37-38,,B. Hield misses 2-pt shot from 3 ft
8:02.0,Defensive rebound by K. Dunn,,37-38,,
7:59.0,Offensive charge foul by N. Bjelica,,37-38,,
7:59.0,Turnover by N. Bjelica (offensive foul),,37-38,,
7:59.0,K. Towns enters the game for N. Bjelica,,37-38,,
7:46.0,,,37-38,,Turnover by L. Galloway (bad pass; steal by Z. LaVine)
7:44.0,Shooting foul by L. Galloway (drawn by Z. LaVine),,37-38,,
7:44.0,Z. LaVine makes free throw 1 of 2,1,38-38,,
7:44.0,Z. LaVine makes free throw 2 of 2,1,39-38,,
7:44.0,,,38-38,,T. Frazier enters the game for J. Holiday
7:44.0,,,38-38,,A. Davis enters the game for B. Hield
7:44.0,,,38-38,,E. Moore enters the game for T. Jones
7:24.0,,,39-38,,Turnover by T. Frazier (lost ball; steal by S. Muhammad)
7:17.0,Turnover by K. Towns (bad pass; steal by L. Galloway),,39-38,,
7:07.0,,,39-38,,L. Galloway misses 2-pt shot from 13 ft (block by K. Towns)
7:04.0,Defensive rebound by K. Towns,,39-38,,
7:00.0,S. Muhammad makes 2-pt shot from 2 ft,2,41-38,,
6:49.0,,,41-38,,A. Davis misses 2-pt shot from 9 ft
6:48.0,Defensive rebound by K. Towns,,41-38,,
6:43.0,S. Muhammad misses 2-pt shot from 2 ft,,41-38,,
6:42.0,,,41-38,,Defensive rebound by E. Moore
6:37.0,,,41-38,,Turnover by E. Moore (traveling)
6:37.0,A. Wiggins enters the game for S. Muhammad,,41-38,,
6:20.0,Z. LaVine misses 2-pt shot from 17 ft,,41-38,,
6:19.0,,,41-38,,Defensive rebound by A. Davis
6:09.0,,,41-38,,E. Moore misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by G. Dieng,,41-38,,
5:59.0,Z. LaVine makes 2-pt shot from 10 ft,2,43-38,,
5:38.0,,,43-38,,A. Davis misses 2-pt shot from 13 ft
5:38.0,Defensive rebound by G. Dieng,,43-38,,
5:25.0,G. Dieng makes 2-pt shot from 8 ft,2,45-38,,
5:25.0,Shooting foul by O. Asik (drawn by G. Dieng),,45-38,,
5:25.0,,,45-38,,New Orleans full timeout
5:25.0,G. Dieng makes free throw 1 of 1,1,46-38,,
5:25.0,,,45-38,,S. Hill enters the game for L. Galloway
5:25.0,R. Rubio enters the game for K. Dunn,,45-38,,
5:10.0,,,46-40,2,A. Davis makes 2-pt shot from 3 ft
4:53.0,K. Towns misses 2-pt shot from 6 ft,,46-40,,
4:53.0,,,46-40,,Defensive rebound by S. Hill
4:45.0,,,46-40,,Shooting foul by G. Dieng (drawn by A. Davis)
4:45.0,,,46-40,,A. Davis misses free throw 1 of 2
4:45.0,,,46-40,,Offensive rebound by Team
4:45.0,,,46-41,1,A. Davis makes free throw 2 of 2
4:45.0,A. Payne enters the game for G. Dieng,,46-40,,
4:22.0,Z. LaVine misses 2-pt shot from 3 ft,,46-41,,
4:12.0,,,46-41,,Defensive rebound by O. Asik
4:02.0,,,46-43,2,E. Moore makes 2-pt shot from 3 ft (assist by T. Frazier)
3:52.0,A. Payne makes 2-pt shot from 20 ft (assist by R. Rubio),2,48-43,,
3:45.0,,,48-43,,Turnover by A. Davis (bad pass)
3:45.0,,,48-43,,T. Jones enters the game for O. Asik
3:29.0,K. Towns makes 2-pt shot from 2 ft,2,50-43,,
3:12.0,,,50-45,2,T. Frazier makes 2-pt shot from 2 ft
2:57.0,Z. LaVine misses 3-pt shot from 26 ft,,50-45,,
2:55.0,,,50-45,,Defensive rebound by T. Jones
2:38.0,,,50-45,,Shooting foul by R. Rubio (drawn by T. Jones)
2:38.0,Minnesota full timeout,,50-45,,
2:38.0,,,50-46,1,T. Jones makes free throw 1 of 2
2:38.0,,,50-47,1,T. Jones makes free throw 2 of 2
2:38.0,,,50-45,,J. Holiday enters the game for S. Hill
2:22.0,A. Wiggins misses 2-pt shot from 11 ft (block by J. Holiday),,50-47,,
2:22.0,Offensive rebound by Team,,50-47,,
2:16.0,A. Payne misses 2-pt shot from 20 ft,,50-47,,
2:11.0,Offensive rebound by R. Rubio,,50-47,,
2:11.0,R. Rubio misses 2-pt shot from 1 ft,,50-47,,
2:10.0,,,50-47,,Defensive rebound by T. Jones
1:57.0,,,50-49,2,A. Davis makes 2-pt shot from 6 ft (assist by T. Jones)
1:36.0,A. Wiggins misses 2-pt shot from 4 ft,,50-49,,
1:36.0,Offensive rebound by Team,,50-49,,
1:27.0,A. Wiggins misses 2-pt shot from 10 ft,,50-49,,
1:27.0,,,50-49,,Defensive rebound by A. Davis
1:27.0,Loose ball foul by K. Towns (drawn by A. Davis),,50-49,,
1:27.0,C. Aldrich enters the game for K. Towns,,50-49,,
1:09.0,,,50-51,2,T. Jones makes 2-pt shot at rim (assist by T. Frazier)
0:55.0,Offensive charge foul by A. Payne,,50-51,,
0:55.0,Turnover by A. Payne (offensive foul),,50-51,,
0:55.0,,,50-51,,L. Galloway enters the game for T. Frazier
0:40.0,,,50-51,,A. Davis misses 2-pt shot from 10 ft
0:38.0,,,50-51,,Offensive rebound by T. Jones
0:38.0,,,50-53,2,T. Jones makes 2-pt shot at rim
0:24.0,A. Wiggins misses 3-pt shot from 24 ft,,50-53,,
0:23.0,,,50-53,,Defensive rebound by Team
0:23.0,,,50-53,,T. Frazier enters the game for T. Jones
0:23.0,K. Dunn enters the game for C. Aldrich,,50-53,,
0:00.0,,,50-53,,J. Holiday misses 2-pt shot from 9 ft
0:00.0,,,50-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Wiggins misses 2-pt shot from 3 ft,,50-53,,
11:37.0,Offensive rebound by K. Towns,,50-53,,
11:37.0,K. Towns misses 2-pt shot from 2 ft,,50-53,,
11:36.0,,,50-53,,Defensive rebound by E. Moore
11:27.0,,,50-53,,S. Hill misses 3-pt shot from 27 ft
11:25.0,Defensive rebound by K. Towns,,50-53,,
11:16.0,Z. LaVine misses 2-pt shot from 4 ft (block by E. Moore),,50-53,,
11:16.0,Offensive rebound by Team,,50-53,,
11:09.0,K. Towns makes 3-pt shot from 26 ft (assist by R. Rubio),3,53-53,,
11:04.0,,,53-53,,Turnover by A. Davis (bad pass; steal by R. Rubio)
10:56.0,G. Dieng makes 2-pt shot from 4 ft (assist by R. Rubio),2,55-53,,
10:41.0,,,55-55,2,A. Davis makes 2-pt shot from 21 ft (assist by T. Frazier)
10:31.0,K. Towns misses 2-pt shot from 15 ft,,55-55,,
10:30.0,,,55-55,,Defensive rebound by E. Moore
10:25.0,,,55-55,,A. Davis misses 2-pt shot from 17 ft
10:24.0,Defensive rebound by K. Towns,,55-55,,
10:10.0,A. Wiggins misses 2-pt shot from 5 ft,,55-55,,
10:09.0,,,55-55,,Defensive rebound by O. Asik
9:57.0,,,55-55,,E. Moore misses 2-pt shot from 2 ft
9:55.0,,,55-55,,Offensive rebound by O. Asik
9:55.0,,,55-55,,O. Asik misses 2-pt shot from 1 ft
9:54.0,Defensive rebound by K. Towns,,55-55,,
9:53.0,Turnover by K. Towns (bad pass; steal by A. Davis),,55-55,,
9:52.0,,,55-57,2,E. Moore makes 2-pt shot from 3 ft (assist by A. Davis)
9:31.0,Z. LaVine makes 2-pt shot from 19 ft (assist by G. Dieng),2,57-57,,
9:18.0,,,57-60,3,A. Davis makes 3-pt shot from 26 ft (assist by E. Moore)
9:06.0,Turnover by Z. LaVine (lost ball; steal by S. Hill),,57-60,,
9:04.0,,,57-62,2,A. Davis makes 2-pt shot from 3 ft (assist by S. Hill)
9:04.0,,,57-62,,Shooting foul by A. Wiggins (drawn by A. Davis)
9:04.0,,,57-63,1,A. Davis makes free throw 1 of 1
8:41.0,R. Rubio misses 2-pt shot from 19 ft,,57-63,,
8:38.0,,,57-63,,Defensive rebound by S. Hill
8:36.0,,,57-63,,Turnover by S. Hill (bad pass; steal by A. Wiggins)
8:27.0,A. Wiggins misses 2-pt shot from 15 ft,,57-63,,
8:27.0,,,57-63,,Defensive rebound by S. Hill
8:22.0,,,57-65,2,T. Frazier makes 2-pt shot from 4 ft
8:22.0,,,57-65,,Shooting foul by Z. LaVine (drawn by T. Frazier)
8:22.0,,,57-66,1,T. Frazier makes free throw 1 of 1
8:22.0,Minnesota full timeout,,57-66,,
8:02.0,G. Dieng makes 2-pt shot from 3 ft (assist by K. Towns),2,59-66,,
7:48.0,,,59-68,2,O. Asik makes 2-pt shot at rim (assist by T. Frazier)
7:29.0,A. Wiggins makes 2-pt shot from 3 ft (assist by G. Dieng),2,61-68,,
7:17.0,,,61-68,,Turnover by T. Frazier (bad pass)
6:58.0,A. Wiggins misses 3-pt shot from 27 ft,,61-68,,
6:57.0,,,61-68,,Defensive rebound by A. Davis
6:41.0,,,61-68,,S. Hill misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by K. Towns,,61-68,,
6:32.0,Z. LaVine misses 2-pt shot from 3 ft,,61-68,,
6:30.0,,,61-68,,Defensive rebound by O. Asik
6:14.0,,,61-68,,T. Frazier misses 2-pt shot from 4 ft
6:14.0,Defensive rebound by G. Dieng,,61-68,,
5:54.0,G. Dieng misses 2-pt shot from 12 ft,,61-68,,
5:53.0,,,61-68,,Defensive rebound by S. Hill
5:48.0,,,61-70,2,S. Hill makes 2-pt shot at rim
5:44.0,Minnesota full timeout,,61-70,,
5:30.0,Turnover by A. Wiggins (traveling),,61-70,,
5:18.0,,,61-73,3,T. Frazier makes 3-pt shot from 26 ft
5:06.0,Turnover by Z. LaVine (lost ball; steal by E. Moore),,61-73,,
4:59.0,,,61-75,2,E. Moore makes 2-pt shot from 2 ft
4:44.0,A. Wiggins misses 2-pt shot from 3 ft,,61-75,,
4:43.0,,,61-75,,Defensive rebound by T. Frazier
4:38.0,,,61-77,2,O. Asik makes 2-pt shot at rim (assist by T. Frazier)
4:10.0,G. Dieng misses 2-pt shot from 6 ft,,61-77,,
4:10.0,,,61-77,,Defensive rebound by O. Asik
4:00.0,,,61-80,3,A. Davis makes 3-pt shot from 27 ft (assist by T. Frazier)
3:59.0,Minnesota full timeout,,61-80,,
3:59.0,K. Dunn enters the game for G. Dieng,,61-80,,
3:59.0,B. Rush enters the game for Z. LaVine,,61-80,,
3:59.0,C. Aldrich enters the game for R. Rubio,,61-80,,
3:46.0,A. Wiggins misses 2-pt shot from 6 ft (block by S. Hill),,61-80,,
3:43.0,,,61-80,,Defensive rebound by T. Frazier
3:41.0,,,61-80,,Shooting foul by B. Rush (drawn by O. Asik)
3:41.0,,,61-81,1,O. Asik makes free throw 1 of 2
3:41.0,,,61-81,,O. Asik misses free throw 2 of 2
3:39.0,Defensive rebound by C. Aldrich,,61-81,,
3:28.0,C. Aldrich misses 2-pt shot from 1 ft,,61-81,,
3:28.0,,,61-81,,Defensive rebound by Team
3:12.0,,,61-83,2,A. Davis makes 2-pt shot from 4 ft (assist by T. Frazier)
3:02.0,K. Towns misses 3-pt shot from 27 ft,,61-83,,
3:01.0,,,61-83,,Defensive rebound by O. Asik
2:44.0,,,61-83,,A. Davis misses 2-pt shot from 16 ft
2:42.0,Defensive rebound by C. Aldrich,,61-83,,
2:37.0,A. Wiggins misses 3-pt shot from 27 ft,,61-83,,
2:36.0,Offensive rebound by K. Towns,,61-83,,
2:32.0,K. Towns makes 2-pt shot from 5 ft,2,63-83,,
2:18.0,,,63-83,,Turnover by T. Frazier (lost ball; steal by K. Dunn)
2:11.0,K. Dunn makes 2-pt shot from 2 ft (assist by K. Towns),2,65-83,,
1:50.0,,,65-85,2,E. Moore makes 2-pt shot from 10 ft (assist by S. Hill)
1:28.0,Shooting foul by S. Hill (drawn by A. Wiggins),,65-85,,
1:28.0,A. Wiggins makes free throw 1 of 2,1,66-85,,
1:28.0,A. Wiggins makes free throw 2 of 2,1,67-85,,
1:28.0,,,66-85,,T. Jones enters the game for O. Asik
1:28.0,,,66-85,,L. Galloway enters the game for E. Moore
1:28.0,,,66-85,,J. Holiday enters the game for T. Frazier
1:11.0,,,67-87,2,J. Holiday makes 2-pt shot from 11 ft
0:49.0,A. Wiggins misses 2-pt shot from 20 ft,,67-87,,
0:48.0,,,67-87,,Defensive rebound by S. Hill
0:40.0,,,67-87,,S. Hill misses 3-pt shot from 27 ft
0:39.0,Defensive rebound by K. Towns,,67-87,,
0:28.0,Shooting foul by S. Hill (drawn by A. Wiggins),,67-87,,
0:28.0,A. Wiggins misses free throw 1 of 2,,67-87,,
0:28.0,Offensive rebound by Team,,67-87,,
0:28.0,A. Wiggins makes free throw 2 of 2,1,68-87,,
0:28.0,,,67-87,,B. Hield enters the game for S. Hill
0:20.0,Personal take foul by K. Dunn (drawn by J. Holiday),,68-87,,
0:20.0,S. Muhammad enters the game for C. Aldrich,,68-87,,
0:10.0,,,68-87,,Shooting foul by K. Dunn (drawn by J. Holiday)
0:10.0,,,68-88,1,J. Holiday makes free throw 1 of 2
0:10.0,,,68-89,1,J. Holiday makes free throw 2 of 2
0:02.0,A. Wiggins misses 2-pt shot from 3 ft (block by T. Jones),,68-89,,
0:01.0,,,68-89,,Defensive rebound by A. Davis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,68-89,,Shooting foul by K. Dunn (drawn by O. Asik)
11:47.0,,,68-89,,O. Asik misses free throw 1 of 2
11:47.0,,,68-89,,Offensive rebound by Team
11:47.0,,,68-90,1,O. Asik makes free throw 2 of 2
11:32.0,Z. LaVine misses 3-pt shot from 28 ft,,68-90,,
11:31.0,,,68-90,,Defensive rebound by O. Asik
11:22.0,,,68-90,,J. Holiday misses 3-pt shot from 26 ft
11:21.0,Defensive rebound by C. Aldrich,,68-90,,
11:13.0,N. Bjelica makes 3-pt shot from 28 ft (assist by Z. LaVine),3,71-90,,
10:59.0,,,71-90,,Turnover by B. Hield (bad pass)
10:42.0,S. Muhammad misses 3-pt shot from 25 ft,,71-90,,
10:41.0,,,71-90,,Defensive rebound by T. Jones
10:30.0,,,71-93,3,L. Galloway makes 3-pt shot from 27 ft (assist by J. Holiday)
10:11.0,K. Dunn misses 2-pt shot from 20 ft,,71-93,,
10:11.0,Offensive rebound by S. Muhammad,,71-93,,
10:11.0,Shooting foul by J. Holiday (drawn by S. Muhammad),,71-93,,
10:11.0,S. Muhammad makes free throw 1 of 2,1,72-93,,
10:11.0,S. Muhammad misses free throw 2 of 2,,72-93,,
10:09.0,,,72-93,,Defensive rebound by O. Asik
10:01.0,,,72-93,,L. Galloway misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by K. Dunn,,72-93,,
9:51.0,Shooting foul by L. Galloway (drawn by Z. LaVine),,72-93,,
9:51.0,Z. LaVine makes free throw 1 of 2,1,73-93,,
9:51.0,Z. LaVine makes free throw 2 of 2,1,74-93,,
9:37.0,,,74-93,,B. Hield misses 3-pt shot from 27 ft
9:36.0,Defensive rebound by N. Bjelica,,74-93,,
9:29.0,Z. LaVine makes 2-pt shot from 2 ft,2,76-93,,
9:29.0,,,76-93,,New Orleans full timeout
9:29.0,,,76-93,,A. Davis enters the game for O. Asik
9:29.0,,,76-93,,T. Frazier enters the game for B. Hield
9:09.0,,,76-96,3,L. Galloway makes 3-pt shot from 27 ft (assist by J. Holiday)
8:53.0,S. Muhammad makes 2-pt shot from 7 ft (assist by N. Bjelica),2,78-96,,
8:32.0,,,78-98,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Holiday)
8:13.0,Z. LaVine misses 2-pt shot from 16 ft,,78-98,,
8:12.0,Offensive rebound by C. Aldrich,,78-98,,
8:05.0,Z. LaVine misses 2-pt shot from 21 ft,,78-98,,
8:04.0,,,78-98,,Defensive rebound by T. Jones
7:49.0,,,78-98,,A. Davis misses 2-pt shot from 15 ft
7:48.0,Defensive rebound by N. Bjelica,,78-98,,
7:45.0,Z. LaVine makes 2-pt shot from 7 ft (assist by N. Bjelica),2,80-98,,
7:45.0,Shooting foul by J. Holiday (drawn by Z. LaVine),,80-98,,
7:45.0,Z. LaVine makes free throw 1 of 1,1,81-98,,
7:26.0,,,81-98,,A. Davis misses 2-pt shot from 14 ft
7:25.0,Defensive rebound by Z. LaVine,,81-98,,
7:15.0,K. Dunn misses 2-pt shot from 20 ft,,81-98,,
7:14.0,,,81-98,,Defensive rebound by A. Davis
7:03.0,,,81-98,,Shooting foul by Z. LaVine (drawn by J. Holiday)
7:03.0,,,81-99,1,J. Holiday makes free throw 1 of 2
7:03.0,,,81-99,,J. Holiday misses free throw 2 of 2
7:01.0,Defensive rebound by N. Bjelica,,81-99,,
6:48.0,Z. LaVine misses 2-pt shot from 21 ft,,81-99,,
6:48.0,,,81-99,,Defensive rebound by T. Frazier
6:45.0,,,81-99,,New Orleans full timeout
6:33.0,,,81-101,2,A. Davis makes 2-pt shot from 11 ft (assist by J. Holiday)
6:16.0,Turnover by K. Dunn (back court),,81-101,,
6:01.0,,,81-103,2,T. Jones makes 2-pt shot from 3 ft (assist by J. Holiday)
5:44.0,C. Aldrich makes 2-pt shot from 6 ft (assist by Z. LaVine),2,83-103,,
5:33.0,,,83-103,,Turnover by T. Frazier (bad pass; steal by N. Bjelica)
5:33.0,,,83-103,,Personal foul by T. Frazier (drawn by N. Bjelica)
5:33.0,A. Payne enters the game for C. Aldrich,,83-103,,
5:10.0,N. Bjelica misses 3-pt shot from 26 ft,,83-103,,
5:09.0,,,83-103,,Defensive rebound by A. Davis
4:54.0,,,83-103,,Turnover by T. Jones (lost ball; steal by K. Dunn)
4:52.0,,,83-103,,Personal foul by J. Holiday (drawn by Z. LaVine)
4:52.0,Z. LaVine misses free throw 1 of 2,,83-103,,
4:52.0,Offensive rebound by Team,,83-103,,
4:52.0,Z. LaVine makes free throw 2 of 2,1,84-103,,
4:31.0,,,84-103,,Turnover by J. Holiday (lost ball; steal by K. Dunn)
